year (AD),age (BP),temperature (degC),depth_core1 (cm),Mg/Ca (missing)
-2388.1,4338.1,14.755,NA,2.299
-2586.8,4536.8,14.274,NA,2.183
-2636.7,4586.7,15.321,NA,2.442
-2686.7,4636.7,15.233,NA,2.419
-2736.7,4686.7,13.733,NA,2.061
-2736.7,4686.7,14.097,NA,2.142
-2736.7,4686.7,13.598,NA,2.031
-2836.9,4786.9,14.977,NA,2.354
-3138.4,5088.4,15.306,NA,2.438
-3138.4,5088.4,16.945,NA,2.905
-3188.7,5138.7,16.793,NA,2.858
-3188.7,5138.7,15.87,NA,2.59
-3289.2,5239.2,15.464,NA,2.479
-3289.2,5239.2,16.493,NA,2.768
-3289.2,5239.2,15.354,NA,2.45
-3289.2,5239.2,16.187,NA,2.679
-3540.3,5490.3,16.514,NA,2.774
-3590.4,5540.4,14.814,NA,2.313
-3640.5,5590.5,15.194,NA,2.409
-3690.5,5640.5,15.18,NA,2.405
-3740.4,5690.4,15.237,NA,2.42
-3740.4,5690.4,16.022,NA,2.632
-3790.3,5740.3,14.842,NA,2.32
-3790.3,5740.3,14.97,NA,2.352
-3869.9,5819.9,17.079,NA,2.947
-3919.6,5869.6,17.49,NA,3.08
-3969.2,5919.2,15.949,NA,2.612
-3969.2,5919.2,17.36,NA,3.037
-4507.8,6457.8,14.989,NA,2.357
-4556,6506,17.01,NA,2.926
-4556,6506,15.611,NA,2.519
-4556,6506,14.238,NA,2.175
-4556,6506,14.928,NA,2.341
-4613.7,6563.7,16.776,NA,2.853
-4613.7,6563.7,15.957,NA,2.614
-4613.7,6563.7,15.638,NA,2.526
-4652.1,6602.1,15.515,NA,2.493
-4652.1,6602.1,15.794,NA,2.569
-4652.1,6602.1,17.596,NA,3.115
-4747.5,6697.5,14.397,NA,2.212
-4842.3,6792.3,17.53,NA,3.093
-4842.3,6792.3,16.535,NA,2.781
-4889.5,6839.5,16.282,NA,2.707
-4889.5,6839.5,14.685,NA,2.281
-4936.5,6886.5,15.035,NA,2.368
-4936.5,6886.5,17.648,NA,3.132
-4936.5,6886.5,15.54,NA,2.5
-4936.5,6886.5,15.468,NA,2.481
-4983.4,6933.4,14.79,NA,2.307
-4983.4,6933.4,13.896,NA,2.096
-5030.1,6980.1,15.36,NA,2.452
-5030.1,6980.1,15.468,NA,2.481
-5076.6,7026.6,15.409,NA,2.465
-5076.6,7026.6,15.557,NA,2.504
-5076.6,7026.6,15.283,NA,2.432
-5122.9,7072.9,15.476,NA,2.483
-5122.9,7072.9,14.996,NA,2.359
-5122.9,7072.9,14.955,NA,2.348
-5169.1,7119.1,16.302,NA,2.712
-5169.1,7119.1,15.499,NA,2.489
-5169.1,7119.1,15.565,NA,2.507
-5169.1,7119.1,15.294,NA,2.435
-5215.1,7165.1,16.92,NA,2.898
-5270,7220,16.703,NA,2.831
-5270,7220,16.122,NA,2.66
-5315.6,7265.6,15.792,NA,2.568
-5315.6,7265.6,15.752,NA,2.557
-5360.9,7310.9,15.927,NA,2.606
-5360.9,7310.9,15.309,NA,2.439
-5406.2,7356.2,18.328,NA,3.369
-5451.2,7401.2,15.849,NA,2.584
-5451.2,7401.2,16.42,NA,2.747
-5496,7446,15.234,NA,2.419
-5496,7446,15.558,NA,2.505
-5540.6,7490.6,16.908,NA,2.894
-5540.6,7490.6,17.006,NA,2.924
-5585,7535,16.558,NA,2.787
-5585,7535,15.629,NA,2.524
-5629.3,7579.3,16.373,NA,2.733
-5629.3,7579.3,16.819,NA,2.866
-5864.6,7814.6,15.323,NA,2.442
-5864.6,7814.6,15.459,NA,2.478
-5907.5,7857.5,16.193,NA,2.681
-5907.5,7857.5,13.69,NA,2.051
-5907.5,7857.5,14.364,NA,2.204
-5941.7,7891.7,16.98,NA,2.916
-5992.8,7942.8,15.966,NA,2.616
-5992.8,7942.8,15.738,NA,2.553
-5992.8,7942.8,15.762,NA,2.56
-6035.1,7985.1,15.605,NA,2.517
-6035.1,7985.1,16.362,NA,2.73
-6035.1,7985.1,16.101,NA,2.655
-6035.1,7985.1,14.355,NA,2.202
-6035.1,7985.1,14.222,NA,2.171
-6077.2,8027.2,15.67,NA,2.535
-6077.2,8027.2,16.384,NA,2.736
-6119,8069,18.312,NA,3.363
-6119,8069,17.087,NA,2.95
-6119,8069,16.394,NA,2.739
-6160.7,8110.7,15.532,NA,2.498
-6160.7,8110.7,15.754,NA,2.558
-6202.2,8152.2,16.326,NA,2.719
-6202.2,8152.2,16.235,NA,2.693
-6202.2,8152.2,16.776,NA,2.853
-6202.2,8152.2,17.07,NA,2.945
-6243.4,8193.4,15.908,NA,2.6
-6243.4,8193.4,16.13,NA,2.663
-6284.5,8234.5,15.878,NA,2.592
-6325.3,8275.3,16.387,NA,2.737
-6325.3,8275.3,16.36,NA,2.729
-6325.3,8275.3,16.13,NA,2.663
-6325.3,8275.3,16.369,NA,2.732
-6365.9,8315.9,15.996,NA,2.625
-6365.9,8315.9,16.529,NA,2.779
-6406.3,8356.3,15.548,NA,2.502
-6406.3,8356.3,16.073,NA,2.647
-6446.5,8396.5,16.204,NA,2.684
-6446.5,8396.5,15.988,NA,2.623
-6486.5,8436.5,15.854,NA,2.585
-6486.5,8436.5,15.907,NA,2.6
-6526.3,8476.3,15.621,NA,2.522
-6526.3,8476.3,15.565,NA,2.507
-6526.3,8476.3,16.15,NA,2.668
-6526.3,8476.3,15.559,NA,2.505
-6526.3,8476.3,15.692,NA,2.541
-6557.9,8507.9,15.853,NA,2.585
-6557.9,8507.9,15.354,NA,2.451
-6557.9,8507.9,15.075,NA,2.379
-6557.9,8507.9,15.764,NA,2.56
-6597.3,8547.3,15.625,NA,2.523
-6597.3,8547.3,15.208,NA,2.413
-6636.5,8586.5,15.692,NA,2.541
-6636.5,8586.5,15.571,NA,2.508
-6636.5,8586.5,14.945,NA,2.346
-6636.5,8586.5,15.021,NA,2.365
-6675.5,8625.5,15.391,NA,2.46
-6675.5,8625.5,14.632,NA,2.268
-6675.5,8625.5,14.789,NA,2.307
-6714.3,8664.3,16.315,NA,2.716
-6714.3,8664.3,15.035,NA,2.368
-6791.2,8741.2,17.233,NA,2.996
-6791.2,8741.2,17.453,NA,3.068
-6791.2,8741.2,15.898,NA,2.597
-6791.2,8741.2,16.341,NA,2.724
-6829.3,8779.3,16.165,NA,2.673
-6829.3,8779.3,15.603,NA,2.517
-6867.3,8817.3,16.395,NA,2.74
-6867.3,8817.3,16.572,NA,2.792
-6867.3,8817.3,14.987,NA,2.356
-6905,8855,15.529,NA,2.497
-7054,9004,17.139,NA,2.966
-7094.5,9044.5,16.345,NA,2.725
-7163.7,9113.7,14.864,NA,2.326
-7163.7,9113.7,15.581,NA,2.511
-7199.9,9149.9,17.715,NA,3.155
-7199.9,9149.9,17.509,NA,3.086
-7199.9,9149.9,16.988,NA,2.919
-7199.9,9149.9,16.284,NA,2.707
-7235.9,9185.9,16.898,NA,2.891
-7235.9,9185.9,14.56,NA,2.251
-7307.4,9257.4,17.41,NA,3.054
-7307.4,9257.4,16.811,NA,2.864
-7307.4,9257.4,16.685,NA,2.826
-7307.4,9257.4,16.451,NA,2.756
-7342.8,9292.8,17.521,NA,3.09
-7342.8,9292.8,16.444,NA,2.754
-7413.2,9363.2,15.727,NA,2.55
-7413.2,9363.2,16.401,NA,2.741
-7448.1,9398.1,17.128,NA,2.963
-7448.1,9398.1,16.835,NA,2.871
-7448.1,9398.1,15.914,NA,2.602
-7482.9,9432.9,17.323,NA,3.025
-7517.5,9467.5,14.81,NA,2.312
-7517.5,9467.5,15.828,NA,2.578
-7517.5,9467.5,15.672,NA,2.535
-7579.4,9529.4,16.366,NA,2.731
-7613.5,9563.5,15.663,NA,2.533
-7613.5,9563.5,17.203,NA,2.987
-7647.5,9597.5,14.878,NA,2.329
-7647.5,9597.5,14.809,NA,2.312
-7681.4,9631.4,15.902,NA,2.599
-7681.4,9631.4,15.933,NA,2.607
-7715,9665,16.149,NA,2.668
-7715,9665,16.285,NA,2.707
-7748.6,9698.6,15.232,NA,2.419
-7748.6,9698.6,14.438,NA,2.222
-7782,9732,15.755,NA,2.558
-7782,9732,15.497,NA,2.488
-7815.3,9765.3,14.999,NA,2.359
-7815.3,9765.3,14.973,NA,2.353
-7848.4,9798.4,15.78,NA,2.565
-7848.4,9798.4,15.102,NA,2.385
-7881.4,9831.4,15.557,NA,2.504
-7881.4,9831.4,15.889,NA,2.595
-7914.3,9864.3,14.499,NA,2.236
-7914.3,9864.3,14.756,NA,2.299
-7947.1,9897.1,15.994,NA,2.624
-8044.7,9994.7,17.005,NA,2.924
-8077,10027,15.701,NA,2.543
-8109.2,10059.2,17.044,NA,2.936
-8109.2,10059.2,15.567,NA,2.507
-8109.2,10059.2,16.026,NA,2.633
-8141.4,10091.4,15.466,NA,2.48
-8141.4,10091.4,15.536,NA,2.499
-8173.4,10123.4,15.251,NA,2.424
-8205.3,10155.3,17.079,NA,2.947
-8205.3,10155.3,16.314,NA,2.716
-8269,10219,16.959,NA,2.91
-8300.7,10250.7,16.027,NA,2.634
-8300.7,10250.7,17.195,NA,2.984
-8300.7,10250.7,17.426,NA,3.059
-8332.4,10282.4,16.683,NA,2.825
-8332.4,10282.4,16.832,NA,2.87
-8364,10314,16.631,NA,2.809
-8395.5,10345.5,17.36,NA,3.037
-8395.5,10345.5,16.218,NA,2.688
-8395.5,10345.5,16.053,NA,2.641
-8427,10377,17.657,NA,3.135
-8427,10377,17.05,NA,2.938
-8521.3,10471.3,17.3,NA,3.018
-8552.6,10502.6,15.337,NA,2.446
-8552.6,10502.6,16.59,NA,2.797
-8584,10534,16.925,NA,2.899
-8584,10534,17.589,NA,3.112
-8609,10559,17.521,NA,3.09
-8609,10559,16.375,NA,2.733
-8609,10559,15.744,NA,2.555
-8646.6,10596.6,16.15,NA,2.668
-8646.6,10596.6,16.557,NA,2.787
-8646.6,10596.6,16.154,NA,2.67
-8677.9,10627.9,16.741,NA,2.843
-8677.9,10627.9,17.265,NA,3.007
-8709.2,10659.2,16.828,NA,2.869
-8709.2,10659.2,15.843,NA,2.582
-8740.6,10690.6,16.047,NA,2.639
-8740.6,10690.6,14.64,NA,2.27
-8771.9,10721.9,15.843,NA,2.582
-8771.9,10721.9,16.028,NA,2.634
-8803.3,10753.3,17.123,NA,2.961
-8803.3,10753.3,16.194,NA,2.681
-8866.1,10816.1,18.65,NA,3.487
-8866.1,10816.1,17.726,NA,3.159
-8929.1,10879.1,16.382,NA,2.735
-8960.7,10910.7,18.205,NA,3.325
-8960.7,10910.7,15.946,NA,2.611
-8960.7,10910.7,15.545,NA,2.501
-8992.4,10942.4,16.322,NA,2.718
-8992.4,10942.4,15.725,NA,2.55
-9024.1,10974.1,17.436,NA,3.062
-9055.9,11005.9,18.071,NA,3.277
-9055.9,11005.9,16.149,NA,2.668
-9055.9,11005.9,16.492,NA,2.768
-9087.8,11037.8,18.28,NA,3.352
-9087.8,11037.8,17.684,NA,3.144
-9119.8,11069.8,17.679,NA,3.143
-9119.8,11069.8,17.645,NA,3.131
-9184.1,11134.1,17.441,NA,3.064
-9184.1,11134.1,16.822,NA,2.868
-9184.1,11134.1,16.959,NA,2.91
-9216.4,11166.4,17.326,NA,3.026
-9216.4,11166.4,17.619,NA,3.123
-9248.8,11198.8,16.794,NA,2.859
-9248.8,11198.8,16.908,NA,2.894
-9281.4,11231.4,17.312,NA,3.022
-9281.4,11231.4,17.139,NA,2.966
-9314.1,11264.1,17.322,NA,3.025
-9314.1,11264.1,17.207,NA,2.988
-9347,11297,17.917,NA,3.224
-9347,11297,18.797,NA,3.542
-9380,11330,17.289,NA,3.014
-9380,11330,17.53,NA,3.093
-9413.2,11363.2,16.289,NA,2.708
-9413.2,11363.2,15.739,NA,2.554
-9446.6,11396.6,17.031,NA,2.932
-9480.1,11430.1,17.677,NA,3.142
-9480.1,11430.1,17.731,NA,3.16
-9513.9,11463.9,17.673,NA,3.141
-9513.9,11463.9,17.509,NA,3.086
-9547.8,11497.8,17.179,NA,2.979
-9547.8,11497.8,17.141,NA,2.967
-9582,11532,16.386,NA,2.737
-9582,11532,16.616,NA,2.805
-9582,11532,15.758,NA,2.559
-9582,11532,16.071,NA,2.646
-9616.3,11566.3,16.769,NA,2.851
-9616.3,11566.3,16.528,NA,2.779
-9650.9,11600.9,16.835,NA,2.872
-9650.9,11600.9,16.278,NA,2.705
-9650.9,11600.9,17.199,NA,2.986
-9685.8,11635.8,18.615,NA,3.474
-9720.9,11670.9,16.68,NA,2.824
-9720.9,11670.9,17.104,NA,2.955
-9756.2,11706.2,16.591,NA,2.797
-9756.2,11706.2,16.816,NA,2.865
-9791.8,11741.8,16.809,NA,2.864
-9791.8,11741.8,17.206,NA,2.988
-9827.7,11777.7,16.92,NA,2.898
-9827.7,11777.7,16.29,NA,2.709
-9863.8,11813.8,16.377,NA,2.734
-9863.8,11813.8,16.397,NA,2.74
-9900.3,11850.3,16.658,NA,2.817
-9900.3,11850.3,16.965,NA,2.912
-9900.3,11850.3,16.572,NA,2.792
-9937.1,11887.1,17.546,NA,3.098
-9937.1,11887.1,17.168,NA,2.975
-9989,11939,18.123,NA,3.296
-10049.2,11999.2,17.6,NA,3.116
-10049.2,11999.2,16.276,NA,2.705
-10087.3,12037.3,17.108,NA,2.956
-10087.3,12037.3,15.964,NA,2.616
-10125.7,12075.7,16.209,NA,2.685
-10125.7,12075.7,16.184,NA,2.678
-10164.5,12114.5,17.021,NA,2.929
-10164.5,12114.5,16.912,NA,2.895
-10203.7,12153.7,16.315,NA,2.716
-10203.7,12153.7,15.736,NA,2.553
-10243.2,12193.2,16.48,NA,2.764
-10243.2,12193.2,16.807,NA,2.863
-10283.2,12233.2,16.928,NA,2.9
-10283.2,12233.2,16.579,NA,2.794
-10323.5,12273.5,16.111,NA,2.658
-10323.5,12273.5,16.428,NA,2.749
-10364.3,12314.3,16.671,NA,2.821
-10364.3,12314.3,17.451,NA,3.067
-10364.3,12314.3,17.138,NA,2.966
-10405.5,12355.5,16.712,NA,2.834
-10405.5,12355.5,17.262,NA,3.006
-10497.6,12447.6,17.262,NA,3.006
-10497.6,12447.6,16.934,NA,2.902
-10497.6,12447.6,16.97,NA,2.913
-10531.7,12481.7,17.128,NA,2.963
-10531.7,12481.7,16.825,NA,2.868
-10531.7,12481.7,16.91,NA,2.894
-10579,12529,16.529,NA,2.779
-10579,12529,17.201,NA,2.986
-10618.2,12568.2,17.357,NA,3.036
-10815.6,12765.6,16.262,NA,2.701
-10815.6,12765.6,15.695,NA,2.542
-10861.9,12811.9,17.216,NA,2.991
-10861.9,12811.9,16.452,NA,2.756
-10908.8,12858.8,16.92,NA,2.898
-10908.8,12858.8,15.729,NA,2.551
-10956.2,12906.2,16.04,NA,2.637
-10956.2,12906.2,16.79,NA,2.858
-11004.2,12954.2,16.508,NA,2.773
-11004.2,12954.2,17.09,NA,2.951
-11052.8,13002.8,15.957,NA,2.614
-11052.8,13002.8,16.213,NA,2.687
-11102,13052,17.473,NA,3.074
-11102,13052,15.927,NA,2.606
-11151.9,13101.9,16.296,NA,2.711
-11151.9,13101.9,16.694,NA,2.828
-11202.3,13152.3,17.05,NA,2.938
-11202.3,13152.3,17.336,NA,3.03
-11305.2,13255.2,17.256,NA,3.004
-11305.2,13255.2,16.502,NA,2.771
-11357.6,13307.6,18.586,NA,3.463
-11357.6,13307.6,16.909,NA,2.894
-11410.8,13360.8,16.15,NA,2.668
-11410.8,13360.8,16.557,NA,2.787
-11410.8,13360.8,17.445,NA,3.065
-11464.6,13414.6,17.212,NA,2.99
-11464.6,13414.6,17.153,NA,2.971
-11464.6,13414.6,17.158,NA,2.972
-11519.1,13469.1,17.059,NA,2.941
-11519.1,13469.1,16.78,NA,2.855
-11519.1,13469.1,15.67,NA,2.535
-11574.3,13524.3,16.155,NA,2.67
-11574.3,13524.3,16.517,NA,2.775
-11630.3,13580.3,18.007,NA,3.255
-11630.3,13580.3,17.191,NA,2.983
-11687,13637,16.634,NA,2.81
-11687,13637,16.787,NA,2.857
-11744.5,13694.5,17.441,NA,3.064
-11744.5,13694.5,17.257,NA,3.004
-11802.8,13752.8,16.771,NA,2.852
-11802.8,13752.8,15.85,NA,2.584
-11861.8,13811.8,17.206,NA,2.988
-11861.8,13811.8,16.667,NA,2.82
-11861.8,13811.8,14.684,NA,2.281
