age (BP),depth (cm),Tukey_bigweight_mean (degC),sampleID (missing),Mean consensus (degC),WAINV (degC),WAINV_total (degC),WACLS (degC),WACLS_total (degC),WAPLS-2 (degC),PLS-1 (degC),PLS-2 (degC)
5728,231,10.88,WIN 231,10.791,10.927,10.932,11.137,11.125,10.615,10.668,10.136
5841,235,9.75,WIN 235,9.603,9.907,10.299,9.856,10.344,9.146,9.373,8.3
5986,240,10.15,WIN 240,9.9,10.258,10.773,10.297,10.929,9.725,8.938,8.379
6138,245,9.16,WIN 245,9.058,9.415,9.511,9.238,9.372,8.744,8.822,8.302
6295,250,11.11,WIN_250,11.088,11.126,11.455,11.387,11.772,10.938,10.528,10.41
6457,255,10.79,WIN 255,10.656,10.931,11.153,11.143,11.399,10.393,10.03,9.543
6625,260,12.51,WIN 260,12.244,12.265,12.689,12.819,13.294,12.443,10.933,11.266
6798,265,12.52,WIN 265,12.549,12.45,12.999,13.051,13.676,12.277,11.798,11.591
6984,270,12.01,WIN 270,11.613,12.072,12.201,12.576,12.692,11.515,10.375,9.863
7175,275,12.05,WIN_275,11.851,12.123,12.337,12.639,12.86,11.697,10.724,10.575
7367,280,12.05,WIN_280,11.488,11.875,12.325,12.329,12.845,11.482,10.142,9.419
7705,375,11.4,WIN_375,11.132,11.43,12.064,11.769,12.523,10.757,10.448,8.937
7889,380,12.77,WIN 380,12.677,12.765,13.223,13.447,13.953,12.533,11.81,11.008
8073,385,11.46,WIN 385,10.907,11.559,11.766,11.932,12.155,10.373,9.935,8.63
8258,390,10.45,WIN 390,10.067,10.535,10.794,10.645,10.955,9.656,9.542,8.341
8442,395,11.76,WIN 395,11.226,11.881,12.354,12.336,12.88,10.575,10.791,7.765
8663,401,11.17,WIN_401,11.034,11.177,11.31,11.452,11.592,10.95,10.639,10.119
8810,405,12.65,WIN 405,12.648,12.535,12.344,13.158,12.868,13.106,11.93,12.597
8994,410,14.71,WIN 410,14.186,14.144,14.646,15.18,15.71,14.675,12.714,12.232
9179,415,13.61,WIN 415,13.576,13.4,13.655,14.244,14.487,13.816,12.506,12.925
9363,420,12.42,WIN 420,12.378,12.38,12.998,12.963,13.676,12.165,11.637,10.828
9547,425,12.42,WIN_425,12.032,12.408,12.674,12.998,13.276,11.898,11.175,9.796
9731,430,13.44,WIN 430,13.332,13.182,13.804,13.971,14.671,13.456,11.88,12.363
9916,435,14.54,WIN435,14.556,14.359,13.625,15.449,14.449,15.451,13.752,14.806
10100,440,13.32,WIN 440,12.487,13.35,13.184,14.182,13.905,12.762,10.604,9.422
10284,445,13.16,WIN 445,12.887,13.156,13.545,13.938,14.351,13.094,11.444,10.684
10505,451,13.24,WIN_451,13.451,12.95,13.679,13.679,14.516,13.195,13.103,13.034
10653,455,13.88,WIN 455,13.574,13.734,13.948,14.664,14.848,13.334,13.204,11.289
10837,460,11.78,WIN 460,11.659,11.703,12.461,12.112,13.012,11.473,11.081,9.771
11021,465,10.81,WIN 465,10.423,10.904,10.684,11.109,10.82,10.043,10.731,8.669
11389,475,11.22,WIN_475,11.259,11.576,11.203,11.954,11.46,10.919,10.811,10.891
11574,480,7.51,WIN 480,7.519,8.027,7.964,7.494,7.463,7.256,7.522,6.907
11758,485,10.15,WIN485,9.525,10.115,10.476,10.117,10.562,8.726,9.75,6.931
12126,495,9.54,WIN 495,9.46,9.77,10.597,9.684,10.713,8.776,9.006,7.675
12311,500,6.6,WIN_500,6.571,7.166,7.27,6.414,6.607,5.763,7.238,5.536
12495,505,7.34,WIN 505,7.31,7.821,7.873,7.236,7.351,6.47,7.879,6.542
12679,510,10.27,WIN 510,9.639,10.407,10.236,10.484,10.267,8.84,9.92,7.318
12863,515,12.05,WIN 515,11.911,12.376,12.216,12.958,12.711,11.529,11.299,10.29
13048,520,7.8,WIN 520,7.741,8.391,8.328,7.951,7.912,7.028,7.5,7.076
13048,525,7.84,WIN_525,7.837,8.257,8.2,7.784,7.754,7.045,8.486,7.335
