year (AD),age (BP),grey_scale (missing)
599.009,1350.991,202.76
596.529,1353.471,202.38
594.049,1355.951,202.24
591.568,1358.432,201.48
589.088,1360.912,201
586.608,1363.392,201.24
584.128,1365.872,201.29
581.648,1368.352,201.43
579.167,1370.833,201.81
576.687,1373.313,201.9
574.207,1375.793,202.1
571.372,1378.628,202.48
568.892,1381.108,202.29
566.412,1383.588,202.24
563.931,1386.069,202.33
561.451,1388.549,201.71
558.971,1391.029,201.1
556.491,1393.509,200.76
554.01,1395.99,200.33
551.53,1398.47,200.24
549.05,1400.95,199.86
546.569,1403.431,199.24
544.089,1405.911,198.86
541.609,1408.391,199.19
538.774,1411.226,199
536.294,1413.706,198.81
533.814,1416.186,199.29
531.333,1418.667,199.24
528.853,1421.147,199.67
526.373,1423.627,199.76
523.892,1426.108,199.57
521.412,1428.588,199.76
518.932,1431.068,199.76
516.451,1433.549,199.29
513.971,1436.029,198.9
511.491,1438.509,198.62
509.01,1440.99,198.71
506.53,1443.47,198.57
503.695,1446.305,198.86
501.215,1448.785,199
498.735,1451.265,198.95
496.254,1453.746,199.14
493.774,1456.226,199.29
491.294,1458.706,199.43
488.813,1461.187,199.9
486.333,1463.667,200.48
483.853,1466.147,200.52
481.372,1468.628,200.19
478.892,1471.108,199.95
476.411,1473.589,199.14
473.931,1476.069,199.33
471.451,1478.549,199.48
468.616,1481.384,199.67
466.136,1483.864,200.05
463.655,1486.345,200.19
461.175,1488.825,200.29
458.694,1491.306,200.38
456.214,1493.786,200.86
453.733,1496.267,201
451.253,1498.747,201.05
448.773,1501.227,200.95
446.292,1503.708,200.76
443.812,1506.188,200.43
441.331,1508.669,199.76
438.851,1511.149,199.1
436.016,1513.984,198.43
433.536,1516.464,197.81
431.055,1518.945,197.29
428.575,1521.425,196.67
426.094,1523.906,195.76
423.614,1526.386,196.19
421.134,1528.866,196.29
418.653,1531.347,196.48
416.173,1533.827,196.9
413.692,1536.308,197.81
411.212,1538.788,198.52
408.731,1541.269,199.14
406.251,1543.749,199.33
403.77,1546.23,199.57
400.935,1549.065,200.48
398.455,1551.545,200.81
395.974,1554.026,200.62
393.494,1556.506,200.86
391.013,1558.987,200.81
388.533,1561.467,200.71
386.052,1563.948,200.19
383.572,1566.428,199.95
381.091,1568.909,199.57
378.611,1571.389,199.05
376.13,1573.87,198.62
373.65,1576.35,198.19
371.169,1578.831,198.14
368.689,1581.311,197.76
365.854,1584.146,197.24
363.373,1586.627,196.76
360.893,1589.107,196.71
358.412,1591.588,196.33
355.932,1594.068,195.86
353.451,1596.549,195.81
350.971,1599.029,195.81
348.49,1601.51,196
346.01,1603.99,195.76
343.529,1606.471,195.29
341.048,1608.952,195.38
338.568,1611.432,195.38
336.087,1613.913,194.76
333.252,1616.748,194.48
330.772,1619.228,194.86
328.291,1621.709,195.43
325.811,1624.189,196.24
323.33,1626.67,197.14
320.849,1629.151,197.62
318.369,1631.631,198.1
315.888,1634.112,198.24
313.408,1636.592,198.1
310.927,1639.073,198.76
308.446,1641.554,199.24
305.966,1644.034,199.38
303.485,1646.515,199.33
301.004,1648.996,199.1
298.169,1651.831,198.38
295.689,1654.311,197.76
293.208,1656.792,197.24
290.728,1659.272,197.1
288.247,1661.753,196.86
285.766,1664.234,196.95
283.286,1666.714,197.05
280.805,1669.195,197.24
278.324,1671.676,197.24
275.844,1674.156,196.95
273.363,1676.637,196.86
270.882,1679.118,196.95
268.402,1681.598,197.57
265.566,1684.434,198
263.086,1686.914,198.71
260.605,1689.395,199
258.124,1691.876,198.81
255.644,1694.356,198.48
253.163,1696.837,198
250.682,1699.318,198
248.202,1701.798,197.95
245.721,1704.279,198.05
243.24,1706.76,197.57
240.759,1709.241,197.29
238.279,1711.721,196.9
235.798,1714.202,196.52
233.317,1716.683,195.9
230.482,1719.518,195.57
228.001,1721.999,195.43
225.521,1724.479,195.57
223.04,1726.96,195.48
220.559,1729.441,195.43
218.078,1731.922,195.05
215.598,1734.402,194.9
213.117,1736.883,194.43
210.636,1739.364,194.1
208.155,1741.845,193.62
205.674,1744.326,193.43
203.194,1746.806,193.67
200.713,1749.287,193.43
198.232,1751.768,193.24
195.397,1754.603,193.57
192.916,1757.084,193.86
190.435,1759.565,194.48
187.954,1762.046,194.67
185.474,1764.526,195.19
182.993,1767.007,195.95
180.512,1769.488,196.62
178.031,1771.969,197
175.55,1774.45,197
173.07,1776.93,197.76
170.589,1779.411,198.38
168.108,1781.892,198.9
165.627,1784.373,199.24
162.792,1787.208,199.24
160.311,1789.689,199.29
157.83,1792.17,199.05
155.349,1794.651,198.81
152.868,1797.132,198.76
150.387,1799.613,198.67
147.906,1802.094,198.43
145.426,1804.574,197.76
142.945,1807.055,197.05
140.464,1809.536,196.48
137.983,1812.017,196.43
135.502,1814.498,196.43
133.021,1816.979,197.14
130.54,1819.46,197.52
127.705,1822.295,197.71
125.224,1824.776,197.76
122.743,1827.257,198.05
120.262,1829.738,198
117.781,1832.219,198.24
115.3,1834.7,198.52
112.819,1837.181,198.71
110.338,1839.662,198.24
107.857,1842.143,197.81
105.376,1844.624,197.29
102.895,1847.105,197.29
100.415,1849.585,197.57
97.934,1852.066,197.71
95.453,1854.547,198.05
92.617,1857.383,198.14
90.136,1859.864,198.24
87.655,1862.345,198.19
85.174,1864.826,198.62
82.693,1867.307,199.43
80.212,1869.788,199.86
77.731,1872.269,199.95
75.25,1874.75,199.81
72.769,1877.231,200.14
70.288,1879.712,200.19
67.807,1882.193,200.43
65.326,1884.674,200.62
62.845,1887.155,200.71
60.01,1889.99,200.62
57.529,1892.471,200.14
55.048,1894.952,199.71
52.567,1897.433,199.38
50.085,1899.915,199.48
47.604,1902.396,199.19
45.123,1904.877,198.81
42.642,1907.358,198.62
40.161,1909.839,198.57
37.68,1912.32,198.48
35.199,1914.801,198.33
32.718,1917.282,198.52
30.237,1919.763,198.86
27.756,1922.244,198.95
24.92,1925.08,199.05
22.439,1927.561,199.24
19.958,1930.042,199.33
17.477,1932.523,199.29
14.996,1935.004,198.86
12.515,1937.485,198.48
10.033,1939.967,198.71
7.552,1942.448,199.05
5.071,1944.929,199.19
2.59,1947.41,199.19
0.109,1949.891,199.24
-2.372,1952.372,199.29
-4.853,1954.853,199.43
-7.689,1957.689,199.67
-10.17,1960.17,200.05
-12.651,1962.651,200.24
-15.133,1965.133,200.05
-17.614,1967.614,199.62
-20.095,1970.095,199.33
-22.576,1972.576,199.57
-25.057,1975.057,199.86
-27.538,1977.538,199.95
-30.02,1980.02,199.71
-32.501,1982.501,199.71
-34.982,1984.982,199.81
-37.463,1987.463,199.62
-39.945,1989.945,199.95
-42.78,1992.78,200.19
-45.262,1995.262,200.52
-47.743,1997.743,200.29
-50.224,2000.224,199.95
-52.705,2002.705,199.86
-55.187,2005.187,200.14
-57.668,2007.668,200.52
-60.149,2010.149,200.57
-62.63,2012.63,200.67
-65.112,2015.112,200.95
-67.593,2017.593,201
-70.074,2020.074,201.29
-72.555,2022.555,201.24
-75.037,2025.037,201.71
-77.873,2027.873,201.76
-80.354,2030.354,201.76
-82.835,2032.835,201.43
-85.316,2035.316,201.24
