year (AD),age (BP),d18O (missing)
-70,2020,-30.035
-80,2030,-30.01
-90,2040,-31.551
-100,2050,-35.415
-110,2060,-34.635
-120,2070,-32.921
-130,2080,-30.837
-140,2090,-31.686
-150,2100,-31.004
-160,2110,-29.95
-170,2120,-30.203
-180,2130,-29.108
-190,2140,-27.19
-200,2150,-28.663
-210,2160,-29.698
-220,2170,-33.247
-230,2180,-33.902
-240,2190,-30.743
-250,2200,-32.17
-260,2210,-31.816
-270,2220,-33.033
-280,2230,-34.97
-290,2240,-36.307
-300,2250,-33.721
-310,2260,-31.918
-320,2270,-31.002
-330,2280,-31.418
-340,2290,-33.128
-350,2300,-34.09
-360,2310,-32.611
-370,2320,-33.618
-380,2330,-33.698
-390,2340,-33.728
-400,2350,-34.736
-410,2360,-34.145
-420,2370,-32.308
-430,2380,-32.226
-440,2390,-33.504
-450,2400,-33.842
-460,2410,-32.653
-470,2420,-32.39
-480,2430,-32.266
-490,2440,-32.329
-500,2450,-32.491
-510,2460,-32.77
-520,2470,-32.821
-530,2480,-34.034
-540,2490,-34.516
-550,2500,-31.534
-560,2510,-29.229
-570,2520,-29.292
-580,2530,-32.733
-590,2540,-36.177
-600,2550,-36.448
-610,2560,-34.705
-620,2570,-30.918
-630,2580,-32.802
-640,2590,-33.661
-650,2600,-33.817
-660,2610,-34.418
-670,2620,-33.975
-680,2630,-33.358
-690,2640,-32.603
-700,2650,-31.208
-710,2660,-32.208
-720,2670,-34.158
-730,2680,-31.73
-740,2690,-30.346
-750,2700,-30.887
-760,2710,-30.724
-770,2720,-30.364
-780,2730,-32.692
-790,2740,-35.052
-800,2750,-34.612
-810,2760,-33.916
-820,2770,-33.144
-830,2780,-32.748
-840,2790,-32.372
-850,2800,-30.501
-860,2810,-29.644
-870,2820,-30.7
-880,2830,-31.419
-890,2840,-29.751
-900,2850,-30.448
-910,2860,-31.098
-920,2870,-30.211
-930,2880,-30.919
-940,2890,-30.656
-950,2900,-31.036
-960,2910,-31.331
-970,2920,-31.992
-980,2930,-31.693
-990,2940,-30.926
-1000,2950,-31.642
-1010,2960,-33.78
-1020,2970,-33.485
-1030,2980,-33.119
-1040,2990,-32.45
-1050,3000,-32.058
-1060,3010,-31.844
-1070,3020,-32.059
-1080,3030,-31.944
-1090,3040,-31.795
-1100,3050,-32.659
-1110,3060,-32.642
-1120,3070,-30.319
-1130,3080,-29.4
-1140,3090,-32.108
-1150,3100,-33.694
-1160,3110,-33.666
-1170,3120,-33.984
-1180,3130,-34.234
-1190,3140,-33.561
-1200,3150,-31.968
-1210,3160,-29.86
-1220,3170,-29.85
-1230,3180,-29.825
-1240,3190,-30.24
-1250,3200,-30.476
-1260,3210,-30.589
-1270,3220,-30.806
-1280,3230,-29.92
-1290,3240,-29.042
-1300,3250,-28.321
-1310,3260,-28.606
-1320,3270,-29.742
-1330,3280,-31.069
-1340,3290,-31.79
-1350,3300,-31.177
-1360,3310,-31.445
-1370,3320,-31.781
-1380,3330,-32.421
-1390,3340,-32.453
-1400,3350,-31.296
-1410,3360,-30.378
-1420,3370,-30.985
-1430,3380,-31.137
-1440,3390,-31.069
-1450,3400,-31.598
-1460,3410,-31.2
-1470,3420,-30.017
-1480,3430,-30.065
-1490,3440,-31.35
-1500,3450,-31.975
-1510,3460,-31.47
-1520,3470,-32.435
-1530,3480,-31.041
-1540,3490,-30.026
-1550,3500,-29.69
-1560,3510,-29.734
-1570,3520,-29.75
-1580,3530,-30.904
-1590,3540,-32.139
-1600,3550,-32.466
-1610,3560,-32.507
-1620,3570,-32.544
-1630,3580,-32.8
-1640,3590,-32.062
-1650,3600,-31.895
-1660,3610,-31.67
-1670,3620,-30.767
-1680,3630,-30.685
-1690,3640,-32.18
-1700,3650,-31.938
-1710,3660,-31.778
-1720,3670,-31.35
-1730,3680,-31.76
-1740,3690,-32.086
-1750,3700,-31.68
-1760,3710,-31.589
-1770,3720,-31.48
-1780,3730,-31.917
-1790,3740,-31.907
-1800,3750,-31.59
-1810,3760,-31.557
-1820,3770,-31.509
-1830,3780,-30.93
-1840,3790,-30.609
-1850,3800,-30.07
-1860,3810,-30.548
-1870,3820,-30.856
-1880,3830,-32.05
-1890,3840,-32.023
-1900,3850,-31.99
-1910,3860,-32.354
-1920,3870,-32.453
-1930,3880,-31.79
-1940,3890,-31.524
-1950,3900,-31.06
-1960,3910,-31.388
-1970,3920,-31.61
-1980,3930,-32.72
-1990,3940,-32.882
-2000,3950,-32.95
-2010,3960,-32.826
-2020,3970,-32.65
-2030,3980,-32.668
-2040,3990,-32.68
-2050,4000,-34.941
-2060,4010,-35.43
-2070,4020,-35.662
-2080,4030,-37.54
-2090,4040,-37.464
-2100,4050,-37.07
-2110,4060,-37.255
-2120,4070,-37.75
-2130,4080,-37.304
-2140,4090,-36.23
-2150,4100,-35.002
-2160,4110,-33.87
-2170,4120,-33.489
-2180,4130,-33.35
-2190,4140,-33.462
-2200,4150,-33.466
-2210,4160,-33.17
-2220,4170,-33.22
-2230,4180,-33.4
-2240,4190,-33.022
-2250,4200,-32.39
-2260,4210,-32.465
-2270,4220,-32.56
-2280,4230,-32.4
-2290,4240,-32.28
-2300,4250,-31.739
-2310,4260,-31.49
-2320,4270,-31.476
-2330,4280,-31.47
-2340,4290,-31.841
-2350,4300,-31.94
-2360,4310,-32.198
-2370,4320,-32.24
-2380,4330,-31.533
-2390,4340,-31.39
-2400,4350,-30.945
-2410,4360,-30.88
-2420,4370,-30.137
-2430,4380,-30.05
-2440,4390,-30.772
-2450,4400,-30.85
-2460,4410,-31.238
-2470,4420,-31.33
-2480,4430,-31.361
-2490,4440,-31.392
-2500,4450,-31.5
-2510,4460,-31.454
-2520,4470,-31.4
-2530,4480,-31.389
-2540,4490,-31.35
-2550,4500,-31.35
-2560,4510,-31.777
-2570,4520,-31.84
-2580,4530,-32.176
-2590,4540,-32.41
-2600,4550,-32.218
-2610,4560,-31.45
-2620,4570,-31.45
-2630,4580,-30.994
-2640,4590,-30.93
-2650,4600,-30.934
-2660,4610,-30.94
-2670,4620,-31.057
-2680,4630,-32.45
-2690,4640,-32.45
-2700,4650,-32.762
-2710,4660,-32.97
-2720,4670,-32.961
-2730,4680,-32.92
-2740,4690,-32.92
-2750,4700,-32.73
-2760,4710,-32.67
-2770,4720,-32.568
-2780,4730,-32.19
-2790,4740,-32.19
-2800,4750,-31.917
-2810,4760,-31.82
-2820,4770,-31.695
-2830,4780,-30.94
-2840,4790,-30.94
-2850,4800,-30.395
-2860,4810,-30.06
-2870,4820,-30.06
-2880,4830,-33.299
-2890,4840,-33.38
-2900,4850,-33.38
-2910,4860,-33.37
-2920,4870,-33.37
-2930,4880,-33.37
-2940,4890,-32.989
-2950,4900,-32.95
-2960,4910,-32.95
-2970,4920,-33.063
-2980,4930,-33.08
-2990,4940,-33.08
-3000,4950,-32.687
-3010,4960,-32.52
-3020,4970,-32.52
-3030,4980,-32.515
-3040,4990,-32.51
-3050,5000,-32.51
-3060,5010,-32.514
-3070,5020,-32.52
-3080,5030,-32.52
-3090,5040,-32.513
-3100,5050,-32.44
-3110,5060,-32.44
-3120,5070,-32.44
-3130,5080,-32.79
-3140,5090,-32.84
-3150,5100,-32.84
-3160,5110,-32.849
-3170,5120,-32.843
-3180,5130,-32.82
-3190,5140,-32.288
-3200,5150,-31.96
-3210,5160,-30.991
-3220,5170,-31.653
-3230,5180,-32.98
-3240,5190,-32.532
-3250,5200,-31.684
-3260,5210,-31.191
-3270,5220,-30.6
-3280,5230,-29.409
-3290,5240,-28.994
-3300,5250,-30.58
-3310,5260,-31.491
-3320,5270,-32.128
-3330,5280,-32.74
-3340,5290,-32.482
-3350,5300,-32.26
-3360,5310,-31.796
-3370,5320,-31.177
-3380,5330,-30.23
-3390,5340,-30.428
-3400,5350,-30.46
-3410,5360,-30.46
-3420,5370,-30.64
-3430,5380,-30.631
-3440,5390,-29.02
-3450,5400,-29.28
-3460,5410,-29.54
-3470,5420,-30.004
-3480,5430,-30.07
-3490,5440,-30.208
-3500,5450,-30.256
-3510,5460,-29.97
-3520,5470,-29.904
-3530,5480,-29.843
-3540,5490,-29.65
-3550,5500,-29.599
-3560,5510,-29.58
-3570,5520,-29.69
-3580,5530,-30.224
-3590,5540,-30.588
-3600,5550,-30.31
-3610,5560,-30.565
-3620,5570,-30.82
-3630,5580,-29.341
-3640,5590,-30.017
-3650,5600,-31.12
-3660,5610,-31.692
-3670,5620,-31.746
-3680,5630,-31.11
-3690,5640,-31.286
-3700,5650,-31.45
-3710,5660,-31.342
-3720,5670,-31.294
-3730,5680,-31.16
-3740,5690,-31.062
-3750,5700,-30.99
-3760,5710,-30.673
-3770,5720,-30.571
-3780,5730,-30.37
-3790,5740,-30.886
-3800,5750,-31.29
-3810,5760,-31.442
-3820,5770,-31.451
-3830,5780,-31.42
-3840,5790,-31.42
-3850,5800,-30.856
-3860,5810,-30.29
-3870,5820,-29.987
-3880,5830,-29.88
-3890,5840,-30.079
-3900,5850,-30.12
-3910,5860,-29.723
-3920,5870,-29.68
-3930,5880,-31.182
-3940,5890,-31.37
-3950,5900,-31.408
-3960,5910,-31.41
-3970,5920,-30.074
-3980,5930,-29.93
-3990,5940,-28.245
-4000,5950,-28.12
-4010,5960,-29.341
-4020,5970,-29.52
-4030,5980,-30.345
-4040,5990,-30.46
-4050,6000,-30.928
-4060,6010,-31.29
-4070,6020,-31.213
-4080,6030,-30.96
-4090,6040,-30.96
-4100,6050,-30.524
-4110,6060,-30.47
-4120,6070,-30.762
-4130,6080,-30.95
-4140,6090,-31.16
-4150,6100,-31.85
-4160,6110,-31.85
-4170,6120,-31.909
-4180,6130,-31.92
-4190,6140,-30.71
-4200,6150,-29.16
-4210,6160,-29.161
-4220,6170,-29.17
-4230,6180,-29.17
-4240,6190,-30.062
-4250,6200,-30.52
-4260,6210,-30.272
-4270,6220,-29.33
-4280,6230,-29.33
-4290,6240,-30.668
-4300,6250,-31.14
-4310,6260,-31.75
-4320,6270,-32.95
-4330,6280,-32.952
-4340,6290,-33.66
-4350,6300,-33.66
-4360,6310,-32.836
-4370,6320,-32.4
-4380,6330,-32.419
-4390,6340,-32.45
-4400,6350,-32.45
-4410,6360,-32.98
-4420,6370,-32.98
-4430,6380,-32.828
-4440,6390,-32.73
-4450,6400,-32.787
-4460,6410,-32.93
-4470,6420,-32.93
-4480,6430,-33.206
-4490,6440,-33.25
-4500,6450,-33.514
-4510,6460,-33.87
-4520,6470,-33.744
-4530,6480,-31.85
-4540,6490,-31.85
-4550,6500,-31.654
-4560,6510,-31.52
-4570,6520,-31.464
-4580,6530,-31.24
-4590,6540,-31.24
-4600,6550,-31.703
-4610,6560,-31.9
-4620,6570,-31.829
-4630,6580,-31.52
-4640,6590,-31.52
-4650,6600,-30.825
-4660,6610,-30.59
-4670,6620,-30.543
-4680,6630,-30.43
-4690,6640,-30.43
-4700,6650,-30.759
-4710,6660,-30.79
-4720,6670,-30.91
-4730,6680,-31.02
-4740,6690,-30.929
-4750,6700,-30.22
-4760,6710,-30.22
-4770,6720,-30.322
-4780,6730,-30.39
-4790,6740,-30.557
-4800,6750,-31.43
-4810,6760,-31.43
-4820,6770,-31.465
-4830,6780,-31.48
-4840,6790,-31.446
-4850,6800,-31.34
-4860,6810,-31.34
-4870,6820,-30.968
-4880,6830,-30.78
-4890,6840,-30.628
-4900,6850,-29.87
-4910,6860,-29.87
-4920,6870,-29.772
-4930,6880,-29.72
-4940,6890,-29.726
-4950,6900,-29.77
-4960,6910,-29.77
-4970,6920,-30.148
-4980,6930,-30.55
-4990,6940,-30.55
-5000,6950,-29.968
-5010,6960,-29.92
-5020,6970,-30.282
-5030,6980,-30.96
-5040,6990,-30.96
-5050,7000,-31.268
-5060,7010,-31.43
-5070,7020,-31.486
-5080,7030,-32.65
-5090,7040,-32.65
-5100,7050,-33.058
-5110,7060,-33.62
-5120,7070,-33.62
-5130,7080,-35.243
-5140,7090,-35.46
-5150,7100,-34.967
-5160,7110,-33.26
-5170,7120,-33.26
-5180,7130,-32.067
-5190,7140,-31.09
-5200,7150,-31.09
-5210,7160,-30.764
-5220,7170,-30.71
-5230,7180,-30.713
-5240,7190,-30.73
-5250,7200,-30.73
-5260,7210,-30.751
-5270,7220,-30.77
-5280,7230,-30.77
-5290,7240,-31.361
-5300,7250,-31.52
-5310,7260,-31.629
-5320,7270,-35.36
-5330,7280,-35.36
-5340,7290,-35.413
-5350,7300,-35.57
-5360,7310,-35.57
-5370,7320,-34.873
-5380,7330,-34.04
-5390,7340,-34.04
-5400,7350,-33.513
-5410,7360,-33.22
-5420,7370,-33.22
-5430,7380,-31.995
-5440,7390,-31.89
-5450,7400,-31.672
-5460,7410,-31.54
-5470,7420,-32.232
-5480,7430,-33.78
-5490,7440,-33.78
-5500,7450,-33.45
-5510,7460,-33.17
-5520,7470,-33.17
-5530,7480,-32.583
-5540,7490,-32.26
-5550,7500,-32.26
-5560,7510,-32.361
-5570,7520,-32.38
-5580,7530,-32.38
-5590,7540,-31.944
-5600,7550,-31.9
-5610,7560,-31.9
-5620,7570,-32.091
-5630,7580,-32.1
-5640,7590,-32.1
-5650,7600,-32.1
-5660,7610,-31.581
-5670,7620,-30.7
-5680,7630,-30.7
-5690,7640,-30.63
-5700,7650,-30.51
-5710,7660,-30.51
-5720,7670,-30.132
-5730,7680,-29.69
-5740,7690,-29.69
-5750,7700,-29.572
-5760,7710,-29.47
-5770,7720,-29.47
-5780,7730,-29.921
-5790,7740,-30.42
-5800,7750,-30.42
-5810,7760,-30.42
-5820,7770,-30.42
-5830,7780,-30.42
-5840,7790,-30.42
-5850,7800,-30.38
-5860,7810,-30.37
-5870,7820,-30.37
-5880,7830,-30.37
-5890,7840,-30.37
-5900,7850,-30.37
-5910,7860,-30.37
-5920,7870,-30.37
-5930,7880,-30.37
-5940,7890,-30.447
-5950,7900,-30.49
-5960,7910,-30.49
-5970,7920,-30.49
-5980,7930,-30.49
-5990,7940,-30.49
-6000,7950,-30.49
-6010,7960,-30.49
-6020,7970,-30.49
-6030,7980,-30.49
-6040,7990,-30.49
-6050,8000,-30.49
-6060,8010,-30.687
-6070,8020,-30.8
-6080,8030,-30.8
-6090,8040,-30.8
-6100,8050,-30.8
-6110,8060,-30.8
-6120,8070,-30.8
-6130,8080,-30.514
-6140,8090,-30.41
-6150,8100,-30.41
-6160,8110,-30.41
-6170,8120,-30.41
-6180,8130,-30.41
-6190,8140,-30.41
-6200,8150,-30.41
-6210,8160,-30.41
-6220,8170,-30.41
-6230,8180,-30.41
-6240,8190,-30.599
-6250,8200,-30.6
-6260,8210,-30.6
-6270,8220,-30.6
-6280,8230,-30.6
-6290,8240,-30.6
-6300,8250,-30.6
-6310,8260,-30.669
-6320,8270,-30.71
-6330,8280,-30.71
-6340,8290,-30.71
-6350,8300,-30.71
-6360,8310,-30.71
-6370,8320,-30.71
-6380,8330,-30.912
-6390,8340,-31.29
-6400,8350,-31.29
-6410,8360,-31.29
-6420,8370,-31.29
-6430,8380,-31.29
-6440,8390,-31.29
-6450,8400,-29.013
-6460,8410,-28.38
-6470,8420,-28.38
-6480,8430,-28.38
-6490,8440,-28.38
-6500,8450,-28.38
-6510,8460,-28.38
-6520,8470,-29.77
-6530,8480,-29.9
-6540,8490,-29.9
-6550,8500,-29.9
-6560,8510,-29.9
-6570,8520,-29.9
-6580,8530,-29.823
-6590,8540,-29.42
-6600,8550,-29.42
-6610,8560,-29.42
-6620,8570,-29.42
-6630,8580,-29.42
-6640,8590,-29.42
-6650,8600,-29.364
-6660,8610,-29.24
-6670,8620,-29.24
-6680,8630,-29.24
-6690,8640,-29.24
-6700,8650,-29.24
-6710,8660,-29.24
-6720,8670,-29.22
-6730,8680,-29.1
-6740,8690,-29.1
-6750,8700,-29.1
-6760,8710,-29.1
-6770,8720,-29.1
-6780,8730,-29.1
-6790,8740,-29.19
-6800,8750,-30.01
-6810,8760,-30.01
-6820,8770,-30.01
-6830,8780,-30.01
-6840,8790,-30.01
-6850,8800,-30.01
-6860,8810,-30.01
-6870,8820,-30.01
-6880,8830,-30.01
-6890,8840,-30.01
-6900,8850,-30.01
-6910,8860,-30.621
-6920,8870,-31.44
-6930,8880,-31.44
-6940,8890,-31.44
-6950,8900,-31.44
-6960,8910,-31.44
-6970,8920,-30.81
-6980,8930,-30.15
-6990,8940,-30.15
-7000,8950,-30.15
-7010,8960,-30.15
-7020,8970,-30.15
-7030,8980,-30.303
-7040,8990,-30.47
-7050,9000,-30.47
-7060,9010,-30.47
-7070,9020,-30.47
-7080,9030,-30.47
-7090,9040,-30.47
-7100,9050,-30.005
-7110,9060,-29.8
-7120,9070,-29.8
-7130,9080,-29.8
-7140,9090,-29.8
-7150,9100,-29.8
-7160,9110,-29.8
-7170,9120,-30.271
-7180,9130,-30.62
-7190,9140,-30.62
-7200,9150,-30.62
-7210,9160,-30.62
-7220,9170,-30.62
-7230,9180,-30.62
-7240,9190,-31.23
-7250,9200,-32.32
-7260,9210,-32.32
-7270,9220,-32.32
-7280,9230,-32.32
-7290,9240,-32.32
-7300,9250,-32.32
-7310,9260,-32.375
-7320,9270,-32.51
-7330,9280,-32.51
-7340,9290,-32.51
-7350,9300,-32.51
-7360,9310,-32.51
-7370,9320,-32.51
-7380,9330,-32.51
-7390,9340,-32.021
-7400,9350,-31.95
-7410,9360,-31.95
-7420,9370,-31.95
-7430,9380,-31.95
-7440,9390,-31.95
-7450,9400,-31.95
-7460,9410,-30.869
-7470,9420,-30.15
-7480,9430,-30.15
-7490,9440,-30.15
-7500,9450,-30.15
-7510,9460,-30.15
-7520,9470,-30.15
-7530,9480,-30.15
-7540,9490,-29.02
-7550,9500,-28.99
-7560,9510,-28.99
-7570,9520,-28.99
-7580,9530,-28.99
-7590,9540,-28.99
-7600,9550,-28.99
-7610,9560,-28.949
-7620,9570,-28.82
-7630,9580,-28.82
-7640,9590,-28.82
-7650,9600,-28.82
-7660,9610,-28.82
-7670,9620,-28.82
-7680,9630,-28.82
-7690,9640,-28.285
-7700,9650,-28
-7710,9660,-28
-7720,9670,-28
-7730,9680,-28
-7740,9690,-28
-7750,9700,-28
-7760,9710,-28
-7770,9720,-29.137
-7780,9730,-29.64
-7790,9740,-29.64
-7800,9750,-29.64
-7810,9760,-29.64
-7820,9770,-29.64
-7830,9780,-29.64
-7840,9790,-29.64
-7850,9800,-30.343
-7860,9810,-30.43
-7870,9820,-30.43
-7880,9830,-30.43
-7890,9840,-30.43
-7900,9850,-30.681
-7910,9860,-31.02
-7920,9870,-31.02
-7930,9880,-31.02
-7940,9890,-31.02
-7950,9900,-30.89
-7960,9910,-30.83
-7970,9920,-30.83
-7980,9930,-30.83
-7990,9940,-30.83
-8000,9950,-30.93
-8010,9960,-30.94
-8020,9970,-30.94
-8030,9980,-30.94
-8040,9990,-30.94
-8050,10000,-30.94
-8060,10010,-30.94
-8070,10020,-30.94
-8080,10030,-31.901
-8090,10040,-33.08
-8100,10050,-33.08
-8110,10060,-33.08
-8120,10070,-33.08
-8130,10080,-33.08
-8140,10090,-33.08
-8150,10100,-33.08
-8160,10110,-33.08
-8170,10120,-34.122
-8180,10130,-34.66
-8190,10140,-34.66
-8200,10150,-34.66
-8210,10160,-34.66
-8220,10170,-34.66
-8230,10180,-34.66
-8240,10190,-34.66
-8250,10200,-34.66
-8260,10210,-34.66
-8270,10220,-34.66
-8280,10230,-34.66
-8290,10240,-34.66
-8300,10250,-33.38
-8310,10260,-32.29
-8320,10270,-32.29
-8330,10280,-32.29
-8340,10290,-31.226
-8350,10300,-31.17
-8360,10310,-31.17
-8370,10320,-31.511
-8380,10330,-31.79
-8390,10340,-31.79
-8400,10350,-31.79
-8410,10360,-31.496
-8420,10370,-31.47
-8430,10380,-31.47
-8440,10390,-31.47
-8450,10400,-31.47
-8460,10410,-31.467
-8470,10420,-31.46
-8480,10430,-31.46
-8490,10440,-31.46
-8500,10450,-31.46
-8510,10460,-31.46
-8520,10470,-31.122
-8530,10480,-31.08
-8540,10490,-31.08
-8550,10500,-31.08
-8560,10510,-31.08
-8570,10520,-31.08
-8580,10530,-31.08
-8590,10540,-31.08
-8600,10550,-30.941
-8610,10560,-30.82
-8620,10570,-30.82
-8630,10580,-30.82
-8640,10590,-30.82
-8650,10600,-30.82
-8660,10610,-31.28
-8670,10620,-31.29
-8680,10630,-31.29
-8690,10640,-31.29
-8700,10650,-31.29
-8710,10660,-31.185
-8720,10670,-31.01
-8730,10680,-31.01
-8740,10690,-31.01
-8750,10700,-31.01
-8760,10710,-31.01
-8770,10720,-31.466
-8780,10730,-31.65
-8790,10740,-31.65
-8800,10750,-31.65
-8810,10760,-31.65
-8820,10770,-31.651
-8830,10780,-31.96
-8840,10790,-31.96
-8850,10800,-31.96
-8860,10810,-31.96
-8870,10820,-31.96
-8880,10830,-32.067
-8890,10840,-32.41
-8900,10850,-32.41
-8910,10860,-32.41
-8920,10870,-32.41
-8930,10880,-32.41
-8940,10890,-32.694
-8950,10900,-33.08
-8960,10910,-33.08
-8970,10920,-33.08
-8980,10930,-33.08
-8990,10940,-33.08
-9000,10950,-33.617
-9010,10960,-34.05
-9020,10970,-34.05
-9030,10980,-34.05
-9040,10990,-34.05
-9050,11000,-34.05
-9060,11010,-33.883
-9070,11020,-33.78
-9080,11030,-33.78
-9090,11040,-33.78
-9100,11050,-33.78
-9110,11060,-33.78
-9120,11070,-33.609
-9130,11080,-33.47
-9140,11090,-33.47
-9150,11100,-33.47
-9160,11110,-33.47
-9170,11120,-33.47
-9180,11130,-32.946
-9190,11140,-32.24
-9200,11150,-32.24
-9210,11160,-32.24
-9220,11170,-32.24
-9230,11180,-32.24
-9240,11190,-32.164
-9250,11200,-31.93
-9260,11210,-31.93
-9270,11220,-31.93
-9280,11230,-31.93
-9290,11240,-31.93
-9300,11250,-31.931
-9310,11260,-32.72
-9320,11270,-32.72
-9330,11280,-32.72
-9340,11290,-32.72
-9350,11300,-32.72
-9360,11310,-32.72
-9370,11320,-33.005
-9380,11330,-33.13
-9390,11340,-33.13
-9400,11350,-33.13
-9410,11360,-33.13
-9420,11370,-33.13
-9430,11380,-32.864
-9440,11390,-32.33
-9450,11400,-32.33
-9460,11410,-32.33
-9470,11420,-32.33
-9480,11430,-32.33
-9490,11440,-32.33
-9500,11450,-32.014
-9510,11460,-31.98
-9520,11470,-31.98
-9530,11480,-31.98
-9540,11490,-31.98
-9550,11500,-31.98
-9560,11510,-31.93
-9570,11520,-31.86
-9580,11530,-31.86
-9590,11540,-31.86
-9600,11550,-31.86
-9610,11560,-31.86
-9620,11570,-31.86
-9630,11580,-31.714
-9640,11590,-31.69
-9650,11600,-31.69
-9660,11610,-31.69
-9670,11620,-31.69
-9680,11630,-31.69
-9690,11640,-31.848
-9700,11650,-32.35
-9710,11660,-32.35
-9720,11670,-32.35
-9730,11680,-32.35
-9740,11690,-32.35
-9750,11700,-32.35
-9760,11710,-33.537
-9770,11720,-33.75
-9780,11730,-33.75
-9790,11740,-33.843
-9800,11750,-34.07
-9810,11760,-34.07
-9820,11770,-34.07
-9830,11780,-33.76
-9840,11790,-33.64
-9850,11800,-33.64
-9860,11810,-33.648
-9870,11820,-33.7
-9880,11830,-33.7
-9890,11840,-33.7
-9900,11850,-34.379
-9910,11860,-35.01
-9920,11870,-35.01
-9930,11880,-35.01
-9940,11890,-35.161
-9950,11900,-35.18
-9960,11910,-35.18
-9970,11920,-35.068
-9980,11930,-34.72
-9990,11940,-34.72
-10000,11950,-34.72
-10010,11960,-34.454
-10020,11970,-34.26
-10030,11980,-34.26
-10040,11990,-34.26
-10050,12000,-35.654
-10060,12010,-35.82
