depth (cm),age (BP),ROI (percent)
117.4,5474,66.6
117.7,5489,66.8
118,5505,65.2
118.3,5520,65.3
118.6,5535,65.8
118.9,5550,66.3
119.2,5566,64.3
119.5,5581,63.5
119.8,5596,66.3
120.1,5611,65.1
120.4,5627,67.1
120.7,5642,66.8
121,5657,68.5
121.3,5672,61.4
121.6,5688,63.3
121.9,5703,66.9
122.2,5718,67.2
122.5,5733,68.1
122.8,5749,66
123.1,5764,63.5
123.4,5779,65.1
123.7,5794,63.3
124,5810,64.2
124.3,5825,62.2
124.6,5840,59.6
124.9,5855,61.7
125.2,5871,64.1
125.6,5891,62
125.9,5906,60
126.1,5916,62.4
126.4,5931,62.3
126.7,5947,63
127,5962,64.5
127.3,5977,62.5
127.6,5992,60.5
127.9,6008,65.6
128.2,6023,64.5
128.5,6038,66.1
128.8,6053,65.4
129.1,6069,63.5
129.4,6084,64.4
129.7,6099,64.5
130,6114,62.5
130.3,6130,59.3
130.6,6145,61
130.9,6160,61.8
131.2,6175,60.7
131.5,6191,62.4
131.8,6206,61.7
132.1,6221,62.5
132.4,6236,59.3
132.7,6252,58.8
133,6267,60.7
133.3,6282,60.8
133.6,6297,60.5
133.9,6313,58.7
134.2,6328,60.4
134.5,6343,65.5
134.8,6358,62.2
135.1,6374,60.6
135.4,6389,62.1
135.7,6404,57.2
136,6419,60.8
136.3,6435,61.3
136.6,6450,62.8
136.9,6465,65.2
137.2,6480,59.1
137.5,6496,63.6
137.8,6511,61
138.1,6526,63.8
138.4,6541,65.2
138.7,6557,60.1
139,6572,63.9
139.3,6587,56.7
139.6,6602,63.7
139.9,6618,60.4
140.2,6633,67.4
140.5,6648,63.6
140.8,6663,64.3
141.1,6678,66.8
141.4,6694,68.8
141.7,6709,69.2
142,6724,63.7
142.3,6739,65.2
142.6,6753,65.4
142.9,6767,65.1
143.2,6780,61.6
143.5,6794,62.3
143.8,6808,60.5
144.1,6822,56.9
144.4,6836,59.8
144.7,6850,60
145,6864,62.6
145.3,6878,58.5
145.6,6892,59.4
145.9,6906,62.5
146.2,6920,61
146.5,6934,60.4
146.8,6948,59.6
147.1,6962,61.5
147.4,6976,62.8
147.7,6990,66.3
148,7004,64.1
148.3,7018,65.5
148.6,7032,65.3
148.9,7046,64.8
149.2,7060,64.1
149.5,7074,67
149.8,7088,69.4
150.1,7102,65.2
150.4,7116,68.4
150.7,7130,71.7
151,7143,68.3
151.3,7157,70
151.6,7171,69.2
151.9,7185,74.5
152.2,7199,69.6
152.5,7213,66.6
152.8,7227,68.4
153.1,7241,72
153.4,7255,70.4
153.7,7269,72.2
154,7283,70
154.3,7297,70.5
154.7,7316,71.4
155,7330,76.3
155.3,7344,64.1
155.6,7358,63.3
155.9,7372,67.2
156.2,7385,69.7
156.5,7399,65.5
156.8,7413,68.6
157.1,7427,71.9
157.4,7441,68.5
157.7,7455,70.2
158,7469,72.1
158.3,7483,70
158.6,7497,71.1
158.9,7511,71
159.2,7525,69.2
159.5,7539,72
159.8,7553,72.1
160.1,7567,69.5
160.4,7581,71.4
160.7,7595,69.9
161,7609,70.9
161.3,7623,68.8
161.6,7637,68.4
161.9,7651,66.8
162.2,7665,67
162.5,7679,66.7
162.8,7693,71.6
163.1,7707,73.3
163.4,7721,67.9
163.7,7735,67.1
164,7748,59.1
164.3,7762,59.8
164.6,7776,59.8
164.9,7790,61.3
165.2,7804,60.2
165.5,7818,60.3
165.8,7832,61.7
166.1,7846,60
166.4,7860,60
166.7,7874,59.1
167,7888,58.3
167.3,7902,59
167.6,7916,59.7
167.9,7930,57.6
168.2,7944,58
168.5,7958,56.2
168.9,7977,55.7
169.2,7990,56
169.5,8004,54.1
169.8,8018,55
170.1,8032,57.4
170.4,8046,57.1
170.7,8060,53.4
171,8074,55.2
171.3,8088,55.9
171.6,8102,56
171.9,8116,59
172.2,8130,59.8
172.5,8144,58.6
172.8,8158,59.8
173.1,8172,57.1
173.4,8186,59.8
173.7,8200,65
174,8214,59.4
174.3,8228,62.1
174.6,8242,60.5
174.9,8256,64
175.2,8270,61.8
175.5,8284,65.5
175.8,8298,65.1
176.1,8312,65
176.4,8326,69.2
176.7,8340,67.2
177,8353,68.9
177.3,8367,67.4
177.6,8381,63.1
177.9,8395,66.8
178.2,8409,70
178.5,8423,70.5
178.8,8437,69.3
179.1,8451,69.7
179.4,8465,68.8
179.7,8479,68.1
180,8493,66.4
180.3,8507,67.7
180.6,8521,70.5
180.9,8535,71.9
181.2,8549,69.5
181.5,8563,69.4
181.8,8577,68.9
182.1,8591,74.4
182.4,8605,70.8
182.7,8619,64.7
183,8633,64.3
183.3,8647,60.9
183.6,8661,62.4
183.9,8675,60.4
184.2,8689,58.7
184.5,8702,59.8
184.8,8716,61.9
185.1,8730,60.2
185.4,8744,61.3
185.7,8758,61.3
186,8772,65.8
186.3,8786,67.7
186.6,8800,66.1
186.9,8814,69.7
187.2,8828,70.5
187.5,8842,72.7
187.8,8856,73.8
188.1,8870,78.1
188.4,8884,79.5
188.7,8898,79.1
189,8912,81.8
189.3,8926,80
189.6,8940,75.1
189.9,8954,71.5
190.2,8968,71.7
190.5,8982,67.5
190.8,8996,66.7
191.1,9010,66.7
191.4,9024,70.1
191.7,9038,72.1
192,9052,70.2
192.3,9065,71.4
192.6,9079,70.6
192.9,9093,69.7
193.2,9107,68
193.5,9121,65.6
193.8,9135,65.3
194.1,9149,60.7
194.4,9163,65.6
194.7,9177,63.7
195,9191,66
195.3,9205,63.8
195.6,9219,63.1
195.9,9233,66.1
196.2,9247,64.5
196.5,9261,63
196.8,9275,63.6
197.1,9289,64.7
197.4,9303,65.1
197.7,9317,65.8
198,9331,67.8
198.3,9345,64.2
198.6,9359,63.1
198.9,9373,63.8
199.2,9387,68.3
199.5,9401,71.3
199.8,9415,70.1
200.1,9428,77.6
200.4,9442,77.2
200.7,9456,71.8
201,9470,76.3
201.3,9484,74.3
201.6,9498,69.5
