year (AD),age (BP),MAR (g/cm2/yr)
-3282.044,5232.044,0.005
-3341.843,5291.843,0.003
-3401.642,5351.642,0
-3461.441,5411.441,0.002
-3521.24,5471.24,0.024
-3581.039,5531.039,0.002
-3640.838,5590.838,0.002
-3700.637,5650.637,0.003
-3760.436,5710.436,0.003
-3820.235,5770.235,0.002
-3880.034,5830.034,0.002
-3939.833,5889.833,0.003
-3999.632,5949.632,0.004
-4059.431,6009.431,0.005
-4119.23,6069.23,0.004
-4297.872,6247.872,0
-4476.538,6426.538,0
-4512.73,6462.73,0.006
-4830.971,6780.971,0.001
-4842.6,6792.6,0.016
-4854.2,6804.2,0.009
-4865.8,6815.8,0.011
-4877.4,6827.4,0.014
-4889,6839,0.009
-4900.6,6850.6,0.013
-4912.2,6862.2,0.012
-4923.8,6873.8,0.01
-4935.4,6885.4,0.006
-4947,6897,0.011
-4958.6,6908.6,0.009
-4970.2,6920.2,0.006
-4981.8,6931.8,0.005
-4993.4,6943.4,0.005
-5005,6955,0.005
-5016.6,6966.6,0.006
-5028.2,6978.2,0.007
-5039.8,6989.8,0.005
-5051.4,7001.4,0.005
-5063,7013,0.006
-5074.6,7024.6,0.006
-5086.2,7036.2,0.005
-5097.8,7047.8,0.006
-5109.4,7059.4,0.007
-5121,7071,0.004
-5132.6,7082.6,0.005
-5144.2,7094.2,0
-5155.8,7105.8,0.007
-5167.4,7117.4,0.005
-5179,7129,0.01
-5190.6,7140.6,0.012
-5202.2,7152.2,0.021
-5213.8,7163.8,0.017
-5225.4,7175.4,0.002
-5237,7187,0.02
-5248.6,7198.6,0.017
-5260.2,7210.2,0.026
-5271.8,7221.8,0.017
-5283.4,7233.4,0.015
-5295,7245,0.023
-5306.6,7256.6,0.03
-5318.2,7268.2,0.03
-5329.8,7279.8,0.029
-5341.4,7291.4,0.035
-5353,7303,0.025
-5364.6,7314.6,0.019
-5376.2,7326.2,0.022
-5387.8,7337.8,0.033
-5399.4,7349.4,0.051
-5411,7361,0.028
-5422.6,7372.6,0.045
-5434.2,7384.2,0.046
-5445.8,7395.8,0.133
-5457.4,7407.4,0.102
