depth (cm),age (BP),temperature (degC),temperature (missing),temperatureComposite (degC),uncertainty (missing),uncertainty (missing),reliable (missing),uncertainty (missing),uncertainty (missing),reliable (missing)
80,1789.32,7.18,6.071,-2.696,9.182,5.177,Y,8.067,4.075,Y
85,1868.34,7.995,6.095,-2.277,10.022,5.968,Y,8.105,4.086,Y
90,1947.35,6.87,8.117,-1.828,8.954,4.787,Y,10.414,5.821,Y
95,2026.37,7.852,8.511,-1.14,9.921,5.782,Y,10.981,6.042,Y
100,2105.38,7.995,9.395,-0.627,10.071,5.918,Y,11.685,7.104,Y
110,2263.41,7.751,9.926,-0.483,9.797,5.704,Y,12.202,7.649,Y
115,2342.43,8.817,11.634,0.904,10.871,6.763,Y,13.564,9.705,Y
120,2421.44,7.493,8.166,-1.492,9.533,5.453,Y,10.553,5.779,Y
130,2579.47,6.841,6.538,-2.632,8.883,4.799,Y,8.859,4.217,Y
135,2658.49,7.91,9.366,-0.684,9.922,5.897,Y,11.645,7.087,Y
145,2816.51,7.705,10.607,-0.166,9.784,5.626,Y,12.701,8.513,Y
150,2895.53,7.247,6.906,-2.245,9.335,5.16,Y,9.098,4.715,Y
155,2974.54,7.917,9.202,-0.762,9.975,5.858,Y,11.554,6.85,Y
160,3053.56,4.664,5.923,-4.028,6.727,2.601,Y,8.289,3.557,Y
165,3132.57,8.157,11.577,0.545,10.216,6.097,Y,13.515,9.639,Y
175,3290.6,7.487,10.154,-0.501,9.556,5.418,Y,12.415,7.892,Y
188,3496.04,7.697,10.096,-0.425,9.765,5.629,Y,12.379,7.814,Y
193,3575.05,7.36,6.6,-2.342,9.384,5.337,Y,8.738,4.461,Y
198,3654.07,7.776,8.299,-1.284,9.794,5.759,Y,10.709,5.888,Y
203,3733.08,7.668,7.395,-1.79,9.689,5.647,Y,9.669,5.12,Y
208,3812.1,8.104,6.951,-1.794,10.197,6.012,Y,9.14,4.763,Y
213,3964.4,8.918,10.87,0.572,11.066,6.77,Y,12.98,8.76,Y
223,4285.3,8.317,9.193,-0.567,10.531,6.104,Y,11.477,6.908,Y
228,4445.75,9.1,9.096,-0.224,11.124,7.076,Y,11.471,6.72,Y
233,4606.19,8.453,8.522,-0.834,10.58,6.327,Y,10.966,6.079,Y
238,4766.64,8.983,11.425,0.882,11.013,6.954,Y,13.347,9.503,Y
254,5304.2,10.65,11.581,1.794,12.746,8.554,Y,13.503,9.659,Y
268,5781.6,9.626,11.566,1.274,11.804,7.448,Y,13.479,9.653,Y
273,5952.1,7.485,10.27,-0.444,9.92,5.05,Y,12.524,8.015,Y
278,6122.6,5.959,8.248,-2.218,8.477,3.44,Y,10.969,5.526,Y
301,6789.57,10.168,11.602,1.563,12.421,7.914,Y,13.572,9.631,Y
306,6894.89,8.166,10.742,0.132,10.351,5.98,Y,12.823,8.662,Y
311,7000.21,9.554,11.583,1.247,11.681,7.427,Y,13.516,9.649,Y
316,7117.03,10.338,12.695,2.195,12.322,8.353,Y,14.642,10.749,Y
321,7337.3,11.237,11.944,2.269,13.202,9.272,Y,13.879,10.008,Y
323,7425.41,9.906,11.069,1.166,11.876,7.935,Y,13.072,9.065,Y
324,7469.46,10.62,11.179,1.578,12.608,8.632,Y,13.169,9.188,Y
325,7513.51,11.191,11.626,2.087,13.15,9.233,Y,13.613,9.639,Y
326,7557.57,10.746,11.414,1.758,12.725,8.768,Y,13.376,9.452,Y
327,7601.62,9.588,11.496,1.22,11.595,7.58,Y,13.465,9.528,Y
328,7645.68,10.159,11.424,1.47,12.221,8.096,Y,13.415,9.433,Y
329,7689.73,9.994,11.621,1.486,11.966,8.022,Y,13.603,9.64,Y
330,7733.78,10.598,11.343,1.649,12.559,8.637,Y,13.289,9.398,Y
331,7777.84,10.855,11.241,1.726,12.852,8.857,Y,13.267,9.215,Y
333,7865.95,10.68,11.146,1.591,12.639,8.722,Y,13.108,9.184,Y
334,7910,10.654,11.148,1.579,12.614,8.694,Y,13.098,9.198,Y
335,8015.31,11.094,11.742,2.096,13.061,9.126,Y,13.741,9.744,Y
336,8120.63,11.713,11.802,2.436,13.69,9.736,Y,13.742,9.863,Y
337,8225.94,10.236,12.678,2.135,12.298,8.175,Y,14.638,10.717,Y
338,8331.25,9.95,10.87,1.088,11.949,7.95,Y,12.885,8.855,Y
339,8436.56,10.749,11.936,2.021,12.729,8.769,Y,13.934,9.938,Y
340,8541.88,11.249,11.239,1.922,13.313,9.185,Y,13.335,9.144,Y
341,8647.19,10.597,10.989,1.471,12.601,8.594,Y,12.989,8.99,Y
342,8752.5,10.769,11.477,1.801,12.778,8.76,Y,13.425,9.529,Y
343,8857.81,11.356,11.973,2.343,13.492,9.219,Y,13.967,9.979,Y
344,8963.13,11.691,11.587,2.317,13.706,9.677,Y,13.593,9.581,Y
345,9068.44,11.093,11.467,1.958,13.11,9.076,Y,13.465,9.468,Y
349,9489.69,10.446,11.261,1.532,12.43,8.462,Y,13.234,9.288,Y
350,9595,11,11.747,2.052,12.982,9.017,Y,13.655,9.84,Y
351,9609.62,9.691,11.226,1.137,11.683,7.699,Y,13.404,9.047,Y
356,9682.69,10.611,11.443,1.705,12.629,8.593,Y,13.41,9.476,Y
361,9755.77,11.652,11.937,2.473,13.658,9.645,Y,13.923,9.951,Y
366,9828.85,10.716,11.034,1.553,12.802,8.629,Y,13.283,8.786,Y
371,9901.92,11.077,11.111,1.772,13.102,9.052,Y,13.051,9.171,Y
377,9989.62,10.557,12.517,2.215,12.539,8.574,Y,14.527,10.506,Y
382,10062.7,9.318,11.058,0.866,11.339,7.297,Y,13.036,9.08,Y
387,10135.8,9.633,10.723,0.856,11.681,7.585,Y,13.16,8.286,Y
