year (AD),age (BP),depth (cm),d18O (permil),d13C (permil)
-2535.4,4485.4,194.6,-15.35,-4.79
-2677.8,4627.8,199.6,-15.1,-4.36
-2791.8,4741.8,203.6,-15.36,-4.08
-2871.6,4821.6,206.4,-14.99,-3.84
-2962.8,4912.8,209.6,-14.78,-4.99
-3044.2,4994.2,212.4,-15.36,-4.39
-3115.8,5065.8,214.6,-15.04,-4.03
-3206.2,5156.2,217.4,-15.3,-2.77
-3277.8,5227.8,219.6,-14.96,-3.66
-3400.8,5350.8,223.4,-15.13,-4.21
-3562.8,5512.8,228.4,-14.69,-5.4
-3724.8,5674.8,233.4,-15.16,-3.6
-3886.8,5836.8,238.4,-14.3,-5.36
-4048.2,5998.2,243.4,-15.23,-3.83
-4186.2,6136.2,247.9,-14.86,-3.39
-4341.2,6291.2,253.4,-14.98,-6.56
-4481.2,6431.2,258.4,-15.37,-4.63
-4621.2,6571.2,263.4,-15.31,-3.16
-4761.6,6711.6,268.4,-15.25,-4.21
-4930.2,6880.2,274.4,-15.02,-4.75
-5042.2,6992.2,278.4,-14.94,-5.09
-5168.2,7118.2,282.9,-14.54,-7.31
-5323.2,7273.2,288.4,-15.43,-5.5
-5463.2,7413.2,293.4,-14.91,-4.93
-5560.4,7510.4,298.4,-15.4,-4.26
-5615.4,7565.4,303.4,-15.44,-3.91
-5624,7574,304.2,-15.53,-4.21
-5679,7629,309.7,-15.2,-3.7
-5728.2,7678.2,314.2,-15.36,-3.63
-5771.2,7721.2,318.2,-15.68,-4.64
-5815.2,7765.2,322.2,-15.53,-3.54
