depth (cm) [1-1],age (BP) [1-1],temperature (degC) [1-1],d18O (permil) [1-1],depth (cm) [2-1],age (BP) [2-1],SBT (degC) [2-1],d18O (permil) [2-1],depth (cm) [3-1],age (BP) [3-1],Sea_Ice_months (months/year) [3-1],age (BP) [4-1],depth (cm) [4-1],temperature (degC) [4-1],salinity (psu) [4-1],Sea_Ice_months (months/year) [4-1],Sea_Ice_conc (0-10) [4-1],productivity (gcm2) [4-1],age (BP) [4-2],temperature (degC) [4-2]
98,1684,0.59,4.11,12.4,2130,-0.07,4.294,20.4,3505,3.3,3513.4,204,9.179,30.86,1.074,0.851,291.81,3513.4,5.299
101,1735,0.05,4.263,12.6,2165,0.08,4.253,21.3,3651,3.7,3631.6,212.5,6.044,31.398,5.196,4.159,188.75,3631.6,2.274
104,1787,0.17,4.228,12.85,2208,-0.52,4.423,22.4,3727,4,3789.6,224,8.034,29.164,4.264,3.427,274.235,3789.6,4.199
106,1821,0.45,4.148,13.75,2362,-0.26,4.351,23.4,3839,5,3925.2,234,6.081,31.335,5.194,4.155,185.809,3925.2,2.303
108.5,1864,0.05,4.263,14,2405,0.09,4.25,24.4,3952,9.4,4059.2,244,6.573,31.098,4.48,3.557,189.606,4059.2,2.729
111,1907,0.63,4.098,14.3,2457,1.51,3.853,25.4,4064,8,4191.6,254,5.947,29.547,6.615,5.314,162.8,4191.6,2.13
114,1959,0.22,4.213,14.5,2491,0.28,4.196,26.4,4176,9.1,4322.4,264,4.583,27.48,7.7,6.152,159.722,4322.4,1.432
116,1993,0.13,4.24,15,2577,-0.19,4.329,27.4,4289,8.1,4451.4,274,4.778,27.361,7.866,6.348,156.392,4451.4,1.548
120,2062,0.91,4.021,15.3,2629,0.33,4.182,28.4,4401,6.2,4578.9,284,6.837,30.226,4.199,3.331,192.986,4578.9,2.774
123,2113,1.04,3.982,15.5,2663,0.4,4.162,29.4,4514,8.5,4704.7,294,5.029,27.868,7.038,5.654,166.023,4704.7,1.696
125,2148,-0.06,4.293,17.75,3049,0.11,4.245,30.4,4626,8.8,4828.9,304,3.893,22.793,9.065,7.297,194.123,4828.9,1.098
130,2233,0.08,4.252,18,3092,0.17,4.227,31.4,4738,9.3,4951.5,314,4.209,26.15,8.454,6.833,174.319,4951.5,1.231
133,2285,-0.08,4.299,19,3264,0.05,4.263,32.4,4851,8.4,5072.4,324,1.272,31.793,8.926,7.186,91.539,5072.4,-0.175
135,2319,0.31,4.189,19.5,3350,0.12,4.241,33.4,4963,9.1,5191.6,334,5.365,29.759,6.253,5.036,183.19,5191.6,1.91
137.5,2362,0.23,4.211,20,3436,0.42,4.158,34.4,5167,9.1,5309.3,344,3.722,23.532,9.093,7.323,193.686,5309.3,1.012
140,2405,0.03,4.269,20.5,3522,-0.05,4.289,35.4,5296,9.1,5425.3,354,4.633,26.426,7.528,6.05,174.715,5425.3,1.457
143,2457,0.1,4.246,21,3608,1.36,3.894,36.4,5424,5.4,5539.7,364,6.157,31.482,4.91,3.923,190.113,5539.7,2.351
145,2491,0,4.277,21.5,3694,0.4,4.163,37.4,5553,9.2,5652.4,374,3.647,25.601,8.997,7.234,160.328,5652.4,0.968
155,2663,0.81,4.048,22.5,3738,0.15,4.234,38.4,5682,8.1,5763.5,384,4.999,27.574,7.169,5.76,171.983,5763.5,1.656
165,2835,0.31,4.189,23,3794,1.79,3.775,39.4,5811,8.3,5873,394,5.204,29.522,6.631,5.313,170.246,5873,1.764
177.5,3049,0.41,4.159,23.5,3850,-0.16,4.32,40.4,5939,6.3,5980.8,404,7.008,26.325,6.349,5.093,265.121,5980.8,3.756
180,3092,1.42,3.877,24,3907,0.45,4.148,41.4,6068,4.3,6087.2,414,5.568,28.777,7.109,5.725,201.67,6087.2,2.028
185,3178,0.32,4.186,24.5,3963,-0.06,4.294,42.4,6197,4.3,6193.4,424,7.469,30.329,4.781,3.847,252.137,6193.4,3.901
190,3264,-0.12,4.31,25.5,4075,0.2,4.219,43.4,6325,9.1,6299.5,434,4.225,24.463,8.915,7.21,164.773,6299.5,1.252
195,3350,1.29,3.914,26.5,4188,0.07,4.257,44.4,6454,8.5,6405.7,444,4.343,30.002,7.347,5.832,156.897,6405.7,1.306
200,3436,0.31,4.19,27.5,4300,0.56,4.117,45.4,6583,7.3,6511.9,454,6.638,31.295,4.913,3.924,191.866,6511.9,2.594
205,3522,0.71,4.075,28,4356,1.06,3.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,3608,1.81,3.77,28.5,4412,0.11,4.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,3694,0.15,4.233,29,4469,-0.04,4.287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,3700,0.23,4.21,29.5,4525,0.31,4.189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,3738,0.18,4.226,30.5,4637,-0.58,4.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,3794,0.84,4.04,33.5,4974,-0.2,4.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,3850,-0.37,4.382,34.5,5180,-0.63,4.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,3907,0.33,4.184,35.5,5309,-0.12,4.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,3963,0.1,4.248,35.7,5334,0.08,4.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255,4075,-0.14,4.314,37,5502,-0.33,4.371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,4131,0.49,4.136,38,5630,-0.22,4.339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
265,4188,1,3.994,39,5759,-0.48,4.411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270,4244,0.16,4.23,39.5,5823,-0.03,4.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,4300,0.14,4.236,40,5888,-0.1,4.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,4412,0.42,4.157,40.5,5952,0.17,4.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,4469,-0.03,4.285,41,6016,-0.63,4.454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295,4525,0.43,4.154,41.5,6081,-1.14,4.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,4581,0.62,4.101,42,6145,-0.08,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305,4637,0.09,4.25,42.5,6210,-0.61,4.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
325,4862,0.32,4.187,43,6274,-0.28,4.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
335,4974,0.07,4.257,43.5,6338,-0.55,4.431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
345,5180,0.3,4.191,44,6403,-0.24,4.343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
360,5373,0.83,4.042,44.5,6467,-0.52,4.424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
365,5437,0.3,4.191,45,6531,-0.25,4.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
370,5502,0.15,4.233,45.5,6596,-0.12,4.309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
375,5566,0.37,4.171,46,6660,-0.61,4.449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,5630,-0.12,4.309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
385,5695,0.2,4.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
390,5759,-0.48,4.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,5888,0.71,4.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
405,5952,0.23,4.211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
410,6016,0.05,4.262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
415,6081,-0.06,4.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
420,6145,0.45,4.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
425,6210,0.56,4.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,6274,0.15,4.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
435,6338,0.11,4.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,6403,0.33,4.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
445,6467,0.91,4.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,6531,0.44,4.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
455,6596,0.74,4.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
460,6660,0.69,4.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
