year (AD),age (BP),depth (mm),d18O (permil),sampleID (missing),d13C (permil)
1117,833,184,-5.29,Jeita-3,-11.12
1110,840,185,-5.34,Jeita-3,-11.07
1103,847,186,-5.07,Jeita-3,-11.05
813,1137,1,-5.27,Jeita-1,-10.11
803,1147,1.5,-5.31,Jeita-1,-10.13
792,1158,2.2,-5.09,Jeita-1,-9.79
782,1168,2.9,-5.01,Jeita-1,-10.76
772,1178,3.6,-5.01,Jeita-1,-10.07
761,1189,4.3,-5.17,Jeita-1,-10.32
751,1199,5,-5.04,Jeita-1,-10.11
741,1209,5.7,-4.95,Jeita-1,-10.06
730,1220,6.4,-5,Jeita-1,-9.85
720,1230,7.1,-5.12,Jeita-1,-10.21
710,1240,7.8,-4.91,Jeita-1,-10.04
699,1251,8.5,-5.05,Jeita-1,-10.28
689,1261,9.3,-4.98,Jeita-1,-10.03
679,1271,10.1,-4.86,Jeita-1,-10.07
668,1282,10.9,-4.9,Jeita-1,-9.6
658,1292,11.7,-4.86,Jeita-1,-9.6
648,1302,12.5,-4.77,Jeita-1,-8.96
637,1313,13.3,-4.82,Jeita-1,-9.31
627,1323,14.1,-4.93,Jeita-1,-9.34
617,1333,14.9,-4.93,Jeita-1,-9.85
606,1344,15.7,-4.94,Jeita-1,-9.47
596,1354,16.5,-5.06,Jeita-1,-9.7
585,1365,17.3,-4.97,Jeita-1,-9.5
575,1375,18.1,-5.03,Jeita-1,-9.7
565,1385,18.9,-5,Jeita-1,-9.49
554,1396,19.7,-5.01,Jeita-1,-9.51
544,1406,20.5,-4.97,Jeita-1,-9.52
534,1416,21.3,-5.04,Jeita-1,-9.53
523,1427,22.1,-4.97,Jeita-1,-9.33
513,1437,22.9,-5.04,Jeita-1,-9.35
503,1447,23.7,-5.02,Jeita-1,-9.15
492,1458,24.5,-5.09,Jeita-1,-9.56
482,1468,25.2,-5.06,Jeita-1,-9.42
472,1478,25.9,-4.94,Jeita-1,-9.46
461,1489,26.6,-5,Jeita-1,-9.12
451,1499,27.3,-4.97,Jeita-1,-8.94
441,1509,28,-5.04,Jeita-1,-8.96
419,1531,28.7,-5.12,Jeita-1,-9.17
396,1554,29.4,-5.15,Jeita-1,-9.4
374,1576,30.1,-5.32,Jeita-1,-9.63
352,1598,30.8,-5.15,Jeita-1,-9.47
330,1620,31.5,-5.27,Jeita-1,-9.66
308,1642,32.2,-5.07,Jeita-1,-9.3
286,1664,32.9,-5.02,Jeita-1,-9.34
264,1686,33.6,-4.93,Jeita-1,-9.13
241,1709,34.3,-5.09,Jeita-1,-9.56
238,1712,35,-5.18,Jeita-1,-9.55
234,1716,35.7,-5.09,Jeita-1,-9.88
231,1719,36.4,-5.2,Jeita-1,-9.69
228,1722,37.1,-5.31,Jeita-1,-9.83
224,1726,37.8,-5.01,Jeita-1,-9.42
203,1747,38.5,-4.96,Jeita-1,-9.34
183,1767,39.2,-4.91,Jeita-1,-8.92
162,1788,39.9,-5.05,Jeita-1,-9.32
141,1809,40.6,-4.92,Jeita-1,-9.18
121,1829,41.3,-4.96,Jeita-1,-9.55
100,1850,42,-4.94,Jeita-1,-9.43
79,1871,42.7,-5.13,Jeita-1,-9.46
59,1891,43.4,-4.96,Jeita-1,-9.33
38,1912,44.1,-4.87,Jeita-1,-9.22
18,1932,44.8,-5.25,Jeita-1,-9.67
-3,1953,45.5,-5.07,Jeita-1,-9.34
-24,1974,46.2,-4.97,Jeita-1,-9.25
-44,1994,46.9,-5.02,Jeita-1,-9.55
-65,2015,47.6,-5.1,Jeita-1,-9.24
-72,2022,48.3,-4.89,Jeita-1,-9.41
-80,2030,49,-4.91,Jeita-1,-9.32
-87,2037,49.7,-5.08,Jeita-1,-9.67
-94,2044,50.4,-5.18,Jeita-1,-9.55
-116,2066,51.1,-5.02,Jeita-1,-9.64
-137,2087,51.8,-5.1,Jeita-1,-9.56
-159,2109,52.5,-4.99,Jeita-1,-9.33
-180,2130,53.3,-5.02,Jeita-1,-9.35
-185,2135,54.1,-5.08,Jeita-1,-9.6
-189,2139,54.9,-5.07,Jeita-1,-9.4
-194,2144,55.7,-5,Jeita-1,-9.53
-198,2148,56.5,-5.19,Jeita-1,-9.51
-202,2152,57.3,-5,Jeita-1,-9.56
-207,2157,58.1,-5.09,Jeita-1,-9.66
-211,2161,58.9,-5.3,Jeita-1,-10.02
-216,2166,59.7,-5.07,Jeita-1,-9.79
-220,2170,60.5,-5.2,Jeita-1,-9.87
-225,2175,61.1,-4.99,Jeita-1,-9.64
-229,2179,61.7,-5.02,Jeita-1,-9.65
-233,2183,62.3,-5.01,Jeita-1,-9.59
-238,2188,62.9,-5.07,Jeita-1,-9.82
-242,2192,63.5,-4.86,Jeita-1,-9.51
-247,2197,64.1,-4.77,Jeita-1,-9.75
-271,2221,64.7,-4.92,Jeita-1,-9.68
-296,2246,65.3,-4.79,Jeita-1,-9.75
-320,2270,65.9,-4.92,Jeita-1,-9.66
-345,2295,66.5,-4.87,Jeita-1,-9.86
-370,2320,67.2,-5,Jeita-1,-9.65
-394,2344,67.9,-4.99,Jeita-1,-9.89
-419,2369,68.6,-5,Jeita-1,-9.65
-443,2393,69.3,-5.06,Jeita-1,-9.95
-468,2418,70,-4.97,Jeita-1,-9.77
-492,2442,70.7,-4.98,Jeita-1,-9.95
-517,2467,71.4,-4.88,Jeita-1,-9.82
-541,2491,72.1,-4.93,Jeita-1,-9.83
-566,2516,72.8,-5.17,Jeita-1,-9.58
-591,2541,73.5,-5.13,Jeita-1,-10.08
-615,2565,74.3,-5.18,Jeita-1,-9.88
-640,2590,75.1,-5.06,Jeita-1,-9.85
-664,2614,75.9,-5.12,Jeita-1,-9.91
-689,2639,76.7,-5.05,Jeita-1,-9.78
-713,2663,77.5,-4.91,Jeita-1,-9.8
-738,2688,78.3,-4.93,Jeita-1,-9.87
-762,2712,79.1,-5.05,Jeita-1,-9.67
-786,2736,79.9,-4.89,Jeita-1,-9.81
-810,2760,80.7,-5.11,Jeita-1,-9.59
-835,2785,81.5,-4.89,Jeita-1,-9.85
-859,2809,82.4,-5.1,Jeita-1,-9.57
-865,2815,83.3,-4.96,Jeita-1,-9.84
-871,2821,84.2,-5,Jeita-1,-9.72
-877,2827,85.1,-4.93,Jeita-1,-9.98
-882,2832,86,-5.04,Jeita-1,-9.53
-888,2838,86.9,-5.04,Jeita-1,-9.95
-894,2844,87.8,-5.06,Jeita-1,-9.6
-900,2850,88.7,-4.82,Jeita-1,-9.76
-906,2856,89.6,-4.96,Jeita-1,-9.61
-912,2862,90.5,-4.88,Jeita-1,-9.78
-918,2868,91.4,-4.94,Jeita-1,-9.91
-924,2874,92.3,-4.91,Jeita-1,-10.2
-930,2880,93.2,-4.77,Jeita-1,-9.73
-936,2886,94.1,-4.85,Jeita-1,-9.98
-942,2892,95,-4.7,Jeita-1,-9.82
-947,2897,95.9,-4.98,Jeita-1,-10.37
-953,2903,96.8,-4.94,Jeita-1,-9.96
-959,2909,97.7,-4.93,Jeita-1,-10.5
-967,2917,98.6,-4.95,Jeita-1,-9.88
-976,2926,99.5,-4.77,Jeita-1,-9.96
-984,2934,100.6,-4.73,Jeita-1,-9.45
-992,2942,101.7,-5.18,Jeita-1,-10.28
-1000,2950,102.8,-4.98,Jeita-1,-10.01
-1008,2958,103.9,-5.06,Jeita-1,-10.26
-1019,2969,105,-4.89,Jeita-1,-9.65
-1030,2980,106.1,-5.32,Jeita-1,-10.53
-1040,2990,107.2,-5.44,Jeita-1,-10.39
-1051,3001,108.3,-5.45,Jeita-1,-10.64
-1062,3012,109.4,-5.43,Jeita-1,-9.89
-1072,3022,110.5,-5.38,Jeita-1,-10.57
-1083,3033,111.4,-5.4,Jeita-1,-10.39
-1094,3044,112.3,-5.41,Jeita-1,-10.38
-1104,3054,113.2,-5.45,Jeita-1,-10.14
-1115,3065,114.1,-5.42,Jeita-1,-10.43
-1126,3076,115,-5.43,Jeita-1,-10.21
-1136,3086,115.9,-5.3,Jeita-1,-10.32
-1147,3097,116.8,-5.38,Jeita-1,-10.18
-1158,3108,117.7,-5.32,Jeita-1,-10.33
-1172,3122,118.6,-5.2,Jeita-1,-10.01
-1186,3136,119.5,-5.26,Jeita-1,-10.27
-1200,3150,120.3,-5.39,Jeita-1,-10.2
-1214,3164,121.1,-5.32,Jeita-1,-10.23
-1229,3179,121.9,-5.42,Jeita-1,-10.16
-1243,3193,122.7,-5.43,Jeita-1,-10.07
-1257,3207,123.5,-5.48,Jeita-1,-10.22
-1271,3221,124.3,-5.5,Jeita-1,-10.56
-1286,3236,125.1,-5.46,Jeita-1,-10.42
-1300,3250,125.9,-5.45,Jeita-1,-10.55
-1314,3264,126.7,-5.3,Jeita-1,-10.25
-1328,3278,127.5,-5.37,Jeita-1,-10.58
-1343,3293,128.2,-5.5,Jeita-1,-10.15
-1357,3307,128.9,-5.55,Jeita-1,-10.38
-1371,3321,129.6,-5.56,Jeita-1,-10.41
-1385,3335,130.3,-5.67,Jeita-1,-10.6
-1399,3349,131,-5.52,Jeita-1,-10.29
-1414,3364,131.7,-5.41,Jeita-1,-10.23
-1432,3382,132.4,-5.37,Jeita-1,-10.35
-1450,3400,133.1,-5.43,Jeita-1,-10.55
-1468,3418,133.8,-5.38,Jeita-1,-10.13
-1486,3436,134.5,-5.4,Jeita-1,-10.28
-1504,3454,135.3,-5.35,Jeita-1,-10.28
-1522,3472,136.1,-5.38,Jeita-1,-10.44
-1540,3490,136.9,-5.31,Jeita-1,-10.36
-1558,3508,137.7,-5.33,Jeita-1,-10.45
-1576,3526,138.5,-5.36,Jeita-1,-10.66
-1595,3545,139.3,-5.29,Jeita-1,-10.56
-1613,3563,140.1,-5.31,Jeita-1,-10.68
-1631,3581,140.9,-5.55,Jeita-1,-10.68
-1649,3599,141.7,-5.48,Jeita-1,-10.31
-1667,3617,142.5,-5.34,Jeita-1,-10.46
-1685,3635,143.2,-5.39,Jeita-1,-10.35
-1703,3653,143.9,-5.48,Jeita-1,-10.48
-1707,3657,144.6,-5.39,Jeita-1,-10.18
-1710,3660,145.3,-5.58,Jeita-1,-10.38
-1714,3664,146,-5.5,Jeita-1,-10.76
-1717,3667,146.7,-5.53,Jeita-1,-10.57
-1721,3671,147.4,-5.49,Jeita-1,-10.25
-1725,3675,148.1,-5.65,Jeita-1,-10.53
-1728,3678,148.8,-5.48,Jeita-1,-10.15
-1732,3682,149.5,-5.55,Jeita-1,-10.34
-1736,3686,150.4,-5.45,Jeita-1,-10.36
-1739,3689,151.3,-5.5,Jeita-1,-10.63
-1743,3693,152.2,-5.16,Jeita-1,-10.05
-1746,3696,153.1,-5.16,Jeita-1,-10.21
-1750,3700,154,-5.39,Jeita-1,-10.39
-1754,3704,154.9,-5.43,Jeita-1,-10.82
-1757,3707,155.8,-5.5,Jeita-1,-10.92
-1761,3711,156.7,-5.49,Jeita-1,-10.54
-1764,3714,157.6,-5.34,Jeita-1,-10.15
-1768,3718,158.5,-5.37,Jeita-1,-10.4
-1772,3722,159.2,-5.19,Jeita-1,-10.16
-1775,3725,159.9,-5.42,Jeita-1,-10.55
-1779,3729,160.6,-5.51,Jeita-1,-10.45
-1782,3732,161.3,-5.31,Jeita-1,-11.03
-1786,3736,162,-5.45,Jeita-1,-10.58
-1790,3740,162.7,-5.46,Jeita-1,-10.73
-1793,3743,163.4,-5.49,Jeita-1,-10.19
-1797,3747,164.1,-5.37,Jeita-1,-10.08
-1800,3750,164.8,-5.46,Jeita-1,-10.09
-1804,3754,165.5,-5.41,Jeita-1,-10.22
-1808,3758,166.2,-5.55,Jeita-1,-10.17
-1811,3761,166.9,-5.53,Jeita-1,-10.25
-1815,3765,167.6,-5.4,Jeita-1,-10.01
-1818,3768,168.3,-5.5,Jeita-1,-10.1
-1822,3772,169,-5.58,Jeita-1,-10.14
-1833,3783,169.7,-5.6,Jeita-1,-10.48
-1844,3794,170.4,-5.52,Jeita-1,-9.86
-1855,3805,171.1,-5.51,Jeita-1,-10.15
-1866,3816,171.8,-5.43,Jeita-1,-10.09
-1877,3827,172.5,-5.5,Jeita-1,-10.24
-1889,3839,173.3,-5.42,Jeita-1,-9.98
-1900,3850,174.1,-5.44,Jeita-1,-9.94
-1911,3861,174.9,-5.4,Jeita-1,-10.06
-1922,3872,175.7,-5.43,Jeita-1,-10.18
-1933,3883,176.5,-5.27,Jeita-1,-10.14
-1944,3894,177.3,-5.22,Jeita-1,-10.14
-1955,3905,178.1,-5.01,Jeita-1,-9.9
-1966,3916,178.9,-5.06,Jeita-1,-10.11
-1977,3927,179.7,-4.9,Jeita-1,-9.74
-1995,3945,180.5,-5.07,Jeita-1,-10.17
-2012,3962,181.2,-4.92,Jeita-1,-9.87
-2030,3980,181.9,-4.91,Jeita-1,-10.18
-2047,3997,182.6,-4.96,Jeita-1,-9.8
-2065,4015,183.3,-4.94,Jeita-1,-10.11
-2082,4032,184,-5.05,Jeita-1,-9.52
-2100,4050,184.7,-5.07,Jeita-1,-9.87
-2117,4067,185.4,-4.71,Jeita-1,-9.27
-2135,4085,186.1,-5.02,Jeita-1,-10.22
-2152,4102,186.8,-5,Jeita-1,-9.44
-2170,4120,187.5,-4.94,Jeita-1,-9.72
-2187,4137,188.2,-5.04,Jeita-1,-9.59
-2205,4155,188.9,-5.07,Jeita-1,-10.04
-2222,4172,189.6,-5.15,Jeita-1,-10.02
-2240,4190,190.3,-5.32,Jeita-1,-10.15
-2257,4207,191,-5.05,Jeita-1,-9.72
-2275,4225,191.7,-5.22,Jeita-1,-9.96
-2292,4242,192.4,-5.09,Jeita-1,-9.67
-2310,4260,193.1,-5.11,Jeita-1,-9.71
-2327,4277,193.8,-5.15,Jeita-1,-9.65
-2345,4295,194.5,-5.28,Jeita-1,-10.07
-2362,4312,195.2,-4.79,Jeita-1,-9.45
-2380,4330,195.9,-5.03,Jeita-1,-9.88
-2397,4347,196.6,-4.87,Jeita-1,-9.64
-2415,4365,197.3,-5.02,Jeita-1,-9.71
-2432,4382,198,-5.07,Jeita-1,-9.68
-2448,4398,198.7,-5.19,Jeita-1,-9.93
-2463,4413,199.4,-5.12,Jeita-1,-9.99
-2478,4428,200.1,-5.25,Jeita-1,-10.03
-2494,4444,200.8,-5.29,Jeita-1,-9.58
-2509,4459,201.5,-5.17,Jeita-1,-9.91
-2525,4475,202.3,-5.36,Jeita-1,-9.8
-2540,4490,203.1,-5.41,Jeita-1,-9.85
-2556,4506,203.9,-5.23,Jeita-1,-9.47
-2571,4521,204.7,-5.32,Jeita-1,-9.74
-2586,4536,205.5,-5.27,Jeita-1,-9.67
-2602,4552,206.3,-5.27,Jeita-1,-9.83
-2617,4567,207.1,-5.25,Jeita-1,-9.67
-2633,4583,207.9,-5.31,Jeita-1,-9.86
-2648,4598,208.7,-5.15,Jeita-1,-9.79
-2664,4614,209.5,-5.35,Jeita-1,-10.15
-2679,4629,210.3,-5.25,Jeita-1,-9.98
-2694,4644,211.1,-5.23,Jeita-1,-10.01
-2735,4685,211.9,-5.04,Jeita-1,-9.83
-2776,4726,212.7,-5.23,Jeita-1,-9.99
-2816,4766,213.5,-5.22,Jeita-1,-9.91
-2857,4807,214.3,-5.21,Jeita-1,-10.09
-2861,4811,215.1,-5.07,Jeita-1,-9.94
-2865,4815,215.9,-5.15,Jeita-1,-9.77
-2870,4820,216.7,-5.12,Jeita-1,-9.82
-2874,4824,217.5,-5.23,Jeita-1,-9.97
-2878,4828,218.4,-5.22,Jeita-1,-9.82
-2882,4832,219.3,-5.19,Jeita-1,-9.91
-2887,4837,220.2,-5.11,Jeita-1,-9.73
-2891,4841,221.1,-5.23,Jeita-1,-9.79
-2895,4845,222,-5.08,Jeita-1,-9.58
-2899,4849,222.9,-5.36,Jeita-1,-9.66
-2904,4854,223.8,-5.29,Jeita-1,-9.67
-2908,4858,224.7,-5.41,Jeita-1,-9.78
-2912,4862,225.6,-5.18,Jeita-1,-9.49
-2916,4866,226.5,-5.28,Jeita-1,-10.14
-2920,4870,227.4,-5.32,Jeita-1,-9.93
-2925,4875,228.3,-5.06,Jeita-1,-9.79
-2929,4879,229.2,-5.05,Jeita-1,-9.59
-2933,4883,230.1,-5.01,Jeita-1,-9.84
-2937,4887,231,-5.14,Jeita-1,-9.79
-2942,4892,231.9,-5.09,Jeita-1,-9.83
-2946,4896,232.8,-4.88,Jeita-1,-9.71
-2950,4900,233.7,-4.97,Jeita-1,-9.55
-2954,4904,234.6,-5.06,Jeita-1,-9.63
-2959,4909,235.5,-5.07,Jeita-1,-9.8
-2963,4913,236.3,-5.03,Jeita-1,-9.84
-2967,4917,237.1,-4.83,Jeita-1,-9.86
-2971,4921,237.9,-5,Jeita-1,-9.76
-2975,4925,238.7,-5.07,Jeita-1,-9.84
-2980,4930,239.5,-5.03,Jeita-1,-9.83
-2984,4934,240.3,-5.06,Jeita-1,-9.88
-2988,4938,241.1,-4.95,Jeita-1,-9.72
-2992,4942,241.9,-4.91,Jeita-1,-9.57
-2997,4947,242.7,-4.94,Jeita-1,-9.67
-3001,4951,243.5,-5.1,Jeita-1,-9.87
-3005,4955,244.3,-4.89,Jeita-1,-9.68
-3009,4959,245.1,-4.93,Jeita-1,-9.72
-3014,4964,245.9,-4.77,Jeita-1,-9.48
-3018,4968,246.7,-4.95,Jeita-1,-9.95
-3022,4972,247.5,-4.87,Jeita-1,-9.63
-3026,4976,248.3,-4.8,Jeita-1,-9.67
-3030,4980,249.1,-4.73,Jeita-1,-9.51
-3035,4985,249.9,-4.86,Jeita-1,-9.61
-3039,4989,250.7,-4.9,Jeita-1,-9.44
-3043,4993,251.5,-4.97,Jeita-1,-9.62
-3049,4999,252.2,-4.85,Jeita-1,-9.37
-3055,5005,252.9,-4.91,Jeita-1,-9.58
-3060,5010,253.6,-4.8,Jeita-1,-9.27
-3066,5016,254.3,-4.91,Jeita-1,-9.66
-3072,5022,255,-4.78,Jeita-1,-9.41
-3077,5027,255.7,-4.95,Jeita-1,-9.62
-3083,5033,256.4,-4.79,Jeita-1,-9.6
-3089,5039,257.1,-5.02,Jeita-1,-9.45
-3094,5044,257.8,-4.9,Jeita-1,-9.42
-3100,5050,258.5,-4.91,Jeita-1,-9.65
-3106,5056,259.2,-4.79,Jeita-1,-9.11
-3112,5062,259.9,-4.97,Jeita-1,-9.52
-3117,5067,260.6,-4.9,Jeita-1,-9.45
-3123,5073,261.3,-4.94,Jeita-1,-9.4
-3129,5079,262,-4.94,Jeita-1,-9.35
-3134,5084,262.7,-4.97,Jeita-1,-9.18
-3141,5091,263.4,-5.08,Jeita-1,-9.98
-3149,5099,264.1,-4.93,Jeita-1,-9.27
-3156,5106,264.8,-4.73,Jeita-1,-9.16
-3163,5113,265.5,-4.89,Jeita-1,-9.49
-3170,5120,266.2,-4.86,Jeita-1,-9.21
-3177,5127,266.9,-4.79,Jeita-1,-9.47
-3184,5134,267.6,-4.86,Jeita-1,-9.14
-3191,5141,268.3,-4.87,Jeita-1,-9.51
-3208,5158,269,-4.79,Jeita-1,-9.25
-3224,5174,269.7,-4.97,Jeita-1,-9.49
-3241,5191,270.4,-4.81,Jeita-1,-9.23
-3257,5207,271.1,-5.23,Jeita-1,-9.49
-3274,5224,271.8,-4.99,Jeita-1,-9.52
-3290,5240,272.5,-5.36,Jeita-1,-9.54
-3310,5260,273.4,-5,Jeita-1,-9.74
-3330,5280,274.3,-5.25,Jeita-1,-9.96
-3336,5286,275.2,-5.09,Jeita-1,-9.28
-3341,5291,276.1,-5.23,Jeita-1,-9.87
-3346,5296,277,-5.09,Jeita-1,-9.6
-3352,5302,277.9,-5.36,Jeita-1,-9.96
-3357,5307,278.8,-5.44,Jeita-1,-9.85
-3362,5312,279.7,-5.72,Jeita-1,-10.24
-3367,5317,280.6,-5.81,Jeita-1,-10.95
-3373,5323,281.5,-6,Jeita-1,-11.2
-3378,5328,282.3,-5.93,Jeita-1,-10.87
-3383,5333,283.1,-5.84,Jeita-1,-10.88
-3389,5339,283.9,-5.62,Jeita-1,-10.79
-3394,5344,284.7,-5.35,Jeita-1,-9.71
-3399,5349,285.5,-5.27,Jeita-1,-10.37
-3404,5354,286.3,-4.84,Jeita-1,-9.47
-3410,5360,287.1,-4.89,Jeita-1,-9.39
-3415,5365,287.9,-4.98,Jeita-1,-9.42
-3420,5370,288.7,-5.07,Jeita-1,-9.65
-3426,5376,289.5,-5.32,Jeita-1,-9.91
-3431,5381,290.3,-5.21,Jeita-1,-9.53
-3436,5386,291.1,-5.15,Jeita-1,-9.91
-3441,5391,291.9,-5.02,Jeita-1,-9.61
-3447,5397,292.7,-5.02,Jeita-1,-10.21
-3452,5402,293.5,-5.07,Jeita-1,-10.21
-3457,5407,294.3,-5.3,Jeita-1,-10.71
-3470,5420,295.1,-5.31,Jeita-1,-10.17
-3482,5432,295.9,-5.19,Jeita-1,-10.21
-3495,5445,296.7,-5.1,Jeita-1,-9.9
-3507,5457,297.5,-4.95,Jeita-1,-10.19
-3520,5470,298.4,-4.94,Jeita-1,-9.61
-3532,5482,299.3,-4.97,Jeita-1,-9.83
-3545,5495,300.2,-4.95,Jeita-1,-10.22
-3557,5507,301.1,-5.11,Jeita-1,-10.22
-3570,5520,302,-5.13,Jeita-1,-10.67
-3582,5532,302.9,-5.08,Jeita-1,-10.8
-3595,5545,303.8,-5.31,Jeita-1,-10.57
-3607,5557,304.7,-5.48,Jeita-1,-10.62
-3620,5570,305.6,-5.33,Jeita-1,-10.27
-3632,5582,306.5,-5.36,Jeita-1,-10.57
-3645,5595,307.1,-5.23,Jeita-1,-10.26
-3657,5607,307.7,-5.13,Jeita-1,-10.43
-3670,5620,308.3,-5.26,Jeita-1,-10.43
-3676,5626,308.9,-5.37,Jeita-1,-10.7
-3683,5633,309.5,-5.01,Jeita-1,-10.27
-3689,5639,310.1,-5.19,Jeita-1,-10.47
-3696,5646,310.7,-5.32,Jeita-1,-10.47
-3703,5653,311.3,-5.26,Jeita-1,-10.34
-3709,5659,311.9,-5.21,Jeita-1,-10.29
-3716,5666,312.5,-5.51,Jeita-1,-10.92
-3722,5672,313.2,-5.43,Jeita-1,-10.63
-3729,5679,313.9,-5.29,Jeita-1,-10.69
-3736,5686,314.6,-4.76,Jeita-1,-10.15
-3742,5692,315.3,-5.24,Jeita-1,-10.42
-3749,5699,316,-5.09,Jeita-1,-9.88
-3755,5705,316.7,-5.61,Jeita-1,-10.66
