year (AD),age (BP),age (BP),age (yr),temperature (degC),Uk37 (UK37)
-6832.5,8782.5,8593.63,201.36,25.54,0.887
-7011,8961,8728.34,196.9,25.49,0.885
-7194,9144,8876.09,175.64,25.63,0.89
-7349,9299,9009.74,135.49,25.33,0.88
-7466,9416,9157,111.78,25.51,0.886
-7522,9472,9226.35,117.47,25.27,0.878
-7603,9553,9284.23,142.04,25.05,0.871
-7656,9606,9322.54,155.23,25.2,0.876
-7733,9683,9379.81,171.43,25.15,0.874
-7783,9733,9417.91,180.29,25.07,0.871
-7857,9807,9474.96,191.16,24.78,0.862
-7905,9855,9512.94,197.0,25.19,0.875
-7977,9927,9569.86,203.85,25.25,0.877
-8000,9950,9588.81,205.66,24.97,0.868
-8047,9997,9626.7,208.61,25,0.869
-8095,10045,9664.57,210.69,25.26,0.877
-8142,10092,9702.4,211.92,25.31,0.879
-8214,10164,9759.11,212.2,25.39,0.882
-8261,10211,9796.89,211.34,25.08,0.872
-8359,10309,9872.36,207.05,25.05,0.871
-8409,10359,9910.05,203.56,24.98,0.868
-8486,10436,9966.53,196.52,24.76,0.861
-8538,10488,10004.15,190.51,24.64,0.857
-8592,10542,10041.73,183.33,24.67,0.858
-8647,10597,10079.26,174.83,24.94,0.867
-8732,10682,10135.46,159.13,24.81,0.863
-8762,10712,10154.15,152.95,24.74,0.86
-8822,10772,10191.47,138.81,24.72,0.86
-8915,10865,10247.1,111.39,24.58,0.855
-8980,10930,10350.41,119.1,24.62,0.857
-9082,11032,10601.47,138.05,24.45,0.851
-9152,11102,10643.33,141.07,24.3,0.846
-9224,11174,10685.06,141.0,24.82,0.863
-9317,11267,10737.07,136.96,24.57,0.855
-9374,11324,10768.19,132.46,24.27,0.845
-9451,11401,10809.54,124.02,24.29,0.846
-9530,11480,10858.57,121.54,24.4,0.849
-9610,11560,10959.82,164.76,24.39,0.849
-9798,11748,11110.14,208.05,23.86,0.832
-9877,11827,11210.05,228.59,23.92,0.833
-9996,11946,11359.64,250.94,24.49,0.852
-10075,12025,11459.24,261.31,24.11,0.84
-10154,12104,11558.74,268.57,24.24,0.844
-10233,12183,11658.17,272.97,24.29,0.846
-10292,12242,11732.69,274.47,23.86,0.832
-10371,12321,11831.99,274.13,23.98,0.835
-10470,12420,11956,269.93,24.08,0.838
-10569,12519,12079.88,261.33,23.72,0.827
-10628,12578,12154.14,253.9,23.99,0.836
-10707,12657,12253.06,241.04,24.03,0.837
-10786,12736,12351.84,224.28,23.98,0.835
-10826,12776,12401.17,214.18,24.44,0.851
-10885,12835,12475.03,196.44,24.5,0.853
-10984,12934,12597.45,157.76,24.15,0.841
-11063,13013,12707.99,171.45,24.18,0.842
-11162,13112,12854.19,216.15,24.13,0.84
-11261,13211,12999.61,249.7,24.3,0.846
-11280.5,13230.5,13028.64,255.43,24.56,0.854
-11379,13329,13173.64,280.21,24.56,0.854
-11478,13428,13318.4,299.53,24.3,0.846
-11557,13507,13434.07,311.69,24.31,0.846
-11656,13606,13578.5,323.24,24.18,0.842
-11695,13645,13636.23,326.8,24.49,0.852
-11774,13724,13751.61,332.2,24.38,0.849
-11952,13902,14010.83,336.17,24.14,0.84
-12150,14100,14298.07,326.94,24.16,0.841
-12268.5,14218.5,14469.75,313.45,24.23,0.844
-12446,14396,14728.8,295.51,24.21,0.843
-12565,14515,14908.2,306.48,24.25,0.844
