depth (m),age (BP),planktic.MgCa (mmol_mol),temperature (degC),planktic.d18O (permil),depth (m),age (BP),planktic.MgCa (mmol_mol),temperature (degC),planktic.d18O (permil),depth (m),age (BP),d13C (permil),d18O (permil),depth (m),age (BP),d13C (permil),d18O (permil),depth (m),age (BP),Mg/Ca (mmol_mol),deep.temp (degC),Mg/Ca (mmol_mol),deep.temp (degC),Mg/Ca (mmol_mol),deep.temp (degC)
0.145,2445,1.852,16.6,1.02,0.165,2694,2.782,18.5,-0.38,1.725,11085,-1.01,2.66,0.575,6859,1.17,2.32,0.615,7090,1.59,3.09,NA,NA,NA,NA
0.155,2569,1.842,16.5,1.12,0.175,2819,2.833,18.8,-0.23,1.735,11096,-1.24,2.65,0.585,6917,0.95,2.24,0.645,7263,1.74,3.49,NA,NA,NA,NA
0.165,2694,1.863,16.7,1.02,0.185,2943,2.649,17.8,-0.29,1.745,11106,-1.06,2.66,0.595,6974,1.12,2.31,0.655,7321,1.51,2.85,NA,NA,NA,NA
0.175,2819,1.643,14.3,0.97,0.195,3068,2.936,19.3,-0.25,1.755,11117,-1.18,2.6,0.605,7032,1.11,2.4,0.665,7379,1.47,2.75,NA,NA,NA,NA
0.195,3068,1.787,15.9,0.92,0.205,3193,2.692,18.1,-0.47,1.765,11128,-1.14,2.6,0.625,7148,0.44,2.41,0.685,7494,1.58,3.07,NA,NA,NA,NA
0.215,3317,1.723,15.2,1,0.215,3317,2.787,18.6,-0.43,1.785,11150,-1.03,2.69,0.635,7205,0.97,2.24,0.695,7552,1.64,3.22,NA,NA,NA,NA
0.225,3442,1.828,16.4,1,0.235,3567,2.755,18.4,-0.36,1.795,11161,-1.05,2.56,0.645,7263,1.01,2.28,0.705,7609,1.69,3.35,NA,NA,NA,NA
0.235,3567,1.676,15.6,0.6,0.245,3706,2.846,18.9,-0.08,1.825,11193,-1.15,2.67,0.655,7321,0.73,2.42,0.715,7667,1.52,2.91,NA,NA,NA,NA
0.245,3706,1.745,15.5,1.01,0.265,3985,2.745,18.3,-0.28,1.835,11204,-1,2.64,0.665,7379,1.08,2.31,0.745,7840,1.51,2.87,1.22,1.9,NA,NA
0.255,3846,1.677,14.7,0.89,0.275,4125,3.058,19.9,-0.14,1.845,11215,-0.91,2.68,0.685,7494,0.9,2.34,0.755,7898,1.71,3.41,NA,NA,NA,NA
0.265,3985,1.786,15.9,0.98,0.3,4474,2.833,18.8,-0.12,1.855,11226,-1.22,2.7,0.695,7552,1.09,2.37,0.765,7956,1.59,3.09,NA,NA,NA,NA
0.275,4125,1.841,16.5,1.07,0.325,4823,2.842,18.8,-0.39,1.865,11237,-1.07,2.71,0.705,7609,0.32,2.43,0.785,8071,1.66,3.29,NA,NA,NA,NA
0.285,4264,1.831,16.4,0.97,0.335,4962,2.755,18.4,-0.42,1.875,11247,-1.06,2.74,0.715,7667,0.67,2.4,0.865,8288,1.74,3.48,NA,NA,NA,NA
0.3,4474,1.767,15.7,1.03,0.355,5241,3.008,19.7,-0.33,1.925,11302,-1.35,2.7,0.725,7725,0.45,2.48,0.875,8324,1.55,2.98,NA,NA,NA,NA
0.315,4683,1.869,16.8,1.12,0.365,5381,3.115,20.2,-0.13,1.945,11323,-1.6,2.68,0.735,7783,0.94,2.3,0.895,8422,1.57,3.05,NA,NA,NA,NA
0.325,4823,1.816,16.2,1.11,0.375,5520,2.772,18.5,-0.14,1.955,11334,-1.31,2.68,0.745,7840,0.97,2.24,0.905,8471,1.47,2.74,NA,NA,NA,NA
0.335,4962,1.921,17.3,1.04,0.385,5660,2.911,19.2,-0.18,NA,NA,NA,NA,0.755,7898,0.88,2.46,0.915,8519,1.67,3.31,NA,NA,NA,NA
0.345,5102,1.844,16.5,1.13,0.395,5800,2.999,19.6,-0.22,NA,NA,NA,NA,0.765,7956,0.86,2.25,0.925,8568,1.63,3.21,NA,NA,NA,NA
0.355,5241,1.708,15.1,1.01,0.405,5878,3.012,19.7,-0.11,NA,NA,NA,NA,0.775,8013,1.16,2.38,0.935,8617,1.695,3.355,NA,NA,NA,NA
0.365,5381,1.771,15.8,0.99,0.415,5936,2.987,19.55,-0.27,NA,NA,NA,NA,0.785,8071,0.68,2.49,0.945,8666,1.51,2.87,NA,NA,NA,NA
0.375,5520,1.79,16,1,0.425,5993,2.708,18.15,-0.1,NA,NA,NA,NA,0.795,8113,1.03,2.48,0.965,8763,1.71,3.41,NA,NA,NA,NA
0.385,5660,1.837,16.5,1.06,0.445,6109,2.963,19.4,-0.1,NA,NA,NA,NA,0.805,8138,0.12,1.85,1.005,8958,1.62,3.18,NA,NA,NA,NA
0.395,5800,1.805,16.1,1.09,0.455,6166,2.778,18.5,-0.17,NA,NA,NA,NA,0.825,8188,0.91,2.26,1.015,9007,1.67,3.3,NA,NA,NA,NA
0.415,5936,1.728,15.3,1.06,0.465,6224,2.896,19.1,0.38,NA,NA,NA,NA,0.855,8263,0.1,2.5,1.035,9104,1.59,3.09,NA,NA,NA,NA
0.425,5993,1.915,17.3,0.93,0.485,6340,2.822,18.7,0.34,NA,NA,NA,NA,0.865,8288,1.09,2.35,1.045,9153,1.55,2.97,NA,NA,NA,NA
0.435,6051,1.604,15.7,0.97,0.495,6397,2.724,18.2,0.3,NA,NA,NA,NA,0.875,8324,0.1,2.43,1.055,9202,1.58,3.06,NA,NA,NA,NA
0.445,6109,1.894,17.2,1.13,0.505,6455,2.622,17.7,0.31,NA,NA,NA,NA,0.885,8373,0.96,2.47,1.062,9239,1.34,2.34,NA,NA,NA,NA
0.455,6166,1.768,15.7,1.12,0.515,6513,3.132,20.2,-0.15,NA,NA,NA,NA,0.895,8422,1.06,2.5,1.073,9287,1.78,3.58,NA,NA,NA,NA
0.465,6224,1.939,17.5,0.95,0.525,6570,2.956,19.4,-0.19,NA,NA,NA,NA,0.905,8471,1.03,2.48,1.085,9348,1.65,3.25,NA,NA,NA,NA
0.475,6282,1.719,15.9,1.06,0.545,6686,3.059,19.9,-0.23,NA,NA,NA,NA,0.915,8519,0.73,2.43,1.095,9397,1.62,3.17,NA,NA,NA,NA
0.485,6340,1.919,15.9,1.11,0.555,6744,2.775,18.5,-0.07,NA,NA,NA,NA,0.925,8568,0.32,2.51,1.135,9592,1.73,3.45,NA,NA,NA,NA
0.505,6455,1.707,15.9,1.17,0.565,6801,2.99,19.6,1,NA,NA,NA,NA,0.935,8617,1.03,2.33,1.145,9641,1.74,3.49,NA,NA,NA,NA
0.515,6513,1.837,16.5,1.57,0.575,6859,2.824,18.8,-0.27,NA,NA,NA,NA,0.945,8666,0.73,2.46,1.155,9690,1.42,2.59,NA,NA,NA,NA
0.525,6570,1.812,16.2,1.11,0.585,6917,2.662,17.9,0.9,NA,NA,NA,NA,0.955,8714,1,2.26,1.165,9738,1.58,3.05,NA,NA,NA,NA
0.545,6686,1.768,15.7,1.1,0.595,6974,2.783,18.5,-0.13,NA,NA,NA,NA,0.965,8763,1.03,2.47,1.175,9787,NA,NA,1.63,3.2,NA,NA
0.555,6744,1.795,16,1.12,0.605,7032,2.694,18.05,0.08,NA,NA,NA,NA,1.005,8958,0.47,2.5,1.205,9933,1.84,3.73,NA,NA,NA,NA
0.575,6859,1.814,16.2,1.07,0.615,7090,2.846,18.9,-0.4,NA,NA,NA,NA,1.015,9007,0.9,2.48,1.235,10080,NA,NA,1.52,2.9,NA,NA
0.585,6917,1.883,16.9,0.89,0.625,7148,2.975,19.5,-0.2,NA,NA,NA,NA,1.025,9056,0.94,2.44,1.245,10128,1.61,3.14,NA,NA,NA,NA
0.595,6974,1.924,17.4,1.14,0.635,7205,2.841,18.8,-0.32,NA,NA,NA,NA,1.035,9104,0.75,2.4,1.255,10177,NA,NA,1.57,3,NA,NA
0.625,7148,1.699,15,1.1,0.645,7263,2.712,18.2,-0.42,NA,NA,NA,NA,1.045,9153,0.87,2.42,1.265,10226,NA,NA,1.59,3.1,NA,NA
0.655,7321,1.74,15.4,1.04,0.655,7321,2.844,18.9,-0.34,NA,NA,NA,NA,1.055,9202,0.92,2.38,1.275,10275,NA,NA,NA,NA,1.35,3.26
0.665,7379,1.671,14.6,1.2,0.685,7494,3.026,19.7,-0.22,NA,NA,NA,NA,1.063,9239,0.63,2.47,1.285,10323,NA,NA,1.61,3.1,NA,NA
0.675,7436,1.637,14.3,1.16,0.695,7552,2.724,18.2,-0.47,NA,NA,NA,NA,1.073,9287,0.38,2.48,1.295,10372,NA,NA,1.67,3.3,NA,NA
0.685,7494,1.673,14.7,1.23,0.705,7609,2.849,18.9,-0.36,NA,NA,NA,NA,1.085,9348,0.74,2.37,1.325,10518,NA,NA,1.71,3.4,NA,NA
0.695,7552,1.837,16.5,1.1,0.715,7667,2.941,19.3,-0.32,NA,NA,NA,NA,1.095,9397,0.87,2.41,1.335,10567,NA,NA,1.67,3.3,NA,NA
0.705,7609,1.854,16.7,0.99,0.735,7783,2.828,18.8,-0.15,NA,NA,NA,NA,1.105,9446,0.9,2.31,1.345,10616,NA,NA,1.6,3.1,NA,NA
0.725,7725,1.859,16.7,1.23,0.745,7840,2.86,18.9,-0.18,NA,NA,NA,NA,1.125,9543,0.88,2.44,1.355,10665,1.65,3.25,NA,NA,NA,NA
0.735,7783,1.799,16.1,1.32,0.775,8013,2.962,19.4,-0.3,NA,NA,NA,NA,1.135,9592,0.41,2.4,1.365,10694,NA,NA,1.63,3.2,1.34,3.21
0.745,7840,1.703,15,1.01,0.875,8324,2.896,19.1,-0.17,NA,NA,NA,NA,1.145,9641,0.36,2.41,1.375,10705,NA,NA,1.75,3.5,NA,NA
0.755,7898,1.838,16.5,1.23,0.905,8471,3.085,20,-0.15,NA,NA,NA,NA,1.155,9690,0.85,2.35,1.385,10716,NA,NA,1.65,3.3,NA,NA
0.775,8013,1.592,13.7,1.05,0.915,8519,2.669,17.9,-0.26,NA,NA,NA,NA,1.165,9738,0.77,2.34,1.395,10727,NA,NA,1.64,3.2,NA,NA
0.785,8071,1.68,14.8,1.04,0.935,8617,2.775,18.45,-0.17,NA,NA,NA,NA,1.175,9787,0.74,2.47,1.425,10759,NA,NA,NA,NA,1.25,2.97
0.815,8163,1.507,12.7,1.18,0.945,8666,3.069,19.9,-0.31,NA,NA,NA,NA,1.185,9836,0.75,2.45,1.445,10781,NA,NA,1.64,3.2,1.35,3.25
0.825,8188,1.489,12.4,1.22,0.955,8714,2.806,18.7,-0.12,NA,NA,NA,NA,1.195,9885,0.8,2.39,1.455,10792,NA,NA,NA,NA,1.46,3.53
0.845,8238,1.469,12.2,1.1,0.965,8763,2.808,18.7,-0.15,NA,NA,NA,NA,1.205,9933,0.74,2.4,1.465,10803,NA,NA,NA,NA,1.44,3.49
0.855,8263,1.561,13.3,1.14,1.005,8958,2.832,18.8,-0.06,NA,NA,NA,NA,1.215,9982,1.11,2.4,1.475,10814,NA,NA,NA,NA,1.3,3.11
0.865,8288,1.554,13.3,1.29,1.025,9056,2.687,18,-0.11,NA,NA,NA,NA,1.225,10031,0.8,2.37,1.485,10825,NA,NA,NA,NA,1.32,3.17
0.875,8324,1.529,12.9,1.32,1.035,9104,2.819,18.7,-0.2,NA,NA,NA,NA,1.235,10080,0.96,2.47,1.495,10835,NA,NA,1.74,3.5,1.33,3.19
0.895,8422,1.603,13.9,1.29,1.045,9153,2.79,18.6,-0.08,NA,NA,NA,NA,1.245,10128,0.94,2.41,1.545,10890,NA,NA,1.51,2.9,NA,NA
0.905,8471,1.642,14.3,1.18,1.055,9202,2.78,18.5,-0.11,NA,NA,NA,NA,1.255,10177,0.83,2.21,1.555,10900,NA,NA,NA,NA,1.5,3.64
0.945,8666,1.673,14.7,1.19,1.062,9239,2.92,19.2,-0.18,NA,NA,NA,NA,1.265,10226,0.58,2.17,1.625,10976,NA,NA,NA,NA,1.36,3.27
0.955,8714,1.601,13.8,1.32,1.07,9275,2.803,18.65,-0.1,NA,NA,NA,NA,1.275,10275,0.68,2.35,1.635,10987,NA,NA,NA,NA,1.54,3.71
0.965,8763,1.755,15.6,1.26,1.085,9348,2.883,19,-0.15,NA,NA,NA,NA,1.285,10323,0.89,2.36,1.645,10998,NA,NA,NA,NA,1.43,3.47
1.005,8958,1.638,14.3,1.21,1.095,9397,3.007,19.6,-0.12,NA,NA,NA,NA,1.295,10372,0.68,2.49,1.655,11009,NA,NA,NA,NA,1.41,3.41
1.025,9056,1.697,14.9,1.39,1.135,9592,2.912,19.2,-0.02,NA,NA,NA,NA,1.315,10470,0.53,2.4,1.665,11020,NA,NA,NA,NA,1.26,3.01
1.035,9104,1.858,16.7,1.29,1.145,9641,3.016,19.7,0,NA,NA,NA,NA,1.325,10518,0.59,2.37,1.675,11031,NA,NA,NA,NA,1.41,3.4
1.055,9202,1.536,13,1.19,1.175,9787,2.7,18.1,0.16,NA,NA,NA,NA,1.335,10567,0.82,2.45,1.695,11052,NA,NA,NA,NA,1.33,3.19
1.062,9239,1.635,14.2,1.32,1.195,9885,3.076,20,0,NA,NA,NA,NA,1.345,10616,-0.18,2.5,1.705,11063,NA,NA,NA,NA,1.42,3.42
1.085,9348,1.532,13,1.41,1.225,10031,2.771,18.5,-0.06,NA,NA,NA,NA,1.355,10665,0.41,2.38,1.745,11106,NA,NA,NA,NA,1.3,3.11
1.095,9397,1.897,17.1,1.31,1.235,10080,2.928,19.3,-0.04,NA,NA,NA,NA,1.365,10694,0.71,2.31,1.755,11117,NA,NA,NA,NA,1.35,3.27
1.105,9446,1.709,15.1,1.31,1.245,10128,2.806,18.7,-0.18,NA,NA,NA,NA,1.385,10716,0.7,2.33,1.765,11128,NA,NA,NA,NA,1.42,3.44
1.125,9543,1.699,15,1.25,1.265,10226,3.009,19.7,0.04,NA,NA,NA,NA,1.445,10781,0.72,2.15,1.785,11150,NA,NA,NA,NA,1.28,3.05
1.155,9690,1.604,13.9,1.42,1.275,10275,2.581,17.5,-0.05,NA,NA,NA,NA,1.455,10792,0.35,2.27,1.795,11161,NA,NA,NA,NA,1.3,3.11
1.175,9787,1.559,13.3,1.4,1.285,10323,2.583,17.5,-0.06,NA,NA,NA,NA,1.475,10814,0.62,2.35,1.835,11204,NA,NA,NA,NA,1.24,2.95
1.195,9885,1.702,15,1.47,1.345,10616,2.55,17.3,0.02,NA,NA,NA,NA,1.485,10825,0.79,2.49,1.845,11215,NA,NA,NA,NA,1.33,3.2
1.205,9933,1.593,13.7,1.4,1.385,10716,3.508,21.8,0.02,NA,NA,NA,NA,1.535,10879,0.59,2.45,1.855,11226,NA,NA,NA,NA,1.35,3.25
1.225,10031,1.552,13.2,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.575,10922,0.78,2.28,1.865,11237,NA,NA,NA,NA,1.26,3.01
1.245,10128,1.495,12.5,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.595,10944,0.6,2.26,1.875,11247,NA,NA,NA,NA,1.29,3.09
1.265,10226,1.584,13.6,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.605,10955,0.74,2.33,1.925,11302,NA,NA,NA,NA,1.34,3.23
1.305,10421,1.506,12.6,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.625,10976,-0.03,1.85,1.945,11323,NA,NA,NA,NA,1.29,3.1
1.355,10665,1.62,14.1,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.635,10987,0.12,2.34,1.955,11334,NA,NA,NA,NA,1.27,3.04
1.375,10705,1.62,14.1,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.885,11258,1.11,2.36,NA,NA,NA,NA,NA,NA,NA,NA
1.395,10727,1.643,14.3,1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.965,11345,0.36,2.25,NA,NA,NA,NA,NA,NA,NA,NA
1.405,10738,1.657,14.5,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.415,10749,1.648,14.4,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.435,10770,1.63,14.2,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.455,10792,1.601,13.8,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.505,10846,1.622,14.1,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.605,10955,1.741,15.4,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
