year (AD),age (BP),age (BP),temperature (degC),Uk37 (missing),ageUncertainty (yr)
-4404.53,6354.53,6353.912,18.758,0.858,181.118
-4538.44,6488.44,6489.056,18.438,0.844,116.056
-4691,6641,6641.35,18.988,0.868,141.51
-4856,6806,6805.463,19.464,0.889,204.064
-5021,6971,6969.956,17.9,0.821,243.787
-5186,7136,7134.64,18.572,0.85,270.942
-5351,7301,7299.458,18.386,0.842,289.095
-5516,7466,7464.384,18.633,0.853,299.882
-5681,7631,7629.406,19.045,0.871,304.083
-5846,7796,7794.52,18.742,0.858,301.965
-6011,7961,7959.728,18.57,0.85,293.381
-6176,8126,8125.041,18.244,0.836,277.717
-6341,8291,8290.481,18.19,0.833,253.636
-6506,8456,8456.096,18.395,0.842,218.318
-6671,8621,8622.027,18.657,0.854,164.491
-6850.72,8800.72,8802.374,19.378,0.886,121.789
-7089.31,9039.31,9038.669,18.776,0.859,211.888
-7327.9,9277.9,9275.851,19.256,0.88,255.454
-7566.49,9516.49,9513.403,18.965,0.867,275.925
-7805.08,9755.08,9751.23,19.287,0.882,278.527
-8043.67,9993.67,9989.321,19.295,0.882,263.817
-8282.3,10232.3,10227.729,19.083,0.873,228.457
-8520.8,10470.8,10466.681,18.751,0.858,159.055
-8696.1,10646.1,10712.546,18.103,0.83,137.675
-8776.5,10726.5,10953.415,19.034,0.871,235.674
-8856.8,10806.8,11193.257,19.062,0.872,304.258
-8937.1,10887.1,11432.702,18.398,0.843,360.628
-9017.5,10967.5,11671.919,18.391,0.842,409.85
-9097.8,11047.8,11910.984,16.598,0.763,454.245
-9178.1,11128.1,12149.936,18.023,0.826,495.11
-9194.2,11144.2,12197.715,18.26,0.836,502.936
-9210.3,11160.3,12245.492,18.311,0.839,510.659
-9226.3,11176.3,12293.265,18.669,0.854,518.283
-9242.4,11192.4,12341.035,18.289,0.838,525.813
-9258.5,11208.5,12388.802,18.062,0.828,533.253
-9274.5,11224.5,12436.566,18.384,0.842,540.606
-9290.6,11240.6,12484.328,17.992,0.825,547.876
-9306.7,11256.7,12532.087,17.903,0.821,555.066
-9322.7,11272.7,12579.844,17.784,0.816,562.179
-9338.8,11288.8,12627.598,17.777,0.815,569.218
-9354.9,11304.9,12675.35,17.988,0.824,576.186
-9370.9,11320.9,12723.1,17.767,0.815,583.085
-9387,11337,12770.848,17.781,0.815,589.918
-9403.1,11353.1,12818.593,17.728,0.813,596.686
-9419.1,11369.1,12866.337,17.878,0.82,603.393
-9435.2,11385.2,12914.079,18.021,0.826,610.04
-9451.3,11401.3,12961.819,18.022,0.826,616.628
-9467.3,11417.3,13009.557,17.647,0.809,623.161
-9483.4,11433.4,13057.293,17.932,0.822,629.639
-9499.5,11449.5,13105.028,17.507,0.803,636.064
-9515.5,11465.5,13152.76,17.45,0.801,642.438
-9531.6,11481.6,13200.492,17.317,0.795,648.763
-9547.7,11497.7,13248.222,17.056,0.783,655.039
