year (AD),age (BP),IP25_flux (gcm-2yr-1)
-538.505,2488.505,NA
-544.915,2494.915,NA
-551.367,2501.367,NA
-557.866,2507.866,NA
-564.413,2514.413,0.267
-571.01,2521.01,NA
-577.66,2527.66,NA
-584.366,2534.366,NA
-591.13,2541.13,0.222
-597.954,2547.954,NA
-604.841,2554.841,NA
-611.792,2561.792,NA
-618.811,2568.811,NA
-625.901,2575.901,NA
-633.062,2583.062,0.308
-640.298,2590.298,NA
-647.611,2597.611,NA
-655.003,2605.003,NA
-662.478,2612.478,0.206
-670.037,2620.037,NA
-677.682,2627.682,NA
-685.417,2635.417,NA
-693.243,2643.243,NA
-701.163,2651.163,NA
-709.179,2659.179,0.211
-717.294,2667.294,NA
-725.51,2675.51,NA
-733.83,2683.83,NA
-742.256,2692.256,0.21
-750.79,2700.79,NA
-759.434,2709.434,NA
-768.192,2718.192,NA
-777.066,2727.066,NA
-786.057,2736.057,NA
-795.169,2745.169,0.172
-804.403,2754.403,NA
-813.763,2763.763,NA
-823.251,2773.251,NA
-832.868,2782.868,0.146
-842.618,2792.618,NA
-852.502,2802.502,NA
-862.524,2812.524,NA
-872.685,2822.685,NA
-882.989,2832.989,NA
-893.436,2843.436,0.153
-904.031,2854.031,NA
-914.775,2864.775,NA
-925.67,2875.67,NA
-936.72,2886.72,0.116
-947.926,2897.926,NA
-959.29,2909.29,NA
-970.816,2920.816,NA
-982.506,2932.506,NA
-994.362,2944.362,NA
-1006.386,2956.386,0.179
-1018.581,2968.581,NA
-1030.95,2980.95,NA
-1043.494,2993.494,NA
-1056.216,3006.216,0.142
-1069.118,3019.118,NA
-1082.204,3032.204,NA
-1095.475,3045.475,NA
-1108.933,3058.933,NA
-1122.582,3072.582,NA
-1136.423,3086.423,0.148
-1150.459,3100.459,NA
-1164.692,3114.692,NA
-1179.125,3129.125,NA
-1193.761,3143.761,0.104
-1208.6,3158.6,NA
-1223.647,3173.647,NA
-1238.903,3188.903,NA
-1254.371,3204.371,NA
-1270.053,3220.053,NA
-1285.951,3235.951,0.111
-1302.069,3252.069,NA
-1318.408,3268.408,NA
-1334.97,3284.97,NA
-1351.759,3301.759,0.081
-1368.777,3318.777,NA
-1386.025,3336.025,NA
-1403.507,3353.507,NA
-1421.224,3371.224,NA
-1439.18,3389.18,NA
-1457.377,3407.377,0.12
-1475.816,3425.816,NA
-1494.501,3444.501,NA
-1513.433,3463.433,NA
-1532.616,3482.616,0.098
-1552.052,3502.052,NA
-1571.742,3521.742,NA
-1591.69,3541.69,NA
-1611.898,3561.898,NA
-1632.368,3582.368,NA
-1653.103,3603.103,0.092
-1674.105,3624.105,NA
-1695.376,3645.376,NA
-1716.919,3666.919,NA
-1738.737,3688.737,0.069
-1760.831,3710.831,NA
-1783.204,3733.204,NA
-1805.859,3755.859,NA
-1828.797,3778.797,NA
-1852.022,3802.022,NA
-1875.536,3825.536,0.074
-1899.34,3849.34,NA
-1923.439,3873.439,NA
-1947.833,3897.833,NA
-1972.525,3922.525,0.06
-1997.518,3947.518,NA
-2022.815,3972.815,NA
-2048.416,3998.416,NA
-2074.326,4024.326,NA
-2100.546,4050.546,NA
-2127.079,4077.079,0.061
-2153.927,4103.927,NA
-2181.093,4131.093,NA
-2208.578,4158.578,NA
-2236.386,4186.386,0.046
-2264.519,4214.519,NA
-2292.979,4242.979,NA
-2321.768,4271.768,NA
-2350.89,4300.89,NA
-2380.346,4330.346,NA
-2410.138,4360.138,0.048
-2440.27,4390.27,NA
-2470.744,4420.744,NA
-2501.561,4451.561,NA
-2532.725,4482.725,0.052
-2564.238,4514.238,NA
-2596.102,4546.102,NA
-2628.319,4578.319,NA
-2660.893,4610.893,NA
-2693.825,4643.825,NA
-2727.118,4677.118,0.057
-2760.774,4710.774,NA
-2794.796,4744.796,NA
-2829.186,4779.186,NA
-2863.946,4813.946,0.044
-2899.079,4849.079,NA
-2934.588,4884.588,NA
-2970.474,4920.474,NA
-3006.74,4956.74,NA
-3043.389,4993.389,NA
-3080.423,5030.423,0.04
-3117.844,5067.844,NA
-3155.654,5105.654,NA
-3193.857,5143.857,NA
-3232.454,5182.454,0.043
-3271.449,5221.449,NA
-3310.842,5260.842,NA
-3350.637,5300.637,NA
-3390.837,5340.837,NA
-3431.443,5381.443,NA
-3472.458,5422.458,0.049
-3513.884,5463.884,NA
-3555.724,5505.724,NA
-3597.98,5547.98,NA
-3640.655,5590.655,0.052
-3683.75,5633.75,NA
-3727.269,5677.269,NA
-3771.214,5721.214,NA
-3815.587,5765.587,NA
-3860.39,5810.39,NA
-3905.627,5855.627,0.061
-3951.299,5901.299,NA
-3997.409,5947.409,NA
-4043.959,5993.959,NA
-4090.951,6040.951,0.032
-4138.389,6088.389,NA
-4186.274,6136.274,NA
-4234.609,6184.609,NA
-4283.396,6233.396,NA
-4332.637,6282.637,NA
-4382.336,6332.336,0.037
-4432.494,6382.494,NA
-4483.114,6433.114,NA
-4534.198,6484.198,NA
-4585.749,6535.749,0.034
-4637.769,6587.769,NA
-4690.261,6640.261,NA
-4743.226,6693.226,NA
-4796.668,6746.668,NA
-4850.588,6800.588,NA
-4904.989,6854.989,0.028
-4959.874,6909.874,NA
-5015.245,6965.245,NA
-5071.104,7021.104,NA
-5127.453,7077.453,0.03
-5184.296,7134.296,NA
-5241.635,7191.635,NA
-5299.471,7249.471,NA
-5357.808,7307.808,NA
-5416.647,7366.647,NA
-5475.991,7425.991,0.033
-5535.843,7485.843,NA
-5596.205,7546.205,NA
-5657.08,7607.08,NA
-5718.469,7668.469,0.024
-5780.375,7730.375,NA
-5842.801,7792.801,NA
-5905.748,7855.748,NA
-5969.22,7919.22,NA
-6033.219,7983.219,NA
-6097.747,8047.747,0.033
-6162.807,8112.807,NA
-6228.401,8178.401,NA
-6294.531,8244.531,NA
-6361.199,8311.199,0.028
-6428.41,8378.41,NA
-6496.163,8446.163,NA
-6564.463,8514.463,NA
-6633.311,8583.311,NA
-6702.71,8652.71,NA
-6772.662,8722.662,0.029
-6843.17,8793.17,NA
-6914.235,8864.235,NA
-6985.862,8935.862,NA
-7058.051,9008.051,0.019
-7130.805,9080.805,NA
-7204.127,9154.127,NA
-7278.019,9228.019,NA
-7352.484,9302.484,NA
-7427.523,9377.523,NA
-7503.14,9453.14,0.032
-7579.336,9529.336,NA
-7656.115,9606.115,NA
-7733.477,9683.477,NA
-7811.427,9761.427,0.022
-7889.966,9839.966,NA
-7969.097,9919.097,NA
-8048.822,9998.822,NA
-8129.144,10079.144,NA
-8210.064,10160.064,NA
-8291.586,10241.586,0.025
-8373.711,10323.711,NA
-8456.443,10406.443,NA
-8539.783,10489.783,NA
-8623.734,10573.734,0.022
-8708.298,10658.298,NA
-8793.478,10743.478,NA
-8879.277,10829.277,NA
-8965.696,10915.696,NA
-9052.737,11002.737,NA
-9140.405,11090.405,0.021
-9228.7,11178.7,NA
-9317.625,11267.625,NA
-9407.182,11357.182,NA
-9497.375,11447.375,0.02
