year (AD),age (BP),d18O (permil (VPBD))
-1142.02,3092.02,-5.832
-1157.02,3107.02,-5.895
-1172.02,3122.02,-5.921
-1187.02,3137.02,-5.902
-1202.02,3152.02,-5.822
-1217.03,3167.03,-5.701
-1232.03,3182.03,-5.659
-1247.03,3197.03,-5.645
-1262.03,3212.03,-5.762
-1277.03,3227.03,-5.692
-1292.03,3242.03,-5.67
-1307.03,3257.03,-5.453
-1322.04,3272.04,-5.36
-1337.04,3287.04,-5.362
-1352.04,3302.04,-5.98
-1367.04,3317.04,-6.179
-1382.04,3332.04,-6.33
-1397.04,3347.04,-6.383
-1412.05,3362.05,-5.916
-1427.05,3377.05,-6.289
-1442.05,3392.05,-6.56
-1457.05,3407.05,-6.503
-1472.05,3422.05,-6.033
-1487.05,3437.05,-5.78
-1502.05,3452.05,-5.876
-1517.06,3467.06,-6.026
-1532.06,3482.06,-6.204
-1547.06,3497.06,-6.258
-1562.06,3512.06,-6.483
-1577.06,3527.06,-6.842
-1592.06,3542.06,-6.624
-1607.07,3557.07,-6.816
-1622.07,3572.07,-7.068
-1637.07,3587.07,-7.047
-1652.07,3602.07,-6.309
-1667.07,3617.07,-6.066
-1682.07,3632.07,-6.574
-1697.07,3647.07,-6.497
-1712.08,3662.08,-6.391
-1727.08,3677.08,-6.398
-1742.08,3692.08,-6.935
-1757.08,3707.08,-7.215
-1772.08,3722.08,-6.243
-1787.08,3737.08,-6.608
-1802.09,3752.09,-6.859
-1817.09,3767.09,-6.84
-1832.09,3782.09,-6.92
-1847.09,3797.09,-6.939
-1862.09,3812.09,-6.348
-1877.09,3827.09,-5.94
-1892.09,3842.09,-5.685
-1907.1,3857.1,-5.35
-1922.1,3872.1,-5.197
-1937.1,3887.1,-5.266
-1952.1,3902.1,-5.675
-1967.1,3917.1,-5.96
-1982.1,3932.1,-6.018
-1997.11,3947.11,-5.919
-2012.11,3962.11,-5.909
-2027.11,3977.11,-5.56
-2042.11,3992.11,-5.232
-2057.11,4007.11,-5.22
-2072.11,4022.11,-5.154
-2087.11,4037.11,-5.428
-2102.12,4052.12,-6.039
-2117.12,4067.12,-6.492
-2132.12,4082.12,-6.64
-2147.12,4097.12,-6.647
-2162.12,4112.12,-6.663
-2177.12,4127.12,-7.315
-2192.13,4142.13,-7.06
-2207.13,4157.13,-6.652
-2222.13,4172.13,-6.153
-2237.13,4187.13,-6.462
-2252.13,4202.13,-6.763
-2267.13,4217.13,-6.285
-2282.13,4232.13,-5.8
-2297.14,4247.14,-6.019
-2312.14,4262.14,-6.118
-2327.14,4277.14,-6.115
-2342.14,4292.14,-6.305
-2357.14,4307.14,-6.593
-2372.14,4322.14,-6.043
-2387.15,4337.15,-5.286
-2402.15,4352.15,-5.137
-2417.15,4367.15,-5.429
-2432.15,4382.15,-5.731
-2447.15,4397.15,-6.165
-2462.15,4412.15,-6.838
-2477.15,4427.15,-7.237
-2492.16,4442.16,-7.222
-2507.16,4457.16,-6.875
-2522.16,4472.16,-6.316
-2537.16,4487.16,-6.39
-2552.16,4502.16,-6.428
-2567.16,4517.16,-6.618
-2582.17,4532.17,-6.893
-2597.17,4547.17,-7.297
-2612.17,4562.17,-7.513
-2627.17,4577.17,-7.778
-2642.17,4592.17,-7.618
-2657.17,4607.17,-7.457
-2672.17,4622.17,-7.296
-2687.18,4637.18,-7.136
-2702.18,4652.18,-6.975
-2717.18,4667.18,-6.814
-2732.18,4682.18,-6.654
-2747.18,4697.18,-6.493
-2762.18,4712.18,-6.332
-2777.19,4727.19,-5.817
-2792.19,4742.19,-5.409
-2807.19,4757.19,-5.664
-2822.19,4772.19,-5.899
-2837.19,4787.19,-5.805
-2852.19,4802.19,-5.775
-2867.19,4817.19,-5.818
-2882.2,4832.2,-5.837
-2897.2,4847.2,-5.866
-2912.2,4862.2,-5.824
-2927.2,4877.2,-5.636
-2942.2,4892.2,-5.736
-2957.2,4907.2,-5.698
-2972.2,4922.2,-5.352
-2987.21,4937.21,-5.426
-3002.21,4952.21,-5.375
-3017.21,4967.21,-5.327
-3032.21,4982.21,-5.805
-3047.21,4997.21,-5.479
-3062.21,5012.21,-5.878
-3077.22,5027.22,-5.824
-3092.22,5042.22,-5.612
-3107.22,5057.22,-6.158
-3122.22,5072.22,-5.824
-3137.22,5087.22,-5.748
-3152.22,5102.22,-5.756
-3167.22,5117.22,-5.504
-3182.23,5132.23,-5.139
-3197.23,5147.23,-5.146
-3212.23,5162.23,-5.372
-3227.23,5177.23,-5.469
-3242.23,5192.23,-5.509
-3257.23,5207.23,-5.549
-3272.24,5222.24,-5.589
-3287.24,5237.24,-5.629
-3302.24,5252.24,-5.669
-3317.24,5267.24,-5.704
-3332.24,5282.24,-5.837
-3347.24,5297.24,-6.132
-3362.24,5312.24,-6.324
-3377.25,5327.25,-6.301
-3392.25,5342.25,-6.265
-3407.25,5357.25,-6.056
-3422.25,5372.25,-6.205
-3437.25,5387.25,-6.486
-3452.25,5402.25,-6.573
-3467.26,5417.26,-7.335
-3482.26,5432.26,-7.035
-3497.26,5447.26,-6.681
-3512.26,5462.26,-6.101
-3527.26,5477.26,-5.859
-3542.26,5492.26,-6.006
-3557.26,5507.26,-6.074
-3572.27,5522.27,-6.459
-3587.27,5537.27,-6.651
-3602.27,5552.27,-6.663
-3617.27,5567.27,-6.587
-3632.27,5582.27,-6.673
-3647.27,5597.27,-6.918
-3662.28,5612.28,-7.162
-3677.28,5627.28,-6.794
-3692.28,5642.28,-5.4
-3707.28,5657.28,-5.264
-3722.28,5672.28,-5.215
-3737.28,5687.28,-5.38
-3752.28,5702.28,-5.33
-3767.29,5717.29,-5.451
-3782.29,5732.29,-5.567
-3797.29,5747.29,-5.417
-3812.29,5762.29,-5.356
-3827.29,5777.29,-5.66
-3842.29,5792.29,-5.916
-3857.3,5807.3,-6.283
-3872.3,5822.3,-5.935
-3887.3,5837.3,-5.345
-3902.3,5852.3,-5.044
-3917.3,5867.3,-5.027
-3932.3,5882.3,-5.366
-3947.3,5897.3,-5.718
-3962.31,5912.31,-5.813
-3977.31,5927.31,-6.207
-3992.31,5942.31,-6.674
-4007.31,5957.31,-6.052
-4022.31,5972.31,-4.992
-4037.31,5987.31,-4.998
-4052.32,6002.32,-5.004
-4067.32,6017.32,-5.029
-4082.32,6032.32,-5.22
-4097.32,6047.32,-5.111
-4112.32,6062.32,-5.158
-4127.32,6077.32,-5.523
-4142.32,6092.32,-5.334
-4157.33,6107.33,-4.869
-4172.33,6122.33,-4.965
-4187.33,6137.33,-5.148
-4202.33,6152.33,-4.836
-4217.33,6167.33,-4.774
-4232.33,6182.33,-4.867
-4247.34,6197.34,-5.167
-4262.34,6212.34,-5.604
-4277.34,6227.34,-5.31
-4292.34,6242.34,-4.748
-4307.34,6257.34,-4.915
-4322.34,6272.34,-5.267
-4337.34,6287.34,-5.536
-4352.35,6302.35,-5.676
-4367.35,6317.35,-5.999
-4382.35,6332.35,-5.732
-4397.35,6347.35,-5.441
-4412.35,6362.35,-5.336
-4427.35,6377.35,-5.167
-4442.36,6392.36,-5.304
-4457.36,6407.36,-5.669
-4472.36,6422.36,-6.244
-4487.36,6437.36,-6.572
-4502.36,6452.36,-6.975
-4517.36,6467.36,-5.929
-4532.36,6482.36,-5.382
-4547.37,6497.37,-5.303
-4562.37,6512.37,-5.344
-4577.37,6527.37,-5.128
-4592.37,6542.37,-4.987
-4607.37,6557.37,-5.219
-4622.37,6572.37,-5.559
-4637.38,6587.38,-5.921
-4652.38,6602.38,-5.843
-4667.38,6617.38,-5.158
-4682.38,6632.38,-5.273
-4697.38,6647.38,-5.672
-4712.38,6662.38,-5.367
-4727.38,6677.38,-5.653
-4742.39,6692.39,-5.763
-4757.39,6707.39,-5.481
-4772.39,6722.39,-5.515
-4787.39,6737.39,-5.185
-4802.39,6752.39,-5.1
-4817.39,6767.39,-5.075
-4832.4,6782.4,-5.05
-4847.4,6797.4,-5.025
-4862.4,6812.4,-5.001
-4877.4,6827.4,-5.007
-4892.4,6842.4,-5.17
-4907.4,6857.4,-5.286
-4922.4,6872.4,-5.886
-4937.41,6887.41,-5.33
-4952.41,6902.41,-5.063
-4967.41,6917.41,-5.213
-4982.41,6932.41,-5.622
-4997.41,6947.41,-5.647
-5012.41,6962.41,-5.268
-5027.42,6977.42,-5.09
-5042.42,6992.42,-5.287
-5057.42,7007.42,-5.388
-5072.42,7022.42,-5.431
-5087.42,7037.42,-5.491
-5102.42,7052.42,-5.386
-5117.42,7067.42,-5.592
-5132.43,7082.43,-6.051
-5147.43,7097.43,-6.285
-5162.43,7112.43,-6.538
-5177.43,7127.43,-6.036
-5192.43,7142.43,-6.043
-5207.43,7157.43,-5.932
-5222.44,7172.44,-5.63
-5237.44,7187.44,-5.703
-5252.44,7202.44,-6.056
-5267.44,7217.44,-6.752
-5282.44,7232.44,-7.659
-5297.44,7247.44,-6.465
-5312.44,7262.44,-5.211
-5327.45,7277.45,-5.586
-5342.45,7292.45,-5.898
-5357.45,7307.45,-5.342
-5372.45,7322.45,-5.51
-5387.45,7337.45,-5.624
-5402.45,7352.45,-5.445
-5417.46,7367.46,-5.188
-5432.46,7382.46,-5.089
-5447.46,7397.46,-5.294
-5462.46,7412.46,-5.645
-5477.46,7427.46,-5.925
-5492.46,7442.46,-6.506
-5507.46,7457.46,-7.253
-5522.47,7472.47,-6.717
-5537.47,7487.47,-7.589
-5552.47,7502.47,-8.416
-5567.47,7517.47,-6.589
-5582.47,7532.47,-7.052
-5597.47,7547.47,-6.765
-5612.48,7562.48,-5.926
-5627.48,7577.48,-5.208
-5642.48,7592.48,-5.595
-5657.48,7607.48,-5.702
-5672.48,7622.48,-5.641
-5687.48,7637.48,-5.548
-5702.48,7652.48,-5.551
-5717.49,7667.49,-5.728
-5732.49,7682.49,-5.965
-5747.49,7697.49,-5.931
-5762.49,7712.49,-5.955
-5777.49,7727.49,-5.942
-5792.49,7742.49,-5.774
-5807.5,7757.5,-6.098
-5822.5,7772.5,-5.995
-5837.5,7787.5,-5.565
-5852.5,7802.5,-5.502
-5867.5,7817.5,-5.836
-5882.5,7832.5,-5.944
-5897.5,7847.5,-5.761
-5912.51,7862.51,-5.403
-5927.51,7877.51,-5.149
-5942.51,7892.51,-4.951
-5957.51,7907.51,-4.793
-5972.51,7922.51,-4.993
-5987.51,7937.51,-5.258
-6002.51,7952.51,-5.378
-6017.52,7967.52,-5.347
-6032.52,7982.52,-5.31
-6047.52,7997.52,-5.459
-6062.52,8012.52,-5.742
-6077.52,8027.52,-5.552
-6092.52,8042.52,-5.646
-6107.53,8057.53,-5.773
-6122.53,8072.53,-5.654
-6137.53,8087.53,-5.225
-6152.53,8102.53,-5.358
-6167.53,8117.53,-5.185
-6182.53,8132.53,-5.195
-6197.53,8147.53,-5.293
-6212.54,8162.54,-5.26
-6227.54,8177.54,-5.023
-6242.54,8192.54,-4.787
-6257.54,8207.54,-4.55
-6272.54,8222.54,-4.882
-6287.54,8237.54,-4.774
-6302.55,8252.55,-4.766
-6317.55,8267.55,-5.195
-6332.55,8282.55,-5.281
-6347.55,8297.55,-5.018
-6362.55,8312.55,-5.348
-6377.55,8327.55,-4.857
-6392.55,8342.55,-5.268
-6407.56,8357.56,-4.677
-6422.56,8372.56,-5.006
-6437.56,8387.56,-5.59
-6452.56,8402.56,-5.817
-6467.56,8417.56,-5.758
-6482.56,8432.56,-5.573
-6497.57,8447.57,-5.203
-6512.57,8462.57,-4.766
-6527.57,8477.57,-4.756
-6542.57,8492.57,-5.243
-6557.57,8507.57,-5.276
-6572.57,8522.57,-4.795
-6587.57,8537.57,-4.675
-6602.58,8552.58,-5.069
-6617.58,8567.58,-4.861
-6632.58,8582.58,-4.984
-6647.58,8597.58,-5.295
-6662.58,8612.58,-5.532
-6677.58,8627.58,-5.378
-6692.59,8642.59,-5.25
-6707.59,8657.59,-5.282
-6722.59,8672.59,-5.276
-6737.59,8687.59,-5.219
-6752.59,8702.59,-5.095
-6767.59,8717.59,-4.773
-6782.59,8732.59,-5.084
-6797.6,8747.6,-5.431
-6812.6,8762.6,-5.389
-6827.6,8777.6,-5.337
-6842.6,8792.6,-5.285
-6857.6,8807.6,-5.409
-6872.6,8822.6,-5.72
-6887.61,8837.61,-5.51
-6902.61,8852.61,-5.142
-6917.61,8867.61,-5.074
-6932.61,8882.61,-4.933
-6947.61,8897.61,-4.851
-6962.61,8912.61,-4.894
-6977.61,8927.61,-4.927
-6992.62,8942.62,-4.842
-7007.62,8957.62,-5.16
-7022.62,8972.62,-5.318
-7037.62,8987.62,-5.248
-7052.62,9002.62,-5.389
-7067.62,9017.62,-5.167
-7082.63,9032.63,-4.909
-7097.63,9047.63,-4.839
-7112.63,9062.63,-4.884
-7127.63,9077.63,-4.916
-7142.63,9092.63,-4.69
-7157.63,9107.63,-4.812
-7172.63,9122.63,-4.933
-7187.64,9137.64,-5.242
-7202.64,9152.64,-5.067
-7217.64,9167.64,-5.419
-7232.64,9182.64,-5.263
-7247.64,9197.64,-5.13
-7262.64,9212.64,-5.351
-7277.65,9227.65,-5.485
-7292.65,9242.65,-5.327
-7307.65,9257.65,-5.225
-7322.65,9272.65,-5.336
-7337.65,9287.65,-5.245
-7352.65,9302.65,-5.334
-7367.65,9317.65,-5.618
-7382.66,9332.66,-5.336
-7397.66,9347.66,-5.248
-7412.66,9362.66,-5.465
-7427.66,9377.66,-5.148
-7442.66,9392.66,-5.157
-7457.66,9407.66,-5.218
-7472.67,9422.67,-5.235
-7487.67,9437.67,-5.393
-7502.67,9452.67,-5.576
-7517.67,9467.67,-5.345
-7532.67,9482.67,-4.735
-7547.67,9497.67,-4.537
-7562.67,9512.67,-4.863
-7577.68,9527.68,-5.144
-7592.68,9542.68,-4.59
-7607.68,9557.68,-4.717
-7622.68,9572.68,-4.826
-7637.68,9587.68,-5.184
-7652.68,9602.68,-5.386
-7667.69,9617.69,-5.553
-7682.69,9632.69,-5.573
-7697.69,9647.69,-5.382
-7712.69,9662.69,-5.324
-7727.69,9677.69,-5.225
-7742.69,9692.69,-4.913
-7757.69,9707.69,-4.843
-7772.7,9722.7,-4.683
-7787.7,9737.7,-4.827
-7802.7,9752.7,-4.977
-7817.7,9767.7,-4.87
-7832.7,9782.7,-4.818
-7847.7,9797.7,-4.854
-7862.71,9812.71,-4.957
-7877.71,9827.71,-5.061
-7892.71,9842.71,-5.187
-7907.71,9857.71,-5.323
-7922.71,9872.71,-5.343
-7937.71,9887.71,-5.317
-7952.71,9902.71,-5.419
-7967.72,9917.72,-5.22
-7982.72,9932.72,-5.613
-7997.72,9947.72,-6.036
-8012.72,9962.72,-5.736
-8027.72,9977.72,-5.399
-8042.72,9992.72,-5.289
-8057.7,10007.7,-5.409
-8072.7,10022.7,-5.708
-8087.7,10037.7,-5.909
-8102.7,10052.7,-5.671
-8117.7,10067.7,-5.444
-8132.7,10082.7,-5.418
-8147.7,10097.7,-5.349
-8162.7,10112.7,-5.227
-8177.7,10127.7,-4.922
-8192.7,10142.7,-4.785
-8207.7,10157.7,-5.164
-8222.7,10172.7,-5.445
-8237.7,10187.7,-5.671
-8252.7,10202.7,-5.467
-8267.7,10217.7,-5.334
-8282.7,10232.7,-5.501
-8297.7,10247.7,-5.791
-8312.8,10262.8,-5.832
-8327.8,10277.8,-5.852
-8342.8,10292.8,-5.899
-8357.8,10307.8,-6.01
-8372.8,10322.8,-6.202
-8387.8,10337.8,-5.893
-8402.8,10352.8,-6.027
-8417.8,10367.8,-6.754
-8432.8,10382.8,-6.533
-8447.8,10397.8,-6.401
-8462.8,10412.8,-6.829
-8477.8,10427.8,-6.333
-8492.8,10442.8,-6.241
-8507.8,10457.8,-6.549
-8522.8,10472.8,-6.262
-8537.8,10487.8,-6.034
-8552.8,10502.8,-6.212
-8567.8,10517.8,-6.236
-8582.8,10532.8,-5.962
-8597.8,10547.8,-6.05
-8612.8,10562.8,-6.392
-8627.8,10577.8,-6.012
-8642.8,10592.8,-5.935
-8657.8,10607.8,-5.644
-8672.8,10622.8,-5.988
-8687.8,10637.8,-5.872
-8702.8,10652.8,-6.088
-8717.8,10667.8,-6.059
-8732.8,10682.8,-5.976
-8747.8,10697.8,-6.408
-8762.8,10712.8,-7.172
-8777.8,10727.8,-7.824
-8792.8,10742.8,-8.058
-8807.8,10757.8,-8.038
-8822.8,10772.8,-8.398
-8837.8,10787.8,-8.037
-8852.8,10802.8,-8.3
-8867.8,10817.8,-9.228
-8882.8,10832.8,-10.332
-8897.8,10847.8,-8.918
-8912.8,10862.8,-8.296
-8927.8,10877.8,-8.874
-8942.8,10892.8,-8.833
-8957.8,10907.8,-7.871
-8972.8,10922.8,-7.446
-8987.8,10937.8,-7.401
-9002.8,10952.8,-6.971
-9017.8,10967.8,-7.003
-9032.8,10982.8,-7.577
-9047.8,10997.8,-7.855
-9062.8,11012.8,-8.351
-9077.8,11027.8,-8.726
-9092.8,11042.8,-8.285
-9107.8,11057.8,-8.501
-9122.8,11072.8,-9.142
-9137.8,11087.8,-9.342
-9152.8,11102.8,-9.225
-9167.8,11117.8,-8.68
-9182.8,11132.8,-7.714
-9197.8,11147.8,-7.087
-9212.8,11162.8,-7.046
-9227.8,11177.8,-6.983
-9242.8,11192.8,-6.921
-9257.8,11207.8,-6.866
-9272.8,11222.8,-6.756
-9287.9,11237.9,-6.046
-9302.9,11252.9,-6.149
-9317.9,11267.9,-6.421
-9332.9,11282.9,-6.516
-9347.9,11297.9,-6.481
-9362.9,11312.9,-6.419
-9377.9,11327.9,-6.365
-9392.9,11342.9,-6.448
-9407.9,11357.9,-7.179
-9422.9,11372.9,-6.788
-9437.9,11387.9,-6.639
-9452.9,11402.9,-6.911
-9467.9,11417.9,-6.997
-9482.9,11432.9,-7.697
-9497.9,11447.9,-7.297
-9512.9,11462.9,-7.058
-9527.9,11477.9,-7.272
-9542.9,11492.9,-7.2
-9557.9,11507.9,-6.946
-9572.9,11522.9,-6.866
-9587.9,11537.9,-6.066
-9602.9,11552.9,-6.41
-9617.9,11567.9,-6.961
-9632.9,11582.9,-7.369
-9647.9,11597.9,-7.358
-9662.9,11612.9,-7.052
-9677.9,11627.9,-6.797
-9692.9,11642.9,-6.73
-9707.9,11657.9,-7.089
-9722.9,11672.9,-7.233
-9737.9,11687.9,-7.322
-9752.9,11702.9,-7.391
-9767.9,11717.9,-7.473
-9782.9,11732.9,-7.417
-9797.9,11747.9,-6.575
-9812.9,11762.9,-7.07
-9827.9,11777.9,-7.735
-9842.9,11792.9,-8.413
-9857.9,11807.9,-7.97
-9872.9,11822.9,-6.91
-9887.9,11837.9,-6.703
-9902.9,11852.9,-6.77
-9917.9,11867.9,-6.709
-9932.9,11882.9,-6.485
-9947.9,11897.9,-6.657
-9962.9,11912.9,-7.126
-9977.9,11927.9,-7.432
-9992.9,11942.9,-7.219
-10007.9,11957.9,-6.852
-10022.9,11972.9,-6.736
-10037.9,11987.9,-6.749
-10052.9,12002.9,-6.813
-10067.9,12017.9,-6.832
-10082.9,12032.9,-6.894
-10097.9,12047.9,-7.126
-10112.9,12062.9,-7.259
-10127.9,12077.9,-7.33
-10142.9,12092.9,-7.433
-10157.9,12107.9,-8.446
-10172.9,12122.9,-9.083
-10187.9,12137.9,-9.141
-10202.9,12152.9,-9.2
-10217.9,12167.9,-7.875
-10232.9,12182.9,-8.354
-10247.9,12197.9,-9.283
-10263,12213,-9.526
-10278,12228,-9.323
-10293,12243,-9.036
-10308,12258,-8.763
-10323,12273,-8.78
-10338,12288,-9.245
-10353,12303,-8.7
-10368,12318,-8.513
-10383,12333,-8.92
-10398,12348,-9.209
-10413,12363,-8.724
-10428,12378,-9.059
-10443,12393,-9.767
-10458,12408,-9.382
-10473,12423,-9.559
-10488,12438,-9.671
-10503,12453,-9.801
-10518,12468,-10.764
-10533,12483,-9.502
-10548,12498,-8.31
-10563,12513,-8.077
-10578,12528,-8.608
-10593,12543,-9.401
-10608,12558,-10.866
-10623,12573,-13.324
-10638,12588,-13.43
-10653,12603,-13.105
-10668,12618,-12.447
-10683,12633,-12.189
-10698,12648,-11.863
-10713,12663,-11.329
-10728,12678,-11.017
-10743,12693,-10.24
