Reference (unitless),SiteName (unitless),CoreID (unitless),LabID (unitless),TypeOfMaterialDated (unitless),AverageSampleDepth_cm_ (unitless),x238U_ppb_ (unitless),x238UError (unitless),x232Th_ppt_ (unitless),x232ThError (unitless),x230Th_232Th_atomicX10_6_ (unitless),x230Th_232ThError_atomicX10_6_ (unitless),d234U_Measured (unitless),d234U_Error (unitless),x230Th_238UActivity (unitless),x230Th_238UActivityError (unitless),x230ThAgeUncorrected_yr_ (unitless),x230ThAgeUncorrectedError_yr_ (unitless),x230ThAgeCorrected_yr_ (unitless),x230ThAgeCorrectedError_yr_ (unitless),d234UInitial_Corrected (unitless),d234UInitial_CorrectedError (unitless),x230ThAge_B1950___Corrected (unitless),x230ThAge__CorrectedError (unitless)
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2232,Oregon Caves,OCNM,OCNM02-01-5.65,stalagmite carbonate,5.65,66,<U+FFFD>0.1,512,<U+FFFD>10,122,<U+FFFD>3,83.5,<U+FFFD>2,0.057,<U+FFFD>0.00077,5925,<U+FFFD>83,5356,<U+FFFD>220,84.7,<U+FFFD>2,5300,<U+FFFD>220
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2233,Oregon Caves,OCNM,OCNM02-6.3,stalagmite carbonate,6.15,95.9,<U+FFFD>0.2,283,<U+FFFD>20,326,<U+FFFD>23,87.1,<U+FFFD>3,0.058,<U+FFFD>0.00098,6010,<U+FFFD>110,5791,<U+FFFD>120,88.5,<U+FFFD>3,5730,<U+FFFD>120
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2234,Oregon Caves,OCNM,OCNM02-01-6.65,stalagmite carbonate,6.65,81.6,<U+FFFD>0.1,243,<U+FFFD>5,333,<U+FFFD>8,87.1,<U+FFFD>2,0.06,<U+FFFD>0.00065,6199,<U+FFFD>70,5981,<U+FFFD>100,88.6,<U+FFFD>2,5920,<U+FFFD>100
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2235,Oregon Caves,OCNM,OCNM02-01-7.1,stalagmite carbonate,7.1,106.9,<U+FFFD>0.2,121,<U+FFFD>3,859,<U+FFFD>20,85.9,<U+FFFD>2,0.059,<U+FFFD>0.00051,6098,<U+FFFD>55,6015,<U+FFFD>63,87.3,<U+FFFD>2,5960,<U+FFFD>60
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2236,Oregon Caves,OCNM,OCNM02-01-7.55,stalagmite carbonate,7.55,105.7,<U+FFFD>0.2,224,<U+FFFD>5,477,<U+FFFD>10,85.6,<U+FFFD>2,0.061,<U+FFFD>0.00045,6326,<U+FFFD>50,6171,<U+FFFD>74,87.1,<U+FFFD>2,6110,<U+FFFD>70
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2237,Oregon Caves,OCNM,OCNM02-8.1,stalagmite carbonate,7.85,86.2,<U+FFFD>0.2,277,<U+FFFD>17,338,<U+FFFD>21,102.1,<U+FFFD>3,0.066,<U+FFFD>0.00094,6700,<U+FFFD>100,6472,<U+FFFD>120,104,<U+FFFD>3,6420,<U+FFFD>120
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2238,Oregon Caves,OCNM,OCNM02-01-8.3,stalagmite carbonate,8.3,86.8,<U+FFFD>0.1,583,<U+FFFD>12,173,<U+FFFD>4,92.9,<U+FFFD>2,0.07,<U+FFFD>0.00054,7241,<U+FFFD>58,6754,<U+FFFD>180,94.7,<U+FFFD>2,6700,<U+FFFD>180
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2239,Oregon Caves,OCNM,OCNM02-01-9.7,stalagmite carbonate,9.7,117.4,<U+FFFD>0.2,760,<U+FFFD>15,188,<U+FFFD>4,81,<U+FFFD>2,0.074,<U+FFFD>0.00040,7729,<U+FFFD>45,7253,<U+FFFD>170,82.6,<U+FFFD>2,7190,<U+FFFD>170
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2240,Oregon Caves,OCNM,OCNM02-10,stalagmite carbonate,10.2,85.5,<U+FFFD>0.3,840,<U+FFFD>24,131,<U+FFFD>4,94.3,<U+FFFD>4,0.078,<U+FFFD>0.0013,8070,<U+FFFD>140,7355,<U+FFFD>230,96.2,<U+FFFD>4,7300,<U+FFFD>230
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2241,Oregon Caves,OCNM,OCNM02-01-104.5,stalagmite carbonate,10.45,92.2,<U+FFFD>0.1,329,<U+FFFD>7,369,<U+FFFD>8,89.8,<U+FFFD>1,0.08,<U+FFFD>0.00043,8285,<U+FFFD>48,8025,<U+FFFD>100,91.8,<U+FFFD>1,7970,<U+FFFD>100
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2242,Oregon Caves,OCNM,A7***,stalagmite carbonate,11.2,134.2,<U+FFFD>0.2,630,<U+FFFD>10,339,<U+FFFD>8,102.5,<U+FFFD>2,0.097,<U+FFFD>0.0011,9920,<U+FFFD>130,9654,<U+FFFD>140,105,<U+FFFD>2,9600,<U+FFFD>140
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2243,Oregon Caves,OCNM,A9***,stalagmite carbonate,12.09,126.9,<U+FFFD>0.3,480,<U+FFFD>10,470,<U+FFFD>10,111.9,<U+FFFD>4,0.106,<U+FFFD>0.0015,10890,<U+FFFD>170,10674,<U+FFFD>170,115,<U+FFFD>4,10620,<U+FFFD>170
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2244,Oregon Caves,OCNM,A12***,stalagmite carbonate,12.09,127.6,<U+FFFD>0.1,880,<U+FFFD>10,263,<U+FFFD>4,110.4,<U+FFFD>2,0.11,<U+FFFD>0.0010,11270,<U+FFFD>110,10834,<U+FFFD>150,114,<U+FFFD>2,10780,<U+FFFD>150
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2245,Oregon Caves,OCNM,A13***,stalagmite carbonate,12.09,126.1,<U+FFFD>0.1,1830,<U+FFFD>10,130,<U+FFFD>1,105.4,<U+FFFD>2,0.115,<U+FFFD>0.0010,11870,<U+FFFD>120,10874,<U+FFFD>250,109,<U+FFFD>2,10820,<U+FFFD>250
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2246,Oregon Caves,OCNM,A8***,stalagmite carbonate,13.35,159.2,<U+FFFD>0.3,2310,<U+FFFD>10,139,<U+FFFD>1,129.4,<U+FFFD>2,0.122,<U+FFFD>0.0011,12440,<U+FFFD>120,11474,<U+FFFD>240,134,<U+FFFD>2,11420,<U+FFFD>240
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2247,Oregon Caves,OCNM,A10***,stalagmite carbonate,13.35,164.8,<U+FFFD>0.2,2590,<U+FFFD>10,131,<U+FFFD>1,122,<U+FFFD>2,0.125,<U+FFFD>0.0010,12820,<U+FFFD>110,11764,<U+FFFD>260,126,<U+FFFD>2,11710,<U+FFFD>260
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2248,Oregon Caves,OCNM,A11***,stalagmite carbonate,13.35,151.1,<U+FFFD>0.2,2450,<U+FFFD>20,126,<U+FFFD>2,99,<U+FFFD>2,0.124,<U+FFFD>0.0013,12960,<U+FFFD>150,11834,<U+FFFD>290,102,<U+FFFD>2,11780,<U+FFFD>290
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2249,Oregon Caves,OCNM,A6***,stalagmite carbonate,13.85,103.1,<U+FFFD>0.2,1320,<U+FFFD>10,163,<U+FFFD>2,134,<U+FFFD>3,0.126,<U+FFFD>0.0014,12790,<U+FFFD>160,11954,<U+FFFD>240,139,<U+FFFD>3,11900,<U+FFFD>240
Ersek V. Clark P.U. Mix A.C. Cheng H. and Lawrence Edwards R. (2012) Holocene winter climate variability in mid-latitude western North America. Nature Communications3 Article 1219 doi:10.1038/ncomm2250,Oregon Caves,OCNM,A3***,stalagmite carbonate,14.86,170.9,<U+FFFD>0.3,430,<U+FFFD>20,830,<U+FFFD>40,107.6,<U+FFFD>3,0.127,<U+FFFD>0.0016,13220,<U+FFFD>170,13094,<U+FFFD>180,112,<U+FFFD>3,13040,<U+FFFD>180
