depth (cm) [1-1],age (BP) [1-1],temperature (unitless) [1-1],age (BP) [1-2],temperature (unitless) [1-2],depth (cm) [2-1],age (BP) [2-1],temperature (unitless) [2-1],depth (cm) [3-1],age (BP) [3-1],d18O (permil) [3-1]
56,4251.556,9.746,5096.504,0.014,32,2408.032,9.71,57,4533,26.82
58,4405.183,8.797,4942.877,0.031,33,2484.845,9.39,59,4691,27.05
60,4558.81,8.626,4789.25,-0.154,34,2561.659,9.28,61,5007,27.21
62,4712.436,9.389,4635.623,-0.715,35,2638.472,9.31,63,5164,26.78
64,4866.063,9.868,4481.996,-0.237,36,2715.286,9.19,65,5322,27.27
66,5019.69,9.699,4328.369,0.125,37,2792.099,8.7,67,5480,27.1
68,5173.317,9.228,4174.742,0.062,38,2868.913,9.51,69,5638,27.43
70,5326.944,9.304,4021.115,0.283,39,2945.726,9.26,71,5795,27.21
72,5480.571,10.086,3867.488,-0.123,40,3022.54,9.7,73,5953,27.02
74,5634.198,9.261,3713.861,-0.249,41,3099.353,8.87,75,6111,27.61
76,5787.825,9.411,3560.234,-0.229,42,3176.167,9.76,77,6269,27.16
78,5941.452,10.025,3406.607,-0.008,43,3252.98,9.42,79,6426,27.41
80,6095.079,9.716,3252.98,-0.184,44,3329.794,10.4,81,6584,27.86
82,6248.706,9.715,3099.353,-0.514,45,3406.607,9.62,83,6742,27.95
84,6402.333,9.492,2945.726,-0.405,46,3483.421,9.88,85,6900,27.53
86,6555.96,9.963,2792.099,-0.312,47,3560.234,9.35,87,7057,27.83
88,6709.587,9.156,2638.472,-0.2,48,3637.048,9.42,89,7215,27.38
90,6863.214,9.987,2484.845,-0.157,49,3713.861,9.8,91,7373,27.56
92,7016.841,9.741,2331.218,-0.356,50,3790.675,10.05,93,7531,27.09
94,7170.468,9.466,2177.591,-0.184,51,3867.488,9.69,95,7688,27.9
96,7324.095,9.058,2023.964,0.062,52,3944.302,10.19,97,7846,28.17
98,7477.722,9.144,1870.337,-0.179,53,4021.115,9.99,99,8004,28.48
100,7631.349,9.508,1716.71,0.032,54,4097.929,10.51,101,8162,27.97
102,7784.976,9.013,1563.083,-0.196,55,4174.742,9.73,103,8319,28.34
104,7938.603,8.822,1409.456,0.01,56,4251.556,9.64,105,8635,28.3
106,8092.23,9.264,1255.829,-0.092,57,4328.369,10.24,107,8793,28.04
108,8245.857,9.009,1102.202,-0.243,58,4405.183,10.06,109,8950,28.65
110,8399.484,9.725,948.575,0.185,59,4481.996,10.27,111,9266,28.73
112,8553.111,9.784,794.948,-0.203,60,4558.81,9.22,NA,NA,NA
114,8706.738,9.472,641.321,-0.138,61,4635.623,9.54,NA,NA,NA
116,8860.365,9.555,487.694,0.32,62,4712.436,9.71,NA,NA,NA
122,9321.246,9.364,334.067,0.273,63,4789.25,9.77,NA,NA,NA
124,9474.873,9.946,180.44,0.322,64,4866.063,9.73,NA,NA,NA
NA,NA,NA,NA,NA,65,4942.877,9.53,NA,NA,NA
NA,NA,NA,NA,NA,66,5019.69,9.82,NA,NA,NA
NA,NA,NA,NA,NA,67,5096.504,9.71,NA,NA,NA
NA,NA,NA,NA,NA,68,5173.317,9.78,NA,NA,NA
NA,NA,NA,NA,NA,69,5250.131,10.06,NA,NA,NA
NA,NA,NA,NA,NA,70,5326.944,9.28,NA,NA,NA
NA,NA,NA,NA,NA,71,5403.758,9.44,NA,NA,NA
NA,NA,NA,NA,NA,72,5480.571,9.35,NA,NA,NA
NA,NA,NA,NA,NA,73,5557.385,10.07,NA,NA,NA
NA,NA,NA,NA,NA,74,5634.198,9.52,NA,NA,NA
NA,NA,NA,NA,NA,75,5711.012,9.74,NA,NA,NA
NA,NA,NA,NA,NA,76,5787.825,10.1,NA,NA,NA
NA,NA,NA,NA,NA,77,5864.639,10.16,NA,NA,NA
NA,NA,NA,NA,NA,78,5941.452,9.4,NA,NA,NA
NA,NA,NA,NA,NA,79,6018.266,10.31,NA,NA,NA
NA,NA,NA,NA,NA,80,6095.079,9.6,NA,NA,NA
NA,NA,NA,NA,NA,81,6171.893,10.47,NA,NA,NA
NA,NA,NA,NA,NA,82,6248.706,9.86,NA,NA,NA
NA,NA,NA,NA,NA,83,6325.52,10.06,NA,NA,NA
NA,NA,NA,NA,NA,84,6402.333,9.89,NA,NA,NA
NA,NA,NA,NA,NA,85,6479.147,10.13,NA,NA,NA
NA,NA,NA,NA,NA,86,6555.96,10.05,NA,NA,NA
NA,NA,NA,NA,NA,87,6632.774,10.26,NA,NA,NA
NA,NA,NA,NA,NA,88,6709.587,9.99,NA,NA,NA
NA,NA,NA,NA,NA,89,6786.401,9.14,NA,NA,NA
NA,NA,NA,NA,NA,90,6863.214,9.81,NA,NA,NA
NA,NA,NA,NA,NA,91,6940.028,10.04,NA,NA,NA
NA,NA,NA,NA,NA,92,7016.841,9.69,NA,NA,NA
NA,NA,NA,NA,NA,93,7093.655,10.29,NA,NA,NA
NA,NA,NA,NA,NA,94,7170.468,10.01,NA,NA,NA
NA,NA,NA,NA,NA,95,7247.282,10.4,NA,NA,NA
NA,NA,NA,NA,NA,96,7324.095,10.49,NA,NA,NA
NA,NA,NA,NA,NA,97,7400.909,10.98,NA,NA,NA
NA,NA,NA,NA,NA,98,7477.722,10.64,NA,NA,NA
NA,NA,NA,NA,NA,99,7554.536,10.46,NA,NA,NA
NA,NA,NA,NA,NA,100,7631.349,10.92,NA,NA,NA
NA,NA,NA,NA,NA,101,7708.163,10.59,NA,NA,NA
NA,NA,NA,NA,NA,102,7784.976,8.87,NA,NA,NA
NA,NA,NA,NA,NA,103,7861.79,10.41,NA,NA,NA
NA,NA,NA,NA,NA,104,7938.603,10.94,NA,NA,NA
NA,NA,NA,NA,NA,105,8015.417,10.28,NA,NA,NA
NA,NA,NA,NA,NA,106,8092.23,9.89,NA,NA,NA
NA,NA,NA,NA,NA,107,8169.044,10.29,NA,NA,NA
NA,NA,NA,NA,NA,108,8245.857,10.43,NA,NA,NA
NA,NA,NA,NA,NA,109,8322.671,10.69,NA,NA,NA
NA,NA,NA,NA,NA,110,8399.484,10.57,NA,NA,NA
NA,NA,NA,NA,NA,111,8476.298,10.21,NA,NA,NA
NA,NA,NA,NA,NA,112,8553.111,10.46,NA,NA,NA
NA,NA,NA,NA,NA,113,8629.925,10.61,NA,NA,NA
NA,NA,NA,NA,NA,114,8706.738,10.73,NA,NA,NA
NA,NA,NA,NA,NA,115,8783.552,10.31,NA,NA,NA
NA,NA,NA,NA,NA,116,8860.365,10.25,NA,NA,NA
NA,NA,NA,NA,NA,117,8937.179,9.87,NA,NA,NA
NA,NA,NA,NA,NA,118,9013.992,9.63,NA,NA,NA
NA,NA,NA,NA,NA,119,9090.806,11.11,NA,NA,NA
NA,NA,NA,NA,NA,120,9167.619,10.8,NA,NA,NA
NA,NA,NA,NA,NA,121,9244.433,11.32,NA,NA,NA
NA,NA,NA,NA,NA,122,9321.246,11.39,NA,NA,NA
NA,NA,NA,NA,NA,123,9398.059,11.33,NA,NA,NA
NA,NA,NA,NA,NA,124,9474.873,10.36,NA,NA,NA
