depth (m),planktic.d13C (permil),depth (m),planktic.d18O (permil),temperature (permil),d13C (degC),d18O (permil),planktic.d13C (permil),planktic.d18O (permil),d13C (permil),d13C (permil),d18O (permil),d18O (permil),d13C (permil),d18O (permil),C37.concentration (permil),depth (m),age (BP),IRD (degC),Uk37 (g),Uk37 (missing),temperature (missing),depth (m),age (BP),temperature (g),depth (m),temperature (degC),CI (degC),temperature; CIComposite (degC)
NA,NA,3.05,NA,NA,NA,NA,NA,-0.84,2.37,-1.82,NA,5.5,NA,NA,NA,3.11,16877,12.1,550,0.449,0.31,4.9,22258,3,4.9,11.9,17,1.358
NA,NA,3.09,NA,NA,NA,NA,NA,-0.82,2.22,NA,NA,NA,NA,NA,NA,3.14,16967,11.7,570,0.438,0.3,5,22625,16.1,5,10.3,14.8,-0.542
NA,NA,3.1,NA,NA,0.25,NA,NA,NA,NA,-1.84,NA,5.62,NA,NA,NA,3.19,17115,11.3,530,0.423,0.267,5.1,23003,30.2,5.1,6,9.6,-5.292
NA,NA,3.15,NA,NA,NA,NA,NA,-0.6,2.59,-1.84,NA,5.36,NA,NA,NA,3.24,17261,12,510,0.447,0.329,5.2,23393,26.4,5.2,6.1,10.3,-4.892
NA,NA,3.2,-0.8,2.65,0.57,NA,NA,-0.95,2.71,-1.78,NA,5.65,NA,NA,NA,3.3,17435,11,680,0.414,0.288,5.3,23796,2.7,5.3,9.9,14.6,-0.842
NA,NA,3.25,NA,NA,NA,NA,NA,-0.73,2.63,-1.81,NA,5.66,NA,NA,NA,3.35,17578,12.6,580,0.469,0.406,5.4,24211,3,5.4,11.2,16.3,0.658
NA,NA,3.3,NA,NA,0.23,NA,NA,-0.94,2.91,-1.82,NA,5.33,NA,NA,NA,3.4,17720,13.5,800,0.499,0.474,5.5,24638,1.9,5.5,9.3,13.7,-1.592
NA,NA,3.35,NA,NA,NA,0.24,3.9,-0.73,2.865,-1.71,NA,5.42,NA,NA,NA,3.45,17862,13.7,970,0.503,0.493,5.6,25078,2.4,5.6,10.6,15.8,0.108
NA,NA,3.4,NA,NA,1.14,0.13,3.89,-1.1,2.7,-1.5,NA,5.47,NA,-1.03,5.41,3.5,18003,13.8,1130,0.507,0.5,5.7,25529,0.6,5.7,6.9,10.6,-4.342
NA,NA,3.45,NA,NA,NA,NA,NA,-0.89,2.36,-1.52,NA,5.24,NA,NA,NA,3.55,18143,14.3,1070,0.526,0.516,5.8,25992,1.7,5.8,7.7,11.6,-3.442
NA,NA,3.5,-0.93,2.45,0.74,NA,NA,-1.23,2.48,-1.59,NA,5.29,NA,-1.07,5.19,3.6,18282,14.1,1280,0.517,0.509,5.9,26465,0.7,5.9,10.7,15.6,0.058
NA,NA,3.55,NA,NA,NA,NA,NA,-1.07,2.15,-1.55,NA,5.3,NA,NA,NA,3.65,18422,14.2,1180,0.522,0.522,6,26947,0.1,6,9.3,13.5,-1.692
NA,NA,3.6,NA,NA,1.6,0.11,3.46,-1.95,2.38,NA,NA,NA,NA,-1.06,5.1,3.7,18561,13.7,1350,0.504,0.496,6.1,27439,0,6.2,11.3,16.9,1.008
NA,NA,3.65,NA,NA,NA,NA,NA,-1.47,1.84,NA,NA,NA,NA,NA,NA,3.75,18701,13.8,1220,0.508,0.499,6.2,27937,0.2,6.3,15.5,20.6,4.958
NA,NA,3.7,NA,NA,1.3,NA,NA,-1.6,2.73,NA,NA,NA,NA,-1.06,4.63,3.8,18841,14.2,1690,0.522,0.504,6.3,28441,0.5,6.4,12.7,18.3,2.408
NA,NA,3.75,NA,NA,NA,NA,NA,-1.36,1.68,NA,NA,NA,NA,NA,NA,3.85,18981,13.8,1250,0.508,0.498,6.4,28950,0.2,6.5,6.5,10.4,-4.642
NA,NA,3.8,-1.18,2.49,1.14,NA,NA,-2,2.6,-1.99,NA,4.07,NA,-1.03,5.21,3.9,19121,14.1,1280,0.519,0.519,6.5,29461,0.7,6.6,11.7,16.7,1.108
NA,NA,3.85,NA,NA,NA,NA,NA,-1.4,1.81,NA,NA,NA,NA,NA,NA,3.95,19263,14,1780,0.515,0.515,6.6,29973,0.2,6.7,5.8,9.3,-5.542
NA,NA,3.9,NA,NA,2.32,NA,NA,-1.42,2.91,NA,NA,NA,NA,-1.04,5.03,4,19405,14.9,1490,0.546,0.546,6.7,30483,0,6.8,5.5,9.9,-5.392
NA,NA,3.95,NA,NA,NA,NA,NA,-1.06,1.9,NA,NA,NA,NA,NA,NA,4.05,19548,14.1,1590,0.52,0.512,6.8,30990,0.7,6.9,4.9,9.3,-5.992
NA,NA,4,-1.15,2.28,1.12,NA,NA,-1.555,2.425,-1.61,NA,5.64,NA,NA,NA,4.15,19838,13.7,1510,0.505,0.499,6.9,31489,1.9,NA,NA,NA,NA
NA,NA,4.1,NA,NA,1.02,NA,NA,-1.51,2.405,-1.64,NA,5.43,NA,-1.07,4.72,4.26,20164,13.7,1700,0.505,0.499,NA,NA,NA,NA,NA,NA,NA
NA,NA,4.2,-1.28,2,1.3,NA,NA,-1.575,2.07,-1.66,NA,5.39,NA,-1.06,5.22,4.35,20436,13.8,1550,0.508,0.502,NA,NA,NA,NA,NA,NA,NA
NA,NA,4.3,NA,NA,1.15,NA,NA,-1.735,2.105,-1.92,NA,4.8,NA,-1.13,5.18,4.45,20746,13.3,1320,0.49,0.481,NA,NA,NA,NA,NA,NA,NA
NA,NA,4.4,NA,NA,2.96,NA,NA,-1.695,2.325,-1.75,NA,5.49,NA,-1.04,5.24,4.53,21000,13,1830,0.482,0.467,NA,NA,NA,NA,NA,NA,NA
NA,NA,4.5,-1.26,2.34,1.11,NA,NA,-1.44,2.535,NA,-1.38,NA,4.55,-1.14,5.2,4.59,21195,12.6,1070,0.466,0.453,NA,NA,NA,NA,NA,NA,NA
NA,NA,4.6,NA,NA,NA,NA,NA,-1.02,1.9,-1.83,NA,5.52,NA,-1.19,4.93,4.69,21527,12.6,1480,0.468,0.456,NA,NA,NA,NA,NA,NA,NA
NA,NA,4.7,NA,NA,1.21,NA,NA,-1.585,2.36,NA,NA,NA,NA,NA,NA,4.79,21869,13.3,1200,0.492,0.477,NA,NA,NA,NA,NA,NA,NA
NA,NA,4.8,-1.32,2.23,1.92,NA,NA,-1.455,2.61,-1.82,NA,5.44,NA,NA,NA,4.88,22187,13.3,1200,0.49,0.481,NA,NA,NA,NA,NA,NA,NA
NA,NA,4.9,NA,NA,1.11,NA,NA,-1.195,2.575,-1.84,NA,4.97,NA,NA,NA,4.99,22587,12.5,1220,0.465,0.45,NA,NA,NA,NA,NA,NA,NA
NA,NA,5,-1.18,2.33,0.69,NA,NA,-1.285,2.595,NA,NA,NA,NA,NA,NA,5.09,22964,11.1,980,0.416,0.374,NA,NA,NA,NA,NA,NA,NA
NA,NA,5.1,NA,NA,1.6,NA,NA,-0.69,2.28,NA,NA,NA,NA,NA,NA,5.19,23353,11.1,580,0.417,0.309,NA,NA,NA,NA,NA,NA,NA
NA,NA,5.2,-0.62,2.63,1.37,NA,NA,-1.19,3.255,NA,NA,NA,NA,NA,NA,5.29,23755,12.3,1290,0.458,0.431,NA,NA,NA,NA,NA,NA,NA
NA,NA,5.3,NA,NA,0.72,NA,NA,-1.16,2.51,NA,NA,NA,NA,NA,NA,5.38,24127,12.5,2040,0.465,0.459,NA,NA,NA,NA,NA,NA,NA
NA,NA,5.4,NA,NA,1.65,NA,NA,-1.265,2.6,-2.14,NA,5.08,NA,NA,NA,5.48,24552,12.6,1650,0.466,0.457,NA,NA,NA,NA,NA,NA,NA
NA,NA,5.5,-0.99,2.47,1.07,NA,NA,-1.215,2.465,-1.925,NA,5.305,NA,NA,NA,5.58,24989,12.4,940,0.461,0.456,NA,NA,NA,NA,NA,NA,NA
NA,NA,5.6,NA,NA,0.67,NA,NA,-0.895,2.775,-1.92,NA,5.44,NA,NA,NA,5.68,25438,10.6,630,0.398,0.387,NA,NA,NA,NA,NA,NA,NA
NA,NA,5.7,NA,NA,0.82,NA,NA,-1.105,2.785,NA,NA,NA,NA,NA,NA,5.79,25945,10,510,0.378,0.356,NA,NA,NA,NA,NA,NA,NA
NA,NA,5.8,-1.23,2.68,0.92,NA,NA,-0.97,2.68,NA,NA,NA,NA,NA,NA,5.89,26417,12.7,770,0.469,0.467,NA,NA,NA,NA,NA,NA,NA
NA,NA,5.9,NA,NA,0.62,NA,NA,-1.505,2.29,NA,NA,NA,NA,-1.11,5.04,5.97,26802,12.9,1280,0.478,0.475,NA,NA,NA,NA,NA,NA,NA
NA,NA,6,-1.44,2.02,0.96,NA,NA,-1.1,1.68,NA,NA,NA,NA,-1.06,4.85,6.02,27045,13,1150,0.48,0.46,NA,NA,NA,NA,NA,NA,NA
NA,NA,6.1,NA,NA,NA,NA,NA,-1.12,2.08,NA,NA,NA,NA,-0.86,5.05,6.08,27340,12.9,1060,0.479,0.447,NA,NA,NA,NA,NA,NA,NA
NA,NA,6.2,-1.56,1.95,0.7,NA,NA,-1.107,2.233,NA,NA,NA,NA,-1.25,4.88,6.19,27887,13.2,760,0.487,0.481,NA,NA,NA,NA,NA,NA,NA
NA,NA,6.3,NA,NA,2.8,0.13,3.36,-1.475,2.03,NA,NA,NA,NA,NA,NA,6.29,28391,12.9,1560,0.477,0.466,NA,NA,NA,NA,NA,NA,NA
NA,NA,6.4,NA,NA,3.2,NA,NA,-0.86,2.615,-1.97,NA,5.3,NA,NA,NA,6.39,28899,10.9,620,0.41,0.377,NA,NA,NA,NA,NA,NA,NA
NA,NA,6.5,-0.91,2.48,1.37,NA,NA,-0.89,2.63,-2.27,NA,5.06,NA,-0.97,4.76,6.48,29359,12.6,490,0.469,0.429,NA,NA,NA,NA,NA,NA,NA
NA,NA,6.6,NA,NA,1.51,NA,NA,-1.127,1.96,-1.93,NA,5.05,NA,NA,NA,6.58,29871,12.7,1210,0.471,0.457,NA,NA,NA,NA,NA,NA,NA
NA,NA,6.7,-0.88,2.56,1.23,NA,NA,-0.885,2.565,-1.72,NA,5.02,NA,NA,NA,6.68,30382,11.5,610,0.428,0.379,NA,NA,NA,NA,NA,NA,NA
NA,NA,6.8,NA,NA,0.25,NA,NA,-0.82,2.68,-1.61,NA,5.02,NA,NA,NA,6.79,30939,9.9,410,0.377,0.223,NA,NA,NA,NA,NA,NA,NA
NA,NA,6.9,-1.18,2.53,0.28,NA,NA,-0.86,2.665,-1.71,NA,5.41,NA,NA,NA,6.89,31439,10.2,420,0.384,0.24,NA,NA,NA,NA,NA,NA,NA
