year (AD),age (BP),MedianElevM (m),MaxElevM (m),MinElevM (m),Recon0x2EDate (missing)
-1050,3000,-0.632,-0.43,-0.834,11414
-1100,3050,-0.599,-0.374,-0.825,11414
-1150,3100,-0.561,-0.317,-0.804,11414
-1200,3150,-0.529,-0.292,-0.765,11414
-1250,3200,-0.54,-0.327,-0.753,11414
-1300,3250,-0.536,-0.349,-0.723,11414
-1350,3300,-0.524,-0.339,-0.709,11414
-1400,3350,-0.513,-0.33,-0.696,11414
-1450,3400,-0.517,-0.333,-0.7,11414
-1500,3450,-0.511,-0.326,-0.695,11414
-1550,3500,-0.505,-0.32,-0.691,11414
-1600,3550,-0.499,-0.313,-0.686,11414
-1650,3600,-0.503,-0.316,-0.69,11414
-1700,3650,-0.507,-0.319,-0.694,11414
-1750,3700,-0.51,-0.323,-0.698,11414
-1800,3750,-0.514,-0.326,-0.702,11414
-1850,3800,-0.518,-0.329,-0.706,11414
-1900,3850,-0.522,-0.332,-0.711,11414
-1950,3900,-0.526,-0.336,-0.716,11414
-2000,3950,-0.53,-0.339,-0.722,11414
-2050,4000,-0.535,-0.342,-0.727,11414
-2100,4050,-0.539,-0.345,-0.733,11414
-2150,4100,-0.544,-0.349,-0.739,11414
-2200,4150,-0.548,-0.352,-0.744,11414
-2250,4200,-0.552,-0.355,-0.75,11414
-2300,4250,-0.557,-0.358,-0.755,11414
-2350,4300,-0.561,-0.362,-0.761,11414
-2400,4350,-0.514,-0.312,-0.717,11414
-2450,4400,-0.504,-0.262,-0.747,11414
-2500,4450,-0.471,-0.168,-0.774,11414
-2550,4500,-0.489,-0.127,-0.851,11414
-2600,4550,-0.446,-0.042,-0.851,11414
-2650,4600,-0.411,0.033,-0.855,11414
-2700,4650,-0.349,0.109,-0.806,11414
-2750,4700,-0.311,0.141,-0.762,11414
-2800,4750,-0.272,0.141,-0.684,11414
-2850,4800,-0.259,0.141,-0.659,11414
-2900,4850,-0.283,0.106,-0.672,11414
-2950,4900,-0.353,0.024,-0.73,11414
-3000,4950,-0.424,-0.06,-0.788,11414
-3050,5000,-0.487,-0.158,-0.816,11414
-3100,5050,-0.492,-0.161,-0.824,11414
-3150,5100,-0.497,-0.164,-0.831,11414
-3200,5150,-0.443,-0.068,-0.818,11414
-3250,5200,-0.418,-0.02,-0.815,11414
-3300,5250,-0.391,0.028,-0.811,11414
-3350,5300,-0.395,0.028,-0.817,11414
-3400,5350,-0.398,0.027,-0.823,11414
-3450,5400,-0.401,0.026,-0.829,11414
-3500,5450,-0.405,0.026,-0.835,11414
-3550,5500,-0.386,0.064,-0.835,11414
-3600,5550,-0.396,0.102,-0.894,11414
-3650,5600,-0.406,0.141,-0.952,11414
-3700,5650,-0.438,0.141,-1.017,11414
-3750,5700,-0.441,0.141,-1.024,11414
-3800,5750,-0.465,0.101,-1.03,11414
-3850,5800,-0.518,0.007,-1.043,11414
-3900,5850,-0.572,-0.088,-1.056,11414
-3950,5900,-0.588,-0.144,-1.033,11414
-4000,5950,-0.605,-0.2,-1.01,11414
-4050,6000,-0.64,-0.257,-1.022,11414
-4100,6050,-0.733,-0.384,-1.083,11414
-4150,6100,-0.797,-0.456,-1.137,11414
-4200,6150,-0.824,-0.529,-1.12,11414
-4250,6200,-0.812,-0.533,-1.09,11414
-4300,6250,-0.799,-0.536,-1.061,11414
-4350,6300,-0.804,-0.54,-1.067,11414
-4400,6350,-0.823,-0.564,-1.082,11414
-4450,6400,-0.842,-0.587,-1.097,11414
-4500,6450,-0.822,-0.538,-1.106,11414
-4550,6500,-0.77,-0.45,-1.09,11414
-4600,6550,-0.695,-0.36,-1.03,11414
-4650,6600,-0.657,-0.343,-0.97,11414
-4700,6650,-0.658,-0.346,-0.97,11414
-4750,6700,-0.68,-0.348,-1.012,11414
-4800,6750,-0.706,-0.351,-1.061,11414
-4850,6800,-0.71,-0.353,-1.067,11414
-4900,6850,-0.714,-0.356,-1.072,11414
-4950,6900,-0.681,-0.298,-1.064,11414
-5000,6950,-0.647,-0.239,-1.056,11414
-5050,7000,-0.614,-0.18,-1.047,11414
-5100,7050,-0.617,-0.182,-1.053,11414
-5150,7100,-0.583,-0.121,-1.044,11414
-5200,7150,-0.548,-0.06,-1.035,11414
-5250,7200,-0.513,0.001,-1.026,11414
-5300,7250,-0.486,0,-0.972,11414
-5350,7300,-0.489,-0.001,-0.978,11414
-5400,7350,-0.492,-0.001,-0.983,11414
-5450,7400,-0.525,-0.002,-1.047,11414
-5500,7450,-0.528,-0.003,-1.053,11414
-5550,7500,-0.531,-0.004,-1.058,11414
-5600,7550,-0.534,-0.004,-1.064,11414
-5650,7600,-0.538,-0.005,-1.071,11414
-5700,7650,-0.542,-0.006,-1.078,11414
-5750,7700,-0.546,-0.006,-1.085,11414
-5800,7750,-0.521,0.043,-1.085,11414
-5850,7800,-0.496,0.092,-1.084,11414
-5900,7850,-0.435,0.141,-1.012,11414
-5950,7900,-0.403,0.141,-0.947,11414
-6000,7950,-0.37,0.141,-0.881,11414
-6050,8000,-0.373,0.141,-0.887,11414
-6100,8050,-0.375,0.141,-0.892,11414
-6150,8100,-0.378,0.141,-0.897,11414
-6200,8150,-0.343,0.141,-0.828,11414
-6250,8200,-0.309,0.141,-0.758,11414
-6300,8250,-0.311,0.141,-0.764,11414
-6350,8300,-0.313,0.141,-0.768,11414
-6400,8350,-0.315,0.141,-0.771,11414
-6450,8400,-0.279,0.141,-0.7,11414
-6500,8450,-0.281,0.141,-0.703,11414
-6550,8500,-0.322,0.141,-0.785,11414
-6600,8550,-0.363,0.141,-0.868,11414
-6650,8600,-0.365,0.141,-0.872,11414
-6700,8650,-0.328,0.141,-0.797,11414
-6750,8700,-0.331,0.141,-0.803,11414
-6800,8750,-0.414,0.141,-0.968,11414
-6850,8800,-0.456,0.141,-1.054,11414
-6900,8850,-0.418,0.141,-0.977,11414
-6950,8900,-0.339,0.141,-0.819,11414
-7000,8950,-0.3,0.141,-0.741,11414
-7050,9000,-0.302,0.141,-0.745,11414
-7100,9050,-0.304,0.141,-0.749,11414
-7150,9100,-0.306,0.141,-0.753,11414
-7200,9150,-0.308,0.141,-0.756,11414
-7250,9200,-0.309,0.141,-0.76,11414
-7300,9250,-0.311,0.141,-0.764,11414
-7350,9300,-0.313,0.141,-0.768,11414
-7400,9350,-0.315,0.141,-0.772,11414
-7450,9400,-0.335,0.141,-0.812,11414
-7500,9450,-0.355,0.141,-0.852,11414
-7550,9500,-0.376,0.141,-0.893,11414
-7600,9550,-0.378,0.141,-0.897,11414
-7650,9600,-0.38,0.141,-0.901,11414
-7700,9650,-0.409,0.141,-0.959,11414
-7750,9700,-0.438,0.141,-1.017,11414
-7800,9750,-0.467,0.141,-1.075,11414
-7850,9800,-0.461,0.141,-1.064,11414
-7900,9850,-0.456,0.141,-1.052,11414
-7950,9900,-0.45,0.141,-1.041,11414
-8000,9950,-0.481,0.141,-1.104,11414
-8050,10000,-0.513,0.141,-1.168,11414
-8100,10050,-0.546,0.141,-1.233,11414
-8150,10100,-0.519,0.141,-1.18,11414
-8200,10150,-0.559,0.08,-1.198,11414
-8250,10200,-0.613,0.019,-1.245,11414
-8300,10250,-0.698,-0.043,-1.353,11414
-8350,10300,-0.717,-0.043,-1.391,11414
-8400,10350,-0.722,-0.044,-1.4,11414
-8450,10400,-0.73,0.017,-1.478,11414
-8500,10450,-0.74,0.079,-1.559,11414
-8550,10500,-0.751,0.141,-1.644,11414
-8600,10550,-0.685,0.141,-1.511,11414
-8650,10600,-0.732,0.141,-1.606,11414
-8700,10650,-1.255,-0.42,-2.09,11414
-8750,10700,-2.043,-1.247,-2.839,11414
-8800,10750,-2.72,-2.084,-3.356,11414
-8850,10800,-2.924,-2.37,-3.478,11414
-8900,10850,-2.939,-2.4,-3.478,11414
-8950,10900,-2.954,-2.43,-3.478,11414
-9000,10950,-2.969,-2.461,-3.478,11414
-9050,11000,-2.981,-2.484,-3.478,11414
-9100,11050,-2.989,-2.5,-3.478,11414
-9150,11100,-2.994,-2.509,-3.478,11414
-9200,11150,-2.998,-2.517,-3.478,11414
-9250,11200,-3.002,-2.525,-3.478,11414
-9300,11250,-3.006,-2.533,-3.478,11414
-9350,11300,-3.01,-2.541,-3.478,11414
-9400,11350,-3.014,-2.549,-3.478,11414
-9450,11400,-3.018,-2.558,-3.478,11414
-9500,11450,-3.022,-2.566,-3.478,11414
-9550,11500,-3.026,-2.574,-3.478,11414
-9600,11550,-3.03,-2.582,-3.478,11414
-9650,11600,-3.034,-2.59,-3.478,11414
-9700,11650,-3.038,-2.598,-3.478,11414
-9750,11700,-3.042,-2.606,-3.478,11414
-9800,11750,-3.046,-2.614,-3.478,11414
-9850,11800,-3.05,-2.622,-3.478,11414
-9900,11850,-3.054,-2.63,-3.478,11414
-9950,11900,-3.058,-2.638,-3.478,11414
-10000,11950,-3.062,-2.646,-3.478,11414
-10050,12000,-3.066,-2.654,-3.478,11414
