year (AD),age (BP),temperature (degC),Pollen_T (degC),SHCal04Age (BP),ageUncertainty (yr)
177.06,1772.94,8.895,8.895,1800.647,192.255
124.24,1825.76,8.975,8.975,1857.058,199.148
71.41,1878.59,9.007,9.007,1913.473,203.538
18.59,1931.41,9.005,9.005,1969.892,205.573
-34.24,1984.24,8.968,8.968,2026.315,205.313
-87.06,2037.06,9.188,9.188,2082.742,202.734
-139.88,2089.88,9.037,9.037,2139.174,197.729
-192.71,2142.71,9.236,9.236,2195.61,190.084
-245.53,2195.53,9.089,9.089,2252.053,179.426
-298.35,2248.35,9.027,9.027,2308.506,165.105
-351.18,2301.18,8.986,8.986,2364.973,145.875
-404,2354,9.232,9.232,2421.524,117.487
-443,2393,8.962,8.962,2453.802,133.895
-482,2432,8.807,8.807,2486.466,145.534
-521,2471,9.193,9.193,2519.202,154.652
-560,2510,9.145,9.145,2551.977,161.801
-599,2549,9.138,9.138,2584.781,167.287
-638,2588,8.872,8.872,2617.607,171.302
-677,2627,8.954,8.954,2650.451,173.966
-716,2666,8.979,8.979,2683.312,175.359
-755,2705,8.973,8.973,2716.189,175.524
-794,2744,9.197,9.197,2749.079,174.474
-833,2783,9.096,9.096,2781.984,172.199
-872,2822,8.978,8.978,2814.903,168.659
-911,2861,9.082,9.082,2847.838,163.784
-950,2900,9.092,9.092,2880.789,157.462
-989,2939,9.036,9.036,2913.758,149.524
-1028,2978,8.867,8.867,2946.75,139.716
-1067,3017,8.962,8.962,2979.77,127.637
-1106,3056,8.926,8.926,3012.83,112.612
-1145,3095,8.994,8.994,3045.961,93.365
-1184,3134,9.056,9.056,3079.479,67.852
-1224.4,3174.4,9.037,9.037,3123.263,101.594
-1264.8,3214.8,9.03,9.03,3167.195,124.929
-1305.2,3255.2,8.975,8.975,3211.156,142.471
-1345.6,3295.6,8.911,8.911,3255.132,156.127
-1386,3336,9.259,9.259,3299.118,166.832
-1426.4,3376.4,9.209,9.209,3343.113,175.116
-1466.8,3416.8,9.103,9.103,3387.116,181.303
-1507.2,3457.2,8.987,8.987,3431.125,185.598
-1547.6,3497.6,9.098,9.098,3475.139,188.127
-1588,3538,9.238,9.238,3519.159,188.958
-1628.4,3578.4,9.166,9.166,3563.185,188.109
-1668.8,3618.8,9.199,9.199,3607.217,185.556
-1709.2,3659.2,8.936,8.936,3651.254,181.224
-1749.6,3699.6,9.098,9.098,3695.297,174.978
-1790,3740,8.978,8.978,3739.348,166.602
-1830.4,3780.4,9.002,9.002,3783.407,155.75
-1870.8,3820.8,8.996,8.996,3827.477,141.851
-1911.2,3861.2,9.024,9.024,3871.563,123.88
-1951.6,3901.6,9.19,9.19,3915.676,99.656
-1992,3942,9.091,9.091,3959.938,62.344
-2030.55,3980.55,9.022,9.022,3991.948,91.117
-2069.09,4019.09,8.906,8.906,4024.209,110.862
-2107.64,4057.64,9.013,9.013,4056.515,125.924
-2146.18,4096.18,8.833,8.833,4088.847,137.858
-2184.73,4134.73,9.213,9.213,4121.197,147.431
-2223.27,4173.27,9.121,9.121,4153.561,155.086
-2261.82,4211.82,9.044,9.044,4185.935,161.099
-2300.36,4250.36,8.962,8.962,4218.32,165.653
-2338.91,4288.91,9.089,9.089,4250.714,168.869
-2377.45,4327.45,8.916,8.916,4283.117,170.825
-2416,4366,8.972,8.972,4315.527,171.568
-2454.55,4404.55,8.999,8.999,4347.946,171.118
-2493.09,4443.09,9.05,9.05,4380.373,169.467
-2531.64,4481.64,9.042,9.042,4412.808,166.584
-2570.18,4520.18,9.068,9.068,4445.252,162.409
-2608.73,4558.73,9.002,9.002,4477.707,156.846
-2647.27,4597.27,9.035,9.035,4510.172,149.748
-2685.82,4635.82,9.073,9.073,4542.652,140.896
-2724.36,4674.36,9.096,9.096,4575.149,129.955
-2762.91,4712.91,9.092,9.092,4607.672,116.38
-2801.45,4751.45,9.117,9.117,4640.24,99.215
-2840,4790,9.195,9.195,4673.06,77.528
-2893.35,4843.35,9.12,9.12,4731.684,115.568
-2946.71,4896.71,9.16,9.16,4790.413,141.229
-3000.06,4950.06,9.158,9.158,4849.161,159.73
-3053.42,5003.42,9.027,9.027,4907.921,173.284
-3106.77,5056.77,9.047,9.047,4966.689,182.955
-3160.13,5110.13,9.179,9.179,5025.464,189.314
-3213.48,5163.48,8.898,8.898,5084.245,192.672
-3266.84,5216.84,8.884,8.884,5143.032,193.171
-3320.19,5270.19,8.767,8.767,5201.824,190.821
-3373.55,5323.55,8.574,8.574,5260.622,185.5
-3426.9,5376.9,8.659,8.659,5319.427,176.925
-3480.26,5430.26,9.005,9.005,5378.239,164.571
-3533.61,5483.61,9.033,9.033,5437.06,147.463
-3586.97,5536.97,8.916,8.916,5495.896,123.587
-3640.32,5590.32,8.993,8.993,5554.763,87.366
-3699.13,5649.13,9.039,9.039,5615.591,88.649
-3763.39,5713.39,9.022,9.022,5678.77,124.645
-3827.65,5777.65,9.079,9.079,5742.062,146.702
-3891.91,5841.91,9.075,9.075,5805.41,160.789
-3956.17,5906.17,9.145,9.145,5868.797,168.958
-4020.43,5970.43,9.172,9.172,5932.217,172.081
-4084.7,6034.7,8.842,8.842,5995.667,170.457
-4148.96,6098.96,8.785,8.785,6059.149,163.968
-4213.22,6163.22,8.875,8.875,6122.665,152.018
-4277.48,6227.48,8.904,8.904,6186.227,133.184
-4341.74,6291.74,8.822,8.822,6249.863,103.877
-4406,6356,8.625,8.625,6313.865,48.99
-4505.65,6455.65,8.418,8.418,6408.225,121.086
-4605.29,6555.29,8.793,8.793,6502.729,154.616
-4704.94,6654.94,8.78,8.78,6597.266,173.078
-4804.59,6754.59,8.963,8.963,6691.823,181.046
-4904.24,6854.24,8.633,8.633,6786.4,179.857
-5003.88,6953.88,8.508,8.508,6880.996,169.25
-5103.53,7053.53,8.196,8.196,6975.616,147.1
-5203.18,7153.18,8.739,8.739,7070.284,106.098
-5407.78,7357.78,8.811,8.811,7294.037,169.556
-5717.33,7667.33,8.583,8.583,7647.899,243.362
-6026.89,7976.89,8.237,8.237,8002.108,259.275
-6491.22,8441.22,8.752,8.752,8534.001,194.103
-6700.55,8650.55,8.507,8.507,8750.571,139.958
-6809.64,8759.64,8.295,8.295,8827.796,150.43
-6918.73,8868.73,8.012,8.012,8905.023,150.715
-7027.82,8977.82,7.622,7.622,8982.253,140.583
-7136.91,9086.91,7.248,7.248,9059.485,117.054
-7246,9196,7.043,7.043,9136.726,64.906
-7472.22,9422.22,7.089,7.089,9348.217,170.672
-7698.44,9648.44,7.215,7.215,9560.119,200.038
-7924.67,9874.67,7.122,7.122,9772.152,192.746
-8264,10214,7.28,7.28,10090.735,79.362
-8472.9,10422.9,7.881,7.881,10293.252,172.874
-8681.8,10631.8,8.2,8.2,10496.246,200.856
-8890.7,10840.7,8.448,8.448,10699.393,195.902
-9099.6,11049.6,8.23,8.23,10902.727,154.699
-9374,11324,8.263,8.263,11241.783,196.703
-9714,11664,8.078,8.078,11717.557,225.098
-10054,12004,7.445,7.445,12194.694,94.902
-10175.5,12125.5,6.68,6.68,12672.683,304.893
-10296.9,12246.9,6.784,6.784,13150.087,427.204
