depth (cm),age (BP),ELA (mm),bulk density (g cm-1),ELA_alt (mm),error (missing)
137,1645.083,1468939.511,0.695,1424971.929,30
138,1675.25,1499598.076,0.789,1442377.372,30
139,1705.417,1567701.06,0.695,1479791.299,30
140,1735.583,1596324.231,0.692,1498117.98,30
141,1765.75,1623532.113,0.689,1512361.829,30
142,1795.917,1620327.836,0.624,1536475.069,30
143,1826.083,1590112.671,0.636,1527017.533,30
144,1856.25,1507444.138,0.632,1518552.919,30
145,1886.417,1452411.756,0.634,1538588.454,30
146,1916.583,1401252.423,0.696,1530417.376,30
147,1946.75,1374810.575,0.688,1522290.716,30
148,1976.917,1318417.321,0.819,1510790.321,30
149,2007.083,1340477.981,0.759,1530347.675,30
150,2037.25,1359509.94,0.756,1505076.509,30
151,2067.417,1431387.332,0.76,1468378.826,30
152,2097.583,1513716.459,0.83,1465135.943,30
153,2127.75,1588417.126,0.762,1472620.21,30
154,2157.917,1623528.505,0.711,1481596.582,30
155,2188.083,1590744.369,0.58,1478338.931,30
156,2218.25,1508330.238,0.568,1469153.89,30
157,2248.417,1455000.533,0.664,1463477.128,30
158,2278.583,1423647.117,0.687,1427546.51,30
159,2308.75,1406398.597,0.78,1455515.809,30
160,2338.917,1434661.996,0.761,1482104.017,30
161,2369.083,1460921.384,0.691,1460703.042,30
162,2399.25,1453566.945,0.738,1443627.53,30
163,2429.417,1492200.859,0.728,1431460.555,30
164,2459.583,1477290.63,0.712,1437602.856,30
165,2489.75,1510532.349,0.699,1419327.593,30
166,2519.917,1523310.021,0.708,1431150.38,30
167,2545.786,1509305.655,0.648,1436267.892,30
168,2567.357,1489292.607,0.762,1483253.705,30
169,2588.929,1511988.114,0.635,1483162.538,30
170,2610.5,1457687.724,0.67,1502888.066,30
171,2632.071,1401700.492,0.739,1516877.45,30
172,2653.643,1383510.786,0.694,1502432.519,30
173,2675.214,1351648.859,0.71,1472515.353,30
174,2696.786,1335432.148,0.76,1446266.136,30
175,2718.357,1339858.367,0.803,1487273.827,30
176,2739.929,1325032.879,0.783,1458415.786,30
177,2761.5,1342026.726,0.772,1490769.584,30
178,2783.071,1352303.625,0.751,1483458.355,30
179,2804.643,1323890.98,0.748,1507757.866,30
180,2826.214,1300648.883,0.84,1528439.616,30
181,2847.786,1341596.604,0.74,1534440.788,30
182,2869.357,1345906.114,0.746,1532166.705,30
183,2890.929,1372255.955,0.822,1534325.68,30
184,2912.5,1392835.515,0.808,1546164.399,30
185,2934.071,1426925.595,0.735,1552539.017,30
186,2955.643,1417189.101,0.728,1527683.094,30
187,2977.214,1398765.347,0.68,1530497.253,30
188,2998.786,1400342.958,0.771,1524876.842,30
189,3020.357,1422597.305,0.725,1486898.745,30
190,3041.929,1435775.544,0.758,1520721.216,30
191,3063.5,1446648.853,0.772,1502445.985,30
192,3085.071,1425261.66,0.676,1444293.492,30
193,3106.643,1377118.576,0.717,1430911.47,30
194,3128.214,1375648.429,0.693,1459314.947,30
195,3149.786,1362554.272,0.732,1475489.131,30
196,3171.357,1360332.988,0.823,1496393.708,30
197,3192.929,1398384.259,0.792,1493919.395,30
198,3214.5,1449464.657,0.72,1485111.575,30
199,3236.071,1458754.532,0.725,1460101.285,30
200,3257.643,1402342.882,0.737,1419934.629,30
201,3279.214,1384372.661,0.729,1427727.198,30
202,3303.438,1336146.938,0.669,1400154.598,30
203,3330.312,1274102.314,0.698,1394685.92,30
204,3357.188,1249665.751,0.859,1422679.701,30
205,3384.062,1282900.991,0.78,1477227.498,30
206,3410.938,1306177.082,0.848,1442017.324,30
207,3437.812,1356516.021,0.829,1481719.375,30
208,3464.688,1348603.165,0.762,1503342.96,30
209,3491.562,1341881.221,0.771,1489927.088,30
210,3528.472,1327472.265,0.719,1499692.907,30
211,3575.417,1326237.949,0.72,1525221.014,30
212,3622.361,1313744.826,0.849,1523048.128,30
213,3669.306,1293609.223,0.779,1519538.506,30
214,3716.25,1257979.048,0.807,1493868.069,30
215,3763.194,1266656.243,0.722,1487174.008,30
216,3810.139,1246332.864,0.752,1460651.688,30
217,3857.083,1217193.82,0.9,1511327.167,30
218,3904.028,1319753.293,0.872,1520782.857,30
219,3950.972,1364210.568,0.783,1544718.031,30
220,3997.917,1393258.044,0.776,1541564.784,30
221,4044.861,1404153.148,0.83,1534733.361,30
222,4091.806,1470760.378,0.629,1514807.972,30
223,4138.75,1425220.263,0.76,1523784.331,30
224,4185.694,1435253.963,0.711,1527201.13,30
225,4232.639,1422755.424,0.749,1514651.552,30
226,4270,1437154.466,0.672,1505640.667,30
227,4326.528,1408394.508,0.735,1538422.64,30
228,4373.472,1391615.624,0.736,1557879.839,30
229,4420.417,1408404.301,0.741,1539008.561,30
230,4467.361,1419421.677,0.714,1496049.97,30
231,4514.306,1415399.454,0.741,1545566.376,30
232,4561.25,1433540.495,0.775,1571255.292,30
233,4608.194,1436205.615,0.695,1584681.953,30
234,4655.139,1435821.842,0.714,1581893.153,30
235,4702.083,1467119.39,0.723,1585881.019,30
236,4749.028,1492555.212,0.697,1578777.611,30
237,4795.972,1495135.387,0.769,1571633.193,30
238,4842.917,1543752.856,0.695,1580877.518,30
239,4889.861,1557179.338,0.64,1599548.574,30
240,4936.806,1534448.142,0.665,1612557.829,30
241,4983.75,1512469.458,0.691,1589291.606,30
242,5030.694,1507577.663,0.66,1584221.64,30
243,5077.639,1477120.955,0.665,1609882.218,30
244,5124.583,1469861.323,0.69,1614736.262,30
245,5171.528,1486045.206,0.713,1618615.689,30
246,5218.472,1519591.416,0.701,1596915.449,30
247,5265.417,1541728.247,0.729,1609348.526,30
248,5312.361,1573598.118,0.682,1599013.983,30
249,5359.306,1566080.475,0.652,1613513.585,30
250,5406.25,1578652.967,0.637,1614746.721,30
251,5453.194,1563749.955,0.652,1624466.099,30
252,5500.139,1581669.71,0.659,1623268.359,30
253,5547.083,1582830.079,0.698,1628958.762,30
254,5594.028,1619531.048,0.625,1629686.69,30
255,5640.972,1590339.796,0.669,1637145.503,30
256,5687.917,1585802.495,0.613,1633419.875,30
257,5734.861,1571122.379,0.656,1621223.52,30
258,5781.806,1542706.271,0.62,1626421.454,30
259,5828.75,1503478.087,0.686,1629609.485,30
260,5875.694,1478979.056,0.678,1622658.994,30
261,5922.639,1477758.232,0.644,1611635.417,30
262,5969.583,1444331.29,0.717,1584134.897,30
263,6016.528,1462523.208,0.706,1602927.299,30
264,6063.472,1454906.058,0.741,1592643.5,30
265,6110.417,1512698.831,0.681,1614647.016,30
266,6157.361,1511610.388,0.721,1605377.504,30
267,6204.306,1540954.313,0.675,1617509.813,30
268,6251.25,1530155.978,0.724,1607204.612,30
269,6298.194,1529667.356,0.609,1600376.68,30
270,6345.139,1487107.451,0.683,1625683.915,30
271,6392.083,1483090.036,0.656,1611144.24,30
272,6439.028,1460760.015,0.698,1616467.603,30
273,6485.972,1436595.324,0.724,1596520.186,30
274,6532.917,1455751.283,0.704,1625826.539,30
275,6579.861,1485280.285,0.691,1569058.115,30
276,6626.806,1498247.893,0.706,1573961.927,30
277,6673.75,1504833.259,0.754,1594202.819,30
278,6720.694,1552589.684,0.679,1595122.283,30
279,6767.639,1549845.275,0.636,1587674.501,30
280,6814.583,1546120.342,0.662,1589065.304,30
281,6861.528,1524599.031,0.691,1582108.562,30
282,6908.472,1506872.659,0.648,1572119.41,30
283,6955.417,1425092.182,0.685,1566646.137,30
284,7002.361,1298134.651,0.644,1539797.615,30
285,7049.306,1188506.121,0.709,1505786.302,30
286,7096.25,1139705.276,0.73,1490941.417,30
287,7143.194,1148846.288,0.836,1456177.295,30
288,7190.139,1216928.908,0.997,1435944.055,30
289,7237.083,1308569.708,0.935,1424502.964,30
290,7284.028,1342892.24,0.845,1416301.614,30
291,7330.972,1325980.706,0.704,1453266.947,30
292,7377.917,1325253.334,0.647,1431245.632,30
293,7424.861,1316280.08,0.756,1426775.967,30
294,7471.806,1330175.091,0.848,1308647.257,30
295,7518.75,1381746.407,0.887,1375599.288,30
296,7565.694,1445815.13,0.705,1396585.685,30
297,7612.639,1441739.394,0.669,1425702.932,30
298,7659.583,1429766.742,0.721,1433187.823,30
299,7706.528,1413797.853,0.72,1395381.823,30
300,7794.773,1405652.382,0.734,1342161.937,30
301,7924.318,1396611.786,0.714,1326822.876,30
302,8053.864,1392159.681,0.697,1327375.564,30
303,8183.409,1367412.979,0.758,1324012.876,30
304,8312.955,1306717.44,0.739,1347523.142,30
305,8442.5,1292560.239,0.755,1315467.009,30
306,8572.045,1284824.279,0.725,1346049.321,30
307,8701.591,1272800.145,0.756,1326249.236,30
308,8831.136,1268812.792,0.909,1366004.153,30
309,8960.682,1297346.111,0.775,1350097.512,30
310,9090.227,1254952.288,0.775,NA,30
311,NA,1212200.367,0.755,NA,30
312,NA,1164492.179,0.766,NA,30
313,NA,1102403.441,0.835,NA,30
314,NA,1060295.292,0.885,NA,30
315,NA,1054501.49,0.889,NA,30
316,NA,1029702.098,0.886,NA,30
317,NA,1004101.271,0.943,NA,30
318,NA,990134.126,0.959,NA,30
319,NA,989164.027,0.902,NA,30
320,NA,978542.12,0.963,NA,30
321,NA,959341.109,0.965,NA,30
322,NA,924561.041,0.986,NA,30
323,NA,861946.694,0.961,NA,30
324,NA,796516.4,0.935,NA,30
325,NA,1085127.686,1.024,NA,30
326,NA,1480279.301,1.076,NA,30
327,NA,2048519.141,1.194,NA,30
328,NA,3109199.258,1.188,NA,30
