year (AD),age (BP),temperature (degC),age14C (BP),Uk37 (missing)
-11220,13170,18.191,12304,0.658
-11260,13210,18.426,12477,0.665
-11300,13250,18.706,12649,0.675
-11362,13312,18.412,12822,0.665
-11446,13396,18.324,12995,0.662
-11530,13480,18.162,13168,0.657
-11614,13564,17.971,13341,0.65
-11698,13648,17.926,13514,0.649
-11783,13733,17.985,13673,0.65
-11867,13817,18.118,13784,0.655
-11951,13901,17.882,13896,0.647
-12035,13985,18.176,14008,0.657
-12107,14057,18.235,14119,0.659
-12166,14116,17.941,14231,0.649
-12222,14172,18.221,14343,0.658
-12273,14223,18.676,14455,0.674
-12472,14422,18.662,14566,0.673
-12820,14770,18.765,14678,0.677
-13168,15118,18.868,14790,0.681
-14362,16312,19.235,15010,0.693
-15555,17505,18.882,15241,0.681
-15725,17675,18.868,15473,0.681
-15894,17844,18.662,15704,0.673
-16062,18012,18.868,15936,0.681
-16229,18179,19.515,15810,0.702
-16397,18347,19.265,15915,0.694
-16565,18515,19.382,16021,0.698
-16731,18681,19.382,16126,0.698
-16900,18850,18.779,16232,0.678
-17068,19018,18.735,16337,0.676
-17236,19186,18.441,16443,0.666
-17368,19318,19.176,16548,0.691
-17464,19414,18.912,16654,0.682
-17560,19510,19.647,16759,0.707
-17656,19606,19.676,16865,0.708
-17753,19703,20.176,16970,0.725
-17849,19799,20.118,17076,0.723
-17945,19895,20.147,17181,0.724
-18041,19991,19.809,17287,0.713
-18138,20088,19.618,17394,0.706
-18234,20184,19.5,17501,0.702
-18330,20280,19.235,17609,0.693
-18426,20376,19.368,17716,0.698
-18522,20472,19.162,17823,0.691
-18619,20569,19.294,17930,0.695
-18715,20665,19.588,18037,0.705
-18811,20761,19.794,18144,0.712
-18907,20857,19.838,18252,0.714
-19004,20954,19.721,18359,0.71
-19100,21050,20.044,18466,0.721
-19196,21146,19.926,18573,0.717
-19292,21242,20.044,18680,0.721
-19388,21338,20.309,18788,0.73
-19485,21435,20.25,18895,0.728
-19581,21531,19.971,19002,0.718
-19677,21627,19.353,19109,0.697
-19773,21723,19,19216,0.685
-19870,21820,18.868,19323,0.681
-19966,21916,18.985,19431,0.685
-20062,22012,18.5,19538,0.668
-20158,22108,18.471,19645,0.667
-20254,22204,17.912,19847,0.648
-20351,22301,17.162,20085,0.623
-20447,22397,16.176,20260,0.589
-20543,22493,16.926,20435,0.615
-20639,22589,16.868,20610,0.613
NA,NA,15.985,20785,0.583
NA,NA,18.059,20960,0.653
NA,NA,17.059,21135,0.619
NA,NA,17.838,21310,0.646
NA,NA,18.441,21485,0.666
NA,NA,18.765,21660,0.677
NA,NA,18.162,21835,0.657
NA,NA,18.191,22010,0.658
NA,NA,18.618,22185,0.672
NA,NA,18.809,22360,0.679
NA,NA,17.471,22535,0.633
NA,NA,17.853,22710,0.646
NA,NA,17.735,22885,0.642
NA,NA,17.971,23060,0.65
NA,NA,17.588,23236,0.637
NA,NA,18.676,23411,0.674
NA,NA,18.632,23586,0.673
NA,NA,18.824,23761,0.679
NA,NA,18.956,23936,0.684
NA,NA,18.897,24111,0.682
NA,NA,18.912,24286,0.682
NA,NA,18.794,24461,0.678
NA,NA,18.971,24636,0.684
NA,NA,19,24811,0.685
NA,NA,19.015,24986,0.686
NA,NA,18.603,25161,0.672
NA,NA,18.176,25336,0.657
NA,NA,18.335,25511,0.662
NA,NA,18.794,25697,0.678
NA,NA,19.176,25750,0.691
NA,NA,18.765,25802,0.677
NA,NA,18.897,25855,0.682
NA,NA,19.044,25908,0.687
NA,NA,18.559,25960,0.67
NA,NA,18.353,26013,0.663
NA,NA,18.779,26191,0.678
NA,NA,18.162,26344,0.657
NA,NA,17.868,26497,0.647
NA,NA,17.824,26651,0.645
NA,NA,18.015,26804,0.652
NA,NA,18.75,26957,0.677
NA,NA,18.574,27111,0.671
NA,NA,17.971,27264,0.65
NA,NA,17.809,27418,0.645
NA,NA,17.941,27571,0.649
NA,NA,18.147,27724,0.656
NA,NA,18.559,27878,0.67
NA,NA,19,28031,0.685
NA,NA,18.765,28184,0.677
NA,NA,18.588,28338,0.671
NA,NA,19.103,28491,0.689
NA,NA,19.456,28644,0.701
NA,NA,19.029,28798,0.686
NA,NA,18.912,28951,0.682
NA,NA,18.941,29105,0.683
NA,NA,18.706,29258,0.675
NA,NA,18.824,29411,0.679
NA,NA,19.324,29565,0.696
NA,NA,18.941,29718,0.683
NA,NA,19.147,29871,0.69
NA,NA,19.191,30025,0.692
NA,NA,19.147,30178,0.69
NA,NA,19.206,30331,0.692
NA,NA,19.132,30485,0.69
NA,NA,18.985,30638,0.685
NA,NA,18.632,30791,0.673
NA,NA,18.75,30945,0.677
NA,NA,18.882,31098,0.681
NA,NA,19.294,31252,0.695
NA,NA,19.118,31405,0.689
NA,NA,19.191,31558,0.692
NA,NA,18.941,31712,0.683
NA,NA,18.632,31865,0.673
NA,NA,19.059,32018,0.687
NA,NA,17.985,32172,0.651
NA,NA,18.809,32325,0.679
NA,NA,19.015,32478,0.686
NA,NA,19.265,32632,0.694
NA,NA,19.088,32785,0.688
NA,NA,19,32939,0.685
NA,NA,18.603,33092,0.672
NA,NA,17.912,33245,0.648
NA,NA,18.338,33399,0.663
NA,NA,17.941,33552,0.649
NA,NA,17.971,33705,0.65
NA,NA,18.044,33859,0.653
NA,NA,19.132,34012,0.69
NA,NA,17.838,34165,0.646
NA,NA,16.206,34319,0.59
NA,NA,16.691,34472,0.607
NA,NA,17.412,34625,0.631
NA,NA,17.015,34779,0.618
NA,NA,15.971,34932,0.582
NA,NA,16.632,35086,0.605
NA,NA,16.632,35239,0.605
NA,NA,16.618,35392,0.604
NA,NA,16.632,35546,0.605
NA,NA,15.897,35699,0.58
NA,NA,16.853,35852,0.612
NA,NA,17.074,36006,0.62
NA,NA,16.794,36159,0.61
NA,NA,16.956,36312,0.616
NA,NA,16.176,36543,0.589
NA,NA,14.176,36696,0.521
NA,NA,17.529,36849,0.635
NA,NA,15.779,37003,0.576
NA,NA,16.029,37156,0.584
NA,NA,15.926,37309,0.581
NA,NA,16.103,37463,0.587
NA,NA,17.588,37693,0.637
NA,NA,18.912,37846,0.682
NA,NA,18.912,38306,0.682
NA,NA,19,38766,0.685
NA,NA,19.029,39226,0.686
NA,NA,17.353,39686,0.629
NA,NA,18.912,40146,0.682
NA,NA,19.029,40607,0.686
NA,NA,19,41067,0.685
NA,NA,19.088,41527,0.688
NA,NA,19.206,41987,0.692
NA,NA,19.382,42447,0.698
NA,NA,18.412,42907,0.665
NA,NA,19.206,43367,0.692
NA,NA,19,43827,0.685
NA,NA,19.088,44287,0.688
NA,NA,18.559,44747,0.67
NA,NA,18.676,45207,0.674
NA,NA,18.882,45667,0.681
NA,NA,18.765,46128,0.677
NA,NA,19,46588,0.685
NA,NA,19.029,47048,0.686
NA,NA,19.412,47508,0.699
NA,NA,19.647,47968,0.707
NA,NA,19.353,48428,0.697
NA,NA,19.294,48888,0.695
NA,NA,19.265,49348,0.694
NA,NA,19.235,49808,0.693
NA,NA,18.647,50268,0.673
NA,NA,18.088,50728,0.654
NA,NA,16.941,51188,0.615
NA,NA,18.441,51649,0.666
NA,NA,17.912,52109,0.648
NA,NA,17.853,52569,0.646
NA,NA,17.971,53182,0.65
NA,NA,18.147,53642,0.656
NA,NA,18.176,54102,0.657
NA,NA,18.824,54562,0.679
NA,NA,17.941,55022,0.649
NA,NA,18.794,55483,0.678
NA,NA,18.588,55943,0.671
NA,NA,18.353,56403,0.663
NA,NA,18,56863,0.651
NA,NA,18.235,57323,0.659
NA,NA,18.029,57783,0.652
NA,NA,18.382,58243,0.664
NA,NA,18.059,58703,0.653
NA,NA,18.441,59094,0.666
NA,NA,18.353,59432,0.663
NA,NA,18.647,59771,0.673
NA,NA,17.647,60109,0.639
NA,NA,18.029,60335,0.652
NA,NA,18.265,60674,0.66
NA,NA,17.647,61012,0.639
NA,NA,17.706,61351,0.641
NA,NA,17.706,61689,0.641
NA,NA,17.5,62028,0.634
NA,NA,17.794,62366,0.644
NA,NA,17.059,62705,0.619
NA,NA,16.824,63044,0.611
NA,NA,16.235,63382,0.591
NA,NA,17.471,63721,0.633
NA,NA,15.941,64059,0.581
NA,NA,15.471,64398,0.565
NA,NA,16.676,64736,0.606
NA,NA,17.206,65075,0.624
NA,NA,17.235,65414,0.625
NA,NA,17.206,65752,0.624
NA,NA,18.147,66091,0.656
NA,NA,18.147,66429,0.656
NA,NA,18.059,66768,0.653
NA,NA,17.324,67106,0.628
NA,NA,17.441,67445,0.632
NA,NA,17.5,67783,0.634
NA,NA,17.471,68122,0.633
NA,NA,16.471,68461,0.599
NA,NA,18.088,68799,0.654
NA,NA,17.912,69138,0.648
NA,NA,18.294,69692,0.661
NA,NA,19.029,70290,0.686
NA,NA,19.059,70887,0.687
NA,NA,19.088,71485,0.688
NA,NA,18.941,72083,0.683
NA,NA,19.265,72680,0.694
NA,NA,20.088,73278,0.722
NA,NA,19.882,73876,0.715
NA,NA,19.618,74473,0.706
NA,NA,20.147,75071,0.724
NA,NA,19.353,75668,0.697
NA,NA,20.412,76266,0.733
NA,NA,19.647,76864,0.707
NA,NA,19.941,77461,0.717
NA,NA,20.647,78059,0.741
NA,NA,20.529,78657,0.737
NA,NA,20.853,79254,0.748
NA,NA,20.088,79676,0.722
NA,NA,20.294,80099,0.729
NA,NA,19.971,80522,0.718
NA,NA,19.029,80945,0.686
NA,NA,19.235,81368,0.693
NA,NA,19.353,81791,0.697
NA,NA,19.118,82214,0.689
NA,NA,18.324,82637,0.662
NA,NA,18.529,83060,0.669
NA,NA,18.529,83483,0.669
NA,NA,18.676,83906,0.674
