depth (m),age (BP),temperature (degC),temperature (degC),d13C (permil),d18O (permil),planktic.d13C (permil),planktic.d18O (permil),planktic.MgCa (mmol_mol),planktic.d13C (permil),planktic.d18O (permil),planktic.MgCa (mmol_mol)
2.23,3230,NA,16.27,0.35,1.77,NA,NA,NA,1.3,0.67,1.38
2.28,3310,NA,15.4,0.1,1.76,NA,NA,NA,1.22,0.54,1.25
2.33,3390,NA,15.92,0.35,1.74,NA,NA,NA,1.32,0.67,1.33
2.38,3470,NA,16.05,0.08,1.77,NA,NA,NA,1.13,0.67,1.35
2.43,3550,NA,15.79,0.18,1.8,NA,NA,NA,1.23,0.68,1.31
2.48,3630,NA,15.61,0.28,1.62,NA,NA,NA,1.16,0.36,1.28
2.53,3700,20.7,16.09,0.04,1.78,NA,NA,2.81,1.23,0.68,1.35
2.58,3780,NA,15.49,0.1,1.97,NA,NA,NA,1.16,0.66,1.27
2.63,3860,NA,15.33,0.19,1.75,NA,NA,NA,1.19,0.62,1.24
2.68,3940,NA,15.45,0.29,1.73,NA,NA,NA,1.33,0.5,1.26
2.73,4020,20.8,15.82,0.09,1.82,NA,NA,2.82,1.15,0.7,1.32
2.78,4100,NA,16.21,0.27,1.88,NA,NA,NA,1.25,0.69,1.37
2.83,4170,21.2,16.75,0.09,1.75,1.76,-1.6,2.95,1.16,0.56,1.46
2.88,4250,NA,17.08,0.21,1.85,NA,NA,NA,1.25,0.66,1.51
2.93,4330,NA,15.93,0.11,1.76,NA,NA,NA,1.18,0.64,1.33
2.98,4410,NA,17.19,0.18,2.05,NA,NA,NA,1.22,0.55,1.54
3.03,4490,20.9,15.73,0.14,1.91,1.43,-1.57,2.86,1.3,0.64,1.3
3.08,4570,NA,17.07,0.16,1.91,NA,NA,NA,1.14,0.79,1.51
3.13,4650,21.2,16.16,0.06,1.9,NA,NA,2.93,1.03,0.67,1.37
3.18,4720,NA,15.62,0.19,1.88,NA,NA,NA,1.1,0.73,1.29
3.23,4800,20,16.22,0.15,1.93,1.53,-1.28,2.61,1.14,0.64,1.38
3.28,4880,NA,15.84,0.05,1.81,NA,NA,NA,1.13,0.84,1.32
3.33,4960,22,16.11,0.2,1.87,NA,NA,3.16,1.14,0.59,1.36
3.38,5040,NA,16.46,0.22,1.99,NA,NA,NA,1.22,0.71,1.41
3.43,5090,22,15.71,0.06,1.77,1.82,-1.79,3.17,1.2,0.65,1.3
3.48,5150,NA,16.74,0.14,1.64,NA,NA,NA,1.19,0.69,1.46
3.53,5210,21,15.24,0.05,1.8,1.78,-1.09,2.89,1.22,0.73,1.23
3.58,5260,NA,16.6,0.24,1.86,NA,NA,NA,1.29,0.72,1.44
3.63,5320,20.8,15.69,0.04,1.78,1.66,-1.46,2.83,1.14,0.75,1.3
3.68,5370,NA,15.56,0.25,1.85,NA,NA,NA,1.25,0.8,1.28
3.73,5430,22.3,16.41,0.2,1.79,1.76,-0.92,3.25,1.24,0.73,1.41
3.78,5480,NA,16.55,0.14,1.64,NA,NA,NA,1.17,0.7,1.43
3.83,5540,20.3,17.01,0.12,1.87,1.95,-1.33,2.71,1.23,0.63,1.5
3.88,5600,NA,15.27,0.15,1.81,NA,NA,NA,1.16,0.79,1.24
3.93,5650,22.5,17.16,0.16,1.87,1.91,-1.38,3.31,1.25,0.74,1.53
3.98,5710,NA,16.99,0.22,1.8,NA,NA,NA,1.3,0.61,1.5
4.03,5760,20.4,16.53,0.12,1.83,1.71,-1.65,2.72,1.23,0.64,1.42
4.08,5820,NA,16.45,0.02,1.66,NA,NA,NA,1.19,0.72,1.41
4.13,5870,22.3,15.23,0.18,1.78,1.9,-1.02,3.26,1.06,0.6,1.23
4.18,5930,NA,15.88,0.28,1.81,NA,NA,NA,1.14,0.82,1.32
4.23,5980,NA,17.32,-0.12,1.86,NA,NA,NA,1.11,0.48,1.56
4.28,6040,NA,16.04,0.01,1.72,NA,NA,NA,1.16,0.87,1.35
4.33,6090,21.3,16.3,0.28,1.84,1.56,-1.45,2.97,1.2,0.63,1.39
4.38,6150,NA,16.39,0.1,1.86,NA,NA,NA,1.23,0.7,1.4
4.43,6200,20.4,14.82,0.03,1.85,1.88,-1.83,2.73,1.07,0.84,1.17
4.48,6260,NA,16.84,0.32,1.93,NA,NA,NA,1.24,0.79,1.48
4.53,6310,NA,16.03,0.14,1.83,NA,NA,NA,1.17,0.84,1.35
4.58,6360,NA,17.15,0.31,1.84,NA,NA,NA,1.19,0.69,1.53
4.63,6420,22.4,17.56,0.2,1.67,1.69,-1.99,3.28,1.22,0.87,1.6
4.68,6470,NA,16.95,0.18,1.69,NA,NA,NA,1.31,0.75,1.49
4.73,6530,22.9,16.54,0.19,1.84,1.55,-1.02,3.45,1.21,0.78,1.43
4.78,6580,NA,15.41,0.35,1.84,NA,NA,NA,1.12,0.73,1.25
4.83,6640,21.7,17.04,0.2,1.69,1.72,-1.86,3.08,1.17,0.79,1.51
4.88,6690,NA,16.09,0.22,1.93,NA,NA,NA,1.18,0.61,1.36
4.93,6750,22.6,16.13,0.03,1.7,1.76,-1.62,3.36,1.15,0.87,1.36
4.98,6800,NA,15.53,0.05,1.88,NA,NA,NA,1.23,0.75,1.27
5.03,6860,22.2,17.16,0.13,1.81,1.69,-1.32,3.22,1.21,0.79,1.53
5.08,6910,NA,16.03,0.18,1.91,NA,NA,NA,1.15,0.7,1.35
5.13,6960,25.5,17.09,-0.02,1.9,NA,NA,4.39,1.09,0.8,1.52
5.18,7000,NA,16.23,0.14,1.62,NA,NA,NA,1.02,0.7,1.38
5.23,7040,22.2,17.41,0.16,1.89,1.64,-1.81,3.24,1.15,0.63,1.57
5.28,7090,NA,16.45,0.02,1.67,NA,NA,NA,1.16,0.77,1.41
5.33,7130,25.6,15.82,0.08,1.86,1.48,-1.58,4.42,1.06,0.88,1.31
5.38,7170,NA,15.24,-0.08,1.6,NA,NA,NA,1.16,0.8,1.23
5.43,7220,21.4,16.39,0.03,1.66,1.64,-1.72,3,1.18,0.57,1.4
5.48,7260,NA,15.64,0.07,1.86,NA,NA,NA,1.13,0.85,1.29
5.53,7310,23.7,16.55,-0.01,1.83,NA,NA,3.7,1.11,0.8,1.43
5.58,7350,NA,16.26,0.04,1.62,NA,NA,NA,1.09,0.6,1.38
5.63,7390,22.2,15.43,-0.07,1.87,1.67,-1.58,3.22,0.95,0.75,1.26
5.68,7440,NA,15.85,0.24,1.78,NA,NA,NA,1.08,0.84,1.32
5.73,7480,23.9,16.39,0.19,1.79,1.8,-1.61,3.78,1.1,0.8,1.4
5.78,7520,NA,17.91,0.11,1.62,NA,NA,NA,1.14,0.71,1.66
5.83,7570,21.6,16.95,0.12,1.77,1.62,-1.61,3.05,1.12,0.87,1.49
5.88,7610,NA,16.52,0.07,1.78,NA,NA,NA,1.21,0.72,1.42
5.93,7660,24.3,15.21,-0.17,2.03,1.58,-0.85,3.93,1.08,0.83,1.23
5.98,7700,NA,16.69,0.19,1.78,NA,NA,NA,1.2,0.7,1.45
6.03,7750,21.2,16.71,-0.14,1.87,1.45,-1.33,2.93,1.13,0.72,1.45
6.08,7800,NA,15.89,-0.14,1.97,NA,NA,NA,1.22,0.66,1.33
6.13,7850,21.5,17.07,-0.6,1.64,1.7,-1.35,3.03,1.04,0.88,1.51
6.18,7900,NA,16.35,-0.12,1.86,NA,NA,NA,1.04,0.82,1.4
6.23,7950,21.2,17.34,-0.15,1.89,1.6,-1.84,2.92,1.07,0.85,1.56
6.28,8000,NA,15.4,-0.18,2.12,NA,NA,NA,1.06,0.85,1.25
6.33,8050,24.4,17.33,-0.33,1.95,1.65,-0.82,3.95,1.06,0.79,1.56
6.38,8100,NA,17.42,0.05,1.94,NA,NA,NA,1.1,0.72,1.58
6.43,8150,21.3,16.85,-0.12,1.89,NA,NA,2.97,1.01,0.79,1.48
6.48,8200,NA,16.71,0.12,1.81,NA,NA,NA,1.08,0.9,1.45
6.53,8250,23.6,15.91,0.22,1.68,1.58,-1.44,3.69,1.12,0.8,1.33
6.58,8300,NA,16.72,-0.24,2.13,NA,NA,NA,1.11,0.8,1.46
6.63,8350,22,18.36,-0.15,1.92,1.6,-1.76,3.15,1.11,0.8,1.75
6.68,8400,NA,16.02,-0.16,1.75,NA,NA,NA,1.07,0.78,1.34
6.73,8450,24.3,16.52,-0.15,1.95,1.49,-0.78,3.91,1.02,0.84,1.42
6.78,8500,NA,17.53,-0.27,1.92,NA,NA,NA,1.04,0.88,1.6
6.83,8550,21.2,16.67,-0.14,2.06,1.25,-1.24,2.95,1.06,0.87,1.45
6.88,8600,NA,18.08,-0.11,1.85,NA,NA,NA,1.02,0.9,1.7
6.93,8650,NA,17.4,-0.03,2.1,NA,NA,NA,0.93,0.92,1.57
6.98,8700,NA,16.61,-0.35,2.25,NA,NA,NA,1.08,0.81,1.44
7.03,8750,21.6,17.13,-0.01,2.18,1.58,-1.29,3.06,1,0.81,1.52
7.08,8800,NA,17.32,-0.28,1.74,NA,NA,NA,1.05,0.76,1.56
7.13,8850,22.7,16.19,-0.24,2.05,1.78,-0.89,3.37,1.02,0.92,1.37
7.18,8900,NA,17.98,-0.27,2.09,NA,NA,NA,1.02,0.78,1.68
7.23,8950,22.2,17.74,-0.3,1.94,1.7,-1.36,3.21,1.05,0.93,1.63
7.28,9000,NA,17.62,-0.46,2.4,NA,NA,NA,1.04,1.17,1.61
7.33,9050,22.8,17.24,-0.12,2.2,1.54,-1.12,3.41,1.13,0.99,1.54
7.38,9100,NA,17.32,-0.21,1.77,NA,NA,NA,0.92,1.04,1.56
7.43,9150,21.2,16.44,-0.09,2.16,1.54,-1.3,2.93,0.87,0.94,1.41
7.48,9200,NA,15.94,-0.36,1.86,NA,NA,NA,1.14,0.9,1.33
7.53,9250,23.3,17.75,-0.36,1.78,1.54,-0.91,3.57,1.02,1.04,1.63
7.58,9300,NA,17.22,-0.17,1.87,NA,NA,NA,1.13,1,1.54
7.63,9350,21.5,18.56,-0.22,1.78,1.3,-1.29,3.02,0.87,0.96,1.79
7.68,9400,NA,18.6,-0.18,1.93,NA,NA,NA,0.99,1.1,1.8
7.73,9460,21.7,18.5,-0.33,1.83,1.06,-1.16,3.09,0.91,0.88,1.78
7.78,9520,NA,18.51,-0.11,2.1,NA,NA,NA,0.82,1.09,1.78
7.83,9580,21.7,19.06,-0.22,2.14,1.44,-1.68,3.08,0.9,0.99,1.9
7.88,9630,NA,18.54,-0.16,1.89,NA,NA,NA,0.95,1.04,1.79
7.93,9690,23.7,18.03,-0.31,1.84,1.21,-1.56,3.71,1.01,0.91,1.69
7.98,9750,NA,17.61,-0.38,1.93,NA,NA,NA,0.83,1.12,1.61
8.03,9800,22.2,18.03,-0.24,1.95,1.32,-1.61,3.23,1.06,1.01,1.69
8.08,9860,NA,18.41,-0.42,1.87,NA,NA,NA,0.83,0.86,1.76
8.13,9920,23,18.99,-0.36,2.03,1.18,-1.43,3.49,0.88,0.86,1.88
8.18,9970,NA,17.36,-0.22,1.79,NA,NA,NA,0.94,1.14,1.57
8.23,10030,21.8,18.86,-0.38,2.06,1.44,-1.46,3.09,0.7,1.01,1.85
8.28,10090,NA,18.32,-0.29,1.88,NA,NA,NA,0.94,1,1.74
8.33,10140,22.7,17.37,-0.36,1.86,1.36,-1.28,3.39,0.86,0.98,1.57
8.38,10200,NA,17.35,-0.24,1.86,NA,NA,NA,0.99,1,1.56
8.43,10260,22.6,18.02,-0.19,2.19,1.48,-1.55,3.34,0.97,0.84,1.69
8.48,10320,NA,19.06,-0.2,1.96,NA,NA,NA,0.92,1.23,1.9
8.53,10370,22.9,17.71,-0.45,1.84,1.26,-1.48,3.44,0.87,1.12,1.63
8.58,10430,NA,18.9,-0.26,1.85,NA,NA,NA,0.9,1.12,1.86
8.63,10490,21.7,18.85,0.03,2.03,1.29,-1.35,3.06,0.95,1.16,1.85
8.68,10540,NA,16.86,-0.25,2.09,NA,NA,NA,0.94,1.19,1.48
8.73,10600,23.1,18.25,-0.08,2,0.94,-1.07,3.52,0.93,0.93,1.73
8.78,10660,NA,17.39,-0.34,1.96,NA,NA,NA,1.03,1.06,1.57
8.83,10710,22.7,19.21,-0.24,2.03,1.3,-1.42,3.37,0.89,1.28,1.93
8.88,10770,NA,17.28,-0.6,2.11,NA,NA,NA,0.86,1.18,1.55
8.93,10830,NA,17.99,-0.34,1.92,NA,NA,NA,0.91,1.03,1.68
8.98,10900,NA,19.32,-0.28,2.24,NA,NA,NA,0.8,1.18,1.95
9.03,10970,21.8,18.94,-0.54,1.89,1.08,-1.1,3.12,0.74,1.03,1.87
9.08,11040,NA,18.22,-0.46,2.1,NA,NA,NA,0.8,1.12,1.72
9.13,11110,24.8,18.96,-0.17,2.05,1.29,-0.82,4.1,0.77,1.23,1.87
9.18,11180,NA,18.34,-0.48,2.59,NA,NA,NA,0.82,1.32,1.75
9.23,11250,22,19.62,-0.44,2.65,1.11,-1.17,3.16,0.83,1.14,2.02
9.28,11320,NA,18.41,-0.39,2.02,NA,NA,NA,0.69,1.09,1.76
9.33,11390,23,17.49,-0.42,2.35,NA,NA,3.46,0.81,1.17,1.59
9.38,11460,NA,17.61,-0.53,2.77,NA,NA,NA,0.77,1.18,1.61
9.43,11530,23.2,17.42,-0.73,2.28,1.13,-0.85,3.55,0.68,1.25,1.58
9.48,11600,NA,17.14,-0.51,2.44,NA,NA,NA,0.72,1.43,1.53
9.53,11670,23.9,18.32,-0.58,2.49,1.06,-1.5,3.78,0.84,1.28,1.74
9.58,11740,NA,17.27,-0.51,2.25,NA,NA,NA,0.72,1.46,1.55
9.63,11810,24,18.74,-0.27,2.11,1.36,-0.93,3.82,0.59,1.44,1.83
9.68,11880,NA,17.75,-1.02,2.76,NA,NA,NA,0.8,1.15,1.63
9.73,11950,21,20.12,-0.4,2.21,0.8,-0.18,2.88,1.21,1.13,2.14
9.78,12020,NA,18.36,-0.71,2.72,NA,NA,NA,0.71,1.36,1.75
9.83,12100,20.8,17.57,-0.51,2.78,0.95,-0.51,2.82,0.97,1.1,1.6
9.88,12170,NA,17.89,-0.74,2.66,NA,NA,NA,0.96,1.26,1.66
9.93,12240,22.8,18.57,-0.87,2.68,1.04,-0.65,3.4,0.72,1.37,1.79
9.98,12310,NA,17.67,-0.82,2.76,NA,NA,NA,0.8,1.45,1.62
10.03,12380,21.7,17.57,-0.37,2.7,1.08,-0.62,3.06,0.76,1.26,1.6
10.08,12450,NA,17.27,-0.52,2.53,NA,NA,NA,0.83,1.51,1.55
10.13,12520,21.6,18.37,-0.77,2.71,1.05,-0.68,3.04,0.88,1.39,1.75
10.18,12590,NA,18.45,-0.71,2.67,NA,NA,NA,0.7,1.46,1.77
10.23,12660,21.4,17.38,-0.62,2.64,NA,NA,2.98,0.83,1.3,1.57
10.28,12730,NA,18.66,-0.17,2.29,NA,NA,NA,0.61,1.44,1.81
10.33,12800,23.2,17.8,-0.34,2.52,0.9,-0.31,3.53,0.76,1.2,1.64
10.38,12870,NA,17.36,-1.01,2.76,NA,NA,NA,0.5,1.51,1.56
10.43,12940,21.9,17.33,-0.45,2.65,1,-0.4,3.12,0.93,1.33,1.56
10.48,13010,NA,17.07,-0.41,2.8,NA,NA,NA,0.52,1.55,1.51
10.53,13080,22.6,18.7,-0.76,2.93,1.12,-0.41,3.36,0.79,1.46,1.82
10.58,13150,NA,17.91,-0.6,2.5,NA,NA,NA,0.66,1.29,1.66
