year (AD),age (BP),Pann (mm),Tann (degC),temperature (degC),temperature (degC)
-2005,3955,274.3,-0.2,16.3,-18.7
-2080,4030,281.1,-0.3,16.2,-18.9
-2155,4105,264,-0.3,16.1,-18.9
-2230,4180,274.6,-0.2,16.3,-18.9
-2305,4255,277.9,-0.2,16.3,-18.9
-2380,4330,278.7,-0.2,16.4,-19
-2467.5,4417.5,292.8,-0.1,16.4,-18.9
-2555,4505,288.5,0,16.7,-18.7
-2642.5,4592.5,299.2,-0.1,16.5,-18.9
-2730,4680,316.7,-0.1,16.3,-18.8
-2817.5,4767.5,331.2,-0.1,16.3,-18.7
-2905,4855,330.1,-0.1,16.2,-18.6
-2992.5,4942.5,321.1,0,16.2,-18.2
-3080,5030,339,0,16.1,-18.3
-3167.5,5117.5,334.1,0,16.3,-18.5
-3255,5205,329.6,-0.2,16.1,-18.6
-3342.5,5292.5,333.5,0,16.2,-18.4
-3430,5380,340.3,0,16,-18.1
-3558.8,5508.8,326.8,0,16.3,-18.5
-3687.5,5637.5,317.7,0,16.2,-18.5
-3816.3,5766.3,322.6,0,16.2,-18.4
-3945,5895,337.7,0.1,16,-17.9
-4073.8,6023.8,311.9,0.1,16.1,-18.2
-4202.5,6152.5,330.6,0,15.9,-18.1
-4331.3,6281.3,329.3,0.1,16.2,-18.3
-4460,6410,320.1,0,16.4,-18.7
-4569,6519,321.2,0,16.4,-18.8
-4678,6628,327.5,0.1,16.4,-18.6
-4787,6737,336.6,0.1,16.5,-18.6
-4896,6846,337.8,0.2,16.6,-18.5
-5005,6955,334.6,0.2,16.6,-18.4
-5114,7064,339.4,0.1,16.4,-18.4
-5223,7173,333.8,0.2,16.6,-18.5
-5332,7282,338.1,0.2,16.6,-18.5
-5441,7391,340.1,0.2,16.5,-18.4
-5550,7500,338.8,0,16.3,-18.7
-5610.5,7560.5,338.3,0.2,16.5,-18.4
-5671,7621,330.7,0.2,16.7,-18.5
-5731.5,7681.5,325.4,0.1,16.5,-18.5
-5792,7742,327.4,0.3,16.8,-18.4
-5852.5,7802.5,320.9,0.2,16.7,-18.5
-5913,7863,316.3,0.4,16.9,-18.4
-5973.5,7923.5,317.6,0.3,16.8,-18.4
-6034,7984,302.8,0.3,16.9,-18.6
-6094.5,8044.5,309.4,0.5,17.2,-18.4
-6155,8105,314.6,0.6,17.2,-18.1
-6228.3,8178.3,316.9,0.5,17.2,-18.3
-6301.5,8251.5,310.8,0.5,17.3,-18.4
-6374.8,8324.8,308.3,0.6,17.4,-18.2
-6448,8398,305.6,0.5,17.4,-18.4
-6521.3,8471.3,311.7,0.4,17,-18.3
-6594.5,8544.5,304.5,0.5,17.3,-18.4
-6667.8,8617.8,289.3,0.4,17.3,-18.5
-6741,8691,302,0.6,17.4,-18.3
-6814.3,8764.3,299.2,0.7,17.4,-18.1
-6887.5,8837.5,305.7,0.6,17.4,-18.3
-6960.8,8910.8,299.4,0.6,17.3,-18.3
-7034,8984,304.6,0.4,17.1,-18.3
-7107.3,9057.3,301.2,0.6,17.3,-18.3
-7180.5,9130.5,298.7,0.6,17.4,-18.4
-7253.8,9203.8,319.9,0.6,17,-17.9
-7327,9277,316.4,0.6,17.3,-18.2
-7400.3,9350.3,313.4,0.5,17.1,-18.1
-7473.5,9423.5,301.9,0.5,17.2,-18.3
-7546.8,9496.8,296.8,0.5,17.2,-18.4
-7620,9570,301.6,0.4,17.3,-18.5
-7693.3,9643.3,310.3,0.6,17.1,-18.2
-7766.5,9716.5,315.7,0.4,17,-18.3
-7839.8,9789.8,314.4,0.4,17.1,-18.3
-7913,9863,304.3,0.4,17.2,-18.4
-7986.3,9936.3,312.4,0.4,17,-18.3
-8059.5,10009.5,313.3,0.6,17.2,-18.3
-8132.8,10082.8,325.4,0.5,17,-18.1
-8206,10156,319.7,0.4,17,-18.3
-8279.3,10229.3,323.2,0.5,17,-18.2
-8352.5,10302.5,299.4,0.4,17.1,-18.5
-8425.8,10375.8,312.1,0.4,16.9,-18.2
-8499,10449,311.8,0.4,16.8,-18.1
-8572.3,10522.3,312.3,0.4,17,-18.3
-8645.5,10595.5,306.1,0.5,17.2,-18.4
-8718.8,10668.8,302.9,0.4,17.1,-18.4
-8792,10742,316.9,0.4,17,-18.2
-8865.3,10815.3,310.6,0.3,16.8,-18.3
-8938.5,10888.5,307,0.5,17.2,-18.4
-9011.8,10961.8,306.5,0.4,17,-18.4
-9085,11035,306.2,0.3,16.9,-18.5
