depth (cm),age (BP),precipitation (mm),dD (sum deg c),temperature (degC),AET/PET (missing),sampleID (missing),error (1s),age (BP),temperature (degC)
74,2243.356,438,650,12.8,1,0.31,0,2439.269,0.3
76,2340.694,455,790,14.1,0.99,0.265,0.01,2539.032,0.45
78,2439.269,526,993,15.5,0.985,0.271,0.01,2639.936,-0.1
80,2539.032,523,928,15,0.985,0.288,0.01,2741.933,0.3
82,2639.936,593,782,13.8,1,0.26,0,2844.975,-0.05
84,2741.933,390,629,12.5,0.99,0.27,0.01,2949.014,0.05
86,2844.975,513,641,12.7,1,0.275,0,3054.001,0.9
88,2949.014,428,618,12.8,1,0.243,0,3159.889,1.65
90,3054.001,312,456,11.1,1,0.23,0,3266.63,1.2
92,3159.889,288,467,11.1,1,0.227,0,3374.176,1.9
94,3266.63,288,451,11,1,0.254,0,3482.479,1.1
96,3374.176,310,497,11.4,1,0.278,0,3591.49,0.05
98,3482.479,339,511,11.5,1,0.279,0,3701.162,2.7
100,3591.49,438,684,13.3,1,0.265,0,3811.447,1.3
102,3701.162,283,453,10.9,1,0.236,0,3922.297,1.2
104,3811.447,302,441,10.9,1,0.259,0,4033.664,0
106,3922.297,524,921,14.7,0.985,0.329,0.01,4145.499,-0.4
108,4033.664,464,795,14.1,0.99,0.295,0.01,4257.755,0.25
110,4145.499,486,833,14.7,0.989,0.28,0.01,4370.384,0.1
112,4257.755,484,821,14.3,0.989,0.291,0.01,4483.338,-0.65
114,4370.384,519,753,13.7,1,0.322,0,4596.569,-0.25
116,4483.338,477,1004,16,0.984,0.338,0.01,4710.028,-1.2
118,4596.569,616,901,14.9,0.99,0.299,0.01,4823.668,-0.3
120,4710.028,479,900,15.4,0.988,0.315,0.01,4937.441,-0.8
122,4823.668,432,748,14,0.989,0.316,0.01,5051.299,0.1
124,4937.441,511,832,14.6,0.989,0.305,0.01,5165.194,-1.25
126,5051.299,452,824,14.4,0.985,0.333,0.011,5279.077,-0.3
128,5165.194,515,968,15.9,0.988,0.3,0.01,5392.901,-0.35
130,5279.077,506,873,15,0.99,0.278,0.01,5506.618,0.95
132,5392.901,494,869,15,0.989,0.308,0.01,5620.18,0.45
134,5506.618,308,478,11.8,1,0.275,0,5733.539,0.9
136,5620.18,475,950,15.1,0.962,0.306,0.022,5846.646,0.6
138,5733.539,504,907,14.6,0.962,0.341,0.022,5959.454,0.25
140,5846.646,518,1028,15.8,0.983,0.324,0.01,6071.915,-0.45
142,5959.454,525,981,15.4,0.985,0.3,0.01,6183.981,0.5
144,6071.915,501,911,15.1,0.978,0.261,0.014,6295.604,-0.55
146,6183.981,538,920,15.1,0.99,0.263,0.01,6406.735,0.2
148,6295.604,577,968,15.6,0.988,0.311,0.01,6517.327,-0.3
150,6406.735,480,1002,15.7,0.984,0.326,0.01,6627.332,-1.2
152,6517.327,488,720,13.7,1,0.3,0,6736.702,-0.4
154,6627.332,480,902,15.4,0.988,0.322,0.01,6845.389,-0.8
156,6736.702,613,959,15.4,0.989,0.294,0.01,6953.344,0
158,6845.389,480,881,15.1,0.978,0.268,0.014,7060.52,-0.4
160,6953.344,533,1010,15.7,0.974,0.291,0.014,7166.869,0.4
162,7060.52,613,958,15.4,0.99,0.286,0.01,7272.343,-0.45
164,7166.869,475,949,15,0.962,0.295,0.022,7376.894,-0.4
166,7272.343,607,949,15.3,0.978,0.262,0.014,7480.473,1.15
168,7376.894,614,958,15.4,0.99,0.264,0.01,7583.033,-0.05
170,7480.473,513,815,13.6,0.964,0.287,0.022,7684.526,-0.2
172,7583.033,529,1025,15.9,0.984,0.28,0.01,7784.904,-0.4
174,7684.526,673,932,15.1,1,0.262,0,7884.119,-0.65
176,7784.904,613,959,15.4,0.99,0.277,0.01,7982.122,-0.35
178,7884.119,530,1025,16.1,0.988,0.279,0.01,8078.866,-0.15
180,7982.122,624,974,15.5,0.998,0.269,0.002,8174.303,-0.15
182,8078.866,706,928,14.9,1,0.228,0,8268.385,0.2
184,8174.303,626,717,13.4,1,0.223,0,8361.064,-0.4
186,8268.385,546,955,15.2,0.996,0.296,0.004,8452.291,-0.4
188,8361.064,577,999,15.8,0.99,0.256,0.01,8542.019,-0.4
190,8452.291,649,945,15.2,0.99,0.269,0.01,8630.2,-0.5
192,8542.019,648,945,15.2,0.99,0.255,0.01,8716.786,-0.45
194,8630.2,563,950,15.4,0.99,0.252,0.01,8801.729,-0.35
196,8716.786,607,951,15.3,0.978,0.232,0.014,8884.98,-0.2
198,8801.729,621,957,15.4,0.988,0.262,0.011,8966.492,1
200,8884.98,674,931,15.1,1,0.256,0,9046.217,1.6
202,8966.492,255,407,11.1,1,0.175,0,9124.107,-1.3
204,9046.217,317,465,11.4,1,0.162,0,NA,NA
206,9124.107,281,506,11.9,0.943,0.224,0.032,NA,NA
