depth (m),age (BP),temperature (degC),depth (m),age (BP),temperature (degC),depth (m),age (BP),planktic.d18O (permil),planktic.d13C (permil)
5.78,23513,25.8,6.58,31558,23.3,5.83,23899,-0.67,0.78
5.83,23899,26.3,6.63,32096,23.1,5.88,24388,-0.81,0.82
5.88,24388,25.9,6.68,32669,23.2,5.93,24877,-0.6,1.06
5.93,24877,25.2,6.73,33552,22.4,5.98,25365,-0.74,0.92
5.98,25365,24.6,6.78,34434,23.3,6.03,25854,-0.66,0.82
6.03,25854,26,6.83,35316,22.9,6.08,26343,-0.77,0.86
6.08,26343,25.4,6.88,36199,23.2,6.13,26832,-0.59,0.83
6.13,26832,24.7,6.93,36834,23.3,6.18,27321,-0.69,0.6
6.18,27321,25.4,NA,NA,NA,6.23,27809,-0.5,1.03
6.23,27809,25.7,NA,NA,NA,6.28,28328,-0.82,0.86
6.28,28328,26.2,NA,NA,NA,6.33,28866,-0.91,0.78
6.33,28866,26.5,NA,NA,NA,6.38,29405,-0.62,0.88
6.38,29405,25.7,NA,NA,NA,6.43,29943,-0.84,0.7
6.43,29943,26.5,NA,NA,NA,6.48,30481,-0.81,0.71
6.48,30481,25.9,NA,NA,NA,6.53,31020,-0.76,0.95
6.53,31020,25.6,NA,NA,NA,6.58,31558,-0.81,0.82
6.58,31558,26.3,NA,NA,NA,6.63,32096,-0.73,0.88
6.63,32096,26.3,NA,NA,NA,6.68,32669,-0.87,0.82
6.68,32669,26.8,NA,NA,NA,6.73,33552,-0.86,0.87
6.73,33552,26.2,NA,NA,NA,6.78,34434,-0.94,0.98
6.78,34434,26.8,NA,NA,NA,6.83,35316,-0.89,0.82
6.83,35316,26.4,NA,NA,NA,6.88,36199,-1.03,0.86
6.88,36199,26.7,NA,NA,NA,6.93,36834,-0.87,0.75
