year (AD),age (BP),F_kerg__ (percent),F_curta_gp_ (percent),C (percent),temperature (percent),glacierCoverage (missing),diatom_abundance (millions of valves/g dry sed)
-547,2497,6.1,33.6,13.5,7,4,433.35
-567,2517,6.8,50,9.8,4.7,3,532.52
-586,2536,7,36.2,9.2,5.7,1.3,211.04
-606,2556,9.3,30.4,25.4,0.6,1.2,426.36
-625,2575,10,24.8,20.3,3.9,1.8,546.66
-640,2590,5.9,36.6,15.8,5.9,3.4,526.69
-664,2614,7.3,31.6,17.5,8.5,3.8,358.11
-684,2634,4.9,29.2,17.2,19,0.6,634.17
-704,2654,9.3,34.9,12.3,7.5,2.1,486.75
-723,2673,10.3,28.2,20.2,6.6,1.4,458.94
-743,2693,9.6,28.1,23.3,4.1,2,428.63
-762,2712,14.6,26.2,23.8,9.5,1.8,302.38
-782,2732,5.7,19.7,42.5,5.9,1.4,1117.92
-801,2751,6.8,20.1,47.2,3.8,1.8,1009.2
-821,2771,7.6,31,29.6,7.2,1.7,789.61
-841,2791,4.5,25.1,45.2,3.3,0,945.57
-860,2810,4.2,35.8,29.5,3,0.9,690.16
-880,2830,5.3,25.5,35.5,2.9,1.2,778.17
-889,2839,17.8,18.7,10.8,3,2.4,198.26
-909,2859,10.8,29.2,18.7,4.8,3,523.39
-929,2879,10.3,25.7,14.3,5.4,4.3,317.44
-948,2898,9.5,28.3,10.5,1.8,4.3,207.98
-968,2918,7.3,36.2,14.6,1.5,2.6,384.02
-987,2937,6.5,26.8,18.2,3.3,3,387.99
-1007,2957,8.9,21.7,17.8,4.9,2.9,319.14
-1026,2976,7.4,24,17.2,5.9,1.8,301.87
-1046,2996,10,29.6,17.4,6.8,2.6,383.14
-1066,3016,5.1,40.1,11.7,1.5,3.1,448.06
-1085,3035,6.5,41.6,15.8,3.2,1.2,385.62
-1105,3055,5.2,39.6,15.8,1.8,1.5,625.36
-1124,3074,6.8,36.9,26,1.2,1.8,722.72
-1144,3094,8.4,29,18.3,8.7,3.9,341.23
-1163,3113,7,37.8,14.7,3.8,3.2,254.82
-1183,3133,9.6,24.1,21.7,7.2,8.1,354.94
-1205,3155,11.6,26.7,16,9.2,3.6,371.2
-1222,3172,12.1,22.6,16.8,7.5,2.9,323.67
-1242,3192,8.8,31.6,23.7,6.7,1.2,585.99
-1261,3211,7.3,34.8,16.7,6.1,1.8,360.63
-1281,3231,8.5,31.1,15.7,6.3,3.9,290.02
-1300,3250,4.9,41.7,11,6.1,3,203.8
-1320,3270,11.6,21.2,18.8,3.3,2.1,426.73
-1340,3290,13,24.8,15,5,6.2,387.24
-1359,3309,3.9,34,22.3,5.7,4.2,451.98
-1379,3329,8.6,30.8,18,10.1,2.7,560.28
-1398,3348,8.2,24.1,23.6,10.3,2.7,328.35
-1418,3368,5,25.9,16.4,3.9,2,465.68
-1437,3387,10.6,18.4,16.7,13.1,2.8,326.73
-1457,3407,6.8,27.9,15.9,6.2,0.9,594.17
-1477,3427,5.7,23.7,23.1,14.6,2.1,417.73
-1496,3446,8.6,23.6,26.1,7.7,1.5,458.45
-1516,3466,8.1,28.6,21.4,9,1.5,616.02
-1535,3485,4.4,43.1,17.8,6.9,0,1047.23
-1555,3505,7.3,29.4,25.7,7.8,0.9,653.78
-1574,3524,4.5,48,19.9,5.7,0.3,1319.34
-1594,3544,9.2,26.7,21.2,13.5,0.8,592.04
-1614,3564,9.2,26.5,24.1,12.4,1.4,571.27
-1633,3583,7,23,34,8.6,1.1,766.2
-1653,3603,12.6,26.7,14.1,19.5,0.9,775.92
-1672,3622,8.2,23.4,13.5,11.3,0.6,556.21
-1692,3642,10,21.3,18.3,17,0.9,510.44
-1711,3661,15.4,15.4,19,13.7,0,580.94
-1731,3681,8.5,29.2,8.8,7.6,0,751.87
-1750,3700,12.5,17,14.3,18.8,0.6,438.47
-1770,3720,14.6,16.4,16,22.3,0.3,574.12
-1790,3740,19.4,9.1,20,13,1.2,539.01
-1809,3759,21.8,12.6,21.3,7.9,0.3,512.63
-1829,3779,16.9,8,26.8,13.5,0.6,476.35
-1848,3798,17.3,10.7,27.5,9,0.3,191.5
-1868,3818,22.4,7.7,22.4,11.8,0.3,427.86
-1887,3837,21.8,9.6,28.2,4.1,0.9,396.42
-1907,3857,23.8,4,22.2,9.5,0.7,382.33
-1927,3877,12.6,11.8,30.5,5.6,0.8,476.08
-1946,3896,17.8,14.2,24.3,8.3,0,614.2
-1966,3916,14.7,9.6,25.8,5.7,0,378.98
-1985,3935,17.1,7.8,19.8,14.4,0.6,415.95
-2005,3955,17,8.5,22.5,7.9,1.2,485.29
-2024,3974,16.6,10,22.4,10.9,0,487.11
-2044,3994,19.3,11.7,20.2,18.9,0,763.33
-2064,4014,19.8,11.4,11.3,17.4,0.6,355.81
-2083,4033,14,16.2,14,19.1,0.3,643.07
-2103,4053,17.6,8.9,13.5,27.3,0.9,679.98
-2122,4072,16.6,10.6,21.8,12.7,0.3,726.98
-2142,4092,17.8,14.9,20.8,7.1,0.9,728.53
-2157,4107,19.1,9.8,17.9,15.4,0.9,810.62
-2181,4131,21.1,7,21.1,13.5,0.9,522.47
-2201,4151,14.9,10.3,20.4,16.7,0.3,604.39
-2220,4170,20.5,18.4,15,8.8,0.3,599.42
-2240,4190,8.4,14.7,42.7,7.2,0.6,1555.81
-2259,4209,5.3,17.7,43.2,5,0.3,2041.21
-2279,4229,13.7,17,24.3,9.6,0.3,766.57
-2298,4248,9.9,26.5,24.3,6.1,0,1788.52
-2318,4268,12.3,13.8,41.3,9.3,0,872.68
-2338,4288,14.6,10.6,32.5,7,0,791.09
-2357,4307,15.6,13,36.6,4.7,0.6,757.63
-2377,4327,16.1,8.9,44.3,3.5,0,1069.4
-2396,4346,24.4,11.7,16,11.3,0.3,691.93
-2416,4366,14.5,11.8,26.4,10.4,0,737.68
-2435,4385,19.8,14.6,23.5,10.9,0.6,973.7
-2455,4405,20.8,11.5,17.9,14.5,0.6,681.76
-2475,4425,25.3,9.6,17.7,11.8,0,780.21
-2494,4444,16.7,13.9,23.3,9.8,0.3,416.47
-2514,4464,15.1,10.2,23.2,12.9,1.2,579.39
-2533,4483,23.4,6.3,21.9,15,0.3,318.53
-2553,4503,8.4,15.2,40.6,11.6,0.6,981.45
-2572,4522,19.3,10.4,24.5,14.9,0,873.41
-2592,4542,15.7,8.2,26.1,12.1,0.6,759.6
-2612,4562,14.9,11.6,26.1,13.5,0.3,744.09
-2631,4581,15.5,8.1,27.6,11.2,0,766.64
-2651,4601,14.9,11.7,19.3,19.6,0.8,545.66
-2670,4620,18.5,7.4,17.4,24.2,0,694.12
-2690,4640,15.3,12.6,25.4,12.3,1.3,506.9
-2709,4659,16.1,11.9,18.1,18.1,0.9,350.3
-2729,4679,13.1,14.8,17.8,18.1,0.9,427.03
-2749,4699,19.9,9.7,14.6,24.8,0,776.95
-2768,4718,15.4,14.8,18.2,14.8,0.3,649.99
-2788,4738,14.7,8.1,20.7,25.4,0.3,757.44
-2807,4757,17.8,12.6,20.9,10.5,0.6,375.88
-2827,4777,14.6,11,11.6,16.1,0.3,476.68
-2846,4796,11.3,9,38.3,9,0,448.33
-2866,4816,10.9,8.3,18.3,20.9,1.7,476.91
-2885,4835,16.4,5.8,17.8,15.5,0.9,545.06
-2905,4855,12.6,15.7,20.2,18.3,0,688.84
-2925,4875,13.6,14.8,15.4,14.5,0.3,505.6
-2944,4894,14.5,11.5,20.1,14.7,0.3,277.53
-2964,4914,12.8,10.8,17.7,16,1.8,532.25
-2983,4933,13.2,12.5,24.3,11.7,1.2,426.48
-3003,4953,18,7.3,18.3,14.8,0.3,528.5
-3022,4972,15.3,9.2,18.9,10.9,0.3,353.51
-3042,4992,19.1,5.4,20.8,9.2,0.6,384.59
-3062,5012,16.8,4.8,32.1,9.8,0.6,330.17
-3081,5031,17,10.1,26,12.3,0.3,382.74
-3101,5051,23.3,5.2,25.6,11,0,333.05
-3120,5070,16.1,9.3,31.1,7.8,0.6,445.02
-3140,5090,16.6,9.2,33.7,9.4,0.3,545.68
-3159,5109,14.2,6.1,16.2,17.4,0.9,273.47
-3179,5129,21.6,13.4,17,7.9,0,457.44
-3199,5149,9.9,14.4,26,15.3,0.6,651.97
-3218,5168,14.1,10,25.4,16.1,0.9,307.6
-3238,5188,8.3,17,18.8,6.9,0.6,552.28
-3257,5207,17.7,12.8,15.1,14.8,0.6,391.72
-3277,5227,10.5,8.4,14.4,18,1.2,569.98
-3296,5246,22.7,7.5,27.8,13.9,0,388.47
-3316,5266,22,6.4,16.6,21.2,0.3,954.81
-3336,5286,21.2,7.2,23.9,13.1,0.6,419.4
-3355,5305,17.6,8.3,28.8,7.7,0.3,1011.11
-3375,5325,19.3,7.1,29.9,10.6,0,296.57
-3394,5344,11.8,12.1,28.1,16,0.6,765.65
-3414,5364,16.9,5.9,18.4,12.5,1.2,421.44
-3433,5383,15.2,8.5,30,11.5,0.6,761.6
-3453,5403,16.9,11.6,22.3,6.8,1.5,308
-3473,5423,17.9,8.6,28,6.6,0.3,993.16
-3492,5442,14.8,7.2,28,7.1,0.9,417.16
-3512,5462,11.6,11,27.6,8.6,0.3,753.16
-3531,5481,18.1,11.1,21.1,12.1,0.9,572.33
-3551,5501,11.8,8,32.9,7.6,0,836.66
-3570,5520,17.5,11.5,15.1,10.9,0,594.78
-3590,5540,19.3,6.1,17.5,14.4,0.6,667.92
-3610,5560,14.9,11,24.1,12.8,0.9,545.93
-3629,5579,13.6,14.9,19,14.2,0.9,558.62
-3649,5599,24.2,9,14,9,0.9,382.2
-3668,5618,16.2,20.1,16.9,8.9,0.3,1122.01
-3688,5638,19.1,10.2,13.1,16.4,0.6,302.91
-3707,5657,19.8,7.4,25.7,5.9,0.3,407.21
-3727,5677,19,11.6,20.2,12.5,0.3,444.12
-3747,5697,14.9,11.5,37.6,6,0,1204.72
-3766,5716,17.8,6.1,33,11.4,0,405.88
-3786,5736,24.6,10.6,14.6,8,0.6,440
-3805,5755,15.2,13.7,20.9,15.2,0.3,696.4
-3825,5775,14.9,13.1,28,8.3,0.6,914.86
-3844,5794,14.2,13.9,18.3,17.4,1.2,778.73
-3864,5814,9.7,26.5,18.8,13.2,0,735.01
-3883,5833,10.2,16.1,24.2,20.7,0.3,491.52
-3903,5853,7.1,21.8,30.4,10.1,0.9,628.64
-3923,5873,11.2,14.7,16.6,20.1,0.9,602.97
-3942,5892,10.1,16.8,32.3,9.8,0.3,1292.1
-3962,5912,9.7,8.5,25.4,24.6,0.3,817.77
-3981,5931,15.3,17.7,27.2,12.5,0.6,890.35
-4001,5951,9.2,11.4,34.5,19,0,612.86
-4020,5970,9.4,15.3,25.3,11.1,0.6,779.25
-4040,5990,11.4,18.2,27.4,7.4,0.3,546.92
-4060,6010,9.5,11.5,39.9,7,0.3,1088.07
-4079,6029,12.5,12.6,27.1,5,0.3,414.18
-4099,6049,12.1,9.2,34.5,10.1,0.6,899.86
-4118,6068,26.2,7.1,20.9,5.6,0.9,373.5
-4138,6088,24.9,7.6,24.6,6.7,0.6,389.7
-4157,6107,24.2,7.7,17.5,10.7,1.5,319.03
-4177,6127,18.5,6.7,27,12.7,0.3,456.09
-4197,6147,16.5,8.8,27.4,13.8,0.9,405.01
-4216,6166,14.5,7.8,23.5,14,0.9,306.05
-4236,6186,26.8,12.5,14.9,11.6,0.6,199.48
-4255,6205,17.9,10.5,27.1,12.8,0.3,518.64
-4275,6225,19.4,11.9,21.5,17.5,0.9,454.37
-4294,6244,20.1,7.7,22.8,10.8,0.3,290.49
-4314,6264,18.9,9.1,21.8,15.5,0.6,149.37
-4334,6284,29,10,16.7,10.8,0.3,726.15
-4353,6303,20.9,11.6,17.2,16.9,0.6,452.28
-4373,6323,20.6,18.1,18.4,10.3,0,169.01
-4392,6342,12.1,14.4,36.1,11.5,0.3,331.84
-4412,6362,17.8,9.3,11.1,22.6,0.9,352.86
-4431,6381,15.7,16.2,21.1,16,0.9,395.36
-4451,6401,18.5,8,18.2,31.4,0.6,455.37
-4471,6421,13.6,9.8,24.6,9.5,0.6,503.53
-4490,6440,16.8,9.6,29,10.7,0,663.52
-4510,6460,14.5,9.5,23.9,18.5,0.3,575.04
-4529,6479,15.4,4.8,34.7,17.2,0,368.97
-4549,6499,16,7.2,28,14.2,0.3,284.43
-4568,6518,16.7,6.9,25.4,14,0.3,293.52
-4588,6538,16.9,7.8,28.1,13.9,0,406.47
-4608,6558,20.1,6,23.7,7.2,0.9,309.2
-4627,6577,23,6,27.2,9.1,0.6,323.55
-4647,6597,15,10.8,46,3.2,0.9,571.58
-4666,6616,21,10.4,21,9.8,0,375.59
-4686,6636,20.4,8.1,22.1,10.9,0,345.89
-4705,6655,23.5,14.1,28.6,6.3,0.3,396.97
-4725,6675,18.2,15,16.9,11.2,1.2,172.19
-4745,6695,10.1,16.1,31.3,7.6,0.9,737.46
-4764,6714,15.7,9.3,22.4,20.9,0.3,602.82
-4784,6734,19.6,15.5,28.1,6.7,0.6,943.35
-4803,6753,20.6,9,23,18.6,0.9,757.17
-4823,6773,18.4,15,17.9,5.4,0.3,698.68
-4842,6792,19.6,12.1,26.3,12.4,0.9,399.63
-4862,6812,17.3,12.5,27.1,14.3,0.6,662.74
-4882,6832,25.5,6.9,14.4,18.6,0.9,405.8
-4901,6851,14.8,13.8,32.7,11.7,0.3,673.3
-4921,6871,27.1,5.6,16.5,22.1,0.3,425.96
-4940,6890,21.5,8,20.1,16.5,0.6,544.55
-4960,6910,18.8,10.7,21.2,10.7,0.6,269.4
-4979,6929,15.1,14,33.2,11.9,0.9,909.13
-4999,6949,15.9,7.9,10.7,26.8,1.5,401.72
-5018,6968,10.9,8.5,41.3,7.1,0.9,733.99
-5038,6988,19.3,6.6,20.5,15.1,1.5,281.3
-5058,7008,16.8,11.5,12.5,17.6,0.3,351.82
-5077,7027,17.6,9,9.6,23.9,0.6,294.94
-5097,7047,18.3,13.6,20.7,12.6,0.3,556.39
-5116,7066,14.6,10.8,13.1,20.9,3,324.23
-5136,7086,11.3,12,36.7,13.8,0,1019.59
-5155,7105,19.8,8,20.1,15,0.6,422
-5175,7125,13.6,8.5,32.6,13.9,0.3,730.95
-5195,7145,16,6,31.3,14.2,1.2,460.86
-5214,7164,13.8,8.4,32.9,8.6,0.3,646.83
-5234,7184,15.9,6.7,17.6,18.8,1.7,366.82
-5253,7203,11.2,9.9,29.6,12.1,0.6,760.71
-5273,7223,18.5,8.3,24.6,19.7,0.9,267.1
-5292,7242,14.8,11,20.7,12.8,0.3,716.69
-5312,7262,12.6,7.1,10,20.5,1.2,264.85
-5332,7282,20.8,9.4,12.3,20.5,0,469.11
-5351,7301,10.6,17.7,13.1,13.1,1.5,218.15
-5371,7321,21.8,13,12.9,20.6,0.9,638.07
-5390,7340,18.5,11.2,15.5,13.7,1.8,354.71
-5410,7360,15.4,7.1,12.2,7.3,1.5,543.63
-5429,7379,25.4,8.9,18,16.2,1.5,292.97
-5449,7399,14.7,8.4,24.9,16.5,0.6,677.3
-5469,7419,14.3,7.7,11.9,38.4,0.6,450.56
-5488,7438,14.4,7.8,18.9,16.6,1.6,568.4
-5508,7458,15.8,9.2,44.7,6,0.9,613.9
-5527,7477,21.9,13.2,15.2,9,0,659.17
-5547,7497,14.4,12.2,33.6,10.7,1.5,401.95
-5566,7516,12.3,16.6,15.5,17.9,2.1,437.9
-5586,7536,15.8,13.7,12.5,19.5,0,168.77
-5606,7556,16.5,12.3,19.2,15.2,0.9,692.06
-5625,7575,17.6,7.9,19.5,25.8,0.3,165.11
-5645,7595,18.7,15.8,16.7,19.3,1.8,643.64
-5664,7614,23.3,16.3,18,12.8,0.3,257.44
-5684,7634,10.7,12.2,30.4,11.6,0.3,422.75
-5703,7653,19.2,7.9,21.9,18.1,1.2,435.94
-5723,7673,9.2,11.2,39.9,7.5,0.6,493.21
-5743,7693,6.1,13,28.7,21.8,2.1,457.47
-5762,7712,10,20.3,31.3,11.9,0.3,482.18
-5782,7732,20.4,9.2,18.6,15.4,1.2,276.18
-5801,7751,8.6,10.2,16,14.8,0.3,243.91
-5821,7771,12.3,13.5,22.4,14.1,0.6,223.6
-5840,7790,12,12.9,24.6,15.9,0.9,1053.08
-5860,7810,15.5,13.9,20.1,8.9,0.3,402.48
-5880,7830,10.6,12.3,26.7,15.8,0.9,367.11
-5899,7849,13.1,18.5,19.8,15.5,0.3,263.46
-5919,7869,9.5,15.5,21.1,14.5,0.3,1143.3
-5938,7888,13.8,14.7,19.7,20.6,0.6,370.1
-5958,7908,12.4,15,23.1,18.4,0.6,718.01
-5977,7927,9.2,18.5,25.5,11.4,0.3,259.07
-5997,7947,9.3,19.1,31.1,13.4,0,596.99
-6016,7966,15.9,18.6,28.4,9.2,0.6,255.03
-6041,7991,8.3,12.9,35.1,12.3,0.9,554.8
-6061,8011,17.3,16.6,13.5,17.3,0.9,502.57
-6080,8030,9.6,21.6,28.1,14.5,0.3,815.83
-6100,8050,17,15.3,21.2,12,0.3,277.28
-6119,8069,8.8,20.1,23.2,15.2,1.2,581.59
-6139,8089,9.9,12.2,29.4,13.7,0.9,415.62
-6158,8108,11,13.9,32.9,12.8,0.9,674.32
-6178,8128,14.2,14.3,26.7,13.9,0.6,560.44
-6198,8148,10.8,11.7,36.7,14.8,0.6,587.81
-6217,8167,7.9,14,41,8.2,0.6,451.28
-6237,8187,18.9,8.9,25.1,8.4,0.9,433.47
-6256,8206,8.2,15.3,43,4.4,0.3,318.52
-6276,8226,14.9,12.3,33.6,14.9,0.9,655.52
-6295,8245,15.6,12.7,30.3,8.1,0.3,541.71
-6315,8265,16.2,11.2,19.7,24.4,1.2,438.82
-6334,8284,10.8,13.5,41,8.7,0.3,461.29
-6354,8304,14.6,12.5,18.5,16.7,1.2,442.51
-6374,8324,7.8,16.5,24.6,21.9,0.9,389.38
-6393,8343,13.4,13.1,21.2,22.4,1.2,398.23
-6413,8363,12.9,14.2,28,9.4,0.6,139.03
-6432,8382,15,11.9,25.3,15.9,1.5,403.88
-6452,8402,13.7,13.7,31.7,11.3,0.6,374.38
-6471,8421,9.4,10.9,29.5,19.1,0.6,492.07
-6491,8441,10,13.3,21.5,28.1,0.3,492.67
-6511,8461,12,9.8,28.9,23.5,0.9,300.62
-6530,8480,14.6,15.9,36.2,8.7,0.3,411.55
-6550,8500,15.6,10.8,22.5,22.5,2.4,449.5
-6569,8519,13.6,11.1,22.3,15.8,1.2,191.57
-6589,8539,13.6,10.6,26.9,15.7,1.2,276.41
-6608,8558,12.9,8.9,30.6,9.7,1.4,222.36
-6628,8578,11.3,12.5,23.3,21.5,1.8,305.18
-6648,8598,12.6,9.1,20.6,21.3,1.9,219.41
-6667,8617,10,7.9,42.2,11.6,0,323.21
-6687,8637,15.2,10.2,18.5,14,1.8,224.55
-6706,8656,12.8,10.1,30.9,15.7,1.2,348.57
-6726,8676,7.4,11.6,31.5,19.3,1.8,333.96
-6745,8695,17.3,9,28.8,16,3.2,190.3
-6775,8725,16.3,10.2,28.6,19.2,1.5,260.74
-6785,8735,23.6,10.3,18.7,13.3,4.5,391.64
-6814,8764,10.4,10.8,28.4,24.2,2.1,199.09
-6824,8774,16,8.8,20.1,27,1.2,314.24
-6853,8803,8.2,7.9,35.4,17.7,3.7,260.42
-6863,8813,14.2,11.9,37,16,2.4,274.77
-6892,8842,12.8,11.2,31.1,19.8,3.9,213.69
-6902,8852,12.5,5.8,35.4,18.6,5.8,340.77
-6931,8881,11,8.9,46.1,15.2,3.6,200.43
-6941,8891,14.4,6.5,32.2,19.1,4.7,258.48
-6970,8920,12.7,9.6,31.9,18.9,3.7,179.4
-6980,8930,13.4,6.9,29.2,28.3,2.7,331.88
-7010,8960,12.1,8.9,43.8,12.4,3.6,279.79
-7019,8969,18.3,6,32.6,18.9,3.6,348.87
-7049,8999,15.5,8.6,42.5,8.9,3.7,199.85
-7059,9009,11.5,5.7,48.6,11.2,1.5,397.08
-7078,9028,15.6,9.7,36.6,19.2,2.6,373.41
-7098,9048,11.2,7.8,26.8,31.2,4,325.53
-7117,9067,9.5,7.3,32.4,27.2,4.3,324.76
-7137,9087,6.4,8.9,37.9,30.6,3.7,407.86
-7156,9106,7.2,7.5,57.2,14.5,0.6,1212.64
-7176,9126,5.5,10.3,65.3,7.4,1.2,1105.99
-7196,9146,10.6,12.9,39.9,18.4,1.4,754.07
-7215,9165,7.7,14.6,40.9,19.6,1.8,742.41
-7235,9185,12.9,12.1,37.9,21.8,2,845.78
-7254,9204,7.8,11.3,50.9,11.7,1.2,894.05
-7274,9224,11.5,13,41.3,15.5,2.6,896.98
-7293,9243,8.8,15.4,36.6,19.3,2.7,634.2
-7313,9263,6.8,10.8,54.9,11.3,1.1,1210.5
-7332,9282,11.5,11.5,39.7,20.6,2.1,1408.84
-7352,9302,9.7,15.6,31.9,22.8,3.6,835.45
-7372,9322,10.3,12.4,42,17.8,2.1,1002.63
-7391,9341,8.7,14.2,50.9,10.7,2.1,1086.89
-7411,9361,5.9,12.6,65.1,4.7,0.9,803.38
-7430,9380,3.1,15.9,53,16,1.4,1663.13
-7450,9400,12.9,11.7,36.3,20.4,3.3,761.28
-7469,9419,8.7,13.7,39.9,20.1,2.1,566.72
-7489,9439,11.4,14.7,36,17.8,2.4,247.55
-7509,9459,10.3,8.6,49.6,10.6,1.5,484.04
-7528,9478,12.4,6.6,44.8,19,2.2,411.03
-7548,9498,4.2,12,65.1,5.7,0,830.69
-7567,9517,10.7,10.7,42,18.4,1.2,284.07
-7587,9537,7,10.2,58.8,9.1,1.1,866.69
-7606,9556,4.3,9.3,64.8,9,1.5,528.46
-7626,9576,5.4,4.6,65.8,11.7,2.3,940.52
-7646,9596,11.9,15.2,39.9,11.9,1.8,326.01
-7665,9615,9.1,7.2,42.9,16.9,1.7,347.87
-7685,9635,9.4,12.1,46.3,18,0.9,692.27
-7704,9654,3.4,11.3,57,13.8,0.8,593.98
-7724,9674,8.2,19.1,39.9,17.8,0.8,862.81
