depth (cm),age (BP),soilTemp (degC),MBT_temp (degC),brGDGT (peak area),brGDGTIIIa (peak area),brGDGTIIIb (peak area),brGDGT (peak area),brGDGTIia (peak area),brGDGTIib (peak area),brGDGT (peak area),brGDGTIa (peak area),brGDGTIb (peak area),brGDGT (peak area),BIT (missing),MBT (missing),MBT' (missing),CBT (missing),pH (pH)
377.5,18807.1,17.09,15.27,1544360.1,1860580.6,-999,-999,7456954.5,1044544.1,213670,10799578,3119203.3,913056.7,0.93,0.58,0.58,0.64,7.07
380.5,19001.3,18.82,16.34,525424.1,887593,-999,-999,3368662.5,406278,122061,5625493.5,1625981.1,528516.1,0.95,0.62,0.62,0.65,7.06
385.5,19305.2,11.5,11.81,483130.7,5284452.5,-999,-999,17846198,3070386.3,380115.7,17871604,4848447,1269832.5,0.99,0.47,0.47,0.65,7.04
390.5,19566.5,12.46,12.39,192041.5,1912173.9,-999,-999,5761343,1201870.9,182102,5758139,1873793.1,679001.1,0.99,0.48,0.48,0.57,7.25
393.5,19765.1,13.67,13.14,366655,2725846.3,-999,-999,8325201.5,1559863.8,248364.9,8980951,2943617.8,1178890.9,0.98,0.5,0.5,0.58,7.22
396.5,19967.3,17.61,15.58,819796.8,1940122.4,-999,-999,6328777,1127225.5,271961.9,8963160,3131988.8,1143699.8,0.95,0.58,0.58,0.56,7.3
399.5,20170.4,17.76,15.7,1116556.3,3186955.3,-999,-999,11866824,1292887,565866.4,20333018,4759895,1697009.9,0.97,0.61,0.61,0.73,6.85
402.5,20365.2,19.53,16.79,2549876,3378266.8,-999,-999,13421156,1869337.3,536219.6,24998446,6365797.5,2434510.5,0.94,0.64,0.64,0.67,7
405.5,20561.7,17.44,15.5,819443.2,1428540.9,-999,-999,5616466.5,663243.3,179437.5,9499693,2067785.2,752668.8,0.95,0.61,0.61,0.74,6.81
408.5,20773.1,12.97,12.74,855269.8,5095816.5,-999,-999,19292614,1760130,195846.7,27257228,4114374.5,751703.2,0.98,0.55,0.55,0.9,6.4
411.5,20984.8,11.78,12,315337.8,2499232,-999,-999,8502096,918512.3,161760.2,10000168,1994289.3,472042.2,0.99,0.51,0.51,0.8,6.65
