depth (cm),age (BP),temperature (degC),d18O (a°),Mg/Ca (mmol/mol)
156,7099.438,11.501,1.53,2.508
158,7194.594,10.097,1.512,2.179
160,7289.75,9.975,1.91,2.153
164,7480.062,10.356,1.49,2.237
168,7670.375,10.984,1.54,2.381
172,7860.688,9.759,1.62,2.107
176,8051,9.653,NA,2.085
180,8092.15,10.261,1.58,2.215
184,8133.3,10.791,1.46,2.336
188,8174.45,10.997,1.42,2.385
192,8215.6,9.713,1.33,2.097
196,8256.75,9.19,1.48,1.99
200,8297.9,11.311,1.6,2.461
204,8339.05,9.182,1.49,1.989
208,8380.2,9.23,1.44,1.998
212,8421.35,11.141,1.53,2.419
216,8462.5,10.113,NA,2.183
220,8527.405,9.218,1.56,1.996
224,8592.31,10.339,1.56,2.233
228,8657.214,9.888,1.47,2.134
232,8722.119,10.644,1.67,2.302
236,8787.024,9.14,1.48,1.98
240,8851.929,10.03,1.42,2.165
244,8916.833,9.893,1.55,2.135
248,8981.738,8.627,1.41,1.881
252,9046.643,10.123,1.69,2.185
256,9111.548,10.607,1.42,2.293
260,9176.452,10.346,1.58,2.234
264,9241.357,9.615,1.26,2.077
268,9306.262,NA,1.61,NA
272,9371.167,10.221,1.26,2.207
276,9436.071,9.656,NA,2.085
280,9500.976,11.653,1.49,2.546
284,9565.881,10.105,1.49,2.181
288,9630.786,9.863,1.48,2.129
292,9695.69,10.828,1.59,2.345
296,9760.595,12.242,1.36,2.701
300,9825.5,10.455,1.62,2.259
304,9843,NA,1.49,NA
308,9860.5,10.286,1.56,2.221
312,9878,NA,1.44,NA
316,9895.5,9.594,1.5,2.073
320,9913,NA,1.45,NA
324,9930.5,10.398,1.51,2.246
328,9948,NA,1.46,NA
332,9965.5,9.704,1.4,2.095
336,9983,NA,1.51,NA
340,10000.5,10.022,1.48,2.163
343,10013.625,NA,1.59,NA
347,10031.125,10.595,1.57,2.291
351,10048.625,NA,1.38,NA
355,10066.125,9.544,1.6,2.062
359,10083.625,NA,1.4,NA
363,10101.125,10.598,1.6,2.291
367,10118.625,NA,1.53,NA
371,10136.125,NA,1.38,NA
376,10158,NA,1.57,NA
380,10175.5,9.858,1.6,2.128
384,10193,NA,NA,NA
388,10210.5,NA,1.31,NA
392,10222.133,NA,1.64,NA
396,10233.767,10.728,1.53,2.321
400,10245.4,NA,1.67,NA
404,10257.033,NA,1.67,NA
408,10268.667,NA,1.78,NA
412,10280.3,9.969,1.66,2.152
416,10291.933,NA,1.64,NA
420,10303.567,NA,1.64,NA
424,10315.2,NA,1.7,NA
428,10326.833,10.972,1.57,2.379
432,10338.467,NA,1.66,NA
436,10350.1,NA,1.4,NA
440,10361.733,NA,1.43,NA
444,10373.367,9.863,1.45,2.129
448,10385,NA,1.34,NA
452,10417.75,11.811,1.58,2.587
456,10450.5,NA,1.49,NA
460,10483.25,11.128,1.7,2.416
464,10516,NA,1.59,NA
468,10548.75,9.562,1.63,2.066
472,10581.5,NA,1.73,NA
476,10614.25,9.796,1.83,2.115
480,10647,NA,1.78,NA
484,10674.219,10.556,1.8,2.282
488,10701.438,NA,1.83,NA
492,10728.657,10.413,1.84,2.249
496,10755.876,NA,1.68,NA
500,10783.095,10.165,1.85,2.194
504,10810.314,NA,1.7,NA
508,10837.533,11.155,1.97,2.423
512,10864.752,NA,1.75,NA
516,10891.971,10.506,1.82,2.27
520,10919.19,NA,1.76,NA
524,10946.41,11.098,1.79,2.409
528,10973.629,NA,1.94,NA
532,11000.848,11.104,2.05,2.41
536,11028.067,NA,1.89,NA
540,11055.286,11.092,2.02,2.407
544,11082.505,NA,2.03,NA
548,11109.724,10.672,1.85,2.308
552,11136.943,NA,1.93,NA
556,11164.162,10.731,1.91,2.322
560,11191.381,NA,2.11,NA
564,11218.6,9.181,1.96,1.989
568,11245.819,NA,2.11,NA
572,11273.038,9.178,2.06,1.988
576,11300.257,NA,1.87,NA
580,11327.476,10.566,2.05,2.284
584,11354.695,9.593,2.03,2.072
588,11390.75,9.213,2.03,1.995
592,11429.75,9.604,1.97,2.075
596,11468.75,8.878,2.17,1.929
600,11507.75,9.231,2.29,1.999
604,11546.75,8.247,2.31,1.811
608,11585.75,9.729,2.44,2.101
611,11615,8.886,2.14,1.931
615,11654,9.46,2.24,2.045
619,11693,10.885,2.16,2.358
623,11732,8.907,2.24,1.935
627,11771,9.847,2.05,2.126
631,11810,9.192,1.99,1.991
635,11849,10.465,2.15,2.261
637,11868.5,10.046,2.09,2.168
