year (AD),age (BP),accumulation (gcm-2a-1),depth_top_m (m),thicnkess_m (m)
1659.76,290.24,0.217,97.9,0.21
1657.27,292.73,0.232,98.45,0.224
1654.94,295.06,0.223,99,0.216
1652.52,297.48,0.248,99.55,0.24
1650.34,299.66,0.236,100.1,0.228
1648.04,301.96,0.216,100.65,0.209
1645.53,304.47,0.239,101.2,0.231
1643.27,306.73,0.24,101.75,0.232
1641,309,0.21,102.3,0.203
1638.41,311.59,0.224,102.85,0.216
1635.98,314.02,0.229,103.4,0.221
1633.6,316.4,0.244,103.95,0.236
1631.36,318.64,0.252,104.5,0.243
1629.2,320.8,0.225,105.05,0.217
1626.76,323.24,0.199,105.6,0.192
1624.01,325.99,0.227,106.15,0.219
1621.6,328.4,0.234,106.7,0.226
1619.26,330.74,0.211,107.25,0.203
1616.65,333.35,0.253,107.8,0.244
1614.48,335.52,0.232,108.35,0.223
1612.11,337.89,0.227,108.9,0.219
1609.68,340.32,0.23,109.45,0.222
1607.29,342.71,0.221,110,0.212
1604.79,345.21,0.23,110.55,0.222
1602.39,347.61,0.217,111.1,0.209
1599.84,350.16,0.233,111.65,0.224
1597.46,352.54,0.256,112.2,0.246
1595.3,354.7,0.234,112.75,0.225
1592.93,357.07,0.235,113.3,0.226
1590.57,359.43,0.236,113.85,0.227
1588.21,361.79,0.248,114.4,0.238
1585.97,364.03,0.216,114.95,0.208
1583.4,366.6,0.226,115.5,0.217
1580.94,369.06,0.234,116.05,0.225
1578.56,371.44,0.237,116.6,0.228
1576.21,373.79,0.247,117.15,0.237
1573.95,376.05,0.236,117.7,0.227
1571.59,378.41,0.235,118.25,0.225
1569.21,380.79,0.195,118.8,0.187
1566.35,383.65,0.227,119.35,0.218
1563.88,386.12,0.22,119.9,0.211
1561.34,388.66,0.243,120.45,0.233
1559.04,390.96,0.241,121,0.231
1556.71,393.29,0.236,121.55,0.226
1554.33,395.67,0.231,122.1,0.222
1551.91,398.09,0.248,122.65,0.238
1549.65,400.35,0.213,123.2,0.204
1547.01,402.99,0.219,123.75,0.21
1544.45,405.55,0.242,124.3,0.232
1542.13,407.87,0.219,124.85,0.21
1539.56,410.44,0.242,125.4,0.231
1537.23,412.77,0.243,125.95,0.233
1534.91,415.09,0.236,126.5,0.226
1532.52,417.48,0.238,127.05,0.228
1530.15,419.85,0.234,127.6,0.224
1527.74,422.26,0.235,128.15,0.225
1525.33,424.67,0.228,128.7,0.218
1522.85,427.15,0.239,129.25,0.229
1520.49,429.51,0.198,129.8,0.189
1517.63,432.37,0.252,130.35,0.241
1515.38,434.62,0.234,130.9,0.223
1512.96,437.04,0.247,131.45,0.236
1510.67,439.33,0.238,132,0.227
1508.28,441.72,0.239,132.55,0.228
1505.9,444.1,0.237,133.1,0.226
1503.51,446.49,0.244,133.65,0.233
1501.18,448.82,0.243,134.2,0.232
1498.84,451.16,0.227,134.75,0.216
1496.33,453.67,0.228,135.3,0.217
1493.84,456.16,0.208,135.85,0.198
1491.1,458.9,0.241,136.4,0.229
1488.73,461.27,0.216,136.95,0.206
1486.09,463.91,0.226,137.5,0.215
1483.57,466.43,0.222,138.05,0.211
1481,469,0.238,138.6,0.226
1478.6,471.4,0.226,139.15,0.215
1476.07,473.93,0.214,139.7,0.203
1473.4,476.6,0.203,140.25,0.193
1470.59,479.41,0.24,140.8,0.228
1468.2,481.8,0.234,141.35,0.223
1465.76,484.24,0.241,141.9,0.229
1463.38,486.62,0.245,142.45,0.233
1461.04,488.96,0.241,143,0.229
1458.66,491.34,0.241,143.55,0.229
1456.28,493.72,0.219,144.1,0.208
1453.66,496.34,0.238,144.65,0.226
1451.25,498.75,0.236,145.2,0.224
1448.82,501.18,0.24,145.75,0.228
1446.42,503.58,0.246,146.3,0.233
1444.09,505.91,0.25,146.85,0.237
1441.79,508.21,0.238,147.4,0.225
1439.37,510.63,0.216,147.95,0.204
1436.71,513.29,0.239,148.5,0.226
1434.3,515.7,0.225,149.05,0.214
1431.74,518.26,0.239,149.6,0.226
1429.33,520.67,0.223,150.15,0.211
1426.75,523.25,0.205,150.7,0.194
1423.94,526.06,0.214,151.25,0.203
1421.25,528.75,0.232,151.8,0.219
1418.75,531.25,0.241,152.35,0.227
1416.35,533.65,0.228,152.9,0.216
1413.82,536.18,0.242,153.45,0.229
1411.44,538.56,0.25,154,0.237
1409.13,540.87,0.248,154.55,0.235
1406.8,543.2,0.242,155.1,0.228
1404.41,545.59,0.233,155.65,0.22
1401.93,548.07,0.22,156.2,0.208
1399.3,550.7,0.234,156.75,0.221
1396.83,553.17,0.244,157.3,0.231
1394.46,555.54,0.252,157.85,0.237
1392.16,557.84,0.228,158.4,0.215
1389.62,560.38,0.216,158.95,0.203
1386.93,563.07,0.245,159.5,0.231
1384.56,565.44,0.225,160.05,0.212
1381.98,568.02,0.198,160.6,0.187
1379.05,570.95,0.202,161.15,0.191
1376.18,573.82,0.226,161.7,0.213
1373.62,576.38,0.216,162.25,0.203
1370.92,579.08,0.245,162.8,0.23
1368.54,581.46,0.249,163.35,0.234
1366.21,583.79,0.216,163.9,0.203
1363.51,586.49,0.191,164.45,0.18
1360.47,589.53,0.214,165,0.201
1357.75,592.25,0.217,165.55,0.204
1355.06,594.94,0.206,166.1,0.194
1352.24,597.76,0.232,166.65,0.218
1349.73,600.27,0.203,167.2,0.191
1346.86,603.14,0.205,167.75,0.192
1344.01,605.99,0.24,168.3,0.225
1341.58,608.42,0.245,168.85,0.23
1339.2,610.8,0.226,169.4,0.212
1336.62,613.38,0.211,169.95,0.198
1333.85,616.15,0.227,170.5,0.213
1331.27,618.73,0.24,171.05,0.225
1328.84,621.16,0.22,171.6,0.206
1326.19,623.81,0.223,172.15,0.209
1323.56,626.44,0.235,172.7,0.22
1321.07,628.93,0.219,173.25,0.205
1318.4,631.6,0.208,173.8,0.195
1315.59,634.41,0.227,174.35,0.213
1313.01,636.99,0.219,174.9,0.205
1310.34,639.66,0.225,175.45,0.211
1307.74,642.26,0.225,176,0.21
1305.13,644.87,0.256,176.55,0.239
1302.84,647.16,0.241,177.1,0.225
1300.41,649.59,0.235,177.65,0.22
1297.91,652.09,0.24,178.2,0.224
1295.46,654.54,0.22,178.75,0.205
1292.79,657.21,0.234,179.3,0.219
1290.29,659.71,0.233,179.85,0.217
1287.76,662.24,0.231,180.4,0.216
1285.22,664.78,0.245,180.95,0.228
1282.82,667.18,0.233,181.5,0.217
1280.29,669.71,0.247,182.05,0.231
1277.92,672.08,0.242,182.6,0.226
1275.48,674.52,0.226,183.15,0.21
1272.88,677.12,0.231,183.7,0.215
1270.33,679.67,0.228,184.25,0.213
1267.75,682.25,0.25,184.8,0.233
1265.4,684.6,0.235,185.35,0.219
1262.89,687.11,0.209,185.9,0.194
1260.06,689.94,0.207,186.45,0.192
1257.21,692.79,0.221,187,0.206
1254.55,695.45,0.216,187.55,0.201
1251.82,698.18,0.249,188.1,0.232
1249.45,700.55,0.208,188.65,0.193
1246.61,703.39,0.247,189.2,0.23
1244.22,705.78,0.216,189.75,0.201
1241.49,708.51,0.219,190.3,0.204
1238.8,711.2,0.233,190.85,0.216
1236.26,713.74,0.24,191.4,0.223
1233.8,716.2,0.244,191.95,0.226
1231.37,718.63,0.216,192.5,0.201
1228.64,721.36,0.235,193.05,0.218
1226.12,723.88,0.225,193.6,0.209
1223.49,726.51,0.254,194.15,0.236
1221.16,728.84,0.253,194.7,0.235
1218.82,731.18,0.229,195.25,0.212
1216.23,733.77,0.216,195.8,0.2
1213.49,736.51,0.25,196.35,0.232
1211.12,738.88,0.217,196.9,0.201
1208.39,741.61,0.243,197.45,0.225
1205.95,744.05,0.234,198,0.217
1203.41,746.59,0.242,198.55,0.224
1200.96,749.04,0.229,199.1,0.212
1198.37,751.63,0.246,199.65,0.228
1195.96,754.04,0.226,200.2,0.209
1193.32,756.68,0.229,200.75,0.212
1190.73,759.27,0.218,201.3,0.201
1188,762,0.212,201.85,0.196
1185.2,764.8,0.224,202.4,0.207
1182.55,767.45,0.236,202.95,0.218
1180.04,769.96,0.22,203.5,0.203
1177.33,772.67,0.244,204.05,0.226
1174.9,775.1,0.227,204.6,0.209
1172.28,777.72,0.213,205.15,0.197
1169.49,780.51,0.226,205.7,0.208
1166.85,783.15,0.224,206.25,0.207
1164.2,785.8,0.242,206.8,0.224
1161.74,788.26,0.218,207.35,0.201
1159,791,0.231,207.9,0.213
1156.43,793.57,0.238,208.45,0.219
1153.92,796.08,0.204,209,0.188
1151,799,0.207,209.55,0.191
1148.12,801.88,0.211,210.1,0.195
1145.3,804.7,0.226,210.65,0.208
1142.66,807.34,0.231,211.2,0.213
1140.08,809.92,0.242,211.75,0.223
1137.61,812.39,0.23,212.3,0.212
1135.01,814.99,0.26,212.85,0.24
1132.72,817.28,0.234,213.4,0.215
1130.17,819.83,0.224,213.95,0.206
1127.5,822.5,0.229,214.5,0.21
1124.88,825.12,0.239,215.05,0.219
1122.38,827.62,0.234,215.6,0.215
1119.82,830.18,0.233,216.15,0.214
1117.26,832.74,0.218,216.7,0.201
1114.52,835.48,0.216,217.25,0.198
1111.74,838.26,0.202,217.8,0.186
1108.78,841.22,0.224,218.35,0.205
1106.1,843.9,0.212,218.9,0.194
1103.27,846.73,0.215,219.45,0.197
1100.48,849.52,0.221,220,0.202
1097.77,852.23,0.227,220.55,0.208
1095.13,854.87,0.231,221.1,0.212
1092.53,857.47,0.235,221.65,0.216
1089.98,860.02,0.234,222.2,0.214
1087.42,862.58,0.233,222.75,0.214
1084.85,865.15,0.247,223.3,0.226
1082.41,867.59,0.225,223.85,0.206
1079.74,870.26,0.239,224.4,0.219
1077.23,872.77,0.234,224.95,0.214
1074.66,875.34,0.227,225.5,0.208
1072.02,877.98,0.226,226.05,0.206
1069.35,880.65,0.22,226.6,0.201
1066.61,883.39,0.249,227.15,0.228
1064.2,885.8,0.224,227.7,0.205
1061.52,888.48,0.229,228.25,0.209
1058.89,891.11,0.227,228.8,0.207
1056.24,893.76,0.234,229.35,0.214
1053.67,896.33,0.202,229.9,0.184
1050.68,899.32,0.233,230.45,0.212
1048.1,901.9,0.235,231,0.215
1045.53,904.47,0.24,231.55,0.219
1043.03,906.97,0.215,232.1,0.196
1040.22,909.78,0.233,232.65,0.213
1037.63,912.37,0.237,233.2,0.216
1035.08,914.92,0.229,233.75,0.209
1032.45,917.55,0.237,234.3,0.216
1029.91,920.09,0.218,234.85,0.198
1027.13,922.87,0.215,235.4,0.196
1024.33,925.67,0.226,235.95,0.206
1021.66,928.34,0.227,236.5,0.207
1019,931,0.256,237.05,0.233
1016.64,933.36,0.244,237.6,0.222
1014.16,935.84,0.213,238.15,0.194
1011.32,938.68,0.226,238.7,0.205
1008.65,941.35,0.209,239.25,0.19
1005.75,944.25,0.24,239.8,0.218
1003.23,946.77,0.251,240.35,0.228
1000.81,949.19,0.234,240.9,0.213
998.22,951.78,0.227,241.45,0.206
995.55,954.45,0.224,242,0.203
992.84,957.16,0.213,242.55,0.193
990,960,0.241,243.1,0.219
987.5,962.5,0.217,243.65,0.197
984.7,965.3,0.23,244.2,0.209
982.1,967.9,0.23,244.75,0.209
979.4,970.6,0.211,245.3,0.191
976.5,973.5,0.243,245.85,0.22
974,976,0.249,246.4,0.225
971.6,978.4,0.238,246.95,0.215
969,981,0.226,247.5,0.204
966.4,983.6,0.248,248.05,0.225
963.9,986.1,0.223,248.6,0.202
961.2,988.8,0.24,249.15,0.217
958.7,991.3,0.263,249.7,0.238
956.3,993.7,0.248,250.25,0.224
953.9,996.1,0.261,250.8,0.236
951.6,998.4,0.245,251.35,0.221
949.1,1000.9,0.225,251.9,0.203
946.4,1003.6,0.242,252.45,0.219
943.9,1006.1,0.229,253,0.207
941.2,1008.8,0.236,253.55,0.213
938.6,1011.4,0.237,254.1,0.214
936,1014,0.225,254.65,0.203
933.3,1016.7,0.227,255.2,0.204
930.6,1019.4,0.214,255.75,0.193
927.8,1022.2,0.245,256.3,0.221
925.3,1024.7,0.232,256.85,0.209
922.7,1027.3,0.244,257.4,0.219
920.2,1029.8,0.238,257.95,0.214
917.6,1032.4,0.24,258.5,0.216
915.1,1034.9,0.232,259.05,0.209
912.4,1037.6,0.216,259.6,0.194
909.6,1040.4,0.223,260.15,0.2
906.8,1043.2,0.239,260.7,0.215
904.3,1045.7,0.256,261.25,0.23
901.9,1048.1,0.238,261.8,0.214
899.3,1050.7,0.249,262.35,0.224
896.9,1053.1,0.252,262.9,0.227
894.4,1055.6,0.231,263.45,0.207
891.8,1058.2,0.22,264,0.197
889,1061,0.222,264.55,0.2
886.2,1063.8,0.238,265.1,0.214
883.7,1066.3,0.222,265.65,0.199
880.9,1069.1,0.227,266.2,0.204
878.2,1071.8,0.217,266.75,0.195
875.4,1074.6,0.243,267.3,0.218
872.9,1077.1,0.224,267.85,0.2
870.1,1079.9,0.223,268.4,0.199
867.4,1082.6,0.224,268.95,0.2
864.6,1085.4,0.229,269.5,0.205
862,1088,0.224,270.05,0.201
859.2,1090.8,0.237,270.6,0.212
856.6,1093.4,0.223,271.15,0.2
853.9,1096.1,0.206,271.7,0.184
850.9,1099.1,0.225,272.25,0.201
848.1,1101.9,0.225,272.8,0.201
845.4,1104.6,0.233,273.35,0.209
842.8,1107.2,0.223,273.9,0.199
840,1110,0.23,274.45,0.206
837.3,1112.7,0.262,275,0.234
835,1115,0.258,275.55,0.231
832.6,1117.4,0.244,276.1,0.217
830.1,1119.9,0.223,276.65,0.199
827.3,1122.7,0.224,277.2,0.2
824.6,1125.4,0.226,277.75,0.202
821.8,1128.2,0.235,278.3,0.21
819.2,1130.8,0.234,278.85,0.209
816.6,1133.4,0.247,279.4,0.221
814.1,1135.9,0.24,279.95,0.214
811.5,1138.5,0.252,280.5,0.225
809.1,1140.9,0.231,281.05,0.205
806.4,1143.6,0.194,281.6,0.173
803.2,1146.8,0.224,282.15,0.2
800.5,1149.5,0.221,282.7,0.197
797.7,1152.3,0.21,283.25,0.187
794.7,1155.3,0.231,283.8,0.206
792.1,1157.9,0.253,284.35,0.225
789.6,1160.4,0.205,284.9,0.182
786.6,1163.4,0.251,285.45,0.223
784.1,1165.9,0.24,286,0.214
781.6,1168.4,0.243,286.55,0.216
779,1171,0.23,287.1,0.204
776.3,1173.7,0.227,287.65,0.201
773.6,1176.4,0.198,288.2,0.176
770.5,1179.5,0.252,288.75,0.224
768,1182,0.247,289.3,0.219
765.5,1184.5,0.225,289.85,0.199
762.7,1187.3,0.246,290.4,0.218
760.2,1189.8,0.235,290.95,0.208
757.6,1192.4,0.253,291.5,0.224
755.1,1194.9,0.259,292.05,0.23
752.7,1197.3,0.244,292.6,0.216
750.2,1199.8,0.233,293.15,0.206
747.5,1202.5,0.25,293.7,0.221
745,1205,0.241,294.25,0.214
742.4,1207.6,0.255,294.8,0.226
740,1210,0.247,295.35,0.219
737.5,1212.5,0.244,295.9,0.216
734.9,1215.1,0.227,296.45,0.201
732.2,1217.8,0.209,297,0.185
729.2,1220.8,0.246,297.55,0.218
726.7,1223.3,0.237,298.1,0.21
724.1,1225.9,0.239,298.65,0.211
721.5,1228.5,0.24,299.2,0.212
718.9,1231.1,0.233,299.75,0.206
716.2,1233.8,0.235,300.3,0.208
713.6,1236.4,0.246,300.85,0.217
711,1239,0.254,301.4,0.224
708.6,1241.4,0.247,301.95,0.218
706,1244,0.246,302.5,0.217
703.5,1246.5,0.217,303.05,0.191
700.6,1249.4,0.228,303.6,0.201
697.9,1252.1,0.223,304.15,0.196
695.1,1254.9,0.214,304.7,0.189
692.2,1257.8,0.227,305.25,0.2
689.4,1260.6,0.231,305.8,0.203
686.7,1263.3,0.222,306.35,0.195
683.9,1266.1,0.244,306.9,0.214
681.3,1268.7,0.23,307.45,0.202
678.6,1271.4,0.237,308,0.208
676,1274,0.21,308.55,0.185
673,1277,0.212,309.1,0.187
670.1,1279.9,0.239,309.65,0.21
667.4,1282.6,0.237,310.2,0.208
664.8,1285.2,0.247,310.75,0.217
662.3,1287.7,0.235,311.3,0.206
659.6,1290.4,0.22,311.85,0.193
656.8,1293.2,0.237,312.4,0.208
654.1,1295.9,0.255,312.95,0.224
651.7,1298.3,0.239,313.5,0.21
649,1301,0.233,314.05,0.204
646.3,1303.7,0.226,314.6,0.198
643.6,1306.4,0.228,315.15,0.2
640.8,1309.2,0.239,315.7,0.209
638.2,1311.8,0.237,316.25,0.207
635.5,1314.5,0.246,316.8,0.216
633,1317,0.245,317.35,0.214
630.4,1319.6,0.25,317.9,0.218
627.9,1322.1,0.246,318.45,0.215
625.3,1324.7,0.205,319,0.18
622.3,1327.7,0.222,319.55,0.194
619.4,1330.6,0.218,320.1,0.191
616.6,1333.4,0.225,320.65,0.197
613.8,1336.2,0.23,321.2,0.201
611,1339,0.236,321.75,0.206
608.4,1341.6,0.217,322.3,0.189
605.4,1344.6,0.249,322.85,0.217
602.9,1347.1,0.23,323.4,0.201
600.2,1349.8,0.236,323.95,0.206
597.5,1352.5,0.253,324.5,0.221
595,1355,0.215,325.05,0.188
592.1,1357.9,0.228,325.6,0.199
589.3,1360.7,0.229,326.15,0.2
586.6,1363.4,0.244,326.7,0.212
584,1366,0.195,327.25,0.17
580.7,1369.3,0.242,327.8,0.211
578.1,1371.9,0.231,328.35,0.201
575.4,1374.6,0.247,328.9,0.215
572.8,1377.2,0.246,329.45,0.214
570.3,1379.7,0.204,330,0.177
567.2,1382.8,0.218,330.55,0.19
564.3,1385.7,0.221,331.1,0.193
561.4,1388.6,0.216,331.65,0.187
558.5,1391.5,0.242,332.2,0.21
555.9,1394.1,0.249,332.75,0.216
553.3,1396.7,0.244,333.3,0.212
550.7,1399.3,0.254,333.85,0.22
548.2,1401.8,0.246,334.4,0.214
545.7,1404.3,0.234,334.95,0.203
543,1407,0.249,335.5,0.216
540.4,1409.6,0.245,336.05,0.212
537.8,1412.2,0.236,336.6,0.205
535.1,1414.9,0.209,337.15,0.181
532.1,1417.9,0.229,337.7,0.198
529.3,1420.7,0.244,338.25,0.212
526.7,1423.3,0.222,338.8,0.192
523.9,1426.1,0.209,339.35,0.181
520.8,1429.2,0.233,339.9,0.201
518.1,1431.9,0.238,340.45,0.206
515.4,1434.6,0.207,341,0.179
512.4,1437.6,0.225,341.55,0.195
509.6,1440.4,0.233,342.1,0.201
506.8,1443.2,0.222,342.65,0.192
504,1446,0.203,343.2,0.175
500.8,1449.2,0.233,343.75,0.201
498.1,1451.9,0.206,344.3,0.178
495,1455,0.234,344.85,0.202
492.3,1457.7,0.221,345.4,0.191
489.4,1460.6,0.239,345.95,0.206
486.7,1463.3,0.236,346.5,0.203
484,1466,0.221,347.05,0.19
481.1,1468.9,0.226,347.6,0.195
478.3,1471.7,0.22,348.15,0.19
475.4,1474.6,0.212,348.7,0.182
472.4,1477.6,0.234,349.25,0.202
469.7,1480.3,0.194,349.8,0.167
466.4,1483.6,0.229,350.35,0.198
463.6,1486.4,0.216,350.9,0.186
460.6,1489.4,0.233,351.45,0.201
457.9,1492.1,0.24,352,0.206
455.2,1494.8,0.244,352.55,0.21
452.6,1497.4,0.246,353.1,0.212
450,1500,0.234,353.65,0.202
447.3,1502.7,0.189,354.2,0.162
443.9,1506.1,0.232,354.75,0.199
441.2,1508.8,0.223,355.3,0.192
438.3,1511.7,0.26,355.85,0.223
435.8,1514.2,0.235,356.4,0.202
433.1,1516.9,0.253,356.95,0.217
430.6,1519.4,0.232,357.5,0.199
427.8,1522.2,0.23,358.05,0.198
425,1525,0.24,358.6,0.206
422.4,1527.6,0.211,359.15,0.181
419.3,1530.7,0.219,359.7,0.188
416.4,1533.6,0.239,360.25,0.205
413.7,1536.3,0.229,360.8,0.197
410.9,1539.1,0.258,361.35,0.221
408.4,1541.6,0.236,361.9,0.202
405.7,1544.3,0.241,362.45,0.206
403,1547,0.212,363,0.182
400,1550,0.246,363.55,0.21
397.4,1552.6,0.241,364.1,0.206
394.7,1555.3,0.245,364.65,0.209
392.1,1557.9,0.249,365.2,0.213
389.5,1560.5,0.242,365.75,0.207
386.8,1563.2,0.229,366.3,0.196
384,1566,0.219,366.85,0.187
381.1,1568.9,0.222,367.4,0.19
378.2,1571.8,0.252,367.95,0.215
375.6,1574.4,0.242,368.5,0.207
373,1577,0.261,369.05,0.223
