depth (m),age (BP),d13C (permil),d18O (permil),depth (m),age (BP),temperature (degC),Uk37 (missing),depth (m),age (BP),temperature (degC),planktic.MgCa (mmol_mol),depth (m),age (BP),temperature (degC),temperature (degC),planktic.MgCa (mmol_mol),planktic.d13C (permil),planktic.MgCa (mmol_mol),planktic.d13C (permil)
1.505,12590,0.31,3.7,5,32618,21.2,0.76,2.53,16640,23.06,2.98,2.58,16890,NA,NA,NA,NA,NA,NA
1.53,12660,0.12,3.35,5.16,33506,21.2,0.761,2.58,16890,23.72,3.2,2.605,17010,13.2,15.2,2,2.63,2.42,1.17
1.555,12730,0.62,3.48,5.24,33929,21,0.754,2.63,17140,23.97,3.29,2.63,17140,NA,NA,NA,NA,NA,NA
1.58,12800,0.23,3.72,5.32,34351,21,0.754,2.68,17390,22.93,2.93,2.655,17260,NA,NA,NA,NA,NA,NA
1.605,12870,0.55,3.63,5.4,34774,21.85,0.782,2.73,17630,22.61,2.83,2.68,17390,NA,NA,NA,NA,NA,NA
1.63,12940,0.53,3.41,5.48,35196,21.5,0.768,2.78,17880,23.31,3.06,2.705,17510,11.9,15.3,1.8,2.1,2.44,1.046
1.655,13400,0.4,3.52,5.52,35407,21,0.754,2.83,18130,24.14,3.35,2.73,17630,NA,NA,NA,NA,NA,NA
1.68,13860,0.51,3.58,5.6,35830,20.8,0.745,2.88,18380,22.77,2.88,2.755,17760,NA,NA,NA,NA,NA,NA
1.705,14320,0.66,3.72,5.72,36463,21.4,0.767,2.93,18630,23.18,3.01,2.78,17880,NA,NA,NA,NA,NA,NA
1.73,14620,0.41,3.64,5.84,37179,21.6,0.774,2.98,18940,22.88,2.92,2.805,18010,14.4,17.5,2.19,2.06,3.1,NA
1.755,14670,0.17,3.87,6.04,38702,20.9,0.749,3.03,19250,23.96,3.29,2.83,18130,NA,NA,NA,NA,NA,NA
1.78,14710,0.41,3.73,6.16,39322,20.3,0.731,3.08,19550,23.82,3.23,2.855,18250,NA,NA,NA,NA,NA,NA
1.805,14760,0.42,3.73,6.2,39529,20.1,0.722,3.13,19860,23.88,3.26,2.88,18380,NA,NA,NA,NA,NA,NA
1.83,14810,0.48,3.68,6.3,40046,21.2,0.761,3.18,20350,24.13,3.35,2.905,18500,13.6,15,2.05,1.88,2.36,0.997
1.855,14850,0.43,3.74,6.4,40563,21.5,0.769,3.23,20840,24.01,3.31,2.93,18630,NA,NA,NA,NA,NA,NA
1.88,14900,0.47,3.74,6.52,41183,21.4,0.767,3.28,21320,23.56,3.14,2.955,18750,NA,NA,NA,NA,NA,NA
1.905,14950,0.08,3.77,6.6,41597,21.3,0.764,3.33,21810,24.27,3.4,3.005,19000,12.6,15.8,1.91,1.99,2.57,1.018
1.93,14990,-0.06,3.73,6.72,42376,20.8,0.745,3.38,22300,23.51,3.13,3.055,19250,NA,NA,NA,NA,NA,NA
1.955,15040,0.13,3.77,6.8,42882,20.9,0.751,3.43,22790,24.46,3.47,3.105,19610,13.7,15.4,2.07,2.12,2.46,1.032
1.98,15090,-0.08,3.83,6.92,43640,20.8,0.748,3.48,23150,24.22,3.38,3.13,19860,NA,NA,NA,NA,NA,NA
2.005,15130,0.16,3.78,NA,NA,NA,NA,3.53,23510,23.4,3.09,3.155,20100,NA,NA,NA,NA,NA,NA
2.055,15230,-0.07,3.97,NA,NA,NA,NA,3.58,23870,23.36,3.08,3.18,20350,NA,NA,NA,NA,NA,NA
2.08,15280,-0.43,3.83,NA,NA,NA,NA,3.63,24230,24.39,3.45,3.205,20590,13.7,15.8,2.07,1.68,2.56,1.296
2.105,15320,-0.09,3.93,NA,NA,NA,NA,3.78,25300,23.46,3.11,3.23,20840,NA,NA,NA,NA,NA,NA
2.155,15420,0.1,3.89,NA,NA,NA,NA,3.83,25660,23.77,3.22,3.255,21080,NA,NA,NA,NA,NA,NA
2.18,15460,-0.32,4.11,NA,NA,NA,NA,3.88,26020,24.31,3.42,3.28,21320,NA,NA,NA,NA,NA,NA
2.205,15510,-0.31,4.02,NA,NA,NA,NA,3.93,26320,24.98,3.68,3.305,21570,10,15.4,1.57,2.01,2.47,1.407
2.23,15560,-0.22,3.97,NA,NA,NA,NA,3.98,26610,24.58,3.52,NA,NA,NA,NA,NA,NA,NA,NA
2.255,15600,-0.27,4.09,NA,NA,NA,NA,4.005,26760,23.09,2.98,NA,NA,NA,NA,NA,NA,NA,NA
2.28,15650,-0.22,4.04,NA,NA,NA,NA,4.055,27060,22.48,2.79,NA,NA,NA,NA,NA,NA,NA,NA
2.305,15700,-0.11,4.17,NA,NA,NA,NA,4.105,27360,22.55,2.81,NA,NA,NA,NA,NA,NA,NA,NA
2.33,15740,-0.31,4.13,NA,NA,NA,NA,4.155,27660,22.14,2.68,NA,NA,NA,NA,NA,NA,NA,NA
2.355,15790,-0.05,4.32,NA,NA,NA,NA,4.205,27950,23.03,2.96,NA,NA,NA,NA,NA,NA,NA,NA
2.405,16020,-0.12,4.29,NA,NA,NA,NA,4.255,28250,23.23,3.03,NA,NA,NA,NA,NA,NA,NA,NA
2.43,16150,-0.14,4.03,NA,NA,NA,NA,4.305,28550,25.16,3.76,NA,NA,NA,NA,NA,NA,NA,NA
2.455,16270,0,4.19,NA,NA,NA,NA,4.355,28850,22.79,2.89,NA,NA,NA,NA,NA,NA,NA,NA
2.48,16400,0.27,4.06,NA,NA,NA,NA,4.405,29140,24.1,3.34,NA,NA,NA,NA,NA,NA,NA,NA
2.505,16520,-0.07,4.4,NA,NA,NA,NA,4.455,29440,23.22,3.03,NA,NA,NA,NA,NA,NA,NA,NA
2.53,16640,0.11,4.18,NA,NA,NA,NA,4.505,29740,23.97,3.29,NA,NA,NA,NA,NA,NA,NA,NA
2.555,16770,0.08,4.37,NA,NA,NA,NA,4.555,30030,22.78,2.88,NA,NA,NA,NA,NA,NA,NA,NA
2.58,16890,-0.31,3.95,NA,NA,NA,NA,4.605,30330,24.22,3.38,NA,NA,NA,NA,NA,NA,NA,NA
2.605,17010,0.1,4.41,NA,NA,NA,NA,4.655,30630,22.08,2.67,NA,NA,NA,NA,NA,NA,NA,NA
2.63,17140,-0.05,4.31,NA,NA,NA,NA,4.705,30930,24.15,3.36,NA,NA,NA,NA,NA,NA,NA,NA
2.655,17260,0.13,4.38,NA,NA,NA,NA,4.755,31220,23.24,3.04,NA,NA,NA,NA,NA,NA,NA,NA
2.68,17390,-0.02,4.34,NA,NA,NA,NA,4.805,31520,24.1,3.34,NA,NA,NA,NA,NA,NA,NA,NA
2.705,17510,0.06,4.46,NA,NA,NA,NA,4.855,31810,24.73,3.58,NA,NA,NA,NA,NA,NA,NA,NA
2.73,17630,-0.06,4.41,NA,NA,NA,NA,4.905,32100,23.8,3.23,NA,NA,NA,NA,NA,NA,NA,NA
2.755,17760,0,4.51,NA,NA,NA,NA,4.955,32380,23.62,3.17,NA,NA,NA,NA,NA,NA,NA,NA
2.78,17880,0.19,4.39,NA,NA,NA,NA,5.005,32660,23.16,3.01,NA,NA,NA,NA,NA,NA,NA,NA
2.805,18010,0.29,4.55,NA,NA,NA,NA,5.055,32950,23.19,3.02,NA,NA,NA,NA,NA,NA,NA,NA
2.83,18130,0.22,4.53,NA,NA,NA,NA,5.105,33230,23.87,3.26,NA,NA,NA,NA,NA,NA,NA,NA
2.855,18250,0.24,4.58,NA,NA,NA,NA,5.205,33770,23.36,3.07,NA,NA,NA,NA,NA,NA,NA,NA
2.88,18380,0.35,4.53,NA,NA,NA,NA,5.305,34300,24.31,3.42,NA,NA,NA,NA,NA,NA,NA,NA
2.905,18500,0.17,4.59,NA,NA,NA,NA,5.405,34820,24.52,3.5,NA,NA,NA,NA,NA,NA,NA,NA
2.93,18630,0.24,4.37,NA,NA,NA,NA,5.455,35090,23.41,3.09,NA,NA,NA,NA,NA,NA,NA,NA
2.955,18750,0.58,4.82,NA,NA,NA,NA,5.505,35350,23.91,3.27,NA,NA,NA,NA,NA,NA,NA,NA
3.005,19000,0.51,4.62,NA,NA,NA,NA,5.555,35620,24.32,3.42,NA,NA,NA,NA,NA,NA,NA,NA
3.055,19250,0.37,4.61,NA,NA,NA,NA,5.605,35880,24.95,3.67,NA,NA,NA,NA,NA,NA,NA,NA
3.105,19610,0.32,4.64,NA,NA,NA,NA,5.655,36150,24.2,3.38,NA,NA,NA,NA,NA,NA,NA,NA
3.13,19860,0.29,4.43,NA,NA,NA,NA,5.705,36410,24.41,3.46,NA,NA,NA,NA,NA,NA,NA,NA
3.155,20100,0.42,4.63,NA,NA,NA,NA,5.755,36670,23.23,3.03,NA,NA,NA,NA,NA,NA,NA,NA
3.18,20350,0.31,4.56,NA,NA,NA,NA,5.805,36940,25.73,4,NA,NA,NA,NA,NA,NA,NA,NA
3.205,20590,0.34,4.66,NA,NA,NA,NA,5.905,37670,23.58,3.15,NA,NA,NA,NA,NA,NA,NA,NA
3.23,20840,0.2,4.47,NA,NA,NA,NA,5.955,38080,24.15,3.36,NA,NA,NA,NA,NA,NA,NA,NA
3.255,21080,0.23,4.64,NA,NA,NA,NA,6.005,38480,23.05,2.97,NA,NA,NA,NA,NA,NA,NA,NA
3.28,21320,0.06,4.47,NA,NA,NA,NA,6.03,38680,24.26,3.4,NA,NA,NA,NA,NA,NA,NA,NA
3.305,21570,0.39,4.61,NA,NA,NA,NA,6.08,38940,24.62,3.54,NA,NA,NA,NA,NA,NA,NA,NA
3.33,21810,0.3,4.53,NA,NA,NA,NA,6.13,39200,24.19,3.37,NA,NA,NA,NA,NA,NA,NA,NA
3.355,22060,0.33,4.58,NA,NA,NA,NA,6.18,39460,23.03,2.96,NA,NA,NA,NA,NA,NA,NA,NA
3.38,22300,0.52,4.47,NA,NA,NA,NA,6.23,39720,22.92,2.93,NA,NA,NA,NA,NA,NA,NA,NA
3.405,22550,0.29,4.58,NA,NA,NA,NA,6.28,39980,22.39,2.76,NA,NA,NA,NA,NA,NA,NA,NA
3.43,22790,0.25,4.42,NA,NA,NA,NA,6.33,40240,23.07,2.98,NA,NA,NA,NA,NA,NA,NA,NA
3.455,22970,0.16,4.61,NA,NA,NA,NA,6.355,40360,23.82,3.24,NA,NA,NA,NA,NA,NA,NA,NA
3.48,23150,0.19,4.34,NA,NA,NA,NA,6.38,40490,24.21,3.38,NA,NA,NA,NA,NA,NA,NA,NA
3.505,23330,0.34,4.55,NA,NA,NA,NA,6.43,40750,24.28,3.4,NA,NA,NA,NA,NA,NA,NA,NA
3.53,23510,0.01,4.41,NA,NA,NA,NA,6.48,41010,24.01,3.31,NA,NA,NA,NA,NA,NA,NA,NA
3.58,23870,0.12,4.4,NA,NA,NA,NA,6.505,41140,25.62,3.95,NA,NA,NA,NA,NA,NA,NA,NA
3.605,24050,0.36,4.67,NA,NA,NA,NA,6.53,41270,24.3,3.41,NA,NA,NA,NA,NA,NA,NA,NA
3.63,24230,0.01,4.37,NA,NA,NA,NA,6.555,41400,24.97,3.67,NA,NA,NA,NA,NA,NA,NA,NA
3.73,24940,0.21,4.51,NA,NA,NA,NA,6.605,41660,24.62,3.54,NA,NA,NA,NA,NA,NA,NA,NA
3.755,25120,0.34,4.57,NA,NA,NA,NA,6.655,41950,23.92,3.27,NA,NA,NA,NA,NA,NA,NA,NA
3.78,25300,-0.16,4.49,NA,NA,NA,NA,6.705,42260,24.08,3.33,NA,NA,NA,NA,NA,NA,NA,NA
3.805,25480,0.27,4.59,NA,NA,NA,NA,6.755,42580,23.5,3.12,NA,NA,NA,NA,NA,NA,NA,NA
3.83,25660,0.13,4.35,NA,NA,NA,NA,6.805,42890,24.24,3.39,NA,NA,NA,NA,NA,NA,NA,NA
3.855,25840,0.18,4.55,NA,NA,NA,NA,6.855,43210,25.11,3.73,NA,NA,NA,NA,NA,NA,NA,NA
3.88,26020,0.06,4.47,NA,NA,NA,NA,6.905,43530,23.43,3.1,NA,NA,NA,NA,NA,NA,NA,NA
3.905,26170,0.22,4.45,NA,NA,NA,NA,6.955,43840,23.24,3.03,NA,NA,NA,NA,NA,NA,NA,NA
3.93,26320,-0.13,4.42,NA,NA,NA,NA,7.005,44160,24.48,3.48,NA,NA,NA,NA,NA,NA,NA,NA
3.955,26470,-0.09,4.46,NA,NA,NA,NA,7.055,44470,24.35,3.43,NA,NA,NA,NA,NA,NA,NA,NA
3.98,26610,-0.09,4.39,NA,NA,NA,NA,7.105,44790,25.38,3.85,NA,NA,NA,NA,NA,NA,NA,NA
4.005,26760,0.05,4.51,NA,NA,NA,NA,7.155,45100,24.1,3.34,NA,NA,NA,NA,NA,NA,NA,NA
4.13,27510,-0.04,4.66,NA,NA,NA,NA,7.205,45420,23.43,3.1,NA,NA,NA,NA,NA,NA,NA,NA
4.18,27800,0.03,4.57,NA,NA,NA,NA,7.255,45730,24.44,3.47,NA,NA,NA,NA,NA,NA,NA,NA
4.23,28100,0.07,4.46,NA,NA,NA,NA,7.305,46050,25.51,3.91,NA,NA,NA,NA,NA,NA,NA,NA
4.28,28400,0.06,4.29,NA,NA,NA,NA,7.355,46370,23.73,3.2,NA,NA,NA,NA,NA,NA,NA,NA
4.33,28700,-0.26,4.36,NA,NA,NA,NA,7.405,46680,24.42,3.46,NA,NA,NA,NA,NA,NA,NA,NA
4.355,28850,0.2,4.33,NA,NA,NA,NA,7.455,47000,24.07,3.33,NA,NA,NA,NA,NA,NA,NA,NA
4.38,28990,-0.08,4.46,NA,NA,NA,NA,7.505,47310,24.29,3.41,NA,NA,NA,NA,NA,NA,NA,NA
4.405,29140,0.05,4.39,NA,NA,NA,NA,7.555,47600,23.84,3.24,NA,NA,NA,NA,NA,NA,NA,NA
4.43,29290,-0.03,4.22,NA,NA,NA,NA,7.605,47850,23.36,3.07,NA,NA,NA,NA,NA,NA,NA,NA
4.455,29440,0.06,4.32,NA,NA,NA,NA,7.755,48600,22.33,2.74,NA,NA,NA,NA,NA,NA,NA,NA
4.48,29590,0.14,4.33,NA,NA,NA,NA,7.905,49360,23.19,3.02,NA,NA,NA,NA,NA,NA,NA,NA
4.505,29740,0.17,4.28,NA,NA,NA,NA,7.955,49620,23.51,3.13,NA,NA,NA,NA,NA,NA,NA,NA
4.53,29890,0.09,4.21,NA,NA,NA,NA,8.005,49870,23.75,3.21,NA,NA,NA,NA,NA,NA,NA,NA
4.555,30030,0.02,4.38,NA,NA,NA,NA,8.055,50120,23.37,3.08,NA,NA,NA,NA,NA,NA,NA,NA
4.58,30180,-0.05,4.11,NA,NA,NA,NA,8.105,50380,24.09,3.34,NA,NA,NA,NA,NA,NA,NA,NA
4.605,30330,-0.14,4.23,NA,NA,NA,NA,8.155,50630,23.41,3.09,NA,NA,NA,NA,NA,NA,NA,NA
4.63,30480,0.01,4.33,NA,NA,NA,NA,8.255,51130,24.27,3.4,NA,NA,NA,NA,NA,NA,NA,NA
4.655,30630,-0.03,4.36,NA,NA,NA,NA,8.305,51390,23.6,3.16,NA,NA,NA,NA,NA,NA,NA,NA
4.68,30780,-0.08,4.38,NA,NA,NA,NA,8.455,52150,24.61,3.53,NA,NA,NA,NA,NA,NA,NA,NA
4.705,30930,0.18,4.37,NA,NA,NA,NA,8.555,52650,24.64,3.55,NA,NA,NA,NA,NA,NA,NA,NA
4.73,31080,-0.07,4.4,NA,NA,NA,NA,8.655,53160,24.26,3.4,NA,NA,NA,NA,NA,NA,NA,NA
4.755,31220,0.13,4.43,NA,NA,NA,NA,8.705,53410,25.62,3.95,NA,NA,NA,NA,NA,NA,NA,NA
4.78,31370,-0.17,4.27,NA,NA,NA,NA,8.805,53920,24.72,3.58,NA,NA,NA,NA,NA,NA,NA,NA
4.805,31520,-0.03,4.23,NA,NA,NA,NA,8.855,54170,25.31,3.82,NA,NA,NA,NA,NA,NA,NA,NA
4.83,31670,-0.23,4.28,NA,NA,NA,NA,8.905,54420,25.24,3.79,NA,NA,NA,NA,NA,NA,NA,NA
4.855,31810,-0.07,4.35,NA,NA,NA,NA,8.955,54680,25.22,3.78,NA,NA,NA,NA,NA,NA,NA,NA
4.88,31950,-0.01,4.2,NA,NA,NA,NA,9.005,54930,25.12,3.74,NA,NA,NA,NA,NA,NA,NA,NA
4.905,32100,-0.3,4.27,NA,NA,NA,NA,9.105,55440,24.23,3.39,NA,NA,NA,NA,NA,NA,NA,NA
4.93,32240,0.03,4.3,NA,NA,NA,NA,9.155,55690,24.19,3.37,NA,NA,NA,NA,NA,NA,NA,NA
4.955,32380,0.01,4.28,NA,NA,NA,NA,9.205,55940,24.01,3.31,NA,NA,NA,NA,NA,NA,NA,NA
5.005,32660,-0.06,4.27,NA,NA,NA,NA,9.255,56160,23.87,3.25,NA,NA,NA,NA,NA,NA,NA,NA
5.03,32800,-0.04,4.19,NA,NA,NA,NA,9.305,56330,23.88,3.26,NA,NA,NA,NA,NA,NA,NA,NA
5.08,33090,0.21,4.14,NA,NA,NA,NA,9.405,56680,24.85,3.63,NA,NA,NA,NA,NA,NA,NA,NA
5.105,33230,0.19,4.21,NA,NA,NA,NA,9.455,56860,24.85,3.63,NA,NA,NA,NA,NA,NA,NA,NA
5.155,33500,0.18,4.26,NA,NA,NA,NA,9.505,57030,24.47,3.48,NA,NA,NA,NA,NA,NA,NA,NA
5.18,33630,-0.06,4.2,NA,NA,NA,NA,9.555,57210,24.47,3.48,NA,NA,NA,NA,NA,NA,NA,NA
5.205,33770,0.05,4.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.23,33900,0.57,4.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.255,34030,-0.17,4.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.305,34300,-0.27,4.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.33,34430,-0.03,4.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.355,34560,0.23,4.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.405,34820,-0.31,4.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.43,34960,0.57,4.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.455,35090,-0.11,4.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.48,35220,-0.1,4.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.505,35350,-0.16,4.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.53,35480,0.22,4.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.555,35620,-0.08,4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.58,35750,-0.12,4.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.605,35880,0.01,4.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.63,36010,-0.23,4.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.655,36150,0.13,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.68,36280,-0.05,4.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.705,36410,0.22,4.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.73,36540,-0.31,4.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.755,36670,0.27,4.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.78,36810,0.39,4.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
