depth (cm),age (BP),age (missing),temperature (degC),temperature (missing),temperature (missing),temperature (missing),nonReliabletemperature (missing),temperatureComposite (degC),OriginalSampleID (missing),ageMin (missing),uncertainty (missing),uncertainty (missing),reliable (missing),Commentregardingreliability1 (missing),uncertainty (missing),uncertainty (missing),reliable (missing),Commentregardingreliability2 (missing),uncertainty (missing),uncertainty (missing),reliable (missing),Commentregardingreliability3 (missing),uncertainty (missing),uncertainty (missing),reliable (missing),Commentregardingreliability3 (missing)
191,2150.396,NA,15.566,15.155,14.466,15.276,NA,-0.421,191,NA,16.956,14.176,Y,NA,16.165,14.145,Y,NA,15.357,13.576,Y,NA,16.156,14.396,Y,NA
201,2253.944,NA,17.488,NA,14.191,12.7,NA,-1.075,201,NA,18.878,16.098,Y,NA,14.415,12.395,N,looks to be too low,15.081,13.301,Y,NA,13.58,11.82,N,value seems to be too low
211,2357.415,NA,16.625,15.31,14.707,14.262,NA,-0.31,211,NA,18.015,15.235,Y,NA,16.32,14.3,Y,NA,15.597,13.817,Y,NA,15.142,13.382,Y,NA
221,2460.753,NA,16.376,14.417,14.263,14.52,NA,-0.642,221,NA,17.766,14.986,Y,NA,15.427,13.407,Y,NA,15.153,13.373,Y,NA,15.4,13.64,Y,NA
231,2564.074,NA,16.766,14.614,NA,NA,12.528,0.37,231,NA,18.156,15.376,Y,NA,15.624,13.604,Y,NA,14.54,12.76,N,seems to be too low,14.986,13.226,Y,NA
241,2667.417,NA,15.639,15.166,15.761,14.608,NA,-0.243,241,NA,17.029,14.249,Y,NA,16.177,14.156,Y,NA,16.651,14.871,Y,NA,15.488,13.728,Y,NA
251,2770.763,NA,16.044,14.907,14.209,15.312,NA,-0.418,251,NA,17.434,14.654,Y,NA,15.917,13.897,Y,NA,15.098,13.319,Y,NA,16.192,14.432,Y,NA
261,2874.022,NA,16.373,NA,15.159,13.854,NA,-0.74,261,NA,17.763,14.983,Y,NA,14.937,12.917,N,looks to be too low,16.049,14.269,Y,NA,14.734,12.974,N,value seems to be too low
271,2977.136,NA,15.229,15.06,15.254,15.195,NA,-0.352,271,NA,16.619,13.839,Y,NA,16.07,14.05,Y,NA,16.144,14.364,Y,NA,16.076,14.316,Y,NA
281,3080.204,NA,14.903,15.014,15.233,15.017,NA,-0.495,281,NA,16.293,13.513,Y,NA,16.024,14.005,Y,NA,16.123,14.344,Y,NA,15.897,14.137,Y,NA
291,3183.262,NA,14.765,15.158,14.928,14.831,NA,-0.616,291,NA,16.155,13.375,Y,NA,16.168,14.148,Y,NA,15.818,14.038,Y,NA,15.711,13.951,Y,NA
301,3286.263,NA,15.339,14.537,15.987,15.251,NA,-0.258,301,NA,16.729,13.949,Y,NA,15.547,13.527,Y,NA,16.877,15.097,Y,NA,16.131,14.37,Y,NA
311,3392.922,NA,17.334,15.645,15.875,14.322,NA,0.258,311,NA,18.724,15.944,Y,NA,16.655,14.635,Y,NA,16.765,14.985,Y,NA,15.202,13.442,Y,NA
321,3504.138,NA,15.425,14.75,14.777,15.964,NA,-0.307,321,NA,16.815,14.035,Y,NA,15.76,13.74,Y,NA,15.667,13.887,Y,NA,16.844,15.084,Y,NA
331,3614.034,NA,15.222,14.991,14.596,15.522,NA,-0.454,331,NA,16.612,13.832,Y,NA,16.001,13.981,Y,NA,15.486,13.706,Y,NA,16.402,14.642,Y,NA
341,3724.04,NA,15.963,15.579,NA,NA,14.264,0.451,341,NA,17.353,14.573,Y,NA,16.589,14.569,Y,NA,14.825,13.044,N,seems to be too low,15.34,13.58,Y,NA
351,3834.173,NA,15.161,15.366,NA,NA,15.276,-0.057,351,NA,16.551,13.771,Y,NA,16.376,14.356,Y,NA,14.574,12.794,N,seems to be too low,15.477,13.717,Y,NA
361,3944.326,NA,17.391,14.731,17.352,16.362,NA,0.923,361,NA,18.781,16.001,Y,NA,15.741,13.721,Y,NA,18.242,16.462,Y,NA,17.242,15.482,Y,NA
371,4048.779,NA,17.222,14.746,15.63,15.556,NA,0.252,371,NA,18.612,15.832,Y,NA,15.756,13.736,Y,NA,16.52,14.741,Y,NA,16.436,14.676,Y,NA
381,4211.515,NA,15.997,15.491,16.017,16.262,NA,0.405,381,NA,17.387,14.607,Y,NA,16.501,14.481,Y,NA,16.907,15.127,Y,NA,17.142,15.382,Y,NA
391,4415.465,NA,15.697,NA,15.764,15.8,NA,-0.115,391,NA,17.087,14.307,Y,NA,14.012,11.992,N,looks to be too low,16.654,14.874,Y,NA,16.68,14.921,Y,NA
401,4613.86,NA,16.1,NA,15.728,16.529,NA,0.251,401,NA,17.49,14.71,Y,NA,14.582,12.562,N,looks to be too low,16.618,14.838,Y,NA,17.409,15.649,Y,NA
411,4812.229,NA,16.585,15.184,16.822,16.699,NA,0.786,411,NA,17.975,15.195,Y,NA,16.195,14.175,Y,NA,17.712,15.931,Y,NA,17.579,15.819,Y,NA
421,5010.578,NA,16.171,NA,15.494,16.23,NA,0.097,421,NA,17.561,14.781,Y,NA,14.411,12.391,N,looks to be too low,16.384,14.604,Y,NA,17.11,15.35,Y,NA
431,5208.637,NA,16.474,14.359,16.762,15.618,NA,0.267,431,NA,17.864,15.084,Y,NA,15.369,13.349,Y,NA,17.652,15.872,Y,NA,16.498,14.738,Y,NA
441,5408.568,NA,16.357,14.1,16.086,16.825,NA,0.306,441,NA,17.747,14.967,Y,NA,15.11,13.09,Y,NA,16.976,15.196,Y,NA,17.705,15.945,Y,NA
451,5611.505,NA,16.718,14.365,15.904,15.64,NA,0.12,451,NA,18.108,15.328,Y,NA,15.375,13.355,Y,NA,16.794,15.014,Y,NA,16.52,14.76,Y,NA
461,5814.268,NA,17.069,NA,14.92,15.997,NA,0.127,461,NA,18.459,15.679,Y,NA,14.062,12.042,N,looks to be too low,15.81,14.03,Y,NA,16.877,15.117,Y,NA
471,6016.931,NA,16.092,15.155,14.461,14.474,NA,-0.491,471,NA,17.482,14.702,Y,NA,16.165,14.145,Y,NA,15.351,13.571,Y,NA,15.354,13.594,Y,NA
481,6219.318,NA,15.871,14.974,16.008,16.128,NA,0.209,481,NA,17.261,14.481,Y,NA,15.984,13.964,Y,NA,16.898,15.118,Y,NA,17.008,15.248,Y,NA
491,6421.614,NA,16.264,14.325,16.078,16.471,NA,0.248,491,NA,17.654,14.874,Y,NA,15.335,13.315,Y,NA,16.968,15.188,Y,NA,17.351,15.591,Y,NA
501,6624.103,NA,15.087,NA,15.273,16.688,NA,-0.186,501,NA,16.477,13.697,Y,NA,13.994,11.974,N,looks to be too low,16.163,14.383,Y,NA,17.568,15.808,Y,NA
511,6826.781,NA,15.931,NA,15.461,16.364,NA,0.05,511,NA,17.321,14.541,Y,NA,14.857,12.837,N,looks to be too low,16.351,14.571,Y,NA,17.244,15.484,Y,NA
521,7031.597,NA,15.974,NA,16.131,16.552,NA,0.351,521,NA,17.364,14.584,Y,NA,14.769,12.749,N,looks to be too low,17.021,15.242,Y,NA,17.432,15.672,Y,NA
531,7232.7,NA,15.135,NA,15.758,17.281,NA,0.19,531,NA,16.525,13.745,Y,NA,13.582,11.562,N,looks to be too low,16.648,14.868,Y,NA,18.161,16.401,Y,NA
541,7339.066,NA,14.759,NA,14.22,16.293,NA,-0.778,541,NA,16.149,13.369,Y,NA,13.086,11.066,N,looks to be too low,15.11,13.33,Y,NA,17.173,15.413,Y,NA
551,7445.441,NA,16.964,NA,15.757,16.664,NA,0.593,551,NA,18.354,15.574,Y,NA,14.471,12.451,N,looks to be too low,16.647,14.867,Y,NA,17.544,15.784,Y,NA
561,7551.849,NA,16.776,NA,16.083,17.204,NA,0.819,561,NA,18.166,15.386,Y,NA,14.339,12.319,N,looks to be too low,16.973,15.193,Y,NA,18.084,16.324,Y,NA
571,7658.255,NA,16.105,15.437,14.956,16.449,NA,0.2,571,NA,17.495,14.715,Y,NA,16.447,14.427,Y,NA,15.846,14.066,Y,NA,17.329,15.569,Y,NA
581,7764.656,NA,16.365,14.525,15.8,15.927,NA,0.118,581,NA,17.755,14.975,Y,NA,15.535,13.515,Y,NA,16.69,14.91,Y,NA,16.807,15.047,Y,NA
591,7870.836,NA,15.593,16.228,NA,NA,12.7,0.59,591,NA,16.983,14.203,Y,NA,17.238,15.218,Y,NA,13.71,11.93,N,may be too long for 8.2,17.37,15.61,Y,NA
611,8082.737,8188.886,NA,15.956,NA,NA,14.262,1.416,611,7976.659,15.079,12.299,N?,"maybe too long for 8.2 BP, I don't know",16.966,14.946,Y,NA,11.119,9.339,N,may be too long for 8.2,16.595,14.835,Y,NA
641,8401.316,NA,NA,15.784,NA,NA,14.52,1.244,641,NA,16.767,13.987,N?,"maybe too long for 8.2 BP, I don't know",16.794,14.774,Y,NA,14.615,12.835,N,may be too long for 8.2,17.026,15.266,Y,NA
661,8613.884,NA,NA,16.433,NA,NA,14.106,1.893,661,NA,14.925,12.145,N?,"maybe too long for 8.2 BP, I don't know",17.443,15.423,Y,NA,10.382,8.602,N,may be too long for 8.2,16.513,14.753,Y,NA
681,8826.591,NA,14.001,15.438,NA,NA,14.608,-0.601,681,NA,15.391,12.611,Y,NA,16.448,14.428,Y,NA,14.689,12.909,N,may be too long for 8.2,16.754,14.994,Y,NA
701,9039.553,NA,15.053,14.837,15.12,16.08,NA,-0.264,701,NA,16.443,13.663,Y,NA,15.847,13.827,Y,NA,16.01,14.23,Y,NA,16.96,15.2,Y,NA
721,9252.536,NA,16.724,16.649,15.548,16.802,NA,0.894,721,NA,18.114,15.334,Y,NA,17.66,15.639,Y,NA,16.438,14.658,Y,NA,17.683,15.922,Y,NA
741,9465.361,NA,16.46,16.14,15.543,16.944,NA,0.735,741,NA,17.85,15.07,Y,NA,17.15,15.13,Y,NA,16.433,14.653,Y,NA,17.824,16.064,Y,NA
761,9678.137,NA,16.05,15.866,15.754,16.078,NA,0.401,761,NA,17.44,14.66,Y,NA,16.876,14.856,Y,NA,16.644,14.864,Y,NA,16.959,15.198,Y,NA
781,9891.163,NA,16.568,15.853,15.82,17.018,NA,0.778,781,NA,17.958,15.178,Y,NA,16.863,14.843,Y,NA,16.71,14.93,Y,NA,17.898,16.138,Y,NA
801,10104.41,NA,15.142,14.882,14.588,15.532,NA,-0.5,801,NA,16.532,13.752,Y,NA,15.892,13.872,Y,NA,15.478,13.698,Y,NA,16.412,14.652,Y,NA
821,10313.596,NA,13.96,13.349,15.276,16.164,NA,-0.849,821,NA,15.35,12.57,Y,NA,14.359,12.339,Y,NA,16.166,14.386,Y,NA,17.044,15.284,Y,NA
841,10612.32,NA,16.261,13.168,16.112,16.755,NA,0.038,841,NA,17.651,14.871,Y,NA,14.178,12.158,Y,NA,17.002,15.222,Y,NA,17.635,15.875,Y,NA
856,10855.158,10936.02,16.923,15.16,16.11,15.763,NA,0.453,856,NA,18.313,15.533,Y,NA,16.17,14.15,Y,NA,17,15.22,Y,NA,16.643,14.883,Y,NA
871,11097.706,NA,16.203,14.098,15.971,16.378,NA,0.126,871,NA,17.593,14.813,Y,NA,15.108,13.088,Y,NA,16.861,15.081,Y,NA,17.258,15.498,Y,NA
881,11259.362,NA,17.083,12.56,16.246,15.725,NA,-0.133,881,NA,18.473,15.693,Y,NA,13.57,11.55,Y,NA,17.136,15.356,Y,NA,16.605,14.845,Y,NA
891,11420.969,NA,16.917,13.525,16.125,16.252,NA,0.168,891,NA,18.307,15.527,Y,NA,14.536,12.515,Y,NA,17.015,15.235,Y,NA,17.132,15.372,Y,NA
901,11582.428,NA,16.47,12.259,15.28,16.07,NA,-0.517,901,NA,17.86,15.08,Y,NA,13.269,11.249,Y,NA,16.17,14.39,Y,NA,16.95,15.19,Y,NA
921,11904.271,NA,17.024,14.425,15.975,16.819,NA,0.524,921,NA,18.414,15.634,Y,NA,15.435,13.415,Y,NA,16.865,15.085,Y,NA,17.699,15.939,Y,NA
941,12226.839,NA,15.742,12.116,14.734,19.003,NA,-0.138,941,NA,17.132,14.352,Y,NA,13.126,11.106,Y,NA,15.624,13.844,Y,NA,19.883,18.123,Y,NA
961,12549.093,NA,17.349,14.218,16.422,18.228,NA,1.018,961,NA,18.739,15.959,Y,NA,15.228,13.208,Y,NA,17.312,15.532,Y,NA,19.108,17.348,Y,NA
981,12872.276,NA,14.922,12.768,14.887,16.905,NA,-0.666,981,NA,16.312,13.532,Y,NA,13.778,11.758,Y,NA,15.777,13.997,Y,NA,17.785,16.025,Y,NA
1001,13195.703,NA,14.694,13.875,16.333,16.896,NA,-0.087,1001,NA,16.084,13.304,Y,NA,14.885,12.865,Y,NA,17.223,15.443,Y,NA,17.776,16.016,Y,NA
1021,13518.903,NA,16.694,14.556,16.617,16.071,NA,0.448,1021,NA,18.084,15.304,Y,NA,15.566,13.546,Y,NA,17.507,15.727,Y,NA,16.951,15.191,Y,NA
1041,13822.903,NA,15.462,13.463,15.484,16.45,NA,-0.322,1041,NA,16.852,14.072,Y,NA,14.473,12.453,Y,NA,16.374,14.594,Y,NA,17.33,15.57,Y,NA
1061,14068.949,NA,15.966,13.222,15.763,16.808,NA,-0.097,1061,NA,17.356,14.576,Y,NA,14.232,12.212,Y,NA,16.653,14.873,Y,NA,17.688,15.928,Y,NA
