year (AD),age (BP),age (BP),temperature (degC),Mg/Ca (mmol/mol),ageUncertainty (yr)
-5848,7798,7802.182,28.678,5.02,241.786
-5912.5,7862.5,7864.441,28.875,5.11,226.164
-5977,7927,7926.808,30.128,5.72,208.903
-6041.6,7991.6,7989.325,29.112,5.22,189.562
-6106.1,8056.1,8052.072,29.197,5.26,167.433
-6170.6,8120.6,8115.253,29.793,5.55,141.245
-6235.2,8185.2,8181.011,29.281,5.3,108.505
-6235.2,8185.2,8254.568,29.713,5.51,146.69
-6299.7,8249.7,8330.954,28.984,5.16,175.021
-6364.2,8314.2,8407.849,29.733,5.52,197.576
-6428.8,8378.8,8485.026,29.753,5.53,216.141
-6493.3,8443.3,8562.396,29.813,5.56,231.663
-6693.3,8643.3,8639.914,29.489,5.4,244.713
-6757.9,8707.9,8717.554,29.281,5.3,255.663
-6822.4,8772.4,8795.297,29.302,5.31,264.77
-6951.5,8901.5,8873.134,28.656,5.01,272.212
-6983.7,8933.7,8951.055,29.713,5.51,278.12
-7080.5,9030.5,9029.057,29.281,5.3,282.587
-7112.8,9062.8,9107.135,29.218,5.27,285.676
-7145.1,9095.1,9146.202,29.091,5.21,286.717
-7209.6,9159.6,9185.289,29.611,5.46,287.428
-7241.9,9191.9,9263.518,29.091,5.21,287.863
-7274.1,9224.1,9341.823,29.913,5.61,286.983
-7403.2,9353.2,9420.209,28.875,5.11,284.771
-7403.2,9353.2,9498.68,30.011,5.66,281.19
-7467.7,9417.7,9577.244,29.218,5.27,276.18
-7532.3,9482.3,9655.911,28.81,5.08,269.653
-7645.2,9595.2,9734.7,29.048,5.19,261.483
-7661.4,9611.4,9813.637,28.611,4.99,251.493
-7725.9,9675.9,9892.768,29.591,5.45,239.428
-7790.4,9740.4,9972.18,29.302,5.31,224.901
-7855,9805,10134.852,28.897,5.12,184.164
-7919.5,9869.5,10377.97,NA,5.05,242.817
-8142,10092,10627.517,28.477,4.93,279.201
-8142,10092,10878.611,NA,4.99,304.393
-8323,10273,11130.867,29.365,5.34,321.737
-8504,10454,11384.326,28.744,5.05,333.076
-8685,10635,11639.58,29.176,5.25,339.986
-8866,10816,11861.45,29.197,5.26,341.941
-9047,10997,11967.189,28.919,5.13,329.814
-9229,11179,12074.175,28.409,4.9,318.031
-9410,11360,12181.667,28.295,4.85,305.729
-9591,11541,12289.504,28.589,4.98,292.547
-9772,11722,12397.626,28.766,5.06,278.171
-9953,11903,12451.787,27.899,4.68,270.43
-10134,12084,12506.016,28.854,5.1,262.251
-10315,12265,12614.692,28.678,5.02,244.32
-10406,12356,12723.711,28.611,4.99,223.68
-10496,12446,12833.237,28.499,4.94,199.112
-10677,12627,12944.011,28.678,5.02,167.548
-10859,12809,12733.119,27.803,4.64,230.821
-11040,12990,12840.491,28.017,4.73,201.458
-11221,13171,12947.905,28.017,4.73,164.067
