depth (m),TOC (percent),CaCO3 (percent),depth (m),d18O (permil),d13C (permil),d18O (permil),d13C (permil),d18O (permil),d13C (permil),d18O (permil),depth (m),planktic.d18O (permil),planktic.d13C (permil),depth (m),age (BP),planktic.d18O (permil),depth (m),age (BP),temperature (degC),temperature (degC),temperatureComposite (degC),Uk37 (missing),depth (m),DBD (g_cm3)
1.4,0.84,14.16,3.2,NA,NA,2.79,-0.02,NA,NA,2.79,0.305,-2.57,1.42,8.525,14160,0.161,2.27,4262,26.8,26.6,1.927,0.923,NA,NA
1.45,0.95,13.92,3.3,NA,NA,2.45,-0.2,NA,NA,2.45,0.315,-2.71,1.66,8.925,15510,0.19,2.37,4468,26.8,26.7,1.977,0.924,NA,NA
1.5,1,15.98,3.4,3.03,0.3,NA,NA,NA,NA,3.03,0.325,-2.98,1.455,9.125,16490,0.22,2.45,4639,26.7,26.5,1.827,0.92,NA,NA
1.55,0.96,14.67,3.5,NA,NA,2.92,0.03,NA,NA,2.92,0.335,-2.68,1.61,9.225,17260,0.22,2.51,4769,26.8,26.6,1.927,0.922,NA,NA
1.6,1.09,11.59,3.6,NA,NA,2.81,-0.07,NA,NA,2.81,0.345,-2.64,1.39,9.325,18050,0.14,2.59,4940,26.7,26.5,1.827,0.919,NA,NA
1.65,0.98,14.58,3.7,NA,NA,2.87,-0.03,NA,NA,2.87,0.365,-2.46,1.25,10.325,24510,0.59,2.69,5148,26.7,26.5,1.827,0.92,NA,NA
1.7,0.82,15.82,3.8,2.8,-0.05,NA,NA,NA,NA,2.8,0.385,-2.53,1.39,11.025,26495,0.495,2.79,5347,26.7,26.6,1.877,0.921,NA,NA
1.75,0.97,15.67,3.9,2.54,0.22,2.99,-0.02,NA,NA,2.765,0.405,-2.66,1.48,12.125,30800,1.1,2.89,5536,26.8,26.7,1.977,0.924,NA,NA
1.8,0.82,15.21,4,NA,NA,2.98,-0.34,2.73,-1.04,2.855,0.415,-2.54,1.61,12.725,35500,2.4,2.98,5697,27,26.8,2.127,0.928,NA,NA
1.85,0.88,14.5,4.1,NA,NA,2.86,-0.19,2.96,-1.24,2.91,0.425,-2.335,1.22,NA,NA,NA,3.09,5882,26.8,26.6,1.927,0.922,NA,NA
1.9,0.79,15.05,4.2,NA,NA,3.15,-0.13,NA,NA,3.15,0.435,-2.61,1.67,NA,NA,NA,3.17,6008,26.9,26.7,2.027,0.925,NA,NA
1.95,0.85,17.08,4.3,NA,NA,2.99,-0.14,NA,NA,2.99,0.445,-2.53,1.44,NA,NA,NA,3.25,6125,26.6,26.4,1.727,0.916,NA,NA
1.98,0.77,15.11,4.4,2.95,0.01,3.02,-0.11,NA,NA,2.985,0.455,-2.71,1.56,NA,NA,NA,3.31,6208,26.8,26.6,1.927,0.921,NA,NA
2.05,0.91,14.5,4.5,NA,NA,2.95,-0.14,NA,NA,2.95,0.465,-2.57,1.56,NA,NA,NA,3.39,6311,26.7,26.5,1.827,0.92,NA,NA
2.1,0.82,14.61,4.6,NA,NA,3.08,-0.29,NA,NA,3.08,0.475,-2.71,1.51,NA,NA,NA,3.49,6433,26.7,26.5,1.827,0.92,NA,NA
2.15,0.89,14.75,4.7,NA,NA,2.98,-0.3,NA,NA,2.98,0.485,-2.66,1.45,NA,NA,NA,3.57,6534,26.4,26.3,1.577,0.912,NA,NA
2.2,0.97,14.22,4.8,NA,NA,2.79,-0.23,NA,NA,2.79,0.495,-2.81,1.59,NA,NA,NA,3.67,6673,26.3,26.2,1.477,0.909,NA,NA
2.25,0.93,15,4.9,NA,NA,2.85,-0.3,NA,NA,2.85,0.505,-2.9,1.53,NA,NA,NA,3.75,6803,26.4,26.3,1.577,0.911,NA,NA
2.3,0.81,16.78,5,NA,NA,3.03,-0.31,NA,NA,3.03,0.515,-2.3,1.39,NA,NA,NA,3.79,6876,26.1,26,1.277,0.901,NA,NA
2.35,0.92,16,5.1,NA,NA,2.42,-0.76,NA,NA,2.42,0.525,-2.85,1.76,NA,NA,NA,3.87,7034,26.4,26.3,1.577,0.91,NA,NA
2.4,0.82,15.33,5.2,NA,NA,3.1,-0.39,NA,NA,3.1,0.535,-2.5,1.53,NA,NA,NA,3.95,7207,26.1,26,1.277,0.901,NA,NA
2.45,0.91,16.08,5.3,NA,NA,NA,NA,3.07,-0.17,3.07,0.545,-2.78,1.54,NA,NA,NA,4.01,7344,26.3,26.2,1.477,0.907,NA,NA
2.5,0.75,16.08,5.4,3.2,-1.36,NA,NA,NA,NA,3.2,0.555,-2.62,1.56,NA,NA,NA,4.09,7532,26.4,26.3,1.577,0.911,NA,NA
2.55,0.78,14,5.6,3.05,-0.16,NA,NA,NA,NA,3.05,0.565,-2.46,1.46,NA,NA,NA,4.19,7772,26,25.9,1.177,0.897,NA,NA
2.6,0.74,15.56,5.8,NA,NA,3.13,-0.25,NA,NA,3.13,0.575,-2.56,1.53,NA,NA,NA,4.29,8009,26,25.9,1.177,0.899,NA,NA
2.65,0.82,16.33,5.9,3.19,-0.08,NA,NA,NA,NA,3.19,0.585,-2.73,1.44,NA,NA,NA,4.36,8170,25.8,25.7,0.977,0.893,NA,NA
2.7,0.82,14.56,6,NA,NA,3.03,-0.41,NA,NA,3.03,0.595,-2.9,1.44,NA,NA,NA,4.45,8366,26.2,26.1,1.377,0.906,NA,NA
2.75,0.89,14.75,6.1,NA,NA,3.42,-0.22,NA,NA,3.42,0.605,-2.78,1.44,NA,NA,NA,4.5,8471,25.9,25.8,1.077,0.894,NA,NA
2.8,0.9,16.18,6.2,NA,NA,3.22,-0.35,NA,NA,3.22,0.615,-2.52,1.59,NA,NA,NA,4.57,8611,25.9,25.8,1.077,0.894,NA,NA
2.85,0.91,15.58,6.3,3.31,-0.335,NA,NA,NA,NA,3.31,0.625,-2.48,1.63,NA,NA,NA,4.66,8783,25.6,25.5,0.777,0.887,NA,NA
2.9,0.81,15.85,6.4,2.2,0,NA,NA,NA,NA,2.2,0.635,-2.45,1.58,NA,NA,NA,4.76,8961,25.6,25.5,0.777,0.885,NA,NA
2.95,0.83,15.67,6.6,3.1,-0.16,NA,NA,NA,NA,3.1,0.645,-2.6,1.43,NA,NA,NA,4.87,9144,25.7,25.6,0.877,0.89,NA,NA
2.98,0.86,16.66,6.7,3.29,-0.18,NA,NA,NA,NA,3.29,0.655,-2.24,1.45,NA,NA,NA,4.97,9299,25.4,25.3,0.577,0.88,NA,NA
3.05,0.83,13.83,6.8,2.94,-0.14,NA,NA,NA,NA,2.94,0.665,-2.61,1.43,NA,NA,NA,5.05,9416,25.6,25.5,0.777,0.886,NA,NA
3.1,0.86,16.83,6.9,3.18,-0.08,NA,NA,NA,NA,3.18,0.675,-2.7,1.64,NA,NA,NA,5.09,9472,25.4,25.3,0.577,0.878,NA,NA
3.15,0.8,15,7,3.29,-0.15,NA,NA,NA,NA,3.29,0.685,-2.57,1.47,NA,NA,NA,5.15,9553,25.1,25,0.277,0.871,NA,NA
3.2,0.81,15.03,7.1,3.31,-0.315,NA,NA,NA,NA,3.31,0.695,-2.39,1.16,NA,NA,NA,5.19,9606,25.3,25.2,0.477,0.876,NA,NA
3.25,0.81,13.92,7.2,3.55,-0.33,3.61,-0.35,NA,NA,3.58,0.705,-2.55,1.33,NA,NA,NA,5.25,9683,25.2,25.2,0.427,0.874,NA,NA
3.3,0.86,15.25,7.3,3.41,-0.51,NA,NA,NA,NA,3.41,0.715,-2.47,1.61,NA,NA,NA,5.29,9733,25.1,25.1,0.327,0.871,NA,NA
3.35,0.92,14.67,7.4,3.52,-0.77,NA,NA,NA,NA,3.52,0.725,-2.59,1.56,NA,NA,NA,5.35,9807,24.8,24.8,0.027,0.862,NA,NA
3.4,1.11,12.22,7.5,NA,NA,3.56,-0.4,NA,NA,3.56,0.735,-2.62,1.57,NA,NA,NA,5.39,9855,25.3,25.2,0.477,0.875,NA,NA
3.45,0.85,17.42,7.6,3.58,-0.21,3.82,-0.45,NA,NA,3.7,0.745,-2.86,1.37,NA,NA,NA,5.45,9927,25.3,25.3,0.527,0.877,NA,NA
3.5,0.79,15.06,7.7,3.43,-0.28,NA,NA,NA,NA,3.43,0.755,-2.86,1.42,NA,NA,NA,5.47,9950,25,25,0.227,0.868,NA,NA
3.55,0.84,13.5,7.9,3.59,-0.14,NA,NA,NA,NA,3.59,0.765,-2.7,1.43,NA,NA,NA,5.51,9997,25.1,25,0.277,0.869,NA,NA
3.6,0.89,15.27,8,3.43,-0.5,NA,NA,NA,NA,3.43,0.775,-2.83,1.53,NA,NA,NA,5.55,10045,25.3,25.3,0.527,0.877,NA,NA
3.65,0.83,13.83,8.1,3.7,-0.45,NA,NA,NA,NA,3.7,0.785,-2.58,1.4,NA,NA,NA,5.59,10092,25.4,25.3,0.577,0.879,NA,NA
3.7,0.92,14.38,8.3,3.76,-0.29,NA,NA,NA,NA,3.76,0.795,-2.63,1.37,NA,NA,NA,5.65,10164,25.5,25.4,0.677,0.882,NA,NA
3.75,0.88,13.08,8.4,NA,NA,NA,NA,3.98,-1.01,3.98,0.815,-2.78,1.51,NA,NA,NA,5.69,10211,25.2,25.1,0.377,0.872,NA,NA
3.85,0.99,15.17,8.8,3.8,-0.77,NA,NA,NA,NA,3.8,0.825,-2.57,1.23,NA,NA,NA,5.77,10309,25.1,25,0.277,0.871,NA,NA
3.9,0.78,15.92,9.6,3.94,-0.61,NA,NA,NA,NA,3.94,0.835,-2.51,1.61,NA,NA,NA,5.81,10359,25,25,0.227,0.868,NA,NA
3.95,0.81,14.58,9.9,3.65,-0.44,NA,NA,NA,NA,3.65,0.845,-2.48,1.25,NA,NA,NA,5.87,10436,24.8,24.8,0.027,0.861,NA,NA
4,0.84,15.21,NA,NA,NA,NA,NA,NA,NA,NA,0.855,-2.9,1.49,NA,NA,NA,5.91,10488,24.7,24.6,-0.123,0.857,NA,NA
4.05,0.89,14.42,NA,NA,NA,NA,NA,NA,NA,NA,0.865,-2.41,1.09,NA,NA,NA,5.95,10542,24.7,24.7,-0.073,0.858,NA,NA
4.1,0.8,15.02,NA,NA,NA,NA,NA,NA,NA,NA,0.875,-2.48,1.44,NA,NA,NA,5.99,10597,25,24.9,0.177,0.867,NA,NA
4.15,0.99,13.83,NA,NA,NA,NA,NA,NA,NA,NA,0.885,-2.53,1.37,NA,NA,NA,6.05,10682,24.9,24.8,0.077,0.863,NA,NA
4.2,0.8,14.8,NA,NA,NA,NA,NA,NA,NA,NA,0.895,-2.67,1.27,NA,NA,NA,6.07,10712,24.8,24.7,-0.023,0.86,NA,NA
4.25,0.77,14.67,NA,NA,NA,NA,NA,NA,NA,NA,0.905,-2.6,1.44,NA,NA,NA,6.11,10772,24.8,24.7,-0.023,0.86,NA,NA
4.3,0.95,15.15,NA,NA,NA,NA,NA,NA,NA,NA,0.915,-2.38,1.49,NA,NA,NA,6.17,10865,24.6,24.6,-0.173,0.855,NA,NA
4.35,0.94,14.92,NA,NA,NA,NA,NA,NA,NA,NA,0.925,-2.42,1.31,NA,NA,NA,6.21,10930,24.7,24.6,-0.123,0.857,NA,NA
4.4,0.79,14.19,NA,NA,NA,NA,NA,NA,NA,NA,0.935,-2.61,1.46,NA,NA,NA,6.27,11032,24.5,24.4,-0.323,0.851,NA,NA
4.45,0.96,13,NA,NA,NA,NA,NA,NA,NA,NA,0.945,-2.62,1.36,NA,NA,NA,6.31,11102,24.3,24.3,-0.473,0.846,NA,NA
4.5,0.9,12.77,NA,NA,NA,NA,NA,NA,NA,NA,0.955,-2.57,1.33,NA,NA,NA,6.35,11174,24.9,24.8,0.077,0.863,NA,NA
4.55,0.84,13.17,NA,NA,NA,NA,NA,NA,NA,NA,0.965,-2.77,1.53,NA,NA,NA,6.4,11267,24.6,24.6,-0.173,0.855,NA,NA
4.6,0.9,14.2,NA,NA,NA,NA,NA,NA,NA,NA,0.975,-2.47,1.49,NA,NA,NA,6.43,11324,24.3,24.3,-0.473,0.845,NA,NA
4.65,0.87,12.33,NA,NA,NA,NA,NA,NA,NA,NA,0.985,-2.85,1.19,NA,NA,NA,6.47,11401,24.3,24.3,-0.473,0.846,NA,NA
4.7,1.14,9.78,NA,NA,NA,NA,NA,NA,NA,NA,0.995,-2.63,1.49,NA,NA,NA,6.51,11480,24.4,24.4,-0.373,0.849,NA,NA
4.75,0.88,12.75,NA,NA,NA,NA,NA,NA,NA,NA,1.005,-2.59,1.39,NA,NA,NA,6.55,11560,24.4,24.4,-0.373,0.849,NA,NA
4.8,0.8,11.64,NA,NA,NA,NA,NA,NA,NA,NA,1.015,-2.45,1.445,NA,NA,NA,6.61,11748,23.9,23.9,-0.873,0.832,NA,NA
4.85,0.92,11.25,NA,NA,NA,NA,NA,NA,NA,NA,1.035,-2.6,1.48,NA,NA,NA,6.65,11827,23.9,23.9,-0.873,0.833,NA,NA
4.9,0.92,11.23,NA,NA,NA,NA,NA,NA,NA,NA,1.045,-2.45,1.69,NA,NA,NA,6.71,11946,24.5,24.5,-0.273,0.852,NA,NA
4.95,0.85,12.92,NA,NA,NA,NA,NA,NA,NA,NA,1.055,-2.54,1.36,NA,NA,NA,6.75,12025,24.1,24.1,-0.673,0.84,NA,NA
5,0.88,11.12,NA,NA,NA,NA,NA,NA,NA,NA,1.065,-2.49,1.51,NA,NA,NA,6.79,12104,24.3,24.2,-0.523,0.844,NA,NA
5.05,0.87,11.33,NA,NA,NA,NA,NA,NA,NA,NA,1.075,-2.6,1.45,NA,NA,NA,6.83,12183,24.3,24.3,-0.473,0.846,NA,NA
5.1,0.94,9.56,NA,NA,NA,NA,NA,NA,NA,NA,1.085,-2.53,1.35,NA,NA,NA,6.86,12242,23.9,23.9,-0.873,0.832,NA,NA
5.15,0.94,10.42,NA,NA,NA,NA,NA,NA,NA,NA,1.095,-2.67,1.52,NA,NA,NA,6.9,12321,24,24,-0.773,0.835,NA,NA
5.2,0.87,11.89,NA,NA,NA,NA,NA,NA,NA,NA,1.105,-2.57,1.31,NA,NA,NA,6.95,12420,24.1,24.1,-0.673,0.838,NA,NA
5.25,0.95,8.17,NA,NA,NA,NA,NA,NA,NA,NA,1.115,-2.64,1.52,NA,NA,NA,7,12519,23.7,23.7,-1.073,0.827,NA,NA
5.3,0.93,11.81,NA,NA,NA,NA,NA,NA,NA,NA,1.125,-2.48,1.31,NA,NA,NA,7.03,12578,24,24,-0.773,0.836,NA,NA
5.35,0.95,10.42,NA,NA,NA,NA,NA,NA,NA,NA,1.135,-2.57,1.5,NA,NA,NA,7.07,12657,24,24,-0.773,0.837,NA,NA
5.4,0.91,10.66,NA,NA,NA,NA,NA,NA,NA,NA,1.145,-2.62,1.38,NA,NA,NA,7.11,12736,24,24,-0.773,0.835,NA,NA
5.45,1.14,9.58,NA,NA,NA,NA,NA,NA,NA,NA,1.155,-2.35,1.31,NA,NA,NA,7.13,12776,24.5,24.4,-0.323,0.851,NA,NA
5.5,0.85,11.72,NA,NA,NA,NA,NA,NA,NA,NA,1.165,-2.55,1.34,NA,NA,NA,7.16,12835,24.5,24.5,-0.273,0.853,NA,NA
5.55,0.98,9.58,NA,NA,NA,NA,NA,NA,NA,NA,1.175,-2.66,1.49,NA,NA,NA,7.21,12934,24.2,24.1,-0.623,0.841,NA,NA
5.6,0.95,9.88,NA,NA,NA,NA,NA,NA,NA,NA,1.185,-2.66,1.33,NA,NA,NA,7.25,13013,24.2,24.2,-0.573,0.842,NA,NA
5.65,NA,6.08,NA,NA,NA,NA,NA,NA,NA,NA,1.195,-2.54,1.56,NA,NA,NA,7.3,13112,24.1,24.1,-0.673,0.84,NA,NA
5.7,0.95,10.76,NA,NA,NA,NA,NA,NA,NA,NA,1.205,-2.4,1.39,NA,NA,NA,7.35,13211,24.3,24.3,-0.473,0.846,NA,NA
5.75,1.15,7.83,NA,NA,NA,NA,NA,NA,NA,NA,1.215,-2.37,1.52,NA,NA,NA,7.36,13231,24.6,24.6,-0.173,0.854,NA,NA
5.8,0.88,9.97,NA,NA,NA,NA,NA,NA,NA,NA,1.225,-2.44,1.24,NA,NA,NA,7.41,13329,24.6,24.6,-0.173,0.854,NA,NA
5.85,0.99,8.83,NA,NA,NA,NA,NA,NA,NA,NA,1.235,-2.4,1.34,NA,NA,NA,7.46,13428,24.3,24.3,-0.473,0.846,NA,NA
5.95,1.01,9.5,NA,NA,NA,NA,NA,NA,NA,NA,1.245,-2.31,1.44,NA,NA,NA,7.5,13507,24.3,24.3,-0.473,0.846,NA,NA
6,0.89,10.32,NA,NA,NA,NA,NA,NA,NA,NA,1.255,-2.78,1.43,NA,NA,NA,7.55,13606,24.2,24.2,-0.573,0.842,NA,NA
6.05,0.98,10.5,NA,NA,NA,NA,NA,NA,NA,NA,1.265,-2.585,1.44,NA,NA,NA,7.57,13645,24.5,24.5,-0.273,0.852,NA,NA
6.1,0.94,10.95,NA,NA,NA,NA,NA,NA,NA,NA,1.275,-2.66,1.71,NA,NA,NA,7.61,13724,24.4,24.4,-0.373,0.849,NA,NA
6.15,0.99,10.17,NA,NA,NA,NA,NA,NA,NA,NA,1.285,-2.53,1.16,NA,NA,NA,7.7,13902,24.1,24.1,-0.673,0.84,NA,NA
6.25,1.04,11.08,NA,NA,NA,NA,NA,NA,NA,NA,1.305,-2.64,1.39,NA,NA,NA,7.8,14100,24.2,24.2,-0.573,0.841,NA,NA
6.3,0.95,13.45,NA,NA,NA,NA,NA,NA,NA,NA,1.325,-2.54,1.35,NA,NA,NA,7.86,14219,24.2,24.2,-0.573,0.844,NA,NA
6.35,0.97,10.75,NA,NA,NA,NA,NA,NA,NA,NA,1.345,-2.59,1.23,NA,NA,NA,7.95,14396,24.2,24.2,-0.573,0.843,NA,NA
6.4,1.01,16.23,NA,NA,NA,NA,NA,NA,NA,NA,1.385,-2.65,1.47,NA,NA,NA,8.01,14515,24.3,24.3,-0.473,0.844,NA,NA
6.45,1,17.67,NA,NA,NA,NA,NA,NA,NA,NA,1.405,-2.57,1.45,NA,NA,NA,8.1,14740,23.9,23.9,-0.873,0.834,NA,NA
6.5,0.96,16.83,NA,NA,NA,NA,NA,NA,NA,NA,1.425,-2.51,1.39,NA,NA,NA,8.16,15140,23.6,23.6,-1.173,0.822,NA,NA
6.55,0.96,16.42,NA,NA,NA,NA,NA,NA,NA,NA,1.445,-2.51,1.47,NA,NA,NA,8.26,15806,23.5,23.5,-1.273,0.821,NA,NA
6.6,0.94,17.4,NA,NA,NA,NA,NA,NA,NA,NA,1.465,-2.76,1.57,NA,NA,NA,8.36,16473,23.5,23.5,-1.273,0.82,NA,NA
6.65,0.97,16.75,NA,NA,NA,NA,NA,NA,NA,NA,1.485,-2.56,1.53,NA,NA,NA,8.46,17139,23.3,23.3,-1.473,0.814,NA,NA
6.7,0.94,18.39,NA,NA,NA,NA,NA,NA,NA,NA,1.505,-2.77,1.63,NA,NA,NA,8.56,17805,23.3,23.3,-1.473,0.814,NA,NA
6.75,0.97,16.42,NA,NA,NA,NA,NA,NA,NA,NA,1.525,-2.57,1.22,NA,NA,NA,8.65,18405,23.4,23.5,-1.323,0.818,NA,NA
6.8,0.99,16.88,NA,NA,NA,NA,NA,NA,NA,NA,1.545,-2.67,1.49,NA,NA,NA,8.71,18805,23.2,23.2,-1.573,0.81,NA,NA
6.85,1.03,16.33,NA,NA,NA,NA,NA,NA,NA,NA,1.565,-2.56,1.55,NA,NA,NA,8.76,19138,23.3,23.4,-1.423,0.815,NA,NA
6.9,0.92,18.37,NA,NA,NA,NA,NA,NA,NA,NA,1.585,-2.46,1.32,NA,NA,NA,8.85,19737,23,23.1,-1.723,0.805,NA,NA
6.95,1.05,17.92,NA,NA,NA,NA,NA,NA,NA,NA,1.605,-2.54,1.49,NA,NA,NA,8.95,20404,23.1,23.1,-1.673,0.807,NA,NA
7,0.87,19.9,NA,NA,NA,NA,NA,NA,NA,NA,1.615,-2.47,1.5,NA,NA,NA,9.05,21070,22.9,23,-1.823,0.802,NA,NA
7.05,0.97,19.75,NA,NA,NA,NA,NA,NA,NA,NA,1.625,-2.22,1.42,NA,NA,NA,9.11,21470,23.5,23.5,-1.273,0.82,NA,NA
7.1,0.92,19.2,NA,NA,NA,NA,NA,NA,NA,NA,1.635,-2.33,1.56,NA,NA,NA,9.19,22003,22.4,22.5,-2.323,0.786,NA,NA
7.15,0.96,19.08,NA,NA,NA,NA,NA,NA,NA,NA,1.645,-2.41,1.63,NA,NA,NA,9.29,22669,23.2,23.3,-1.523,0.811,NA,NA
7.2,NA,15.95,NA,NA,NA,NA,NA,NA,NA,NA,1.655,-2.68,1.59,NA,NA,NA,9.37,23145,23,23.1,-1.723,0.805,NA,NA
7.25,1.09,15.33,NA,NA,NA,NA,NA,NA,NA,NA,1.665,-2.34,1.41,NA,NA,NA,9.47,23617,23.1,23.2,-1.623,0.809,NA,NA
7.3,0.94,19.34,NA,NA,NA,NA,NA,NA,NA,NA,1.675,-2.47,1.49,NA,NA,NA,9.57,24055,23.5,23.5,-1.273,0.821,NA,NA
7.35,1.06,17.92,NA,NA,NA,NA,NA,NA,NA,NA,1.685,-2.49,1.53,NA,NA,NA,9.67,24492,23.5,23.6,-1.223,0.822,NA,NA
7.4,1.01,19.53,NA,NA,NA,NA,NA,NA,NA,NA,1.695,-2.5,1.63,NA,NA,NA,9.77,24930,23.1,23.2,-1.623,0.808,NA,NA
7.45,1.09,17.75,NA,NA,NA,NA,NA,NA,NA,NA,1.705,-2.54,1.4,NA,NA,NA,9.85,25280,23.2,23.2,-1.573,0.811,NA,NA
7.5,1.09,16.77,NA,NA,NA,NA,NA,NA,NA,NA,1.715,-2.52,1.59,NA,NA,NA,9.95,25718,23.1,23.1,-1.673,0.807,NA,NA
7.55,1,16.5,NA,NA,NA,NA,NA,NA,NA,NA,1.725,-2.45,1.33,NA,NA,NA,10.03,26068,23.4,23.4,-1.373,0.816,NA,NA
7.65,1.11,15.17,NA,NA,NA,NA,NA,NA,NA,NA,1.735,-2.59,1.69,NA,NA,NA,10.11,26418,22.7,22.8,-2.023,0.795,NA,NA
7.7,1.05,16.03,NA,NA,NA,NA,NA,NA,NA,NA,1.745,-2.51,1.41,NA,NA,NA,10.19,26768,23,23,-1.773,0.804,NA,NA
7.75,1.08,16.17,NA,NA,NA,NA,NA,NA,NA,NA,1.755,-2.355,1.29,NA,NA,NA,10.25,27031,23.5,23.5,-1.273,0.819,NA,NA
