year (AD),age (BP),depth (cm),logSalinity (g)
-1002.196,2952.196,292,4.448
-1023.551,2973.551,294,4.367
-1044.94,2994.94,296,4.497
-1066.364,3016.364,298,4.185
-1087.824,3037.824,300,4.564
-1109.32,3059.32,301,4.4
-1120.081,3070.081,303,4.527
-1130.852,3080.852,305,4.407
-1152.421,3102.421,307,4.327
-1174.028,3124.028,309,4.59
-1195.672,3145.672,311,4.45
-1217.356,3167.356,313,4.251
-1239.078,3189.078,315,4.321
-1260.84,3210.84,317,4.357
-1282.643,3232.643,319,4.209
-1304.486,3254.486,321,4.398
-1326.37,3276.37,323,4.54
-1348.296,3298.296,325,4.576
-1370.264,3320.264,327,4.627
-1392.276,3342.276,329,4.384
-1414.33,3364.33,331,4.563
-1436.429,3386.429,333,4.623
-1458.572,3408.572,335,4.495
-1480.759,3430.759,337,4.451
-1502.993,3452.993,339,4.473
-1525.272,3475.272,341,4.509
-1547.598,3497.598,343,4.501
-1569.971,3519.971,345,4.515
-1592.391,3542.391,347,4.519
-1614.86,3564.86,349,4.273
-1637.377,3587.377,351,4.431
-1659.944,3609.944,353,4.257
-1682.56,3632.56,355,3.934
-1705.226,3655.226,357,4.187
-1727.943,3677.943,359,4.286
-1750.712,3700.712,361,4.391
-1773.532,3723.532,363,4.346
-1796.405,3746.405,365,4.107
-1819.33,3769.33,367,3.843
-1842.309,3792.309,369,3.447
-1865.342,3815.342,371,4.231
-1888.43,3838.43,373,4.35
-1911.572,3861.572,375,4.522
-1934.77,3884.77,377,4.592
-1958.024,3908.024,379,4.255
-1981.334,3931.334,381,4.502
-2004.702,3954.702,383,4.502
-2028.127,3978.127,385,4.483
-2051.611,4001.611,387,4.529
-2075.153,4025.153,389,4.133
-2098.754,4048.754,391,4.392
-2122.416,4072.416,393,4.221
-2146.137,4096.137,395,4.439
-2169.919,4119.919,397,4.165
-2193.763,4143.763,400,4.131
-2217.669,4167.669,402,4.609
-2241.637,4191.637,404,4.509
-2265.667,4215.667,406,4.609
-2289.762,4239.762,408,4.653
-2313.92,4263.92,410,4.567
-2338.143,4288.143,412,4.464
-2362.431,4312.431,414,4.292
-2386.785,4336.785,416,4.456
-2411.204,4361.204,418,4.611
-2435.69,4385.69,420,4.489
-2460.244,4410.244,422,4.62
-2484.865,4434.865,424,4.513
-2509.554,4459.554,426,4.547
-2534.313,4484.313,428,4.556
-2559.14,4509.14,430,4.502
-2584.037,4534.037,432,4.628
-2609.005,4559.005,434,4.304
-2634.043,4584.043,436,4.483
-2659.153,4609.153,438,4.381
-2684.335,4634.335,440,4.639
-2709.589,4659.589,442,4.651
-2734.916,4684.916,444,4.488
-2760.317,4710.317,446,4.608
-2785.792,4735.792,448,4.547
-2811.341,4761.341,450,4.62
-2836.966,4786.966,452,4.613
-2862.666,4812.666,454,4.317
-2888.442,4838.442,456,3.869
-2914.295,4864.295,458,3.82
-2940.225,4890.225,460,3.935
-2966.233,4916.233,462,3.756
-2992.32,4942.32,464,4.521
-3018.485,4968.485,466,4.367
-3044.729,4994.729,468,3.899
-3071.053,5021.053,470,4.032
-3097.458,5047.458,472,4.236
-3123.943,5073.943,474,4.634
-3150.511,5100.511,476,4.562
-3177.16,5127.16,478,4.41
-3203.891,5153.891,480,4.484
-3230.706,5180.706,482,4.343
-3257.604,5207.604,484,4.465
-3284.586,5234.586,486,4.231
-3311.653,5261.653,488,4.32
-3338.805,5288.805,490,4.355
-3366.043,5316.043,492,4.33
-3393.367,5343.367,494,3.509
-3420.777,5370.777,496,3.798
-3448.275,5398.275,500,4.301
-3475.861,5425.861,502,4.104
-3503.535,5453.535,504,3.774
-3531.298,5481.298,506,3.862
-3559.151,5509.151,508,4.35
-3587.093,5537.093,510,3.696
-3615.126,5565.126,512,4.339
-3643.249,5593.249,514,4.318
-3671.465,5621.465,516,3.17
-3699.772,5649.772,518,4.399
-3728.172,5678.172,520,3.965
-3756.665,5706.665,522,4.099
-3785.251,5735.251,524,4.195
-3813.932,5763.932,526,4.472
-3842.707,5792.707,528,4.494
-3871.578,5821.578,530,4.623
-3900.544,5850.544,532,4.558
-3929.607,5879.607,534,4.648
-3958.766,5908.766,536,4.624
-3988.023,5938.023,538,4.567
-4017.378,5967.378,540,4.58
-4046.831,5996.831,542,4.452
-4076.383,6026.383,544,4.525
-4106.034,6056.034,546,4.531
-4135.785,6085.785,548,4.601
-4165.637,6115.637,550,4.421
-4195.59,6145.59,552,4.531
-4225.645,6175.645,554,4.511
-4255.801,6205.801,556,4.505
-4286.06,6236.06,558,4.481
-4316.422,6266.422,560,4.546
-4346.888,6296.888,562,4.58
-4377.459,6327.459,564,4.168
-4408.133,6358.133,566,4.566
-4438.914,6388.914,568,4.597
-4469.8,6419.8,570,4.481
-4500.792,6450.792,572,4.538
-4531.891,6481.891,574,4.627
-4563.098,6513.098,576,4.632
-4594.412,6544.412,578,4.313
-4625.835,6575.835,580,4.613
-4657.367,6607.367,582,4.545
-4689.008,6639.008,584,4.639
-4720.759,6670.759,586,4.65
-4752.621,6702.621,588,4.428
-4784.594,6734.594,590,4.524
-4816.679,6766.679,592,4.317
-4848.876,6798.876,594,4.295
-4881.185,6831.185,596,4.004
-4913.608,6863.608,598,4.298
-4946.144,6896.144,600,4.087
