year (AD) [1-1],depth (cm) [1-1],temperature (permil) [1-1],Mg/Ca (degC) [1-1],temperature (permil) [1-1],d18O (mmol/mol) [1-1],year (AD) [2-1],temperature (degC) [2-1],year (AD) [3-1],d18O (degC) [3-1]
-10130,107.5,1.47,27.94,-1.19,4.39,NA,NA,NA,NA
-10190,108.5,1.35,28.1,-1.34,4.45,NA,NA,NA,NA
-10250,109.5,1.44,27.65,-1.15,4.27,NA,NA,NA,NA
-10320,110.5,1.39,27.75,-1.22,4.31,NA,NA,NA,NA
-10380,111.5,1.55,27.62,-1.04,4.26,NA,NA,NA,NA
-10450,112.5,1.4,26.51,-1.1,3.86,NA,NA,NA,NA
-10510,113.5,1.58,27.8,-1.05,4.33,NA,NA,NA,NA
-10570,114.5,1.14,28.3,-1.34,4.53,NA,NA,NA,NA
-10640,115.5,1.55,27.44,-1,4.19,NA,NA,NA,NA
-10700,116.5,1.34,27.7,-1.27,4.29,NA,NA,NA,NA
-10760,117.5,1.31,26.71,-1.09,3.93,NA,NA,NA,NA
-10830,118.5,1.57,27.78,-1.05,4.32,NA,NA,NA,NA
-10890,119.5,1.45,27.68,-1.15,4.28,NA,NA,NA,NA
-10960,120.5,1.27,26.6,-1.11,3.89,NA,NA,NA,NA
-11020,121.5,1.25,27.28,-1.26,4.13,NA,NA,NA,NA
-11080,122.5,1.23,28.03,-1.17,4.42,NA,NA,NA,NA
-11150,123.5,1.18,26.95,-1.27,4.01,NA,NA,NA,NA
-11210,124.5,1.39,27.82,-1.24,4.34,NA,NA,NA,NA
-11280,125.5,1.37,27.57,-1.21,4.24,NA,NA,NA,NA
-11340,126.5,1.18,27.22,-1.33,4.11,NA,NA,NA,NA
-11400,127.5,1.24,27.37,-1.3,4.17,NA,NA,NA,NA
-11470,128.5,1.34,27.23,-1.17,4.11,NA,NA,NA,NA
-11530,129.5,1.5,28.15,-1.2,4.47,NA,NA,NA,NA
-11600,130.5,1.47,27.74,-1.15,4.31,NA,NA,NA,NA
-11660,131.5,1.37,27.75,-1.24,4.31,NA,NA,NA,NA
-11720,132.5,1.16,27.59,-1.42,4.25,NA,NA,NA,NA
-11790,133.5,1.34,27.58,-1.24,4.25,NA,NA,NA,NA
-11850,134.5,1.28,27.4,-1.26,4.18,NA,NA,NA,NA
-11910,135.5,1.48,28.47,-1.1,4.6,NA,NA,NA,NA
-11980,136.5,1.44,27.61,-1.15,4.26,NA,NA,NA,NA
-12040,137.5,1.34,27.37,-1.2,4.16,NA,NA,NA,NA
-12110,138.5,1.51,27.78,-1.11,4.32,NA,NA,NA,NA
-12170,139.5,1.22,27.87,-1.42,4.36,NA,NA,NA,NA
-12230,140.5,1.51,27.38,-1.03,4.17,NA,NA,NA,NA
-12300,141.5,1.28,27.11,-1.2,4.07,NA,NA,NA,NA
-12360,142.5,1.38,27.35,-1.15,4.16,NA,NA,NA,NA
-12430,143.5,1.63,27.07,-0.84,4.05,NA,NA,NA,NA
-12490,144.5,1.57,27.55,-1,4.23,NA,NA,NA,NA
-12650,145.5,1.97,27.71,-0.63,4.3,NA,NA,NA,NA
-12820,146.5,1.95,27.53,-0.62,4.23,NA,NA,NA,NA
-12980,147.5,2,27.6,-0.58,4.25,NA,NA,NA,NA
-13140,148.5,2.1,27.75,-0.51,4.31,NA,NA,NA,NA
-13300,149.5,2.07,27.11,-0.41,4.07,NA,NA,NA,NA
-13470,150.5,2.13,27.64,-0.46,4.27,NA,NA,NA,NA
-13630,151.5,2.1,27.15,-0.39,4.08,NA,NA,NA,NA
-13790,152.5,2.24,27.75,-0.37,4.31,NA,NA,NA,NA
-13950,153.5,2.32,27.74,-0.29,4.31,NA,NA,NA,NA
-14120,154.5,2.28,27.4,-0.26,4.18,NA,NA,NA,NA
-14280,155.5,2.23,27.53,-0.33,4.23,NA,NA,NA,NA
-14440,156.5,2.19,26.64,-0.19,3.9,NA,NA,NA,NA
-14510,157.5,2.18,27.16,-0.31,4.09,NA,NA,NA,NA
-14580,158.5,2.1,27.2,-0.4,4.1,NA,NA,NA,NA
-14640,159.5,1.89,26.06,-0.37,3.7,NA,NA,NA,NA
-14710,160.5,2.11,26.55,-0.25,3.87,NA,NA,NA,NA
-14780,161.5,1.98,26.42,-0.36,3.83,NA,NA,NA,NA
-14850,162.5,2.16,26.28,-0.15,3.78,NA,NA,NA,NA
-14920,163.5,2.1,26.55,-0.26,3.87,NA,NA,NA,NA
-14990,164.5,2,26.48,-0.34,3.85,NA,NA,NA,NA
-15050,165.5,2.01,26.34,-0.31,3.8,NA,NA,NA,NA
-15120,166.5,2.16,26.44,-0.19,3.83,NA,NA,NA,NA
-15190,167.5,2.14,26.36,-0.19,3.81,NA,NA,NA,NA
-15260,168.5,2.14,26.29,-0.17,3.78,NA,NA,NA,NA
-15330,169.5,1.98,25.91,-0.25,3.65,NA,NA,NA,NA
-15390,170.5,1.8,25.82,-0.41,3.62,NA,NA,NA,NA
-15460,171.5,1.89,25.77,-0.31,3.61,NA,NA,NA,NA
-15530,172.5,1.95,25.99,-0.3,3.68,NA,NA,NA,NA
-15600,173.5,1.97,25.92,-0.27,3.66,NA,NA,NA,NA
-15670,174.5,1.9,25.81,-0.31,3.62,NA,NA,NA,NA
-15730,175.5,1.66,25.4,-0.47,3.49,NA,NA,NA,NA
-15800,176.5,1.6,25.37,-0.52,3.48,NA,NA,NA,NA
-15870,177.5,1.79,25.92,-0.44,3.66,NA,NA,NA,NA
-15940,178.5,1.78,25.85,-0.44,3.63,NA,NA,NA,NA
-16010,179.5,1.81,25.73,-0.38,3.59,NA,NA,NA,NA
-16080,180.5,1.73,25.41,-0.4,3.49,NA,NA,NA,NA
-16140,181.5,1.79,25.27,-0.31,3.45,NA,NA,NA,NA
-16210,182.5,1.87,25.59,-0.3,3.55,NA,NA,NA,NA
-16280,183.5,1.63,25.33,-0.48,3.47,NA,NA,NA,NA
-16350,184.5,1.51,25,-0.53,3.37,NA,NA,NA,NA
-16420,185.5,1.64,25.29,-0.46,3.46,NA,NA,NA,NA
-16480,186.5,1.71,25.28,-0.39,3.45,NA,NA,NA,NA
-16550,187.5,NA,24.93,NA,3.35,NA,NA,NA,NA
-16620,188.5,1.56,24.43,-0.36,3.2,NA,NA,NA,NA
-16750,189.5,1.55,24.64,-0.42,3.26,NA,NA,NA,NA
-16890,190.5,NA,24.65,NA,3.26,NA,NA,NA,NA
-17020,191.5,1.36,24.69,-0.62,3.27,NA,NA,NA,NA
-17150,192.5,1.65,25.31,-0.45,3.46,NA,NA,NA,NA
-17280,193.5,1.6,24.96,-0.43,3.35,NA,NA,NA,NA
-17420,194.5,NA,NA,-0.42,NA,NA,NA,NA,NA
-17550,195.5,1.75,25.47,-0.39,3.51,NA,NA,NA,NA
-17680,196.5,1.68,25.43,-0.45,3.5,NA,NA,NA,NA
-17820,197.5,1.58,24.86,-0.44,3.32,NA,NA,NA,NA
-17950,198.5,1.78,25.7,-0.41,3.59,NA,NA,NA,NA
-18080,199.5,1.6,25.47,-0.54,3.51,NA,NA,NA,NA
-18220,200.5,1.64,25.64,-0.54,3.57,NA,NA,NA,NA
-18350,201.5,1.57,25.19,-0.51,3.42,NA,NA,NA,NA
-18480,202.5,NA,25.64,NA,3.56,NA,NA,NA,NA
-18610,203.5,1.82,26.09,-0.45,3.71,NA,NA,NA,NA
-18750,204.5,1.81,25.92,-0.42,3.66,NA,NA,NA,NA
-18880,205.5,1.68,25.17,-0.39,3.42,NA,NA,NA,NA
-19010,206.5,1.89,25.51,-0.25,3.52,NA,NA,NA,NA
-19150,207.5,1.73,25.54,-0.42,3.53,NA,NA,NA,NA
-19280,208.5,1.66,25.23,-0.43,3.44,NA,NA,NA,NA
-19410,209.5,1.87,26.25,-0.43,3.77,NA,NA,NA,NA
-19550,210.5,1.81,25.82,-0.4,3.62,NA,NA,NA,NA
-19680,211.5,1.84,25.66,-0.34,3.57,NA,NA,NA,NA
-19810,212.5,1.61,25.78,-0.59,3.61,NA,NA,NA,NA
-19940,213.5,1.73,25.62,-0.44,3.56,NA,NA,NA,NA
-20080,214.5,1.69,25.88,-0.53,3.64,NA,NA,NA,NA
-20210,215.5,1.68,25.92,-0.56,3.66,NA,NA,NA,NA
-20340,216.5,1.69,26.04,-0.57,3.7,NA,NA,NA,NA
-20480,217.5,1.78,26.3,-0.53,3.78,NA,NA,NA,NA
-20610,218.5,1.76,26.1,-0.51,3.72,NA,NA,NA,NA
-20740,219.5,1.82,26.29,-0.49,3.78,NA,NA,NA,NA
-20870,220.5,1.69,25.97,-0.55,3.67,NA,NA,NA,NA
-21010,221.5,1.85,26.09,-0.42,3.71,NA,NA,NA,NA
-21140,222.5,1.9,26,-0.35,3.68,NA,NA,NA,NA
-21270,223.5,1.77,25.84,-0.44,3.63,NA,NA,NA,NA
-21410,224.5,1.72,25.57,-0.44,3.54,NA,NA,NA,NA
-21540,225.5,1.77,25.57,-0.39,3.54,NA,NA,NA,NA
-21670,226.5,1.82,26.21,-0.48,3.75,NA,NA,NA,NA
-21810,227.5,1.89,26.21,-0.4,3.75,NA,NA,NA,NA
-21940,228.5,1.68,25.73,-0.52,3.59,NA,NA,NA,NA
-22070,229.5,1.64,25.43,-0.49,3.5,NA,NA,NA,NA
-22200,230.5,1.68,25.31,-0.42,3.46,NA,NA,NA,NA
-22340,231.5,1.83,25.84,-0.39,3.63,NA,NA,NA,NA
-22470,232.5,1.79,25.58,-0.37,3.55,NA,NA,NA,NA
-22600,233.5,1.78,25.76,-0.42,3.6,NA,NA,NA,NA
-22740,234.5,1.72,25.56,-0.44,3.54,NA,NA,NA,NA
-22870,235.5,1.87,25.72,-0.32,3.59,NA,NA,NA,NA
-23000,236.5,1.82,26.38,-0.32,3.81,NA,NA,NA,NA
-23140,237.5,1.8,25.65,-0.37,3.57,NA,NA,NA,NA
-23270,238.5,1.65,24.78,-0.34,3.3,NA,NA,NA,NA
-23400,239.5,1.64,25.01,-0.4,3.37,NA,NA,NA,NA
-23530,240.5,1.57,24.83,-0.44,3.32,NA,NA,NA,NA
-23670,241.5,1.71,25.39,-0.41,3.49,NA,NA,NA,NA
-23800,242.5,1.72,25.48,-0.42,3.52,NA,NA,NA,NA
-23930,243.5,1.62,25.24,-0.47,3.44,NA,NA,NA,NA
-24070,244.5,1.52,25.08,-0.53,3.39,NA,NA,NA,NA
-24200,245.5,1.71,25.76,-0.49,3.6,NA,NA,NA,NA
-24330,246.5,1.71,26.01,-0.55,3.69,NA,NA,NA,NA
-24460,247.5,1.47,25.58,-0.69,3.55,NA,NA,NA,NA
-24600,248.5,1.55,25.27,-0.55,3.45,NA,NA,NA,NA
-24730,249.5,1.64,25.66,-0.54,3.57,NA,NA,NA,NA
-24860,250.5,1.61,26.06,-0.66,3.7,NA,NA,NA,NA
-25000,251.5,1.71,25.71,-0.48,3.59,NA,NA,NA,NA
-25130,252.5,1.65,25.67,-0.53,3.57,NA,NA,NA,NA
-25260,253.5,1.56,26.2,-0.73,3.75,NA,NA,NA,NA
-25400,254.5,1.69,26.19,-0.6,3.75,NA,NA,NA,NA
-25530,255.5,1.71,26.44,-0.63,3.83,NA,NA,NA,NA
-25660,256.5,NA,26.05,NA,3.7,NA,NA,NA,NA
-25790,257.5,NA,26.14,NA,3.73,NA,NA,NA,NA
-25930,258.5,1.62,26.29,-0.69,3.78,NA,NA,NA,NA
-26060,259.5,1.72,26.7,-0.67,3.92,NA,NA,NA,NA
-26190,260.5,1.75,26.02,-0.51,3.69,NA,NA,NA,NA
-26330,261.5,1.77,26.32,-0.54,3.79,NA,NA,NA,NA
-26460,262.5,1.59,25.55,-0.57,3.54,NA,NA,NA,NA
-26590,263.5,1.6,25.83,-0.62,3.63,NA,NA,NA,NA
-26720,264.5,NA,25.55,NA,3.54,NA,NA,NA,NA
-26860,265.5,1.43,25.99,-0.82,3.68,NA,NA,NA,NA
-26990,266.5,1.7,26.78,-0.72,3.95,NA,NA,NA,NA
-27120,267.5,1.74,26.15,-0.54,3.73,NA,NA,NA,NA
-27260,268.5,1.77,26.21,-0.52,3.75,NA,NA,NA,NA
-27390,269.5,1.73,26.24,-0.57,3.76,NA,NA,NA,NA
-27520,270.5,1.93,26.46,-0.42,3.84,NA,NA,NA,NA
-27660,271.5,1.67,25.5,-0.48,3.52,NA,NA,NA,NA
-27790,272.5,1.68,25.93,-0.55,3.66,NA,NA,NA,NA
-27920,273.5,1.77,26.24,-0.53,3.76,NA,NA,NA,NA
-28050,274.5,1.53,26.12,-0.74,3.72,NA,NA,NA,NA
-28190,275.5,NA,NA,-0.55,NA,NA,NA,NA,NA
-28320,276.5,1.66,25.99,-0.59,3.68,NA,NA,NA,NA
-28450,277.5,1.51,25.81,-0.7,3.62,NA,NA,NA,NA
-28590,278.5,1.52,25.98,-0.73,3.68,NA,NA,NA,NA
-28720,279.5,1.42,25.76,-0.78,3.6,NA,NA,NA,NA
-28850,280.5,1.72,24.92,-0.58,3.34,NA,NA,NA,NA
-28990,281.5,1.68,26.16,-0.6,3.74,NA,NA,NA,NA
-29120,282.5,1.6,25.69,-0.59,3.58,NA,NA,NA,NA
-29250,283.5,1.46,25.61,-0.71,3.56,NA,NA,NA,NA
-29380,284.5,NA,NA,-0.63,NA,NA,NA,NA,NA
-29520,285.5,1.6,25.73,-0.59,3.59,NA,NA,NA,NA
-29650,286.5,1.64,26.46,-0.7,3.84,NA,NA,NA,NA
