depth (m),age (BP),temperature (degC),depth (m),temperature (degC),planktic.d18O (degC),temperature; planktic.d18OComposite (degC),depth (m),planktic.d13C (permil),CaCO3 (permil),d18O (percent),d13C (permil),TOC (permil),depth (m),temperature (percent)
0.625,6600,26.7,0.6,25.4,24.7,-0.268,0.6,-1.69,1.29,69.76,2.41,0.17,0.62,0.64
0.65,6960,27.1,0.625,26.2,24.6,0.082,0.62,-1.79,1.35,70.4,2.38,0.1,0.65,0.8
0.675,7320,26.8,0.65,26.3,25,0.332,0.65,-1.91,1.32,67.93,NA,NA,0.68,0.83
0.7,7680,26.9,0.675,25.4,25.1,-0.068,0.68,-1.62,1.14,66.81,2.39,0.07,0.7,0.81
0.725,7860,27,0.7,24.7,24.5,-0.718,0.7,-1.58,0.99,68.72,2.63,0.13,0.72,0.91
0.75,8040,27,0.725,25.5,24.6,-0.268,0.72,NA,NA,66.53,NA,NA,0.75,0.86
0.775,8220,26.6,0.75,24.4,24.4,-0.918,0.75,-1.6,1.19,68.5,NA,NA,0.78,0.93
0.8,8410,26.9,0.775,25.3,24.8,-0.268,0.78,-1.69,1.18,66.78,2.58,0,0.8,0.75
0.825,8710,26.7,0.8,25.8,24.5,-0.168,0.8,-1.79,1.09,69.8,3.04,0.1,0.82,0.83
0.85,9020,26.7,0.825,25.5,24.5,-0.318,0.82,-1.41,1.1,68.93,2.7,0.14,0.85,0.67
0.875,9320,26.7,0.85,24.2,24,-1.218,0.85,-1.38,1.05,69.64,2.63,0.16,0.9,0.69
0.9,9620,26.6,0.875,26,25.2,0.282,0.88,-1.45,1.01,67.84,2.95,-0.29,0.92,0.51
0.925,9930,26.7,0.9,25.6,24.9,-0.068,0.9,-1.51,1.16,70.02,2.56,0.23,0.98,0.46
0.95,10230,26.4,0.925,26.2,24.9,0.232,0.92,-0.97,0.87,70.89,2.59,0.06,1,0.32
0.975,10540,26.5,0.95,26.1,26.3,0.882,0.95,-1.14,0.86,67.55,3.02,0.05,1.02,0.37
1,10780,26.4,0.975,26.6,25.3,0.632,0.98,-0.94,0.94,67.76,2.69,-0.15,1.05,0.42
1.025,11030,26.3,1,26.2,25.9,0.732,1,-0.88,1.03,67.19,3.23,-0.16,1.08,0.6
1.05,11280,26.2,1.025,26.1,26.2,0.832,1.02,-0.79,0.85,68.3,3.1,0.01,1.1,0.56
NA,NA,NA,1.05,25.7,25.9,0.482,1.05,-0.67,0.89,69.94,3.32,-0.1,1.12,0.68
NA,NA,NA,1.075,26.4,25.6,0.682,1.08,-0.87,0.84,68.8,3.45,-0.1,1.15,0.69
NA,NA,NA,1.1,26.4,25.7,0.732,1.1,-0.74,0.65,70.07,3.37,-0.14,1.18,0.64
NA,NA,NA,1.125,26.6,25.8,0.882,1.12,-0.85,0.94,68,3.39,0.49,1.2,0.57
NA,NA,NA,1.15,26.4,25.8,0.782,1.15,-0.89,1.06,68.1,3.18,-0.26,1.22,0.38
NA,NA,NA,1.175,26.9,25.4,0.832,1.18,-1.09,0.69,69.26,3.17,-0.19,1.25,0.5
NA,NA,NA,1.2,26.7,25.7,0.882,1.2,-0.73,0.83,66.18,3.02,-0.25,1.28,0.34
NA,NA,NA,1.225,26.7,26,1.032,1.22,-0.62,0.7,66.81,3.39,-0.03,1.3,0.27
NA,NA,NA,1.25,26.8,26,1.082,1.25,-0.79,0.54,68.15,3.49,-0.03,1.32,0.23
NA,NA,NA,1.275,26.6,26.6,1.282,1.28,-0.34,0.7,62.17,NA,NA,1.35,0.24
NA,NA,NA,1.3,25.8,26.1,0.632,1.3,-0.15,0.67,60.43,NA,NA,1.38,0.28
NA,NA,NA,1.325,25.9,26.1,0.682,1.32,-0.39,0.56,58.76,NA,NA,1.4,0.35
NA,NA,NA,1.35,26,26.7,1.032,1.35,-0.45,0.66,58.57,4.05,0.18,1.42,0.4
NA,NA,NA,1.375,25.3,26.2,0.432,1.38,-0.05,0.59,58.13,NA,NA,1.45,0.5
NA,NA,NA,1.4,25.8,26.4,0.782,1.4,-0.08,0.65,58.89,3.83,-0.37,1.48,0.53
NA,NA,NA,1.425,26.3,25.1,0.382,1.42,-0.09,0.74,59.85,3.99,-0.41,1.5,0.6
NA,NA,NA,1.45,24.8,26.2,0.182,1.45,-0.15,0.76,59.22,3.88,-0.25,1.52,0.74
NA,NA,NA,1.475,26.2,25.3,0.432,1.48,-0.22,0.53,61.33,3.92,0.04,1.55,0.74
NA,NA,NA,1.5,25,25.8,0.082,1.5,-0.26,0.31,60.69,3.95,-0.16,1.58,0.87
NA,NA,NA,1.525,26.2,25.1,0.332,1.52,-0.01,0.66,61.69,4.02,-0.34,1.6,0.87
NA,NA,NA,1.55,24.6,24.9,-0.568,1.55,-0.19,0.75,62.9,3.96,-0.69,1.62,0.86
NA,NA,NA,1.575,25.2,24.6,-0.418,1.58,-0.09,0.69,61.48,3.83,-0.33,1.65,0.81
NA,NA,NA,1.6,24.6,25.1,-0.468,1.6,-0.3,0.69,61.12,4.02,-0.31,1.68,0.92
NA,NA,NA,1.625,25.1,24.6,-0.468,1.62,-0.2,0.52,60.02,3.93,-0.3,1.7,0.93
NA,NA,NA,1.65,23.8,23.8,-1.518,1.65,-0.04,0.81,61.27,3.98,-0.39,1.72,0.74
NA,NA,NA,1.675,25.5,24.7,-0.218,1.68,-0.47,0.81,60.53,3.95,-0.49,1.75,0.9
NA,NA,NA,1.7,24.8,24.4,-0.718,1.7,-0.12,0.66,61.56,4.02,-0.61,1.78,0.85
NA,NA,NA,1.725,26.2,24.1,-0.168,1.72,-0.13,0.61,62.05,4.1,-0.23,1.8,0.87
NA,NA,NA,1.75,23.6,23.8,-1.618,1.75,-0.26,0.64,60.49,4.2,-0.35,1.82,0.87
NA,NA,NA,1.8,23.6,24.5,-1.268,1.78,-0.43,0.58,60.83,4.11,-0.3,1.85,0.78
NA,NA,NA,1.825,25.3,26,0.332,1.8,0.01,0.95,60.7,4.06,-0.24,1.88,0.8
NA,NA,NA,1.85,25,23.9,-0.868,1.82,-0.13,0.87,60.64,3.93,-0.37,1.9,0.83
NA,NA,NA,1.875,25.8,24.7,-0.068,1.85,0.02,0.74,59.85,3.92,-0.35,1.92,0.74
NA,NA,NA,1.9,24.2,24.7,-0.868,1.88,-0.17,0.47,59.4,3.96,-0.43,1.95,0.8
NA,NA,NA,1.925,25.3,24.9,-0.218,1.9,-0.03,0.86,60.32,4.09,-0.44,1.98,0.88
NA,NA,NA,1.95,24.4,25.3,-0.468,1.92,-0.22,0.71,61.66,3.82,-0.46,2,0.78
NA,NA,NA,1.975,25.9,24.5,-0.118,1.95,-0.05,0.86,59.95,3.88,-0.5,NA,NA
NA,NA,NA,2,25.2,24.8,-0.318,1.98,-0.24,0.64,60.94,3.79,-0.44,NA,NA
NA,NA,NA,NA,NA,NA,NA,2,-0.51,0.64,61.19,3.84,-0.5,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.02,-0.28,0.93,59.45,3.64,-0.39,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.05,-0.18,0.75,59.14,3.87,-0.52,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.08,-0.27,0.84,60.77,3.45,-0.42,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.1,-0.11,0.81,61.56,4.01,-0.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.12,-0.06,0.83,60.09,3.85,-0.26,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.15,-0.32,0.72,61.05,3.84,-0.27,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.18,-0.27,0.94,60.93,3.88,-0.35,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.2,-0.29,0.89,58.62,3.96,-0.35,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.22,-0.35,0.57,59.86,4,-0.19,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.25,-0.21,1.03,61.73,3.87,-0.34,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.28,-0.21,0.79,58.9,3.84,-0.37,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.3,-0.24,0.6,61.17,3.61,-0.64,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.32,-0.4,0.91,58.9,3.44,-0.35,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.35,-0.81,0.33,71.5,3.85,-0.3,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.38,-0.44,0.53,62.59,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.4,-0.61,0.67,63.84,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.42,-0.45,0.71,62.88,3.75,-0.13,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.45,-1.05,0.7,64.6,3.46,-0.33,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.48,-0.73,0.39,76.37,3.37,-0.2,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.5,-0.49,0.62,60.48,3.73,-0.34,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.52,-0.59,0.98,61.05,2.56,-0.97,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.55,-0.44,0.89,58.81,2.95,-0.86,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.58,-0.26,1.11,58.68,3.84,-0.29,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.6,-0.04,0.94,57.64,3.64,-0.15,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.62,-0.41,0.97,59.29,3.76,-0.06,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.65,-0.2,1.02,57.4,3.58,-0.3,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.68,-0.18,0.96,57.96,3.62,-0.29,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.7,-0.27,0.95,54.24,2.02,0.26,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.72,-0.24,1.03,54.36,3.61,-0.19,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.75,-0.24,0.85,54.52,3.76,-0.12,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.78,-0.35,1.06,57.33,3.78,-0.14,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.8,-0.43,0.8,58.49,3.74,-0.21,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.82,-0.48,0.83,60.77,3.72,-0.12,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.85,-0.45,0.84,58.22,3.63,-0.25,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.88,-0.3,1.01,58.36,3.8,-0.25,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.9,-0.72,0.69,56.21,3.72,-0.21,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.92,-0.46,1,57.93,3.66,-0.1,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.95,-0.58,0.7,58.54,3.44,-0.25,NA,NA
NA,NA,NA,NA,NA,NA,NA,2.98,-0.56,0.78,59.89,3.3,-0.39,NA,NA
NA,NA,NA,NA,NA,NA,NA,3,-0.65,0.95,58.74,3.6,-0.05,NA,NA
NA,NA,NA,NA,NA,NA,NA,3.02,-0.73,0.88,59.7,3.39,-0.44,NA,NA
NA,NA,NA,NA,NA,NA,NA,3.05,-0.44,1.04,59.9,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,3.08,-0.76,0.87,59.61,3.72,-0.15,NA,NA
NA,NA,NA,NA,NA,NA,NA,3.1,-0.65,0.84,59.62,3.45,-0.27,NA,NA
