depth (cm),age (BP),Picea (percent),Sequoia (percent),Quercus (percent),Alnus (percent),depthRange (cm),Calibrated (missing),depth (cm),age (BP),depthRange (cm),Calibrated (missing),Fragilariopsis (percent),depth (cm),age (BP),Dc_stapedia (percent),Dc_stapedia_aspinosa (percent),Dc_stapedia_spinosa (percent),total_Dc_stapedia (percent),S_speculum_var_minutus (percent),depthRange (cm),Calibrated (missing)
193,2571.75,3.934,21.639,11.803,19.016,192-194,CAL,179.5,2429.28,-1,CAL,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,2596.95,6.015,24.06,15.288,25.564,196-198,CAL,184.5,2516.25,-1,CAL,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,2641.06,4.207,23.301,16.181,22.33,203-205,CAL,189.5,2547.74,-1,CAL,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,2672.57,2.31,25.083,17.492,21.122,208-210,CAL,194.5,2579.22,-1,CAL,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,2704.08,3.086,23.765,17.901,22.84,213-215,CAL,199.5,2610.71,-1,CAL,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,2735.59,5.521,23.926,14.11,22.086,218-220,CAL,204.5,2642.19,-1,CAL,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,2760.79,3.63,21.452,19.802,19.142,222-224,CAL,209.5,2673.67,-1,CAL,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,2792.3,3.165,22.785,19.937,23.418,227-229,CAL,214.5,2705.16,-1,CAL,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,2823.81,3.247,22.078,19.805,18.831,232-234,CAL,219.5,2736.64,-1,CAL,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,2861.62,2.875,23.962,23.642,17.891,238-240,CAL,224.5,2768.13,-1,CAL,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,2893.13,4.319,20.598,19.601,20.266,243-245,CAL,229.5,2799.61,-1,CAL,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,2918.33,3.544,18.987,19.494,22.785,247-249,CAL,234.5,2831.1,-1,CAL,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,2956.14,7.767,23.948,17.799,20.712,253-255,CAL,239.5,2862.58,-1,CAL,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,2987.65,8.917,16.242,20.382,14.65,258-260,CAL,244.5,2894.07,-1,CAL,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
264,3019.16,6.977,18.937,23.92,12.292,263-265,CAL,249.5,2925.55,-1,CAL,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,3050.67,8.039,19.614,17.042,15.113,268-270,CAL,254.5,2957.04,-1,CAL,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,3075.87,5.229,13.725,17.974,20.588,272-275,CAL,259.5,2988.52,-1,CAL,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,3113.68,8.581,21.452,15.512,22.112,278-280,CAL,264.5,3020.01,-1,CAL,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,3145.19,7.767,19.741,17.799,16.181,283-285,CAL,269.5,3051.49,-1,CAL,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
289,3176.7,7.143,18.182,13.636,25.325,288-290,CAL,274.5,3082.98,-1,CAL,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
293,3201.91,6.796,20.712,19.094,17.476,292-294,CAL,279.5,3114.46,-1,CAL,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,3233.41,8.143,25.733,13.681,18.241,297-299,CAL,284.5,3145.95,-1,CAL,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,3312.29,11.111,22.222,11.438,15.359,309-311,CAL,289.5,3177.43,-1,CAL,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
318,3366.72,6.329,17.089,15.19,23.101,317-319,CAL,294.5,3208.92,-1,CAL,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,3434.75,6.977,17.608,14.95,20.598,327-329,CAL,298.5,3234.11,-2,CAL,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,3502.79,5.751,19.169,17.891,19.169,337-339,CAL,299.5,3240.4,-1,CAL,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,3570.82,6.27,17.868,16.301,21.003,347-349,CAL,308.5,3300,-1,CAL,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
358,3857.51,9.907,22.91,12.384,14.241,357-359,CAL,318.5,3368.82,-1,CAL,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
368,4104.34,10.18,22.455,11.078,13.772,367-369,CAL,328.5,3437.64,-1,CAL,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
378,4201.47,12.903,22.258,9.677,8.065,377-379,CAL,338.5,3506.46,-1,CAL,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
387,4288.88,9.317,24.224,12.112,8.696,387=89,CAL,348,3571.84,-2,CAL,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
399,4405.43,10.736,19.632,14.724,13.19,398-400,CAL,359,3890.14,-2,CAL,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
410,4512.27,10.784,26.471,11.111,13.725,409-411,CAL,369,4115.82,-2,CAL,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,4599.69,13.018,23.964,14.793,15.68,418-420,CAL,378,4203.19,-2,CAL,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
429,4696.81,11.401,21.824,15.309,11.075,428-430,CAL,388.5,4305.12,-2,CAL,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
439,4793.94,11.254,20.579,15.756,12.54,438-440,CAL,399,4407.05,-2,CAL,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
449,4891.06,10.526,22.697,14.803,12.829,448-440,CAL,408,4494.42,-2,CAL,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
459,4988.19,7.571,24.921,15.142,9.464,458-460,CAL,419,4601.21,-2,CAL,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
469,5085.32,12.42,22.93,13.694,8.599,468-470,CAL,428,4688.57,-2,CAL,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
479,5182.44,9.061,19.417,9.709,17.152,478-480,CAL,439,4795.36,-2,CAL,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
489,5279.57,12.945,21.036,11.003,15.21,488-490,CAL,449,4892.44,-2,CAL,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
499,5376.69,8.667,16.667,15,16.667,498-500,CAL,459,4989.52,-2,CAL,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
508,5464.11,12.211,14.521,13.861,20.792,507-509,CAL,469,5086.59,-2,CAL,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
519,5570.95,9.446,14.658,15.309,21.498,518-520,CAL,479,5183.67,-2,CAL,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
529,5668.07,10.972,11.599,15.674,20.376,528-530,CAL,489,5280.75,-2,CAL,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
539,5765.2,7.233,12.893,12.264,13.522,538-540,CAL,499,5377.82,-2,CAL,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
547,5842.9,11.859,13.141,10.577,16.026,546-548,CAL,509,5474.9,-2,CAL,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
557,5940.03,15.738,14.426,11.475,15.082,556-558,CAL,519,5571.98,-2,CAL,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
567,6037.15,15.534,12.298,12.945,15.858,566-568,CAL,529,5669.06,-2,CAL,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
577,6134.28,13.782,13.141,12.821,21.474,576-578,CAL,538,5756.43,-2,CAL,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
587,6231.4,14.366,20.282,10.423,18.31,586-588,CAL,547,5843.8,-2,CAL,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
597,6328.53,12.333,11.333,12.333,21.333,596-598,CAL,557.5,5945.73,-2,CAL,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
607,6425.66,8.455,12.536,15.16,21.283,606-608,CAL,567,6037.95,-2,CAL,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
617,6522.78,7.492,14.984,21.824,14.658,616-618,CAL,578,6144.74,-2,CAL,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
627,6862,12.333,9.667,16.333,18,626-628,CAL,588,6241.81,-2,CAL,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
637,6941.59,12.011,11.453,12.57,16.201,636-638,CAL,597,6329.18,-2,CAL,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
647,7021.18,7.862,10.377,17.61,19.811,646-648,CAL,607,6426.26,-2,CAL,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
657,7100.78,10.85,15.543,14.663,12.903,656-658,CAL,618,6533.05,-2,CAL,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
667,7180.37,9.464,10.095,16.088,18.927,666-668,CAL,627.5,6867.43,-2,CAL,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
677.5,7259.96,11.392,8.861,16.456,15.506,676.5-678.5,CAL,638,6951.02,-2,CAL,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
687,7335.57,11.079,14.577,14.869,13.411,686-688,CAL,647.5,7026.64,-2,CAL,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,657.5,7106.24,-2,CAL,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,667.5,7185.84,-2,CAL,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,678,7265.44,-2,CAL,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,686.5,7333.1,-2,CAL,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
