depth (m),age (BP),temperature (degC),Uk37 (missing),depth (m),planktic.d18O (permil),depth (m),temperature (degC),planktic.MgCa (mmol_mol),depth (m),age (BP),d18O (permil),d13C (permil)
0.705,5864,10.747,0.404,0.685,1.89,2.425,13.06,1.917,0.665,5590,3.192,1.028
0.725,6000,10.698,0.403,0.705,1.908,2.525,13.06,1.917,0.685,5730,2.926,0.919
0.745,6136,10.452,0.394,0.725,1.916,2.605,12.87,1.878,0.705,5860,2.855,0.975
0.765,6271,10.364,0.391,0.745,1.812,2.705,11.69,1.656,0.725,6000,2.853,1.049
0.785,6407,10.592,0.399,0.765,1.844,2.805,10.19,1.41,0.745,6140,3.128,0.983
0.805,6543,10.653,0.401,0.785,1.871,2.905,10.85,1.514,0.765,6270,3.166,0.651
0.825,6678,10.611,0.4,0.805,2.114,3.005,12.73,1.851,0.785,6410,3.064,1.128
0.845,6814,10.803,0.406,0.825,2.025,3.105,9.78,1.35,0.805,6540,3.886,0.873
0.865,6950,10.971,0.412,0.845,2.085,3.205,8.52,1.179,0.845,6810,3.114,0.845
0.885,7085,10.958,0.412,0.865,1.886,3.305,8.44,1.17,0.865,6950,3.157,0.927
0.905,7221,10.917,0.41,0.885,2.073,3.405,6.98,1,0.885,7090,3.084,0.825
0.925,7357,11.057,0.415,0.905,1.852,3.485,6.38,0.938,0.905,7220,3.073,0.946
0.945,7493,10.806,0.406,0.925,1.954,3.505,9.52,1.312,0.925,7360,3.177,0.694
0.965,7628,10.784,0.406,0.945,1.901,3.605,7.51,1.059,0.945,7490,3.173,0.689
0.985,7764,10.89,0.409,0.965,1.803,3.705,7.76,1.087,0.985,7760,3.25,1.004
1.005,7844,10.97,0.412,0.985,1.789,3.785,10.13,1.401,1.005,7840,3.264,0.476
1.025,7924,11.492,0.43,1.005,1.822,3.805,11.06,1.547,1.045,8000,3.104,0.891
1.065,8084,11.405,0.427,1.025,1.824,3.825,8.37,1.161,1.065,8080,3.07,0.658
1.105,8244,11.583,0.433,1.045,2.035,3.905,7.82,1.095,1.085,8160,3.288,0.508
1.145,8404,12.331,0.458,1.065,1.985,4.005,7.39,1.045,1.105,8240,2.953,0.693
1.185,8564,12.896,0.477,1.085,1.873,4.105,9.42,1.298,1.125,8320,3.233,0.819
1.225,8724,12.824,0.475,1.105,2.107,4.205,9.63,1.328,1.145,8400,3.174,0.784
1.265,8884,12.867,0.476,1.125,1.911,4.305,8.14,1.133,1.165,8480,2.826,0.614
1.305,9044,13.26,0.49,1.145,1.997,4.405,8.61,1.191,1.185,8560,3.153,0.829
1.345,9204,13.178,0.487,1.165,2.066,4.51,9.14,1.26,1.205,8640,3.691,0.912
1.385,9364,13.2,0.488,1.185,1.949,4.61,10.2,1.412,1.225,8720,3.16,0.755
1.425,9524,13.409,0.495,1.205,1.923,4.71,10.07,1.392,1.245,8800,3.362,0.771
1.485,9764,13.283,0.491,1.225,1.817,4.81,7.58,1.067,1.265,8880,3.606,1.12
1.525,9924,13.144,0.486,1.245,2.028,4.91,7.51,1.059,1.285,8960,3.231,0.805
1.565,10084,13.038,0.482,1.265,1.955,5.01,8.96,1.236,1.305,9040,3.267,0.785
1.605,10244,13.168,0.487,1.285,1.983,5.11,8.09,1.126,1.325,9120,3.28,0.708
1.645,10404,12.811,0.475,1.305,1.872,5.21,10.06,1.39,1.345,9200,3.433,0.793
1.685,10564,13.128,0.485,1.325,1.764,5.31,9.97,1.377,1.365,9280,3.246,0.743
1.745,10804,13.724,0.506,1.345,1.758,5.41,8.85,1.222,1.385,9360,3.199,0.743
1.765,10884,13.922,0.512,1.365,1.895,5.51,6.6,0.96,1.405,9440,3.346,0.775
1.805,11044,13.437,0.496,1.385,1.871,5.61,7.64,1.074,1.425,9520,3.383,0.767
1.825,11174,13.127,0.485,1.405,1.723,5.71,10.36,1.437,1.445,9600,3.274,0.764
1.845,11304,13.653,0.503,1.425,1.943,5.81,8.97,1.238,1.465,9680,3.478,0.579
1.865,11434,14.551,0.534,1.445,2.026,5.91,9.26,1.276,1.485,9760,3.401,0.574
1.885,11563,14.518,0.533,1.465,1.912,6.03,8.46,1.172,1.505,9840,4.111,0.424
1.905,11693,13.889,0.511,1.485,1.909,6.11,8.08,1.125,1.525,9920,3.583,0.604
1.925,11823,13.492,0.498,1.505,1.945,6.21,9.86,1.361,1.545,10000,3.314,0.654
1.945,11953,13.518,0.499,1.525,1.777,6.31,9.75,1.346,1.585,10160,3.568,0.96
1.965,12082,13,0.481,1.545,1.613,6.41,8.91,1.23,1.605,10240,3.864,0.713
1.985,12212,13.372,0.494,1.565,1.828,6.51,8.8,1.216,1.625,10320,3.262,0.68
2.005,12342,12.955,0.479,1.585,1.68,6.61,11.01,1.539,1.645,10400,3.788,0.787
2.025,12472,12.508,0.464,1.605,1.826,6.712,11.25,1.579,1.665,10480,3.535,0.162
2.045,12577,12.309,0.458,1.625,1.704,6.812,10.08,1.393,1.685,10560,3.717,0.967
2.065,12682,12.355,0.459,1.645,1.954,6.892,8.49,1.176,1.705,10640,3.546,0.848
2.085,12787,12.083,0.45,1.665,1.875,6.992,8.11,1.129,1.725,10720,3.035,0.452
2.105,12892,12.228,0.455,1.685,1.597,7.112,8.12,1.13,1.745,10800,3.68,0.861
2.145,13102,10.855,0.408,1.705,2.025,7.212,9.19,1.267,1.765,10880,3.949,0.821
2.185,13312,11.267,0.422,1.725,1.781,7.312,8.4,1.164,1.785,10960,3.807,0.86
2.225,13522,10.773,0.405,1.745,2.194,7.412,9.78,1.35,1.805,11040,3.32,0.76
2.245,13627,11.654,0.435,1.765,1.728,7.512,11.28,1.584,1.845,11300,3.664,0.912
2.265,13732,10.786,0.406,1.785,1.617,7.552,10.55,1.466,1.865,11430,3.665,0.832
2.285,13837,10.772,0.405,1.805,1.974,7.612,7.86,1.099,1.885,11560,3.646,0.928
2.305,13942,10.344,0.391,1.825,1.616,7.712,8.21,1.141,1.905,11690,3.781,0.969
2.325,13979,10.537,0.397,1.845,1.312,7.812,8.4,1.164,1.925,11820,3.362,0.586
2.345,14015,10.168,0.385,1.865,1.797,7.912,9.76,1.347,1.945,11950,3.585,0.795
2.365,14052,10.757,0.405,1.885,1.711,8.012,11.05,1.546,1.965,12080,3.751,0.931
2.385,14088,10.676,0.402,1.905,1.452,8.112,10.5,1.457,1.985,12210,3.772,1.129
2.405,14125,11.289,0.423,1.925,1.694,8.212,9.99,1.38,2.005,12340,3.97,0.878
2.425,14162,9.802,0.372,1.945,1.298,8.312,9.28,1.279,2.025,12470,3.728,0.851
2.445,14198,9.694,0.369,1.965,1.894,8.412,9.71,1.34,2.065,12680,3.969,0.928
2.465,14235,9.791,0.372,1.985,1.632,8.512,11.35,1.597,2.085,12790,4.015,0.633
2.485,14272,9.743,0.37,2.005,1.88,8.612,11.56,1.633,2.105,12890,3.982,0.575
2.505,14308,9.906,0.376,2.025,1.467,8.712,12.03,1.717,2.125,13000,4.058,0.592
2.525,14345,10.495,0.396,2.045,1.863,8.812,10.58,1.47,2.145,13100,3.93,0.834
2.545,14476,9.513,0.362,2.065,2.183,8.912,10.92,1.524,2.165,13210,3.756,0.54
2.565,14607,9.173,0.351,2.085,2.011,9.012,9.97,1.377,2.185,13310,4.075,0.698
2.585,14737,9.18,0.351,2.105,1.804,9.112,8.41,1.166,2.205,13420,3.912,0.669
2.605,14868,9.038,0.346,2.125,2.704,9.212,7.95,1.11,2.225,13520,4.109,0.708
2.645,15130,8.686,0.334,2.145,2.327,9.312,7.73,1.084,2.265,13730,4.117,0.801
2.665,15261,8.727,0.336,2.165,2.471,9.412,8.8,1.215,2.285,13840,4.063,0.736
2.685,15392,9.29,0.355,2.185,2.362,9.512,7.57,1.066,2.305,13940,4.253,0.433
2.705,15522,8.714,0.335,2.205,2.391,9.612,9.06,1.25,2.325,13980,4.086,0.683
2.725,15653,8.741,0.336,2.225,2.299,9.712,11.84,1.682,2.345,14020,4.057,0.648
2.745,15784,8.94,0.343,2.245,2.241,9.812,11.54,1.63,2.365,14050,3.954,0.416
2.775,15980,8.606,0.332,2.265,2.462,9.912,10.21,1.413,2.385,14090,4.015,0.705
2.785,16046,8.562,0.33,2.285,2.615,10.012,9.21,1.27,2.405,14130,4.146,0.703
2.805,16176,8.732,0.336,2.305,2.528,10.112,7.42,1.049,2.425,14160,3.934,0.696
2.825,16307,8.775,0.337,2.325,2.407,10.212,9.1,1.255,2.445,14200,3.89,0.728
2.845,16431,8.294,0.321,2.345,1.958,10.312,8.42,1.167,2.465,14240,4.322,0.777
2.865,16536,8.354,0.323,2.365,2.248,10.412,8.46,1.172,2.485,14270,3.939,0.426
2.885,16640,8.153,0.316,2.385,2.003,10.512,10.8,1.505,2.505,14310,4.167,0.77
2.905,16745,8.301,0.321,2.405,2.368,10.612,10.4,1.442,2.525,14350,3.801,0.827
2.925,16849,8.039,0.312,2.425,2.602,10.712,11.19,1.569,2.565,14610,4.397,0.909
2.945,16954,7.792,0.304,2.445,2.404,10.812,9.43,1.3,2.585,14740,4.25,0.872
2.965,17058,8.145,0.316,2.465,2.372,10.912,10.45,1.45,2.605,14870,4.226,0.932
2.985,17163,8.052,0.313,2.485,2.388,11.012,9.37,1.292,2.625,15000,4.45,0.906
3.025,17371,7.361,0.289,2.505,2.348,11.112,10.82,1.509,2.645,15130,4.654,0.884
3.045,17476,7.378,0.29,2.525,2.118,11.212,10.25,1.42,2.665,15260,4.377,0.891
3.065,17580,7.491,0.294,2.545,2.416,11.312,10.52,1.461,2.685,15390,4.357,0.806
3.085,17685,7.562,0.296,2.565,2.779,11.412,10.82,1.508,2.705,15520,4.302,0.842
3.105,17789,7.445,0.292,2.585,2.469,11.512,11.9,1.693,2.725,15650,4.458,0.852
3.125,17893,7.604,0.298,2.605,2.54,11.612,12.18,1.745,2.745,15780,4.483,0.464
3.145,17998,7.664,0.3,2.625,3.029,11.712,12.07,1.724,2.765,15910,4.61,0.9
3.165,18102,7.75,0.302,2.645,3.036,11.812,13.06,1.918,2.785,16050,4.463,0.826
3.185,18207,7.603,0.298,2.665,2.862,11.912,12.69,1.843,2.805,16180,4.65,0.734
3.225,18416,7.3,0.287,2.685,2.559,12.012,13.2,1.946,2.825,16310,4.667,0.709
3.245,18520,7.2,0.284,2.705,2.517,12.112,11.38,1.602,2.845,16430,4.628,0.678
3.265,18625,7.236,0.285,2.725,2.617,12.212,11.94,1.7,2.865,16540,4.404,0.771
3.285,18729,6.806,0.27,2.745,2.69,12.312,11.02,1.541,2.885,16640,4.764,0.809
3.305,18833,7.614,0.298,2.765,2.787,12.412,9.75,1.346,2.905,16740,4.468,0.794
3.325,18938,6.535,0.261,2.785,3.594,12.512,9.23,1.273,2.945,16950,4.196,1.014
3.345,19042,7.369,0.29,2.805,2.863,12.612,10.56,1.468,2.965,17060,4.738,0.448
3.365,19147,6.457,0.259,2.825,3.218,12.712,10.55,1.466,2.985,17160,4.969,0.24
3.385,19251,7.174,0.283,2.845,3.187,12.812,11.1,1.555,3.005,17270,5.063,0.376
3.405,19356,6.744,0.268,2.865,2.993,12.912,10.37,1.437,3.025,17370,4.925,0.362
3.425,19460,7.245,0.285,2.885,3.055,13.012,10.26,1.421,3.045,17480,5.032,0.155
3.445,19564,7.118,0.281,2.905,3.03,13.112,11.06,1.547,3.065,17580,4.047,0.726
3.485,19773,7.056,0.279,2.925,2.796,13.212,11.74,1.664,3.105,17790,5.097,0.101
3.505,19878,7.237,0.285,2.945,3.026,13.312,11.61,1.642,3.145,18000,5.068,0.4
3.525,19982,7.322,0.288,2.965,2.616,13.412,11.2,1.571,3.165,18100,4.908,0.271
3.545,20087,6.943,0.275,2.985,2.821,13.512,11.38,1.601,3.185,18210,4.903,0.229
3.565,20191,7.577,0.297,3.005,2.466,13.612,11.34,1.595,3.205,18310,4.91,0.271
3.625,20504,7.862,0.306,3.025,2.805,13.712,11.72,1.661,3.225,18420,4.873,0.259
3.645,20609,7.73,0.302,3.045,2.587,13.812,12.61,1.827,3.245,18520,5.075,0.351
3.665,20713,8.641,0.333,3.065,3.248,13.912,12.55,1.816,3.265,18620,4.709,0.562
3.685,20818,8.41,0.325,3.085,3.726,14.012,11.12,1.557,3.285,18730,4.919,0.409
3.705,20922,7.698,0.301,3.105,3.17,14.112,11.44,1.613,3.305,18830,4.834,0.012
3.725,21027,7.772,0.303,3.125,4.039,14.212,11.2,1.571,3.325,18940,4.904,0.358
3.745,21131,7.547,0.296,3.145,4,14.312,12.33,1.773,3.345,19040,4.946,0.167
3.765,21235,8.098,0.314,3.185,4.276,14.412,12.45,1.796,3.365,19150,5.04,0.247
3.785,21340,7.907,0.308,3.205,3.954,14.512,12.34,1.775,3.385,19250,4.638,0.46
3.805,21444,7.667,0.3,3.245,4.195,14.612,10.27,1.422,3.405,19360,4.672,0.383
3.825,21549,7.332,0.288,3.265,3.914,14.712,11.29,1.586,3.425,19460,5,0.08
3.845,21653,7.318,0.288,3.285,3.887,14.812,11.1,1.554,3.445,19560,5.114,0.305
3.865,21758,7.105,0.281,3.305,4.22,14.912,11.59,1.638,3.465,19670,4.96,0.38
3.885,21862,7.707,0.301,3.325,3.914,15.012,11.18,1.568,3.485,19770,4.96,0.034
3.905,21966,7.177,0.283,3.385,3.755,15.112,11.86,1.686,3.505,19880,5.178,0.216
3.925,22071,7.225,0.285,3.405,4.222,15.212,12.31,1.769,3.525,19980,4.726,0.452
3.945,22175,7.237,0.285,3.425,4.148,15.312,13.15,1.936,3.545,20090,4.785,0.34
3.965,22280,7.15,0.282,3.445,3.407,15.412,13.84,2.083,3.565,20190,4.818,0.323
3.985,22384,7.249,0.285,3.465,4.027,15.512,13.28,1.963,3.585,20300,4.697,0.414
4.005,22489,8.063,0.313,3.485,3.887,15.612,12.92,1.889,3.605,20400,4.908,0.116
4.025,22593,7.094,0.28,3.505,3.804,15.712,14.01,2.123,3.625,20500,4.604,0.172
4.045,22698,7.01,0.277,3.525,3.698,15.812,14.46,2.226,3.645,20610,4.729,0.363
4.065,22802,7.299,0.287,3.545,3.609,15.912,16.06,2.642,3.665,20710,4.93,0.36
4.085,22906,7.299,0.287,3.565,4.187,16.012,13.76,2.067,3.685,20820,4.745,0.269
4.105,23011,6.862,0.272,3.585,3.872,16.112,13.38,1.985,3.705,20920,4.784,0.123
4.125,23115,7.165,0.283,3.605,3.764,16.212,13.56,2.023,3.725,21030,4.997,0.393
4.145,23220,7.28,0.287,3.625,3.849,16.312,12.48,1.802,3.745,21130,4.948,0.411
4.165,23324,7.014,0.277,3.645,4.105,16.412,12.92,1.889,3.765,21240,4.928,0.273
4.185,23429,6.99,0.277,3.665,4.018,16.512,11.36,1.598,3.785,21340,4.895,0.333
4.205,23533,6.555,0.262,3.685,3.74,16.612,10.08,1.393,3.805,21440,4.862,0.474
4.225,23637,6.384,0.256,3.705,4.02,16.712,8.84,1.22,3.825,21550,5.095,0.226
4.245,23742,6.32,0.254,3.725,3.877,16.832,7.48,1.055,3.845,21650,4.944,0.22
4.265,23846,6.362,0.255,3.745,3.73,16.912,8.67,1.199,3.865,21760,4.733,0.444
4.285,23951,6.086,0.246,3.765,3.275,17.012,7.14,1.017,3.885,21860,4.952,0.289
4.305,24055,5.887,0.239,3.785,3.296,17.112,8.48,1.175,3.905,21970,4.912,0.398
4.325,24160,6.319,0.254,3.805,4.216,17.212,10.34,1.433,3.925,22070,4.853,0.356
4.345,24264,6.281,0.253,3.825,3.18,17.312,11.12,1.558,3.945,22180,4.696,0.341
4.365,24369,6.55,0.262,3.845,3.814,17.412,10.07,1.392,3.965,22280,4.676,0.531
4.405,24577,6.533,0.261,3.865,3.905,17.512,9.95,1.375,3.985,22380,4.695,0.566
4.425,24682,7.397,0.29,3.885,3.684,17.612,10.33,1.431,4.005,22490,4.956,0.171
4.445,24786,7.715,0.301,3.905,3.359,17.712,8.99,1.24,4.025,22590,4.972,0.22
4.465,24891,8.231,0.319,3.925,3.121,17.812,9.08,1.252,4.045,22700,4.698,0.412
4.485,24995,6.717,0.267,3.945,3.911,17.912,9.99,1.38,4.065,22800,4.946,0.44
4.53,25230,6.984,0.276,3.965,3.3,18.012,10.65,1.482,4.085,22910,4.977,0.368
4.55,25334,7.881,0.307,3.985,3.301,18.112,10.08,1.394,4.105,23010,4.664,0.407
4.57,25439,7.448,0.292,4.005,3.484,18.212,11.68,1.654,4.125,23120,4.827,0.439
4.59,25543,7.095,0.28,4.025,3.553,18.312,10.75,1.498,4.145,23220,5.02,-0.05
4.61,25648,7.853,0.306,4.045,3.717,18.412,12.35,1.777,4.165,23320,4.799,0.416
4.63,25752,7.58,0.297,4.065,3.762,18.512,11.61,1.641,4.185,23430,4.694,0.217
4.65,25857,8.111,0.315,4.085,3.788,18.612,10.03,1.387,4.205,23530,4.742,0.408
4.67,25961,8.477,0.327,4.105,4.067,18.712,11,1.538,4.225,23640,4.759,0.315
4.69,26066,8.068,0.313,4.125,3.762,18.812,8.28,1.15,4.245,23740,4.91,0.029
4.71,26170,8.179,0.317,4.145,3.879,18.912,9.46,1.304,4.265,23850,4.943,0.324
4.73,26260,9.824,0.373,4.165,3.837,19.012,6.66,0.967,4.285,23950,4.826,0.295
4.75,26351,8.38,0.324,4.185,3.882,19.112,6.59,0.959,4.305,24060,4.859,0.246
4.79,26532,7.274,0.286,4.205,4.07,19.212,8.32,1.154,4.325,24160,4.695,0.306
4.83,26712,8.157,0.316,4.225,3.817,19.312,6.97,0.999,4.345,24260,4.811,0.373
4.85,26803,7.534,0.295,4.245,3.642,19.432,7.96,1.11,4.365,24370,4.778,0.288
4.87,26893,7.338,0.288,4.265,3.764,19.492,8.01,1.116,4.385,24470,4.894,0.323
4.89,26983,6.762,0.269,4.285,3.73,19.532,6.92,0.994,4.405,24580,4.843,0.255
4.91,27074,8.076,0.314,4.305,4.004,19.612,9.68,1.335,4.425,24680,4.815,0.524
4.93,27164,8.171,0.317,4.325,3.433,19.632,9.7,1.338,4.445,24790,4.77,0.412
4.95,27254,7.768,0.303,4.345,3.77,19.712,8.6,1.19,4.465,24890,4.726,0.38
4.97,27345,7.795,0.304,4.365,3.638,19.812,7.96,1.111,4.485,25000,4.719,0.583
4.99,27435,7.59,0.297,4.385,3.567,19.912,9.92,1.371,4.51,25130,4.796,0.552
5.01,27526,7.869,0.307,4.405,3.814,20.012,12.28,1.764,4.57,25440,4.883,0.384
5.03,27616,8.119,0.315,4.425,3.615,20.112,9.41,1.298,4.59,25540,4.856,0.284
5.05,27706,7.908,0.308,4.445,3.532,20.212,8.96,1.237,4.63,25750,4.773,0.312
5.07,27797,8.147,0.316,4.465,3.477,20.312,9.84,1.358,4.65,25860,4.953,0.291
5.09,27887,7.771,0.303,4.485,3.417,20.412,9.41,1.297,4.67,25960,4.786,0.336
5.11,27977,8.812,0.339,4.51,3.411,20.512,7.96,1.11,4.69,26070,4.831,0.4
5.13,28068,9.075,0.348,4.53,3.34,20.612,8.44,1.17,4.73,26260,4.586,0.639
5.15,28158,8.62,0.332,4.55,3.314,20.712,10.46,1.451,4.75,26350,4.748,0.431
5.17,28248,9.08,0.348,4.57,3.87,20.812,11.35,1.597,4.77,26440,4.708,0.467
5.19,28339,8.804,0.338,4.59,3.996,20.912,10.52,1.46,4.81,26620,4.758,0.37
5.21,28429,7.816,0.305,4.61,4.022,21.112,10.84,1.512,4.83,26710,4.83,0.224
5.23,28520,8.204,0.318,4.63,3.608,21.212,11.83,1.681,4.85,26800,4.493,0.516
5.25,28610,8.044,0.312,4.65,3.657,21.312,10.4,1.442,4.87,26890,4.829,0.324
5.27,28718,8.226,0.319,4.67,4.026,21.412,9.04,1.247,4.89,26980,4.391,0.351
5.29,28827,8.016,0.312,4.69,3.686,21.512,9.31,1.283,4.91,27070,4.767,0.401
5.31,28935,7.157,0.282,4.71,3.791,21.612,7.99,1.115,4.93,27160,4.511,0.521
5.33,29043,6.46,0.259,4.75,4.112,21.712,9.31,1.284,4.95,27250,4.766,0.424
5.35,29152,7.81,0.305,4.77,3.955,21.812,9.31,1.284,4.97,27340,4.811,0.337
5.37,29260,7.6,0.297,4.79,3.885,21.912,10.01,1.384,4.99,27440,4.747,0.317
5.39,29368,7.494,0.294,4.81,4.128,22.012,7.85,1.098,5.01,27530,4.673,0.464
5.41,29477,7.078,0.28,4.85,4.075,22.112,10.75,1.497,5.03,27620,4.772,0.502
5.43,29585,7.818,0.305,4.87,4.151,22.212,10.92,1.525,5.05,27710,4.346,0.084
5.45,29693,7.138,0.282,4.89,4.272,22.312,12.03,1.717,5.07,27800,4.484,0.512
5.47,29802,7.644,0.299,4.91,3.924,22.412,9.2,1.268,5.09,27890,4.537,0.749
5.49,29910,7.941,0.309,4.93,3.818,22.512,8.75,1.209,5.11,27980,4.563,0.672
5.51,30018,8.155,0.316,4.95,3.934,22.612,10.05,1.389,5.13,28070,4.577,0.586
5.53,30127,7.509,0.294,4.97,4.072,22.712,8.64,1.195,5.15,28160,4.534,0.625
5.55,30235,8.133,0.316,4.99,3.764,22.812,8.62,1.193,5.17,28250,4.66,0.544
5.57,30343,6.525,0.261,5.01,3.753,22.912,11.07,1.549,5.19,28340,4.403,0.375
5.59,30452,7.395,0.29,5.03,3.444,23.012,9.53,1.315,5.21,28430,4.507,0.797
5.61,30560,7.442,0.292,5.05,3.861,23.112,10.94,1.529,5.25,28610,4.671,0.779
5.63,30668,7.424,0.291,5.07,3.477,23.212,11.25,1.579,5.27,28720,4.432,0.758
5.65,30777,7.571,0.296,5.09,3.717,23.312,11.43,1.61,5.29,28830,4.566,0.751
5.67,30885,7.608,0.298,5.11,3.599,23.412,12.04,1.719,5.31,28940,4.716,0.659
5.69,30993,7.422,0.291,5.13,3.37,23.512,12.95,1.895,5.35,29150,4.493,0.483
5.71,31102,7.588,0.297,5.15,3.364,23.612,13.21,1.948,5.37,29260,4.379,0.858
5.73,31210,7.854,0.306,5.17,3.63,23.712,13.32,1.972,5.41,29480,4.506,0.335
5.75,31326,7.874,0.307,5.19,3.455,23.812,12.59,1.823,5.43,29590,4.619,0.52
5.77,31442,7.622,0.298,5.21,3.421,23.912,11.62,1.644,5.45,29690,4.628,0.491
5.79,31558,8.433,0.326,5.23,3.036,24.012,10.24,1.418,5.47,29800,4.691,0.574
5.81,31674,7.752,0.303,5.25,3.434,24.112,12.15,1.739,5.49,29910,4.726,0.501
5.83,31790,7.885,0.307,5.27,3.458,24.212,13.62,2.035,5.51,30020,4.579,0.536
5.85,31906,6.788,0.27,5.29,3.404,24.312,13.27,1.961,5.53,30130,4.605,0.481
5.87,32022,8.153,0.316,5.31,3.196,24.412,13.42,1.994,5.55,30240,4.663,0.615
5.89,32138,6.691,0.266,5.33,3.336,24.512,13.27,1.961,5.57,30340,4.619,0.546
5.91,32254,7.138,0.282,5.35,3.229,24.612,13.44,1.996,5.59,30450,4.835,0.258
5.93,32370,7.224,0.285,5.37,2.841,24.712,13.29,1.965,5.61,30560,4.718,0.435
5.95,32486,7.228,0.285,5.39,3.287,24.812,12.65,1.835,5.63,30670,4.721,0.397
5.97,32602,7.336,0.288,5.41,3.204,24.912,11.21,1.573,5.65,30780,4.614,0.394
5.99,32718,7.47,0.293,5.43,3.825,25.012,9.35,1.289,5.67,30890,4.53,0.6
6.05,33066,6.82,0.271,5.45,3.737,25.112,9.77,1.348,5.71,31100,4.64,0.567
6.07,33182,6.46,0.259,5.47,3.234,25.212,9.46,1.305,5.73,31210,4.325,0.773
6.09,33298,6.689,0.266,5.49,3.505,25.312,8.08,1.126,5.75,31330,4.454,0.816
6.11,33414,6.504,0.26,5.53,3.79,25.412,9.09,1.254,5.79,31560,4.501,0.917
6.13,33530,6.814,0.271,5.55,3.495,25.512,10.7,1.49,5.81,31670,4.751,0.399
6.15,33646,6.526,0.261,5.57,3.66,25.612,12.06,1.722,5.83,31790,4.596,0.527
6.17,33762,7.444,0.292,5.59,3.473,25.712,10.78,1.502,5.85,31910,4.583,0.478
6.19,33878,6.679,0.266,5.61,3.563,25.812,10.39,1.441,5.89,32140,4.596,0.47
6.21,33994,6.725,0.268,5.63,3.358,25.912,11.83,1.68,5.91,32250,4.549,0.421
6.23,34110,6.922,0.274,5.65,3.428,26.012,10,1.382,5.95,32490,4.449,0.666
6.25,34226,6.916,0.274,5.67,2.981,26.112,12.08,1.727,5.97,32600,4.509,0.602
6.27,34342,7.145,0.282,5.69,3.31,26.212,12.73,1.851,6.03,32950,4.561,0.574
6.29,34458,6.282,0.253,5.71,2.993,26.312,12.57,1.82,6.09,33300,4.295,0.571
6.31,34574,6.628,0.264,5.73,2.82,26.412,13.13,1.932,6.11,33410,4.42,0.594
6.33,34690,6.267,0.252,5.75,3.192,26.512,13,1.904,6.13,33530,4.555,0.437
6.35,34902,6.568,0.262,5.77,3.341,26.612,14.02,2.125,6.15,33650,4.48,0.686
6.37,35114,6.666,0.266,5.79,3.113,26.712,13.46,2,6.17,33760,4.573,0.516
6.39,35326,6.44,0.258,5.81,3.259,26.812,15.25,2.423,6.19,33880,4.49,0.404
6.41,35538,6.596,0.263,5.83,2.709,26.912,14.81,2.311,6.21,33990,4.321,0.761
6.43,35750,6.26,0.252,5.85,3.414,27.012,13.91,2.099,6.23,34110,4.504,0.448
6.45,35962,6.868,0.272,5.87,3.385,27.112,14.51,2.24,6.25,34230,4.419,0.877
6.47,36174,7.269,0.286,5.89,3.245,27.212,14.16,2.156,6.27,34340,4.297,0.86
