depth (m),age (BP),temperature (degC),planktic.d18O (permil),planktic.MgCa (mmol_mol)
3.115,21907,17.107,1.335,2.956
3.135,22291,NA,1.277,NA
3.155,22676,15.903,1.289,2.599
3.175,23060,15.936,1.047,2.608
3.195,23444,15.055,1.01,2.374
3.215,23991,16.183,1.115,2.678
3.235,24539,15.932,1.446,2.607
3.255,25086,NA,1.201,NA
3.275,25633,14.68,1.274,2.28
3.295,26181,14.607,1.35,2.262
3.315,26728,14.688,1.486,2.282
3.335,27275,14.319,1.31,2.194
3.355,27823,NA,1.133,NA
3.375,28370,13.768,1.05,2.068
3.395,28917,14.336,1.3,2.198
3.415,29464,14.969,1.087,2.352
3.455,30559,NA,0.883,NA
3.475,30803,15.109,0.955,2.387
3.495,31047,14.407,0.97,2.214
3.515,31291,14.494,1.018,2.235
3.535,31535,14.706,0.639,2.286
3.555,31779,NA,0.89,NA
3.575,32023,15.615,0.95,2.52
3.595,32268,14.771,0.929,2.302
3.615,32512,15.674,0.777,2.536
3.635,32756,15.927,0.833,2.605
3.655,33000,NA,0.672,NA
3.675,33244,15.488,0.805,2.486
3.695,33488,15.174,0.65,2.404
3.715,33732,15.057,0.969,2.374
3.735,33976,15.291,0.685,2.434
3.755,34220,NA,0.818,NA
3.775,34464,14.854,0.884,2.323
3.795,34708,15.253,0.85,2.424
3.815,34952,15.945,0.544,2.611
3.835,35196,14.884,0.807,2.33
3.855,35440,NA,0.894,NA
3.875,35684,14.798,0.83,2.309
3.895,35929,16.184,0.734,2.678
3.915,36173,14.977,0.81,2.354
3.935,36417,14.556,0.843,2.25
3.955,36661,NA,0.618,NA
3.975,36905,14.963,0.637,2.35
3.995,37149,14.783,0.85,2.305
4.015,37393,16.14,0.635,2.665
4.035,37637,15.198,0.703,2.41
4.055,37881,NA,0.63,NA
4.075,38115,15.202,0.681,2.411
4.095,38348,14.688,0.71,2.282
4.115,38582,15.236,0.711,2.42
4.135,38815,15.098,0.833,2.384
4.155,39049,NA,1.067,NA
4.175,39282,15.378,0.97,2.457
4.195,39516,15.126,0.664,2.392
4.215,39749,15.145,0.807,2.396
4.235,39983,15.221,0.77,2.416
4.255,40216,NA,0.651,NA
4.275,40450,15.777,0.957,2.564
4.295,40683,15.454,0.718,2.477
4.315,40917,15.523,0.794,2.495
4.335,41151,14.931,0.877,2.342
4.355,41384,NA,0.816,NA
4.375,41618,15.148,0.951,2.397
4.395,41851,15.087,0.59,2.382
4.415,42085,14.998,0.569,2.359
4.435,42318,15.521,0.592,2.495
4.455,42552,NA,1.053,NA
4.475,42785,15.213,0.764,2.414
4.495,43019,15.215,0.464,2.415
4.515,43252,15.459,0.33,2.478
4.535,43486,NA,NA,NA
4.555,43719,NA,0.594,NA
4.575,43953,15.892,0.809,2.596
4.595,44186,15.769,0.689,2.562
4.615,44420,14.853,0.627,2.323
4.635,44654,15.089,0.916,2.382
4.655,44887,NA,1.047,NA
4.675,45142,14.243,0.828,2.176
4.695,45396,14.31,0.957,2.192
4.715,45651,13.963,0.961,2.112
4.735,45906,14.288,0.871,2.186
4.755,46160,NA,0.842,NA
4.775,46415,14.062,1.173,2.134
4.795,46670,14.687,1.026,2.282
4.815,46924,14.924,1.272,2.34
4.825,47052,NA,NA,NA
4.835,47179,14.487,1.213,2.233
4.855,47434,NA,1.189,NA
4.875,47688,14.33,0.977,2.196
4.895,47943,14.413,1.031,2.216
4.915,48198,14.66,0.834,2.275
4.935,48452,15.163,0.795,2.401
4.955,48707,NA,0.86,NA
4.975,48962,14.54,NA,2.246
4.995,49216,15.168,0.639,2.402
5.015,49471,15.626,0.494,2.523
5.035,49726,15.325,0.499,2.443
5.055,49980,NA,0.548,NA
5.075,50235,15.432,NA,2.471
5.095,50490,15.03,0.408,2.367
5.115,50744,NA,0.461,NA
5.135,50999,16.465,0.221,2.76
5.155,51254,NA,0.447,NA
5.175,51508,16.715,0.257,2.835
5.195,51763,15.926,0.389,2.605
5.215,52018,15.638,0.396,2.526
5.235,52272,15.901,0.387,2.598
5.255,52527,15.737,0.325,2.553
5.275,52782,16.206,0.588,2.684
5.295,53036,16.051,0.238,2.64
5.315,53291,16.497,0.55,2.769
5.335,53546,15.755,0.283,2.558
5.355,53800,15.803,0.388,2.571
5.375,54055,15.316,0.648,2.441
5.395,54310,15.519,0.673,2.494
5.415,54564,15.613,0.692,2.52
5.435,54819,15.129,0.792,2.392
5.455,55074,NA,0.633,NA
5.475,55387,15.782,0.619,2.565
5.495,55700,15.511,0.696,2.492
5.515,56014,15.409,0.584,2.465
5.525,56170,NA,NA,NA
5.535,56327,16.041,0.479,2.637
5.555,56640,NA,0.427,NA
5.575,56953,15.816,NA,2.575
5.595,57110,16.018,NA,2.631
5.615,57580,15.837,0.547,2.58
5.635,57893,15.741,0.322,2.554
5.655,58207,NA,0.339,NA
5.675,58520,15.863,0.449,2.588
5.695,58833,16.345,0.411,2.725
5.715,59146,15.589,0.416,2.513
5.735,59460,15.69,0.516,2.54
5.755,59773,NA,0.327,NA
5.775,60086,15.976,0.548,2.619
5.815,60713,15.834,0.427,2.58
5.835,61026,15.835,0.699,2.58
5.855,61339,NA,0.748,NA
5.875,61653,16.2,0.804,2.683
5.895,61966,14.866,0.849,2.326
5.915,62279,16.613,0.806,2.804
5.935,62592,15.678,0.741,2.537
5.955,62906,NA,0.768,NA
5.975,63219,14.98,0.752,2.354
6.015,63846,14.781,0.738,2.305
6.035,64159,15.458,0.734,2.478
6.055,64472,NA,0.876,NA
6.075,64785,15.088,0.836,2.382
6.095,65099,14.905,0.687,2.336
6.115,65412,15.515,0.743,2.493
6.135,65725,14.96,0.854,2.349
6.155,66039,14.902,0.846,2.335
6.175,66352,15.425,0.898,2.469
6.195,66665,15.699,0.777,2.543
6.215,66978,15.261,0.998,2.426
6.235,67292,15.084,1.008,2.381
6.255,67605,15.706,1.027,2.545
6.275,67918,15,0.932,2.36
6.295,68232,14.899,1.038,2.334
6.315,68545,15.367,0.745,2.454
6.335,68858,14.982,0.956,2.355
6.355,69171,14.004,1.007,2.121
6.375,69485,15.164,0.776,2.401
6.395,69798,14.348,0.976,2.2
6.415,70111,14.805,0.909,2.311
6.435,70425,15.097,0.688,2.384
6.455,70738,NA,0.648,NA
6.475,71051,15.275,0.678,2.43
6.495,71364,15.068,0.654,2.377
6.515,71678,14.697,0.639,2.284
6.535,71991,14.755,0.411,2.298
6.555,72304,NA,0.322,NA
6.575,72617,14.838,0.341,2.319
6.595,72931,15.108,0.287,2.387
6.615,73244,15.774,0.276,2.563
6.635,73557,15.617,0.136,2.52
6.655,73871,NA,0.385,NA
6.675,74184,15.68,0.328,2.537
6.695,74497,15.75,0.266,2.557
6.715,74810,15.48,0.319,2.484
6.735,75124,16.124,0.455,2.661
6.755,75437,NA,0.238,NA
6.775,75750,15.339,0.384,2.447
6.795,76064,15.912,0.483,2.601
6.815,76377,14.83,0.427,2.317
6.835,76690,14.835,0.414,2.318
6.855,77003,NA,0.499,NA
6.875,77317,14.538,0.362,2.246
6.895,77630,14.529,0.228,2.244
6.915,77943,14.775,0.115,2.303
6.935,78257,15.378,0.246,2.457
6.955,78570,NA,0.198,NA
6.975,78883,15.114,0.325,2.389
6.995,79196,15.389,0.171,2.46
7.015,79510,15.615,0.327,2.52
7.035,79823,16.067,0.26,2.645
7.055,80136,15.248,0.241,2.423
7.075,80449,15.571,NA,2.508
7.095,80763,15.663,0.536,2.533
7.115,81076,15.285,0.181,2.432
7.135,81389,14.748,0.373,2.297
7.155,81703,14.724,0.093,2.291
7.175,82016,14.538,0.271,2.246
7.195,82329,15.011,0.216,2.362
7.215,82642,15.576,0.553,2.509
7.235,82956,15.098,0.355,2.384
7.255,83269,15.073,0.386,2.378
7.275,83582,14.34,0.302,2.199
7.295,83896,14.662,0.514,2.276
7.315,84209,14.761,0.379,2.3
7.335,84522,14.573,0.445,2.254
7.355,84835,14.886,0.529,2.331
7.375,85149,15.148,0.56,2.397
7.395,85462,14.6,0.589,2.261
7.415,85775,15.17,-0.033,2.403
7.435,86089,15.178,0.641,2.405
7.455,86402,NA,0.556,NA
7.475,86715,15.531,0.485,2.498
7.495,87028,14.997,0.358,2.359
