year (AD),age (BP),CCA1 (missing),cal_age_range_young (BP),cal_age_range_old (BP),CCA2 (missing)
-6437.988,8387.988,0.24,8276.44,8518.54,0.273
-6455.989,8405.989,0.099,8294.349,8536.929,0.553
-6474.568,8424.568,0.107,8312.957,8555.617,0.519
-6493.748,8443.748,0.183,8332.312,8574.642,0.416
-6513.544,8463.544,0.187,8352.413,8593.993,0.282
-6533.926,8483.926,0.03,8373.257,8613.627,0.253
-6554.865,8504.865,0.142,8394.806,8633.536,0.278
-6576.34,8526.34,0.285,8417.01,8653.73,0.404
-6598.326,8548.326,0.274,8439.816,8674.206,0.338
-6620.8,8570.8,0.245,8463.193,8694.953,0.262
-6643.738,8593.738,0.322,8487.11,8716.02,0.452
-6667.116,8617.116,0.349,8511.545,8737.415,0.26
-6690.912,8640.912,0.228,8536.445,8759.155,0.234
-6715.102,8665.102,0.349,8561.805,8781.295,0.206
-6739.662,8689.662,0.247,8587.551,8803.831,0.194
-6764.568,8714.568,0.288,8613.551,8826.731,-0.037
-6789.797,8739.797,0.244,8639.653,8849.943,0.187
-6815.326,8765.326,0.402,8665.846,8873.496,0.108
-6841.132,8791.132,0.132,8692.074,8897.334,0.326
-6867.189,8817.189,0.062,8718.485,8921.445,0.316
-6893.476,8843.476,0.144,8745.134,8945.784,0.227
-6919.968,8869.968,0.042,8771.861,8970.401,-0.129
-6946.642,8896.642,-0.005,8798.429,8995.239,-0.018
-6973.474,8923.474,0.06,8825.082,9020.252,0.105
-7000.442,8950.442,0,8852.105,9045.645,-0.005
-7027.52,8977.52,-0.018,8878.982,9071.082,-0.029
-7054.687,9004.687,0.07,8905.99,9097.01,0.026
-7081.918,9031.918,0.11,8933.404,9123.804,0.086
-7109.19,9059.19,0.05,8960.403,9150.783,-0.085
-7136.478,9086.478,-0.089,8986.831,9177.811,0.176
-7191.014,9141.014,0.239,9038.263,9232.013,0.103
-7245.336,9195.336,NA,9089.677,9287.847,NA
-7299.257,9249.257,NA,9139.817,9344.337,NA
-7352.587,9302.587,NA,9188.829,9401.749,NA
-7405.14,9355.14,NA,9236.243,9459.503,NA
-7482.154,9432.154,NA,9303.741,9545.141,NA
-7532.96,9482.96,NA,9347.123,9602.203,NA
-7583.766,9533.766,-0.195,9389.796,9659.576,0.315
