year (AD),age (BP),WMT (degC),MAP (mm),WMT1-sigma (missing),WMT2-sigma (missing),MAP1-sigma (missing),MAP2-sigma (missing),BS (missing),BS_COMX (missing),BS_Landscape_Openness (missing)
-2226,4176,25.32,909.53,0.53,1.06,54.39,108.78,19.85,22.91,19.235
-2278,4228,26.28,890.21,0.62,1.24,64.22,128.44,20.416,22.431,18.55
-2341,4291,26.23,898.59,0.61,1.21,62.79,125.57,20.62,22.107,19.623
-2374,4324,25.7,918.99,0.56,1.12,56.99,113.98,20.025,22.779,18.855
-2480,4430,26.72,935.36,0.67,1.34,69.28,138.55,21.198,23.54,20.783
-2548,4498,25.93,874.12,0.52,1.04,50.87,101.74,20.914,22.47,19.558
-2617,4567,26.59,856.12,0.65,1.29,67.09,134.17,20.662,22.885,19.85
-2687,4637,26.15,840.74,0.53,1.07,54.04,108.07,20.882,22.22,19.917
-2784,4734,26.06,813.69,0.48,0.97,48.54,97.08,20.331,21.743,18.413
-2862,4812,25.78,795.35,0.52,1.05,52.04,104.07,20.362,20.795,16.926
-2938,4888,26.43,837.54,0.7,1.39,73.6,147.19,20.706,21.772,18.757
-3016,4966,26.38,876.76,0.64,1.27,65.56,131.12,19.953,21.311,17.735
-3082,5032,26.49,877.6,0.59,1.19,60.58,121.16,20.408,21.56,18.702
-3152,5102,25.72,855.83,0.51,1.02,51.04,102.08,20.191,21.403,17.539
-3222,5172,26.42,823.16,0.58,1.16,57.74,115.48,20.081,20.762,17.236
-3285,5235,26.2,776.22,0.61,1.22,62.9,125.81,23.304,21.98,19.511
-3357,5307,26.52,831.3,0.64,1.29,64.56,129.12,21.893,21.542,18.188
-3429,5379,26.26,828.08,0.58,1.16,58.3,116.59,21.211,20.675,18.92
-3501,5451,26.02,821.47,0.63,1.25,63.89,127.77,23.545,22.884,20.14
-3566,5516,26.34,845.12,0.7,1.4,72.5,144.99,20.683,20.992,17.123
-3636,5586,26.36,818.27,0.63,1.26,64.85,129.7,21.011,21.395,16.988
-3707,5657,26.87,766.93,0.62,1.23,62.66,125.32,22.282,21.816,19.536
-3773,5723,27.87,784.45,0.66,1.32,64.85,129.71,22.81,20.98,19.855
-3843,5793,27.07,786.15,0.62,1.25,62.62,125.23,22.532,22.017,18.8
-3912,5862,25.89,813.77,0.59,1.18,59.89,119.79,21.793,22.435,17.843
-3988,5938,26.63,802.87,0.68,1.36,70.72,141.44,22.043,21.447,16.859
-4057,6007,26.35,760.44,0.59,1.17,57.42,114.83,21.899,19.93,19.434
-4122,6072,26.38,774.35,0.62,1.23,62.45,124.91,22.482,21.124,20.428
-4191,6141,26.61,807.53,0.63,1.26,62.87,125.73,22.528,22.668,19.913
-4267,6217,27.5,820.31,0.73,1.46,75.22,150.44,22.402,22.004,19.619
-4349,6299,26.96,821.76,0.63,1.27,62.39,124.79,22.611,21.441,20.059
-4436,6386,26.47,796.12,0.63,1.25,63.7,127.4,21.849,21.515,17.265
-4517,6467,26.73,808.39,0.66,1.33,67.19,134.39,21.883,20.744,20.133
-4599,6549,25.4,751.09,0.63,1.25,65.68,131.36,22.637,20.451,18.442
-4680,6630,27.32,815.02,0.7,1.41,70.29,140.57,22.362,21.045,19.237
-4754,6704,26.03,703.03,0.64,1.28,67.13,134.25,22.451,20.124,19.176
-4830,6780,25.91,762.94,0.65,1.3,66.5,133,22.248,20.177,18.317
-4916,6866,26.34,762.01,0.62,1.23,59.63,119.27,23.282,21.108,20.302
-4996,6946,26.37,725.3,0.61,1.23,60.44,120.88,22.219,19.72,18.941
-5074,7024,26.46,707.83,0.57,1.15,58.7,117.39,22.247,20.432,18.779
-5149,7099,26.16,690.69,0.58,1.15,58.23,116.46,22.707,20.551,19.351
-5226,7176,26.22,753.34,0.68,1.36,69.95,139.9,23.465,20.955,19.682
-5299,7249,26.68,738.71,0.61,1.23,61.62,123.24,23.368,21.725,20.35
-5368,7318,26.45,709.18,0.58,1.16,56.32,112.65,22.972,20.556,20.046
-5442,7392,26.32,746.77,0.65,1.29,64.66,129.32,22.659,19.613,19.367
-5498,7448,26.49,733.49,0.65,1.29,66.9,133.81,22.93,20.635,18.868
-5569,7519,26.6,721.01,0.62,1.24,61.4,122.81,22.81,19.817,20.232
-5643,7593,26.01,704.5,0.62,1.24,63.45,126.91,22.566,19.929,19.683
-5718,7668,25.39,661.15,0.59,1.17,56.85,113.71,22.091,18.408,18.458
-5784,7734,26.14,659.35,0.55,1.1,53.33,106.66,21.612,19.272,17.213
-5855,7805,27.73,687.57,0.6,1.19,60.58,121.15,21.724,20.611,18.505
-5912,7862,28.66,664.94,0.65,1.31,67.1,134.19,22.979,21.165,20.187
-5986,7936,27.84,679.36,0.59,1.17,58.63,117.25,21.828,21.117,18.56
-6022,7972,26.42,715.72,0.5,1,46.57,93.14,21.521,21.86,16.434
-6130,8080,26.75,682.95,0.59,1.17,59.63,119.27,23.448,21.093,19.706
-6211,8161,26.24,680.12,0.52,1.04,49.68,99.36,23.297,21.61,18.912
-6294,8244,25.96,642.43,0.54,1.08,53.37,106.74,22.68,19.815,18.678
-6372,8322,26.89,686.08,0.56,1.12,54.95,109.91,23.249,21.199,19.774
-6451,8401,26.9,669.24,0.51,1.02,48.18,96.36,22.376,21.944,19.094
-6541,8491,26.32,681.02,0.52,1.05,52.18,104.36,22.202,20.762,17.013
-6618,8568,25.25,647.85,0.54,1.07,55.08,110.16,22.549,19.899,18.269
-6686,8636,25.68,659.1,0.49,0.97,47.8,95.61,21.397,20.45,16.804
-6757,8707,26.5,747.54,0.52,1.04,52.05,104.1,20.817,21.805,17.464
-6774,8724,25.91,701.97,0.55,1.09,54.35,108.7,22.363,20.526,18.459
-6874,8824,26.26,710.14,0.58,1.17,62.85,125.69,23.223,21.707,18.045
-6942,8892,25.91,652.38,0.51,1.02,52.42,104.84,21.978,21.073,17.063
-7001,8951,25.57,638.89,0.54,1.09,57.38,114.77,22.285,19.621,15.677
-7071,9021,26.25,696.42,0.55,1.1,54.78,109.55,23.286,22.276,19.218
-7130,9080,25.39,687.43,0.55,1.09,56.73,113.46,23.089,21.471,19.334
-7181,9131,25.52,672.55,0.69,1.39,79.22,158.43,23.193,21.966,18.31
-7241,9191,25.14,657.38,0.58,1.16,63.58,127.16,22.927,21.609,17.811
-7297,9247,24.39,623.67,0.54,1.08,58.39,116.77,22.202,20.691,15.942
-7360,9310,25.2,670.69,0.56,1.12,55.65,111.29,24.371,21.34,18.736
-7418,9368,25.77,671.89,0.62,1.24,69.01,138.02,23.398,22.591,19.452
-7487,9437,25.54,657.32,0.62,1.24,69.36,138.73,23.256,21.828,18.748
-7559,9509,24.93,658.8,0.59,1.17,66.46,132.93,22.26,21.394,18.07
-7624,9574,24.96,628.54,0.54,1.07,57.56,115.12,21.593,19.694,15.774
-7691,9641,25.44,673.01,0.58,1.15,59.94,119.89,24.25,21.548,20.602
-7752,9702,24.85,634.88,0.56,1.12,61.64,123.28,22.571,21.083,17.161
-7811,9761,23.74,608.77,0.56,1.11,59.53,119.06,23.602,20.654,18.697
-7867,9817,23.25,593.15,0.53,1.07,57.95,115.91,23.435,20.65,18.22
-7912,9862,23.58,636.7,0.58,1.15,60.75,121.5,23.29,20.399,17.413
-7963,9913,23.87,603.64,0.53,1.05,55.81,111.63,23.689,21.975,17.721
-8017,9967,23.61,620.82,0.54,1.08,60.34,120.69,22.848,21.961,17.607
-8077,10027,23.37,591.39,0.49,0.97,51.75,103.5,22.471,20.631,15.864
-8131,10081,22.81,559.32,0.47,0.93,49.67,99.34,22.558,20.432,14.829
-8181,10131,22.82,527.47,0.56,1.11,64.1,128.21,20.98,18.418,11.841
-8242,10192,23.28,635.77,0.51,1.02,52.15,104.3,23.639,22.169,17.486
-8313,10263,23.14,581.96,0.47,0.93,51.88,103.75,22.578,22.67,16.53
-8391,10341,21.6,551,0.44,0.87,43.43,86.86,20.904,20.39,13.829
-8449,10399,24.11,565.32,0.58,1.17,66.35,132.71,22.741,21.052,14.355
-8498,10448,24.18,548.88,0.66,1.32,77.17,154.33,21.29,20.35,14.337
-8508,10458,22.45,577.17,0.7,1.4,71.11,142.21,21.828,18.089,17.024
-8511,10461,24.65,571.52,0.54,1.08,57.4,114.79,23.008,21.955,17.651
-8542,10492,22.35,562.38,0.57,1.15,57.13,114.25,19.501,17.403,12.891
-8603,10553,22.97,588.72,0.5,1.01,52.27,104.53,22.502,19.928,15.151
-8656,10606,24.37,543.28,0.57,1.15,60.27,120.53,21.039,20.479,15.093
-8702,10652,23.66,507.61,0.59,1.18,65.86,131.71,19.318,17.797,12.246
-8762,10712,24.57,540.4,0.63,1.26,71.81,143.61,19.964,20.681,13.83
-8834,10784,25.07,534.8,0.81,1.62,95,190.01,20.093,21.384,14.662
-8907,10857,24.67,516.6,0.74,1.48,86.57,173.15,18.519,19.667,11.449
-8956,10906,25.24,525.16,0.92,1.85,109.04,218.07,18.109,18.684,13.199
-9007,10957,25.08,487.11,0.75,1.5,86.53,173.06,17.939,18.759,10.329
-9063,11013,25.65,507.49,0.9,1.79,105.88,211.76,18.665,20.704,15.134
-9104,11054,25.1,479.31,0.85,1.71,100.04,200.07,17.922,19.636,12.875
-9161,11111,25.41,500.47,0.98,1.95,117.04,234.08,17.123,17.971,11.834
-9210,11160,23.52,487.96,0.95,1.91,116.03,232.05,17.248,18.615,13.187
-9265,11215,22.88,445.42,0.58,1.16,63.21,126.43,18.522,19.716,14.515
-9316,11266,20.92,405.37,0.43,0.85,40.49,80.98,15.069,16.231,8.307
-9364,11314,18.64,380.09,0.41,0.82,33.73,67.45,15.48,17.284,10.763
-9427,11377,18.01,354.58,0.35,0.7,26.78,53.56,12.403,15.971,7.1
-9491,11441,16.33,368.38,0.37,0.74,24.42,48.85,13.497,18.149,10.323
-9560,11510,15.65,353.78,0.34,0.68,22.02,44.03,11.919,17.825,10.706
-9628,11578,15.77,382.01,0.33,0.66,22.02,44.03,13.132,17.975,10.349
-9696,11646,15.69,359.19,0.31,0.61,20.39,40.77,12.517,19.911,11.888
-9748,11698,16.17,376.74,0.28,0.55,18.77,37.54,12.438,19.076,8.67
-9781,11731,16.53,418.65,0.31,0.62,23.08,46.17,13.293,20.249,10.039
-9850,11800,15.54,372.2,0.28,0.57,19.27,38.53,12.824,18.21,7.721
-9915,11865,15.05,383.18,0.27,0.54,16.95,33.9,10.075,16.799,6.854
-9951,11901,15.05,340.8,0.28,0.56,18.46,36.92,11.166,16.673,5.29
-9970,11920,15.26,373.57,0.29,0.57,18.87,37.75,11.82,17.669,7.067
-9981,11931,14.85,374.61,0.21,0.43,15.09,30.19,11.788,15.493,1.437
-9987,11937,14.42,382.26,0.2,0.4,13.54,27.07,9.98,16.139,2.94
-10001,11951,15.14,388.08,0.26,0.52,17.37,34.74,10.69,16.801,6.252
-10003,11953,15.06,387.42,0.25,0.5,16.81,33.62,8.647,18.508,6.075
-10021,11971,15.13,377.04,0.25,0.5,16.84,33.68,10.784,15.937,3.575
-10042,11992,15.56,374.43,0.27,0.54,18.01,36.02,12.415,19.422,10.182
