depth (m),age (BP),temperature (degC),planktic.d18O (permil),d18O (permil),planktic.MgCa (mmol_mol),planktic.d18O (permil)
2.68,15087,NA,NA,NA,NA,2.423
2.7,15223,24.02,0.23,3.914,3.302,2.316
2.72,15359,NA,NA,NA,NA,2.75
2.73,15426,NA,NA,NA,NA,2.474
2.75,15562,24.61,0.191,4.033,3.481,2.307
2.77,15698,NA,NA,NA,NA,2.612
2.78,15766,NA,NA,NA,NA,1.96
2.8,15902,24.04,-0.066,4.326,3.306,2.712
2.82,16038,NA,NA,NA,NA,2.708
2.83,16106,NA,NA,NA,NA,2.602
2.85,16242,24.2,-0.513,4.44,3.354,2.869
2.87,16378,NA,NA,NA,NA,2.449
2.88,16446,NA,NA,NA,NA,2.456
2.9,16582,24.68,0.522,4.407,3.503,2.416
2.92,16717,NA,NA,NA,NA,2.833
2.93,16785,NA,NA,NA,NA,2.869
2.95,16921,24.08,0.292,4.209,3.319,2.714
3.02,17397,23.22,0.242,4.297,3.073,2.478
3.05,17601,23.89,0.229,NA,3.264,2.793
3.1,17941,24.26,0.595,NA,3.374,2.631
3.15,18280,23.74,0.091,4.292,3.22,2.493
3.2,18620,23.47,0.256,4.386,3.141,2.612
3.25,18960,22.41,0.31,4.333,2.855,2.444
3.3,19300,23.06,0.044,4.3,3.029,2.737
3.35,19639,23.83,-0.373,4.448,3.246,2.528
3.4,19979,23.78,0.244,4.221,3.23,2.796
3.45,20130,22.12,0.103,4.446,2.782,2.915
3.5,20280,21.75,-0.084,4.387,2.691,2.977
3.55,20431,21.68,NA,4.425,2.674,2.826
3.6,20582,21.6,0.332,4.384,2.655,2.629
3.65,20732,22.41,0.021,4.342,2.855,2.544
3.7,20883,NA,-0.976,3.166,NA,2.299
3.75,21034,21.04,0.678,4.412,2.524,3.414
3.8,21184,21.05,-0.086,4.156,2.527,2.811
3.85,21335,22.17,0.043,4.434,2.795,1.935
3.9,21486,21.65,0.783,4.395,2.668,NA
3.95,21636,20.94,0.061,4.192,2.501,2.978
4,21787,24.13,0.601,4.795,3.335,2.802
4.05,21938,23.31,0.559,NA,3.098,3.749
4.1,22088,23.96,-0.347,3.947,3.282,2.443
4.15,22239,25.08,0.342,4.581,3.631,2.198
4.2,22390,24.55,0.131,4.481,3.463,NA
4.25,22540,22.11,-0.334,4.687,2.779,NA
4.3,22691,22.56,-0.24,4.361,2.895,NA
4.35,22842,22.42,-0.019,4.25,2.857,NA
4.4,22992,22.55,0.368,4.269,2.892,NA
4.45,23143,23.97,-0.076,4.235,3.287,NA
4.48,23234,22.28,0.006,4.261,2.823,NA
4.52,23354,24.44,0.65,4.671,3.429,NA
4.55,23444,23.89,-0.081,4.244,3.262,NA
4.6,23595,23.45,1.007,4.036,3.135,NA
4.65,23746,24.45,0.27,3.905,3.432,NA
4.7,23897,22.52,0.903,3.939,2.883,NA
4.75,24047,23.03,0.5,4.014,3.02,NA
4.8,24198,22.74,0.745,3.93,2.942,NA
4.85,24349,23.7,0.033,4.185,3.208,NA
4.9,24499,23.72,-0.166,3.873,3.212,NA
4.95,24650,22.81,0.099,4.071,2.961,NA
5,24801,24.03,0.412,4.29,3.305,NA
5.05,24951,22.78,0.753,4.278,2.953,NA
5.1,25102,23.55,0.283,4.24,3.163,NA
5.15,25253,23.23,NA,3.999,3.075,NA
5.2,25403,22.47,-0.115,4.472,2.87,NA
5.25,25554,22.86,0.383,4.215,2.973,NA
5.3,25705,24.61,0.47,4.047,3.48,NA
5.35,25855,22.69,0.441,4.303,2.929,NA
5.4,26006,23.19,-0.028,4.317,3.062,NA
5.45,26157,25.08,NA,4.21,3.631,NA
5.5,26307,23.78,0.364,4.082,3.231,NA
5.55,26458,23.9,-0.539,3.877,3.266,NA
5.6,26609,23.57,0.685,4.043,3.171,NA
5.65,26759,23.02,0.593,3.991,3.016,NA
5.7,26910,21.83,0.708,4.168,2.711,NA
5.75,27061,23.22,0.75,4.566,3.071,NA
5.8,27211,22.45,0.893,4.123,2.866,NA
5.85,27362,22.64,0.596,4.182,2.915,NA
5.9,27498,21.84,0.765,4.385,2.714,NA
5.95,27635,22.27,0.583,4.154,2.82,NA
5.98,27717,22.73,0.427,4.297,2.939,NA
6.03,27853,23.62,0.366,4.323,3.185,NA
6.05,27908,22.6,0.385,4.214,2.904,NA
6.1,28044,21.87,0.24,NA,2.72,NA
6.15,28181,23.17,0.143,4.435,3.057,NA
6.2,28317,21.73,0.945,4.24,2.687,NA
6.25,28454,21.73,0.319,4.124,2.686,NA
6.3,28590,22.21,NA,4.374,2.806,NA
6.35,28727,NA,NA,4.402,NA,NA
6.4,28863,22.94,0.32,4.214,2.994,NA
6.45,29000,21.56,0.087,4.194,2.646,NA
6.5,29136,22.51,0.344,4.342,2.881,NA
6.55,29273,23.05,0.072,4.266,3.024,NA
6.6,29409,23.42,-0.417,4.126,3.128,NA
6.65,29546,21.1,-0.079,4.205,2.537,NA
6.7,29682,21.83,0.385,4.174,2.711,NA
6.75,29819,21.68,0.432,4.23,2.674,NA
6.8,29955,22.12,0,4.213,2.782,NA
6.85,30092,22.4,0.363,4.128,2.854,NA
6.9,30228,21.67,0.261,4.011,2.672,NA
6.95,30365,21.95,0.225,4.371,2.74,NA
7,30501,24.09,0.023,4.459,3.323,NA
7.05,30638,23.63,-0.17,4.384,3.187,NA
7.1,30774,23.68,0.173,4.3,3.201,NA
7.15,30911,22.5,0.162,4.109,2.88,NA
7.2,31047,23.25,0.136,3.799,3.081,NA
7.25,31184,23.29,0.196,3.944,3.092,NA
7.3,31320,23.05,0.935,4.007,3.024,NA
7.35,31457,23.35,0.317,4.086,3.107,NA
7.4,31593,22.7,0.159,4.063,2.932,NA
7.45,31730,22.49,0.64,4.332,2.876,NA
7.48,31812,22.34,0.679,4.512,2.838,NA
7.52,31921,22.62,-0.108,4.415,2.911,NA
7.55,32003,23.69,0.051,4.33,3.205,NA
7.6,32139,23.59,0.118,4.118,3.176,NA
7.65,32276,24.55,0.193,3.951,3.463,NA
7.7,32412,23.24,0.129,3.888,3.076,NA
7.75,32549,25.56,-0.271,3.741,3.793,NA
7.8,32685,23.6,0.033,NA,3.178,NA
7.85,32822,23.72,-0.028,3.778,3.212,NA
7.9,32958,24.54,-0.001,3.805,3.458,NA
7.95,33095,NA,NA,4.128,NA,NA
8,33231,23.45,0.571,3.862,3.137,NA
8.05,33368,24.04,0.489,3.727,3.307,NA
8.1,33504,23.46,0.478,3.758,3.139,NA
8.15,33641,24.52,0.575,3.764,3.454,NA
8.2,33777,24.65,-0.295,3.895,3.493,NA
8.25,33914,24.76,0.688,3.637,3.528,NA
8.3,34050,24.54,0.438,3.844,3.458,NA
8.35,34187,22.68,0.429,3.677,2.926,NA
8.4,34323,24.34,0.103,4,3.397,NA
8.45,34460,23.95,0.095,4.049,3.281,NA
8.5,34596,24.6,-0.59,4.117,3.478,NA
8.55,34733,24.47,-0.634,4.003,3.436,NA
8.6,34869,24.52,-0.289,3.685,3.454,NA
8.65,35006,24.26,-0.181,4.136,3.374,NA
8.7,35142,24.44,-0.158,4.17,3.428,NA
8.75,35279,24.93,-0.102,4.21,3.583,NA
8.8,35415,25.49,-0.19,3.936,3.769,NA
8.85,35777,24.47,-0.414,4.132,3.436,NA
8.9,36139,25.56,0.128,4.043,3.792,NA
8.95,36501,24.77,-0.086,3.942,3.533,NA
8.98,36718,24.36,-0.936,3.893,3.404,NA
9.02,37008,25.43,0.178,3.58,3.749,NA
9.05,37225,24.15,-0.379,4.038,3.34,NA
9.1,37587,26.67,0.009,3.69,4.191,NA
9.15,37949,24.75,-0.035,3.701,3.526,NA
9.2,38311,24.15,0.006,NA,3.339,NA
9.25,38673,25.73,0.21,4.011,3.849,NA
9.3,39035,24.69,0.144,3.899,3.507,NA
9.35,39397,24.85,-0.588,4.044,3.556,NA
9.4,39759,23.59,-0.149,NA,3.176,NA
9.45,40121,23.8,-0.229,4.142,3.236,NA
9.5,40483,24.73,-0.157,3.903,3.518,NA
9.55,40845,24.44,-0.865,4.01,3.428,NA
9.6,41208,24.09,0.032,4.018,3.321,NA
9.65,41570,25.04,-0.027,4.125,3.617,NA
9.7,41932,23.1,-0.119,4.076,3.039,NA
9.75,42294,23.84,-0.593,4.033,3.248,NA
9.8,42656,22.55,-0.041,3.385,2.893,NA
9.85,43018,25.31,-0.153,3.45,3.709,NA
9.9,43380,22.65,-0.04,3.868,2.918,NA
9.95,43742,22.67,-0.089,3.947,2.924,NA
10,44104,22.11,0.399,4.034,2.779,NA
10.05,44466,22.42,-0.093,4.082,2.859,NA
10.1,44828,22.96,-0.028,4.157,3.001,NA
10.15,45190,23.51,-0.023,3.893,3.153,NA
10.2,45552,24.43,-0.557,NA,3.425,NA
10.25,45914,26.63,-0.918,4.087,4.174,NA
10.3,46276,24.56,-1.237,3.847,3.465,NA
10.35,46638,25.35,-0.889,4.048,3.72,NA
10.4,47000,25.57,-0.338,4.009,3.794,NA
10.45,47556,24.82,0.166,3.999,3.547,NA
10.48,47889,23.33,-0.267,4.001,3.103,NA
10.52,48333,24.42,-0.57,4.083,3.421,NA
10.55,48667,25.2,-0.06,3.951,3.672,NA
10.6,49222,24.53,-0.174,3.769,3.457,NA
10.65,49778,24.08,0.019,3.943,3.318,NA
10.7,50333,24.9,-0.052,2.57,3.573,NA
10.75,50889,24.82,-0.7,3.73,3.548,NA
10.8,51444,25.58,-0.486,3.315,3.798,NA
10.85,52000,25.84,-0.316,3.274,3.889,NA
10.9,52556,25.59,-0.712,3.405,3.802,NA
10.95,53111,24.62,0.267,3.437,3.484,NA
11,53667,24.7,0.529,3.613,3.508,NA
11.05,54222,24.87,-0.037,3.626,3.565,NA
11.1,54778,26.93,0.586,3.597,4.288,NA
11.15,55333,25.22,0.766,3.773,3.679,NA
11.2,55889,24.29,-0.129,3.764,3.381,NA
11.25,56444,24.54,0.091,3.83,3.459,NA
11.3,57000,24.4,0.531,4.027,3.415,NA
11.35,57556,24.07,-0.131,4.19,3.315,NA
11.4,58111,26.11,0.068,3.803,3.984,NA
11.45,58667,24.61,0.251,4.071,3.482,NA
11.5,59222,25.04,0.548,4.001,3.619,NA
11.55,59778,24.57,0.683,3.943,3.467,NA
11.6,60333,24.06,0.224,3.776,3.312,NA
11.65,60889,25.58,-0.114,3.973,3.8,NA
11.7,61444,25.08,0.576,3.945,3.63,NA
11.75,62000,24.44,0.533,3.958,3.428,NA
11.8,62556,24.26,0.533,3.957,3.373,NA
11.85,63111,24.99,0.391,3.734,3.603,NA
11.9,63667,23.94,0.301,4.083,3.277,NA
11.95,64222,23.78,0.311,4.192,3.229,NA
11.98,64556,24.2,0.195,4.055,3.354,NA
12.02,65000,21.72,-0.171,4.294,2.683,NA
12.05,65795,22.95,0.064,4.225,2.997,NA
12.1,67120,23.11,-0.17,4.2,3.041,NA
12.15,68446,23.85,-0.015,4.149,3.25,NA
12.2,69771,23.87,0.133,3.252,3.258,NA
12.25,71096,24.58,-0.001,3.988,3.471,NA
12.3,72422,24.28,-0.313,3.907,3.378,NA
12.35,73747,24.63,-0.017,3.927,3.487,NA
12.4,75072,25.11,0.204,3.609,3.641,NA
12.45,76398,25.32,0.359,3.853,3.711,NA
12.5,77723,25.51,-0.3,3.778,3.773,NA
12.55,79048,24.39,-0.075,3.416,3.414,NA
12.6,80373,24.82,-0.85,3.349,3.548,NA
12.65,81699,25.26,-1.268,3.414,3.692,NA
12.7,83024,25.86,-0.775,3.426,3.896,NA
12.75,84349,25.39,-1.071,3.286,3.734,NA
12.8,85675,26.02,-1.484,3.595,3.951,NA
12.85,87000,25.53,-0.756,3.636,3.78,NA
12.9,88048,24.63,-0.498,3.952,3.488,NA
12.95,89095,24.03,-0.003,3.849,3.303,NA
13,90143,25.41,-0.786,3.919,3.74,NA
13.05,91190,24.94,-0.361,3.725,3.586,NA
13.1,92238,25.35,-0.438,3.546,3.722,NA
13.15,93286,25.43,-0.818,3.729,3.747,NA
13.2,94333,24.17,-0.774,3.603,3.346,NA
13.25,95381,25.53,-0.29,3.541,3.78,NA
13.3,96429,26.84,-0.532,3.462,4.256,NA
13.35,97476,26.81,-0.703,3.536,4.245,NA
13.4,98524,27.34,-1.158,3.219,4.451,NA
13.45,99571,26.88,-0.998,3.333,4.271,NA
13.48,100200,27.04,-0.747,3.177,4.33,NA
13.52,101038,27.73,-0.602,3.223,4.609,NA
13.55,101667,27.34,-0.57,3.502,4.451,NA
13.6,102714,27.23,-0.429,3.562,4.407,NA
13.65,103762,28,-0.474,3.4,4.724,NA
13.7,104810,26.51,-0.367,3.53,4.13,NA
13.75,105857,25.53,-0.733,3.543,3.781,NA
13.8,106905,26.3,-0.492,3.403,4.052,NA
13.85,107952,25.34,-0.666,3.667,3.716,NA
13.9,109000,25.64,-0.727,3.844,3.82,NA
13.95,110667,26.06,-0.696,3.368,3.967,NA
14,112333,25.28,-0.167,2.955,3.698,NA
14.05,114000,26.87,-0.747,3.533,4.266,NA
14.1,115667,26.45,-0.469,3.421,4.108,NA
14.15,117333,27.21,-1.614,2.985,4.397,NA
14.2,119000,26.47,-1.32,2.737,4.116,NA
14.25,119727,27.89,-1.474,2.989,4.675,NA
14.3,120455,29.05,-1.369,2.668,5.19,NA
14.35,121182,29.89,-1.926,2.689,5.6,NA
14.4,121909,28.68,-1.652,2.641,5.02,NA
14.45,122636,28.83,-1.684,2.602,5.09,NA
14.5,123364,28.56,-1.638,2.519,4.969,NA
14.55,124091,28.21,-1.539,2.677,4.813,NA
14.6,124818,28.49,-1.807,2.594,4.934,NA
14.65,125545,28.49,-1.942,2.653,4.938,NA
14.7,126273,27.69,-1.756,2.707,4.593,NA
14.75,127000,26.96,-1.838,2.68,4.299,NA
14.8,127727,27.68,-1.877,2.692,4.59,NA
14.85,128455,25.75,-0.864,2.81,3.857,NA
14.9,129182,26.22,-0.888,3.082,4.022,NA
14.95,129909,26.74,-0.459,3.475,4.217,NA
14.98,130345,26.39,-0.98,3.23,4.084,NA
15.02,130927,26.72,0.7,3.663,4.208,NA
15.05,131364,26.4,0.206,4.073,4.091,NA
15.1,132091,25.8,0.709,3.361,3.875,NA
15.15,132818,24.95,0.538,4.29,3.59,NA
15.2,133545,26.13,-0.358,3.759,3.99,NA
15.25,134273,25.27,0.717,4.228,3.694,NA
15.3,135000,24.56,1.188,4.304,3.464,NA
15.35,135652,25.3,0.605,4.319,3.705,NA
15.4,136304,25.08,0.311,4.288,3.632,NA
15.45,136957,25.11,0.858,4.179,3.642,NA
15.5,137609,24.58,0.944,4.245,3.473,NA
15.55,138261,25.13,0.921,4.266,3.649,NA
15.6,138913,24.92,0.339,4.104,3.581,NA
15.65,139565,25.76,0.643,4.372,3.861,NA
15.7,140217,25.35,0.732,4.147,3.722,NA
15.75,140870,25.79,0.603,4.222,3.871,NA
15.8,141522,25.36,0.664,4.081,3.723,NA
15.85,142174,25.22,0.884,NA,3.676,NA
15.9,142826,25.56,0.557,4.368,3.79,NA
15.95,143478,24.65,0.049,4.14,3.493,NA
16,144130,24.15,0.784,4.421,3.34,NA
16.05,144783,25.7,0.517,4.147,3.839,NA
16.1,145435,24.38,0.334,4.288,3.411,NA
16.15,146087,25.12,-0.015,4.152,3.644,NA
16.2,146739,25.46,0.411,4.143,3.758,NA
16.25,147391,24.52,0.355,4.087,3.454,NA
16.3,148043,24.39,0.254,3.984,3.414,NA
16.35,148696,24.6,0.19,4.164,3.478,NA
16.4,149348,26.28,0.5,4.012,4.045,NA
16.45,150000,24.36,0.767,4.061,3.405,NA
16.48,150391,25.26,0.475,3.937,3.69,NA
16.52,150913,26.03,0.401,4.016,3.955,NA
16.55,151304,26.74,0.664,4.149,4.216,NA
16.6,151957,25.93,0.611,4.213,3.919,NA
16.65,152609,25.27,0.757,3.914,3.695,NA
16.7,153261,26.28,0.773,4.241,4.044,NA
16.75,153913,24.81,1.061,4.19,3.545,NA
16.8,154565,25.6,1.12,3.726,3.804,NA
16.85,155217,25.6,1.156,4.259,3.804,NA
16.9,155870,25.41,0.671,4.124,3.74,NA
16.95,156522,25.43,0.648,4.493,3.748,NA
17,157174,24.84,0.469,4.294,3.555,NA
17.05,157826,25.65,0.564,4.421,3.821,NA
17.1,158478,26.29,0.169,4.228,4.051,NA
17.15,159130,24.64,0.344,4.213,3.491,NA
17.2,159783,26.15,0.045,4.362,3.998,NA
17.25,160435,26.55,0.514,4.052,4.145,NA
17.3,161087,25.76,0.632,4.259,3.86,NA
17.35,161739,25.97,0.236,4.119,3.936,NA
17.4,162391,25.75,-0.209,4.331,3.856,NA
17.45,163043,25.87,-0.284,4.067,3.899,NA
17.5,163696,25.46,-0.039,4.188,3.759,NA
17.55,164348,26.69,-0.284,4.217,4.196,NA
17.6,165000,25.27,-0.493,4.208,3.695,NA
17.65,165852,26.24,-0.11,4.128,4.03,NA
17.7,166704,25.93,-0.756,4.068,3.919,NA
17.75,167556,25.44,-0.919,3.9,3.751,NA
17.8,168407,26.26,-0.458,3.663,4.038,NA
17.85,169259,25.93,-1.469,3.826,3.921,NA
17.9,170111,26.24,-0.502,3.752,4.03,NA
17.95,170963,24.89,-1.157,4.005,3.569,NA
17.98,171474,25.35,-0.369,4.023,3.722,NA
18.02,172156,25.51,-0.198,3.939,3.776,NA
18.05,172667,26.74,-0.281,3.778,4.218,NA
18.1,173519,25.4,-0.281,3.527,3.738,NA
18.15,174370,25.87,0.03,4.254,3.898,NA
18.2,175222,25.14,0,3.93,3.651,NA
18.25,176074,25.88,0.59,4.051,3.903,NA
18.3,176926,25.08,0.305,4.001,3.632,NA
18.35,177778,24.55,-0.009,4.062,3.462,NA
18.4,178630,24.9,-0.114,3.84,3.572,NA
18.45,179481,25.04,-0.026,3.952,3.617,NA
18.5,180333,24.29,-0.295,4.17,3.383,NA
18.55,181185,23.77,-0.528,3.983,3.228,NA
18.6,182037,24.98,-0.623,4.048,3.6,NA
18.65,182889,24.19,-0.62,3.978,3.351,NA
18.7,183741,25.02,-0.303,3.816,3.613,NA
18.75,184593,24.28,-0.528,3.825,3.378,NA
18.8,185444,26.38,-0.609,3.826,4.082,NA
18.85,186296,25.9,-0.481,3.971,3.908,NA
18.9,187148,25.39,-0.614,3.72,3.734,NA
18.95,188000,26.45,-0.469,4.089,4.107,NA
19,189160,26.99,-0.474,3.795,4.312,NA
19.05,190320,26.43,-0.72,3.574,4.1,NA
19.1,191480,26.27,-1.017,3.286,4.042,NA
19.15,192640,25.75,-0.625,2.914,3.858,NA
19.2,193800,27.28,-1.033,2.856,4.427,NA
19.25,194960,27.31,-0.928,3.556,4.437,NA
19.3,196120,28.66,-0.856,3.212,5.01,NA
19.35,197280,27.89,-0.899,2.878,4.678,NA
19.4,198440,28.74,-1.127,3.374,5.05,NA
19.45,199600,26.29,-0.523,3.456,4.048,NA
19.48,200296,27.03,-0.536,3.571,4.328,NA
19.52,201224,25.47,-0.462,3.394,3.76,NA
19.55,201920,25.48,-0.528,3.294,3.766,NA
19.6,203080,25.76,-0.348,3.397,3.859,NA
19.65,204240,24.96,-0.429,3.506,3.594,NA
19.7,205400,25.3,-0.416,3.142,3.705,NA
19.75,206560,25.12,-0.761,3.29,3.645,NA
19.8,207720,25.75,-1.07,3.235,3.856,NA
19.85,208880,24.77,-1.008,3.191,3.533,NA
19.9,210040,26.47,-0.828,3.022,4.117,NA
19.95,211200,27.07,-0.709,3.04,4.344,NA
20,212360,27.04,-0.938,2.769,4.332,NA
20.05,213520,26.54,-1.069,2.731,4.143,NA
20.1,214680,26.41,-1.225,2.623,4.092,NA
20.15,215840,27.86,-1.344,2.617,4.665,NA
20.2,217000,27.66,-1.982,2.546,4.579,NA
20.25,219000,26.55,-0.611,2.985,4.145,NA
20.3,221000,27.25,-0.97,3.56,4.413,NA
20.35,223000,26.77,-1.095,4.281,4.229,NA
20.4,223593,28.04,-1.375,4.272,4.742,NA
20.45,224185,27.31,-0.663,4.135,4.439,NA
20.5,224778,26.24,-0.569,4.227,4.032,NA
20.55,225370,25.75,-0.58,3.304,3.857,NA
20.6,225963,25.5,-0.733,3.573,3.77,NA
20.65,226556,26.26,-0.972,4.09,4.039,NA
20.7,227148,26.34,-0.428,4.132,4.068,NA
20.75,227741,25.99,-0.755,NA,3.943,NA
20.8,228333,27.19,-0.488,4.151,4.389,NA
20.85,228926,25.7,-0.687,4.064,3.841,NA
20.9,229519,26.7,-0.319,4.2,4.202,NA
20.95,230111,24.46,-0.735,4.088,3.435,NA
20.98,230467,25.18,-0.17,4.006,3.663,NA
21.02,230941,25.58,-0.784,3.976,3.797,NA
21.05,231296,25.8,-0.918,4.072,3.874,NA
21.1,231889,29.81,-0.735,3.944,5.56,NA
21.15,232481,25.55,-0.362,3.846,3.787,NA
21.2,233074,25.5,-0.702,3.931,3.772,NA
21.25,233667,26.57,-0.707,3.866,4.153,NA
21.3,234259,26.79,-0.866,3.588,4.236,NA
21.35,234852,26.18,-0.859,4.002,4.011,NA
21.4,235444,26.75,-0.807,3.933,4.222,NA
21.45,236037,27.41,-1.264,3.777,4.479,NA
21.5,236630,27.28,-1.194,3.822,4.428,NA
21.55,237222,27.5,-1.603,3.139,4.516,NA
21.6,237815,28.81,-1.099,2.7,5.08,NA
21.65,238407,30.3,-1.812,3.004,5.81,NA
21.7,239000,29.99,-1.431,2.894,5.65,NA
21.75,239591,28.41,-1.116,3.022,4.902,NA
21.8,240182,26.82,-0.074,3.232,4.248,NA
21.85,240773,26.72,-0.433,3.159,4.21,NA
21.9,241364,26.3,-0.414,2.948,4.052,NA
21.95,241955,25.65,-0.418,3.383,3.823,NA
22,242545,26.59,-0.124,3.199,4.159,NA
22.05,243136,25.87,-0.524,3.286,3.899,NA
22.1,243727,25.84,-0.383,3.208,3.888,NA
22.15,244318,26.36,-0.981,3.49,4.073,NA
22.2,244909,30.6,-0.591,NA,5.97,NA
22.25,245500,29.28,-0.168,NA,5.3,NA
22.3,246091,27.26,0.08,NA,4.419,NA
22.35,246682,25.27,-0.782,3.77,3.694,NA
22.4,247273,NA,-0.922,NA,NA,NA
22.45,247864,NA,-0.762,NA,NA,NA
22.48,248218,NA,-0.638,NA,NA,NA
22.52,248691,NA,-0.917,NA,NA,NA
22.55,249045,NA,-0.556,NA,NA,NA
22.6,249636,NA,-0.236,NA,NA,NA
22.65,250227,NA,0.131,NA,NA,NA
22.7,250818,NA,-0.091,NA,NA,NA
22.75,251409,NA,0.265,NA,NA,NA
22.8,252000,25.38,-0.885,4.242,3.73,NA
22.85,252346,25.7,-1.339,4.116,3.84,NA
22.9,252691,25.72,-1.159,3.938,3.847,NA
22.95,253037,27.32,-1.355,3.914,4.442,NA
23,253383,26.73,-1.214,3.838,4.214,NA
23.05,253728,27.21,-1.197,3.884,4.398,NA
23.1,254074,27.25,-1.116,3.911,4.414,NA
23.15,254420,27.5,-1.174,3.913,4.516,NA
23.2,254765,26.85,-0.847,3.94,4.26,NA
23.25,255111,26.75,-0.953,NA,4.222,NA
23.3,255457,28.26,-1.063,NA,4.836,NA
