year (AD),age (BP),depth (m),temperature (degC),Gbulloidesd18O (permil),Npachderma (percent),PPexp (g/m^2/a)
-12943,14893,1.91,10.9,1.7,11.23,74.7
-13018,14968,1.94,14.6,1.8,15.21,78.4
-13093,15043,1.97,12.8,1.87,21.74,81.6
-13168,15118,2,11.2,1.68,11.46,82.9
-13243,15193,2.03,16,1.7,18.05,77.1
-13318,15268,2.06,14.4,1.69,20.75,74.9
-13393,15343,2.09,15.1,1.62,18.96,72.3
-13468,15418,2.12,11,2.14,25.88,81.4
-13543,15493,2.15,9.3,1.91,41.25,72.9
-13618,15568,2.18,9,1.85,52.62,68
-13693,15643,2.21,7.8,2.15,63.71,68.8
-13745,15695,2.24,7.1,2.43,67.99,67
-13796,15746,2.27,8.2,2.01,62.31,64.2
-13848,15798,2.3,7.6,2.18,74.17,67.9
-13900,15850,2.33,5.7,2.38,74.59,61.3
-13951,15901,2.36,6.1,2.36,71.9,66.2
-14003,15953,2.39,5.5,1.96,71.39,59.6
-14072,16022,2.42,5.9,2.42,78.15,63.3
-14209,16159,2.48,5,2.39,77.66,58.2
-14277,16227,2.51,4.6,2.29,81.08,57.6
-14346,16296,2.54,5.6,2.55,82.64,61.5
-14391,16341,2.56,NA,2.81,NA,NA
-14414,16364,2.57,5.9,2.57,86.27,61
-14437,16387,2.58,NA,2.81,NA,NA
-14483,16433,2.6,5.5,2.74,77.73,57.6
-14529,16479,2.62,NA,2.8,NA,NA
-14552,16502,2.63,5.7,2.88,85.98,59
-14597,16547,2.65,NA,3,NA,NA
-14620,16570,2.66,4.6,2.64,89.79,53.9
-14643,16593,2.67,NA,2.91,NA,NA
-14689,16639,2.69,5.5,2.85,82.34,59
-14757,16707,2.72,5.5,2.94,82.34,57.8
-14780,16730,2.73,NA,3.03,NA,NA
-14826,16776,2.75,4.6,2.91,79.01,57.6
-14871,16821,2.77,NA,2.92,NA,NA
-14894,16844,2.78,4.6,2.56,80.56,57.6
-14963,16913,2.81,5,2.91,76.37,58.5
-15006,16956,2.82,NA,2.92,NA,NA
-15092,17042,2.84,5,2.84,74.74,58.5
-15135,17085,2.85,NA,3.11,NA,NA
-15221,17171,2.87,5.5,2.87,79.94,57.6
-15264,17214,2.88,NA,2.94,NA,NA
-15350,17300,2.9,4.7,2.85,76.81,57.6
-15436,17386,2.92,NA,3.14,NA,NA
-15479,17429,2.93,7.8,3.12,64.24,68.6
-15557,17507,2.96,8.6,2.68,40.78,72.6
-15635,17585,2.99,9,2.82,36.77,72.1
-15713,17663,3.02,9.3,2.73,32.37,73.3
-15791,17741,3.05,8.6,2.87,37.89,73
-15916,17866,3.08,10.9,2.79,22.92,75.9
-16041,17991,3.11,13.3,2.65,12.75,76.4
-16166,18116,3.14,13.9,2.54,14.65,79.5
-16291,18241,3.17,16.1,2.56,3.74,113.3
-16416,18366,3.2,16.1,2.39,4.94,113.4
-16541,18491,3.23,16.1,2.34,2.1,112.6
-16665,18615,3.26,15.7,2.54,1.46,113.3
-16790,18740,3.29,15.3,2.8,1.81,111.4
-16915,18865,3.32,16.1,2.52,8.74,108.3
-17040,18990,3.35,14.2,2.6,9.02,102.4
-17165,19115,3.38,14.9,2.31,7.03,109
-17290,19240,3.41,15.3,2.19,5.4,110.1
-17378,19328,3.44,17.3,2.47,4.29,101.1
-17467,19417,3.47,16.2,2.39,3.3,114.7
-17555,19505,3.5,16.2,2.41,2.15,114.3
-17643,19593,3.53,15.9,2.44,2.99,115.1
-17732,19682,3.56,16.8,2.44,3.92,108.1
-17820,19770,3.59,15.7,2.41,2.39,113.3
-17908,19858,3.62,15.6,2.44,2.73,113.4
-17997,19947,3.65,15.7,2.46,2.77,114
-18085,20035,3.68,16.3,2.58,3.51,114.6
-18173,20123,3.71,15.8,2.53,1.83,114.7
-18262,20212,3.74,16.5,2.64,3.48,106.5
-18350,20300,3.77,17.4,2.69,4.53,109.6
-18443,20393,3.8,16.3,2.49,3.36,115.2
-18535,20485,3.83,17,2.36,4.97,109.8
-18628,20578,3.86,16.6,2.26,6.06,109.8
-18720,20670,3.89,16,2.55,5.45,114.5
-18813,20763,3.92,16.3,2.3,6.73,116.3
-18906,20856,3.95,17.8,2.45,6.48,93.4
-18998,20948,3.98,17.7,2.5,7.63,99.7
-19091,21041,4.01,18.3,2.47,2.98,85.4
-19184,21134,4.04,15.8,2.57,5.69,113.1
-19276,21226,4.07,15.9,2.64,3.5,115.6
-19369,21319,4.1,15.6,2.45,3.85,114.3
-19461,21411,4.13,15.6,2.7,1.8,114.2
-19554,21504,4.16,15.3,2.51,2.34,112.3
-19647,21597,4.19,16.3,2.55,1.59,116.3
-19739,21689,4.22,15.4,2.48,2.93,114
-19832,21782,4.25,15.1,2.71,3,111.4
-19925,21875,4.28,15.6,2.56,2.52,114
-20017,21967,4.31,14.2,2.76,1.45,105.4
-20110,22060,4.34,13.9,2.48,1.64,100.8
-20202,22152,4.37,15,2.46,0.65,109.4
-20295,22245,4.4,14.6,2.49,1.57,106.6
-20388,22338,4.43,13.8,2.48,1.17,102
-20480,22430,4.46,15.3,2.57,1.56,112
-20573,22523,4.49,14.8,2.6,1.84,108.7
-20666,22616,4.52,14.2,2.6,2.59,104.2
-20758,22708,4.55,15.3,2.34,4.15,112.9
-20851,22801,4.58,14.2,2.71,5.61,103.7
-20943,22893,4.61,15.5,2.56,3.61,114.2
-21036,22986,4.64,13.7,2.54,6.2,101.1
-21129,23079,4.67,13.5,2.51,4.28,99.9
-21221,23171,4.7,13.5,2.56,4.64,99.9
-21314,23264,4.73,15,2.68,4.75,110.1
-21407,23357,4.76,13.5,2.55,8.06,96.3
-21499,23449,4.79,14.6,2.63,10.19,104.9
-21592,23542,4.82,12.8,2.59,14.04,82.7
-21684,23634,4.85,10.1,2.72,27.27,77.1
-21777,23727,4.88,10.1,2.73,42.62,74.3
-21807,23757,4.91,8.3,2.91,53.26,69.6
-21838,23788,4.94,7.4,2.88,68.46,69.3
-21868,23818,4.97,8,3.08,58.07,69.9
-21899,23849,5,7.9,2.89,49.77,62.1
-21929,23879,5.03,8,NA,60.94,69.9
-21959,23909,5.06,8.9,2.81,44.61,73.9
-21990,23940,5.09,9.8,2.74,42.6,71.5
-22020,23970,5.12,8.6,2.9,40.97,71.9
-22086,24036,5.15,11.6,2.84,24.93,79.2
-22151,24101,5.18,14,2.75,13.87,78.3
-22217,24167,5.21,15.8,2.61,8.47,79.9
-22282,24232,5.24,13.6,2.61,9.07,86.4
-22348,24298,5.27,15.4,2.58,2.92,96.3
-22413,24363,5.3,15.6,2.77,5.48,90.8
-22495,24445,5.33,15.6,2.56,5.53,83.9
-22578,24528,5.36,18.5,2.58,3.62,86.4
-22660,24610,5.39,13.3,2.51,7.92,92.1
-22742,24692,5.42,13.9,2.63,5.04,87.4
-22825,24775,5.45,11.7,2.6,8.24,83.9
-22907,24857,5.48,13.2,2.48,9.44,81.4
-22990,24940,5.51,13.7,2.72,11.32,79.4
-23072,25022,5.54,15.6,2.7,13.36,70.6
-23154,25104,5.57,10.1,2.64,10.57,76.8
-23237,25187,5.6,15,2.62,10.36,75.1
-23319,25269,5.63,11.1,2.68,7.57,78.7
-23401,25351,5.66,10.9,2.97,11.25,77.7
-23484,25434,5.69,9.8,2.88,22.06,76.1
-23566,25516,5.72,10.7,2.86,23.42,75
-23658,25608,5.75,8.8,3.09,28.67,66.6
-23750,25700,5.78,8.9,3.3,26.37,66.2
-23798,25748,5.81,9.8,3.09,14.29,75.4
-23846,25796,5.84,9.8,2.85,14.42,75.4
-23894,25844,5.87,9.7,2.97,17.91,74.5
-23942,25892,5.9,10.1,2.85,13.41,76.7
-23990,25940,5.93,10,2.6,11.45,76.6
-24038,25988,5.96,10.4,2.8,8.64,78.6
-24086,26036,5.99,13.3,2.66,3.67,93.4
-24134,26084,6.02,11.9,2.56,5.04,83.8
-24182,26132,6.05,12.2,2.76,1.51,89.9
-24230,26180,6.08,12.3,2.45,2.62,91.1
-24447,26397,6.11,12,2.67,2.19,88.3
-24736,26686,6.15,13.8,2.55,3.69,101.1
-24881,26831,6.17,17.1,2.57,2.74,96.3
-25098,27048,6.2,13.3,2.55,2.71,84.2
-25315,27265,6.23,13,2.41,3.58,90.2
-25532,27482,6.26,13.3,2.66,3.02,92.8
-25748,27698,6.29,12.4,2.54,4.18,84.2
-25965,27915,6.32,15.8,2.56,4.7,104.2
-26182,28132,6.35,15.7,2.62,5.98,84.5
-26399,28349,6.38,12.3,2.47,8.36,85.6
-26616,28566,6.41,15.1,2.29,8.77,84.4
-26833,28783,6.44,16.4,NA,4.96,85.9
-27050,29000,6.47,14.7,2.09,14.04,79.6
-27095,29045,6.5,9.8,2.26,35.66,71.4
-27140,29090,6.53,9.2,2.53,36.5,71.8
-27186,29136,6.56,11.4,2.56,28.37,77.9
-27231,29181,6.59,9.6,2.42,23.53,75.3
-27276,29226,6.62,10.8,2.93,18.69,74.9
-27321,29271,6.65,10.7,2.86,21.85,75
-27366,29316,6.68,10.9,3.14,22.49,75.2
-27411,29361,6.71,9.6,3.08,23.82,74.2
-27457,29407,6.74,9.8,2.99,23.98,76
-27502,29452,6.77,9.5,2.46,20.89,75.5
-27547,29497,6.8,11.5,2.68,22.73,78.4
-27592,29542,6.83,9.9,2.51,34.31,77.5
-27637,29587,6.86,8.9,2.88,37.71,72.8
-27683,29633,6.89,8.2,2.91,49.15,72.2
-27728,29678,6.92,8.4,2.73,43.55,72.9
-27773,29723,6.95,8.6,2.86,45.58,72.6
-27818,29768,6.98,7.7,2.93,56.48,70.9
-27863,29813,7.01,7.7,3.02,50.51,70.9
-27909,29859,7.04,8.1,2.87,64.26,71.8
-27954,29904,7.07,7.4,2.88,70.7,69.3
-27999,29949,7.1,7.4,3.02,70.3,69.3
-28044,29994,7.13,7.6,2.88,57.91,69.8
-28089,30039,7.16,8.3,2.76,47.37,71.4
-28134,30084,7.19,5.3,2.86,67.61,63.5
-28180,30130,7.22,6.2,2.71,76.89,63.5
-28225,30175,7.25,7.9,3.21,45.97,71.4
-28270,30220,7.28,11.3,3.1,19.01,75.4
-28440,30390,7.31,11.6,3.11,15.95,75.7
-28609,30559,7.34,14.4,2.87,12.12,75.2
-28779,30729,7.37,12.2,2.67,21.04,78.9
-28948,30898,7.4,13.4,2.58,20.37,77.2
-29118,31068,7.43,15.2,2.44,7.66,95.2
-29287,31237,7.46,13,2.62,3.94,84.4
-29400,31350,7.48,16.9,2.71,4,106.7
-29570,31520,7.51,12.6,2.73,4.36,82.8
-30010,31960,7.54,15.1,2.87,4.7,72.5
-30450,32400,7.57,11.9,2.92,7.6,77.4
-30890,32840,7.6,12.2,2.88,8,77.7
-31330,33280,7.63,14.6,2.73,14.04,75.3
-31770,33720,7.66,9.5,2.82,14.34,75.7
-31960,33910,7.69,14.8,2.77,10.25,80.6
-32150,34100,7.72,13.2,2.79,7.31,72.9
-32340,34290,7.75,17.3,2.65,7.85,84.3
-32530,34480,7.78,11.2,2.74,10.88,78.9
-32632,34582,7.82,16.8,2.85,10.52,65.7
-32708,34658,7.85,19.9,2.69,8.13,50.1
-32784,34734,7.88,11.8,2.59,12.65,76.6
-32860,34810,7.91,15,2.76,13.37,72.5
-32936,34886,7.94,17.7,2.81,7.87,85.3
-33013,34963,7.97,13.1,2.6,10.21,76.4
