depth (cm),year (AD),age (BP),clay0x25strd (percent),susc (missing),LOI (missing),LOI (missing),gs500x25 (percent),gs0x2E020x2D30x2E89um (percent),gs30x2E900x2D70x2E79um (percent),gs70x2E800x2D150x2E59um (percent),gs150x2E60um0x2D300x2E99um (percent),gs310x2E000x2D620x2E49um (percent),gs620x2E500x2D1240x2E99um (percent),gs1250x2E000x2D2490x2E99um (percent),gs2500x2E000x2D4990x2E99um (percent),grainSize5000x2E00um0x2D10000x2E00um (percent),gs10000x2E010x2D20000x2E00um (percent),mode (missing),clay0x25 (percent),silt0x25 (percent),sand0x25 (percent),ostracods (missing),C0x2FN (missing)
80.5,-31.1,1981.1,0.96,4.8,7.18,5.63,3.61,52.45,18.88,12.08,6.33,4,2.75,1.18,1.93,0.27,0,2.58,52.45,41.29,6.14,NA,6.62
81.5,-56.3,2006.3,NA,4.7,7.12,6.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82.5,-81.8,2031.8,0.27,4.8,7.69,6.84,5.74,40.3,16.71,13.32,9.09,7.2,5.54,2.82,3.6,1.32,0,2.97,40.3,46.32,13.28,NA,7.22
83.5,-106.7,2056.7,NA,4.9,7,8.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84.5,-131.5,2081.5,0.25,4.9,6.34,6.4,5.8,39.93,16.92,13.62,9.19,6.68,5.51,4.76,3.12,0.15,0,3.02,39.93,46.41,13.55,NA,7.3
85.5,-156,2106,NA,5.2,6.89,7.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86.5,-181.2,2131.2,0.4,5.2,6.62,6.98,4.62,42.63,27.38,15.17,6.1,4.35,3.21,0.99,0.02,0,0,4.1,42.63,52.99,4.22,NA,7.29
87.5,-206.1,2156.1,NA,5.2,7.38,5.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88.5,-231.1,2181.1,0.4,5.8,6.41,6.33,5.14,42.55,17.77,14.14,8.73,5.84,4.5,2.86,2.78,0.73,0,3.19,42.55,46.47,10.87,NA,7.02
89.5,-256.4,2206.4,NA,4.8,6.79,6.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
90.5,-281.5,2231.5,0.44,4.8,6.46,8.39,4.62,43.28,25.36,16.87,8.78,4.14,1.31,0.1,0,0,0,3.97,43.28,55.15,1.42,NA,7.44
91.5,-306.6,2256.6,NA,4.8,6.9,6.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92.5,-332.2,2282.2,-0.11,5.1,6.6,6.35,6.04,33.73,25.48,19.83,9.84,4.7,3.03,1.39,1.52,0.33,0,5.56,33.73,59.85,6.26,NA,6.91
93.5,-357.6,2307.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94.5,-382.6,2332.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95.5,-408.3,2358.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96.5,-434.1,2384.1,0.24,5.8,6.09,6.59,5.8,39.88,17.37,15.56,11.45,8.65,5.47,1.24,0.2,0.07,0,3.67,39.88,53.03,6.98,NA,NA
97.5,-459.9,2409.9,NA,4.8,5.68,9.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98.5,-486,2436,0.32,4.2,6.88,8.42,5.4,41.15,18.37,15.87,11.2,7.96,4.65,0.69,0,0,0,3.62,41.15,53.4,5.34,NA,7.53
99.5,-511.8,2461.8,NA,5,6.37,7.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
100.5,-536.5,2486.5,0.47,4.8,6.58,6.55,4.9,43.89,17.44,13.82,9.21,8.18,5.97,1.18,0.14,0.05,0,2.99,43.89,48.66,7.34,NA,NA
101.5,-561.4,2511.4,NA,4.2,6.49,7.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102.5,-586.2,2536.2,NA,4.3,6.91,7.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103.5,-611.6,2561.6,NA,4.5,5.97,8.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104.5,-636.6,2586.6,0.38,4.5,6.61,7.51,5.16,42.2,18.59,15.54,10.21,7.03,4.75,1.4,0.17,0,0,3.33,42.2,51.36,6.32,NA,NA
105.5,-661.6,2611.6,NA,4.3,9.71,8.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106.5,-686.5,2636.5,0.26,5.3,10.43,11.15,5.74,40.19,17.21,14.49,9.62,7.71,5.87,1.78,2.24,0.77,0,3.23,40.19,49.03,10.67,NA,NA
107.5,-711.7,2661.7,NA,5.4,8.95,10.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108.5,-736.6,2686.6,0.28,4.6,9.04,14.12,5.79,40.6,16.06,14.17,10.47,7.82,5.48,2.14,2.44,0.72,0,2.96,40.6,48.52,10.78,NA,8.31
109.5,-761.9,2711.9,NA,4.2,9.88,11.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
110.5,-786.8,2736.8,0.15,5,9.14,7.79,6.21,38.19,17.36,15.08,10.93,9.47,6.85,1.61,0.39,0.01,0,3.92,38.19,52.84,8.85,NA,6.78
111.5,-812.4,2762.4,NA,5.3,8.97,8.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112.5,-838.3,2788.3,0.12,4.9,9.59,7.26,6.18,37.76,18.25,16.28,11.6,8.13,5.03,1.68,0.89,0.26,0,5.08,37.76,54.26,7.86,NA,7.67
113.5,-864.1,2814.1,NA,4.7,8.89,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114.5,-889.9,2839.9,1.26,4.6,9.77,9.62,3.29,57.56,24.18,9.93,2.95,2.79,2.3,0.14,0,0,0,3.06,57.56,39.85,2.44,NA,7.22
115.5,-915,2865,NA,4.3,10.54,8.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116.5,-939.2,2889.2,0.33,4.7,10.21,9.67,5.66,41.41,15.61,14.54,11.61,8.41,5.22,1.63,1.09,0.38,0,2.66,41.41,50.17,8.31,NA,7.84
117.5,-963.1,2913.1,NA,4.5,9.52,10.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118.5,-987.3,2937.3,0.26,3.8,10.97,8.63,5.77,40.11,17.05,14.46,9.8,7.39,6.04,3.62,1.41,0,0,3.31,40.11,48.71,11.07,NA,NA
119.5,-1011.5,2961.5,NA,3.8,12.44,7.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
120.5,-1036.2,2986.2,NA,4.4,11.03,10.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121.5,-1061.3,3011.3,NA,4.4,10.23,9.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122.5,-1086.5,3036.5,0.42,4.5,10.53,10.77,5.07,43.01,17.64,14.42,9.75,7.12,4.92,1.49,1.13,0.42,0,3.16,43.01,48.92,7.96,NA,8.96
123.5,-1112.3,3062.3,NA,4.6,10.83,8.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124.5,-1137.8,3087.8,0.73,4.5,10.82,8.94,4.08,48.45,19.98,13.78,8.12,5.72,3.31,0.51,0,0,0,2.85,48.45,47.6,3.83,NA,9.4
125.5,-1163.7,3113.7,NA,4.5,10.38,9.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126.5,-1189.7,3139.7,0.2,4.3,10.43,10.77,6.15,39.19,15.99,12.85,8.38,7.2,5.45,2.48,6.11,2.25,0,3.25,39.19,44.42,16.29,NA,NA
127.5,-1215.5,3165.5,NA,4.2,11.14,10.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128.5,-1241.4,3191.4,0.2,4.3,11.15,9.69,5.93,39.16,17.73,16.09,11.42,7.6,4.89,1.29,1.01,0.71,0,5.29,39.16,52.83,7.9,NA,12.4
129.5,-1267,3217,NA,4.2,11.17,8.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
130.5,-1292.2,3242.2,-0.06,5.1,10.29,9.5,6.56,34.53,20.4,17.13,10.27,6.97,5.95,2.44,1.66,0.52,0,5.56,34.53,54.77,10.57,NA,NA
131.5,-1317.8,3267.8,NA,5.1,9.96,7.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132.5,-1343.2,3293.2,0.19,5.2,10.19,7.72,6.39,38.9,15.23,12.24,7.66,6.56,6.67,5.67,5.88,1.09,0,3.08,38.9,41.69,19.32,NA,NA
133.5,-1368.6,3318.6,NA,4.9,10.5,8.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134.5,-1394.2,3344.2,0.93,4.4,10.97,8.8,3.66,51.93,19.88,13.62,7.14,4.13,2.38,0.45,0.36,0,0,2.97,51.93,44.77,3.18,NA,26.68
135.5,-1419.2,3369.2,NA,4.6,10.95,8.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136.5,-1444.2,3394.2,0.2,4,10.98,9.7,5.99,39.16,17.17,14.49,9.84,8.72,7.27,2.26,0.75,0.24,0,3.74,39.16,50.21,10.51,NA,NA
137.5,-1469.4,3419.4,NA,4.4,17.23,9.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138.5,-1494.3,3444.3,0.14,4.3,10.93,9.32,6.13,38.17,17.89,15.34,10.57,8.86,7.01,2.04,0.01,0,0,4.6,38.17,52.65,9.06,NA,NA
139.5,-1519.7,3469.7,NA,3.8,11.11,10.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
140.5,-1545.1,3495.1,0.41,4.1,10.55,9.77,5.1,42.72,17.77,12.91,6.57,5.92,5.59,4.56,3.48,0.37,0,3.32,42.72,43.17,13.99,NA,NA
141.5,-1570.3,3520.3,NA,4.2,10.61,10.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142.5,-1595.3,3545.3,0.49,4.5,9.43,10.25,4.82,44.13,18.11,14.14,8.81,6.92,5.45,1.48,0.59,0.25,0,3.23,44.13,47.98,7.77,NA,NA
143.5,-1620.7,3570.7,NA,4.7,9.84,10.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144.5,-1645.8,3595.8,1.47,5.1,10.27,9.13,2.72,61.26,15.32,7.85,3.14,5.33,5.79,1.21,0,0,0,2.22,61.26,31.64,7,NA,9.77
145.5,-1671.3,3621.3,NA,4.6,10.08,9.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146.5,-1696.9,3646.9,0.78,4.7,10.51,11.5,3.97,49.28,20.77,13.18,7.69,5.01,3,0.72,0.18,0.05,0,2.93,49.28,46.65,3.94,NA,NA
147.5,-1722.5,3672.5,NA,4.4,11.69,9.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148.5,-1747.8,3697.8,0.02,4.3,12.44,6.78,6.78,35.96,17.34,15.38,12.91,10.59,5.59,1.12,0.81,0.18,0,3.45,35.96,56.23,7.7,NA,10.48
149.5,-1773.1,3723.1,NA,4.6,12.08,7.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
150.5,-1794.2,3744.2,0.45,4.3,11.47,9.38,4.86,43.57,19.01,14.63,9.11,6.52,4.81,1.67,0.5,0.06,0,3.22,43.57,49.27,7.04,NA,NA
151.5,-1810.5,3760.5,NA,4.3,12.13,9.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152.5,-1827,3777,1.15,4.7,11.16,7.8,3.2,55.72,14.67,7.72,4.67,6.26,6.69,2.88,1.29,0.01,0,2.33,55.72,33.31,10.87,NA,10.41
153.5,-1843,3793,NA,4.9,10.05,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154.5,-1859,3809,0.7,5.1,10.61,7.31,4.23,47.77,16.38,11.86,8.02,7.18,5.88,1.85,0.7,0.25,0,2.59,47.77,43.44,8.67,NA,9.58
155.5,-1874,3824,NA,4.8,10.64,6.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156.5,-1887.5,3837.5,0.37,4.5,11.11,8.42,5.33,42.18,16.51,13.23,8.84,7.56,7.18,2.92,1.09,0.39,0,3.02,42.18,46.14,11.58,NA,9.84
157.5,-1901.1,3851.1,NA,4.4,12.86,8.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158.5,-1914.5,3864.5,0.33,4.4,11.35,6.6,5.44,41.32,17.48,14.84,10.68,8.02,5.34,1.89,0.31,0,0,3.39,41.32,51.02,7.54,NA,10.08
159.5,-1927.2,3877.2,NA,3.9,12.39,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
160.5,-1940.2,3890.2,0.35,4.8,10.43,6.92,5.36,41.7,17.41,14.18,9.21,7.52,6.66,2.43,0.64,0.14,0,3.29,41.7,48.31,9.88,NA,8.89
161.5,-1953.5,3903.5,NA,3.9,12.85,7.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162.5,-1966.8,3916.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163.5,-1980.2,3930.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164.5,-1993.4,3943.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165.5,-2006.6,3956.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166.5,-2020.1,3970.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167.5,-2033.7,3983.7,NA,4.1,12.92,7.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168.5,-2047.1,3997.1,0.49,1.5,12.15,8.5,4.69,44.11,21.58,18.04,10.58,4.3,1.2,0.06,0,0,0,4.19,44.11,54.49,1.26,NA,7.89
169.5,-2060.7,4010.7,NA,4.1,12.12,7.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
170.5,-2074.3,4024.3,-0.37,4.4,10.78,7.35,10.06,29.12,14.95,16.06,16.82,15.78,6.79,0.37,0,0,0,29.61,29.12,63.62,7.16,NA,12.04
171.5,-2088.1,4038.1,NA,5.1,9.65,8.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172.5,-2101.9,4051.9,0.91,5,10.23,8.46,3.69,51.51,17.08,11.75,6.75,6.69,5.5,0.61,0,0,0,2.5,51.51,42.27,6.11,NA,11.72
173.5,-2115.8,4065.8,NA,5.6,9.59,7.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174.5,-2129.5,4079.5,0.45,4,11.58,11.41,5,43.51,17.02,13.46,8.28,6.42,6.21,3.31,1.4,0.28,0,2.88,43.51,45.18,11.2,NA,8.72
175.5,-2143.3,4093.3,NA,3.5,12.41,9.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176.5,-2157.2,4107.2,0.29,4.4,12.54,7.12,5.27,40.63,21.41,16.72,7.48,4.32,3.93,1.49,2.83,1.06,0,5.59,40.63,49.93,9.31,NA,10.2
177.5,-2171.1,4121.1,NA,4.6,11.97,7.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178.5,-2184.8,4134.8,0.02,6,9.39,7.47,6.32,36.04,19.89,17.12,10.38,7.24,5.95,2.45,0.75,0.06,0,5.95,36.04,54.62,9.21,NA,11.79
179.5,-2198.3,4148.3,NA,6.1,9.13,6.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
180.5,-2212.3,4162.3,0.27,7.4,7.21,6.14,5.68,40.32,17.62,14.65,9.92,7.1,5.67,2.8,1.52,0.29,0,3.28,40.32,49.28,10.28,NA,13.28
181.5,-2225.6,4175.6,-1.32,7.6,7.92,6,134.42,12.64,6.13,5.89,4.94,6.31,12.23,21.24,22.12,8.41,0.05,265.89,12.64,23.28,64.04,NA,NA
182.5,-2239.1,4189.1,NA,5.7,10.48,5.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.45
183.5,-2252.4,4202.4,-0.9,5.5,10,7.58,43.42,20.02,9.79,9.22,7.43,8.13,13.89,17.58,12.07,1.8,0,170.57,20.02,34.57,45.35,NA,NA
184.5,-2266,4216,0.01,5.1,10.42,8.78,7.79,35.83,14.12,11.81,8.3,7.32,8.54,7.54,5.53,0.92,0,2.75,35.83,41.55,22.53,NA,NA
185.5,-2279,4229,NA,5.6,9.96,6.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186.5,-2291.9,4241.9,-0.93,9.7,8.02,8.51,83,19.51,8.93,7.43,5.12,5.57,9.34,14.4,20.66,8.95,0.04,353.44,19.51,27.05,53.39,NA,9.6
187.5,-2305,4255,NA,7.5,6.76,5.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188.5,-2318.3,4268.3,NA,7.4,7.61,6.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.12
189.5,-2331,4281,NA,5.6,8.76,7.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
190.5,-2344.1,4294.1,-1.8,6,9.87,7.24,124.98,4.31,2.09,2.46,0.92,7.51,32.71,34.03,14,1.95,0,125.07,4.31,12.97,82.7,NA,10.02
191.5,-2357.8,4307.8,NA,5.3,9.68,8.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192.5,-2371.1,4321.1,0.13,5.2,9.47,8.37,5.45,37.83,22.8,12.79,6.83,4.83,3.7,3.95,4.7,2.39,0.05,3.73,37.83,47.25,14.78,NA,9.42
193.5,-2384.7,4334.7,NA,5.5,9.92,7.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194.5,-2398.6,4348.6,-0.67,5.3,11.42,5.19,24.6,23.94,11.17,9.97,7.08,7.24,10.58,14.37,13.35,2.21,0,250.44,23.94,35.47,40.52,NA,9.99
195.5,-2412.2,4362.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196.5,-2426.1,4376.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197.5,-2439.5,4389.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198.5,-2453.3,4403.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199.5,-2467,4417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.5,-2480.7,4430.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201.5,-2494.5,4444.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202.5,-2507.9,4457.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203.5,-2521.4,4471.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204.5,-2535,4485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205.5,-2548.5,4498.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206.5,-2562,4512,0.47,5,11.72,10.19,5.11,43.91,13.99,9.63,7.23,9.53,10.57,4.13,0.85,0.07,0,2.53,43.91,40.38,15.62,NA,9.24
207.5,-2575.4,4525.4,NA,5,11.68,8.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208.5,-2588.9,4538.9,0.5,4.6,12.5,6.18,5.11,44.39,13.07,10.35,8.97,9.62,9.01,3.59,0.74,0.17,0,2.37,44.39,42.01,13.51,NA,9.9
209.5,-2602.8,4552.8,NA,3.9,11.66,8.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
210.5,-2616.1,4566.1,0.01,5,11.76,5.85,7.65,35.8,14.52,12.18,7.88,7.32,9.48,9.17,3.58,0,0,2.96,35.8,41.89,22.22,NA,9.22
211.5,-2630,4580,NA,4.5,12.31,6.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212.5,-2643.9,4593.9,-0.88,4.5,11.76,5.23,106.49,20.25,7.37,6.23,4.52,4.96,9.82,22.56,21.28,2.97,0,247.6,20.25,23.07,56.63,NA,10.38
213.5,-2657.7,4607.7,NA,4.2,10.48,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214.5,-2671.4,4621.4,-0.77,3.7,10.67,6.06,54.27,22.21,9.87,8.23,5.55,5.27,8.31,17.72,19.67,3.1,0,275.48,22.21,28.92,48.8,NA,8.3
215.5,-2685.2,4635.2,NA,4.1,10.28,5.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216.5,-2699,4649,-0.57,4.8,12.54,4.89,14.21,25.71,13.84,11.74,8.66,7.2,6.9,13.76,11.44,0.65,0,238.27,25.71,41.44,32.76,NA,9.38
217.5,-2712.5,4662.5,NA,3.9,10.94,5.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
