year (AD),age (BP),MS (cgs)
1500.89,449.11,2260.6
1499.7,450.3,2385.2
1498.51,451.49,2438.6
1497.32,452.68,2538.049
1496.13,453.87,2494.238
1494.94,455.06,2379.467
1493.75,456.25,2362.373
1492.56,457.44,2363.027
1491.37,458.63,2354.799
1490.18,459.82,2346.656
1488.99,461.01,2347.431
1487.8,462.2,2383.771
1486.61,463.39,2277.729
1485.42,464.58,2250.164
1484.23,465.77,2053.611
1483.04,466.96,1972.909
1481.85,468.15,1892.176
1480.66,469.34,1864.814
1479.47,470.53,1953.045
1478.28,471.72,2077.043
1477.09,472.91,2272.12
1475.9,474.1,2787.402
1474.71,475.29,2821.857
1473.52,476.48,2706.58
1472.33,477.67,2725.346
1471.14,478.86,2379.171
1469.95,480.05,2629.174
1468.76,481.24,2852.409
1467.57,482.43,3013.371
1466.38,483.62,3005.274
1465.19,484.81,2988.318
1464,486,2926.834
1462.81,487.19,2626.683
1461.62,488.38,2349.135
1460.43,489.57,2481.444
1459.24,490.76,2435.622
1458.05,491.95,2488.19
1456.86,493.14,2540.84
1455.67,494.33,2477.822
1454.48,495.52,2299.12
1453.29,496.71,2173.851
1452.1,497.9,2190.868
1450.91,499.09,2252.303
1449.71,500.29,2347.991
1448.52,501.48,2338.219
1447.33,502.67,2328.565
1446.14,503.86,2345.477
1444.95,505.05,2344.723
1443.76,506.24,2370.702
1442.57,507.43,2378.948
1441.19,508.81,2378.211
1439.52,510.48,2395.391
1437.86,512.14,2412.503
1436.2,513.8,2407.785
1434.53,515.47,2405.957
1432.87,517.13,2404.798
1431.2,518.8,2412.357
1429.54,520.46,2402.238
1427.88,522.12,2418.697
1426.21,523.79,2426.164
1424.55,525.45,2424.671
1422.88,527.12,2423.329
1421.22,528.78,2404.189
1419.55,530.45,2385.2
1417.89,532.11,2367.4
1416.23,533.77,2367.4
1414.56,535.44,2403
1412.9,537.1,2411.9
1411.23,538.77,2403
1409.57,540.43,2314
1407.91,542.09,2225
1406.24,543.76,2144.9
1404.58,545.42,2064.8
1402.91,547.09,2267.628
1401.25,548.75,2292.433
1399.59,550.41,2273.166
1397.92,552.08,2155.323
1396.26,553.74,2233.889
1394.59,555.41,2356.797
1392.93,557.07,2497.55
1391.27,558.73,2540.583
1389.6,560.4,2556.736
1387.94,562.06,2555.292
1386.27,563.73,2406.302
1384.61,565.39,2013.303
1382.95,567.05,1726.79
1381.28,568.72,1841.062
1379.62,570.38,1768.492
1377.95,572.05,1989.593
1376.29,573.71,2104.036
1374.63,575.37,2449.251
1372.96,577.04,2460.397
1371.3,578.7,2457.942
1369.63,580.37,2410.38
1367.97,582.03,2320.279
1366.3,583.7,2266.166
1364.64,585.36,2229.853
1362.98,587.02,2273.717
1361.31,588.69,2326.419
1359.65,590.35,2298.96
1357.98,592.02,2271.36
1356.32,593.68,2244.009
1354.66,595.34,2216.689
1352.99,597.01,2196.379
1351.33,598.67,2159.712
1349.66,600.34,2140.909
1348,602,2148.379
1346.34,603.66,2120.697
1344.67,605.33,2110.879
1343.56,606.44,1945.111
1342,608,1943.749
1340.44,609.56,1950.892
1338.87,611.13,1940.2
1337.31,612.69,1949.1
1335.75,614.25,1958
1333.64,616.36,1966.9
1330.37,619.63,1931.3
1327.09,622.91,1913.5
1323.82,626.18,1895.7
1320.54,629.46,2029.2
1317.26,632.74,2100.4
1313.99,636.01,2171.6
1310.71,639.29,2197.221
1306.75,643.25,1810.569
1303.26,646.74,1832.039
1299.77,650.23,1728.449
1296.27,653.73,1668.328
1292.78,657.22,1920.336
1289.29,660.71,2183.818
1285.8,664.2,2203.355
1282.31,667.69,2349.39
1278.81,671.19,2336.329
1275.32,674.68,2430.384
1271.87,678.13,2309.629
1269.02,680.98,2296.042
1266.17,683.83,2300.465
1263.32,686.68,2159.928
1260.47,689.53,2162.683
1257.62,692.38,2200.969
1254.77,695.23,2283.617
1252.01,697.99,2348.396
1249.57,700.43,2457.949
1247.13,702.87,2549.153
1244.69,705.31,2573.22
1242.26,707.74,2664.561
1239.82,710.18,2711.747
1237.38,712.62,2712.343
1234.94,715.06,2644.739
1232.51,717.49,2594.575
1230.07,719.93,2633.501
1227.63,722.37,2699.038
1225.49,724.51,2783.632
1223.72,726.28,2796.218
1221.94,728.06,2764.215
1220.16,729.84,2767.271
1218.38,731.62,2752.887
1216.61,733.39,2400.124
1214.83,735.17,2406.767
1213.05,736.95,2180.719
1211.28,738.72,1826.684
1209.5,740.5,1641.586
1207.72,742.28,2426.697
1205.92,744.08,2544.8
1203.71,746.29,2645.648
1201.5,748.5,2711.006
1199.29,750.71,2793.836
1197.07,752.93,2885.403
1194.86,755.14,2745.295
1192.65,757.35,2498.825
1190.44,759.56,2283.793
1188.22,761.78,2455.458
1186.01,763.99,2627.123
1183.8,766.2,2764.306
1181.59,768.41,2927.333
1179.37,770.63,3037.618
1177.16,772.84,3129.38
1174.95,775.05,3280.521
1172.6,777.4,3327.293
1170.12,779.88,3365.409
1167.64,782.36,3412.473
1165.16,784.84,3441.591
1162.68,787.32,3482.903
1160.2,789.8,3430.791
1157.71,792.29,3353.463
1155.23,794.77,3337.148
1152.75,797.25,3311.669
1150.27,799.73,3268.423
1147.79,802.21,3198.708
1145.31,804.69,3057.794
1143.11,806.89,2890.013
1141.74,808.26,2758.131
1140.38,809.62,2661.485
1139.02,810.98,2636.105
1137.65,812.35,2601.858
1136.29,813.71,2364.793
1134.92,815.08,2392.813
1133.56,816.44,3359.802
1132.19,817.81,3336.119
1130.83,819.17,3347.423
1129.47,820.53,3438.929
1128.1,821.9,3458.826
1126.74,823.26,3327.321
1125.37,824.63,3204.563
1124.01,825.99,3269.062
1122.64,827.36,3475.705
1121.28,828.72,3664.651
1119.92,830.08,3900.69
1118.55,831.45,3982.339
1117.19,832.81,3930.185
1115.82,834.18,3806.891
1114.46,835.54,3665.737
1113.09,836.91,3693.895
1111.73,838.27,3714.975
1110.37,839.63,3760.812
1109,841,3850.936
1107.64,842.36,3958.889
1106.09,843.91,4288.346
1103.83,846.17,4291.058
1101.57,848.43,4275.075
1099.3,850.7,4321.717
1097.04,852.96,4474.861
1094.77,855.23,4503.243
1092.51,857.49,4451.85
1090.25,859.75,4436.056
1087.98,862.02,4420.073
1085.72,864.28,4448.481
1083.45,866.55,4459.442
1081.37,868.63,4468.918
1079.71,870.29,4407.154
1078.05,871.95,4300.889
1076.39,873.61,4239.055
1074.73,875.27,4141.855
1073.07,876.93,4047.379
1071.41,878.59,3958.75
1069.75,880.25,3879.075
1068.09,881.91,3835.159
1066.43,883.57,3808.946
1064.77,885.23,3812.178
1063.11,886.89,3823.306
1061.45,888.55,3762.552
1059.79,890.21,3701.775
1058.13,891.87,3622.721
1056.47,893.53,3472.989
1054.81,895.19,3349.958
1053.15,896.85,3219.185
1051.49,898.51,3211.65
1049.83,900.17,3209.032
1048.17,901.83,2940.624
1046.51,903.49,2796.841
1044.79,905.21,2742.083
1042.39,907.61,2722.849
1039.99,910.01,2596.892
1037.59,912.41,2577.76
1035.18,914.82,2612.182
1032.78,917.22,2664.455
1030.38,919.62,2689.977
1027.98,922.02,2715.524
1025.57,924.43,2761.133
1022.41,927.59,2726.406
1018.7,931.3,2771.712
1014.99,935.01,2834.683
1011.29,938.71,2888.789
1007.58,942.42,2942.861
1003.87,946.13,2907.966
1000.16,949.84,2873.071
996.46,953.54,2900.51
992.75,957.25,2935.008
989.04,960.96,2960.977
985.33,964.67,3013.789
981.81,968.19,3048.773
978.48,971.52,3101.6
975.16,974.84,3216.383
971.83,978.17,3313.408
968.5,981.5,3303.677
965.18,984.82,3294.218
961.85,988.15,3302.473
958.52,991.48,3303.456
955.57,994.43,3304.141
952.76,997.24,3322.577
949.94,1000.06,3323.414
947.13,1002.87,3342
944.31,1005.69,3369.369
941.49,1008.51,3441.205
938.44,1011.56,3575.391
935.39,1014.61,3629.477
932.34,1017.66,3630.179
929.5,1020.5,3691.383
927.01,1022.99,3689.614
924.52,1025.48,3678.978
922.03,1027.97,3606.252
919.54,1030.46,3578.129
917.05,1032.95,3558.699
914.56,1035.44,3441.68
912.07,1037.93,3315.449
909.58,1040.42,3126.988
907.08,1042.92,3054.261
904.57,1045.43,3106.1
902.07,1047.93,3079.4
899.56,1050.44,3052.7
897.05,1052.95,2990.4
894.55,1055.45,3026
892.04,1057.96,3061.6
889.54,1060.46,3070.5
887.03,1062.97,3034.9
884.52,1065.48,2999.3
882.02,1067.98,3043.8
879.51,1070.49,3070.5
877.01,1072.99,3079.4
874.5,1075.5,3079.4
872.66,1077.34,2972.6
870.91,1079.09,2830.2
869.17,1080.83,2616.6
867.42,1082.58,2403
865.65,1084.35,2403
863.86,1086.14,2527.6
862.08,1087.92,2705.6
860.3,1089.7,3115
858.51,1091.49,3017.1
855.68,1094.32,2687.8
852.63,1097.37,2625.5
849.59,1100.41,2670
846.55,1103.45,2937
843.5,1106.5,3115
840.46,1109.54,3123.9
837.42,1112.58,3106.1
834.37,1115.63,3043.8
831.33,1118.67,3088.3
828.29,1121.71,2972.6
825.24,1124.76,2928.1
822.2,1127.8,2937
819.16,1130.84,2945.9
816.46,1133.54,2919.2
813.77,1136.23,2856.9
811.07,1138.93,2821.3
808.39,1141.61,2767.9
806.12,1143.88,2732.3
803.86,1146.14,2760.388
801.6,1148.4,2743.466
799.34,1150.66,2762.021
795.55,1154.45,2744.976
791.62,1158.38,2630.031
787.91,1162.09,2532.846
786.29,1163.71,2515.801
784.67,1165.33,2534.316
783.06,1166.94,2597.33
781.13,1168.87,2642.524
777.79,1172.21,2696.7
774.45,1175.55,2598.8
771.11,1178.89,2589.9
767.77,1182.23,2598.8
764.42,1185.58,2607.7
761.08,1188.92,2572.1
757.74,1192.26,2527.6
754.4,1195.6,2509.8
751.06,1198.94,2483.1
747.72,1202.28,2420.8
744.38,1205.62,2410.457
741.03,1208.97,2338.544
737.3,1212.7,2284.512
733.47,1216.53,2274.979
730.2,1219.8,2229.88
727.99,1222.01,2211.464
725.78,1224.22,2193.064
723.57,1226.43,2130.196
721.36,1228.64,2058.396
719.15,1230.85,2003.44
716.94,1233.06,2127.1
714.73,1235.27,2020.3
712.53,1237.47,1993.6
710.32,1239.68,1966.9
708.11,1241.89,1984.7
706.14,1243.86,1966.9
704.19,1245.81,1940.2
702.24,1247.76,1949.1
700.29,1249.71,1842.3
698.35,1251.65,1833.4
696.27,1253.73,1974.593
693.95,1256.05,1653.491
691.64,1258.36,1607.587
689.32,1260.68,1473.469
687.01,1262.99,1375.008
684.7,1265.3,1285.446
682.38,1267.62,1249.158
680.07,1269.93,1239.697
677.75,1272.25,1238.49
675.44,1274.56,1228.804
673.12,1276.88,1247.567
670.81,1279.19,1257.339
668.49,1281.51,1266.917
666.18,1283.82,1285.476
663.87,1286.13,1295.039
661.55,1288.45,1304.714
659.24,1290.76,1323.435
656.92,1293.08,1350.878
654.61,1295.39,1378.256
652.29,1297.71,1387.738
649.98,1300.02,1352.8
647.67,1302.33,1326.1
645.35,1304.65,1397.3
643.04,1306.96,1335
640.72,1309.28,1388.4
638.41,1311.59,1397.3
636.09,1313.91,1495.2
633.78,1316.22,1584.2
631.46,1318.54,1637.6
629.15,1320.85,1664.3
626.84,1323.16,1682.1
624.52,1325.48,1699.9
622.59,1327.41,1744.4
621.03,1328.97,1753.3
619.46,1330.54,1876.037
617.89,1332.11,1856.847
616.24,1333.76,1918.083
614.47,1335.53,1961.489
612.7,1337.3,1987.124
610.92,1339.08,2012.582
609.15,1340.85,2134.846
607.37,1342.63,1920.365
605.7,1344.3,1866.281
604.19,1345.81,1936.777
602.68,1347.32,2042.931
601.16,1348.84,2157.966
599.65,1350.35,2317.462
598.14,1351.86,2432.458
596.63,1353.37,2547.493
595.11,1354.89,2653.589
593.6,1356.4,2652.845
592.09,1357.91,2848
589.85,1360.15,2856.9
587.5,1362.5,2839.1
585.16,1364.84,2750.1
582.82,1367.18,2527.6
580.47,1369.53,2438.6
578.13,1371.87,2429.7
575.79,1374.21,2438.6
573.44,1376.56,2483.1
571.1,1378.9,2678.9
568.75,1381.25,2732.3
566.41,1383.59,2767.9
564.07,1385.93,2776.8
561.72,1388.28,2785.7
559.38,1390.62,2723.4
557.04,1392.96,2661.1
554.69,1395.31,2625.5
552.35,1397.65,2607.7
550,1400,2589.9
547.66,1402.34,2730.871
545.32,1404.68,2543.247
542.97,1407.03,2480.314
540.63,1409.37,2479.663
538.29,1411.71,2461.175
535.94,1414.06,2344.77
533.6,1416.4,2281.783
531.25,1418.75,2183.195
528.91,1421.09,2093.562
526.57,1423.43,2074.46
524.22,1425.78,2171.6
521.88,1428.12,2073.7
519.54,1430.46,2038.1
517.19,1432.81,1966.9
514.85,1435.15,1922.4
512.51,1437.49,1895.7
510.16,1439.84,1851.2
507.82,1442.18,1860.1
505.73,1444.27,1904.6
503.98,1446.02,1940.2
502.24,1447.76,2020.3
500.49,1449.51,1984.7
498.75,1451.25,1984.7
497,1453,1984.7
495.26,1454.74,2011.4
493.51,1456.49,2047
491.76,1458.24,2055.9
490.02,1459.98,2109.3
488.27,1461.73,2109.3
486.53,1463.47,2127.1
484.78,1465.22,2196.185
483.04,1466.96,2177.557
481.21,1468.79,2185.611
479.34,1470.66,2202.583
477.47,1472.53,2210.707
475.6,1474.4,2218.937
473.73,1476.27,2262.75
471.87,1478.13,2324.292
469.7,1480.3,2326.43
468.36,1481.64,2404.826
467.02,1482.98,2438.009
465.67,1484.33,2437.114
464.33,1485.67,2463.198
462.99,1487.01,2569.187
461.65,1488.35,2630.752
460.3,1489.7,2647.64
458.96,1491.04,2717.818
457.62,1492.38,2708.158
456.21,1493.79,2671.41
454.79,1495.21,2635.194
453.36,1496.64,2544.14
451.94,1498.06,2443.49
450.52,1499.48,2335.2
449.09,1500.91,2226.928
447.67,1502.33,2145.462
446.25,1503.75,2099.436
444.82,1505.18,2061.938
443.4,1506.6,2060.589
441.98,1508.02,2058.815
440.55,1509.45,2050.3
439.13,1510.87,2040.087
437.71,1512.29,2037.113
436.28,1513.72,2018.509
434.86,1515.14,1999.913
433.44,1516.56,1990.343
432.01,1517.99,1971.048
430.59,1519.41,1961.324
429.17,1520.83,1916.029
427.74,1522.26,1897.338
426.32,1523.68,1860.905
424.89,1525.11,1760.765
423.47,1526.53,1724.509
422.05,1527.95,1706.133
420.62,1529.38,1714.287
418.7,1531.3,1686.882
416.49,1533.51,1623.666
414.28,1535.72,1578.558
412.06,1537.94,1524.178
409.85,1540.15,1470.17
407.64,1542.36,1478.065
405.43,1544.57,1441.8
403.22,1546.78,1415.1
401.01,1548.99,1397.3
398.8,1551.2,1406.2
396.59,1553.41,1441.8
394.38,1555.62,1459.6
392.17,1557.83,1459.6
389.96,1560.04,1450.7
387.75,1562.25,1432.9
385.54,1564.46,1459.6
383.32,1566.68,1495.2
381.11,1568.89,1495.2
378.9,1571.1,1504.1
376.69,1573.31,1530.8
374.48,1575.52,1575.3
372.27,1577.73,1602
370.06,1579.94,1602
367.85,1582.15,1602
365.64,1584.36,1619.8
363.43,1586.57,1628.7
361.22,1588.78,1593.1
359.01,1590.99,1628.7
356.8,1593.2,1655.4
354.58,1595.42,1673.2
352.37,1597.63,1673.2
350.16,1599.84,1664.3
347.95,1602.05,1691
345.74,1604.26,1735.5
344.23,1605.77,1753.3
343.37,1606.63,1636.063
341.82,1608.18,1548.303
340.26,1609.74,1487.109
338.71,1611.29,1434.815
337.16,1612.84,1463.241
335.6,1614.4,1553.239
334.05,1615.95,1625.41
332.5,1617.5,1671.096
330.94,1619.06,1698.713
329.39,1620.61,1773.165
327.84,1622.16,1693.794
326.28,1623.72,1658.889
324.73,1625.27,1659.636
323.18,1626.82,1678.13
321.62,1628.38,1714.389
320.07,1629.93,1768.519
318.52,1631.48,1813.677
315.82,1634.18,1841.054
312.8,1637.2,1806.094
309.79,1640.21,1949.765
306.77,1643.23,1882.299
303.76,1646.24,1893.245
300.74,1649.26,1944.478
297.73,1652.27,1875.195
294.71,1655.29,1841.464
292.14,1657.86,1861.231
289.81,1660.19,1943.248
287.48,1662.52,2060.817
285.16,1664.84,2116.036
282.83,1667.17,2164.631
280.5,1669.5,2156.92
278.18,1671.82,2211.419
275.85,1674.15,2212.935
273.52,1676.48,2152.21
271.19,1678.81,2082.585
268.87,1681.13,1977.003
266.54,1683.46,1996.14
264.21,1685.79,2186.279
261.88,1688.12,2267.509
259.56,1690.44,2406.192
257.23,1692.77,2363.627
254.9,1695.1,2285.075
252.57,1697.43,2206.523
250.25,1699.75,2145.674
247.92,1702.08,2155.799
245.59,1704.41,2210.521
243.26,1706.74,2238.382
240.94,1709.06,2257.44
238.61,1711.39,2267.791
236.28,1713.72,2395.951
233.95,1716.05,2308.555
231.63,1718.37,2381.082
229.3,1720.7,2598.383
226.97,1723.03,2644.21
224.68,1725.32,2645.845
222.62,1727.38,2629.372
220.56,1729.44,2586.012
218.5,1731.5,2587.37
216.43,1733.57,2561.812
214.37,1735.63,2644.873
212.31,1737.69,2592.213
210.25,1739.75,2486.171
208.18,1741.82,2335.556
206.12,1743.88,2291.796
204.06,1745.94,2354.836
201.99,1748.01,2382.351
199.93,1750.07,2356.335
197.87,1752.13,2312.483
195.81,1754.19,2268.649
193.74,1756.26,2242.8
191.68,1758.32,2162.7
189.62,1760.38,2118.2
187.56,1762.44,2091.5
185.49,1764.51,2020.3
183.43,1766.57,1940.2
181.37,1768.63,1806.7
179.3,1770.7,1717.7
177.24,1772.76,1699.9
175.18,1774.82,1673.2
173.12,1776.88,1665.82
171.05,1778.95,1684.6
168.99,1781.01,1676.44
166.93,1783.07,1614.92
164.86,1785.14,1544.42
162.8,1787.2,1491.76
160.74,1789.26,1465.72
158.68,1791.32,1448.54
156.61,1793.39,1440.36
154.55,1795.45,1432.12
152.49,1797.51,1454.371
150.43,1799.57,1494.069
148.36,1801.64,1379.615
146.3,1803.7,1309.562
144.24,1805.76,1283.944
142.17,1807.83,1285.124
140.11,1809.89,1286.271
138.05,1811.95,1287.419
135.99,1814.01,1306.268
133.92,1816.08,1200.484
131.86,1818.14,1335
129.8,1820.2,1361.7
127.74,1822.26,1370.6
125.67,1824.33,1388.4
123.61,1826.39,1406.2
121.55,1828.45,1388.4
119.48,1830.52,1379.5
117.42,1832.58,1361.7
115.36,1834.64,1370.6
113.3,1836.7,1379.5
111.23,1838.77,1577.338
109.17,1840.83,1551.401
107.11,1842.89,1516.636
105.04,1844.96,1499.496
102.98,1847.02,1491.138
100.92,1849.08,1429.381
98.86,1851.14,1296.629
96.79,1853.21,1181.471
94.73,1855.27,1013.075
92.67,1857.33,1049.687
90.61,1859.39,1069.031
88.67,1861.33,998.633
87.09,1862.91,919.386
85.5,1864.5,733.378
83.92,1866.08,742.892
82.34,1867.66,654.576
80.75,1869.25,388.835
79.17,1870.83,514.089
77.59,1872.41,559.312
76,1874,622.415
74.42,1875.58,746.746
72.84,1877.16,799.747
71.25,1878.75,834.903
69.67,1880.33,852.276
68.09,1881.91,860.82
66.5,1883.5,869.37
64.92,1885.08,895.714
63.34,1886.66,921.998
61.75,1888.25,939.256
60.17,1889.83,1027.923
58.59,1891.41,1080.978
57,1893,1160.689
55.42,1894.58,1187.088
53.84,1896.16,1249.016
52.25,1897.75,1284.244
50.67,1899.33,1355.033
49.08,1900.92,1425.921
47.5,1902.5,1522.94
45.92,1904.08,1620.435
44.33,1905.67,1602.246
42.75,1907.25,1539.47
41.17,1908.83,1533.793
39.58,1910.42,1599.934
38,1912,1692.037
36.42,1913.58,1756.945
34.83,1915.17,1748.146
33.25,1916.75,1607.401
31.67,1918.33,1860.1
30.08,1919.92,2136
28.5,1921.5,2127.1
26.92,1923.08,2109.3
25.33,1924.67,2242.8
23.75,1926.25,2322.9
22.17,1927.83,2394.1
20.58,1929.42,2518.7
19,1931,2536.5
17.42,1932.58,2563.2
15.83,1934.17,2527.6
14.29,1935.71,2167.071
12.8,1937.2,1997.364
11.32,1938.68,1943.596
9.83,1940.17,1774.137
8.34,1941.66,1649.139
6.85,1943.15,1568.627
5.36,1944.64,1506.004
3.87,1946.13,1452.184
2.38,1947.62,1478.57
0.89,1949.11,1567.255
-0.6,1950.6,1655.97
-2.09,1952.09,1806.985
-3.58,1953.58,1860.1
-5.07,1955.07,1824.5
-6.56,1956.56,1788.9
-8.05,1958.05,1726.6
-9.54,1959.54,1682.1
-11.03,1961.03,1637.6
-12.52,1962.52,1619.8
-14.01,1964.01,1610.9
-15.5,1965.5,1584.2
-16.99,1966.99,1584.2
-18.48,1968.48,1662.751
-19.97,1969.97,1724.312
-21.46,1971.46,1750.328
-22.95,1972.95,1785.279
-24.44,1974.44,1793.53
