year (AD),age (BP),age (BP),temperature (degC),Uk37 (missing),ageUncertainty (yr)
-7370,9320,9515.178,14.135,0.52,182.534
-7440,9390,9581.645,14.348,0.527,204.328
-7510,9460,9648.068,14.524,0.533,222.851
-7580,9530,9714.458,14.655,0.537,238.89
-7650,9600,9780.823,14.411,0.529,252.93
-7720,9670,9847.167,15.441,0.564,265.299
-7790,9740,9913.493,15.009,0.549,276.228
-7860,9810,9979.803,14.87,0.545,285.887
-7930,9880,10046.099,14.728,0.54,294.404
-8000,9950,10112.382,15.269,0.558,301.881
-8070,10020,10178.654,14.978,0.548,308.394
-8140,10090,10244.914,15.081,0.552,314.007
-8210,10160,10311.164,14.832,0.543,318.769
-8280,10230,10377.405,14.383,0.528,322.719
-8350,10300,10443.635,15.043,0.55,325.89
-8420,10370,10509.857,14.559,0.534,328.304
-8490,10440,10576.07,15.127,0.553,329.981
-8570,10520,10642.273,14.776,0.541,330.934
-8640,10590,10708.469,14.568,0.534,331.169
-8710,10660,10774.655,14.378,0.528,330.69
-8780,10730,10840.833,14.487,0.532,329.496
-8850,10800,10907.002,14.386,0.528,327.581
-8920,10870,10973.162,14.21,0.522,324.932
-8990,10940,11039.313,13.725,0.506,321.534
-9060,11010,11105.454,14.099,0.518,317.365
-9130,11080,11171.585,14.408,0.529,312.396
-9200,11150,11237.707,14.153,0.52,306.59
-9270,11220,11303.817,13.641,0.503,299.901
-9340,11290,11369.915,13.734,0.506,292.272
-9410,11360,11436.001,13.872,0.511,283.631
-9480,11430,11502.072,13.798,0.508,273.884
-9550,11500,11568.128,13.747,0.506,262.916
-9620,11570,11634.166,13.56,0.5,250.572
-9690,11640,11700.182,13.668,0.504,236.646
-9760,11710,11766.173,13.666,0.504,220.853
-9830,11780,11832.132,13.78,0.508,202.777
-9900,11850,11898.047,13.88,0.511,181.773
-9970,11920,11963.895,12.817,0.475,156.743
-10040,11990,12029.617,13.162,0.487,125.525
-10110,12060,12096.197,12.793,0.474,103.221
-10180,12130,12165.226,13.304,0.491,134.783
-10250,12200,12231.33,13.427,0.496,168.648
-10320,12270,12297.483,13.959,0.514,196.555
-10400,12350,12363.66,13.886,0.511,220.895
-10470,12420,12429.853,13.71,0.505,242.782
-10540,12490,12496.057,13.401,0.495,262.846
-10610,12560,12562.269,13.906,0.512,281.486
-10680,12630,12628.489,13.881,0.511,298.974
-10760,12710,12694.713,14.097,0.518,315.505
-10830,12780,12760.942,13.929,0.513,331.225
-10900,12850,12827.175,14.17,0.521,346.244
-10970,12920,12893.411,14.176,0.521,360.653
