depth (m) [1-1],age (BP) [1-1],dD (permil) [1-1],age (BP) [1-2],temperature (degC) [1-2],ageMin (BP) [1-2],ageMax (BP) [1-2],dD (permil) [1-2],tempErrorUpper (degC) [1-2],tempErrorLower (degC) [1-2],age (BP) [1-3],temperature (degC) [1-3],ageMin (BP) [1-3],ageMax (BP) [1-3],dD (permil) [1-3],tempErrorUpper (degC) [1-3],tempErrorLower (degC) [1-3]
4.7,-54.57,-138.4,7050,0.004,7000,7100,-147.4,0.004,0.005,655,0.049,650,660,-147.7,0.041,0.062
4.73,-54.55,-140.1,7150,0.282,7100,7200,-145.6,0.234,0.353,665,-1.288,660,670,-156.2,-1.071,-1.617
4.75,-54.53,-134.9,7250,0.06,7200,7300,-147.1,0.05,0.075,675,0.1,670,680,-147.3,0.083,0.125
4.8,-54.49,-127.3,7350,-0.003,7300,7400,-147.4,-0.002,-0.003,685,-0.456,680,690,-150.9,-0.379,-0.573
4.84,-54.46,-124.7,7450,0.377,7400,7500,-145,0.314,0.473,695,0.211,690,700,-146.6,0.176,0.265
4.85,-54.45,-122.5,7550,0.281,7500,7600,-145.6,0.234,0.353,705,-0.595,700,710,-151.8,-0.495,-0.747
4.9,-54.41,-120.7,7650,0.04,7600,7700,-147.1,0.033,0.05,715,-1.004,710,720,-154.4,-0.835,-1.26
4.95,-54.37,-137.2,7750,0.217,7700,7800,-146,0.18,0.272,725,-0.633,720,730,-152,-0.526,-0.795
5,-54.33,-142.3,7850,-0.059,7800,7900,-147.7,-0.049,-0.073,735,-0.711,730,740,-152.5,-0.591,-0.892
5.05,-54.29,-156.4,7950,0.194,7900,8000,-146.1,0.161,0.243,745,-1.08,740,750,-154.9,-0.898,-1.356
5.06,-54.29,-164.8,8050,0.213,8000,8100,-145.9,0.177,0.267,755,-1.325,750,760,-156.4,-1.101,-1.662
5.15,-54.21,-157,8150,0.385,8100,8200,-144.8,0.32,0.483,765,-0.95,760,770,-154,-0.79,-1.192
5.17,-54.2,-148.9,8250,0.265,8200,8300,-145.6,0.221,0.333,775,-0.558,770,780,-151.5,-0.464,-0.701
5.2,-54.17,-148.5,8350,0.112,8300,8400,-146.5,0.093,0.141,785,-0.657,780,790,-152.2,-0.546,-0.824
5.25,-54.13,-146.5,8450,0.119,8400,8500,-146.4,0.099,0.149,795,-1.335,790,800,-156.5,-1.11,-1.675
5.28,-54.11,-147.9,8550,0.13,8500,8600,-146.4,0.108,0.163,805,-0.04,800,810,-148.2,-0.033,-0.05
5.3,-54.09,-147.5,8650,0.058,8600,8700,-146.8,0.048,0.073,815,-0.576,810,820,-151.6,-0.478,-0.722
5.35,-54.05,-141.9,8750,0.39,8700,8800,-144.6,0.324,0.49,825,-0.054,820,830,-148.3,-0.045,-0.068
5.39,-54.02,-144,8850,0.362,8800,8900,-144.8,0.301,0.454,835,-0.536,830,840,-151.4,-0.445,-0.672
5.4,-54.01,-141,8950,0.367,8900,9000,-144.7,0.305,0.46,845,-0.504,840,850,-151.2,-0.419,-0.632
5.45,-53.97,-140.5,9050,0.362,9000,9100,-144.7,0.301,0.454,855,-0.428,850,860,-150.7,-0.356,-0.537
5.49,-53.94,-155.9,9150,0.029,9100,9200,-146.8,0.024,0.036,865,-0.197,860,870,-149.2,-0.164,-0.247
5.5,-53.93,-157,9250,0.074,9200,9300,-146.5,0.061,0.092,875,-0.688,870,880,-152.4,-0.572,-0.863
5.55,-53.89,-160.7,9350,0.578,9300,9400,-143.2,0.48,0.725,885,-1.345,880,890,-156.6,-1.118,-1.688
5.6,-53.85,-167.1,9450,0.605,9400,9500,-143,0.503,0.759,895,-0.86,890,900,-153.5,-0.715,-1.08
5.65,-53.81,-161.5,9550,0.922,9500,9600,-140.9,0.766,1.157,905,-0.41,900,910,-150.6,-0.341,-0.514
5.7,-53.77,-157.6,9650,0.782,9600,9700,-141.8,0.65,0.982,915,-0.975,910,920,-154.2,-0.81,-1.223
5.71,-53.76,-156.1,9750,0.995,9700,9800,-140.4,0.827,1.248,925,-1.037,920,930,-154.6,-0.862,-1.301
5.75,-53.73,-150.3,9850,0.807,9800,9900,-141.5,0.671,1.013,935,0.43,930,940,-145.2,0.358,0.54
5.8,-53.69,-141.5,9950,0.8,9900,10000,-141.5,0.665,1.004,945,-0.164,940,950,-149,-0.136,-0.205
5.82,-53.68,-130.9,10050,0.552,10000,10100,-143.1,0.459,0.693,955,-0.798,950,960,-153.1,-0.663,-1.001
5.85,-53.65,-130.2,10150,0.47,10100,10200,-143.5,0.39,0.59,965,0.292,960,970,-146.1,0.243,0.367
5.9,-53.61,-115.1,10250,0.427,10200,10300,-143.8,0.355,0.536,975,-0.605,970,980,-151.8,-0.503,-0.759
5.93,-53.59,-110.3,10350,0.974,10300,10400,-140.2,0.809,1.222,985,-0.975,980,990,-154.2,-0.81,-1.223
5.95,-53.57,-111.7,10450,1.12,10400,10500,-139.2,0.931,1.405,995,-1.085,990,1000,-154.9,-0.902,-1.361
6,-53.53,-111.8,10550,0.899,10500,10600,-140.6,0.747,1.128,1005,-1.221,1000,1010,-155.8,-1.015,-1.533
6.05,-53.49,-132,10650,0.795,10600,10700,-141.2,0.66,0.997,1015,0.456,1010,1020,-145,0.379,0.572
6.1,-53.45,-137.6,10750,0.819,10700,10800,-141,0.68,1.027,1025,-0.465,1020,1030,-150.9,-0.386,-0.583
6.15,-53.41,-148.6,10850,0.784,10800,10900,-141.1,0.651,0.984,1035,-1.039,1030,1040,-154.6,-0.863,-1.304
6.16,-53.4,-158.4,10950,0.943,10900,11000,-140,0.784,1.184,1045,-0.48,1040,1050,-151,-0.399,-0.603
6.2,-53.37,-157.6,11050,1.164,11000,11100,-138.6,0.968,1.461,1055,-0.619,1050,1060,-151.9,-0.514,-0.776
6.25,-53.32,-166.2,11150,1.253,11100,11200,-137.9,1.042,1.573,1065,-0.49,1060,1070,-151.1,-0.407,-0.615
6.27,-53.31,-177.1,11250,1.517,11200,11300,-136.1,1.261,1.904,1075,-0.841,1070,1080,-153.3,-0.699,-1.056
6.3,-53.28,-172.6,11350,1.246,11300,11400,-137.8,1.036,1.564,1085,-0.285,1080,1090,-149.8,-0.237,-0.358
6.35,-53.24,-170.2,11450,0.956,11400,11500,-139.6,0.795,1.2,1095,-0.445,1090,1100,-150.8,-0.37,-0.559
6.38,-53.22,-162.8,11550,1.284,11500,11600,-137.4,1.067,1.611,1105,-0.529,1100,1110,-151.3,-0.44,-0.664
6.4,-53.2,-162.3,11650,1.497,11600,11700,-135.9,1.244,1.878,1115,-0.015,1110,1120,-148,-0.012,-0.018
6.45,-53.16,-154.6,11750,1.327,11700,11800,-136.9,1.103,1.665,1125,0.385,1120,1130,-145.5,0.32,0.484
6.49,-53.13,-165.4,11850,1.627,11800,11900,-134.9,1.352,2.041,1135,-0.064,1130,1140,-148.4,-0.053,-0.08
6.5,-53.12,-158.5,11950,0.78,11900,12000,-140.2,0.649,0.979,1145,-0.497,1140,1150,-151.1,-0.413,-0.624
6.55,-53.08,-170.2,12050,1.254,12000,12100,-137.1,1.042,1.573,1155,-0.532,1150,1160,-151.4,-0.442,-0.668
6.6,-53.04,-166.4,12150,1.056,12100,12200,-138.3,0.878,1.326,1165,-0.818,1160,1170,-153.2,-0.68,-1.026
6.65,-52.99,-159.2,12250,0.947,12200,12300,-138.9,0.787,1.188,1175,-0.195,1170,1180,-149.2,-0.162,-0.245
6.7,-52.95,-148.1,12350,0.851,12300,12400,-139.4,0.707,1.068,1185,-1.129,1180,1190,-155.2,-0.938,-1.416
6.71,-52.94,-146.2,12450,0.841,12400,12500,-139.4,0.699,1.055,1195,-0.877,1190,1200,-153.6,-0.729,-1.101
6.75,-52.91,-147.2,12550,0.776,12500,12600,-139.7,0.645,0.974,1205,-1.016,1200,1210,-154.5,-0.845,-1.275
6.8,-52.87,-149.2,12650,0.46,12600,12700,-141.7,0.383,0.578,1215,-0.092,1210,1220,-148.5,-0.077,-0.116
6.82,-52.85,-153.9,12750,0.224,12700,12800,-143.1,0.187,0.282,1225,0.032,1220,1230,-147.7,0.027,0.04
6.85,-52.83,-153.6,12850,-0.276,12800,12900,-146.2,-0.229,-0.346,1235,-0.755,1230,1240,-152.8,-0.627,-0.947
6.9,-52.79,-159.4,12950,-0.498,12900,13000,-147.5,-0.414,-0.626,1245,-0.385,1240,1250,-150.4,-0.32,-0.483
6.93,-52.76,-172.6,13050,-0.563,13000,13100,-147.8,-0.468,-0.706,1255,-0.573,1250,1260,-151.6,-0.476,-0.719
6.95,-52.74,-176,13150,-0.654,13100,13200,-148.3,-0.544,-0.821,1265,-0.685,1260,1270,-152.3,-0.569,-0.86
7,-52.7,-188.7,13250,-0.897,13200,13300,-149.8,-0.745,-1.125,1275,-0.432,1270,1280,-150.7,-0.359,-0.542
7.04,-52.67,-188.9,13350,-0.88,13300,13400,-149.6,-0.732,-1.105,1285,-0.447,1280,1290,-150.8,-0.372,-0.561
7.05,-52.66,-190.4,13450,-0.83,13400,13500,-149.2,-0.69,-1.041,1295,-0.795,1290,1300,-153,-0.661,-0.998
7.1,-52.62,-185.7,13550,-0.835,13500,13600,-149.1,-0.694,-1.048,1305,-0.565,1300,1310,-151.6,-0.47,-0.709
7.15,-52.58,-171,13650,-0.487,13600,13700,-146.8,-0.405,-0.611,1315,-0.513,1310,1320,-151.2,-0.427,-0.644
7.2,-52.53,-166.6,13750,-0.522,13700,13800,-147,-0.434,-0.655,1325,-1.231,1320,1330,-155.8,-1.023,-1.544
7.25,-52.49,-153.7,13850,-0.703,13800,13900,-148,-0.584,-0.882,1335,-0.371,1330,1340,-150.3,-0.309,-0.466
7.26,-52.48,-154.4,13950,-0.776,13900,14000,-148.4,-0.645,-0.973,1345,-0.292,1340,1350,-149.8,-0.243,-0.366
7.3,-52.45,-153.7,14050,-0.542,14000,14100,-146.8,-0.45,-0.68,1355,-0.315,1350,1360,-150,-0.262,-0.395
7.35,-52.41,-154.5,14150,-0.386,14100,14200,-145.7,-0.321,-0.485,1365,-0.045,1360,1370,-148.2,-0.037,-0.056
7.37,-52.39,-155,14250,-0.241,14200,14300,-144.7,-0.201,-0.303,1375,-0.776,1370,1380,-152.9,-0.645,-0.974
7.4,-52.37,-154.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.45,-52.32,-152.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.48,-52.3,-145.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.5,-52.28,-148.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.55,-52.24,-139.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.59,-52.2,-126.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.6,-52.2,-130.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.65,-52.15,-123.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.7,-52.11,-120.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.75,-52.07,-118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.8,-52.02,-116.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.81,-52.02,-118.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.85,-51.98,-115.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.9,-51.94,-109.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.92,-51.92,-114.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.95,-51.89,-114.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,-51.85,-116.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.03,-51.83,-120.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.1,-51.76,-116.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.14,-51.73,-124.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.15,-51.72,-114.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.25,-51.63,-124.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.36,-51.54,-151.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.47,-51.44,-148.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.58,-51.35,-131.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.69,-51.25,-137.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.8,-51.15,-141.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.85,-51.11,-140.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.9,-51.06,-145.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.91,-51.06,-150.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.95,-51.02,-150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,-50.98,-158.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.02,-50.96,-167.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.05,-50.93,-165.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.13,-50.86,-166.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.24,-50.76,-144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.35,-50.66,-145.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.46,-50.57,-153.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.57,-50.47,-162.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.68,-50.37,-156.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.79,-50.27,-140.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.9,-50.17,-137.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.01,-50.07,-133.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.12,-49.97,-147.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.23,-49.86,-135.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.34,-49.76,-121.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.45,-49.66,-130.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.56,-49.56,-143.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.67,-49.46,-137.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.78,-49.35,-148.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.89,-49.25,-146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,-49.15,-139.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.11,-49.04,-138.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.22,-48.94,-135.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.33,-48.84,-146.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.35,-48.82,-148.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.44,-48.74,-127.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.5,-48.68,-128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.55,-48.63,-130.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.6,-48.59,-133.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.65,-48.54,-133.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.66,-48.53,-133.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.7,-48.49,-133.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.75,-48.45,-135.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.77,-48.43,-140.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.8,-48.4,-140.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.85,-48.35,-147.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.88,-48.32,-154.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.9,-48.31,-151.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.95,-48.26,-150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.99,-48.22,-141.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,-48.21,-145.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
