depth (m),CaCO3 (percent),depth (m),d18O (permil),depth (m),planktic.d13C (permil),planktic.d18O (permil),depth (m),age (BP),temperature (degC),TOC (percent),C37.concentration (g),C37.concentration (g),Uk37 (missing)
0.98,75.5,0.96,3.54,0.66,0.68,1.01,0.98,11300,17.8,1.77,519,936,0.643
1.03,71.5,1.01,3.43,0.71,0.63,0.91,1.03,11800,17.2,1.96,641,1068,0.625
1.08,70.9,1.06,3.53,0.76,0.58,1.15,1.08,12300,17.5,2.04,591,1030,0.635
1.13,70.9,1.11,3.65,0.81,0.47,1.01,1.13,12600,17.5,2.45,697,1211,0.635
1.18,74,1.16,3.45,0.86,0.43,1.25,1.18,12900,17.4,2.32,780,1340,0.632
1.23,71.4,1.21,3.27,0.91,0.2,1.43,1.23,13200,17.2,2.54,854,1424,0.625
1.28,71.8,1.26,3.59,0.96,0.04,1.49,1.28,13500,17.1,2.66,924,1502,0.619
1.33,64.6,1.31,3.96,1.01,0.22,1.42,1.33,13800,16.5,3.94,1435,2154,0.6
1.38,62.4,1.36,4.1,1.06,0.31,1.45,1.38,14100,16.2,4.44,1939,2800,0.591
1.43,58.4,1.41,3.76,1.11,0.47,1.37,1.43,14400,16,5.09,1793,2519,0.584
1.48,56.7,1.46,4.22,1.16,0.44,1.61,1.48,14700,15.7,5.38,2073,2789,0.574
1.53,57.1,1.51,4.31,1.21,0.2,1.65,1.53,15000,15.7,5.64,2090,2818,0.574
1.58,60.9,1.56,4.18,1.31,0.03,1.92,1.58,15300,15.4,4.98,1963,2521,0.562
1.63,58.5,1.61,4.3,1.41,0.37,1.97,1.63,15600,15.2,5.41,2139,2680,0.556
1.68,57.4,1.66,4.57,1.46,0.29,2.05,1.68,15800,15.3,5.51,2136,2693,0.558
1.73,57.7,1.71,4.39,1.51,0.32,2,1.73,16100,15.4,5.48,2151,2760,0.562
1.78,55.2,1.76,4.27,1.56,0.27,2.05,1.78,16400,15.6,5.5,1922,2537,0.569
1.83,53.3,1.81,4.08,1.61,0.53,2.49,1.83,16700,15.9,5.58,2020,2768,0.578
1.88,54.8,1.86,4.49,1.66,0.58,2.32,1.88,16900,15.6,5.46,1867,2463,0.569
1.93,53.5,1.91,4.5,1.71,0.53,2.84,1.93,17000,15.8,5.34,1989,2701,0.576
1.98,54,1.96,4.56,1.76,0.57,2.51,1.98,17100,15.8,5.28,1482,2010,0.576
2.03,55.4,2.01,4.51,1.81,0.53,NA,2.03,17300,15.9,5.23,1588,2184,0.579
2.08,52.8,2.11,4.41,1.86,0.52,2.39,2.08,17400,15.8,5.21,1551,2105,0.576
2.13,54,2.16,4.48,1.91,0.66,2.37,2.13,17500,15.9,5.16,2130,2931,0.579
2.18,52.6,2.21,4.45,1.96,0.67,2.74,2.18,17700,15.9,5.13,1869,2576,0.58
2.23,53.3,2.26,4.28,2.01,0.6,2.44,2.23,17800,15.9,5.2,1684,2315,0.579
2.28,52.8,2.31,4.55,2.06,0.41,2.22,2.28,17900,15.9,5.07,2415,3337,0.58
2.33,53.3,2.36,4.27,2.11,0.58,2.41,2.33,18100,15.4,5.12,2737,3530,0.563
2.38,54.5,2.41,4.21,2.16,0.62,2.45,2.38,18200,15.6,5.51,2458,3250,0.569
2.43,54.4,2.46,4.31,2.21,0.46,2.27,2.43,18300,15.6,5.55,2580,3410,0.569
2.48,54.5,2.51,4.25,2.26,0.43,2.57,2.48,18800,15.9,5.55,2639,3647,0.58
2.53,58.2,2.56,4.16,2.31,0.63,2.52,2.53,19300,15.8,5.08,2515,3400,0.575
2.58,57.4,2.61,4.08,2.36,0.64,2.47,2.58,19800,15.7,5.27,2370,3193,0.574
2.63,58.4,2.66,4.02,2.41,0.3,2.38,2.63,20300,15.8,5.01,2450,3341,0.577
2.68,57.6,2.71,3.86,2.46,0.5,2.66,2.68,20800,15.5,5.65,2900,3802,0.567
2.73,60.4,2.76,4.11,2.51,0.74,2.83,2.73,21900,15.1,5.86,3243,4017,0.553
2.78,58.5,2.81,4.08,2.56,0.71,NA,2.78,23000,15,5.76,3311,4039,0.55
2.83,53.7,2.86,4.085,2.61,0.86,2.7,2.83,24100,15.9,5.53,2468,3382,0.578
2.88,55.1,2.91,3.87,2.66,0.7,2.67,2.88,25200,15.7,5.51,2608,3466,0.571
2.93,56.3,2.96,3.72,2.71,0.62,2.59,2.93,26200,15.7,5.57,2668,3568,0.572
2.98,60.4,3.01,3.91,2.76,0.63,2.52,2.98,27300,15.6,5.36,2543,3344,0.568
3.03,61.6,3.06,4.05,2.81,0.87,2.69,3.03,28400,15.6,5.53,2772,3655,0.569
3.08,60.6,3.11,3.8,2.86,0.77,2.4,3.08,29500,15.3,5.82,2779,3523,0.559
3.13,62.7,3.16,3.93,2.91,0.92,NA,3.13,30600,15.2,5.31,2611,3245,0.554
3.18,63.9,3.21,3.84,2.96,0.76,2.42,3.18,31700,15.1,4.79,2544,3121,0.551
3.23,65.9,3.26,3.86,3.01,0.42,2.14,3.23,32800,15.6,4.46,2342,3094,0.569
3.28,67.1,3.31,3.76,3.06,0.73,2.36,3.28,33900,15.7,4.09,2094,2825,0.574
3.33,64.9,3.36,3.6,3.11,0.52,2.29,3.33,35000,15.6,4.12,2131,2820,0.57
3.38,62.6,3.41,3.7,3.16,0.64,2.4,3.38,35700,15,4.85,2415,2954,0.55
3.43,60.6,3.46,3.41,3.21,0.6,2.16,3.43,36500,14.6,5.26,2748,3160,0.535
3.48,60.9,3.51,3.63,3.26,0.6,2.1,3.48,37200,14.7,5.28,2684,3121,0.538
3.53,60.2,3.56,3.8,3.31,0.48,2.1,3.53,38000,14.6,5.4,2768,3168,0.534
3.58,61.2,3.61,3.82,3.36,0.44,1.97,3.58,38700,14.5,5.74,3747,4243,0.531
3.63,59.6,3.66,3.76,3.41,-0.02,1.83,3.63,39500,14.6,5.74,3307,3822,0.536
3.68,60,3.71,3.86,3.46,0.29,1.88,3.68,40200,14.7,6.26,3417,3966,0.537
3.73,59.1,3.76,3.93,3.51,0.28,2.03,3.73,41000,14.8,6.37,3530,4172,0.542
3.78,58.6,3.81,3.94,3.56,0.65,2.56,3.78,41700,15,6.63,3726,4518,0.548
3.83,61.1,3.86,3.78,3.61,0.49,2.63,3.83,42500,15.2,5.99,2613,3262,0.555
3.88,65.7,3.91,3.81,3.66,0.67,2.68,3.88,43200,15.2,4.8,3260,4057,0.554
3.93,62.1,3.96,3.59,3.71,0.5,2.88,3.93,44000,14.9,5.2,3328,3966,0.544
3.98,62.1,4.01,3.88,3.76,0.64,1.95,3.98,44700,14.3,5.82,3755,4148,0.525
4.03,60.6,4.06,3.77,3.81,0.59,2.16,4.03,45500,14.4,6.18,3142,3521,0.528
4.08,61.5,4.11,3.71,3.86,0.74,2.72,4.08,46200,14.6,6.26,2634,3038,0.536
4.13,64.2,4.16,3.52,3.91,0.82,2.86,4.13,47000,14.6,5.74,3398,3924,0.536
4.18,62.7,4.21,3.67,3.96,0.63,2.5,4.18,47700,14.7,5.62,4085,4748,0.538
4.23,63.4,4.26,3.91,4.01,0.71,2.27,4.23,48500,14.7,5.5,3946,4579,0.537
4.28,66.4,4.31,3.85,4.06,0.59,2.47,4.28,49200,14.6,4.74,3398,3895,0.534
4.33,67.2,4.36,3.9,4.11,0.66,2.42,4.33,50000,14.75,4.51,3272.5,3850.5,0.541
4.38,65.8,4.41,3.87,4.16,0.79,2.51,4.38,50700,15.55,4.28,2017,2656.5,0.569
4.43,66,4.46,3.93,4.21,0.84,2.65,4.43,51500,15.8,4.35,2247,3049,0.576
4.48,62.7,4.51,3.62,4.26,0.77,2.8,4.48,52200,15.9,4.86,2492,3417,0.578
4.53,63.4,4.56,3.69,4.31,0.68,2.35,4.53,53000,15.5,4.95,2703,3538,0.567
4.58,63.5,4.61,3.8,4.36,0.64,2.5,4.58,53600,15.3,5.09,2645,3344,0.558
4.63,62.4,4.66,3.62,4.41,0.78,2.66,4.63,54300,15.3,5.26,2680,3399,0.559
4.68,63.8,4.71,3.83,4.46,0.62,2.36,4.68,54900,15.7,5.25,2671,3548,0.571
4.73,61.1,4.76,3.77,4.51,0.6,2.22,4.73,55500,15.7,5.11,2582,3460,0.573
4.78,62.4,4.81,3.64,4.56,0.64,2.22,4.78,56200,16.1,4.69,2598,3689,0.587
4.83,62.1,4.86,3.67,4.61,0.48,2.32,4.83,56800,16.4,3.91,2074,3066,0.597
4.88,61.8,4.91,3.62,4.66,0.51,2.31,4.88,57400,16.5,3.57,1866,2798,0.6
4.93,59.4,4.96,3.56,4.71,0.54,2.07,4.93,58100,16.4,3.96,2028,2977,0.595
4.98,59.8,5.01,3.7,4.76,0.52,2.14,4.98,58700,16.4,3.96,2041,3004,0.596
5.03,57.6,5.06,3.66,4.81,0.74,2.27,5.03,59300,15.8,4.54,2443,3330,0.577
5.08,55.2,5.11,3.84,4.86,0.34,2.15,5.08,59900,15.7,4.85,2584,3443,0.571
5.13,51.5,5.16,3.89,4.91,0.38,2.27,5.13,60600,15.3,5.27,2864,3622,0.558
5.18,48.4,5.21,3.98,4.96,0.1,2.24,5.18,61200,15.3,5.66,2864,3637,0.559
5.23,46.4,5.26,4.11,5.01,0.24,2,5.23,61800,15.5,5.51,3018,3957,0.567
5.28,47.2,5.31,4.21,5.06,0.15,2.04,5.28,62500,15.7,5.31,3157,4197,0.571
5.33,46.6,5.36,3.95,5.21,0.56,2.63,5.33,63100,15.8,5.25,2831,3823,0.575
5.38,49.1,5.41,4.06,5.26,0.83,2.85,5.38,63700,15.6,4.66,2826,3709,0.568
5.43,49.7,5.46,3.83,5.31,0.68,2.44,5.43,64400,15.3,4.56,2680,3404,0.559
5.48,53.8,5.51,4.11,5.36,0.67,2.45,5.48,65000,14.9,4.05,2642,3193,0.547
5.53,54.5,5.56,4.18,5.41,0.84,2.65,5.53,65600,15.2,3.92,2590,3245,0.556
5.58,57,5.61,3.99,5.46,0.67,2.65,5.58,66200,15.4,3.86,2692,3473,0.563
5.63,56.5,5.66,3.97,5.51,0.73,2.6,5.63,66700,15,4.04,4120,5030,0.55
5.68,59.5,5.71,4.11,5.56,0.79,2.65,5.68,67300,15.2,3.99,3410,4234,0.554
5.73,59.4,5.76,4.13,5.61,0.83,2.5,5.73,67900,15.4,4.04,3386,4384,0.564
5.78,60.1,5.81,3.98,5.66,0.79,2.52,5.78,68500,15.7,3.96,2999,4002,0.572
5.83,63.1,5.86,3.91,5.86,0.55,1.98,5.83,69000,16.6,3.13,2467,3729,0.602
5.88,64.3,5.91,3.56,5.96,0.56,1.81,5.88,69600,17.1,2.77,2228,3645,0.621
5.93,63.5,5.96,3.58,6.06,0.63,1.77,5.93,70200,17.2,2.7,2057,3420,0.624
5.98,66.6,6.01,3.6,6.11,0.66,1.54,5.98,70800,17.7,2.36,1673,2981,0.64
6.03,67.4,6.06,3.8,6.16,0.43,1.37,6.03,71300,17.7,2.33,1757,3122,0.64
6.08,69.3,6.11,3.41,6.21,0.54,1.36,6.08,71900,17.8,2.25,1707,3091,0.644
6.13,70.9,6.16,3.46,6.31,0.7,1.48,6.13,72500,18,2.16,1697,3180,0.652
6.18,70.5,6.21,3.24,6.36,0.66,1.54,6.18,73100,18,2.22,1649,3056,0.65
6.23,70.9,6.26,3.18,6.46,0.99,1.48,6.23,73700,17.8,2.16,1423,2569,0.643
6.28,72.3,6.31,3.37,6.51,1.11,1.64,6.28,74200,17.7,2.14,1705,3025,0.64
6.33,70.9,6.36,3.41,6.56,1.12,1.59,6.33,74800,17.8,2.17,1878,3403,0.644
6.38,68.8,6.41,3.42,6.61,0.86,1.42,6.38,75400,18.1,2.24,1522,2889,0.655
6.43,67.4,6.46,3.49,6.66,0.79,NA,6.43,76000,18.2,1.97,1307,2514,0.658
6.48,65.3,6.51,3.32,6.76,0.91,1.28,6.48,76500,18.5,1.83,1180,2380,0.669
6.53,64.9,6.56,3.27,6.81,0.89,1.4,6.53,77100,18.8,1.98,1167,2462,0.678
6.58,65.9,6.61,3.05,6.86,1.02,1.49,6.58,77700,18.9,1.96,1222,2599,0.68
6.63,64.1,6.66,3.2,6.91,0.65,NA,6.63,78300,19,1.97,1222,2663,0.685
6.68,62.4,6.71,3.32,6.96,0.68,1.44,6.68,78800,19.1,2.36,1662,3667,0.688
6.73,62,6.76,3.06,7.01,0.84,1.41,6.73,79400,19.1,2.65,1851,4081,0.688
6.78,61.5,6.81,3.16,7.06,0.83,1.49,6.78,80000,19.2,2.95,2057,4650,0.693
6.83,61.6,6.86,3.09,7.11,0.84,1.5,6.83,80600,19.3,2.88,2047,4696,0.696
6.88,62.9,6.91,3.04,7.16,0.67,1.3,6.88,81200,19.3,2.67,1477,3375,0.696
6.93,64.1,6.96,2.69,7.21,0.69,1.42,6.93,81800,19.5,2.44,1437,3368,0.701
6.98,66.5,7.01,2.89,7.26,0.15,1.32,6.98,82300,19.4,2.14,1134,2612,0.697
7.03,69.1,7.06,2.86,7.31,0.63,1.48,7.03,82900,19.3,1.91,950,2168,0.695
7.08,70.4,7.11,2.99,7.36,0.87,1.68,7.08,83500,19.4,1.84,882,2059,0.7
7.13,70.9,7.16,2.7,7.41,0.69,1.51,7.13,84100,19.2,1.79,862,1948,0.693
7.18,71.4,7.21,3.04,7.46,0.89,1.66,7.18,84700,19.2,1.84,945,2109,0.691
7.23,70.3,7.26,2.99,7.51,0.92,1.52,7.23,85300,18.9,2.14,1051,2250,0.682
7.28,67.8,7.31,3.39,7.56,0.93,1.46,7.28,85800,18.7,2.87,1457,3024,0.675
7.33,67.9,7.36,3.66,7.61,0.98,1.7,7.33,86400,18.5,3.08,1543,3124,0.669
7.38,70.1,7.41,3.55,7.66,0.99,1.48,7.38,87000,18.5,3.05,1642,3301,0.668
7.43,72.3,7.46,3.66,7.76,1.03,1.6,7.43,87800,18.3,2.61,1562,3039,0.66
7.48,70.2,7.51,3.57,7.91,1.01,1.44,7.48,88600,18.4,2.54,1507,2992,0.665
7.53,67.5,7.56,3.22,7.96,1.16,1.36,7.53,89400,18.6,2.7,1457,2985,0.672
7.58,63.6,7.61,3.47,8.01,1.03,1.39,7.58,90200,18.9,2.96,1748,3708,0.68
7.63,61.6,7.66,3.4,8.06,0.85,1.43,7.63,91000,19.4,2.78,1469,3376,0.697
7.68,61.3,7.71,3.33,8.11,1.08,1.33,7.68,91800,19.7,2.36,1165,2806,0.707
7.73,61.1,7.76,3.23,8.16,0.91,1.49,7.73,92600,19.5,2.4,1137,2696,0.703
7.78,60.3,7.81,3.24,8.26,0.87,1.66,7.78,93400,19.8,2.32,1109,2741,0.712
7.83,61.3,7.86,3.25,8.31,0.97,1.67,7.83,94200,19.9,2.37,1158,2933,0.717
7.88,62.3,7.91,3.07,8.36,1,1.54,7.88,95000,19.9,2.43,1387,3477,0.715
7.93,62.8,7.96,3.17,8.41,1.04,1.78,7.93,95800,19.9,2.42,1371,3457,0.716
7.98,64.1,8.01,3.26,8.46,0.93,1.68,7.98,96600,19.6,2.64,1883,4528,0.706
8.03,64.8,8.06,2.95,8.51,0.76,1.67,8.03,97400,19.5,2.62,2151,5038,0.701
8.08,65.1,8.11,3.23,8.56,0.75,1.73,8.08,98200,19.5,2.68,2019,4732,0.701
8.13,66.7,8.16,3.2,8.61,0.7,1.61,8.13,99000,19.4,2.56,1804,4207,0.7
8.18,68.4,8.21,3.1,8.66,0.66,1.71,8.18,99500,19.3,2.43,1828,4138,0.694
8.23,69.9,8.26,3.21,8.76,0.69,1.63,8.23,100000,19,2.37,1939,4233,0.686
8.28,71.1,8.31,3.13,8.81,0.6,1.59,8.28,100500,19.1,2.73,2205,4885,0.689
8.33,69.2,8.36,3.11,8.86,0.48,1.73,8.33,101000,19.2,2.5,1877,4172,0.69
8.38,70.2,8.41,3.07,8.91,0.34,1.64,8.38,101500,19.1,1.93,1495,3316,0.689
8.43,70,8.46,3.09,8.96,0.24,1.67,8.43,102000,19.3,1.81,1247,2847,0.695
8.48,69.9,8.51,2.98,9.01,0.51,1.76,8.48,102500,18.8,1.8,1505,3165,0.678
8.53,69.6,8.56,3.3,9.06,0.32,1.6,8.53,103000,19,1.91,1470,3201,0.685
8.58,69.7,8.61,3.1,9.11,0.44,1.44,8.58,103500,18.8,1.9,1623,3399,0.677
8.63,68.1,8.66,3.27,9.21,0.41,1.34,8.63,104000,18.9,2.03,1769,3766,0.68
8.68,68.5,8.71,3.25,9.31,0.62,1.29,8.68,104500,18.9,1.96,1632,3521,0.683
8.73,69.7,8.76,3.33,9.41,0.25,0.83,8.73,105000,19.1,2.27,1770,3881,0.687
8.78,71.1,8.81,3.28,9.46,0.27,0.58,8.78,105500,18.9,2.65,2196,4704,0.682
8.83,71.1,8.86,3.35,9.51,0.21,0.72,8.83,106000,18.6,2.7,2332,4728,0.67
8.88,72.1,8.91,3.41,9.56,0.32,0.42,8.88,106500,18.4,2.63,2366,4664,0.663
8.93,71.9,8.96,3.55,9.66,0.11,0.48,8.93,107000,18.2,2.96,2741,5308,0.659
8.98,73.6,9.01,3.61,9.71,0.11,0.8,8.98,107900,18.8,2.28,1933,4084,0.679
9.03,74.3,9.06,3.54,9.76,0.14,0.53,9.03,108900,19.4,1.76,1328,3050,0.697
9.08,74.6,9.11,3.36,9.81,0.24,0.79,9.08,109800,19.4,1.85,1459,3399,0.7
9.13,74.2,9.16,2.67,9.91,0.04,0.63,9.13,110800,19.5,1.69,1283,3040,0.703
9.18,77.9,9.21,3.29,9.96,0.1,0.46,9.18,111700,19.8,1.44,1157,2841,0.711
9.23,75.1,9.26,3.02,10.01,0.21,1.2,9.23,112600,19.9,1.49,921,2303,0.714
9.28,77.9,9.31,2.66,10.06,-0.05,1.12,9.28,113600,20.8,1.43,951,2780,0.745
9.33,74.5,9.36,2.53,10.11,-0.45,0.98,9.33,114500,20.9,1.5,926,2778,0.75
9.38,75.4,9.41,2.4,10.16,-0.38,1.21,9.38,115400,21,1.49,965,2942,0.753
9.43,75.1,9.46,2.59,10.21,-0.57,1.28,9.43,116400,21.2,1.6,939,2983,0.761
9.48,76.5,9.51,2.88,10.26,-0.4,1.11,9.48,117300,21.2,1.64,938,2940,0.758
9.53,76.9,9.56,2.31,10.31,-0.52,1.29,9.53,118300,21,1.54,829,2536,0.754
9.58,77.5,9.61,2.33,10.36,-0.42,1.01,9.58,119200,20.6,1.25,709,2008,0.739
9.63,76.3,9.66,2.36,10.41,0.01,1.22,9.63,120100,21.3,1.33,618.5,1990,0.763
9.68,75.6,9.71,2.38,10.46,-0.23,1.38,9.68,121100,21,1.29,594,1811,0.753
9.73,73.5,9.76,2.33,10.51,0.15,2.26,9.73,122000,21.2,1.51,615,1956,0.761
9.78,74,9.81,2.3,10.56,-0.05,1.8,9.78,122700,21.1,1.53,655,2023,0.755
9.83,72.5,9.86,2.26,10.61,-0.2,1.92,9.83,123400,21.4,1.53,544,1775,0.765
9.88,70.1,9.91,2.34,10.66,-0.17,1.68,9.88,124200,20.6,1.66,809,2298,0.74
9.93,70,9.96,2.2,10.71,0.17,2.3,9.93,124900,21.1,1.6,601,1858,0.756
9.98,68.1,10.01,2.23,NA,NA,NA,9.98,125600,21.1,1.79,706,2185,0.756
10.03,70.6,10.06,2.3,NA,NA,NA,10.03,126300,20.5,1.82,796,2230,0.737
10.08,67.3,10.11,2.79,NA,NA,NA,10.08,127000,19.05,2.4,1498.5,3296.5,0.688
10.13,67.9,10.16,2.79,NA,NA,NA,10.13,127800,20.2,1.99,1082.5,2853.5,0.725
10.18,69.1,10.21,3.27,NA,NA,NA,10.18,128500,19.1,2.27,1501,3326,0.689
10.23,67.8,10.26,2.91,NA,NA,NA,10.23,129200,18.4,3.04,2239,4449,0.665
10.28,65.6,10.31,2.51,NA,NA,NA,10.28,129900,17.8,3.64,2910,5298,0.645
10.33,63.6,10.36,2.76,NA,NA,NA,10.33,130600,17.4,4.13,3415,5876,0.632
10.38,60.9,10.41,2.85,NA,NA,NA,10.38,131400,16.9,5.03,4375,6920,0.613
10.43,60.3,10.46,3.86,NA,NA,NA,10.43,132100,17,4.66,3984,6443,0.618
10.48,54,10.51,4.32,NA,NA,NA,10.48,132800,16.3,6.34,5378,7854,0.594
10.53,53.6,10.56,4.35,NA,NA,NA,10.53,133500,16.1,6.79,5747,8182,0.587
10.58,61,10.61,4.37,NA,NA,NA,10.58,134200,16.2,5.5,4998,7131,0.588
10.63,62.1,10.66,4.34,NA,NA,NA,10.62,135000,16,5.14,4553,6374,0.583
NA,NA,10.71,4.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
