depth (m),age (BP),temperature (degC),temperature (degC),temperature (degC),Uk37 (missing),depth (m),age (BP),CaCO3 (percent),depth (m),age (BP),d13C (permil),d18O (permil),d13C (permil),d18O (permil),depth (m),age (BP),temperature (degC),planktic.d18O (permil),planktic.MgCa (mmol_mol),depth (m),age (BP),BSi (percent)
0.5,3200,6.7,6.8,9.2,0.267,0.56,3460,4.5,0.725,4150,NA,NA,-1.38,3.6,0.305,2380,3.9,2.84,0.86,1.055,5540,29.8
0.55,3410,7.3,7.4,9.7,0.288,0.66,3880,4.81,0.775,4360,NA,NA,-1.47,3.73,0.325,2470,NA,2.44,NA,1.155,6010,22.4
0.6,3620,6.5,6.6,9,0.261,0.76,4300,5,0.825,4570,NA,NA,-1.31,3.65,0.355,2590,3.1,2.76,0.75,1.255,6480,21.2
0.65,3830,7.1,7.2,9.6,0.282,0.86,4720,5.08,0.875,4780,NA,NA,-1.36,3.52,0.375,2680,NA,2.75,NA,1.355,6960,20.3
0.7,4040,7.1,7.2,9.6,0.281,0.94,5060,5.58,0.925,4990,NA,NA,-1.46,3.79,0.405,2800,5,2.93,1,1.455,7440,23
0.75,4250,7.1,7.1,9.5,0.279,1.05,5520,5.32,0.975,5200,NA,NA,-1.36,3.56,0.425,2890,NA,2.93,NA,1.555,7920,14.1
0.8,4470,7.3,7.3,9.7,0.286,1.06,5560,5.79,1.025,5410,-0.71,3.77,NA,NA,0.455,3010,3.6,2.76,0.82,1.655,8390,14.5
0.85,4680,7.2,7.3,9.6,0.284,1.08,5650,5.83,1.075,5630,NA,NA,-1.52,3.48,0.475,3100,NA,2.57,NA,1.755,8860,12.2
0.9,4890,7.8,7.9,10.2,0.304,1.15,5980,4.96,1.125,5860,-0.83,3.76,NA,NA,0.505,3220,3,2.78,0.75,1.855,9330,14.2
0.95,5100,8.3,8.4,10.6,0.32,1.25,6460,4.67,1.175,6100,NA,NA,-1.42,3.64,0.555,3430,3.7,2.69,0.83,1.955,9810,12.3
1,5310,8.8,8.9,11,0.337,1.33,6840,4,1.225,6340,NA,NA,-1.33,3.82,0.575,3520,NA,2.61,NA,2.055,10130,11
1.05,5520,7.8,7.9,10.2,0.306,1.41,7220,3.97,1.275,6580,NA,NA,-1.4,3.85,0.585,3560,NA,3.27,NA,2.155,10410,12.5
1.1,5750,8.4,8.5,10.7,0.325,1.43,7320,3.43,1.325,6820,NA,NA,-1.4,3.6,0.605,3640,3.6,2.83,0.82,2.255,10700,10.6
1.15,5980,9.1,9.2,11.3,0.347,1.51,7700,3.11,1.375,7060,NA,NA,-0.7,NA,0.625,3730,NA,2.59,NA,2.355,11060,5.8
1.2,6220,8.6,8.8,10.9,0.333,1.54,7840,2.78,1.425,7300,NA,NA,-1.24,3.65,0.655,3850,3.9,2.43,0.85,2.455,11590,6.7
1.25,6460,9.5,9.6,11.7,0.362,1.55,7890,1.92,1.475,7530,NA,NA,-1.47,3.77,0.705,4070,6.8,2.6,1.23,2.555,12200,5.9
1.3,6700,7.6,7.7,10,0.299,1.6,8130,0.3,1.525,7770,NA,NA,-1.35,3.7,0.725,4150,NA,2.44,NA,2.655,12820,5.5
1.35,6940,9.4,9.5,11.6,0.359,1.65,8370,1.42,1.575,8010,NA,NA,-1.27,3.81,0.755,4280,3.7,2.63,0.83,2.755,13410,6.6
1.4,7180,8.4,8.6,10.7,0.326,1.75,8840,1.25,1.625,8250,NA,NA,-1.37,3.96,0.775,4360,NA,2.47,NA,2.855,13930,6.6
1.45,7420,8.6,8.7,10.9,0.332,1.8,9080,0.36,1.675,8490,NA,NA,-1.3,3.99,0.805,4490,3.7,2.6,0.83,2.955,14420,6.2
1.5,7650,6.9,6.9,9.3,0.272,1.85,9310,2.67,1.725,8720,NA,NA,-1.31,3.76,0.825,4570,NA,2.21,NA,3.055,15070,8.4
1.55,7890,6.9,6.9,9.3,0.273,1.9,9550,1.41,1.775,8960,NA,NA,-1.34,3.88,0.855,4700,3.4,2.76,0.79,3.155,16260,8.1
1.6,8130,6.5,6.6,9,0.26,1.95,9780,3.25,1.825,9190,NA,NA,-1.26,3.77,0.875,4780,NA,2.73,NA,3.255,16640,8.4
1.65,8370,7.5,7.6,9.9,0.293,2,9970,1.57,1.875,9430,NA,NA,-1.4,3.9,0.905,4910,3.5,2.57,0.81,3.355,16820,8
1.7,8600,7.4,7.5,9.8,0.29,2.1,10260,1.01,1.925,9660,NA,NA,-1.39,3.75,0.925,4990,NA,2.39,NA,3.455,17000,7.5
1.75,8840,7.6,7.7,10,0.298,2.2,10540,2.62,1.955,9810,NA,NA,-1.26,3.77,0.955,5120,4,2.76,0.87,3.555,17250,9.1
1.8,9080,8.6,8.7,10.9,0.33,2.3,10830,2.86,1.975,9900,NA,NA,-1.25,4.09,0.975,5200,NA,2.64,NA,3.655,17680,11
1.85,9310,9.8,9.9,11.9,0.371,2.4,11300,2.5,2.025,10040,NA,NA,-1.25,3.88,1.005,5330,7.2,2.71,1.29,3.755,18110,10.5
1.9,9550,8.5,8.6,10.8,0.328,2.5,11850,1.74,2.055,10130,NA,NA,-1.24,3.88,1.055,5540,3.4,2.72,0.79,3.855,18550,11.3
1.95,9780,8,8.1,10.3,0.311,2.6,12470,0.61,2.075,10190,NA,NA,-1.35,3.89,1.075,5630,NA,2.68,NA,3.955,18980,10.7
2,9970,7.7,7.8,10,0.3,2.8,13640,2.62,2.095,10240,NA,NA,-1.16,3.98,1.105,5770,4.7,2.88,0.96,4.055,19780,9.6
2.05,10110,8.9,9,11.2,0.342,2.9,14170,2.49,2.125,10330,NA,NA,-1.28,3.92,1.125,5860,NA,2.44,NA,NA,NA,NA
2.1,10260,7.9,8,10.3,0.308,3,14620,1.96,2.155,10410,NA,NA,-1.24,3.85,1.155,6010,3.7,2.71,0.84,NA,NA,NA
2.15,10400,9.2,9.3,11.4,0.352,3.1,15620,1.86,2.195,10530,NA,NA,-1.13,3.93,1.175,6100,NA,2.23,NA,NA,NA,NA
2.2,10540,7.7,7.8,10.1,0.301,3.2,16540,0.09,2.225,10610,NA,NA,-1.31,4.04,1.205,6250,3.7,2.81,0.83,NA,NA,NA
2.25,10690,7.5,7.6,9.9,0.294,3.3,16720,0.61,2.255,10700,NA,NA,-1.13,3.96,1.225,6340,NA,2.84,NA,NA,NA,NA
2.3,10830,7.3,7.3,9.7,0.286,3.4,16900,1.19,2.275,10760,NA,NA,-1.32,4.15,1.255,6480,3.9,2.73,0.85,NA,NA,NA
2.35,11030,7.5,7.6,9.9,0.295,3.5,17080,2.27,2.295,10810,NA,NA,-1.1,4,1.275,6580,NA,2.65,NA,NA,NA,NA
2.4,11300,7.2,7.3,9.6,0.284,3.6,17440,1.3,2.325,10900,-1.3,4.05,NA,NA,1.305,6720,3.4,2.78,0.8,NA,NA,NA
2.45,11570,7.4,7.4,9.8,0.289,3.7,17880,1.24,2.355,11060,NA,NA,-1.22,3.98,1.325,6820,NA,2.83,NA,NA,NA,NA
2.5,11860,6.7,6.8,9.2,0.267,3.8,18310,0.99,2.375,11170,NA,NA,-1.35,4.18,1.355,6960,4.1,2.87,0.88,NA,NA,NA
2.55,12170,6.4,6.5,8.9,0.258,3.9,18740,0.76,2.395,11270,NA,NA,-1.12,4.11,1.375,7060,NA,2.58,NA,NA,NA,NA
2.6,12480,6.5,6.6,9,0.26,4,19310,0.78,2.425,11430,NA,NA,-1.22,4.33,1.405,7200,3.3,2.65,0.78,NA,NA,NA
2.65,12790,6.8,6.9,9.3,0.271,4.1,20140,1.14,2.455,11590,NA,NA,-1.1,4.06,1.425,7300,NA,2.37,NA,NA,NA,NA
2.7,13100,6.9,6.9,9.3,0.273,4.2,20860,0.8,2.475,11700,NA,NA,-1.3,4.28,1.455,7440,3.8,2.82,0.84,NA,NA,NA
2.75,13380,7.6,7.6,10,0.296,4.3,21590,1.32,2.495,11820,NA,NA,-1.12,4.53,1.475,7530,NA,2.8,NA,NA,NA,NA
2.8,13640,6.3,6.3,8.8,0.253,4.4,22310,0.8,2.525,12010,NA,NA,-1.14,4.33,1.505,7680,4.4,3.03,0.92,NA,NA,NA
2.85,13910,8.1,8.2,10.4,0.314,4.5,23040,0.32,2.555,12200,NA,NA,-1.24,4.17,1.525,7770,NA,2.94,NA,NA,NA,NA
2.9,14170,6.2,6.2,8.7,0.25,4.6,23760,1.11,2.575,12320,NA,NA,-1.18,4.29,1.555,7920,3.8,2.89,0.84,NA,NA,NA
2.95,14400,5.6,5.6,8.2,0.229,4.7,24490,0.81,2.595,12440,NA,NA,-0.92,4.3,1.575,8010,NA,3,NA,NA,NA,NA
3,14610,5.5,5.5,8.1,0.226,4.9,25930,0.66,2.635,12690,NA,NA,-1.18,4.28,1.605,8150,3,2.88,0.74,NA,NA,NA
NA,NA,NA,NA,NA,NA,5,26690,0.38,2.655,12820,NA,NA,-1.14,4.39,1.625,8250,NA,2.465,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,2.675,12940,NA,NA,-1.11,4.74,1.655,8390,3.9,3.14,0.85,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,2.695,13060,NA,NA,-1.06,4.34,1.675,8490,NA,3.25,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,2.725,13250,NA,NA,-1.26,4.67,1.705,8630,2.9,2.53,0.73,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,2.755,13410,NA,NA,-1.24,4.49,1.725,8720,NA,2.96,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,2.775,13510,NA,NA,-1.49,4.62,1.755,8860,3.5,2.99,0.81,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,2.795,13620,NA,NA,-1.29,4.45,1.775,8960,NA,3.13,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,2.825,13780,NA,NA,-1.43,4.65,1.805,9100,3.9,2.95,0.86,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,2.855,13930,NA,NA,-1.31,4.59,1.825,9190,NA,2.8,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,2.875,14040,NA,NA,-1.47,4.71,1.855,9330,4.4,2.81,0.92,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,2.895,14140,NA,NA,-1.3,4.6,1.875,9430,NA,2.91,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,2.925,14300,NA,NA,-1.44,4.72,1.905,9570,3.7,3.11,0.84,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,2.955,14420,NA,NA,-1.42,4.64,1.955,9810,3.6,2.99,0.82,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,2.975,14510,NA,NA,-1.53,4.76,1.975,9900,NA,3.06,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,2.995,14590,NA,NA,-1.43,4.6,2.025,10040,3.6,3.11,0.81,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.025,14710,NA,NA,-1.48,4.7,2.055,10130,3.8,3.17,0.84,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.055,15070,NA,NA,-1.43,4.56,2.075,10190,3.7,3.19,0.83,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.075,15310,NA,NA,-1.5,4.76,2.095,10240,5.3,3.04,1.04,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.095,15550,NA,NA,-1.26,4.68,2.125,10330,NA,2.8,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.125,15900,NA,NA,-1.31,4.8,2.155,10410,4.3,3,0.9,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.155,16260,NA,NA,-1.26,4.68,2.175,10470,3.9,2.723,0.85,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.175,16500,NA,NA,-1.59,4.83,2.195,10530,5.3,3.05,1.03,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.225,16590,NA,NA,-1.44,4.98,2.225,10610,3.7,2.97,0.83,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.255,16640,NA,NA,-1.26,4.71,2.255,10700,5,2.88,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.275,16680,NA,NA,-1.36,4.92,2.275,10760,3.8,2.08,0.84,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.295,16710,NA,NA,-1.28,4.71,2.295,10810,5.5,3.1,1.06,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.325,16770,NA,NA,-1.38,4.9,2.325,10900,NA,2.93,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.355,16820,NA,NA,-1.28,4.9,2.355,11060,4.5,2.99,0.93,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.375,16850,NA,NA,-1.48,5.14,2.375,11170,3.5,3.15,0.8,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.395,16890,NA,NA,-1.34,4.72,2.395,11270,5.5,3.07,1.07,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.425,16940,NA,NA,-1.4,5.18,2.425,11430,4.5,3.16,0.94,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.455,17000,NA,NA,-1.36,4.76,2.455,11590,4.4,2.9,0.92,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.475,17030,NA,NA,-1.35,5.13,2.475,11700,4.2,2.95,0.9,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.495,17070,-0.71,4.55,NA,NA,2.495,11820,NA,3.22,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.525,17120,NA,NA,-1.39,5.32,2.525,12010,3.6,3.14,0.82,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.555,17250,NA,NA,-1.46,4.57,2.555,12200,4.3,3.37,0.91,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.575,17340,NA,NA,-1.56,5.44,2.575,12320,4.6,3.23,0.95,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.595,17420,NA,NA,-1.58,4.55,2.595,12440,4.4,3.22,0.92,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.625,17550,-0.73,5.38,NA,NA,2.625,12630,NA,3.1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.655,17680,NA,NA,-1.51,5.16,2.655,12820,4.4,3.26,0.92,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.675,17770,NA,NA,-1.38,5.32,2.675,12940,3.1,3.12,0.76,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.695,17860,NA,NA,-1.29,5.11,2.695,13060,5.2,3.14,1.03,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.725,17980,NA,NA,-1.49,5.39,2.725,13250,3.4,3.32,0.8,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.755,18110,NA,NA,-1.33,5.16,2.755,13410,4.5,3.17,0.94,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.775,18200,NA,NA,-1.5,5.4,2.775,13510,3.4,3.28,0.79,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.825,18420,NA,NA,-1.56,5.32,2.795,13620,5.7,3.11,1.1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.855,18550,NA,NA,-1.31,5.11,2.825,13780,NA,3.11,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.875,18630,-0.65,5.38,NA,NA,2.855,13930,5.2,3.19,1.03,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.895,18720,NA,NA,-1.37,5.14,2.875,14040,NA,3.32,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.925,18850,NA,NA,-1.46,5.31,2.895,14140,5.3,3.17,1.04,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.955,18980,NA,NA,-1.3,5.1,2.925,14300,5.2,3.41,1.03,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.975,19100,NA,NA,-1.4,5.19,2.955,14420,4.6,3.12,0.95,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.995,19270,NA,NA,-1.32,5.09,2.975,14510,5.9,3.08,1.11,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,4.025,19520,NA,NA,-1.39,5.34,2.995,14590,4.8,3.24,0.98,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,4.055,19780,NA,NA,-1.26,4.98,3.025,14710,4.5,3.09,0.93,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,4.075,19950,NA,NA,-1.36,5.42,3.055,15070,4.4,3.47,0.92,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,4.125,20320,NA,NA,-1.46,5.33,3.075,15310,4.1,3.42,0.88,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.095,15550,4.6,3.38,0.95,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.125,15900,4.3,3.8,0.9,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.155,16260,4.5,3.53,0.93,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.175,16500,4.5,3.79,0.94,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.225,16590,3.6,3.82,0.82,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.255,16640,4.1,3.9,0.89,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.275,16680,3.7,3.86,0.83,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.295,16710,3.2,3.76,0.76,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.325,16770,2.7,3.93,0.7,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.355,16820,3.8,4.01,0.85,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.375,16850,3.1,3.81,0.75,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.395,16890,2.7,4.08,0.71,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.425,16940,3,4,0.74,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.455,17000,4.1,3.91,0.88,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.475,17030,NA,4.01,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.495,17070,5,3.76,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.525,17120,2.9,3.9,0.73,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.555,17250,4.1,3.87,0.88,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.575,17340,NA,3.6,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.595,17420,4.6,3.92,0.95,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.625,17550,3.5,3.85,0.8,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.655,17680,4.4,3.64,0.93,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.675,17770,NA,3.87,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.695,17860,4.1,3.68,0.88,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.725,17980,3.5,2,0.81,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.755,18110,4.2,3.95,0.9,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.775,18200,NA,3.76,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.825,18420,2.7,3.62,0.7,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.855,18550,4.7,3.73,0.96,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.875,18630,NA,3.82,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.895,18720,5.2,3.82,1.02,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.925,18850,3.4,3.9,0.8,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.955,18980,4.6,3.81,0.95,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.975,19100,NA,3.67,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.995,19270,2.9,3.94,0.73,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.025,19520,3.1,3.53,0.76,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.055,19780,3.8,3.91,0.84,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.075,19950,NA,3.79,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.125,20320,NA,4.02,NA,NA,NA,NA
