age (grayscale),year (AD),age (BP),depth (missing),age (BP),grayscale_detrended (grayscale),grayscale20lp_detrended (grayscale),depth (missing),age (BP),d18O_raw (permil),d13C (permil),depth (missing),age (BP),d18O (permil),d13C (permil)
146.833,1838.229,111.771,22.096,157,3.118,10.775,22.83,164.229,-3.39,1.67,31.704,232,0.46,0.36
145.467,1837.93,112.07,22.198,158,2.714,10.483,23.33,169.153,-3.65,1.53,32.317,237,0.01,0.6
146.637,1837.629,112.371,22.299,159,4.15,10.151,23.86,174.57,-3.51,1.55,32.929,242,0.59,0.59
149.28,1837.329,112.671,22.401,160,11.464,9.871,24.3,180.185,-3.85,1.42,33.542,247,0.49,0.28
154.747,1837.03,112.97,22.502,161,11.402,9.694,24.7,185.372,-3.63,1.38,34.097,252,-0.16,0.17
160.603,1836.729,113.271,22.604,162,11.375,9.645,25.35,188.92,-4.01,1.31,34.527,257,-0.33,0.01
164.603,1836.429,113.571,22.705,163,3.152,9.721,25.7,190.2,-4.47,0.94,34.935,262,-0.57,-0.11
164.493,1836.13,113.87,22.807,164,9.25,9.893,26.1,191.663,-4.21,1.18,35.344,267,-0.53,-0.17
161.967,1835.829,114.171,22.908,165,11.004,10.108,26.37,193.126,-4.65,1.22,35.752,272,-0.16,-0.06
159.02,1835.529,114.471,23.01,166,6.898,10.291,26.65,194.899,-4.36,1.22,36.161,277,0.14,0.13
155.393,1835.23,114.77,23.111,167,13.452,10.356,27.01,197.093,-4.02,1.43,36.572,282,0.39,0.43
153.437,1834.929,115.071,23.213,168,15.04,10.232,27.35,199.288,-4.56,1.28,36.991,287,0.19,0.45
153.397,1834.63,115.37,23.314,169,14.346,9.862,27.63,201.169,-4.56,1.3,37.411,292,0.52,0.49
152.457,1834.33,115.67,23.413,170,12.354,9.212,27.98,203.71,-4.71,1.27,37.713,297,0.62,0.38
151.687,1834.029,115.971,23.511,171,5.523,8.278,28.28,205.905,-4.64,1.18,37.984,302,0.43,0.24
151.747,1833.73,116.27,23.609,172,5.796,7.068,28.63,208.466,-4.71,1.07,38.255,307,0.18,0.12
151.133,1833.429,116.571,23.706,173,4.411,5.587,29.08,211.757,-4.72,1.07,38.526,312,0.01,0.07
149.49,1833.129,116.871,23.804,174,-3.25,3.88,29.43,214.318,-4.83,1.08,38.797,317,0.29,0.21
150.123,1832.83,117.17,23.894,175,-0.03,2.413,29.73,216.513,-4.43,1.58,39.068,322,0.46,0.32
149.907,1832.529,117.471,23.972,176,-0.194,0.832,30.08,219.074,-4.11,1.92,39.358,327,0.43,0.29
149.733,1832.229,117.771,24.05,177,-0.375,-0.851,30.52,222.365,-3.96,1.91,39.708,332,-0.12,-0.09
153.077,1831.93,118.07,24.129,178,-2.359,-2.635,30.96,225.93,-3.74,1.96,40.205,337,-0.45,-0.42
156.487,1831.629,118.371,24.207,179,-4.878,-4.517,31.31,228.785,-3.68,1.85,40.692,342,-0.3,-0.12
160.74,1831.329,118.671,24.286,180,-2.16,-6.472,31.66,231.641,-3.81,1.92,41.17,347,-0.8,-0.23
165.847,1831.03,118.97,24.363,181,-5.72,-8.477,32.06,234.906,-4.2,1.88,41.646,352,-1.32,-0.44
162.033,1830.729,119.271,24.44,182,-5.994,-10.476,32.46,238.169,-4.38,2.31,42.123,357,-1.61,-0.61
153.74,1830.429,119.571,24.517,183,-5.522,-12.409,32.91,241.842,-3.74,2.16,42.599,362,-2.38,-0.98
145.18,1830.13,119.87,24.594,184,-7.352,-14.204,33.41,245.922,-3.71,1.85,43.177,367,-1.19,-0.78
141.627,1829.829,120.171,24.671,185,-9.956,-15.797,33.91,250.001,-4.27,1.79,43.773,372,0.39,-0.04
141.437,1829.53,120.47,24.815,186,-12.032,-17.118,34.26,253.737,-4.75,1.65,44.369,377,0.7,0.44
144.567,1829.23,120.77,24.998,187,-21.71,-18.074,34.61,258.02,-4.69,1.52,44.965,382,1,0.5
149.017,1828.929,121.071,25.181,188,-36.42,-17.051,35.01,262.916,-5.03,1.4,45.556,387,0.75,0.17
152.82,1828.63,121.37,25.372,189,-12.67,-8.862,35.41,267.812,-4.93,1.35,46.04,392,0.43,-0.01
150.31,1828.33,121.67,25.645,190,9.98,2.955,35.81,272.708,-4.54,1.47,46.438,397,0.25,-0.13
145.907,1828.029,121.971,25.919,191,22.86,12.102,36.21,277.604,-4.28,1.66,46.847,402,0.16,-0.13
144.503,1827.73,122.27,26.162,192,13.24,14.043,36.61,282.467,-4.06,1.95,47.248,407,-0.29,-0.51
145.107,1827.43,122.57,26.347,193,19.067,11.509,37.01,287.222,-4.31,1.93,47.638,412,-0.34,-0.66
147.403,1827.129,122.871,26.508,194,8.805,7.133,37.41,291.977,-3.99,1.96,47.976,417,0.64,-0.02
152.97,1826.83,123.17,26.667,195,0.257,1.864,37.72,297.123,-3.9,1.83,48.269,422,0.63,0.03
158.003,1826.53,123.47,26.831,196,-3,-3.259,38.07,303.583,-4.18,1.62,48.57,427,0.5,-0.13
160.903,1826.229,123.771,26.995,197,-12.681,-7.098,38.47,310.965,-4.62,1.44,48.865,432,-0.68,-0.92
158.457,1825.93,124.07,27.15,198,-24.29,-9.208,38.87,318.348,-4.23,1.63,49.158,437,0.26,-0.35
152.203,1825.63,124.37,27.305,199,-6.821,-9.67,39.27,325.729,-4.06,1.73,49.491,442,1.23,0.25
148.567,1825.329,124.671,27.456,200,5.76,-8.929,39.69,331.822,-4.71,1.29,49.864,447,1.48,0.42
148.223,1825.03,124.97,27.605,201,-0.695,-7.803,39.99,334.84,-5.51,0.48,50.284,452,1.17,0.42
150.283,1824.729,125.271,27.744,202,-0.94,-6.592,40.34,338.361,-4.83,1.14,50.705,457,1.19,0.52
155.197,1824.43,125.57,27.882,203,-4.15,-5.396,40.83,343.433,-5,1.19,51.126,462,0.49,0.52
157.893,1824.13,125.87,28.02,204,-4.38,-4.159,41.28,348.157,-5.61,0.99,51.546,467,-0.22,0.52
153.747,1823.829,126.171,28.156,205,-3.595,-2.658,41.63,351.831,-5.99,0.82,51.821,472,-0.42,0.23
145.867,1823.53,126.47,28.293,206,-0.06,-0.747,41.98,355.504,-6,0.75,52.063,477,-0.54,-0.03
140.727,1823.23,126.77,28.43,207,-2.425,1.856,42.33,359.178,-6.7,0.45,52.195,482,-0.45,-0.08
137.57,1822.929,127.071,28.566,208,-3.88,5.039,42.68,362.852,-7.17,0.19,52.326,487,-0.36,-0.14
134.307,1822.63,127.37,28.703,209,1.985,8.743,43.07,366.101,-6.61,0.04,52.458,492,-0.26,-0.13
128.85,1822.33,127.67,28.84,210,13.26,12.527,43.47,369.458,-3.86,1.5,52.589,497,-0.17,-0.06
125.96,1822.037,127.963,28.976,211,14.965,15.815,43.92,373.234,-4.5,1,52.721,502,-0.31,-0.09
128.53,1821.744,128.256,29.113,212,25.85,18.215,44.42,377.43,-3.92,1.7,52.852,507,-0.59,-0.19
130.78,1821.449,128.551,29.25,213,30.745,19.048,44.82,380.786,-3.72,1.81,52.984,512,-0.74,-0.25
135.127,1821.156,128.844,29.387,214,38.34,18.487,45.17,383.723,-3.64,1.49,53.115,517,-0.82,-0.31
143.06,1820.863,129.137,29.523,215,15.945,16.406,45.47,386.241,-3.87,1.37,53.274,522,-0.89,-0.36
146.007,1820.57,129.43,29.66,216,4.01,13.519,45.85,389.598,-4.16,1.22,53.469,527,-0.93,-0.43
142.32,1820.277,129.723,29.797,217,-1.455,10.277,46.36,396.054,-4.43,1.02,53.664,532,-0.98,-0.49
135.79,1819.982,130.018,29.933,218,-5.28,7.217,46.82,401.665,-4.51,1.04,54.219,537,0.32,0.25
128.42,1819.689,130.311,30.07,219,9.975,4.765,47.17,406.03,-4.92,0.7,54.604,542,0.07,0.12
122.81,1819.396,130.604,30.204,220,2.45,2.962,47.57,411.018,-5.28,0.33,54.828,547,0.03,0.16
124.17,1819.103,130.897,30.338,221,16.14,2.069,47.93,416.213,-4.07,1.1,54.944,552,0.2,0.22
132.087,1818.81,131.19,30.471,222,10.88,1.97,48.28,422.187,-4.1,1.16,55.061,557,0.36,0.28
138.92,1818.515,131.485,30.598,223,-19.22,2.776,48.64,428.161,-4.27,0.96,55.178,562,0.53,0.33
141.283,1818.222,131.778,30.722,224,-4.093,4.24,48.94,433.283,-5.81,-0.04,55.315,567,0.66,0.37
138.04,1817.929,132.071,30.845,225,-0.916,6.232,49.29,439.258,-3.7,1.28,55.499,572,0.73,0.36
135.857,1817.636,132.364,30.969,226,13.321,8.452,49.82,446.479,-3.26,1.57,55.682,577,0.68,0.34
140.443,1817.343,132.657,31.091,227,13.244,10.515,50.32,452.423,-3.65,1.58,55.866,582,0.45,0.32
137.073,1817.048,132.952,31.214,228,17.205,12.066,50.72,457.178,-3.62,1.69,56.05,587,0.27,0.27
130.247,1816.755,133.245,31.336,229,18.716,12.675,51.57,467.284,-5.11,1.7,56.234,592,0.11,0.23
125.813,1816.462,133.538,31.459,230,13.05,12.291,52.04,476.122,-5.44,1.17,56.418,597,-0.14,0.15
125.67,1816.169,133.831,31.581,231,7.271,10.799,52.39,489.429,-5.25,1.03,56.602,602,-0.46,0.05
127.44,1815.876,134.124,31.704,232,9.689,8.244,52.64,498.935,-5.11,1.18,56.814,607,-0.75,-0.22
130.757,1815.581,134.419,31.826,233,16.159,4.937,52.89,508.44,-5.69,1,57.04,612,-1.02,-0.56
133.593,1815.288,134.712,31.949,234,16.555,1.242,53.19,519.847,-5.93,0.89,57.355,617,-1.06,-0.73
139.337,1814.995,135.005,32.072,235,2.888,-2.435,53.69,532.666,-6.08,0.74,57.817,622,-1.07,-0.91
144.02,1814.702,135.298,32.194,236,-26.21,-5.585,53.99,535.123,-4.61,1.72,58.547,627,-1.08,-1.04
146.913,1814.409,135.591,32.317,237,-38.215,-7.836,54.39,538.399,-4.91,1.34,59.194,632,-0.85,-0.8
147.177,1814.114,135.886,32.439,238,-22.688,-9.047,54.78,544.965,-5.15,1.4,59.553,637,0.27,0.07
147.613,1813.821,136.179,32.562,239,-12.449,-9.494,55.26,565.51,-4.47,1.67,59.816,642,0.97,0.53
149.62,1813.528,136.472,32.684,240,-1.876,-9.518,55.61,575.031,-4.34,1.66,60.047,647,0.68,0.36
150.683,1813.235,136.765,32.807,241,2.822,-9.668,55.91,583.191,-4.7,1.63,60.252,652,0.37,0.16
141.923,1812.941,137.059,32.929,242,5.939,-10.328,56.31,594.071,-5.04,1.54,60.449,657,0.05,-0.05
132.437,1812.648,137.352,33.052,243,9.575,-11.827,56.66,603.591,-5.62,1.36,60.649,662,-0.2,-0.24
128.543,1812.354,137.646,33.174,244,-10.113,-14.051,57.11,613.56,-6.13,0.7,60.851,667,-0.43,-0.42
127.88,1812.061,137.939,33.297,245,-45.374,-16.722,57.56,619.867,-6.03,0.59,61.054,672,-0.65,-0.6
127.55,1811.768,138.232,33.42,246,-19.49,-19.461,58.07,624.1,-6.09,0.36,61.255,677,-0.07,-0.19
127.727,1811.475,138.526,33.542,247,-25.267,-21.841,58.42,626.194,-6.07,0.39,61.456,682,0.58,0.28
126.307,1811.181,138.819,33.665,248,-36.874,-23.607,58.75,628.288,-6.03,0.3,61.657,687,0.91,0.53
126.603,1810.925,139.075,33.787,249,-25.45,-24.44,59.05,630.669,-6.06,0.31,61.859,692,0.81,0.5
128.48,1810.729,139.271,33.91,250,-23.15,-24.388,59.36,633.536,-5.5,0.96,62.053,697,0.67,0.45
134.39,1810.534,139.466,34.004,251,-18.07,-23.505,59.74,640.358,-3.84,2.03,62.239,702,0.47,0.37
141.503,1810.338,139.662,34.097,252,-18.034,-22.422,60.11,648.373,-4.27,1.79,62.409,707,0.37,0.33
145.663,1810.143,139.857,34.191,253,-27.234,-21.025,60.51,658.566,-4.87,1.39,62.562,712,0.39,0.33
144.313,1809.948,140.052,34.281,254,-8.609,-19.364,61.07,672.407,-5.44,0.94,62.715,717,0.42,0.34
143.573,1809.755,140.245,34.363,255,-8.958,-17.455,61.57,684.829,-3.78,2.13,62.869,722,0.43,0.35
146.433,1809.562,140.438,34.445,256,-15.43,-15.337,61.97,694.768,-3.96,2.1,63.062,727,0.17,0.24
150.273,1809.369,140.631,34.527,257,-16.057,-13.034,62.34,704.728,-4.34,1.96,63.254,732,-0.08,0.13
145.933,1809.175,140.825,34.608,258,-16.271,-10.569,62.86,721.756,-4.28,2.01,63.458,737,-0.05,0.04
141.493,1808.978,141.022,34.69,259,-11.636,-7.995,63.32,733.721,-4.92,1.75,63.668,742,0.13,-0.04
137.667,1808.783,141.217,34.772,260,-11.043,-5.326,63.68,742.292,-4.64,1.62,63.915,747,0.24,0.19
135.43,1808.588,141.412,34.853,261,-4.454,-2.658,63.98,748.313,-4.53,1.91,64.182,752,0.12,0.24
134.76,1808.392,141.608,34.935,262,-1.267,-0.029,64.31,754.332,-4.81,1.9,64.501,757,0,0.02
134.517,1808.197,141.803,35.017,263,2.135,2.439,64.77,760.749,-4.88,1.37,64.852,762,0.03,-0.25
132.493,1808.001,142,35.099,264,1.939,4.697,65.09,765.655,-4.72,1.5,65.16,767,0.28,-0.08
130.733,1807.805,142.195,35.18,265,0.282,6.645,65.44,772.395,-4.21,1.86,65.419,772,0.68,0.2
130.093,1807.61,142.39,35.262,266,7.987,8.212,65.94,782.045,-4.23,2.19,65.679,777,0.73,0.38
129.383,1807.414,142.586,35.344,267,19.842,9.347,66.39,790.57,-4.39,2,65.938,782,0.76,0.57
129.933,1807.219,142.781,35.425,268,22.005,10,66.79,798.148,-5.36,1.44,66.202,787,0.69,0.47
132.063,1807.023,142.978,35.507,269,19.826,10.15,67.12,820.519,-5.77,1.36,66.465,792,0.48,0.3
130.493,1806.827,143.173,35.589,270,10.024,9.804,67.62,841.224,-6.38,1.32,66.729,797,-0.13,-0.06
126.573,1806.632,143.368,35.67,271,10.381,8.975,68.06,853.586,-6.11,0.97,66.847,802,-0.32,-0.15
121.877,1806.466,143.534,35.752,272,7.335,7.752,68.56,867.6,-5.47,1.22,66.921,807,-0.39,-0.15
116.533,1806.302,143.698,35.834,273,7.59,6.261,69.11,883.541,-4.96,1.76,66.994,812,-0.46,-0.16
116.99,1806.138,143.862,35.916,274,-3.34,4.588,69.48,901.207,-4.82,1.22,67.068,817,-0.53,-0.17
124.45,1805.974,144.027,35.997,275,0.416,2.848,69.87,927.915,-4.56,1.59,67.156,822,-0.62,-0.17
134.49,1805.81,144.19,36.079,276,4.987,1.141,70.36,946.215,-4.44,1.96,67.277,827,-0.75,-0.17
137.367,1805.646,144.354,36.161,277,-3.086,-0.438,70.65,957.004,-4.81,1.66,67.397,832,-0.88,-0.17
140.597,1805.48,144.52,36.243,278,-3.994,-1.792,71.06,962.509,-5.05,1.66,67.518,837,-1.02,-0.17
134.937,1805.314,144.686,36.325,279,-2.768,-2.856,71.51,967.861,-5.1,1.66,67.648,842,-1.12,-0.19
131.667,1805.149,144.852,36.407,280,-3.25,-3.557,71.96,973.807,-5.14,1.82,67.826,847,-1.01,-0.33
138.22,1804.982,145.018,36.489,281,-3.667,-3.814,72.43,980.894,-5.17,1.68,68.004,852,-0.9,-0.46
149.077,1804.816,145.184,36.572,282,-8.511,-3.621,72.73,984.021,-5.02,1.7,68.182,857,-0.71,-0.44
157.507,1804.65,145.35,36.655,283,-9.169,-2.993,73.03,987.148,-5.45,1.47,68.36,862,-0.49,-0.35
160.967,1804.484,145.516,36.739,284,-8.024,-1.966,73.44,993.954,-5.38,1.54,68.539,867,-0.27,-0.26
156.913,1804.319,145.682,36.823,285,-4.212,-0.617,74.04,1009.61,-5.83,1.23,68.712,872,-0.11,-0.1
153.563,1804.153,145.847,36.907,286,0.27,0.973,74.59,1039.04,-5.53,1.15,68.884,877,0.04,0.07
150.863,1803.987,146.013,36.991,287,2.149,2.703,75.04,1061.1,-4.92,1.36,69.057,882,0.19,0.24
149.477,1803.82,146.18,37.075,288,4.479,4.446,75.43,1077.04,-4.71,1.49,69.182,887,0.25,0.18
151.757,1803.654,146.346,37.16,289,9.334,6.095,75.73,1083.92,-4.97,1.51,69.287,892,0.28,0.03
152.857,1803.488,146.511,37.244,290,12.32,7.563,76.09,1095.24,-5.02,1.49,69.392,897,0.31,-0.12
152.693,1803.323,146.677,37.328,291,16.248,8.755,76.54,1106.05,-5.18,1.71,69.492,902,0.34,-0.24
153.613,1803.157,146.843,37.411,292,16.632,9.618,76.84,1112.72,-5.36,1.46,69.565,907,0.38,-0.17
155.313,1802.991,147.009,37.472,293,16.16,10.142,77.14,1119.39,-5.24,1.55,69.638,912,0.42,-0.11
157.523,1802.826,147.174,37.532,294,21.047,10.25,77.49,1127.17,-5.09,2.09,69.711,917,0.46,-0.04
156.947,1802.661,147.339,37.592,295,21.37,10.299,77.84,1135.08,-5.25,1.45,69.784,922,0.5,0.03
154.45,1802.497,147.503,37.652,296,11.995,10.22,78.19,1143.11,-5.39,1.28,69.857,927,0.54,0.1
150.647,1802.333,147.666,37.713,297,6.745,10.061,78.55,1152.64,-5.69,0.96,69.979,932,0.57,0.19
148.36,1802.17,147.83,37.768,298,3.816,9.857,78.99,1167.32,-5.59,0.78,70.113,937,0.6,0.29
148.167,1802.005,147.995,37.822,299,2.907,9.597,79.38,1180.53,-5.32,1.03,70.247,942,0.63,0.39
150.717,1801.84,148.16,37.876,300,2.503,9.337,79.84,1196.27,-5.49,0.7,70.381,947,0.63,0.45
153.987,1801.673,148.327,37.93,301,3.182,9.085,80.31,1212,-4.72,1.26,70.515,952,0.46,0.31
159.133,1801.507,148.493,37.984,302,3.871,8.871,81.03,1223.51,-4.25,1.84,70.65,957,0.29,0.17
166.193,1801.341,148.659,38.038,303,4.567,8.684,81.58,1226.9,-4.91,1.5,71.022,962,0.08,0.17
168.727,1801.175,148.825,38.093,304,4.966,8.59,81.8,1228.75,-5.57,1.04,71.438,967,0.02,0.18
166.183,1801.01,148.99,38.147,305,5.082,8.534,81.91,1230.8,-5.66,0.76,71.823,972,-0.01,0.29
166.147,1800.844,149.156,38.201,306,4.349,8.569,82.26,1237.4,-4.52,1.65,72.172,977,-0.03,0.28
166.52,1800.678,149.322,38.255,307,4.394,8.666,82.51,1242.11,-4.72,1.38,72.536,982,0.01,0.21
164.26,1800.511,149.489,38.309,308,5.075,8.815,82.76,1246.81,-4.69,1.23,73.016,987,-0.29,0.01
163.057,1800.345,149.655,38.364,309,5.554,9.041,83.19,1255.78,-4.9,1.22,73.322,992,-0.25,0.05
163.033,1800.18,149.82,38.418,310,5.887,9.29,83.77,1271.17,-4.98,1.29,73.557,997,-0.31,0.01
165.173,1800.014,149.986,38.472,311,5.702,9.58,84.22,1276.68,-5.09,1.06,73.748,1002,-0.44,-0.08
169.193,1799.848,150.152,38.526,312,6.628,9.871,84.72,1282.79,-5.17,1.01,73.94,1007,-0.58,-0.18
171.86,1799.682,150.318,38.58,313,8.664,10.165,85.01,1288.84,-5.34,1.06,74.085,1012,-0.62,-0.23
171.24,1799.515,150.485,38.634,314,20.769,10.422,85.43,1298.59,-5.24,1.13,74.178,1017,-0.56,-0.24
166.26,1799.35,150.65,38.689,315,32.378,10.661,85.78,1302.61,-5.21,1.33,74.272,1022,-0.5,-0.25
160.983,1799.185,150.815,38.743,316,27.366,10.829,86.11,1306.62,-5.5,0.96,74.365,1027,-0.44,-0.25
158.393,1799.022,150.979,38.797,317,20.903,10.952,86.39,1313.49,-5.55,0.91,74.458,1032,-0.38,-0.26
157.65,1798.858,151.142,38.851,318,12.665,11.018,86.76,1323.28,-5.58,0.87,74.552,1037,-0.33,-0.27
156.413,1798.694,151.306,38.905,319,10.486,11.001,87.25,1348.61,-5.59,0.92,74.65,1042,-0.22,-0.24
156.63,1798.53,151.47,38.96,320,10.111,10.95,87.6,1355.91,-5.53,1.11,74.752,1047,-0.08,-0.19
157.7,1798.364,151.636,39.014,321,9.683,10.803,87.81,1363.2,-5.72,0.95,74.854,1052,0.06,-0.13
158.59,1798.198,151.802,39.068,322,7.692,10.615,88.27,1375.32,-5.86,0.87,74.956,1057,0.2,-0.08
160.747,1798.032,151.968,39.122,323,3.454,10.37,88.72,1381.04,-5.84,0.67,75.062,1062,0.33,-0.03
161.883,1797.866,152.134,39.176,324,-0.401,10.052,88.99,1386.04,-4.84,1.17,75.184,1067,0.4,0.02
162.393,1797.701,152.299,39.23,325,-3.804,9.702,89.37,1404.8,-4.82,1.34,75.307,1072,0.46,0.07
166.887,1797.535,152.465,39.289,326,-1.277,9.251,89.72,1416.53,-4.63,1.63,75.429,1077,0.53,0.12
169.003,1797.368,152.632,39.358,327,1.679,8.749,90.08,1424.2,-4.65,1.4,75.646,1082,0.34,0.14
174.293,1797.202,152.798,39.427,328,5.399,8.159,90.38,1427.96,-4.97,1.3,75.828,1087,0.26,0.14
