depth (m),age (BP),temperature (degC),planktic.d18O (permil),Uk37 (missing),IRD (missing),depth (m),CaCO3 (percent),TOC (percent)
2.88,9238,NA,0.09,NA,NA,NA,NA,NA
2.9,9277,21.171,NA,0.742,NA,NA,NA,NA
2.93,9336,NA,0.2,NA,NA,NA,NA,NA
2.95,9375,20.805,NA,0.73,NA,NA,NA,NA
2.98,9434,NA,0.14,NA,NA,NA,NA,NA
3,9473,20.767,NA,0.728,NA,NA,NA,NA
3.03,9532,NA,0.29,NA,NA,NA,NA,NA
3.05,9571,20.761,NA,0.728,NA,NA,NA,NA
3.07,9610,NA,0.36,NA,NA,NA,NA,NA
3.1,9669,20.766,NA,0.728,NA,NA,NA,NA
3.12,9708,NA,0.5,NA,NA,NA,NA,NA
3.15,9767,20.548,NA,0.721,NA,NA,NA,NA
3.17,9806,NA,0.47,NA,NA,NA,NA,NA
3.2,9865,21.197,NA,0.743,NA,NA,NA,NA
3.22,9904,NA,0.4,NA,NA,NA,NA,NA
3.25,9963,20.449,NA,0.718,NA,NA,NA,NA
3.27,10002,NA,0.07,NA,NA,NA,NA,NA
3.3,10061,19.634,NA,0.691,NA,NA,NA,NA
3.32,10100,NA,-0.25,NA,NA,NA,NA,NA
3.35,10159,20.821,NA,0.731,NA,NA,NA,NA
3.37,10198,NA,0.24,NA,NA,NA,NA,NA
3.4,10257,21.159,NA,0.741,NA,NA,NA,NA
3.42,10296,NA,0.37,NA,NA,NA,NA,NA
3.45,10355,21.277,NA,0.745,NA,NA,NA,NA
3.47,10394,NA,0.08,NA,NA,NA,NA,NA
3.5,10453,22.033,NA,0.77,NA,NA,NA,NA
3.52,10492,NA,0.29,NA,NA,NA,NA,NA
3.55,10551,21.757,NA,0.761,NA,NA,NA,NA
3.57,10590,NA,0.85,NA,NA,NA,NA,NA
3.6,10700,21.278,NA,0.745,NA,NA,NA,NA
3.62,10789,NA,1,NA,NA,NA,NA,NA
3.65,10924,21.311,NA,0.746,NA,NA,NA,NA
3.67,11013,NA,1.15,NA,0,NA,NA,NA
3.7,11148,20.957,NA,0.735,NA,NA,NA,NA
3.72,11237,NA,0.76,NA,0,NA,NA,NA
3.75,11372,21.346,NA,0.747,NA,NA,NA,NA
3.77,11461,NA,1.02,NA,0,NA,NA,NA
3.8,11596,20.438,NA,0.717,NA,NA,NA,NA
3.82,11685,NA,1.11,NA,0,NA,NA,NA
3.85,11820,19.228,NA,0.678,NA,NA,NA,NA
3.87,11909,NA,1.6,NA,0,NA,NA,NA
3.9,12044,19.015,NA,0.671,NA,NA,NA,NA
3.92,12133,NA,1.69,NA,0,NA,NA,NA
3.95,12268,17.213,NA,0.611,NA,NA,NA,NA
3.97,12357,NA,1.51,NA,0,NA,NA,NA
4,12492,17.99,NA,0.637,NA,NA,NA,NA
4.03,12626,NA,1.52,NA,0,NA,NA,NA
4.05,12754,15.004,NA,0.538,NA,NA,NA,NA
4.08,12946,NA,1.32,NA,0,NA,NA,NA
4.1,13074,19.179,NA,0.676,NA,NA,NA,NA
4.13,13265,NA,0.99,NA,0,NA,NA,NA
4.15,13393,19.162,NA,0.675,NA,NA,NA,NA
4.18,13585,NA,0.75,NA,0,NA,NA,NA
4.2,13713,18.673,NA,0.659,NA,NA,NA,NA
4.23,13905,NA,0.84,NA,0,NA,NA,NA
4.25,14033,18.791,NA,0.663,NA,NA,NA,NA
4.28,14225,NA,1.16,NA,0.018,NA,NA,NA
4.3,14353,18.647,NA,0.658,NA,NA,NA,NA
4.33,14544,NA,1.14,NA,0.039,NA,NA,NA
4.35,14672,18.279,NA,0.646,NA,NA,NA,NA
4.38,14864,NA,0.57,NA,0.042,NA,NA,NA
4.4,14992,19.066,NA,0.672,NA,NA,NA,NA
4.43,15184,NA,1.58,NA,0.076,NA,NA,NA
4.45,15312,19.226,NA,0.677,NA,NA,NA,NA
4.48,15504,NA,1.5,NA,0.095,NA,NA,NA
4.5,15631,18.971,NA,0.669,NA,NA,NA,NA
4.53,15823,NA,1.77,NA,0.182,NA,NA,NA
4.55,15951,18.802,NA,0.663,NA,NA,NA,NA
4.58,16143,NA,1.68,NA,0.333,NA,NA,NA
4.6,16203,14.779,NA,0.531,NA,NA,NA,NA
4.63,16294,NA,2.06,NA,0.647,NA,NA,NA
4.68,16445,NA,NA,NA,0.397,NA,NA,NA
4.7,16505,16.474,NA,0.587,NA,NA,NA,NA
4.73,16596,NA,2.5,NA,0,NA,NA,NA
4.75,16656,15.046,NA,0.54,NA,NA,NA,NA
4.78,16746,NA,2.55,NA,0,NA,NA,NA
4.8,16807,15.258,NA,0.547,NA,NA,NA,NA
4.83,16897,NA,2.15,NA,0,NA,NA,NA
4.85,16958,14.885,NA,0.534,NA,NA,NA,NA
4.88,17048,NA,2.55,NA,0,NA,NA,NA
4.93,17199,NA,2.45,NA,0,NA,NA,NA
4.95,17259,15.189,NA,0.544,NA,NA,NA,NA
4.98,17350,NA,2.31,NA,0,NA,NA,NA
5,17410,14.824,NA,0.532,NA,NA,NA,NA
5.03,17501,NA,2.44,NA,0,NA,NA,NA
5.05,17561,14.64,NA,0.526,NA,NA,NA,NA
5.07,17621,NA,2.32,NA,0,NA,NA,NA
5.12,17772,NA,2.73,NA,0,NA,NA,NA
5.15,17863,14.263,NA,0.514,NA,NA,NA,NA
5.17,17923,NA,2.5,NA,0,NA,NA,NA
5.2,18013,15.329,NA,0.549,NA,NA,NA,NA
5.22,18074,NA,2.44,NA,0,NA,NA,NA
5.25,18164,16.532,NA,0.589,NA,NA,NA,NA
5.27,18225,NA,1.95,NA,0,NA,NA,NA
5.3,18370,16.606,NA,0.591,NA,NA,NA,NA
5.32,18539,NA,1.71,NA,0,NA,NA,NA
5.35,18792,17.426,NA,0.618,NA,NA,NA,NA
5.37,18961,NA,1.97,NA,0,NA,NA,NA
5.4,19215,16.321,NA,0.582,NA,NA,NA,NA
5.42,19384,NA,1.68,NA,0,NA,NA,NA
5.45,19637,16.53,NA,0.588,NA,NA,NA,NA
5.47,19806,NA,2.19,NA,0,NA,NA,NA
5.5,20060,16.609,NA,0.591,NA,NA,NA,NA
5.52,20229,NA,2.01,NA,0,NA,NA,NA
5.55,20482,16.58,NA,0.59,NA,NA,NA,NA
5.57,20651,NA,2,NA,0,NA,NA,NA
5.6,20905,16.126,NA,0.575,NA,NA,NA,NA
5.62,21074,NA,1.8,NA,0,NA,NA,NA
5.65,21328,16.102,NA,0.574,NA,NA,NA,NA
5.67,21497,NA,1.92,NA,0,NA,NA,NA
