depth (m),age (BP),planktic.d13C (permil),planktic.d18O (permil),planktic.d13C (permil),planktic.d18O (permil),d13C (permil),d18O (permil),depth (m),age (BP),TOC (percent),CaCO3 (percent),depth (m),temperature (degC)
0.655,2274,0.54,3.53,-0.98,2.75,1,4.24,0.735,2601,1.19,12.89,2.565,4.862
0.665,2315,0.38,3.31,NA,NA,0.95,4.18,0.745,2641,1.16,13.42,2.575,4.844
0.675,2355,0.37,3.36,NA,NA,0.68,4.27,0.755,2682,1.22,12.19,2.585,4.472
0.685,2396,0.57,3.35,NA,NA,0.82,4.06,0.765,2722,1.14,13.87,2.595,4.691
0.695,2436,0.63,3.25,NA,NA,0.77,4.2,0.775,2762,1.15,12.79,2.605,4.931
0.705,2476,0.53,3.4,-0.8,2.93,NA,NA,0.785,2802,1.17,11.82,2.615,4.924
0.715,2517,0.58,3.46,NA,NA,1,4.17,0.795,2843,1.19,11.86,2.655,4.844
0.725,2557,0.54,3.62,NA,NA,0.99,4.29,0.805,2883,1.19,12.28,2.685,4.362
0.735,2598,0.52,3.59,NA,NA,0.62,4.26,0.815,2923,1.15,11.88,2.725,5.245
0.745,2638,0.57,3.38,NA,NA,0.99,4.29,0.825,2964,1.15,12.04,2.765,5.218
0.755,2678,0.51,3.31,-0.96,2.72,0.81,4.23,0.835,3004,1.17,14.11,2.81,5.416
0.765,2719,0.63,3.49,NA,NA,0.76,4.19,0.845,3044,1.13,12.24,2.84,5.33
0.775,2759,0.57,3.42,NA,NA,0.91,4.25,0.855,3085,1.18,13.41,2.88,5.826
0.785,2800,0.59,3.46,NA,NA,0.6,4.12,0.865,3125,1.16,13.79,2.91,5.889
0.795,2840,0.53,3.33,NA,NA,0.86,3.98,0.875,3165,1.14,11.92,2.94,5.589
0.805,2880,0.6,3.31,-1.05,2.73,1.14,4.12,0.885,3206,1.11,11.81,3,5.986
0.815,2921,0.61,3.29,NA,NA,0.7,4.04,0.895,3246,1.07,11.38,3.03,5.512
0.825,2961,0.65,3.38,NA,NA,1.02,4.18,0.905,3286,1.1,12.13,3.07,5.64
0.835,3002,0.49,3.25,NA,NA,0.75,4.28,0.915,3327,1.14,12.32,3.09,4.975
0.845,3042,0.71,3.45,NA,NA,0.92,4.26,0.925,3367,1.22,11.79,3.13,5.336
0.855,3083,0.65,3.45,-1.03,2.55,0.84,4.2,0.935,3407,1.15,12.41,3.17,5.646
0.865,3123,0.45,3.45,NA,NA,0.84,4.18,0.945,3447,1.17,11.73,3.21,5.875
0.875,3163,0.59,3.32,NA,NA,0.95,4.15,0.955,3488,1.15,11.89,3.29,5.232
0.885,3204,0.66,3.39,NA,NA,0.94,4.22,0.965,3528,1.18,11.32,3.33,5.984
0.895,3244,0.81,3.4,NA,NA,0.85,4.16,0.975,3568,1.2,10.38,3.37,5.393
0.905,3285,0.66,3.3,-1.05,2.42,0.85,4.18,0.985,3609,1.2,9.69,3.41,5.932
0.915,3325,0.67,3.46,NA,NA,0.78,4.24,0.995,3649,1.2,10.97,3.45,5.539
0.925,3365,0.66,3.39,NA,NA,0.71,4.17,1.005,3689,1.18,9.48,3.49,5.986
0.935,3406,0.82,3.33,NA,NA,0.76,4.22,1.015,3730,1.2,9.11,3.5,5.978
0.945,3446,0.83,3.49,NA,NA,0.98,4.26,1.025,3770,1.18,8.7,3.53,5.837
0.955,3487,0.66,3.29,-1.05,2.76,0.74,4.23,1.035,3823,1.21,8.68,3.57,6.347
0.965,3527,0.88,3.41,NA,NA,0.97,4.19,1.045,3875,1.23,8.92,3.61,5.985
0.975,3567,0.9,3.57,NA,NA,0.75,4.14,1.055,3928,1.22,9.85,3.65,6.206
0.985,3608,0.78,3.6,NA,NA,0.66,4.27,1.065,3980,1.2,9.81,3.68,5.294
0.995,3648,0.89,3.53,NA,NA,1.06,4.21,1.075,4033,1.24,9.95,3.69,5.371
1.005,3689,0.86,3.6,-0.9,3.27,0.87,4.48,1.085,4085,1.15,10.51,3.72,5.42
1.015,3729,0.91,3.57,NA,NA,0.51,4.28,1.095,4138,1.21,10.41,3.76,4.745
1.025,3770,0.92,3.64,NA,NA,0.78,4.41,1.105,4190,1.17,9.79,3.805,5.562
1.035,3823,0.78,3.51,NA,NA,0.54,4.26,1.115,4243,1.18,9.78,3.845,5.142
1.045,3876,0.95,3.74,NA,NA,0.7,4.34,1.125,4296,1.18,9.07,3.885,5.548
1.055,3930,0.86,3.59,-1,3.12,0.6,4.3,1.135,4348,1.19,9.23,3.925,3.472
1.065,3983,0.88,3.55,NA,NA,0.66,4.2,1.145,4401,1.16,8.57,3.965,3.011
1.075,4036,0.9,3.49,NA,NA,0.76,4.11,1.155,4453,1.14,8.76,4.005,4.007
1.085,4090,0.87,3.73,NA,NA,0.62,4.26,1.165,4506,1.15,8.83,4.045,2.627
1.095,4143,0.8,3.5,NA,NA,0.68,4.23,1.175,4558,1.17,8.21,4.085,2.377
1.105,4196,0.85,3.48,-0.94,3.14,0.78,4.1,1.185,4611,1.17,8.05,4.125,3.693
1.115,4250,0.82,3.45,NA,NA,0.76,4.23,1.195,4663,1.11,9.1,4.165,3.714
1.125,4303,0.81,3.46,NA,NA,0.68,4.4,1.205,4716,1.13,8.02,4.205,3.966
1.135,4356,0.8,3.46,NA,NA,0.75,4.43,1.215,4768,1.11,7.26,4.245,2.491
1.145,4410,0.83,3.58,NA,NA,0.86,4.35,1.225,4821,1.12,8.83,4.285,2.166
1.155,4463,0.89,3.59,-0.89,3.33,0.8,4.28,1.235,4874,1.1,9.19,4.325,3.367
1.165,4517,0.86,3.6,NA,NA,0.66,4.43,1.245,4926,1.06,8.09,4.365,3.45
1.175,4570,0.72,3.53,NA,NA,0.7,4.38,1.255,4979,1.09,8.95,4.405,2.553
1.185,4623,0.86,3.33,NA,NA,0.71,4.36,1.265,5031,1.12,9.42,4.445,2.524
1.195,4677,0.89,3.64,NA,NA,1.01,4.03,1.275,5084,1.13,9.56,4.485,2.755
1.205,4730,0.69,3.23,-0.92,2.89,0.68,4.24,1.285,5136,1.12,9.38,4.525,3.005
1.215,4783,0.71,3.36,NA,NA,0.75,4.2,1.295,5189,1.14,9.26,4.565,2.758
1.225,4837,0.61,3.37,NA,NA,0.75,4.36,1.305,5241,1.15,8.78,4.605,2.523
1.235,4890,0.95,3.64,NA,NA,0.9,4.34,1.315,5294,1.08,10.54,4.685,1.869
1.245,4943,0.78,3.56,NA,NA,0.87,4.46,1.325,5319,1.09,10.71,4.725,2.82
1.255,4997,0.85,3.55,-0.91,3.28,0.88,4.38,1.335,5345,1.1,13.24,4.745,1.995
1.265,5050,0.79,3.3,NA,NA,0.7,4.18,1.345,5370,1.09,5.49,NA,NA
1.275,5104,0.72,3.43,NA,NA,0.76,4.33,1.355,5395,1.07,10.6,NA,NA
1.285,5157,0.74,3.27,NA,NA,0.9,4.18,1.365,5420,1.09,10.29,NA,NA
1.295,5210,0.66,3.38,NA,NA,0.85,4.2,1.375,5446,1.1,9.64,NA,NA
1.305,5264,0.67,3.41,-1.47,3.16,0.88,3.98,1.385,5471,1.06,7.5,NA,NA
1.315,5317,0.84,3.58,NA,NA,0.88,4.24,1.395,5496,1.04,11.2,NA,NA
1.325,5342,0.85,3.53,NA,NA,0.72,3.93,1.405,5522,1.03,9.74,NA,NA
1.335,5367,0.84,3.52,NA,NA,0.8,4.26,1.415,5547,1.03,12.71,NA,NA
1.345,5391,0.84,3.49,NA,NA,0.79,4.18,1.425,5572,1.06,11.72,NA,NA
1.355,5416,0.65,3.38,-1.41,2.42,0.69,4.04,1.435,5597,1.05,12.46,NA,NA
1.365,5441,0.74,3.6,NA,NA,0.88,4.1,1.445,5623,1.04,12.65,NA,NA
1.375,5466,0.77,3.57,NA,NA,0.92,4.12,1.455,5648,1.09,10.02,NA,NA
1.385,5491,0.78,3.57,NA,NA,0.81,4.18,1.465,5673,1.06,11.89,NA,NA
1.395,5516,0.7,3.49,NA,NA,0.88,4.04,1.475,5699,1.07,10.95,NA,NA
1.405,5540,0.81,3.45,-1.03,2.83,0.93,4.14,1.485,5724,1.09,11.21,NA,NA
1.415,5565,0.75,3.43,NA,NA,1,4.07,1.495,5749,1.1,10.99,NA,NA
1.425,5590,0.87,3.29,NA,NA,0.87,4.14,1.505,5774,1.06,11.19,NA,NA
1.435,5615,0.77,3.6,NA,NA,0.93,4.25,1.515,5800,1.07,10.84,NA,NA
1.445,5640,0.69,3.45,NA,NA,0.98,4.23,1.525,5825,1.05,11.32,NA,NA
1.455,5664,0.76,3.56,-1.13,2.78,0.7,4.24,1.535,5850,1.08,11.14,NA,NA
1.465,5689,0.7,3.2,NA,NA,0.86,4.08,1.545,5876,1.14,10.39,NA,NA
1.475,5714,0.69,3.24,NA,NA,0.88,4.28,1.555,5901,1.17,12.58,NA,NA
1.485,5739,0.74,3.3,NA,NA,0.92,4.25,1.565,5926,1.17,11.37,NA,NA
1.495,5764,0.76,3.29,NA,NA,0.92,4.13,1.575,5951,1.18,11.69,NA,NA
1.505,5789,0.82,3.48,-1.08,2.67,0.9,4,1.585,5977,1.15,12.18,NA,NA
1.515,5813,0.83,3.42,NA,NA,0.79,4.17,1.595,6002,1.12,12.58,NA,NA
1.525,5838,0.61,3.44,NA,NA,0.88,4.11,1.605,6027,1.14,10.64,NA,NA
1.535,5863,0.77,3.26,NA,NA,NA,NA,1.615,6052,1.14,11.06,NA,NA
1.545,5888,0.62,3.27,NA,NA,1.07,4.22,1.625,6078,1.15,10.68,NA,NA
1.555,5913,0.74,3.33,-1.18,2.83,1,4.19,1.635,6103,1.21,10.49,NA,NA
1.565,5937,0.77,3.27,NA,NA,0.78,4.27,1.645,6128,1.13,10.25,NA,NA
1.575,5962,0.66,3.19,NA,NA,1.01,4.2,1.655,6154,1.11,9.28,NA,NA
1.585,5987,0.63,2.95,NA,NA,0.99,4.34,1.665,6179,1.11,8.41,NA,NA
1.595,6012,0.68,3.24,NA,NA,0.85,4.22,1.675,6204,1.17,8.74,NA,NA
1.605,6037,0.76,3.39,-1.37,2.48,1.04,4.1,1.685,6229,1.18,9.15,NA,NA
1.615,6062,0.86,3.58,NA,NA,0.84,4.32,1.695,6255,1.18,9.48,NA,NA
1.625,6086,0.74,3.49,NA,NA,0.71,4.28,1.705,6280,1.19,9.98,NA,NA
1.635,6111,0.72,3.27,NA,NA,0.78,4.39,1.715,6305,1.18,11.34,NA,NA
1.645,6136,0.72,3.43,NA,NA,0.85,4.22,1.725,6331,1.17,10.16,NA,NA
1.655,6161,0.74,3.53,-1.38,3.44,1.02,4.06,1.735,6356,1.1,8.82,NA,NA
1.665,6186,0.74,3.5,NA,NA,1.14,4.17,1.745,6381,1.15,8.74,NA,NA
1.675,6210,0.79,3.67,NA,NA,0.98,4.01,1.755,6406,1.16,8.7,NA,NA
1.685,6235,0.86,3.64,NA,NA,0.6,4.21,1.765,6432,1.11,9.21,NA,NA
1.695,6260,0.77,3.47,NA,NA,0.67,4.19,1.785,6482,1.05,8.61,NA,NA
1.705,6285,0.81,3.57,-1.12,2.8,0.81,4.29,1.795,6508,1.06,9.25,NA,NA
1.715,6310,0.81,3.54,NA,NA,0.75,3.9,1.805,6533,1.07,10.18,NA,NA
1.725,6335,0.8,3.43,NA,NA,0.7,4.12,1.81,6546,1.05,9.88,NA,NA
1.735,6359,0.73,3.53,NA,NA,0.93,4.26,1.815,6557,1.07,9.33,NA,NA
1.745,6384,0.7,3.47,NA,NA,1.04,4.29,1.825,6581,1.07,9.45,NA,NA
1.755,6409,0.56,3.34,-1.35,2.62,0.87,4.14,1.835,6605,1.06,9.97,NA,NA
1.765,6434,0.72,3.46,NA,NA,1,4.18,1.845,6629,1.05,9.27,NA,NA
1.785,6483,0.7,3.35,NA,NA,0.71,4,1.855,6653,1.05,10.61,NA,NA
1.795,6508,0.73,3.53,NA,NA,0.99,4.02,1.865,6677,1.03,9.95,NA,NA
1.805,6533,0.68,3.41,-1.31,2.55,0.77,3.95,1.875,6701,1.08,9.4,NA,NA
1.815,6557,0.71,3.49,NA,NA,0.63,4.19,1.885,6725,1.11,9.91,NA,NA
1.825,6581,0.7,3.59,NA,NA,0.64,4.07,1.895,6749,1.12,9.55,NA,NA
1.835,6605,0.63,3.38,NA,NA,0.82,4.13,1.9,6761,1.14,10.55,NA,NA
1.845,6629,0.7,3.43,NA,NA,0.5,4.06,1.905,6772,1.14,9.38,NA,NA
1.855,6653,0.66,3.39,-1.4,2.51,0.69,4.15,1.915,6796,1.18,9.31,NA,NA
1.865,6677,0.63,3.32,NA,NA,0.81,4.26,1.925,6820,1.1,10.65,NA,NA
1.875,6701,0.65,3.44,NA,NA,1.06,4.2,1.935,6844,1.08,11.62,NA,NA
1.885,6725,0.69,3.37,NA,NA,0.84,4.06,1.945,6868,1.07,11.75,NA,NA
1.895,6749,0.73,3.28,NA,NA,0.93,4.11,1.955,6892,1.04,11.7,NA,NA
1.905,6773,0.73,3.37,-1.02,2.88,0.88,4.3,1.965,6916,1.04,12.02,NA,NA
1.915,6796,0.76,3.26,NA,NA,0.97,4.15,1.975,6940,1.02,11.9,NA,NA
1.925,6820,0.82,3.4,NA,NA,0.97,4.22,1.985,6964,1.03,12.83,NA,NA
1.935,6844,0.67,3.27,NA,NA,1.06,4.28,1.995,6987,1.13,11.55,NA,NA
1.945,6868,0.71,3.32,NA,NA,1,4.26,2.005,7011,1.03,12.99,NA,NA
1.955,6892,0.56,3.28,-1.18,2.43,1.03,4.2,2.015,7035,1.03,15.37,NA,NA
1.965,6916,0.68,3.36,NA,NA,0.99,4.34,2.025,7059,1.04,15.51,NA,NA
1.975,6940,0.61,3.28,NA,NA,1.02,4.16,2.035,7083,1.11,13.21,NA,NA
1.985,6964,0.77,3.34,NA,NA,0.93,4.23,2.045,7107,1.01,14.21,NA,NA
1.995,6988,0.68,3.16,NA,NA,0.9,4.22,2.055,7131,1.05,10.89,NA,NA
2.005,7012,0.56,3.11,-1.53,2.34,0.83,4.28,2.065,7155,1,11.17,NA,NA
2.015,7035,0.58,3.28,NA,NA,0.84,4.19,2.075,7179,0.99,14.17,NA,NA
2.025,7059,0.66,3.3,NA,NA,0.9,4.21,2.085,7202,0.98,12.55,NA,NA
2.035,7083,0.62,3.33,NA,NA,0.96,4.14,2.095,7226,0.98,15.66,NA,NA
2.045,7107,0.61,3.32,NA,NA,0.94,4.06,2.105,7250,1.03,15.72,NA,NA
2.055,7131,0.65,3.34,-1.2,2.76,0.79,4.31,2.115,7274,1.01,14.31,NA,NA
2.065,7155,0.69,3.34,NA,NA,0.64,4.26,2.125,7298,1,16.32,NA,NA
2.075,7179,0.37,3.17,NA,NA,0.84,4.18,2.135,7322,0.95,15.83,NA,NA
2.085,7203,0.63,3.3,NA,NA,0.9,4.38,2.145,7346,0.94,15.33,NA,NA
2.095,7227,0.58,3.25,NA,NA,0.76,4.2,2.155,7370,1,13.61,NA,NA
2.105,7251,0.59,3.14,-1.08,2.53,0.84,4.21,2.165,7394,1.02,13.55,NA,NA
2.115,7274,0.68,3.61,NA,NA,0.89,4.2,2.175,7418,1.02,14.81,NA,NA
2.125,7298,0.55,3.4,NA,NA,0.95,4.19,2.185,7441,1.02,18.31,NA,NA
2.135,7322,0.68,3.36,NA,NA,0.87,4.13,2.195,7465,1.03,15.13,NA,NA
2.145,7346,0.68,3.08,NA,NA,0.97,4.17,2.205,7489,1.07,13.61,NA,NA
2.155,7370,0.48,3.21,-1.17,2.3,0.9,4.11,2.215,7513,1.07,13.78,NA,NA
2.165,7394,0.53,3.16,NA,NA,0.84,4.11,2.225,7537,1.04,12.47,NA,NA
2.175,7418,0.69,3.27,NA,NA,0.86,4.07,2.235,7561,1.03,10.02,NA,NA
2.185,7442,0.54,3.22,NA,NA,0.92,4.14,2.245,7585,1.05,8.83,NA,NA
2.195,7466,0.49,3.06,NA,NA,0.88,4.05,2.255,7609,1.04,10.11,NA,NA
2.205,7490,0.6,3.19,-1.38,2.35,0.84,4.16,2.265,7633,1.05,11.78,NA,NA
2.215,7513,0.43,2.94,NA,NA,0.83,4.1,2.275,7656,1.06,12.59,NA,NA
2.225,7537,0.5,3.04,NA,NA,0.84,4.1,2.285,7680,1.05,11.62,NA,NA
2.235,7561,0.6,3.16,NA,NA,0.94,4.13,2.295,7704,1.04,11.13,NA,NA
2.245,7585,0.65,3.19,NA,NA,0.85,4.03,2.305,7728,1.08,10.51,NA,NA
2.255,7609,0.61,3.11,-1.47,2.29,0.89,4.15,2.315,7752,1.07,11.81,NA,NA
2.265,7633,0.68,3.31,NA,NA,0.69,4.07,2.325,7773,1.05,10.9,NA,NA
2.275,7657,0.66,3.19,NA,NA,0.62,4.04,2.335,7794,1.03,10.97,NA,NA
2.285,7681,0.75,3.25,NA,NA,0.71,4.07,2.345,7816,1.05,10.51,NA,NA
2.295,7705,0.54,3.17,NA,NA,0.9,4.12,2.355,7837,1.01,12.22,NA,NA
2.305,7729,0.37,3.14,-1.19,2.06,0.85,4.12,2.365,7858,1.03,7.67,NA,NA
2.315,7753,0.48,3.09,NA,NA,0.93,4.1,2.375,7879,0.99,10.28,NA,NA
2.325,7774,0.59,3.17,NA,NA,0.92,4.12,2.385,7900,1.03,5.78,NA,NA
2.335,7795,0.38,3.13,NA,NA,1.02,4.24,2.395,7921,1.05,14.15,NA,NA
2.345,7816,0.61,3.07,NA,NA,0.91,4.17,2.405,7943,1.01,8.91,NA,NA
2.355,7837,0.54,3.1,-1.4,2.25,1.03,4.14,2.415,7964,1.03,12.25,NA,NA
2.365,7858,0.5,3.09,NA,NA,1,4.14,2.425,7985,1.04,13.34,NA,NA
2.375,7879,0.5,3.08,NA,NA,0.84,4.09,2.435,8006,1.03,9.59,NA,NA
2.385,7900,0.74,3.18,NA,NA,1.02,4.14,2.445,8027,1,14,NA,NA
2.395,7921,0.53,3.08,NA,NA,0.86,4.1,2.455,8049,1.01,7.72,NA,NA
2.405,7942,0.65,3.17,-1.63,2.36,0.86,4.08,2.465,8070,1.02,16.34,NA,NA
2.415,7964,0.43,3.22,NA,NA,0.84,4.2,2.475,8091,1.01,7.68,NA,NA
2.425,7985,0.48,3.06,NA,NA,0.74,4.04,2.485,8112,1.03,8.37,NA,NA
2.435,8006,0.59,3.21,NA,NA,0.76,4.02,2.495,8133,1.02,13.59,NA,NA
2.445,8027,0.45,3,NA,NA,0.71,NA,2.505,8154,1,8.61,NA,NA
2.455,8048,0.64,3.35,-1.69,2.39,0.75,4.18,2.515,8176,1.04,7.08,NA,NA
2.465,8069,0.54,3.11,NA,NA,0.9,4.05,2.525,8197,0.96,13.22,NA,NA
2.475,8090,0.47,3.22,NA,NA,0.74,4.12,2.535,8218,0.98,17.26,NA,NA
2.485,8111,0.5,3.16,NA,NA,0.76,4.15,2.545,8239,0.99,4.52,NA,NA
2.495,8132,0.58,3.18,NA,NA,0.62,4.11,2.555,8260,1,17.17,NA,NA
2.505,8154,0.59,3.48,-1.57,2.65,0.73,4.25,2.565,8282,1.01,11.18,NA,NA
2.515,8175,0.47,3.46,NA,NA,0.81,4.16,2.575,8303,1.02,12.71,NA,NA
2.525,8196,0.52,3.36,NA,NA,0.68,4.17,2.585,8324,1.04,13.18,NA,NA
2.535,8217,0.68,3.49,NA,NA,0.74,4.04,2.595,8345,1,13.13,NA,NA
2.545,8238,0.57,3.3,NA,NA,0.62,3.97,2.605,8366,1.03,12.65,NA,NA
2.555,8259,0.63,3.28,-1.34,2.67,0.54,4.04,2.615,8388,1.03,11.76,NA,NA
2.565,8280,0.62,3.2,NA,NA,0.68,4.1,2.625,8409,1.08,11.42,NA,NA
2.575,8301,0.7,3.28,NA,NA,0.79,4.09,2.635,8430,1.07,12.69,NA,NA
2.585,8322,0.58,3.05,NA,NA,0.8,3.88,2.645,8451,1.05,11.72,NA,NA
2.595,8343,0.5,3.06,NA,NA,0.85,4.07,2.655,8472,1.01,12.68,NA,NA
2.605,8365,0.43,3.06,-1.59,2.24,0.9,4.14,2.665,8493,1.03,13.28,NA,NA
2.615,8386,0.54,3.21,NA,NA,0.9,4.03,2.675,8515,1.04,12.26,NA,NA
2.625,8407,0.34,3.08,NA,NA,0.88,3.89,2.685,8536,1.05,12.95,NA,NA
2.635,8428,0.58,3.21,NA,NA,0.85,4.21,2.695,8557,1,12.77,NA,NA
2.645,8449,0.44,3.23,NA,NA,0.86,4.08,2.705,8578,1.04,9.92,NA,NA
2.655,8470,0.41,3.33,-1.64,2.41,0.92,4.17,2.715,8599,0.95,11.36,NA,NA
2.665,8491,0.39,3.22,NA,NA,0.78,4.13,2.725,8621,1.05,11.14,NA,NA
2.675,8512,0.52,3.15,NA,NA,0.74,4.14,2.735,8642,1.13,11.8,NA,NA
2.685,8533,0.57,3.14,NA,NA,0.67,4.15,2.745,8663,1.12,11.95,NA,NA
