year (AD),age (BP),sampleID (missing),d13C (missing)
-167,2117,785,-28.91
-177,2127,784,-28.71
-186,2136,783,-28.7
-194,2144,782,-28.73
-204,2154,781,-28.63
-205,2155,780,-28.48
-214,2164,779,-28.69
-225,2175,778,-28.82
-234,2184,777,-29.09
-249,2199,776,-29.02
-262,2212,775,-29.26
-269,2219,774,-29
-270,2220,773,-28.7
-270,2220,772,-29.29
-280,2230,771,-29.16
-292,2242,770,-29.11
-303,2253,769,-29.11
-311,2261,768,-29.13
-321,2271,767,-29.1
-332,2282,766,-29.19
-342,2292,765,-29.25
-352,2302,764,-29.44
-361,2311,763,-29.43
-371,2321,762,-29.51
-382,2332,761,-29.38
-403,2353,760,-29.32
-413,2363,759,-29.41
-424,2374,758,-29.36
-436,2386,757,-29.56
-445,2395,756,-29.3
-454,2404,755,-29.35
-466,2416,754,-29.21
-478,2428,753,-29.32
-489,2439,752,-29
-499,2449,751,-29.16
-500,2450,750,-28.33
-508,2458,749,-28.85
-517,2467,748,-28.93
-524,2474,747,-29.12
-533,2483,746,-29.4
-540,2490,745,-29.18
-548,2498,744,-28.93
-554,2504,743,-28.94
-563,2513,742,-29.02
-571,2521,741,-29.42
-577,2527,740,-29.73
-580,2530,739,-29.51
-583,2533,738,-29.2
-590,2540,737,-29.07
-592,2542,736,-28.71
-595,2545,735,-28.81
-601,2551,734,-28.96
-605,2555,733,-29
-610,2560,732,-29
-616,2566,731,-29.17
-624,2574,730,-29.85
-627,2577,729,-29.64
-633,2583,728,-28.99
-643,2593,727,-27.86
-645,2595,726,-29.07
-651,2601,725,-30.2
-651,2601,724,-32.28
-651,2601,723,-34.08
-651,2601,722,-29.94
-652,2602,721,-29.01
-652,2602,720,-29.02
-652,2602,719,-29.36
-658,2608,718,-29.54
-665,2615,717,-29.33
-672,2622,716,-29.41
-677,2627,715,-29.45
-680,2630,714,-29.62
-683,2633,713,-29.51
-692,2642,712,-29.59
-700,2650,711,-29.88
-708,2658,710,-30.28
-712,2662,709,-29.6
-715,2665,708,-29.71
-722,2672,707,-30.09
-733,2683,706,-31.17
-742,2692,705,-30.9
-764,2714,704,-31.56
-804,2754,703,-35.23
-837,2787,702,-36.18
-872,2822,701,-35.46
-900,2850,700,-35
-937,2887,699,-34.97
-978,2928,698,-36.2
-1015,2965,697,-35.69
-1039,2989,696,-35.8
-1050,3000,695,-35.55
-1091,3041,694,-35.11
-1123,3073,693,-34.82
-1153,3103,692,-34.72
-1197,3147,691,-34.98
-1233,3183,690,-35.56
-1246,3196,689,-35.8
-1258,3208,688,-35.09
-1282,3232,687,-35.5
-1318,3268,686,-35.13
-1352,3302,685,-34.49
-1364,3314,684,-34.89
-1381,3331,683,-34.34
-1400,3350,682,-34.97
-1427,3377,681,-34.75
-1458,3408,680,-33.48
-1485,3435,679,-31.81
-1503,3453,678,-32
-1523,3473,677,-31.34
-1534,3484,676,-32.23
-1542,3492,675,-30.95
-1552,3502,674,-31.44
-1568,3518,673,-33.97
-1581,3531,672,-33.86
-1602,3552,671,-33.49
-1625,3575,670,-33.26
-1657,3607,669,-32.39
-1672,3622,668,-31.87
-1687,3637,667,-32.11
-1722,3672,666,-32.7
-1754,3704,665,-33.69
-1787,3737,664,-33.79
-1825,3775,663,-33.46
-1866,3816,662,-33.97
-1888,3838,661,-33.97
-1909,3859,660,-34.06
-1946,3896,659,-34.5
-1983,3933,658,-32.06
-2017,3967,657,-34.48
-2042,3992,656,-34.32
-2103,4053,655,-34.69
-2147,4097,654,-34.81
-2195,4145,653,-34.38
-2234,4184,652,-34.52
-2286,4236,651,-34.65
-2328,4278,650,-34.83
-2371,4321,649,-34.64
-2423,4373,648,-34.6
-2470,4420,647,-30.77
-2502,4452,646,-31.72
-2539,4489,645,-33.6
-2582,4532,644,-34.87
-2619,4569,643,-33.51
-2666,4616,642,-34.44
-2682,4632,641,-34.18
-2707,4657,640,-34.15
-2748,4698,639,-34.1
-2789,4739,638,-36.76
-2820,4770,637,-35.7
-2851,4801,636,-36.73
-2878,4828,635,-36.36
-2891,4841,634,-35.77
-2910,4860,633,-35.95
-2933,4883,632,-35.89
-2961,4911,631,-36.79
-2981,4931,630,-35.94
-3003,4953,629,-36.24
-3024,4974,628,-34.44
-3041,4991,627,-36.49
-3059,5009,626,-37.95
-3079,5029,625,-37.45
-3095,5045,624,-36.47
-3117,5067,623,-34.83
-3133,5083,622,-34.88
-3142,5092,621,-32.36
-3152,5102,620,-31.81
-3161,5111,619,-32.07
-3165,5115,618,-32.63
-3169,5119,617,-32.46
-3183,5133,616,-33.39
-3203,5153,615,-32.22
-3215,5165,614,-32.72
-3226,5176,613,-32.03
-3236,5186,612,-32.02
-3250,5200,611,-31.44
-3259,5209,610,-30.83
-3271,5221,609,-31.39
-3277,5227,608,-30.23
-3283,5233,607,-32.57
-3288,5238,606,-34.85
-3302,5252,605,-33.84
-3315,5265,604,-33.25
-3336,5286,603,-34.43
-3362,5312,602,-33.82
-3384,5334,601,-33.64
-3397,5347,600,-33.41
-3409,5359,599,-33.64
-3435,5385,598,-33.31
-3467,5417,597,-31.04
-3497,5447,596,-31.72
-3527,5477,595,-31.97
-3551,5501,594,-31.38
-3570,5520,593,-30.55
-3586,5536,592,-31.58
-3609,5559,591,-31.69
-3629,5579,590,-32.38
-3645,5595,589,-31.88
-3650,5600,588,-30.71
-3669,5619,587,-30.75
-3685,5635,586,-30.78
-3718,5668,585,-31.59
-3748,5698,584,-31.74
-3764,5714,583,-31.31
-3785,5735,582,-30.9
-3802,5752,581,-30.56
-3825,5775,580,-29.78
-3853,5803,579,-29.27
-3879,5829,578,-29.06
-3902,5852,577,-29.07
-3916,5866,576,-29.42
-3928,5878,575,-30.02
-3940,5890,574,-29.89
-3955,5905,573,-30.8
-3969,5919,572,-30.52
-3982,5932,571,-29.9
-3988,5938,570,-30.47
-3995,5945,569,-30.92
-4027,5977,568,-30.24
-4040,5990,567,-29.91
-4055,6005,566,-28.31
-4067,6017,565,-29.83
-4074,6024,564,-30.34
-4082,6032,563,-30.14
-4091,6041,562,-29.81
-4099,6049,561,-29.79
-4109,6059,560,-30.07
-4120,6070,559,-30.27
-4128,6078,558,-30.84
-4140,6090,557,-30.92
-4148,6098,556,-30.25
-4160,6110,555,-30.83
-4174,6124,554,-30.92
-4180,6130,553,-30.18
-4182,6132,552,-30.58
-4194,6144,551,-30.68
-4209,6159,550,-30.91
-4227,6177,549,-31.04
-4241,6191,548,-30.66
-4255,6205,547,-30.94
-4265,6215,546,-31.8
-4276,6226,545,-32
-4288,6238,544,-31.57
-4300,6250,543,-30.92
-4312,6262,542,-30.72
-4326,6276,541,-30.78
-4341,6291,540,-29.87
-4350,6300,539,-30.54
-4360,6310,538,-30.84
-4369,6319,537,-30.28
-4378,6328,536,-31.16
-4388,6338,535,-30.93
-4397,6347,534,-31.13
-4408,6358,533,-29.84
-4430,6380,532,-29.29
-4446,6396,531,-29.77
-4457,6407,530,-29.71
-4476,6426,529,-29.61
-4494,6444,528,-29.74
-4513,6463,527,-29.81
-4535,6485,526,-30.27
-4543,6493,525,-30.84
-4552,6502,524,-29.83
-4569,6519,523,-29.25
-4586,6536,522,-29.81
-4607,6557,521,-29.68
-4624,6574,520,-29.37
-4640,6590,519,-30.16
-4661,6611,518,-30.1
-4681,6631,517,-30.06
-4693,6643,516,-30.01
-4705,6655,515,-30.24
-4717,6667,514,-30.46
-4740,6690,513,-30.72
-4749,6699,512,-30.22
-4758,6708,511,-30.02
-4784,6734,510,-30.39
-4813,6763,509,-30.29
-4835,6785,508,-30.38
-4861,6811,507,-30.54
-4890,6840,506,-30.26
-4916,6866,505,-30.21
-4944,6894,504,-30.42
-4971,6921,503,-30.21
-4999,6949,502,-30.29
-5020,6970,501,-29.84
-5040,6990,500,-30.05
-5057,7007,499,-29.73
-5077,7027,498,-30.66
-5094,7044,497,-30.36
-5114,7064,496,-31.17
-5129,7079,495,-31.12
-5146,7096,494,-31.14
-5162,7112,493,-31
-5171,7121,492,-31.41
-5182,7132,491,-31.07
-5200,7150,490,-30.91
-5221,7171,489,-31.31
-5240,7190,488,-31.12
-5265,7215,487,-31.77
-5284,7234,486,-30.96
-5306,7256,485,-29.53
-5324,7274,484,-29.43
-5345,7295,483,-30.74
-5354,7304,482,-30.6
-5370,7320,481,-29.76
-5389,7339,480,-30.21
-5405,7355,479,-30.55
-5425,7375,478,-30.94
-5450,7400,477,-30.28
-5477,7427,476,-30.25
-5506,7456,475,-30.26
-5517,7467,474,-30.21
-5528,7478,473,-30.53
-5547,7497,472,-30.37
-5569,7519,471,-30.39
-5589,7539,470,-30.93
-5611,7561,469,-29.98
-5631,7581,468,-30.48
-5656,7606,467,-30.77
-5681,7631,466,-30.33
-5703,7653,465,-30.28
-5722,7672,464,-30.85
-5738,7688,463,-30.38
-5757,7707,462,-30.33
-5781,7731,461,-31.11
-5803,7753,460,-30.5
-5827,7777,459,-30.21
-5852,7802,458,-30.78
-5870,7820,457,-30.72
-5887,7837,456,-30.85
-5908,7858,455,-30.8
-5932,7882,454,-31.21
-5938,7888,453,-31.58
-5943,7893,452,-31.97
-5957,7907,451,-32.02
-5980,7930,450,-31.03
-5995,7945,449,-31.41
-6005,7955,448,-31.34
-6017,7967,447,-31.35
-6031,7981,446,-31.24
-6046,7996,445,-31.64
-6063,8013,444,-32.37
-6079,8029,443,-31.41
-6093,8043,442,-31.85
-6111,8061,441,-31.01
-6125,8075,440,-31.34
-6138,8088,439,-31.34
-6150,8100,438,-32.15
-6161,8111,437,-31.97
-6175,8125,436,-32.16
-6188,8138,435,-32.34
-6201,8151,434,-32.85
-6209,8159,433,-32.69
-6217,8167,432,-31.48
-6233,8183,431,-32.89
-6271,8221,430,-31.56
-6284,8234,429,-32.2
-6306,8256,428,-33.02
-6326,8276,427,-31.57
-6346,8296,426,-32.67
-6364,8314,425,-32.2
-6385,8335,424,-32.78
-6412,8362,423,-32.93
-6432,8382,422,-32.71
-6457,8407,421,-31.66
-6491,8441,420,-32.06
-6514,8464,419,-32.18
-6542,8492,418,-32.17
-6572,8522,417,-32.1
-6592,8542,416,-31.92
-6606,8556,415,-31.84
-6626,8576,414,-31.14
-6636,8586,413,-30.97
-6646,8596,412,-31.74
-6665,8615,411,-31.88
-6683,8633,410,-31.87
-6703,8653,409,-31.45
-6720,8670,408,-31.6
-6738,8688,407,-32.22
-6755,8705,406,-32.63
-6779,8729,405,-33.02
-6801,8751,404,-32.24
-6826,8776,403,-32.89
-6843,8793,402,-32.01
-6863,8813,401,-31.86
-6893,8843,400,-32.51
-6924,8874,399,-32.9
-6942,8892,398,-32.99
-6959,8909,397,-33.1
-6993,8943,396,-32.88
-7017,8967,395,-32.76
-7034,8984,394,-32.75
-7050,9000,393,-33.34
-7069,9019,392,-33.3
-7098,9048,391,-33.38
-7116,9066,390,-32.91
-7138,9088,389,-33.16
-7158,9108,388,-32.74
-7187,9137,387,-32.69
-7216,9166,386,-31.77
-7239,9189,385,-32.46
-7265,9215,384,-33.04
-7283,9233,383,-32.65
-7305,9255,382,-32.13
-7325,9275,381,-32.72
-7344,9294,380,-32.52
-7360,9310,379,-32.8
-7376,9326,378,-33
-7395,9345,377,-33.11
-7412,9362,376,-32.76
-7433,9383,375,-33.14
-7456,9406,374,-32.9
-7469,9419,373,-33.47
-7482,9432,372,-33.66
-7505,9455,371,-33.57
-7519,9469,370,-33.37
-7541,9491,369,-32.93
-7567,9517,368,-33.43
-7596,9546,367,-34.29
-7621,9571,366,-34.11
-7648,9598,365,-34.06
-7674,9624,364,-35
-7699,9649,363,-33.36
-7732,9682,362,-33.05
-7763,9713,361,-32.7
-7796,9746,360,-32.71
-7829,9779,359,-32.89
-7857,9807,358,-32.48
-7885,9835,357,-31.61
-7911,9861,356,-31.4
-7932,9882,355,-30.07
-7955,9905,354,-31.04
-7973,9923,353,-30.18
-7989,9939,352,-31.46
-7997,9947,351,-30.32
-8004,9954,350,-30.58
-8020,9970,349,-31.17
-8036,9986,348,-30.39
