depth (cm),age (BP),age (missing),temperature (degC),temperature (missing),temperature (missing),temperatureComposite (degC),OriginalSampleID (missing),ageMin (missing),uncertainty (missing),uncertainty (missing),reliable (missing),uncertainty (missing),uncertainty (missing),reliable (missing),uncertainty (missing),uncertainty (missing),reliable (missing)
300,4390,4025,4.528,-8.296,17.78,0.277,31,4835,8.122,-0.14,Y,-2.427,-16.658,Y,18.613,17.056,Y
310,4535,4202,3.031,-10.741,17.462,-1.143,32,4935,6.581,-0.142,Y,-3.394,-16.659,Y,18.095,17.056,Y
320,4679,4376,5.948,-5.96,18.086,1.631,33,5037,8.122,0.918,Y,-2.423,-14.682,Y,18.613,17.056,Y
330,4824,4543,5.185,-6.517,17.529,1.005,34,5140,6.581,4.188,Y,-3.394,-8.746,Y,17.701,17.406,Y
340,4969,4713,5.242,-6.39,17.536,1.069,35,5245,6.581,4.188,Y,-3.394,-8.746,Y,17.701,17.406,Y
350,5113,4876,4.923,-7.582,17.78,0.647,36,5369,8.122,0.918,Y,-2.427,-14.682,Y,18.613,17.056,Y
360,5258,5021,5.076,-7.165,17.727,0.819,37,5501,8.122,0.918,Y,-2.427,-14.682,Y,18.551,17.056,Y
370,5403,5148,5.031,-6.922,17.634,0.854,38,5638,6.581,4.186,Y,-3.394,-8.747,Y,18.095,17.405,Y
380,5548,5286,3.679,-9.36,17.47,-0.464,39,5797,6.581,-0.14,Y,-3.394,-16.658,Y,17.701,17.301,Y
390,5692,5414,6.466,-3.58,17.405,2.37,40,5976,7.715,4.188,Y,-0.853,-8.746,Y,17.701,16.976,Y
400,5878,5606,6.127,-4.435,17.533,2.015,41,6160,7.715,4.188,Y,-0.939,-8.746,Y,17.701,17.406,Y
410,6104,5863,5.304,-6.467,17.81,1.155,42,6362,7.715,3.889,Y,-0.939,-9.002,Y,19.122,17.405,Y
420,6331,6110,5.121,-6.489,17.571,1.007,43,6569,7.715,3.889,Y,-0.939,-8.747,Y,18.095,17.23,Y
430,6557,6357,5.112,-6.199,17.63,1.121,44,6776,6.618,3.575,Y,-2.187,-8.508,Y,19.036,16.318,Y
440,6783,6595,4.151,-7.054,16.942,0.286,45,6980,6.618,0.24,Y,-2.187,-8.806,Y,18.144,12.274,Y
450,7010,6831,5.188,-6.53,17.848,1.108,46,7197,7.715,3.889,Y,-0.939,-9.002,Y,19.122,17.23,Y
460,7236,7061,1.978,-7.605,14.202,-1.535,47,7434,8.489,-2.233,Y,-2.187,-11.883,Y,19.591,10.764,Y
470,7463,7267,3.98,-9.062,17.704,-0.186,48,7667,6.581,-0.14,Y,-3.394,-16.658,Y,19.036,17.056,Y
480,7689,7466,4.218,-8.623,17.602,0.005,49,7905,8.089,-0.14,Y,-2.427,-16.658,Y,18.498,17.056,Y
490,7915,7667,4.131,-7.415,16.995,0.177,50,8156,6.618,0.24,Y,-2.187,-14.683,Y,19.036,12.274,Y
500,8205,7979,2.607,-9.079,16.069,-1.195,51,8444,6.618,-0.896,Y,-2.187,-17.143,Y,18.097,12.274,Y
510,8557,8361,-0.575,-10.062,12.367,-3.817,52,8777,0.671,-2.233,Y,-7.205,-11.883,Y,14.03,10.764,Y
520,8910,8677,0.911,-9.801,14.112,-2.653,53,9149,5.074,-2.39,Y,-6.765,-14.506,Y,20.087,10.253,Y
530,9263,8971,-0.43,-9.646,12.16,-3.699,54,9547,3.513,-2.39,Y,-6.765,-11.883,Y,15.811,10.253,Y
540,9615,9236,0.87,-8.982,13.419,-2.625,55,9962,7.949,-2.39,Y,-2.798,-11.883,Y,19.122,10.253,Y
545,9792,9371,1.059,-8.964,13.833,-2.418,56,10180,6.618,-2.233,Y,-2.187,-14.683,Y,17.457,10.764,Y
