year (AD) [1-1],age (BP) [1-1],depth (cm) [1-1],temperature (degC) [1-1],CoreSect1H (missing) [1-1],Top (missing) [1-1],Bot (missing) [1-1],sumUK37 (missing) [1-1],year (AD) [2-1],age (BP) [2-1],depth (cm) [2-1],CaCO3MAR (g/cm2/yr) [2-1],core (missing) [2-1],section (missing) [2-1],top (missing) [2-1],bot (missing) [2-1],sedRate (missing) [2-1],Corg (missing) [2-1],CaCO3 (missing) [2-1],WetBD (missing) [2-1],EstDryBD (missing) [2-1],bulkMAR (missing) [2-1],CordMAR (missing) [2-1],year (AD) [3-1],age (BP) [3-1],depth (cm) [3-1],BSi (percent) [3-1],year (AD) [4-1],age (BP) [4-1],depth (cm) [4-1],Thalassionema_nitzschioides (percent) [4-1],core_section (missing) [4-1],range (missing) [4-1],Actinocyclus_curvatulus (percent) [4-1],Azpeitia_nodulifer (percent) [4-1],A_tabularis (percent) [4-1],Coscinodiscus_radiatus (percent) [4-1],Delphineis (percent) [4-1],Hemidiscus_cuneiformis (percent) [4-1],Neodenticula_seminae (percent) [4-1],Nitzschia_interruptestriata (percent) [4-1],N_sicula (percent) [4-1],Pseudoeunotia_doliolus (percent) [4-1],Rhizosolenia (percent) [4-1],Roperia_tesselata (percent) [4-1],Stephanopyxis (percent) [4-1],Thalassiosira_excentrica (percent) [4-1],T_oestrupii (percent) [4-1],T_pacifica (percent) [4-1],T_spp (percent) [4-1],Thalassiothrix_longissima (percent) [4-1],Other_planktic (percent) [4-1],Actinoptychus (percent) [4-1],Paralia_sucata (percent) [4-1],Minidiscus? (percent) [4-1],Benthic (percent) [4-1],Freshwater_planktic (percent) [4-1],Reworked (percent) [4-1],total_non_Chaetoceros_counted (missing) [4-1],Chaetoceros_spores (missing) [4-1],Diatoms_per_traverse (missing) [4-1],year (AD) [5-1],age (BP) [5-1],depth (cm) [5-1],Sequoia (percent) [5-1],core_section (missing) [5-1],interval (cm) [5-1],Abies (percent) [5-1],Alnus (percent) [5-1],Artemisia (percent) [5-1],Chenopodiacaeae (percent) [5-1],Compositae (percent) [5-1],Cyperaceae (percent) [5-1],Gramineae (percent) [5-1],Picea (percent) [5-1],Pinus (percent) [5-1],Pseudtsuga (percent) [5-1],Quercus (percent) [5-1],RRA (missing) [5-1],Tsuga_heterophylla (missing) [5-1],T_mertensianna (missing) [5-1],TCT (missing) [5-1],Total_grains_counted (missing) [5-1],pollen_grains/gram (missing) [5-1]
480,1470,0.56,11.7,1,55,57,2.07,480,1470,0.56,0.402,1H,1,55,57,0.38,1.96,1.2,1.57,0.88,33.5,0.657,-290,2240,0.85,3.95,80,1870,0.71,48.4,1H-1,-2,1.9,NA,0.5,2.8,0.5,0.9,2.3,0.5,NA,17.6,2.3,NA,NA,3.3,2.8,2.3,3.8,2.6,0.5,NA,0.5,1.9,2.8,1.9,NA,213,85,110,480,1470,0.56,17.5,1H-1,-2,NA,23.9,3.8,4.9,8.2,0.7,2.7,0.9,8.2,NA,16.2,3.1,0.9,NA,9.1,451,5
340,1610,0.61,11.6,1,60,62,2.14,340,1610,0.61,0.458,1H,1,60,62,0.38,1.95,1.39,1.56,0.87,32.92,0.642,-390,2340,0.89,3.62,-50,2000,0.76,44.9,1H-1,-2,1.5,NA,NA,4,0.2,NA,0.7,NA,NA,16.1,6,NA,1.5,6,3.5,5,2,2.7,1.5,2.5,NA,NA,2,NA,NA,202,85,95,340,1610,0.61,22.3,1H-1,-2,2.4,15.9,3.4,0.6,4.3,1.5,3.4,3.1,23.2,3.1,5.5,1.2,7,NA,3.1,327,13
80,1870,0.71,11.5,1,70,72,2.11,190,1760,0.67,0.662,1H,1,65,69,0.38,1.95,2.01,1.56,0.87,32.92,0.642,-500,2450,0.93,3.71,-180,2130,0.81,39.7,1H-1,-2,2.8,NA,NA,0.9,1.4,1.4,2.3,NA,0.2,10.5,7.5,NA,0.5,3.7,1.9,13.6,5.6,0.5,1.4,0.9,NA,0.9,2.8,1.4,NA,214,77,382,210,1740,0.66,20.8,1H-1,-2,1.6,19.6,2.6,0.6,2.2,1,4.8,4.2,17,4.8,8.3,1.3,6.1,NA,5.1,312,18
80,1870,0.71,11.4,1,70,72,2.09,80,1870,0.71,0.478,1H,1,70,72,0.38,1.96,1.48,1.55,0.85,32.33,0.634,-600,2550,0.97,3.76,-260,2210,0.84,49.9,1H-1,-2,2.5,NA,NA,3.4,1.5,NA,1.7,0.7,0.5,17.7,3.9,NA,1,4.4,1.5,2.9,2,1.5,0.5,1.5,NA,1,1,1,NA,204,85,190,80,1870,0.71,25.6,1H-1,-2,1.6,15.4,1.6,0.6,2.9,1.9,3.5,5.4,16,4.2,7.1,1,8.3,NA,4.8,312,22
-50,2000,0.76,11.3,1,75,77,2.61,-50,2000,0.76,0.391,1H,1,75,77,0.38,2.06,1.21,1.55,0.85,32.33,0.666,-710,2660,1.01,3.96,-580,2530,0.96,51.2,1H-1,-2,1.7,NA,NA,2.1,0.3,0.7,1.4,0.2,NA,19.8,0.7,NA,0.7,1.7,2.8,4.2,2.8,1.9,1,1.4,0.3,NA,2.8,2.1,NA,286,80,810,-50,2000,0.76,21.3,1H-1,-2,3.2,14.3,2.5,NA,1.6,0.3,2.9,4.4,24.1,6.7,7.3,1.3,8.3,NA,1.9,315,13
-50,2000,0.76,11.2,1,75,77,2.63,-180,2130,0.81,0.438,1H,1,80,82,0.38,2.02,1.33,1.56,0.87,32.92,0.665,-810,2760,1.05,4.11,-710,2660,1.01,59.8,1H-1,-2,2,NA,0.4,2,0.4,0.4,0.2,0.2,0.2,13.8,2.4,NA,NA,1.6,3.2,2.8,4,1,0.4,0.8,NA,1.2,2.4,0.8,NA,250,77,524,-180,2130,0.81,20.8,1H-1,-2,1.9,17.2,2.6,1,4.2,0.6,2.3,4.9,19.5,5.5,3.9,2.3,9.4,NA,3.9,308,11
-180,2130,0.81,10.9,1,80,82,2.34,-310,2260,0.86,0.59,1H,1,85,87,0.38,1.97,1.76,1.57,0.88,33.5,0.66,-920,2870,1.09,3.74,-840,2790,1.06,45.3,1H-1,-2,1.4,NA,0.9,2.8,NA,0.5,1.9,0.5,0.2,14.3,6.1,NA,1.4,3.3,4.7,5.2,4.7,1.6,0.9,NA,NA,1.4,2.3,0.5,NA,213,86,551,-340,2290,0.87,18.5,1H-1,-2,1.3,16.3,1.9,2.6,3.5,0.3,1,2.6,23.6,2.9,10.2,1,8.3,NA,6.1,313,7
-310,2260,0.86,11.5,1,85,87,2.34,-470,2420,0.92,0.761,1H,1,90,94,0.38,1.94,2.27,1.57,0.88,33.5,0.65,-1020,2970,1.13,3.59,-970,2920,1.11,45.4,1H-1,-2,1.9,NA,0.9,2.8,0.7,NA,2.4,0.5,NA,14.4,4.7,0.5,0.5,5.6,2.8,4.7,6.6,1.9,0.9,0.5,NA,0.9,0.5,0.9,NA,213,82,492,-440,2390,0.91,20.3,1H-1,-2,2.3,15.7,1.3,0.7,1.3,0.7,3,3,24.6,4.3,5.9,1,10.5,0.3,5.2,305,13
-580,2530,0.96,11.8,1,95,97,2.28,-580,2530,0.96,0.487,1H,1,95,97,0.38,1.94,1.43,1.58,0.9,34.09,0.661,-1130,3080,1.17,3.83,-1230,3180,1.21,46.6,1H-1,-2,1,0.3,NA,1.3,0.3,NA,1.8,0.5,NA,11.4,3,NA,0.3,3.7,1.3,12.4,7.7,0.8,0.7,0.7,0.3,4.4,1,0.3,NA,299,84,832,-580,2530,0.96,18.3,1H-1,-2,2.5,12.9,1.3,1.9,3.2,1.3,2.8,6,25.6,3.8,6.6,0.9,7.6,NA,5.4,317,13
-710,2660,1.01,11.9,1,100,102,2.1,-710,2660,1.01,0.627,1H,1,100,102,0.38,1.84,1.84,1.58,0.9,34.09,0.627,-1230,3180,1.21,3.71,-1370,3320,1.26,50.8,1H-1,-2,2.2,NA,0.4,2.7,1.8,NA,3.5,0.7,NA,10.2,2.2,NA,1.3,3.5,1.3,5.8,5.3,1.6,1.3,0.4,0.4,1.3,2.7,0.4,NA,226,81,164,-710,2660,1.01,22.5,1H-1,-2,2.1,17.1,0.4,3.8,0.8,0.4,2.1,6.3,21.7,3.3,7.5,1.3,7.5,NA,3.3,240,13
-840,2790,1.06,12.1,1,105,107,2.15,-840,2790,1.06,0.573,1H,1,105,107,0.38,1.96,1.71,1.57,0.88,33.5,0.657,-1340,3290,1.25,3.78,-1500,3450,1.31,58.2,1H-1,-2,2.3,NA,0.5,3.2,0.2,0.5,5.7,0.2,NA,5.5,0.5,0.5,0.9,1.4,4.1,0.5,2.3,3.4,NA,1.8,0.9,NA,4.6,2.3,0.5,218,75,182,-840,2790,1.06,16.2,1H-1,-2,1.6,15.3,2.9,4.5,4.5,0.6,3.2,3.8,20.7,2.9,9.6,2.2,8.9,NA,3.2,314,19
-970,2920,1.11,11.6,1,110,112,1.92,-970,2920,1.11,0.617,1H,1,110,112,0.38,1.93,1.81,1.58,0.9,34.09,0.658,-1440,3390,1.29,3.75,-1630,3580,1.36,52.6,1H-1,-2,3.3,NA,0.9,5.6,1.9,1.4,4.2,NA,NA,7.9,NA,0.5,1.4,2.3,1.4,0.9,1.4,4.7,0.5,2.3,0.5,NA,5.1,1.4,NA,215,77,209,-970,2920,1.11,17.5,1H-1,-2,2.3,17.8,1.3,2,3,0.3,3,5.9,20.5,3.6,7.6,1.3,7.3,NA,6.6,303,16
-1230,3180,1.21,12.2,1,120,122,1.66,-1140,3090,1.18,0.774,1H,1,115,120,0.38,1.92,2.27,1.58,0.9,34.09,0.655,-1550,3500,1.33,3.59,-1890,3840,1.46,66.1,1H-1,-2,1.5,NA,NA,2,1.7,NA,6.3,NA,NA,5.4,0.5,NA,0.5,1.5,2.4,3.9,1.5,3.4,NA,NA,NA,0.5,1.5,1.5,NA,205,81,79,-1100,3050,1.16,14.7,1H-1,-2,4.7,13.8,2.2,0.9,3.1,NA,1.9,6,26,4.4,10,0.6,7.8,0.3,3.4,319,16
-1370,3320,1.26,11.3,1,125,127,1.99,-1230,3180,1.21,0.309,1H,1,120,122,0.38,1.83,0.94,1.56,0.87,32.92,0.602,-1660,3610,1.37,2.97,-2130,4080,1.55,61.2,1H-2,-1,1.4,NA,NA,2.9,1.2,0.5,6.5,1,NA,3.1,1,NA,1.4,1.9,1.4,5.3,2.9,3.1,1,0.5,NA,NA,1.9,1.4,0.5,209,84,315,-1230,3180,1.21,15.2,1H-1,-2,2.6,12.9,3.2,1.9,3.9,1.3,3.6,6.5,28.2,4.2,7.8,1.3,3.9,0.6,2.9,309,11
-1500,3450,1.31,10.5,1,130,132,1.8,-1370,3320,1.26,0.331,1H,1,125,127,0.38,1.85,0.97,1.58,0.9,34.09,0.631,-1760,3710,1.41,2.91,-2160,4110,1.56,57.3,1H-2,-2,2.8,NA,NA,4.3,0.5,NA,5.2,0.5,NA,5.9,0.9,NA,0.5,3.3,2.8,2.8,4.3,3.1,0.9,0.5,0.5,NA,1.9,1.4,0.5,211,83,273,-1370,3320,1.26,17.5,1H-1,-2,2.6,16.2,3.2,3.9,3.6,1,1,5.5,23.4,4.2,7.8,1.6,3.6,NA,4.9,308,14
-1630,3580,1.36,10.8,1,135,137,1.93,-1500,3450,1.31,0.533,1H,1,130,132,0.38,1.64,1.44,1.63,0.97,37.03,0.607,-1840,3790,1.44,3.08,-2290,4240,1.61,63.1,1H-2,-2,1.8,NA,0.4,4.9,0.7,NA,3.1,0.4,0.4,3.4,0.9,NA,0.9,1.8,3.1,3.1,2.7,3.6,NA,0.4,NA,0.9,2.7,1.3,NA,223,86,77,-1520,3470,1.32,27.3,1H-1,-2,0.6,21.5,4,1.5,5.2,0.9,1.2,NA,11.3,0.3,15,2.5,1.2,NA,7.4,326,7
-1630,3580,1.36,10.8,1,135,137,1.85,-1630,3580,1.36,0.485,1H,1,135,137,0.38,1.65,1.29,1.64,0.99,37.61,0.621,-2130,4080,1.55,3.16,-2550,4500,1.71,58.2,1H-2,-1,2.8,NA,NA,3.7,1.9,0.5,0.5,0.5,0.9,3,0.5,NA,NA,4.6,3.7,1.9,4.2,3,1.9,0.5,NA,2.3,4.6,0.9,NA,216,73,59,-1630,3580,1.36,22.7,1H-1,-2,4.2,12.7,3.6,1.3,3.9,NA,1.6,5.2,20.5,4.2,9.7,1,4.9,NA,4.5,308,11
-1630,3580,1.36,10.8,1,135,137,1.95,-1790,3740,1.42,0.598,1H,1,140,142,0.38,1.61,1.59,1.64,0.99,37.61,0.606,-2230,4180,1.59,2.92,-2680,4630,1.76,63.1,1H-2,-1,2.4,NA,0.5,1.4,NA,0.5,2.4,0.2,NA,2.6,1.4,NA,0.5,4.3,2.4,3.3,4.3,3.6,NA,NA,NA,3.8,2.9,0.5,NA,210,80,96,-1760,3710,1.41,16.7,1H-1,-2,3.2,16.1,1.9,1,2.9,1,3.5,5.5,20.6,4.8,8,1.6,7.7,NA,5.5,311,10
-1890,3840,1.46,11,1,145,147,1.67,-1890,3840,1.46,0.451,1H,1,149,151,0.38,1.64,1.18,1.65,1.01,38.2,0.626,-2340,4290,1.63,2.68,-2810,4760,1.81,55.6,1H-2,-1,3.7,NA,NA,5.5,0.7,NA,3.2,0.7,0.2,2.5,1.4,NA,NA,4.1,3.2,5.5,3.2,3.9,0.9,0.5,0.5,0.9,3.2,0.5,NA,218,79,156,-2000,3950,1.5,22.9,1H-1,-2,1.8,15.9,2.4,1.2,2.1,0.3,4.6,8.3,19.6,2.1,8.9,0.6,5.2,0.3,3.7,327,17
-2020,3970,1.51,10.7,2,0,1,2.17,-2010,3960,1.51,0.671,1H,2,0,1,0.38,1.46,1.73,1.66,1.02,38.79,0.566,-2440,4390,1.67,2.38,-2940,4890,1.86,58.5,1H-2,-1,3.4,NA,0.5,3.9,0.5,NA,1.5,NA,0.2,2.9,NA,NA,NA,3.4,2,2,4.9,5.4,1,NA,0.5,1,5.9,2.5,NA,204,84,310,-2160,4110,1.56,20,1H-2,-2,0.6,17.5,5.6,1.1,4.4,0.6,3.3,3.1,18.1,2.2,10.6,1.1,5.6,0.3,6.1,360,5
-2160,4110,1.56,11,2,5,7,1.55,-2140,4090,1.56,0.532,1H,2,5,6,0.38,1.64,1.35,1.67,1.04,39.37,0.646,-2550,4500,1.71,2.53,-3230,5180,1.97,60.9,1H-2,-1,5,NA,0.5,3,1.7,NA,1,1,0.5,6,0.5,0.5,NA,1,2.5,1.5,2.5,6,NA,0.5,NA,0.5,4,1,NA,201,80,221,-2290,4240,1.61,19.3,1H-2,-2,1.5,15,3.4,0.9,4.6,0.3,3.1,5.8,23.2,2.8,8.3,1.5,4.3,NA,6.1,327,14
-2290,4240,1.61,10.6,2,10,12,1.89,-2260,4210,1.6,0.421,1H,2,10,11,0.38,1.61,1.07,1.67,1.04,39.37,0.634,-2660,4610,1.75,2.99,-3340,5290,2.01,61.9,1H-2,-1,3.5,NA,1,3,0.5,NA,2,0.7,0.2,5,1,1,1,3,3,3,2.5,2.5,0.5,0.5,NA,1.5,1,1.5,0.5,202,80,53,-2550,4500,1.71,18.3,1H-2,-2,2.2,13.6,4.4,1.9,2.5,0.9,0.9,4.4,24.3,3.5,11.7,0.6,4.7,NA,6,317,19
-2550,4500,1.71,11.2,2,20,21,1.28,-2440,4390,1.67,0.519,1H,2,15,19,0.38,1.58,1.3,1.68,1.05,39.96,0.631,-2760,4710,1.79,2.62,-3470,5420,2.06,56.8,1H-2,-1,2.6,NA,NA,3.1,1.1,NA,1.3,0.4,NA,2.9,0.4,NA,0.4,4,2.6,8.4,4.8,4.8,0.4,0.9,0.4,0.4,1.8,2.2,NA,227,80,104,-3080,5030,1.91,14.3,1H-2,-2,4.1,12.1,1.6,1.3,1.9,NA,1.3,7,29.9,2.5,8.6,1.6,8.9,NA,4.8,314,7
-2680,4630,1.76,10.4,2,25,26,1.74,-2540,4490,1.71,0.378,1H,2,20,21,0.38,1.58,0.96,1.67,1.04,39.37,0.622,-2870,4820,1.83,2.61,-3570,5520,2.11,62.6,1H-2,-1,1.9,NA,NA,4.7,0.9,NA,2.4,NA,0.5,3.8,0.5,NA,0.9,3.8,0.9,1.9,2.8,3.3,1.9,0.5,NA,2.8,1.9,1.9,NA,212,83,150,-3340,5290,2.01,8.5,1H-2,-2,4.1,11,4.1,1.3,5.3,0.9,1.3,5.7,33,2.8,9.7,3.1,4.7,NA,4.4,318,10
-2810,4760,1.81,10.6,2,30,31,1.54,-2670,4620,1.76,0.437,1H,2,26,26,0.38,1.56,1.11,1.67,1.04,39.37,0.614,-2970,4920,1.87,2.79,-3780,5730,2.21,60.6,1H-2,-1,2.3,NA,NA,3.3,0.9,NA,0.5,1.9,NA,5.1,0.5,NA,NA,1.4,1.9,4.7,6.5,4,0.9,0.5,0.5,1.9,1.4,1.4,NA,215,70,39,-3470,5420,2.06,9.1,1H-2,-2,1.5,10.6,5.4,1.8,5.1,NA,2.1,3.3,33.8,3.6,11.5,1.5,6.9,NA,3.6,331,10
-2940,4890,1.86,10.4,2,35,36,1.55,-2800,4750,1.81,0.431,1H,2,30,31,0.38,1.55,1.11,1.66,1.02,38.79,0.601,-3080,5030,1.91,2.66,-3880,5830,2.26,59.4,1H-2,-1,1.9,NA,0.9,4.7,0.7,0.5,1.4,NA,0.5,5.4,0.9,NA,0.5,3.8,0.9,8,4.2,2.4,NA,NA,0.5,1.9,0.5,0.9,NA,212,76,92,-3570,5520,2.11,5.2,1H-2,-2,4.2,14.9,1.7,1,5.2,1,3.5,5.2,30.4,2.8,12.5,1,6.9,NA,4.5,289,15
-3230,5180,1.97,10.5,2,46,47,1.49,-2930,4880,1.86,0.489,1H,2,35,36,0.38,1.55,1.26,1.66,1.02,38.79,0.601,-3180,5130,1.95,2.83,-3990,5940,2.31,61.5,1H-2,-1,3.4,NA,NA,3.4,0.5,0.5,0.5,0.7,0.2,5.1,NA,0.5,1,2.9,3.9,3.4,5.9,2.5,0.5,1,NA,1,0.5,0.5,0.5,204,83,100,-3780,5730,2.21,10.4,1H-2,-2,1.5,13.5,1.8,0.9,2.8,0.9,4.6,0.3,33,4,12.8,1.2,5.8,0.9,5.5,327,14
-3340,5290,2.01,10.5,2,50,51,1.53,-3120,5070,1.93,1.067,1H,2,40,45,0.38,1.53,2.71,1.67,1.04,39.37,0.602,-3290,5240,1.99,2.4,-4100,6050,2.36,64,1H-2,-1,0.5,NA,NA,1,NA,NA,2.7,1,0.5,9.4,NA,NA,0.5,2,3.5,4,5,2,NA,NA,NA,0.5,2,1.5,NA,202,79,38,-4120,6070,2.37,13.7,1H-2,-2,1.2,11.2,4,3.4,5.3,0.6,1.6,1.6,34,1.2,9.3,3.4,4,0.3,5,321,5
-3470,5420,2.06,10.6,2,55,56,1.61,-3220,5170,1.97,0.711,1H,2,46,47,0.38,1.47,1.78,1.68,1.05,39.96,0.587,-3390,5340,2.03,2.7,-4310,6260,2.46,62.5,1H-2,-1,1,NA,NA,1.5,0.7,NA,3.6,1.5,NA,13.3,0.5,NA,0.5,1,2.4,1.9,5.8,2.4,NA,NA,1,NA,0.5,NA,NA,207,72,156,-4200,6150,2.41,8.4,1H-2,-2,2.9,12.9,3.9,0.3,2.9,1,3.2,7.4,26.9,3.2,12.9,2.6,7.1,0.3,3.9,309,8
-3570,5520,2.11,10.6,2,60,61,1.55,-3330,5280,2.01,0.63,1H,2,50,52,0.4,1.5,1.47,1.69,1.07,42.84,0.643,-3480,5430,2.07,3.12,-4420,6370,2.51,58,1H-2,-1,1.9,NA,0.5,5.3,0.7,NA,2.9,0.7,NA,7.2,1.9,NA,1,1.9,1.9,4.3,6.7,1,0.5,1,NA,NA,1.4,1.4,NA,210,74,79,-4420,6370,2.51,7.2,1H-2,-2,4.2,18.9,3,0.7,5.2,1,3.2,5.2,24.8,2,14.6,2.5,3,NA,4.5,403,8
