year (AD),age (BP),d13C (permil),d18O (permil),temperature (permil)
-9763,11713,-4.01,-7.09,-3.53
-9794,11744,-4.05,-7.33,-3.57
-9803,11753,-3.14,-7.4,-2.66
-9815,11765,-4.01,-7.3,-3.52
-9837,11787,-4.01,-7.04,-3.53
-9853,11803,-3.39,-6.86,-2.9
-9858,11808,-4.15,-7.22,-3.67
-9880,11830,-4.01,-6.73,-3.52
-9891,11841,-3.41,-7.9,-2.91
-9901,11851,-3.88,-6.9,-3.39
-9922,11872,-3.76,-6.67,-3.27
-9932,11882,-3.32,-8.26,-2.82
-9944,11894,-3.93,-6.61,-3.44
-9950,11900,-3.4,-7.98,-2.9
-9965,11915,-4.06,-6.93,-3.57
-9987,11937,-3.88,-6.81,-3.39
-10008,11958,-4.11,-6.95,-3.62
-10029,11979,-4.08,-6.9,-3.59
-10051,12001,-3.85,-6.78,-3.35
-10052,12002,-3.32,-7.42,-2.8
-10061,12011,-3.45,-7.45,-2.94
-10072,12022,-3.93,-6.81,-3.42
-10093,12043,-3.7,-6.19,-3.19
-10115,12065,-3.77,-6.57,-3.26
-10136,12086,-3.9,-7,-3.39
-10157,12107,-3.66,-7.87,-3.13
-10158,12108,-4,-7.3,-3.48
-10179,12129,-4.11,-7.53,-3.59
-10200,12150,-4.12,-7.5,-3.59
-10222,12172,-3.93,-7.24,-3.41
-10238,12188,-3.67,-6.43,-3.13
-10243,12193,-4.12,-7.44,-3.59
-10265,12215,-3.91,-7.09,-3.38
-10267,12217,-3.51,-7.42,-2.96
-10286,12236,-3.8,-7.05,-3.27
-10311,12261,-3.67,-7.25,-3.12
-10319,12269,-3.95,-7,-3.41
-10322,12272,-3.38,-7.81,-2.84
-10352,12302,-3.94,-6.89,-3.4
-10357,12307,-3.65,-8.06,-3.1
-10383,12333,-3.38,-6.44,-2.82
-10385,12335,-4.09,-7.23,-3.55
-10417,12367,-3.7,-6.92,-3.15
-10450,12400,-3.98,-7.32,-3.42
-10483,12433,-4.15,-7.53,-3.59
-10503,12453,-3.1,-6.06,-2.52
-10516,12466,-4.27,-7.88,-3.71
-10538,12488,-3.31,-7.63,-2.74
-10549,12499,-4.11,-7.79,-3.54
-10582,12532,-3.93,-7.45,-3.35
-10614,12564,-3.99,-7.29,-3.41
-10629,12579,-3.57,-7.57,-2.97
-10635,12585,-3.44,-6.47,-2.85
-10647,12597,-3.89,-6.96,-3.3
-10680,12630,-3.88,-7.12,-3.29
-10713,12663,-4.02,-7.41,-3.43
-10761,12711,-3.28,-6.71,-2.67
-10877,12827,-4.03,-8.02,-3.41
-10900,12850,-3.62,-7.25,-2.98
-10912,12862,-3.69,-7.27,-3.06
-11018,12968,-3.27,-7.45,-2.63
-11041,12991,-3.84,-7.14,-3.2
-11045,12995,-3.38,-7.42,-2.72
-11067,13017,-3.68,-7.01,-3.03
-11197,13147,-3.72,-8.77,-3.04
-11205,13155,-3.75,-6.23,-3.09
-11271,13221,-3.73,-6.57,-3.06
-11313,13263,-3.56,-7.16,-2.87
-11346,13296,-3.7,-7.08,-3.02
-11357,13307,-3.58,-9.86,-2.88
-11472,13422,-4.05,-7.32,-3.36
-11479,13429,-2.86,-5.44,-2.15
-11497,13447,-3.11,-6.66,-2.4
-11524,13474,-3.63,-7.38,-2.91
-11526,13476,-3.31,-6.65,-2.59
-11529,13479,-3.53,-5.93,-2.81
-11556,13506,-3.35,-5.96,-2.63
-11585,13535,-3.29,-6.66,-2.57
-11598,13548,-3.7,-6.26,-2.99
-11614,13564,-3.31,-6.98,-2.58
-11644,13594,-3.23,-6.71,-2.5
-11673,13623,-3.06,-6.6,-2.33
-11700,13650,-3.52,-7.41,-2.78
-11702,13652,-3.59,-7.45,-2.85
-11724,13674,-3.73,-6.97,-3
-11732,13682,-3.86,-8.13,-3.12
-11761,13711,-3.86,-8.36,-3.11
-11790,13740,-3.07,-6.82,-2.32
-11820,13770,-3.29,-7.16,-2.53
-11849,13799,-3.44,-7.56,-2.68
-11849,13799,-3.8,-6.74,-3.06
-11865,13815,-3.65,-7.2,-2.88
-11878,13828,-3.73,-8.04,-2.97
-11884,13834,-3.65,-7.19,-2.88
-11908,13858,-3.56,-7.17,-2.79
-11937,13887,-3.42,-7.43,-2.65
-11966,13916,-3.65,-7.96,-2.87
-11975,13925,-4.17,-7.27,-3.41
-11977,13927,-3.51,-7.86,-2.74
-11996,13946,-3.45,-7.3,-2.67
-12025,13975,-3.58,-7.7,-2.79
-12055,14005,-3.6,-8.04,-2.81
-12077,14027,-2.87,-4.95,-2.07
-12078,14028,-3.2,-6.75,-2.41
-12084,14034,-3.1,-6.43,-2.31
-12101,14051,-3.63,-5.65,-2.85
-12117,14067,-3.08,-6.48,-2.29
-12149,14099,-3.37,-6.61,-2.57
-12181,14131,-3.57,-6.9,-2.76
-12213,14163,-3.45,-6.5,-2.64
-12245,14195,-3.17,-7.06,-2.35
-12277,14227,-3.58,-6.87,-2.76
-12279,14229,-3.4,-6.84,-2.57
-12309,14259,-3.18,-5.91,-2.36
-12342,14292,-3.11,-6.32,-2.28
-12374,14324,-3.52,-6.87,-2.69
-12406,14356,-3.58,-6.92,-2.75
-12438,14388,-3.34,-6.48,-2.5
-12470,14420,-3.36,-6.07,-2.51
-12491,14441,-3.21,-6.06,-2.36
-12502,14452,-3.64,-6.82,-2.79
-12535,14485,-3.29,-6.41,-2.43
-12567,14517,-3.48,-7.22,-2.62
-12599,14549,-3.9,-7.96,-3.04
-12631,14581,-3.96,-7.77,-3.1
-12663,14613,-3.22,-6.42,-2.35
-12695,14645,-3.12,-5.96,-2.24
-12713,14663,-3.52,-6.98,-2.64
-12727,14677,-3.16,-5.84,-2.28
-12760,14710,-3.09,-6.19,-2.2
-12792,14742,-3.48,-7,-2.59
-12811,14761,-3.54,-6.79,-2.65
-12819,14769,-3.58,-6.65,-2.69
-12841,14791,-3.77,-7.79,-2.87
-12862,14812,-3.61,-6.79,-2.71
-12883,14833,-3.77,-7.06,-2.86
-12904,14854,-3.55,-6.43,-2.64
-12925,14875,-3.27,-5.42,-2.36
-12936,14886,-3.33,-6.72,-2.43
-12945,14895,-3.5,-6.68,-2.58
-12946,14896,-3.38,-6.07,-2.47
-12967,14917,-3.82,-5.63,-2.9
-12989,14939,-3.42,-6.06,-2.51
-13010,14960,-3.36,-5.86,-2.44
-13031,14981,-3.34,-6.35,-2.42
-13044,14994,-3.49,-5.47,-2.58
-13073,15023,-3.86,-6.83,-2.93
-13094,15044,-3.33,-6.26,-2.39
-13116,15066,-3.49,-6.46,-2.55
-13137,15087,-3.97,-6.93,-3.03
-13158,15108,-3.93,-6.84,-2.99
-13188,15138,-3.66,-7.52,-2.71
-13200,15150,-3.75,-6.75,-2.8
-13221,15171,-3.48,-6.71,-2.53
-13242,15192,-3.62,-6.38,-2.67
-13264,15214,-3.58,-6.72,-2.63
-13285,15235,-4.06,-7.36,-3.1
-13306,15256,-3.84,-6.72,-2.88
-13327,15277,-3.85,-7.11,-2.88
-13359,15309,-3.78,-5.77,-2.81
-13385,15335,-3.93,-6.92,-2.96
-13440,15390,-3.97,-6.16,-2.99
-13442,15392,-3.51,-6.88,-2.52
-13442,15392,-4.33,-7.82,-3.35
-13500,15450,-3.43,-6.43,-2.44
-13509,15459,-3.77,-6.29,-2.78
-13526,15476,-3.73,-6.32,-2.73
-13557,15507,-3.52,-6.5,-2.53
-13612,15562,-3.97,-6.22,-2.96
-13615,15565,-3.66,-6.73,-2.66
-13673,15623,-3.71,-6.18,-2.7
-13694,15644,-4.18,-7.37,-3.16
-13707,15657,-3.86,-7.08,-2.84
-13730,15680,-3.81,-6.7,-2.79
-13784,15734,-4.02,-6.42,-2.99
-13788,15738,-3.89,-6.3,-2.86
-13845,15795,-3.68,-6.12,-2.65
-13870,15820,-3.98,-7.51,-2.94
-13903,15853,-3.68,-6.22,-2.64
-13956,15906,-4.27,-7.66,-3.22
-13960,15910,-3.5,-5.7,-2.45
-13984,15934,-3.66,-8.04,-2.6
-13988,15938,-3.82,-4.91,-2.79
-14015,15965,-3.56,-6.9,-2.51
-14018,15968,-3.72,-6.24,-2.67
-14050,16000,-4.03,-7.02,-2.98
-14076,16026,-3.69,-5.97,-2.63
-14123,16073,-4.08,-6.9,-3.01
-14133,16083,-4.2,-7.27,-3.14
-14149,16099,-4.11,-7.06,-3.05
-14191,16141,-3.79,-5.98,-2.72
-14248,16198,-4.14,-7.32,-3.07
-14273,16223,-3.48,-6.39,-2.41
-14306,16256,-3.66,-6.47,-2.59
-14329,16279,-3.6,-6.32,-2.53
-14357,16307,-3.51,-6.1,-2.43
-14403,16353,-3.93,-6.68,-2.86
-14429,16379,-4.23,-7.42,-3.15
-14449,16399,-3.83,-6.53,-2.75
-14495,16445,-3.62,-6.3,-2.54
-14541,16491,-3.65,-6.34,-2.57
-14547,16497,-4,-6.19,-2.91
-14575,16525,-3.8,-8.17,-2.71
-14587,16537,-3.58,-6.16,-2.49
-14634,16584,-4.32,-7.49,-3.23
-14660,16610,-3.99,-7.14,-2.9
-14680,16630,-4.02,-6.71,-2.93
-14726,16676,-4.43,-7.02,-3.34
-14772,16722,-3.93,-6.12,-2.84
-14773,16723,-3.95,-6.55,-2.85
-14818,16768,-3.57,-5.8,-2.47
-14864,16814,-3.67,-5.53,-2.57
-14886,16836,-4.15,-7.13,-3.05
-14889,16839,-3.77,-7.4,-2.66
-14910,16860,-3.43,-5.51,-2.33
-14931,16881,-4.01,-6.27,-2.93
-14957,16907,-3.46,-5.83,-2.35
-14998,16948,-4.16,-7.17,-3.06
-15003,16953,-4.06,-6.88,-2.95
-15049,16999,-3.77,-6.38,-2.66
-15095,17045,-4.03,-6.82,-2.92
-15111,17061,-4.03,-5.9,-2.92
-15118,17068,-4.05,-6.77,-2.94
-15141,17091,-4.07,-6.71,-2.96
-15187,17137,-4.17,-7.03,-3.05
-15224,17174,-4,-7.18,-2.88
-15233,17183,-4.19,-7.05,-3.07
-15279,17229,-3.78,-5.98,-2.66
-15284,17234,-3.79,-6.72,-2.68
-15326,17276,-3.59,-5.67,-2.46
-15326,17276,-4.1,-5.55,-2.97
-15337,17287,-4.16,-5.09,-3.04
-15372,17322,-3.57,-5.75,-2.44
-15416,17366,-4.16,-5.89,-3.03
-15418,17368,-3.64,-5.29,-2.51
-15455,17405,-4.16,-6.16,-3.03
-15464,17414,-3.83,-6.23,-2.7
-15510,17460,-3.6,-5.52,-2.46
-15556,17506,-3.59,-5.64,-2.46
-15602,17552,-3.51,-5.51,-2.37
-15620,17570,-3.84,-5.66,-2.7
-15642,17592,-3.94,-5.05,-2.8
-15649,17599,-3.61,-6.13,-2.47
-15663,17613,-3.9,-5.57,-2.76
-15695,17645,-4.14,-6.78,-3
-15695,17645,-3.79,-6.21,-2.65
-15727,17677,-3.98,-5.41,-2.84
-15741,17691,-3.85,-6.38,-2.7
-15759,17709,-3.97,-5.28,-2.82
-15776,17726,-3.82,-5.02,-2.67
-15787,17737,-3.63,-5.19,-2.48
-15803,17753,-4.06,-5.25,-2.91
-15858,17808,-3.71,-4.79,-2.56
-15874,17824,-3.89,-1.52,-2.77
-15915,17865,-3.78,-5.13,-2.63
-15933,17883,-4.26,-6.99,-3.1
-15985,17935,-3.87,-5.55,-2.71
-16033,17983,-4.4,-6.55,-3.24
-16076,18026,-3.87,-4.77,-2.72
-16090,18040,-4.23,-7.01,-3.07
-16094,18044,-4.09,-3.93,-2.93
-16158,18108,-3.91,-5.43,-2.75
-16223,18173,-3.95,-5.59,-2.78
-16247,18197,-4.11,-5.6,-2.95
-16291,18241,-4.23,-5.5,-3.07
-16360,18310,-4.23,-6,-3.06
-16393,18343,-4.07,-5.83,-2.91
-16395,18345,-4.07,-6.1,-2.9
-16433,18383,-4.14,-6.01,-2.97
-16507,18457,-4.08,-5.71,-2.91
-16552,18502,-4.08,-5.82,-2.91
-16560,18510,-4.17,-6.29,-3
-16585,18535,-4,-5.96,-2.83
-16620,18570,-3.97,-5.92,-2.8
-16665,18615,-3.97,-5.96,-2.8
-16710,18660,-4.36,-5.95,-3.19
-16717,18667,-4.3,-6.46,-3.13
-16749,18699,-4.01,-5.76,-2.83
-16786,18736,-4.09,-2.96,-2.94
-16823,18773,-3.99,-5.76,-2.82
-16836,18786,-3.89,-6.02,-2.71
-16873,18823,-4.04,-6.78,-2.86
-16926,18876,-3.88,-5.3,-2.7
-16936,18886,-4.09,-5.75,-2.91
-17019,18969,-4.26,-5.99,-3.08
-17030,18980,-4.18,-5.93,-3
-17071,19021,-4.06,-5.96,-2.88
-17085,19035,-4.22,-5.97,-3.04
-17116,19066,-4.09,-5.33,-2.91
-17117,19067,-4.12,-5.71,-2.94
-17162,19112,-4.02,-5.35,-2.84
-17212,19162,-4.31,-6.04,-3.12
-17218,19168,-4.1,-6.2,-2.92
-17274,19224,-3.85,-5.83,-2.67
-17323,19273,-4.03,-6.14,-2.85
-17365,19315,-3.86,-5.92,-2.68
-17387,19337,-4.31,-5.97,-3.13
-17406,19356,-3.93,-4.63,-2.74
-17500,19450,-4.32,-6.47,-3.13
-17545,19495,-3.71,-5.26,-2.51
-17568,19518,-4.02,-4.59,-2.83
-17582,19532,-4.23,-6.32,-3.04
-17601,19551,-4.01,-4.69,-2.81
-17640,19590,-4.15,-6.27,-2.96
-17698,19648,-4.09,-2.54,-2.92
-17698,19648,-4.05,-6.06,-2.85
-17698,19648,-4.16,-6.26,-2.97
-17749,19699,-4.12,-5.8,-2.93
-17766,19716,-4.11,-5.69,-2.92
-17785,19735,-4.28,-6.79,-3.08
-17796,19746,-4.18,-5.44,-2.98
-17899,19849,-4.14,-6.36,-2.94
-17966,19916,-4.18,-6.15,-2.98
-17990,19940,-3.87,-3.53,-2.67
-18044,19994,-4.22,-9.48,-3.02
-18099,20049,-4.14,-5.77,-2.95
-18185,20135,-4,-4.71,-2.8
-18265,20215,-4.08,-6.23,-2.9
-18299,20249,-4.22,-6.51,-3.04
-18323,20273,-4.31,-6.8,-3.12
-18370,20320,-3.9,-4.03,-2.71
-18380,20330,-3.91,-5.31,-2.72
-18432,20382,-3.99,-6.3,-2.82
-18500,20450,-4.06,-6.79,-2.87
-18565,20515,-4.02,-6.7,-2.86
-18574,20524,-4.17,-6.71,-2.99
-18609,20559,-4.7,-4.56,-3.53
-18623,20573,-4.14,-9.84,-2.96
-18632,20582,-4.22,-6.59,-3.07
-18665,20615,-4.22,-6.58,-3.07
-18769,20719,-4.06,-5.38,-2.89
-18775,20725,-4.07,-6.36,-2.93
-18781,20731,-4.07,-9.15,-2.9
-18945,20895,-4,-8.46,-2.84
-18964,20914,-3.98,-5.86,-2.81
-19051,21001,-4.13,-6.38,-3.01
-19051,21001,-4.15,-6.44,-3.03
-19168,21118,-4.02,-6.03,-2.86
-19271,21221,-3.84,-6.64,-2.74
-19291,21241,-3.87,-7.25,-2.71
-19353,21303,-3.96,-4.87,-2.8
-19492,21442,-4.22,-6.78,-3.13
-19521,21471,-4.31,-3.41,-3.14
-19547,21497,-3.86,-5.83,-2.78
-19548,21498,-4.1,-5.36,-2.96
-19662,21612,-3.89,-7.44,-2.75
-19713,21663,-3.7,-5.53,-2.63
-19823,21773,-3.78,-5.76,-2.72
-19933,21883,-3.81,-5.95,-2.76
-19988,21938,-3.92,-5.74,-2.86
-20059,22009,-3.77,-5.76,-2.64
-20098,22048,-3.66,-5.54,-2.62
-20209,22159,-3.6,-5.98,-2.57
-20319,22269,-3.74,-6.66,-2.71
-20429,22379,-3.92,-6.92,-2.91
-20433,22383,-4.31,-3.55,-3.14
-20483,22433,-3.94,-5.31,-2.83
-20484,22434,-3.57,-5.31,-2.56
-20539,22489,-3.94,-6.87,-2.93
-20705,22655,-4.15,-7.54,-3.15
-20760,22710,-4.07,-7.5,-3.08
-20935,22885,-3.92,-3.99,-2.82
-20980,22930,-4.43,-3.68,-3.26
-21036,22986,-3.99,-7.45,-3.01
-21345,23295,-4.51,-3.79,-3.34
-21588,23538,-3.84,-6.96,-2.91
-22140,24090,-3.72,-6.17,-2.84
-22416,24366,-3.74,-6.32,-2.87
-23243,25193,-3.26,-5.69,-2.45
-23795,25745,-3.17,-5.98,-2.4
-24071,26021,-3.53,-6.34,-2.79
-24546,26496,-3.23,-6.16,-2.52
-25971,27921,-3.37,-6.7,-2.69
-26921,28871,-3.65,-7.43,-2.97
-27396,29346,-3.47,-6.51,-2.74
-27871,29821,-3.53,-6.27,-2.75
