year (AD),age (BP),depth (m),temperature (degC),C370x3A4 (percent),C26OH0x2F0x28C26OH0x2BC290x29 (missing)
-17630,19580,4.08,13.82,1.38,72.16
-17700,19650,4.11,13.6,1.02,68.22
-17760,19710,4.14,14.13,1.56,68.49
-17900,19850,4.2,13.99,1.6,70.07
-17970,19920,4.23,13.55,1.26,68.95
-18040,19990,4.26,13.67,1.13,69.28
-18100,20050,4.29,13.67,1.08,69.97
-18170,20120,4.32,14.28,1.18,67.35
-18240,20190,4.35,13.88,1.71,75.54
-18300,20250,4.38,13.99,1.04,67.7
-18370,20320,4.41,14.33,1.07,67.41
-18440,20390,4.44,14,1.21,68.13
-18500,20450,4.47,14.06,1.2,67.69
-18570,20520,4.5,14.11,1.11,66.84
-18640,20590,4.53,14.11,1.15,69.34
-18700,20650,4.56,13.94,1.22,72.85
-18840,20790,4.62,13.76,1.36,70.33
-18900,20850,4.65,14.33,1.11,66.58
-18970,20920,4.68,13.96,1.29,64.68
-19040,20990,4.71,13.74,1.62,71.19
-19100,21050,4.74,14.07,1.7,72.06
-19170,21120,4.77,13.7,1.25,68.69
-19230,21180,4.8,13.83,1.17,66.84
-19300,21250,4.83,14.02,1.52,73.15
-19370,21320,4.86,13.87,1.15,68.35
-19430,21380,4.89,13.75,1.15,67.65
-19500,21450,4.92,14.04,1.02,66.19
-19570,21520,4.95,14.01,1.2,68.71
-19630,21580,4.98,13.91,1.05,71.91
-19700,21650,5.01,13.34,1.09,70.11
-19770,21720,5.04,14.08,1.22,71.7
-19830,21780,5.07,13.26,1.18,69.85
-19900,21850,5.1,13.36,1.14,66.51
-19970,21920,5.13,13.85,1.26,73.21
-20030,21980,5.16,13.5,1.38,69.81
-20100,22050,5.19,13.58,1.2,67.62
-20170,22120,5.22,12.77,1.24,68.38
-20230,22180,5.25,13.07,1.22,70.58
-20300,22250,5.28,13.14,1.37,70.92
-20370,22320,5.31,13.08,1.48,76.79
-20430,22380,5.34,13.72,1.06,71.01
-20500,22450,5.37,13.59,1.24,73.48
-20570,22520,5.4,13.3,1.11,72.04
-20630,22580,5.43,13.29,1.56,69.66
-20700,22650,5.46,13.31,1.63,71.38
-20770,22720,5.49,13.58,1.2,73.39
-20830,22780,5.52,13.27,1.33,71.96
-20900,22850,5.55,13.52,1.58,73.99
-20970,22920,5.58,13.63,1.28,71.92
-21030,22980,5.61,12.93,2.1,75.08
-21100,23050,5.64,13.8,1.21,68.74
-21170,23120,5.67,13.52,1.19,70.72
-21230,23180,5.7,12.68,1.59,74.95
-21300,23250,5.73,13.13,1.44,73.94
-21370,23320,5.76,12.53,1.75,71.58
-21430,23380,5.79,12.97,1.42,73.4
-21500,23450,5.82,13.48,1.24,73.48
-21570,23520,5.85,12.03,2.53,73.11
-21630,23580,5.88,12.64,1.83,71.95
-21700,23650,5.91,12.75,2.56,70.03
-21850,23800,5.94,12.19,2.69,71.02
-22000,23950,5.97,11.96,3.17,72.9
-22150,24100,6,13.46,1.23,71.4
-22290,24240,6.03,13.7,1.56,75.31
-22440,24390,6.06,13.57,1.24,72.69
-22590,24540,6.09,13.81,1.03,69.95
-22740,24690,6.12,13.3,0.81,71.28
-22890,24840,6.15,13.32,0.76,70.17
-23040,24990,6.18,12.83,1.05,70.16
-23180,25130,6.21,12.8,1.13,67
-23330,25280,6.24,12.47,1.03,69.51
-23480,25430,6.27,12.46,1.92,73.34
-23630,25580,6.3,13.27,0.7,71.71
-23780,25730,6.33,12.83,0.97,71.5
-23930,25880,6.36,12.63,0.94,70.67
-24070,26020,6.39,11.82,1.72,71.08
-24220,26170,6.42,12.16,1.14,70.05
-24370,26320,6.45,12.79,0.82,70.45
-24520,26470,6.48,12.96,0.99,69.63
-24670,26620,6.51,12.23,1.22,70.24
-24820,26770,6.54,12.99,1,70.78
-24960,26910,6.57,13.42,0.71,69.23
-25110,27060,6.6,13.44,0.92,68.13
-25260,27210,6.63,13.61,0.44,67.17
-25410,27360,6.66,13.88,0.92,69.52
-25560,27510,6.69,13.4,0.88,70.23
-25710,27660,6.72,13.31,0.6,68.4
-25850,27800,6.75,13.06,1,70.7
-26000,27950,6.78,13.78,1.14,75.04
-26150,28100,6.81,13.74,0.92,71.78
-26300,28250,6.84,13.42,1.03,72.67
-26450,28400,6.87,13.78,0.73,69.12
-26600,28550,6.9,13.46,0.87,71.55
-26740,28690,6.93,13.74,0.89,67.86
-26890,28840,6.96,13.34,0.82,71.43
-27040,28990,6.99,12.62,1.41,66.7
-27190,29140,7.02,13.22,1.09,71.67
-27270,29220,7.05,12.25,1.17,69.51
-27360,29310,7.08,11.88,1.83,70.7
-27440,29390,7.11,11.66,1.75,70.72
-27530,29480,7.14,12.96,1.21,71.78
-27610,29560,7.17,11.99,2.88,67.52
-27690,29640,7.2,12.22,2.29,69.81
-27780,29730,7.23,13.24,1.6,69.93
-27860,29810,7.26,12.95,2.45,68.1
-27940,29890,7.29,13.32,1.3,70.71
-28030,29980,7.32,13.56,1.1,72.18
-28110,30060,7.35,13.28,1.45,72.17
-28200,30150,7.38,13.01,1.41,68.55
-28280,30230,7.41,13.42,1.42,73.52
-28360,30310,7.44,11.85,6.53,74.47
-28450,30400,7.47,11.91,2.57,67.27
-28530,30480,7.5,12.41,4.76,69.44
-28610,30560,7.53,12.68,7.38,71.43
-28700,30650,7.56,12.35,4.45,69.12
-28780,30730,7.59,12.67,6.58,69.3
-28870,30820,7.62,14.1,2.02,68.87
-28950,30900,7.65,13.85,2.7,71.99
-29030,30980,7.68,13.9,1.38,71.66
-29120,31070,7.71,14.01,1.1,72.01
-29200,31150,7.74,13.32,1.24,70.43
-29280,31230,7.77,13.6,1.97,68.83
-29370,31320,7.8,13.6,1.5,69.28
-29450,31400,7.83,13.84,1.34,68.46
-29540,31490,7.86,13.28,1.99,68.77
-29620,31570,7.89,13.49,1.44,69.25
-29700,31650,7.92,13.62,1.58,69.14
-29790,31740,7.95,14.58,1.14,67.81
-29870,31820,7.98,14.35,1.3,68.8
-29950,31900,8.01,14.08,1.47,66.63
-30040,31990,8.04,14.55,1.82,71.43
-30120,32070,8.07,14.22,1.46,70.27
-30210,32160,8.1,14.22,1.35,69.6
-30290,32240,8.13,14.44,1.15,70.43
-30370,32320,8.16,14.01,1.75,70.02
-30460,32410,8.19,14.13,1.78,71.16
-30540,32490,8.22,13.61,3.61,69.1
-30620,32570,8.25,14.04,1.55,63.02
-30710,32660,8.28,13.02,3.51,67.78
-30790,32740,8.31,13.86,2.75,71.47
-30880,32830,8.34,13.14,4.27,68.72
-30960,32910,8.37,13.23,3.76,69.83
-31140,33090,8.4,13.89,2.17,68.1
-31290,33240,8.43,14.08,2.37,69.76
-31430,33380,8.46,14.49,2.35,68.86
-31490,33440,8.49,14.48,1.79,69.15
-31540,33490,8.52,14.26,1.29,71.26
-31590,33540,8.55,14.72,1.33,71.99
-31740,33690,8.58,13.82,1.75,69.22
-31910,33860,8.61,13.47,2.16,68.43
-32070,34020,8.64,13.44,2.39,68.41
-32220,34170,8.67,12.97,2.77,67.79
-32370,34320,8.7,13.35,2.31,67.35
-32500,34450,8.73,13.55,1.98,68.41
-32620,34570,8.76,13.7,1.7,67.3
-32730,34680,8.79,14.36,1.56,67.55
-32800,34750,8.82,14.31,2.53,69.22
-32850,34800,8.85,14.05,2.16,68.24
-32930,34880,8.88,14.47,1.41,69.61
-32990,34940,8.91,14.38,0.99,69.05
-33060,35010,8.94,14.27,2.14,72.95
-33130,35080,8.97,14.87,1.25,72.49
-33200,35150,9,14.93,1.18,71.65
-33290,35240,9.06,14.48,1.64,72.05
-33340,35290,9.09,14.24,1.28,69.49
-33400,35350,9.12,14.75,1.35,71.03
-33590,35540,9.15,12.51,5.63,66.63
-33760,35710,9.21,12.7,6.63,68.4
-33910,35860,9.24,12.01,5.82,70.24
-34040,35990,9.27,12.02,7.67,67.43
-34550,36500,9.33,13.32,2.62,68.28
-34700,36650,9.36,13.62,1.54,66.41
-34820,36770,9.39,13.46,2.44,75.01
-34970,36920,9.42,13.94,2.25,75.15
-35090,37040,9.45,13.52,3.14,73.65
-35220,37170,9.48,13.93,1.69,77.62
-35330,37280,9.51,14.18,1.41,77.47
-35440,37390,9.54,14.21,2.53,76.04
-35530,37480,9.57,14.67,0.67,72.23
-35610,37560,9.6,14.72,0.99,70.63
-35680,37630,9.63,14.52,1.35,71.79
-35740,37690,9.66,14.36,1.65,69.37
-35830,37780,9.69,14.79,1.25,75.66
-35890,37840,9.72,14.52,1.06,68.48
-35970,37920,9.75,14.68,1.88,73.2
-36050,38000,9.78,14.73,0.75,69.72
-36130,38080,9.81,14.79,0.73,70.27
-36240,38190,9.84,14.26,1.16,66.3
-36330,38280,9.87,14.19,1.42,67.52
-36460,38410,9.9,13.07,3.52,70.96
-36530,38480,9.93,13.83,3.06,66.23
-36760,38710,9.96,12.27,6.52,67.92
-36990,38940,9.99,11.19,8.4,67.96
-37200,39150,10.02,10.78,9.68,67.67
-37390,39340,10.05,10.83,8.88,67.09
-37540,39490,10.08,10.95,10.26,76.07
-37690,39640,10.11,10.26,10.15,64.44
-37860,39810,10.14,11.25,7.02,66.54
-38040,39990,10.17,12.33,4.43,74.6
-38230,40180,10.2,13.64,1.72,68.81
-38350,40300,10.23,13.6,1.42,68.16
-38470,40420,10.26,13.74,0.92,68.89
-38580,40530,10.29,14.12,0.95,71.73
-38700,40650,10.32,14.14,0.64,68.87
-38850,40800,10.35,13.79,0.91,73.7
-38990,40940,10.38,14.21,0.84,71.53
-39130,41080,10.41,13.87,0.86,68.31
-39250,41200,10.44,13.94,0.73,71.2
-39330,41280,10.47,14.21,0.79,69.71
-39400,41350,10.5,14.28,0.72,69.22
-39470,41420,10.53,14.29,0.69,71.67
-39560,41510,10.56,14.77,0.63,72.83
-39670,41620,10.59,14.66,0.89,71.31
-39800,41750,10.62,14.04,1.6,70.66
-39910,41860,10.65,14.33,1.26,69.26
-40110,42060,10.68,12.52,3.78,68.54
-40270,42220,10.71,12.7,2.73,71.73
-40450,42400,10.74,13.48,2.88,68.53
-40620,42570,10.77,13.69,1.24,68.19
-40780,42730,10.8,14.32,1.03,70.7
-40920,42870,10.83,14.31,2,67.04
-41040,42990,10.86,14.48,1.44,71.64
-41150,43100,10.89,14.73,0.73,69.01
-41260,43210,10.92,14.7,0.59,71.46
-41350,43300,10.95,14.79,0.66,68.3
-41450,43400,10.98,15.03,0.52,70.61
-41580,43530,11.01,14.53,0.71,69.61
-41630,43580,11.04,14.26,1.81,67.37
-41720,43670,11.07,14.73,0.83,70.63
-41900,43850,11.1,13.93,1.94,70.27
-42150,44100,11.13,13.72,2,69.5
-42410,44360,11.16,13.18,3.81,64.8
-42650,44600,11.19,13.47,2.65,70.38
-42970,44920,11.22,14.13,1.37,68.56
-43310,45260,11.25,13.97,1.08,68.31
-43640,45590,11.28,14.78,1.06,68.62
-43920,45870,11.31,15.05,1.08,69.89
-44110,46060,11.34,15.15,0.62,68.93
-44230,46180,11.37,15.2,0.77,70.68
-44350,46300,11.4,14.82,0.98,76.17
-44500,46450,11.43,15.42,0.83,70.38
-44620,46570,11.46,15.43,0.76,71.9
-44720,46670,11.49,15.28,0.85,69.88
-44740,46690,11.5,15.39,0.65,72.61
-44820,46770,11.53,15.19,0.4,73.53
-44910,46860,11.56,15.24,0.6,73.83
-44980,46930,11.59,15.68,0.5,72.25
-45050,47000,11.62,15.47,0.43,71
-45100,47050,11.65,15.26,0.48,73.77
-45170,47120,11.68,15.94,0.31,72.18
-45240,47190,11.71,15.71,0.52,74.3
-45310,47260,11.74,15.35,0.51,72.99
-45360,47310,11.77,14.62,0.84,71.81
-45400,47350,11.8,14.7,1.05,73.37
-45460,47410,11.83,14.15,1.95,70.2
-45550,47500,11.86,13.68,1.8,74.77
-45710,47660,11.89,12.41,2.64,68.9
-45880,47830,11.92,12.35,2.12,71.52
-46060,48010,11.95,12.16,4.11,71.2
-46500,48450,12.01,11.35,6.77,72.9
-46690,48640,12.04,11.45,8.61,72.21
-46920,48870,12.07,12.7,3.77,73.83
-47180,49130,12.1,14.4,0.8,72.13
-47340,49290,12.13,15,0.43,72.81
-47470,49420,12.16,14.74,0.48,75.22
-47610,49560,12.19,14.76,0.47,75.37
-47750,49700,12.22,14.77,0.32,73.52
-47920,49870,12.25,15.01,0.06,75.07
-48060,50010,12.28,14.97,0.31,72.07
-48240,50190,12.31,14.86,0.17,74.21
-48390,50340,12.34,14.85,0.64,73.41
-48540,50490,12.37,14.66,0.24,71.23
-48710,50660,12.4,14.75,0.13,73.54
-48890,50840,12.43,14.84,0.26,74.31
-49080,51030,12.46,15.13,0.58,74
-49260,51210,12.49,15.02,0.5,74.5
-49450,51400,12.52,14.98,0.46,74.04
-49660,51610,12.55,15.34,0.41,73.96
-49920,51870,12.58,15.18,0.35,74.8
-50130,52080,12.61,15.23,0.92,74.7
-50350,52300,12.64,15.61,0.44,73.39
-50500,52450,12.67,15.33,0.31,74.39
-50660,52610,12.7,15.47,0.33,74.14
-50830,52780,12.73,14.99,0.43,72.82
-51000,52950,12.76,15.44,0.5,72.58
-51170,53120,12.79,15.47,0.54,74.78
-51340,53290,12.82,15.32,1.25,74.3
-51500,53450,12.85,15.3,0.44,73.35
-51670,53620,12.88,15.42,0.55,74.89
-51810,53760,12.91,15.14,0.59,73.48
-51980,53930,12.94,15.63,0.55,73.78
-52140,54090,12.97,15.47,0.6,75.35
-52290,54240,13,15.56,0.78,71.09
-52410,54360,13.03,15.32,0.69,74.79
-52460,54410,13.04,15.52,0.55,75.05
-52550,54500,13.06,15.73,0.54,73.74
-52690,54640,13.09,15.07,0.72,71.6
-52770,54720,13.12,15.39,0.81,72.77
-52900,54850,13.15,15.54,0.86,73.05
-53020,54970,13.18,15.62,0.71,71.22
-53210,55160,13.21,14.55,2,70.33
-53400,55350,13.24,13.55,4.09,66.51
-53560,55510,13.27,13.83,3.6,68.9
-53810,55760,13.3,15.25,1.27,70.53
-53910,55860,13.33,15.14,0.88,72.04
-54130,56080,13.36,14.68,0.89,72.29
-54410,56360,13.395,15.05,1.17,70.26
-54540,56490,13.42,14.89,0.97,73.11
-54720,56670,13.45,14.65,0.99,72.61
-54960,56910,13.48,14.41,1.29,70.22
-55170,57120,13.51,14.73,1.25,71.14
-55280,57230,13.54,14.08,1.59,71.22
-55510,57460,13.57,15.21,0.84,70.98
-55660,57610,13.6,15.29,0.84,68.86
-55810,57760,13.63,14.56,0.92,72.33
-55930,57880,13.66,14.64,1.08,71.81
-56070,58020,13.69,15.52,0.62,70.38
-56180,58130,13.72,15.2,0.46,71.14
-56290,58240,13.75,15.46,0.6,71.31
-56380,58330,13.78,15.4,0.43,72.25
-56440,58390,13.81,15.17,0.46,70.57
-56510,58460,13.84,15.4,0.52,71.92
-56600,58550,13.87,15.91,0.49,70.75
-56670,58620,13.9,15.5,0.43,70.16
-56760,58710,13.93,15.43,0.86,71.42
-56830,58780,13.96,15.35,0.89,70.19
-56920,58870,13.99,14.82,1.74,72.77
-57030,58980,14.02,14.49,1.27,68.07
-57120,59070,14.05,14.6,2.08,72.46
-57180,59130,14.08,14.98,0.99,68.47
-57270,59220,14.11,15.39,1.12,70.89
-57350,59300,14.14,15.83,0.81,65.95
-57420,59370,14.17,15.17,1,70.14
-57550,59500,14.2,14.59,1.84,68.41
-57690,59640,14.23,14.89,1.08,66.51
-57860,59810,14.26,15.29,1.59,70.5
-58050,60000,14.29,15.47,1.59,70.67
-58410,60360,14.32,12.57,8.2,67.52
-58750,60700,14.35,12.48,6.88,69.74
-58850,60800,14.36,12,7.43,71.18
-59090,61040,14.38,11.09,9.62,72.26
-59470,61420,14.41,13.59,5.36,67.66
-59960,61910,14.44,11.93,7.9,69.5
-60460,62410,14.47,11.08,9.08,68.26
-60880,62830,14.5,11.34,8.56,67.76
-61260,63210,14.53,11.09,9.24,67.61
-61610,63560,14.56,11.37,8.94,69.87
-61990,63940,14.59,12.34,5.5,67.8
-62370,64320,14.62,13.85,1.93,71.42
-62650,64600,14.65,14.08,0.92,71.36
-62940,64890,14.68,13.83,1.86,70.22
-63210,65160,14.71,13.98,1.38,71.08
-63450,65400,14.74,14.34,1.38,71.19
-63880,65830,14.77,12.7,3.19,69.2
-64220,66170,14.8,12.13,2.92,72.52
-64550,66500,14.83,12.45,2.18,68.7
-64870,66820,14.86,12.93,2.78,70
-65210,67160,14.89,12.54,3.52,67.85
-65570,67520,14.92,14.24,1.52,68.45
-65900,67850,14.95,14.13,1.05,70.86
-66210,68160,14.98,14,0.95,72.26
-66420,68370,15,13.62,1.56,65.73
-66790,68740,15.03,13.47,2.15,69.64
-67090,69040,15.06,13.68,1.6,73.36
-67370,69320,15.09,13.45,1.72,67.25
-67660,69610,15.12,13.89,1.7,71.32
-67940,69890,15.15,14.02,1.85,69.02
-68260,70210,15.18,14.41,1.26,67.69
-68550,70500,15.21,14.67,1.61,69.17
-68830,70780,15.24,14.53,1.9,67.8
-69120,71070,15.27,14.65,1.2,73.3
-69440,71390,15.3,15.16,1.35,72.29
-69740,71690,15.33,15.93,0.86,69.46
-69940,71890,15.36,15.79,0.81,74.4
-70210,72160,15.39,16.03,0.68,73.04
-70500,72450,15.42,15.63,1.45,73.8
-70850,72800,15.45,15.95,1.15,73.62
-71380,73330,15.48,15.86,0.97,73.16
-72030,73980,15.51,15.89,0.56,76.29
-72630,74580,15.54,15.79,1.15,76.91
-73000,74950,15.57,15.78,2.43,69.59
-73220,75170,15.6,15.17,2.21,78.38
-73620,75570,15.63,16.81,0.74,71.24
-73960,75910,15.66,16.55,1.81,75.17
-74270,76220,15.69,18.14,0.53,68.83
-74490,76440,15.72,17.11,0.39,78.69
-74740,76690,15.75,17.87,0.16,70.57
-74930,76880,15.78,18.43,0.14,65.3
-75150,77100,15.81,16.77,0.25,71
-75330,77280,15.84,15.26,0.92,67.68
-75440,77390,15.87,15.14,0.87,61.16
-75610,77560,15.9,13.81,2.67,65.15
-75720,77670,15.93,13.44,2.95,64.09
-75870,77820,15.96,14.1,2.85,67.49
-76050,78000,15.99,14.05,2.4,66.66
-76230,78180,16.02,13.27,3,66.97
-76630,78580,16.05,16.05,0.23,68.9
-76860,78810,16.08,16.32,0.42,67.74
-77130,79080,16.11,16.37,0.27,69.09
-77430,79380,16.14,16.67,1.04,64.63
-77680,79630,16.17,17.02,0.2,70.69
-77880,79830,16.2,16.6,0.27,70.95
-78140,80090,16.23,16.79,0.38,67.11
-78370,80320,16.26,16.37,0.39,67.87
-78620,80570,16.29,16.8,0.23,73.99
-78840,80790,16.32,16.76,0.34,65.69
-79050,81000,16.35,17.1,0.25,67.26
-79220,81170,16.38,17.11,0.3,65.08
-79390,81340,16.41,16.93,0.34,67.02
-79560,81510,16.44,16.7,0.28,65.72
-79810,81760,16.47,17.52,0.16,68.72
-80050,82000,16.5,16.92,0.41,67.61
-80410,82360,16.53,17.74,0.28,66.43
-80740,82690,16.56,17.76,0.25,70.98
-81100,83050,16.59,18.14,0.25,66.05
-81420,83370,16.62,18,0.27,66.85
-81750,83700,16.65,18.4,0.4,67.67
-82030,83980,16.68,18.4,0.25,59.67
-82310,84260,16.71,18.42,0.33,63.31
-82540,84490,16.74,18.26,0.27,68.82
-82760,84710,16.77,18.61,0.24,59.85
-83000,84950,16.8,18.38,0.3,72.4
-83230,85180,16.83,17.64,0.68,61.02
-83520,85470,16.86,17.19,0.74,55.46
-83830,85780,16.89,15.94,1.45,58.56
-84230,86180,16.92,14.36,2.6,58.76
-84700,86650,16.95,13.89,3.05,53.6
-85120,87070,16.98,13.04,3.85,53.27
-85450,87400,17.01,12.65,5.11,57.93
-85730,87680,17.04,12.48,5.81,62.98
-85910,87860,17.07,12.06,6.26,58.81
-86040,87990,17.1,12.62,6.58,58.75
-86170,88120,17.13,12.09,7.45,56.24
-86300,88250,17.16,12.23,6.21,57.15
-86470,88420,17.19,14.33,3.31,61.1
-86600,88550,17.22,16.34,0.36,62.84
-86690,88640,17.25,16.64,0.11,66.05
-86740,88690,17.28,16.58,0.59,67.62
-86770,88720,17.31,16.43,0.21,69.47
-86830,88780,17.34,16.72,0.11,73.84
-86870,88820,17.37,16.78,0.2,68.55
-86930,88880,17.4,17.14,0.26,69.73
-86980,88930,17.43,17.16,0.09,76.1
-87060,89010,17.46,17.13,0.13,72.26
-87140,89090,17.49,17.12,0.12,67.41
-87240,89190,17.52,17.22,0.11,66.89
-87380,89330,17.55,17.6,0.11,70.98
-87540,89490,17.58,17.31,0.11,72.92
-87730,89680,17.61,17.38,0.08,67.02
-87980,89930,17.64,17.28,0.1,69.51
-88360,90310,17.67,17.54,0.11,68.07
-88740,90690,17.7,17.11,0.11,69.98
-89120,91070,17.73,17.11,0.13,74.24
-89530,91480,17.76,17.05,0.09,67.38
-89920,91870,17.79,17.13,0.09,67.88
-90330,92280,17.82,17.34,0.12,70.05
-90790,92740,17.85,17.74,0.11,71.85
-91220,93170,17.88,17.42,0.1,70.32
-91700,93650,17.91,17.4,0.1,68.08
-92140,94090,17.94,17.39,0.09,68.24
-92550,94500,17.97,17.77,0.05,72.84
-93010,94960,18,17.41,0.07,72.77
-93460,95410,18.03,17.67,0.21,69.32
-93830,95780,18.06,18.14,0.1,70.47
-94090,96040,18.09,17.77,0.09,72.17
-94410,96360,18.12,17.93,0.07,68.97
-94700,96650,18.15,17.89,0.1,70.31
-94940,96890,18.18,17.79,0.11,71.38
-95240,97190,18.21,18.24,0.16,71.44
-95460,97410,18.24,18.01,0.05,67.68
-95750,97700,18.27,17.91,0,64.41
-96020,97970,18.3,17.9,0.03,69.24
-96320,98270,18.33,17.91,0.09,69.61
-96660,98610,18.36,18.15,0.04,66.73
-96970,98920,18.39,18.09,0.1,68.68
-97350,99300,18.42,18.13,0.02,69.28
-97720,99670,18.45,18.23,0.07,69.96
-98090,100040,18.48,18.24,0.05,71.53
-98460,100410,18.51,18.53,0.04,68.51
-98810,100760,18.54,18.7,0.05,68.06
