year (AD),age (BP),depth (cm),lake_depth (m),salinity (g/L),Mean_boot_salinity (missing),sambleID (missing),numInZone (missing)
418.717,1531.283,124.5,7.78,-0.02,2.412,79-80c1,34
405.433,1544.567,125.5,8.69,0.04,2.472,80-81c1,35
392.15,1557.85,126.5,7.98,0.035,2.467,81-82c1,36
378.867,1571.133,127.5,8.395,0.024,2.456,82-83c1,37
365.583,1584.417,128.5,8.395,0.022,2.454,83-84c1,38
352.3,1597.7,129.5,7.464,0.016,2.448,84-85c1,39
339.017,1610.983,130.5,8.995,-0.124,2.308,85-86c1,40
325.733,1624.267,131.5,9.572,-0.087,2.345,86-87c1,41
312.45,1637.55,132.5,8.299,-0.119,2.313,87-88c1,42
299.167,1650.833,133.5,5.929,0.031,2.463,88-89c1,43
285.883,1664.117,134.5,7.096,0.026,2.458,89-90c1,44
272.6,1677.4,135.5,4.036,0.352,2.784,90-91c1,45
259.317,1690.683,136.5,3.972,0.285,2.717,91-92c1,46
246.033,1703.967,137.5,5.715,0.086,2.518,92-93c1,47
219.467,1730.533,139.5,5.929,0.137,2.569,94-95c1,48
206.183,1743.817,140.5,9.908,-0.072,2.36,95-96v1,49
192.9,1757.1,141.5,10.257,-0.019,2.413,96-97c1,50
179.617,1770.383,142.5,7.709,0.05,2.482,97-98c1,51
166.333,1783.667,143.5,9.75,0.002,2.434,98-99c1,52
153.05,1796.95,144.5,8.59,-0.057,2.375,99-100c1,53
139.767,1810.233,145.5,9.506,-0.008,2.424,100-101c1,54
126.483,1823.517,146.5,8.892,-0.089,2.343,0-1c2,55
113.2,1836.8,147.5,8.531,-0.146,2.286,1-2c2,56
99.917,1850.083,148.5,7.998,-0.084,2.348,2-3c2,57
86.633,1863.367,149.5,7.852,-0.012,2.42,3-4c2,58
73.35,1876.65,150.5,9.162,0.024,2.456,4-5c2,59
46.783,1903.217,152.5,9.977,-0.125,2.307,6-7c2,60
33.5,1916.5,153.5,8.222,-0.033,2.399,7-8c2,61
20.217,1929.783,154.5,10.889,-0.052,2.38,8-9c2,62
6.933,1943.067,155.5,6.761,0.047,2.479,9-10c2,63
-6.35,1956.35,156.5,9.141,0.012,2.444,10-11c2,64
-19.633,1969.633,157.5,7.907,0.051,2.483,11-12c2,65
-32.917,1982.917,158.5,8.974,-0.076,2.356,12-13c2,66
-46.2,1996.2,159.5,8.69,-0.08,2.352,13-14c2,67
-59.483,2009.483,160.5,5.26,0.029,2.461,14-15c2,68
-72.767,2022.767,161.5,7.586,-0.065,2.367,15-16c2,69
-86.05,2036.05,162.5,8.375,-0.161,2.271,16-17c2,70
-99.333,2049.333,163.5,7.816,-0.082,2.35,17-18c2,71
-112.617,2062.617,164.5,9.977,-0.147,2.285,18-19c2,72
-125.9,2075.9,165.5,13.996,-0.258,2.174,19-20c2,73
-139.183,2089.183,166.5,10.666,-0.109,2.323,20-21c2,74
-152.467,2102.467,167.5,8.63,0.065,2.497,21-22c2,75
-165.75,2115.75,168.5,3.319,0.323,2.755,22-23c2,76
-179.033,2129.033,169.5,3.767,0.306,2.738,23-24c2,77
-192.317,2142.317,170.5,5.248,0.083,2.515,24-25c2,78
-205.6,2155.6,171.5,6.918,0.077,2.509,25-26c2,79
-218.883,2168.883,172.5,8.995,-0.107,2.325,26-27c2,80
-232.167,2182.167,173.5,7.586,0.002,2.434,27-28c2,81
-245.45,2195.45,174.5,5.943,0.029,2.461,28-29c2,82
-258.733,2208.733,175.5,8.531,0.022,2.454,29-30c2,83
-272.017,2222.017,176.5,10.814,0.001,2.433,30-31c2,84
-285.3,2235.3,177.5,5.058,0.063,2.495,31-32c2,85
-298.583,2248.583,178.5,9.016,-0.033,2.399,32-33c2,86
-311.867,2261.867,179.5,8.433,-0.017,2.415,33-34c2,87
-325.15,2275.15,180.5,9.099,0.013,2.445,34-35c2,88
-338.433,2288.433,181.5,8.57,0.078,2.51,35-36c2,89
-351.717,2301.717,182.5,5.598,0.151,2.583,36-37c2,90
-365,2315,183.5,5.508,0.124,2.556,37-38c2,1
-372.5,2322.5,184.5,4.732,0.111,2.543,38-39c2,2
-380,2330,185.5,5.093,0.118,2.55,39-40c2,3
-387.5,2337.5,186.5,4.285,0.237,2.669,40-41c2,4
-395,2345,187.5,4.064,0.17,2.602,41-42c2,5
-402.5,2352.5,188.5,4.529,0.101,2.533,42-43c2,6
-410,2360,189.5,4.508,0.207,2.639,43-44c2,7
-410,2360,191.5,4.276,0.149,2.581,45-46c2,8
-441.8,2391.8,192.5,4.102,0.223,2.655,46-47c2,9
-473.6,2423.6,193.5,4.864,0.189,2.621,47-48c2,10
-505.4,2455.4,194.5,5.689,0.058,2.49,48-49c2,11
-537.2,2487.2,195.5,9.204,-0.016,2.416,49-50c2,12
-569,2519,196.5,10.023,-0.079,2.353,50-51c2,13
-600.8,2550.8,197.5,7.943,0.001,2.433,51-52c2,14
-632.6,2582.6,198.5,10.375,-0.029,2.403,52-53c2,15
-664.4,2614.4,199.5,11.272,-0.165,2.267,53-54c2,16
-696.2,2646.2,200.5,4.864,0.141,2.573,54-55c2,17
-728,2678,201.5,4.786,0.183,2.615,55-56c2,18
-759.8,2709.8,202.5,4.457,0.167,2.599,56-57c2,19
-791.6,2741.6,203.5,5.248,0.134,2.566,57-58c2,20
-823.4,2773.4,204.5,10.691,-0.006,2.426,58-59c2,21
-855.2,2805.2,205.5,8.995,0.048,2.48,59-60c2,22
-887,2837,206.5,3.926,0.22,2.652,60-61c2,23
-918.8,2868.8,207.5,7.656,0.097,2.529,61-62c2,24
-950.6,2900.6,208.5,4.487,0.18,2.612,62-63c2,25
-982.4,2932.4,209.5,6.324,0.079,2.511,63-64c2,26
-1046,2996,211.5,5.675,0.093,2.525,65-66c2,27
-1077.8,3027.8,212.5,5.559,0.094,2.526,66-67c2,28
-1109.6,3059.6,213.5,8.356,-0.039,2.393,67-68c2,29
-1141.4,3091.4,214.5,9.078,-0.039,2.393,68-69c2,30
-1173.2,3123.2,215.5,11.117,-0.189,2.243,69-70c2,31
-1205,3155,216.5,4.446,0.144,2.576,70-71c2,32
-1236.8,3186.8,217.5,5.2,0.108,2.54,71-72c2,33
-1268.6,3218.6,218.5,5.297,0.039,2.471,72-73c2,34
-1300.4,3250.4,219.5,5.129,0.181,2.613,73-74c2,35
-1332.2,3282.2,220.5,6.653,0.058,2.49,74-75c2,36
-1364,3314,221.5,7.328,0.008,2.44,75-76c2,37
-1395.8,3345.8,222.5,8.974,-0.008,2.424,76-77c2,38
-1491.2,3441.2,225.5,4.355,0.239,2.671,79-80c2,39
-1523,3473,226.5,5.508,0.045,2.477,80-81c2,40
-1554.8,3504.8,227.5,9.462,-0.143,2.289,81-82c2,41
-1586.6,3536.6,228.5,9.183,0.021,2.453,82-83c2,42
-1618.4,3568.4,229.5,8.77,-0.058,2.374,83-84c2,43
-1650.2,3600.2,230.5,8.414,-0.018,2.414,84-85c2,44
-1695.392,3645.392,232.5,4.786,0.213,2.645,86-87c2,45
-1708.785,3658.785,233.5,5.598,0.119,2.551,87-88c2,46
-1722.177,3672.177,234.5,9.727,-0.068,2.364,88-89c2,47
-1735.57,3685.57,235.5,10.186,-0.041,2.391,89-90c2,48
-1748.962,3698.962,236.5,10.328,-0.133,2.299,90-91c2,49
-1762.354,3712.354,237.5,9.397,0.036,2.468,91-92c2,50
-1775.747,3725.747,238.5,2.704,0.407,2.839,92-93c2,51
-1789.139,3739.139,239.5,3.724,0.295,2.727,93-94c2,52
-1802.532,3752.532,240.5,3.141,0.369,2.801,94-95c2,53
-1815.924,3765.924,241.5,3.565,0.297,2.729,95-96c2,54
-1869.494,3819.494,245.5,4.864,-0.082,2.35,99-100c2,1
-1882.886,3832.886,246.5,12.023,-0.227,2.205,100-101c2,2
-1896.278,3846.278,247.5,10.814,-0.049,2.383,101-102c2,3
-1909.671,3859.671,248.5,8.872,-0.043,2.389,102-103c2,4
-1923.063,3873.063,249.5,10.093,-0.089,2.343,103-104c2,5
-1936.456,3886.456,250.5,10.94,-0.126,2.306,0-1c3,6
-1949.848,3899.848,251.5,10.94,-0.083,2.349,1-2c3,7
-1963.241,3913.241,252.5,9.886,-0.104,2.328,2-3c3,8
-1976.633,3926.633,253.5,10.28,-0.112,2.32,3-4c3,9
-1990.025,3940.025,254.5,10.471,-0.137,2.295,4-5c3,10
-2003.418,3953.418,255.5,10.023,-0.144,2.288,5-6c3,11
-2016.81,3966.81,256.5,11.169,-0.194,2.238,6-7c3,12
-2030.203,3980.203,257.5,10.617,-0.122,2.31,7-8c3,13
-2043.595,3993.595,258.5,10.839,-0.153,2.279,8-9c3,14
-2056.987,4006.987,259.5,10.257,-0.074,2.358,9-10c3,15
-2070.38,4020.38,260.5,10.046,-0.094,2.338,10-11c3,16
-2083.772,4033.772,261.5,10.593,-0.133,2.299,11-12c3,17
-2097.165,4047.165,262.5,10.093,-0.061,2.371,12-13c3,18
-2110.557,4060.557,263.5,11.535,-0.178,2.254,13-14c3,19
-2123.949,4073.949,264.5,10.864,-0.088,2.344,14-15c3,20
-2137.342,4087.342,265.5,11.508,-0.187,2.245,15-16c3,21
-2150.734,4100.734,266.5,11.066,-0.194,2.238,16-17c3,22
-2164.127,4114.127,267.5,8.77,-0.137,2.295,17-18c3,23
-2177.519,4127.519,268.5,11.722,-0.261,2.171,18-19c3,24
-2190.911,4140.911,269.5,12.942,-0.281,2.151,19-20c3,25
-2204.304,4154.304,270.5,9.84,-0.211,2.221,20-21c3,26
-2217.696,4167.696,271.5,9.75,-0.181,2.251,21-22c3,27
-2244.481,4194.481,273.5,11.455,-0.244,2.188,23-24c3,28
-2257.873,4207.873,274.5,12.531,-0.259,2.173,24-25c3,29
-2271.266,4221.266,275.5,12.445,-0.259,2.173,25-26c3,30
-2284.658,4234.658,276.5,12.19,-0.235,2.197,26-27c3,31
-2298.051,4248.051,277.5,11.015,-0.257,2.175,27-28c3,32
-2311.443,4261.443,278.5,8.831,-0.182,2.25,28-29c3,33
-2338.228,4288.228,280.5,7.98,-0.117,2.315,30-31c3,34
-2365.013,4315.013,282.5,8.375,-0.161,2.271,32-33c3,35
-2378.405,4328.405,283.5,7.852,-0.137,2.295,33-34c3,36
-2391.797,4341.797,284.5,5.47,-0.158,2.274,34-35c3,37
-2405.19,4355.19,285.5,7.499,-0.255,2.177,35-36c3,38
-2418.582,4368.582,286.5,5.07,0.111,2.543,36-37c3,39
-2431.975,4381.975,287.5,4.656,0.157,2.589,37-38c3,40
-2445.367,4395.367,288.5,6.368,-0.006,2.426,38-39c3,41
-2472.152,4422.152,290.5,7.079,-0.085,2.347,40-41c3,42
-2485.544,4435.544,291.5,8.65,-0.062,2.37,41-42c3,43
-2498.937,4448.937,292.5,4.842,0.062,2.494,42-43c3,44
-2512.329,4462.329,293.5,6.998,-0.138,2.294,43-44c3,45
-2525.722,4475.722,294.5,8.11,-0.129,2.303,44-45c3,46
-2539.114,4489.114,295.5,7.907,-0.135,2.297,45-46c3,47
-2552.506,4502.506,296.5,10.423,-0.028,2.404,46-47c3,48
-2565.899,4515.899,297.5,8.375,-0.139,2.293,47-48c3,49
-2579.291,4529.291,298.5,8.26,-0.139,2.293,48-49c3,50
-2592.684,4542.684,299.5,9.226,-0.165,2.267,49-50c3,51
-2606.076,4556.076,300.5,6.012,0.057,2.489,50-51c3,52
-2619.468,4569.468,301.5,11.858,-0.18,2.252,51-52c3,53
-2632.861,4582.861,302.5,11.117,-0.128,2.304,52-53c3,54
-2646.253,4596.253,303.5,10.116,-0.063,2.369,53-54c3,55
-2659.646,4609.646,304.5,11.22,-0.236,2.196,54-55c3,56
-2673.038,4623.038,305.5,9.817,-0.18,2.252,55-56c3,57
-2686.43,4636.43,306.5,10.814,-0.251,2.181,56-57c3,58
-2699.823,4649.823,307.5,9.908,-0.187,2.245,57-58c3,59
-2713.215,4663.215,308.5,7.499,-0.017,2.415,58-59c3,60
-2726.608,4676.608,309.5,5.97,-0.131,2.301,59-60c3,61
-2740,4690,310.5,9.954,-0.258,2.174,60-61c3,62
-2751.24,4701.24,311.5,8.59,-0.211,2.221,61-62c3,63
-2762.48,4712.48,312.5,10.28,-0.216,2.216,62-63c3,64
-2773.72,4723.72,313.5,10.641,-0.274,2.158,63-64c3,65
-2784.96,4734.96,314.5,9.863,-0.253,2.179,64-65c3,66
-2796.2,4746.2,315.5,10.765,-0.253,2.179,65-66c3,67
-2807.44,4757.44,316.5,11.561,-0.287,2.145,66-67c3,68
-2818.68,4768.68,317.5,8.551,-0.147,2.285,67-68c3,69
-2829.92,4779.92,318.5,10.423,-0.235,2.197,68-69c3,70
-2841.16,4791.16,319.5,10.765,-0.274,2.158,69-70c3,71
-2852.4,4802.4,320.5,8.913,-0.252,2.18,70-71c3,72
-2863.64,4813.64,321.5,9.016,-0.227,2.205,71-72c3,73
-2874.88,4824.88,322.5,12.764,-0.285,2.147,72-73c3,74
-2886.12,4836.12,323.5,8.892,-0.218,2.214,73-74c3,75
-2897.36,4847.36,324.5,8.831,-0.022,2.41,74-75c3,76
-2908.6,4858.6,325.5,10.209,-0.216,2.216,75-76c3,77
-2919.84,4869.84,326.5,8.375,-0.21,2.222,76-77c3,78
-2931.08,4881.08,327.5,6.982,-0.187,2.245,77-78c3,79
-2942.32,4892.32,328.5,8.318,-0.257,2.175,78-79c3,80
-2987.28,4937.28,332.5,7.328,-0.064,2.368,82-83c3,81
-2998.52,4948.52,333.5,5.297,0.107,2.539,83-84c3,82
-3009.76,4959.76,334.5,7.586,-0.095,2.337,84-85c3,83
-3021,4971,335.5,7.015,-0.143,2.289,85-86c3,1
-3032.24,4982.24,336.5,6.668,-0.14,2.292,86-87c3,2
-3043.48,4993.48,337.5,6.546,-0.139,2.293,87-88c3,3
-3065.96,5015.96,339.5,8.81,-0.25,2.182,89-90c3,4
-3088.44,5038.44,341.5,6.668,-0.173,2.259,91-92c3,5
-3099.68,5049.68,342.5,7.603,-0.235,2.197,92-93c3,6
-3110.92,5060.92,343.5,6.427,-0.179,2.253,93-94c3,7
-3122.16,5072.16,344.5,5.572,-0.119,2.313,94-95c3,8
-3133.4,5083.4,345.5,6.457,-0.121,2.311,95-96c3,9
-3144.64,5094.64,346.5,5.689,-0.025,2.407,96-97c3,10
-3155.88,5105.88,347.5,5.848,-0.044,2.388,97-98c3,11
-3212.08,5162.08,352.5,8.091,-0.091,2.341,102-103c3,12
-3223.32,5173.32,353.5,8.166,-0.145,2.287,0-1c4,13
-3234.56,5184.56,354.5,6.546,-0.123,2.309,1-2c4,14
-3245.8,5195.8,355.5,6.622,-0.099,2.333,2-3c4,15
-3257.04,5207.04,356.5,7.551,-0.11,2.322,3-4c4,16
-3268.28,5218.28,357.5,6.442,-0.101,2.331,4-5c4,17
-3279.52,5229.52,358.5,7.112,-0.107,2.325,5-6c4,18
-3290.76,5240.76,359.5,5.794,-0.12,2.312,6-7c4,19
-3302,5252,360.5,5.623,-0.115,2.317,7-8c4,20
-3313.24,5263.24,361.5,5.164,-0.086,2.346,8-9c4,21
-3324.48,5274.48,362.5,6.561,-0.069,2.363,9-10c4,22
-3335.72,5285.72,363.5,7.568,-0.217,2.215,10-11c4,23
-3346.96,5296.96,364.5,6.607,-0.144,2.288,11-12c4,24
-3358.2,5308.2,365.5,6.095,-0.105,2.327,12-13c4,25
-3369.44,5319.44,366.5,6.577,-0.184,2.248,13-14c4,26
-3380.68,5330.68,367.5,6.577,-0.117,2.315,14-15c4,27
-3391.92,5341.92,368.5,5.984,-0.13,2.302,15-16c4,28
-3403.16,5353.16,369.5,6.516,-0.145,2.287,16-17c4,29
-3414.4,5364.4,370.5,6.237,-0.125,2.307,17-18c4,30
-3425.64,5375.64,371.5,7.278,-0.113,2.319,18-19c4,31
-3436.88,5386.88,372.5,6.934,-0.173,2.259,19-20c4,32
-3459.36,5409.36,374.5,6.471,-0.158,2.274,21-22c4,33
-3470.6,5420.6,375.5,13.274,-0.3,2.132,22-23c4,34
-3481.84,5431.84,376.5,6.237,-0.161,2.271,23-24c4,35
-3538.04,5488.04,381.5,4.645,0.113,2.545,28-29c4,36
-3549.28,5499.28,382.5,3.802,0.253,2.685,29-30c4,37
-3560.52,5510.52,383.5,4.539,0.179,2.611,30-31c4,38
-3571.76,5521.76,384.5,4.074,0.218,2.65,31-32c4,39
-3583,5533,385.5,5.047,0.03,2.462,32-33c4,40
