year (AD),age (BP),massDry (g),massDry_1mm (g)
-8404,10354,0,0.011
-8413,10363,32.065,0.007
-8421,10371,78.35,0.022
-8438,10388,48.289,0
-8454,10404,82.35,0.005
-8471,10421,60.875,0.01
-8487,10437,65.666,0.037
-8503,10453,56.105,0.009
-8519,10469,41.595,0.009
-8535,10485,58.225,0.066
-8543,10493,39.853,0.072
-8567,10517,78.029,0.024
-8582,10532,58.48,0.012
-8598,10548,70.941,0.022
-8614,10564,48.094,0.003
-8629,10579,62.743,0.016
-8645,10595,88.683,0.032
-8660,10610,83.818,0
-8673,10623,30.997,0.013
-8690,10640,56.776,0.032
-8706,10656,61.41,0.016
-8721,10671,57.312,0.015
-8736,10686,55.431,0.03
-8751,10701,61.443,0.011
-8767,10717,52.771,0.046
-8782,10732,59.221,0.046
-8799,10749,34.464,0.108
-8812,10762,62.461,0.013
-8827,10777,52.556,0.019
-8843,10793,84.88,0.195
-8858,10808,62.082,0.109
-8873,10823,31.8,0.011
-8888,10838,54.695,0.024
-8904,10854,65.9,0.057
-8919,10869,70.483,0.015
-8932,10882,33.493,0.146
-8950,10900,77.994,0.012
-8966,10916,52.478,0.018
-8981,10931,76.323,0.023
-8997,10947,53.108,0.104
-9013,10963,88.501,4.237
-9028,10978,57.052,0.01
-9044,10994,82.387,0.027
-9063,11013,33.75,0.049
-9076,11026,55.446,0.025
-9093,11043,59.236,0.06
-9109,11059,46.973,0.005
-9125,11075,58.175,0.039
-9142,11092,44.064,0.004
-9158,11108,81.013,0.18
-9175,11125,78.767,0.145
-9191,11141,66.118,0.021
-9200,11150,46.934,0.022
-9208,11158,57.832,0.03
-9225,11175,37.071,0.016
-9242,11192,35.907,0.021
-9259,11209,42.002,0
-9276,11226,41.662,0.002
-9294,11244,24.414,0.088
-9311,11261,43.353,0.015
-9329,11279,41.103,0.033
-9335,11285,81.935,0.035
-9364,11314,42.579,0.01
-9382,11332,47.399,0.002
-9400,11350,34.146,0.004
-9419,11369,27.19,0.06
-9437,11387,33.074,0.021
-9455,11405,54.671,0.007
-9474,11424,36.178,0.005
-9496,11446,32.993,0.009
-9511,11461,49.603,0.077
-9530,11480,29.445,0.045
-9549,11499,34.946,0
-9568,11518,43.406,0.019
-9588,11538,33.633,0.019
-9607,11557,33.589,0.009
-9626,11576,33.412,0.022
-9646,11596,35.919,0.019
-9656,11606,41.145,0
-9666,11616,36.577,0.012
-9686,11636,27.5,0.043
-9706,11656,43.933,0
-9726,11676,44.899,0.093
-9746,11696,52.233,0.158
-9766,11716,48.733,0.013
-9787,11737,51.992,0.011
-9807,11757,65.191,0
-9818,11768,41.176,0
-9926,11876,21.537,0.001
-10000,11950,37.793,0
-10029,11979,18.163,NA
-10127,12077,32.475,0
-10226,12176,41.606,0.034
-10248,12198,46.099,0.005
-10270,12220,45.363,0.008
-10293,12243,48.531,0.018
-10315,12265,60.372,0
-10337,12287,51.641,0.008
-10360,12310,49.819,0
-10378,12328,57.376,0
-10404,12354,51.755,0.001
-10427,12377,57.542,0
-10449,12399,39.86,0
-10471,12421,19.561,0
-10494,12444,33.928,0
-10516,12466,34.485,0
-10538,12488,46.447,0
-10553,12503,40.413,0
-10561,12511,31.955,NA
-10583,12533,42.709,0
-10605,12555,38.676,0.013
-10627,12577,40.208,0.002
-10649,12599,37.108,0.003
-10671,12621,43.901,0.005
-10693,12643,42.036,0.005
-10715,12665,46.829,0.001
-10737,12687,40.609,0
-10759,12709,44.086,2.664
-10780,12730,53.932,0.026
-10802,12752,45.072,0
-10823,12773,62.737,0.025
-10845,12795,29.188,0.011
-10866,12816,36.448,0.016
-10887,12837,34.38,0.444
-10908,12858,64.345,0.1
-10915,12865,48,0.041
-10922,12872,59.858,0.08
-10928,12878,40.558,0.049
-10949,12899,40.642,0.015
-10969,12919,44.499,0.035
-10990,12940,42.441,0.004
-11010,12960,43.573,0
-11029,12979,40.935,1.126
-11049,12999,47.62,0.105
-11069,13019,44.566,0.18
-11081,13031,29.64,0.053
-11107,13057,22.721,0.013
-11126,13076,45.476,0.038
-11144,13094,52.526,0.217
-11162,13112,36.213,0.16
-11180,13130,63.651,0.227
-11198,13148,37.079,0.027
-11232,13182,46.597,0.02
-11249,13199,47.081,1.357
-11266,13216,37.46,0.041
-11282,13232,41.026,0.032
-11297,13247,35.775,0.057
-11313,13263,43.257,0.032
-11328,13278,39.558,0.045
-11343,13293,43.097,0.5
-11357,13307,48.038,0.097
-11371,13321,38.737,0.199
-11384,13334,45.079,0.156
-11397,13347,42.272,0.138
-11410,13360,41.979,0.168
-11422,13372,24.666,0.024
-11434,13384,29.232,0.145
-11445,13395,33.038,0.121
-11460,13410,40.133,0.092
-11466,13416,38.56,0.134
-11476,13426,26.57,0.156
-11486,13436,33.615,0.025
-11494,13444,14.193,0.116
-11502,13452,42.403,0.097
-11510,13460,35.981,0.166
-11517,13467,57.385,0.015
-11525,13475,40.198,0.362
-11530,13480,50.487,0.878
-11536,13486,39.434,0.055
-11540,13490,35.759,0.011
-11544,13494,52.18,0
-11547,13497,20.85,0.016
-11550,13500,35.085,0.047
-11552,13502,39.226,0.008
-11553,13503,44.562,0.114
-11554,13504,34.113,0.098
NA,NA,39.032,0.048
NA,NA,47.071,0.282
NA,NA,17.689,0.197
NA,NA,19.646,0.077
NA,NA,98.242,0.867
NA,NA,31.389,1.104
NA,NA,23.709,4.378
NA,NA,23.012,5.734
NA,NA,49.849,14.08
NA,NA,64.221,11.695
NA,NA,43.063,1.942
NA,NA,32.586,1.406
NA,NA,34.094,2.718
NA,NA,52.849,5.502
NA,NA,32.668,1.043
NA,NA,56.501,4.065
NA,NA,42.945,3.045
NA,NA,59.407,8.798
