age (BP) [1-1],d18O (permil) [1-1],age (BP) [2-1],d18O (permil) [2-1]
2807.3,-23.925,2807.6,-22.153
2817.3,-23.718,2817.6,-22.415
2827.3,-24.018,2827.6,-22.883
2837.3,-23.375,2837.6,-22.99
2847.3,-23.978,2847.6,-23.162
2857.3,-24.059,2857.6,-23.227
2867.3,-23.777,2867.6,-23.04
2877.3,-23.721,2877.6,-22.634
2887.3,-24.58,2887.6,-22.697
2897.3,-24.162,2897.6,-23.133
2907.3,-23.831,2907.6,-22.957
2917.3,-23.457,2917.6,-22.267
2927.3,-23.771,2927.6,-22.579
2937.3,-23.89,2937.6,-22.99
2947.3,-23.543,2947.6,-22.971
2957.3,-24.007,2957.6,-22.585
2967.3,-23.823,2967.6,-22.624
2977.3,-24.38,2977.6,-22.46
2987.3,-23.762,2987.6,-22.196
2997.3,-23.062,2997.6,-22.248
3007.3,-23.279,3007.6,-22.55
3017.3,-23.205,3017.6,-22.31
3027.3,-23.383,3027.6,-22.085
3037.3,-23.389,3037.6,-23.092
3047.3,-23.687,3047.6,-22.723
3057.3,-22.851,3057.6,-23.25
3067.3,-23.686,3067.6,-22.678
3077.3,-23.971,3077.6,-22.298
3087.3,-23.715,3087.6,-22.933
3097.3,-23.729,3097.6,-23.369
3107.3,-23.793,3107.6,-23.319
3117.3,-23.392,3117.6,-22.803
3127.3,-24.511,3127.6,-22.48
3137.3,-23.432,3137.6,-22.235
3147.3,-23.271,3147.6,-22.693
3157.3,-23.569,3157.6,-22.791
3167.3,-24.114,3167.6,-22.947
3177.3,-23.68,3177.6,-23.132
3187.3,-23.954,3187.6,-23.189
3197.3,-23.892,3197.6,-22.76
3207.3,-23.279,3207.6,-22.575
3217.3,-23.236,3217.6,-22.379
3227.3,-24.216,3227.6,-22.639
3237.3,-24.491,3237.6,-22.466
3247.3,-23.659,3247.6,-22.107
3257.3,-23.903,3257.6,-22.196
3267.3,-23.774,3267.6,-21.817
3277.3,-23.944,3277.6,-22.215
3287.3,-23.722,3287.6,-22.915
3297.3,-23.817,3297.6,-22.814
3307.3,-23.738,3307.6,-22.17
3317.3,-23.346,3317.6,-22.151
3327.3,-23.555,3327.6,-22.501
3337.3,-24.362,3337.6,-22.251
3347.3,-23.372,3347.6,-22.367
3357.3,-23.928,3357.6,-22.511
3367.3,-23.618,3367.6,-22.382
3377.3,-23.92,3377.6,-22.332
3387.3,-24.186,3387.6,-23.082
3397.3,-23.532,3397.6,-23.052
3407.3,-23.799,3407.6,-22.02
3417.3,-24.52,3417.6,-22.224
3427.3,-23.499,3427.6,-22.894
3437.3,-23.855,3437.6,-22.796
3447.3,-23.637,3447.6,-23.149
3457.3,-23.881,3457.6,-22.574
3467.3,-23.923,3467.6,-22.94
3477.3,-23.177,3477.6,-22.31
3487.3,-23.527,3487.6,-22.294
3497.3,-23.722,3497.6,-22.918
3507.3,-23.391,3507.6,-23.016
3517.3,-24.513,3517.6,-23.24
3527.3,-23.585,3527.6,-22.815
3537.3,-23.819,3537.6,-22.805
3547.3,-23.343,3547.6,-23.153
3557.3,-23.443,3557.6,-22.422
3567.3,-23.84,3567.6,-22.636
3577.3,-23.945,3577.6,-23.628
3587.3,-24.178,3587.6,-22.752
3597.3,-23.73,3597.6,-22.288
3607.3,-23.557,3607.6,-22.928
3617.3,-23.842,3617.6,-23.284
3627.3,-23.414,3627.6,-23.291
3637.3,-23.005,3637.6,-22.6
3647.3,-23.43,3647.6,-23.167
3657.3,-23.526,3657.6,-22.582
3667.3,-23.804,3667.6,-22.107
3677.3,-24.304,3677.6,-22.183
3687.3,-23.238,3687.6,-22.568
3697.3,-22.822,3697.6,-23.239
3707.3,-23.721,3707.6,-22.989
3717.3,-23.788,3717.6,-22.701
3727.3,-23.525,3727.6,-22.618
3737.3,-23.619,3737.6,-22.606
3747.3,-24.23,3747.6,-22.154
3757.3,-24.316,3757.6,-22.178
3767.3,-23.491,3767.6,-23.028
3777.3,-23.787,3777.6,-22.933
3787.3,-24.141,3787.6,-23.04
3797.3,-23.861,3797.6,-22.561
3807.3,-23.661,3807.6,-23.291
3817.3,-23.76,3817.6,-23.634
3827.3,-24.094,3827.6,-22.981
3837.3,-23.215,3837.6,-23.324
3847.3,-24.241,3847.6,-23.57
3857.3,-23.667,3857.6,-23.636
3867.3,-23.877,3867.6,-23.465
3877.3,-24.035,3877.6,-23.736
3887.3,-23.739,3887.6,-22.923
3897.3,-23.672,3897.6,-22.837
3907.3,-24.071,3907.6,-23.104
3917.3,-23.2,3917.6,-22.662
3927.3,-23.695,3927.6,-22.997
3937.3,-24.04,3937.6,-22.639
3947.3,-23.634,3947.6,-23.083
3957.3,-23.528,3957.6,-23.074
3967.3,-23.805,3967.6,-22.489
3977.3,-23.324,3977.6,-22.84
3987.3,-23.27,3987.6,-23.22
3997.3,-23.23,3997.6,-22.545
4007.3,-23.23,4007.6,-22.122
4017.3,-23.23,4017.6,-22.235
4027.3,-23.23,4027.6,-22.285
4037.3,-23.256,4037.6,-22.391
4047.3,-23.66,4047.6,-22.507
4057.3,-24.512,4057.6,-22.439
4067.3,-24.567,4067.6,-22.935
4077.3,-23.895,4077.6,-24.437
4087.3,-23.926,4087.6,-23.529
4097.3,-23.405,4097.6,-22.964
4107.3,-23.586,4107.6,-22.578
4117.3,-23.531,4117.6,-22.084
4127.3,-23.608,4127.6,-22.395
4137.3,-23.137,4137.6,-22.553
4147.3,-23.561,4147.6,-22.621
4157.3,-23.418,4157.6,-22.893
4167.3,-24.547,4167.6,-23.212
4177.3,-23.403,4177.6,-22.522
4187.3,-23.378,4187.6,-22.712
4197.3,-23.358,4197.6,-23.536
4207.3,-23.402,4207.6,-23.9
4217.3,-22.974,4217.6,-24.126
4227.3,-23.501,4227.6,-23.406
4237.3,-24.395,4237.6,-23.224
4247.3,-24.116,4247.6,-22.532
4257.3,-23.588,4257.6,-22.148
4267.3,-23.369,4267.6,-22.042
4277.3,-23.667,4277.6,-23.253
4287.3,-23.609,4287.6,-23.712
4297.3,-23.945,4297.6,-23.331
4307.3,-23.232,4307.6,-22.616
4317.3,-23.263,4317.6,-22.43
4327.3,-23.643,4327.6,-22.485
4337.3,-24.173,4337.6,-22.598
4347.3,-23.589,4347.6,-22.804
4357.3,-23.016,4357.6,-22.292
4367.3,-22.836,4367.6,-22.306
4377.3,-23.274,4377.6,-22.479
4387.3,-23.685,4387.6,-22.668
4397.3,-23.763,4397.6,-23.09
4407.3,-23.395,4407.6,-23.059
4417.3,-23.373,4417.6,-22.683
4427.3,-23.386,4427.6,-22.244
4437.3,-23.341,4437.6,-21.683
4447.3,-24.006,4447.6,-22.533
4457.3,-23.347,4457.6,-23.733
4467.3,-22.746,4467.6,-23.604
4477.3,-23.216,4477.6,-22.675
4487.3,-23.536,4487.6,-22.224
4497.3,-23.438,4497.6,-22.226
4507.3,-22.747,4507.6,-22.265
4517.3,-22.891,4517.6,-22.719
4527.3,-23.28,4527.6,-23.139
4537.3,-23.411,4537.6,-22.971
4547.3,-23.212,4547.6,-22.829
4557.3,-23.696,4557.6,-22.27
4567.3,-22.864,4567.6,-21.922
4577.3,-23.501,4577.6,-22.589
4587.3,-23.324,4587.6,-22.968
4597.3,-23.474,4597.6,-23.159
4607.3,-23.232,4607.6,-23.277
4617.3,-23.2,4617.6,-23.372
4627.3,-24.035,4627.6,-23.092
4637.3,-23.892,4637.6,-22.64
4647.3,-23.578,4647.6,-22.847
4657.3,-23.431,4657.6,-23.061
4667.3,-23.63,4667.6,-22.731
4677.3,-23.64,4677.6,-23.085
4687.3,-23.48,4687.6,-23.181
4697.3,-23.244,4697.6,-22.771
4707.3,-23.094,4707.6,-22.767
4717.3,-24.221,4717.6,-23.658
4727.3,-24.107,4727.6,-23.292
4737.3,-23.623,4737.6,-22.59
4747.3,-23.598,4747.6,-22.641
4757.3,-23.657,4757.6,-22.542
4767.3,-24.074,4767.6,-22.755
4777.3,-23.935,4777.6,-22.767
4787.3,-23.236,4787.6,-22.681
4797.3,-23.854,4797.6,-22.241
4807.3,-23.25,4807.6,-22.711
4817.3,-24.225,4817.6,-22.747
4827.3,-24.446,4827.6,-22.953
4837.3,-23.337,4837.6,-22.686
4847.3,-22.766,4847.6,-22.596
4857.3,-23.558,4857.6,-22.655
4867.3,-23.716,4867.6,-22.798
4877.3,-23.863,4877.6,-23.263
4887.3,-23.583,4887.6,-23.612
4897.3,-23.276,4897.6,-22.804
4907.3,-23.02,4907.6,-22.088
4917.3,-23.237,4917.6,-22.137
4927.3,-23.509,4927.6,-21.584
4937.3,-23.498,4937.6,-22.043
4947.3,-23.345,4947.6,-22.679
4957.3,-23.058,4957.6,-21.807
4967.3,-23.076,4967.6,-22.211
4977.3,-22.95,4977.6,-23.262
