year (AD),age (BP),arm_irm (missing),thickness (mm),irm (am2kg-1)
-1258.687,3208.687,0.089,18,0
-1301.852,3251.852,0.094,18,0
-1344.298,3294.298,0.09,18,0
-1389.147,3339.147,0.094,18,0
-1431.659,3381.659,0.097,18,0
-1466.81,3416.81,0.098,18,0
-1503.202,3453.202,0.082,18,0
-1533.442,3483.442,0.087,18,0
-1564.94,3514.94,0.096,18,0
-1594.307,3544.307,0.096,18,0
-1619.01,3569.01,0.092,18,0
-1643.772,3593.772,0.092,18,0
-1667.313,3617.313,0.096,18,0
-1691.062,3641.062,0.097,18,0
-1713.902,3663.902,0.077,18,0
-1736.041,3686.041,0.088,18,0
-1756.544,3706.544,0.054,18,0
-1777.862,3727.862,0.092,18,0
-1799.01,3749.01,0.091,18,0
-1817.916,3767.916,0.096,18,0
-1838.032,3788.032,0.095,18,0
-1859.498,3809.498,0.096,18,0
-1879,3829,0.095,18,0
-1901.228,3851.228,0.09,18,0
-1924.005,3874.005,0.088,18,0
-1944.923,3894.923,0.093,18,0
-1967.689,3917.689,0.09,18,0
-1991.15,3941.15,0.092,18,0
-2013.993,3963.993,0.084,18,0
-2037.54,3987.54,0.08,18,0
-2063.277,4013.277,0.086,18,0
-2092.883,4042.883,0.09,18,0
-2118.912,4068.912,0.088,18,0
-2147.356,4097.356,0.085,18,0
-2175.07,4125.07,0.081,18,0
-2207.033,4157.033,0.088,18,0
-2236.522,4186.522,0.09,18,0
-2272.294,4222.294,0.09,18,0
-2311.106,4261.106,0.086,18,0
-2345.386,4295.386,0.095,18,0
-2380.589,4330.589,0.095,18,0
-2416.703,4366.703,0.09,18,0
-2439.212,4389.212,0.087,18,0.001
-2474.646,4424.646,0.092,18,0
-2510.847,4460.847,0.093,18,0
-2552.19,4502.19,0.087,18,0
-2592.192,4542.192,0.092,18,0
-2630.691,4580.691,0.083,18,0
-2669.864,4619.864,0.091,18,0
-2714.41,4664.41,0.088,18,0
-2752.522,4702.522,0.091,18,0
-2796.022,4746.022,0.083,18,0
-2837.682,4787.682,0.088,18,0
-2879.872,4829.872,0.084,18,0
-2925.087,4875.087,0.087,18,0
-2970.826,4920.826,0.083,18,0
-3017.052,4967.052,0.081,18,0
-3066.334,5016.334,0.079,18,0
-3116.074,5066.074,0.077,18,0
-3166.23,5116.23,0.079,18,0
-3214.091,5164.091,0.08,18,0
-3262.25,5212.25,0.08,18,0
-3310.672,5260.672,0.08,18,0
-3362.032,5312.032,0.08,18,0
-3413.607,5363.607,0.083,18,0
-3465.359,5415.359,0.081,18,0
-3517.25,5467.25,0.085,18,0
-3566.506,5516.506,0.084,18,0
-3618.567,5568.567,0.088,18,0
-3670.666,5620.666,0.09,18,0
-3720.029,5670.029,0.087,18,0
-3772.113,5722.113,0.081,18,0
-3824.148,5774.148,0.073,18,0
-3870.643,5820.643,0.083,18,0
-3922.517,5872.517,0.084,18,0
-3971.551,5921.551,0.081,18,0
-4020.462,5970.462,0.083,18,0
-4071.94,6021.94,0.075,18,0
-4123.248,6073.248,0.075,18,0
-4174.371,6124.371,0.079,18,0
-4222.624,6172.624,0.075,18,0
-4270.692,6220.692,0.077,18,0
-4318.57,6268.57,0.072,18,0
-4368.896,6318.896,0.067,18,0
-4419.001,6369.001,0.067,18,0
-4466.263,6416.263,0.056,18,0
-4515.934,6465.934,0.043,18,0
-4560.19,6510.19,0.035,18,0.001
-4606.86,6556.86,0.031,18,0.001
-4655.917,6605.917,0.028,18,0.001
-4704.769,6654.769,0.03,18,0.001
-4753.427,6703.427,0.029,18,0.001
-4801.899,6751.899,0.034,18,0.001
-4845.122,6795.122,0.029,18,0.001
-4890.748,6840.748,0.03,18,0.001
-4936.24,6886.24,0.027,18,0.001
-4984.131,6934.131,0.04,18,0.001
-5021.856,6971.856,0.043,18,0.001
-5064.533,7014.533,0.028,18,0.001
-5109.643,7059.643,0.026,18,0.001
-5154.69,7104.69,0.023,18,0.001
-5202.186,7152.186,0.025,18,0.001
-5244.652,7194.652,0.022,18,0.001
-5292.096,7242.096,0.026,18,0.001
-5337.041,7287.041,0.028,18,0.001
-5384.499,7334.499,0.026,18,0.001
-5429.488,7379.488,0.023,18,0.001
-5472.016,7422.016,0.02,18,0.002
-5517.101,7467.101,0.019,18,0.002
-5564.762,7514.762,0.023,18,0.001
-5609.996,7559.996,0.022,18,0.002
-5657.837,7607.837,0.02,18,0.002
-5705.784,7655.784,0.019,18,0.002
-5751.311,7701.311,0.018,18,0.003
-5796.942,7746.942,0.019,18,0.002
-5845.222,7795.222,0.018,18,0.002
-5891.067,7841.067,0.017,18,0.002
-5937.011,7887.011,0.013,18,0.003
-5985.605,7935.605,0.011,18,0.004
-6029.16,7979.16,0.011,18,0.005
-6075.339,8025.339,0.012,18,0.006
-6124.133,8074.133,0.011,18,0.005
-6170.383,8120.383,0.011,18,0.005
-6216.628,8166.628,0.01,18,0.006
-6260.27,8210.27,0.011,18,0.006
-6308.969,8258.969,0.01,18,0.008
-6357.538,8307.538,0.015,18,0.01
-6400.838,8350.838,0.014,18,0.009
-6446.471,8396.471,0.02,18,0.009
-6491.826,8441.826,0.016,18,0.009
-6536.834,8486.834,0.013,18,0.01
-6583.887,8533.887,0.014,18,0.009
-6630.377,8580.377,0.012,18,0.011
-6676.199,8626.199,0.01,18,0.011
-6721.238,8671.238,0.009,18,0.011
-6763.071,8713.071,0.012,18,0.006
-6801.728,8751.728,0.041,18,0
