year (AD),age (BP),T (degC),Stal.ID (missing),d13C (permil),10YrRun.Avg. (degC)
1834,116,0.06,SL1,-0.05,-0.02
1832,118,-0.12,SL1,-0.95,-0.02
1831,119,-0.25,SL1,-1.62,-0.03
1829,121,0.01,SL1,-0.31,-0.03
1828,122,0.07,SL1,0.04,-0.02
1826,124,-0.08,SL1,-0.72,-0.02
1825,125,0.01,SL1,-0.27,-0.01
1823,127,0.06,SL1,-0.06,-0.01
1822,128,0.04,SL1,-0.13,-0.03
1821,129,0.11,C13,0.21,-0.06
1820,130,-0.06,SL1,-0.66,-0.08
1819,131,-0.23,SL1,-1.49,-0.11
1817,133,-0.16,SL1,-1.17,-0.13
1815,135,-0.19,SL1,-1.3,-0.16
1814,136,-0.26,SL1,-1.67,-0.2
1812,138,-0.25,SL1,-1.6,-0.22
1811,139,-0.13,SL1,-0.99,-0.22
1809,141,-0.24,SL1,-1.56,-0.18
1808,142,-0.23,SL1,-1.5,-0.19
1806,144,-0.24,SL1,-1.54,-0.18
1805,145,-0.27,SL1,-1.69,-0.18
1804,146,0.15,C13,0.44,-0.19
1803,147,-0.25,SL1,-1.59,-0.15
1802,148,-0.13,SL1,-1,-0.13
1800,150,-0.28,SL1,-1.74,-0.11
1798,152,-0.19,SL1,-1.3,-0.06
1797,153,0.06,SL1,-0.01,-0.09
1795,155,-0.04,SL1,-0.56,-0.07
1794,156,-0.03,SL1,-0.49,-0.05
1792,158,0.14,SL1,0.35,0.03
1791,159,-0.1,SL1,-0.83,0.06
1789,161,-0.05,SL1,-0.59,0.05
1788,162,0.06,SL1,-0.01,0.04
1787,163,0.44,C13,1.87,0.06
1786,164,0.03,SL1,-0.17,0.02
1785,165,0.03,SL1,-0.21,0.02
1783,167,-0.12,SL1,-0.96,0.01
1782,168,0.07,SL1,0.01,0.03
1780,170,-0.18,SL1,-1.23,-0.01
1778,172,-0.07,SL1,-0.69,0.01
1777,173,-0.19,SL1,-1.29,0.03
1775,175,0.24,SL1,0.85,0.1
1774,176,0.12,SL1,0.25,0.14
1772,178,0.22,SL1,0.75,0.16
1771,179,0.24,SL1,0.85,0.18
1769,181,0.42,SL1,1.8,0.19
1769,181,0.45,C13,1.92,0.2
1768,182,0.03,SL1,-0.2,0.19
1766,184,0.09,SL1,0.14,0.18
1765,185,-0.02,SL1,-0.44,0.16
1763,187,0.15,SL1,0.44,0.12
1761,189,0.14,SL1,0.37,0.08
1760,190,0.13,SL1,0.31,0.07
1758,192,0.04,SL1,-0.15,0.05
1757,193,0.06,SL1,-0.02,0.1
1755,195,0.07,SL1,0,0.08
1754,196,0.01,SL1,-0.31,0.06
1752,198,0.44,C13,1.89,0.03
1752,198,-0.16,SL1,-1.13,0.03
1751,199,-0.03,SL1,-0.49,0.02
1749,201,-0.01,SL1,-0.4,0.01
1748,202,-0.11,SL1,-0.89,0.01
1746,204,0,SL1,-0.36,0.05
1744,206,-0.02,SL1,-0.46,0.04
1743,207,0,SL1,-0.32,0.07
1741,209,-0.01,SL1,-0.39,0.09
1739,211,0.19,SL1,0.63,0.1
1738,212,0.33,SL1,1.34,0.13
1736,214,0.22,SL1,0.77,0.17
1734,216,0.02,C13,-0.23,0.18
1734,216,0.2,SL1,0.65,0.17
1733,217,0.27,SL1,1.04,0.17
1731,219,0.33,SL1,1.35,0.19
1729,221,-0.02,SL1,-0.42,0.2
1728,222,0.1,SL1,0.15,0.19
1726,224,0.08,SL1,0.05,0.18
1724,226,0.52,SL1,2.3,0.15
1722,228,0.29,SL1,1.12,0.1
1719,231,0.13,SL1,0.32,0.08
1717,233,-0.01,SL1,-0.38,0.06
1717,233,-0.11,C13,-0.89,0.08
1714,236,-0.12,SL1,-0.94,-0.02
1712,238,-0.12,SL1,-0.93,-0.06
1710,240,0.08,SL1,0.07,-0.07
1709,241,-0.14,SL1,-1.04,-0.06
1707,243,-0.18,SL1,-1.23,-0.06
1704,246,-0.12,SL1,-0.92,-0.04
1702,248,0.04,SL1,-0.15,-0.04
1700,250,0.03,C13,-0.19,-0.05
1699,251,-0.03,SL1,-0.47,-0.06
1696,254,0.05,SL1,-0.07,-0.06
1691,259,-0.08,SL1,-0.75,-0.03
1689,261,-0.04,SL1,-0.55,-0.04
1686,264,-0.25,SL1,-1.6,-0.05
1684,266,-0.13,SL1,-0.98,-0.06
1682,268,0.13,C13,0.32,-0.07
1681,269,-0.05,SL1,-0.61,-0.07
1679,271,-0.06,SL1,-0.66,-0.08
1676,274,-0.07,SL1,-0.71,-0.06
1673,277,-0.04,SL1,-0.56,-0.01
1671,279,-0.09,SL1,-0.81,-0.03
1668,282,-0.17,SL1,-1.19,-0.04
1666,284,-0.07,SL1,-0.71,-0.06
1665,285,0.34,C13,1.38,-0.06
1663,287,-0.02,SL1,-0.43,-0.07
1661,289,-0.14,SL1,-1.06,-0.08
1658,292,-0.23,SL1,-1.48,-0.09
1656,294,-0.07,SL1,-0.69,-0.07
1653,297,-0.16,SL1,-1.15,-0.12
1651,299,-0.18,SL1,-1.26,-0.13
1648,302,-0.31,SL1,-1.88,-0.13
1647,303,0.1,C13,0.19,-0.12
1645,305,-0.06,SL1,-0.63,-0.13
1643,307,-0.09,SL1,-0.8,-0.15
1638,312,-0.21,SL1,-1.41,-0.16
1637,313,-0.08,C13,-0.75,-0.16
1635,315,-0.22,SL1,-1.46,-0.16
1633,317,-0.27,SL1,-1.72,-0.18
1630,320,-0.28,SL1,-1.76,-0.18
1628,322,-0.29,SL1,-1.81,-0.19
1626,324,0.09,C13,0.13,-0.21
1625,325,-0.25,SL1,-1.59,-0.22
1622,328,-0.13,SL1,-0.97,-0.19
1621,329,-0.27,SL1,-1.68,-0.15
1618,332,-0.28,SL1,-1.75,-0.13
1615,335,-0.05,C13,-0.59,-0.12
1615,335,-0.3,SL1,-1.85,-0.14
1604,346,0.07,C13,0.03,-0.09
1593,357,-0.03,C13,-0.47,-0.04
1582,368,-0.09,C13,-0.77,-0.01
1571,379,-0.04,C13,-0.54,0.02
1569,381,0.17,LV5,0.51,0.02
1560,390,0.18,C13,0.59,0.02
1554,396,-0.06,LV5,-0.62,0.02
1549,401,-0.01,C13,-0.4,0.02
1538,412,-0.02,LV5,-0.46,0.01
1528,422,0.09,C13,0.11,0.01
1523,427,-0.04,LV5,-0.53,-0.02
1517,433,-0.08,C13,-0.73,-0.03
1507,443,-0.16,LV5,-1.13,-0.04
1506,444,0.22,C13,0.77,-0.04
1495,455,-0.14,C13,-1.06,-0.06
1491,459,-0.13,LV5,-1.01,-0.06
1484,466,-0.09,C13,-0.79,-0.05
1478,472,-0.08,C13,-0.72,-0.05
1476,474,-0.04,LV5,-0.53,-0.07
1471,479,-0.06,C13,-0.65,-0.08
1460,490,0.04,LV5,-0.16,-0.09
1455,495,-0.18,C13,-1.26,-0.08
1442,508,0.03,LV5,-0.2,-0.09
1440,510,-0.24,C13,-1.54,-0.12
1424,526,-0.03,C13,-0.48,-0.15
1424,526,-0.19,LV5,-1.32,-0.13
1409,541,-0.15,C13,-1.09,-0.12
1405,545,-0.3,LV5,-1.86,-0.16
1393,557,-0.14,C13,-1.07,-0.15
1387,563,-0.1,LV5,-0.87,-0.19
1377,573,0.02,C13,-0.23,-0.19
1369,581,-0.28,LV5,-1.75,-0.21
1362,588,-0.21,C13,-1.39,-0.16
1351,599,-0.51,LV5,-2.94,-0.08
1346,604,0.01,C13,-0.27,-0.06
1333,617,-0.42,LV5,-2.44,-0.04
1331,619,0.19,C13,0.64,0.02
1323,627,0.62,SL1,2.78,0.08
1315,635,0.2,C13,0.69,0.15
1315,635,0.06,LV5,-0.06,0.14
1313,637,0.24,SL1,0.87,0.25
1303,647,0.35,SL1,1.43,0.26
1300,650,0.03,C13,-0.18,0.26
1296,654,0.1,LV5,0.16,0.25
1293,657,0.42,SL1,1.8,0.26
1284,666,0.3,C13,1.16,0.26
1283,667,0.6,SL1,2.68,0.23
1278,672,-0.01,LV5,-0.41,0.23
1274,676,0.36,SL1,1.47,0.22
1269,681,0.17,C13,0.51,0.21
1264,686,0.11,SL1,0.21,0.16
1260,690,0.03,LV5,-0.18,0.14
1254,696,0,SL1,-0.36,0.1
1253,697,0.31,C13,1.21,0.04
1249,701,-0.07,LV5,-0.69,0.04
1244,706,0.36,SL1,1.48,-0.01
1239,711,-0.32,LV5,-1.97,-0.01
1238,712,-0.24,C13,-1.57,-0.02
1234,716,0.22,SL1,0.79,-0.05
1228,722,-0.33,LV5,-2.03,-0.02
1224,726,0.04,SL1,-0.15,-0.09
1217,733,-0.12,LV5,-0.93,-0.02
1214,736,0.04,SL1,-0.16,0.03
1207,743,0.17,C13,0.52,0.04
1206,744,-0.22,LV5,-1.46,0.12
1204,746,0.31,SL1,1.21,0.18
1196,754,0.17,LV5,0.51,0.23
1195,755,0.35,SL1,1.45,0.24
1191,759,0.32,C13,1.3,0.26
1185,765,0.34,SL1,1.37,0.36
1185,765,0.61,LV5,2.74,0.36
1175,775,0.32,SL1,1.27,0.37
1175,775,0.15,C13,0.4,0.39
1174,776,0.67,LV5,3.06,0.36
1165,785,0.29,SL1,1.1,0.31
1163,787,0.42,LV5,1.78,0.27
1155,795,0.24,C13,0.86,0.25
1155,795,0.19,SL1,0.63,0.27
1153,797,0.16,LV5,0.49,0.21
1145,805,-0.03,SL1,-0.47,0.2
1142,808,0.14,LV5,0.36,0.14
1135,815,0.33,SL1,1.34,0.11
1135,815,0.19,LV5,0.61,0.14
1134,816,0.13,C13,0.31,0.11
1127,823,-0.12,LV5,-0.97,0.13
1125,825,0.23,SL1,0.84,0.09
1120,830,-0.03,LV5,-0.5,0.09
1117,833,0.12,SL1,0.27,0.03
1114,836,0.16,C13,0.45,0.02
1112,838,-0.17,LV5,-1.18,0.07
1108,842,0.14,SL1,0.39,0.05
1105,845,-0.16,LV5,-1.14,0.08
1099,851,0.03,SL1,-0.21,0.11
1097,853,0.32,LV5,1.26,0.12
1093,857,0.05,C13,-0.08,0.17
1091,859,0.27,SL1,1.01,0.17
1090,860,0.32,LV5,1.29,0.24
1083,867,0.28,LV5,1.09,0.27
1082,868,0.27,SL1,1.01,0.27
1075,875,0.17,LV5,0.5,0.32
1073,877,0.48,SL1,2.1,0.33
1072,878,0.3,C13,1.15,0.33
1068,882,0.27,LV5,1.01,0.33
1065,885,0.5,SL1,2.19,0.35
1060,890,0.39,LV5,1.62,0.36
1056,894,0.36,SL1,1.49,0.34
1053,897,0.21,LV5,0.74,0.32
1052,898,0.48,C13,2.06,0.31
1047,903,0.27,SL1,1.02,0.25
1045,905,0.25,LV5,0.92,0.25
1039,911,0.16,SL1,0.45,0.25
1038,912,0.18,LV5,0.56,0.24
1031,919,-0.07,C13,-0.69,0.22
1030,920,0.39,SL1,1.61,0.21
1027,923,0.37,LV5,1.52,0.22
1021,929,0.15,SL1,0.4,0.24
1012,938,0.29,SL1,1.11,0.26
1010,940,0.22,C13,0.75,0.29
1004,946,0.29,LV5,1.13,0.26
1002,948,0.35,SL1,1.45,0.25
992,958,0.2,SL1,0.67,0.29
992,958,0.32,LV5,1.27,0.29
990,960,0.19,C13,0.61,0.32
982,968,0.28,SL1,1.09,0.32
981,969,0.45,LV5,1.94,0.31
972,978,0.34,SL1,1.37,0.33
970,980,0.42,LV5,1.8,0.33
969,981,0.33,C13,1.32,0.33
962,988,0.24,SL1,0.89,0.34
958,992,0.52,LV5,2.27,0.32
953,997,0.23,SL1,0.83,0.31
948,1002,0.14,C13,0.38,0.28
947,1003,0.4,LV5,1.66,0.27
943,1007,0.24,SL1,0.89,0.27
935,1015,0.24,LV5,0.85,0.24
933,1017,0.19,SL1,0.6,0.19
928,1022,0.23,C13,0.84,0.2
924,1026,0.25,LV5,0.93,0.16
923,1027,0.22,SL1,0.75,0.15
913,1037,0.25,SL1,0.92,0.16
913,1037,-0.24,LV5,-1.55,0.15
907,1043,0.07,C13,0.02,0.18
903,1047,0.17,SL1,0.52,0.19
901,1049,0.24,LV5,0.87,0.19
893,1057,0.28,SL1,1.06,0.27
890,1060,0.35,LV5,1.43,0.28
886,1064,0.35,C13,1.44,0.29
884,1066,0.26,SL1,0.98,0.28
878,1072,0.47,LV5,2.04,0.29
874,1076,0.35,SL1,1.41,0.25
867,1083,0.16,LV5,0.49,0.22
866,1084,0.1,C13,0.17,0.22
864,1086,0.28,SL1,1.08,0.18
855,1095,-0.1,LV5,-0.86,0.15
854,1096,0.12,SL1,0.29,0.15
845,1105,0.33,C13,1.34,0.16
844,1106,0.18,SL1,0.56,0.15
844,1106,-0.09,LV5,-0.77,0.16
834,1116,0.35,SL1,1.43,0.18
833,1117,0.25,LV5,0.91,0.19
824,1126,0.19,C13,0.6,0.2
824,1126,0.15,SL1,0.42,0.18
821,1129,0.19,SL1,0.6,0.13
821,1129,0.13,LV5,0.32,0.18
817,1133,0.25,SL1,0.9,0.1
813,1137,0.17,SL1,0.51,0.09
810,1140,-0.04,LV5,-0.55,0.1
809,1141,-0.11,SL1,-0.91,0.12
805,1145,-0.05,SL1,-0.61,0.12
804,1146,0.08,C13,0.04,0.09
801,1149,0.27,SL1,1,0.05
798,1152,0.36,LV5,1.47,0.11
797,1153,0.15,SL1,0.44,0.12
793,1157,-0.01,SL1,-0.37,0.17
789,1161,-0.15,SL1,-1.09,0.18
787,1163,0.47,LV5,2.03,0.18
785,1165,-0.04,SL1,-0.54,0.19
783,1167,0.37,C13,1.55,0.16
782,1168,0.22,SL1,0.75,0.18
778,1172,0.24,SL1,0.88,0.22
776,1174,0.45,LV5,1.92,0.21
774,1176,-0.1,SL1,-0.84,0.22
770,1180,0.18,SL1,0.55,0.17
766,1184,0.15,SL1,0.42,0.15
764,1186,0.38,LV5,1.57,0.13
762,1188,0.09,SL1,0.11,0.08
758,1192,-0.03,SL1,-0.51,0.12
754,1196,0.01,SL1,-0.28,0.11
753,1197,0.01,LV5,-0.28,0.09
750,1200,0.05,SL1,-0.1,0.05
746,1204,0.25,SL1,0.94,0.06
744,1206,0.1,SL1,0.16,0.06
741,1209,0.03,SL1,-0.18,0.04
741,1209,-0.06,LV5,-0.65,0.05
739,1211,0.18,SL1,0.59,0.04
736,1214,-0.05,SL1,-0.59,0.01
734,1216,-0.05,SL1,-0.6,-0.01
731,1219,-0.13,SL1,-1.01,-0.01
730,1220,0.08,LV5,0.05,0.03
729,1221,-0.01,SL1,-0.38,0.01
726,1224,-0.06,SL1,-0.64,0.01
723,1227,-0.13,SL1,-0.98,0
721,1229,0.01,SL1,-0.31,-0.02
721,1229,0.45,C13,1.92,0
718,1232,-0.11,SL1,-0.88,-0.02
716,1234,-0.11,SL1,-0.92,-0.02
713,1237,-0.09,SL1,-0.78,-0.06
713,1237,-0.09,LV5,-0.81,-0.01
711,1239,-0.03,SL1,-0.51,-0.07
708,1242,-0.07,SL1,-0.7,-0.07
705,1245,-0.04,SL1,-0.55,-0.06
704,1246,-0.02,SL1,-0.46,-0.04
703,1247,-0.04,SL1,-0.53,-0.04
700,1250,0,SL1,-0.33,-0.05
700,1250,-0.13,C13,-0.99,-0.05
696,1254,0.04,LV5,-0.15,-0.06
695,1255,-0.05,SL1,-0.59,-0.06
693,1257,-0.11,SL1,-0.89,-0.06
690,1260,-0.06,SL1,-0.64,-0.03
688,1262,-0.13,SL1,-1,-0.01
685,1265,-0.02,SL1,-0.46,0
682,1268,-0.03,SL1,-0.51,0.01
680,1270,0.1,SL1,0.15,0.03
680,1270,0.18,C13,0.57,0.02
680,1270,0.14,LV5,0.35,0.02
677,1273,0.01,SL1,-0.31,0.03
675,1275,0.03,SL1,-0.19,0.03
672,1278,-0.05,SL1,-0.57,-0.01
670,1280,-0.05,SL1,-0.57,-0.04
669,1281,-0.03,C13,-0.47,-0.05
667,1283,-0.05,SL1,-0.57,-0.06
665,1285,-0.23,C13,-1.51,-0.06
664,1286,-0.09,SL1,-0.79,-0.04
663,1287,0,LV5,-0.35,-0.03
662,1288,-0.06,SL1,-0.65,-0.02
659,1291,0,SL1,-0.33,-0.02
657,1293,0.16,SL1,0.47,0.01
655,1295,0.01,C13,-0.28,0.03
654,1296,0.07,SL1,-0.01,0.02
652,1298,-0.02,SL1,-0.42,0.04
649,1301,0,SL1,-0.34,0.03
646,1304,-0.06,SL1,-0.62,0
646,1304,0.1,LV5,0.17,0.01
645,1305,0.06,C13,-0.04,0.01
644,1306,-0.06,SL1,-0.66,0.01
641,1309,-0.05,SL1,-0.61,0.02
639,1311,0.01,SL1,-0.31,0.01
636,1314,0.1,SL1,0.15,0.03
635,1315,0.01,C13,-0.3,0.03
634,1316,0.1,SL1,0.14,0.03
631,1319,0.03,SL1,-0.18,0.03
629,1321,0,SL1,-0.32,0.02
629,1321,0.13,LV5,0.33,0.03
626,1324,-0.05,SL1,-0.59,0.01
625,1325,-0.03,C13,-0.5,0.01
623,1327,-0.04,SL1,-0.55,0
621,1329,-0.01,SL1,-0.38,-0.01
618,1332,-0.01,SL1,-0.39,-0.01
616,1334,0.02,SL1,-0.23,0.01
615,1335,-0.02,C13,-0.46,0.02
613,1337,0.09,SL1,0.13,0.04
612,1338,-0.05,LV5,-0.61,0.05
611,1339,0.13,SL1,0.34,0.07
608,1342,0.08,SL1,0.04,0.08
605,1345,0.13,C13,0.32,0.12
605,1345,0.12,SL1,0.29,0.1
603,1347,0.09,SL1,0.1,0.13
600,1350,0.13,SL1,0.3,0.12
598,1352,0.17,SL1,0.5,0.12
595,1355,0.03,C13,-0.17,0.08
595,1355,0.05,SL1,-0.07,0.09
595,1355,0.26,LV5,0.98,0.11
593,1357,0.07,SL1,-0.01,0.09
590,1360,0.03,SL1,-0.18,0.08
587,1363,0,SL1,-0.36,0.05
586,1364,-0.01,SL1,-0.4,0.04
585,1365,0.22,C13,0.79,0.03
584,1366,0.04,SL1,-0.15,0.02
582,1368,0.05,SL1,-0.1,0.02
580,1370,-0.03,SL1,-0.5,0.01
578,1372,0.01,SL1,-0.31,0
578,1372,-0.11,LV5,-0.9,0.02
576,1374,-0.01,SL1,-0.4,0
575,1375,-0.05,C13,-0.6,0.01
574,1376,0.08,SL1,0.04,0.01
572,1378,0.06,SL1,-0.05,0.03
570,1380,0.02,SL1,-0.23,0.04
568,1382,0.1,SL1,0.16,0.05
566,1384,0.04,SL1,-0.14,0.02
565,1385,0,C13,-0.32,0.01
564,1386,0.13,SL1,0.33,0.01
562,1388,0.08,SL1,0.07,0.01
561,1389,-0.37,LV5,-2.23,-0.02
560,1390,0.07,SL1,0.03,-0.02
558,1392,-0.01,SL1,-0.38,-0.03
556,1394,0.02,SL1,-0.26,-0.04
555,1395,0.01,SL1,-0.29,-0.01
555,1395,-0.14,C13,-1.03,-0.05
553,1397,-0.02,SL1,-0.46,-0.03
551,1399,-0.02,SL1,-0.45,-0.02
549,1401,0.01,SL1,-0.3,-0.02
547,1403,-0.01,SL1,-0.37,-0.01
545,1405,0.09,SL1,0.13,0
545,1405,-0.1,C13,-0.82,-0.01
543,1407,-0.03,SL1,-0.51,-0.04
541,1409,0,SL1,-0.36,-0.03
539,1411,0.03,SL1,-0.21,-0.03
537,1413,-0.01,SL1,-0.37,-0.03
535,1415,0.03,SL1,-0.18,-0.03
535,1415,-0.3,C13,-1.87,-0.05
533,1417,-0.02,SL1,-0.42,-0.03
531,1419,-0.05,SL1,-0.61,-0.03
529,1421,-0.06,SL1,-0.64,-0.05
528,1422,0.12,LV5,0.25,-0.02
527,1423,0,SL1,-0.36,-0.03
525,1425,-0.21,C13,-1.41,-0.05
525,1425,0.04,SL1,-0.12,-0.03
523,1427,-0.06,SL1,-0.63,-0.04
521,1429,-0.05,SL1,-0.61,-0.06
518,1432,0,SL1,-0.34,-0.07
515,1435,0.01,SL1,-0.29,-0.05
515,1435,-0.25,C13,-1.58,-0.08
513,1437,0,SL1,-0.32,-0.08
511,1439,-0.1,LV5,-0.84,-0.07
510,1440,-0.03,SL1,-0.47,-0.06
507,1443,0.05,SL1,-0.08,-0.03
505,1445,-0.38,C13,-2.27,-0.04
504,1446,0.07,SL1,0.01,-0.06
502,1448,0.11,SL1,0.22,-0.09
499,1451,-0.02,SL1,-0.46,-0.09
496,1454,-0.05,SL1,-0.59,-0.1
495,1455,-0.19,C13,-1.29,-0.06
494,1456,-0.39,LV5,-2.31,-0.08
493,1457,0.03,SL1,-0.17,-0.09
491,1459,-0.05,SL1,-0.57,-0.1
488,1462,-0.09,SL1,-0.79,-0.15
485,1465,-0.06,SL1,-0.62,-0.13
482,1468,-0.04,SL1,-0.53,-0.1
480,1470,-0.09,SL1,-0.78,-0.12
477,1473,-0.08,SL1,-0.72,-0.18
477,1473,-0.45,LV5,-2.62,-0.17
474,1476,-0.1,SL1,-0.85,-0.19
471,1479,-0.11,SL1,-0.91,-0.22
470,1480,-0.52,LV5,-2.95,-0.22
469,1481,-0.14,SL1,-1.04,-0.17
466,1484,-0.17,SL1,-1.19,-0.17
463,1487,-0.07,SL1,-0.67,-0.18
463,1487,-0.35,LV5,-2.09,-0.19
460,1490,-0.01,SL1,-0.41,-0.13
458,1492,-0.02,SL1,-0.46,-0.13
456,1494,-0.33,LV5,-2.02,-0.14
455,1495,-0.04,SL1,-0.56,-0.11
452,1498,-0.07,SL1,-0.67,-0.11
449,1501,-0.07,SL1,-0.69,-0.13
448,1502,-0.32,LV5,-1.96,-0.13
447,1503,-0.09,SL1,-0.78,-0.13
444,1506,-0.05,SL1,-0.57,-0.13
441,1509,-0.05,SL1,-0.59,-0.16
441,1509,-0.17,LV5,-1.21,-0.13
439,1511,-0.36,C13,-2.14,-0.13
438,1512,-0.05,SL1,-0.58,-0.12
436,1514,-0.07,SL1,-0.67,-0.13
434,1516,-0.28,LV5,-1.73,-0.13
433,1517,-0.05,SL1,-0.58,-0.13
430,1520,-0.06,SL1,-0.62,-0.1
428,1522,-0.06,SL1,-0.64,-0.11
427,1523,-0.26,LV5,-1.63,-0.12
425,1525,-0.03,SL1,-0.47,-0.1
422,1528,-0.05,SL1,-0.57,-0.1
420,1530,-0.19,C13,-1.3,-0.1
420,1530,-0.17,LV5,-1.18,-0.1
419,1531,-0.05,SL1,-0.57,-0.07
417,1533,-0.06,SL1,-0.66,-0.1
415,1535,-0.05,SL1,-0.61,-0.1
414,1536,-0.03,SL1,-0.5,-0.08
411,1539,-0.04,SL1,-0.53,-0.06
409,1541,-0.3,LV5,-1.85,-0.05
408,1542,-0.01,SL1,-0.41,-0.04
406,1544,-0.01,SL1,-0.37,-0.07
403,1547,0.01,SL1,-0.29,-0.06
401,1549,0.01,C13,-0.31,-0.09
400,1550,0.07,SL1,0,-0.09
399,1551,-0.32,LV5,-1.95,-0.13
397,1553,0.06,SL1,-0.02,-0.16
388,1562,-0.33,LV5,-1.99,-0.14
383,1567,-0.32,C13,-1.96,-0.17
378,1572,-0.32,LV5,-1.95,-0.21
367,1583,-0.29,LV5,-1.82,-0.19
364,1586,0.15,C13,0.43,-0.22
357,1593,-0.25,LV5,-1.59,-0.19
346,1604,-0.27,LV5,-1.69,-0.19
345,1605,-0.11,C13,-0.92,-0.16
336,1614,-0.26,LV5,-1.65,-0.16
326,1624,-0.02,C13,-0.44,-0.17
325,1625,-0.3,LV5,-1.85,-0.17
307,1643,-0.11,C13,-0.91,-0.15
290,1660,-0.24,LV5,-1.53,-0.12
289,1661,0.02,C13,-0.24,-0.11
283,1667,-0.22,LV5,-1.43,-0.13
275,1675,-0.07,LV5,-0.7,-0.12
270,1680,0.16,C13,0.45,-0.1
268,1682,-0.21,LV5,-1.41,-0.1
261,1689,-0.22,LV5,-1.46,-0.12
253,1697,-0.21,LV5,-1.38,-0.07
251,1699,0.05,C13,-0.1,-0.09
246,1704,-0.24,LV5,-1.55,-0.11
239,1711,-0.11,LV5,-0.88,-0.08
232,1718,0.18,C13,0.59,-0.06
231,1719,-0.17,LV5,-1.21,-0.05
224,1726,-0.05,LV5,-0.57,-0.06
216,1734,0.02,LV5,-0.22,-0.01
213,1737,-0.04,C13,-0.55,-0.03
209,1741,-0.07,LV5,-0.69,-0.07
202,1748,-0.07,LV5,-0.7,-0.06
195,1755,0.19,C13,0.61,-0.08
194,1756,-0.22,LV5,-1.46,-0.09
187,1763,-0.24,LV5,-1.57,-0.11
180,1770,-0.09,LV5,-0.8,-0.11
176,1774,-0.18,C13,-1.23,-0.07
172,1778,-0.1,LV5,-0.85,-0.11
165,1785,-0.18,LV5,-1.23,-0.1
157,1793,0.25,C13,0.94,-0.06
157,1793,-0.09,LV5,-0.81,-0.04
150,1800,-0.15,LV5,-1.11,-0.08
142,1808,-0.14,LV5,-1.07,-0.1
138,1812,0.35,C13,1.43,-0.07
135,1815,-0.26,LV5,-1.63,-0.09
127,1823,-0.41,LV5,-2.43,-0.13
120,1830,-0.23,LV5,-1.51,-0.07
