age (BP),clastic_flux (g/cm2/kyr),dbd (g/cm3),LOI (percent),BSi (percent),clastic (percent),d13C (permil),TOC (percent),d15N (permil),C/N (missing),TOC_flux (g/cm2/kyr),LOI (g/cm2/kyr),BSi (g/cm2/kyr)
5245,0.011,0.808,7.206,2.086,90.708,-24.859,2.285,2.671,13.152,0,0.001,0
5375,0.01,0.728,7.832,2.407,89.761,-24.801,2.546,2.742,12.562,0,0.001,0
5500,0.01,0.697,8.08,2.618,89.302,-24.774,2.594,2.506,13.345,0,0.001,0
5622,0.011,0.702,7.827,2.655,89.518,-24.526,2.377,2.452,12.494,0,0.001,0
5740,0.012,0.754,7.716,2.637,89.648,-24.709,2.77,2.479,12.523,0,0.001,0
5855,0.011,0.716,7.906,2.569,89.525,-24.776,2.649,2.502,12.796,0,0.001,0
5967,0.013,0.787,7.988,2.702,89.31,-24.804,2.63,2.421,12.935,0,0.001,0
6076,0.012,0.735,8.096,2.81,89.093,-24.669,2.81,2.575,12.812,0,0.001,0
6182,0.01,0.611,8.658,3.239,88.103,-24.582,3.061,2.338,12.979,0,0.001,0
6285,0.011,0.655,8.268,3.462,88.27,-24.355,3.164,2.429,12.393,0,0.001,0
6386,0.011,0.644,8.474,4.286,87.24,-24.136,3.134,2.509,12.909,0,0.001,0.001
6485,0.013,0.694,7.771,3.498,88.731,-24.214,2.727,2.491,12.244,0,0.001,0
6582,0.012,0.654,8.764,3.71,87.525,-24.324,2.946,2.427,12.645,0,0.001,0.001
6677,0.013,0.682,8.74,3.762,87.497,-24.372,2.991,2.377,12.696,0,0.001,0.001
6770,0.012,0.641,9.114,3.622,87.264,-24.451,2.834,2.45,11.765,0,0.001,0.001
6862,0.013,0.661,8.835,3.489,87.675,-24.573,2.809,2.596,12.207,0,0.001,0.001
6953,0.014,0.716,8.011,3.3,88.689,-24.702,2.616,2.329,12.929,0,0.001,0.001
7043,0.016,0.809,7.811,2.808,89.381,-24.862,2.442,2.391,12.581,0,0.001,0.001
7132,0.017,0.838,7.133,2.59,90.278,-25.485,2.475,2.284,14.184,0,0.001,0
7220,0.017,0.828,7.25,2.366,90.384,-25.248,2.218,2.257,13.947,0,0.001,0
7308,0.017,0.823,7.37,2.577,90.052,-25.151,2.169,2.41,12.923,0,0.001,0
7395,0.016,0.753,7.445,2.707,89.848,-25.233,2.191,2.234,13.821,0,0.001,0
7482,0.017,0.823,7.299,2.499,90.202,-25.199,2.118,2.205,13.725,0,0.001,0
7569,0.016,0.789,6.904,2.404,90.692,-25.125,2.057,2.345,13.45,0,0.001,0
7657,0.017,0.829,8.249,2.611,89.14,-24.731,2.54,2.378,13.151,0,0.002,0
7745,0.013,0.634,9.389,2.728,87.883,-24.265,3.128,2.502,12.293,0,0.001,0
7833,0.014,0.709,8.89,3.002,88.108,-24.212,3.151,2.373,12.214,0.001,0.001,0
7922,0.014,0.722,8.382,2.569,89.049,-24.22,2.803,2.265,12.747,0,0.001,0
8011,0.015,0.759,8.087,2.535,89.378,-24.347,2.812,2.351,13.016,0,0.001,0
8100,0.017,0.872,7.448,2.316,90.236,-24.57,2.49,2.42,13.348,0,0.001,0
8191,0.019,0.959,6.979,1.767,91.254,-24.64,2.166,2.559,12.599,0,0.001,0
8442.5,0.018,0.898,7.668,1.452,90.88,-25.083,2.727,1.98,13.242,0.001,0.001,0
8535.5,0.017,0.885,7.979,1.545,90.476,-25.109,2.89,1.911,13.895,0.001,0.002,0
8629.5,0.016,0.851,8.124,1.595,90.281,-25.203,2.9,1.839,13.897,0.001,0.001,0
8724,0.017,0.904,7.232,1.781,90.988,-25.182,2.644,1.989,13.417,0.001,0.001,0
8819,0.016,0.846,8.355,1.778,89.868,-25.348,3.422,2.022,15.088,0.001,0.001,0
8916,0.015,0.851,9.941,1.35,88.709,-25.565,3.034,1.576,17.267,0.001,0.002,0
9013.5,0.017,0.929,7.233,1.299,91.467,-25.373,2.329,2.153,13.558,0,0.001,0
9112,0.018,0.964,7.312,1.431,91.257,-25.296,2.416,2.03,13.502,0,0.001,0
9211.5,0.017,0.962,7.144,1.474,91.382,-25.252,2.303,2.146,13.528,0,0.001,0
9312.5,0.016,0.906,7.126,1.554,91.319,-25.546,2.614,1.673,13.979,0,0.001,0
9414.5,0.016,0.914,7.109,1.361,91.531,-25.066,2.82,1.879,15.365,0,0.001,0
9518,0.017,0.95,7.378,1.356,91.266,-24.939,2.646,1.875,13.472,0,0.001,0
9622,0.016,0.904,7.526,1.492,90.982,-24.827,2.558,2.04,13.576,0,0.001,0
9728,0.016,0.918,7.404,1.888,90.708,-24.572,2.701,2.054,13.05,0,0.001,0
9835,0.014,0.842,8.118,2.057,89.825,-24.258,3.08,1.995,13.131,0,0.001,0
9944,0.013,0.825,8.112,1.991,89.897,-23.716,2.803,1.926,12.376,0,0.001,0
10054.5,0.015,0.891,7.232,1.803,90.965,-23.86,2.568,2.002,11.946,0,0.001,0
10166,0.015,0.944,6.456,1.42,92.124,-24.248,2.074,1.856,12.604,0,0.001,0
10279.5,0.015,0.943,7.7,1.224,91.075,-24.818,2.549,1.788,13.498,0,0.001,0
10393.5,0.015,0.92,7.279,1.238,91.483,-24.782,2.547,1.74,13.624,0,0.001,0
10508.5,0.015,0.941,6.96,1.153,91.887,-24.603,2.448,1.763,13.267,0,0.001,0
10623.5,0.016,1.004,7.274,1.21,91.516,-23.798,2.506,1.736,12.922,0,0.001,0
10738.5,0.014,0.91,7.593,1.263,91.144,-23.134,2.618,1.798,11.885,0,0.001,0
10853.5,0.016,0.983,7.094,1.058,91.848,-22.819,2.252,1.968,11.614,0,0.001,0
10967,0.015,0.884,6.511,0.949,92.54,-22.941,1.962,2.091,11.876,0,0.001,0
11080,0.017,1.024,6.04,0.87,93.091,-23.142,1.931,2.148,11.908,0,0.001,0
11190.5,0.019,1.127,5.554,0.959,93.487,-23.487,1.545,2.224,11.335,0,0.001,0
11299,0.02,1.132,5.421,0.82,93.759,-22.769,1.555,2.378,10.938,0,0.001,0
11405.5,0.021,1.14,4.5,0.75,94.75,-22.995,1.285,2.834,10.255,0,0.001,0
11508.5,0.022,1.179,3.833,0.771,95.396,-22.794,1.028,3.336,9.735,0,0.001,0
11609.5,0.023,1.205,4.472,1.266,94.262,-22.628,0.972,3.804,9.279,0,0.001,0
11707,0.025,1.273,4.736,1.092,94.173,-23.029,1.041,3.928,8.75,0,0.001,0
11802.5,0.025,1.229,4.15,0.868,94.982,-23.367,0.955,3.591,9.274,0,0.001,0
11895,0.025,1.209,4.324,0.815,94.861,-22.942,0.959,3.311,9.159,0,0.001,0
11985.5,0.024,1.123,4.34,0.913,94.746,-23.162,0.901,3.626,8.889,0,0.001,0
12074,0.027,1.243,4.014,0.967,95.018,-23.363,0.817,3.901,9.004,0,0.001,0
12160.5,0.027,1.231,4.449,1.089,94.461,-23.209,0.919,3.741,8.861,0,0.001,0
12245,0.027,1.181,4.66,1.517,93.823,-23.299,0.933,3.806,8.769,0,0.001,0
12329,0.027,1.186,4.296,0.881,94.823,-23.254,0.856,3.732,8.47,0,0.001,0
12411,0.028,1.218,4.307,0.915,94.778,-23.107,0.838,3.973,8.317,0,0.001,0
12492,0.029,1.244,4.085,0.948,94.967,-23.033,0.803,3.536,8.883,0,0.001,0
12572,0.028,1.167,3.671,0.88,95.449,-22.763,0.827,3.243,9.476,0,0.001,0
12651.5,0.029,1.197,3.642,0.832,95.525,-22.792,0.879,3.268,9.364,0,0.001,0
12730.5,0.033,1.348,4.084,0.669,95.247,-22.789,0.814,3.392,9.419,0,0.001,0
12808.5,0.031,1.272,4.588,0.594,94.818,-22.914,0.84,3.591,9.389,0,0.001,0
12887.5,0.03,1.226,3.905,0.548,95.547,-22.762,0.75,3.735,8.972,0,0.001,0
12965.5,0.032,1.308,3.807,0.694,95.499,-22.005,0.741,3.362,8.784,0,0.001,0
13043.5,0.032,1.31,3.694,0.85,95.456,-22.373,0.725,3.71,8.781,0,0.001,0
13122.5,0.031,1.293,3.854,0.705,95.442,-22.526,0.724,3.89,8.972,0,0.001,0
13200.5,0.03,1.258,3.833,0.789,95.378,-22.651,0.658,3.509,8.703,0,0.001,0
13279.5,0.029,1.187,3.909,1.122,94.969,-22.421,0.703,3.682,8.426,0,0.001,0
13358,0.029,1.199,3.961,1.279,94.76,-22.738,0.648,3.988,8.931,0,0.001,0
13437,0.028,1.18,3.889,1.254,94.857,-22.851,0.642,4.208,8.489,0,0.001,0
13516,0.027,1.142,4.391,1.458,94.15,-23.314,0.572,3.546,9.143,0,0.001,0
13675,0.029,1.23,3.806,1.202,94.992,-22.738,0.685,4.342,8.027,0,0.001,0
13755,0.031,1.304,4.109,1.013,94.879,-22.564,0.722,4.324,8.302,0,0.001,0
13834.5,0.031,1.285,3.603,1.002,95.395,-22.325,0.725,4.647,8.157,0,0.001,0
13914,0.032,1.32,3.587,0.996,95.417,-21.937,0.774,4.642,7.937,0,0.001,0
13994,0.029,1.208,3.766,1.013,95.221,-22.183,0.728,4.851,7.492,0,0.001,0
14074,0.032,1.341,3.44,0.845,95.716,-21.587,0.714,4.942,7.607,0,0.001,0
14153,0.032,1.316,3.521,0.716,95.763,-21.301,0.677,5.147,7.688,0,0.001,0
14233,0.032,1.328,3.422,0.662,95.916,-22.222,0.505,5.178,7.36,0,0.001,0
14313,0.033,1.365,3.289,0.746,95.965,-22.386,0.477,5.124,7.586,0,0.001,0
14392.5,0.034,1.389,3.159,0.688,96.153,-22.424,0.43,5.161,7.392,0,0.001,0
14472,0.033,1.366,3.362,0.667,95.97,-22.005,0.505,5.448,7.781,0,0.001,0
14552,0.036,1.471,2.979,0.629,96.393,-21.943,0.384,4.378,7.519,0,0.001,0
